Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.00795682,0.0128386,0.0350272,0.0153146,0.0174938,0.00590013,0,0,0.0122799,0,0.0206451,0.00730748,0.0269332,0.0195598,0.0232601,0.0116805,0.00530387,0.0139056,0.00870071,0.0185897,0.0126972,0.017878,0.0130147,0.0188996,0.00700745,0.0205395,0.0438268,0.00831388,0.0140529,0.00361736,0.0188247,0.0129066,0.0234824,0.0136364,0.00752653,0,0,0.0106977,0,0.0114358,0.00882127,0.0331259,0.0204954,0.0337366,0.0128738,0.00779174,0.0148633,0.00622241,0.0140348,0.00835685,0.00671413,0.0150507,0.0485683,0.0126917,0.0149007,0.0313502,0.00666728,0.00739933,0.00326187,0.0145698,0.0065026
0,0.00877575,0.0148345,0.0368414,0.0172222,0.00550744,0.00566045,0,0,0.0148507,0,0.0174349,0.00769987,0.0252543,0.016812,0.0222959,0.0045061,0.00322968,0.0183895,0.00458903,0.0109228,0.00720176,0.0205117,0.00514182,0.0129848,0.00173955,0.0221789,0.0558069,0.00988698,0.0127819,0.00304368,0.0141759,0.0104779,0.0219666,0.0112166,0.00922641,0,0,0.01137,0,0.0115094,0.00788142,0.0374398,0.0249201,0.0319873,0.00907927,0.0107894,0.0151422,0.00708933,0.0155852,0.00686474,0.00479088,0.0139892,0.0533946,0.00719738,0.0152694,0.0199996,0.00368037,0.00541805,0.00220965,0.0174712,0.0060918
1,0.0087944,0.0151061,0.0335843,0.0167836,0.00462397,0.00537265,0,0,0.0140129,0,0.0177752,0.00682646,0.0257653,0.0164838,0.0219837,0.00444169,0.00410405,0.0184905,0.00416998,0.00974146,0.00677401,0.0198407,0.00489086,0.0116862,0.00139137,0.0220283,0.0518511,0.00971483,0.0130628,0.00244302,0.0131082,0.0102387,0.020477,0.011455,0.00919704,0,0,0.0124033,0,0.0119516,0.00858012,0.037798,0.0238614,0.0316234,0.0102192,0.0110729,0.0152031,0.00673998,0.0155275,0.00684761,0.00303145,0.0131928,0.0532868,0.00680759,0.0143992,0.0202795,0.00285991,0.00599602,0.00242643,0.0173498,0.00599671
2,0.00901613,0.0153175,0.0304027,0.0162817,0.00522841,0.0050959,0,0,0.0131208,0,0.0181752,0.00579685,0.0265252,0.0168337,0.0214038,0.00495778,0.00461199,0.0184807,0.00388721,0.00910142,0.00653821,0.0191499,0.00477344,0.0105843,0.00114783,0.0219427,0.0481612,0.00939312,0.0133781,0.00188157,0.0128161,0.00995274,0.0179294,0.0116216,0.00932843,0,0,0.0136131,0,0.0123617,0.0093607,0.0372945,0.0220115,0.0313001,0.0100506,0.0103059,0.0152646,0.00581509,0.0155925,0.00689608,0.00183148,0.0111617,0.0525537,0.00565473,0.0112091,0.0198714,0.00255811,0.00655297,0.00273235,0.0170638,0.00588508
3,0.00948404,0.0153406,0.0261491,0.0158208,0.00703978,0.00471539,0,0,0.0122459,0,0.0186233,0.00482093,0.0270231,0.0173957,0.0207523,0.005832,0.00508045,0.0183601,0.00365702,0.00871016,0.00644559,0.0184536,0.004619,0.0092092,0.000994163,0.0218705,0.0437164,0.00899085,0.0136879,0.0015463,0.0121408,0.00969097,0.0152707,0.0118844,0.0096818,0,0,0.0151439,0,0.0127138,0.0102739,0.0365293,0.0197827,0.0308791,0.00925527,0.00897066,0.0152379,0.00490441,0.0154225,0.00701928,0.00185393,0.00906665,0.0511422,0.00402677,0.00799794,0.0182662,0.00304369,0.00714404,0.00309534,0.0165244,0.00613613
4,0.00967115,0.0151539,0.020694,0.0154637,0.00928379,0.00413061,0,0,0.0114746,0,0.0190153,0.00429857,0.0269195,0.0179699,0.0201653,0.00644972,0.0052996,0.0179511,0.00359456,0.00834944,0.00637403,0.0179366,0.00429458,0.00718386,0.00111052,0.0218548,0.0379994,0.00847776,0.0139524,0.00150644,0.0107967,0.00954952,0.0137236,0.0121279,0.00985811,0,0,0.0161618,0,0.013026,0.010864,0.0359691,0.0177342,0.030709,0.00888928,0.00781282,0.015205,0.00433214,0.0148673,0.00673752,0.00212465,0.00772144,0.0496034,0.0025605,0.00652929,0.0178103,0.00375599,0.00759367,0.00347993,0.0158466,0.00645773
5,0.0103917,0.0149142,0.0144062,0.0151798,0.0117608,0.00329586,0,0,0.0106292,0,0.0193456,0.00422298,0.0266187,0.0187556,0.0197073,0.00714171,0.00495864,0.0173462,0.00350923,0.00784864,0.00638769,0.0174975,0.00399641,0.00514988,0.00160979,0.0217672,0.0321479,0.00737732,0.0141676,0.00130958,0.009338,0.0094025,0.0128008,0.0124685,0.0106749,0,0,0.0118583,0,0.0129312,0.00986263,0.0356763,0.0159195,0.0308727,0.009123,0.00716121,0.0153269,0.00406836,0.0141414,0.00608608,0.00228248,0.00733701,0.0481444,0.00181057,0.00666423,0.0184261,0.00238724,0.00708353,0.00352924,0.0150683,0.00757748
6,0.0104739,0.0144997,0.00824283,0.015049,0.0141627,0.0023428,0,0,0.0101566,0,0.0194084,0.00417969,0.026484,0.0197473,0.0192586,0.00762025,0.00472148,0.0166031,0.00356558,0.00706494,0.00622324,0.0171629,0.00390847,0.00392878,0.00229163,0.0216547,0.0261183,0.00645586,0.0141936,0.000995338,0.00809774,0.00957538,0.0118239,0.0128311,0.0107343,0,0,0.0124692,0,0.0131093,0.0101133,0.0353783,0.013964,0.0311139,0.00926074,0.0067169,0.0152913,0.0039501,0.0134054,0.00539533,0.00237904,0.00714929,0.0469044,0.00202827,0.0071144,0.0178994,0.00276118,0.00767591,0.00367222,0.0145536,0.0081347
7,0.00936676,0.0142621,0.0038032,0.0151509,0.0163602,0.00157282,0,0,0.00975674,0,0.0192481,0.00445122,0.0264965,0.021247,0.0188463,0.00801326,0.004711,0.0156953,0.00380605,0.00619397,0.00592313,0.0169074,0.00442858,0.00462204,0.0030395,0.0215438,0.0207639,0.00595032,0.014047,0.00114425,0.00742551,0.00989987,0.0107786,0.0130368,0.00983049,0,0,0.0115189,0,0.0132017,0.00993154,0.0350784,0.011734,0.0314492,0.0089549,0.0062068,0.0152653,0.00390507,0.0127495,0.00506026,0.00238766,0.0068627,0.0461041,0.00244842,0.0074955,0.016886,0.00294794,0.00808313,0.00364634,0.0148604,0.00733566
8,0.00915356,0.0137474,0.00604439,0.0152714,0.018205,0.00136091,0,0,0.00957328,0,0.0191934,0.00488282,0.0265966,0.0232023,0.0185244,0.00806947,0.0049059,0.0147326,0.00414683,0.00562151,0.00560506,0.0168616,0.0054074,0.00649018,0.0037333,0.0214942,0.01785,0.00516476,0.0139507,0.00138329,0.00806518,0.0103203,0.00983131,0.0129455,0.00955842,0,0,0.0102398,0,0.0131801,0.0093883,0.0347604,0.00956701,0.0318373,0.00861116,0.00575306,0.0149602,0.00378597,0.0120318,0.00542086,0.00285666,0.00653244,0.0457486,0.00272858,0.00805572,0.0167793,0.00317548,0.00828407,0.00351489,0.0146487,0.0075291
