Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.00572968,0.0119103,0.031917,0.0157631,0.0154213,0.00560835,0,0,0.0103868,0,0.019567,0.00662974,0.0265185,0.0164138,0.0231115,0.00701435,0.00593385,0.013068,0.00614194,0.0134997,0.00848549,0.0186754,0.0092578,0.0140082,0.00483466,0.0228195,0.0427691,0.00669006,0.0134762,0.0030337,0.017591,0.0119084,0.0206748,0.0121983,0.00635188,0,0,0.0108408,0,0.0113975,0.00826186,0.0340852,0.0189467,0.0333431,0.00933072,0.00701032,0.0134133,0.00603785,0.0131065,0.00719073,0.00675604,0.0119228,0.0478731,0.0104449,0.012455,0.030619,0.00459868,0.00696638,0.00272057,0.0139062,0.00323529
0,0.00498825,0.00650502,0.0377556,0.016655,0.0174405,0.00815139,0,0,0.0087521,0,0.0173316,0.0066769,0.0233075,0.0124738,0.0266979,0.0064926,0.00415017,0.00681762,0.00443934,0.00937487,0.00771058,0.0210332,0.00844702,0.0142718,0.00487418,0.0239849,0.0506196,0.00293808,0.012936,0.00215026,0.0149158,0.0130329,0.0110175,0.0111378,0.0053153,0,0,0.0032708,0,0.0104175,0.00351142,0.0341796,0.0179507,0.0294928,0.00478467,0.00562216,0.0117949,0.00651725,0.00660606,0.00759044,0.00843463,0.0102358,0.0356308,0.00910576,0.0139446,0.0325667,0.00551111,0.00176065,0.00234347,0.00476727,0.00319889
1,0.00482457,0.00656033,0.0367277,0.016737,0.017493,0.00790524,0,0,0.00954362,0,0.0172323,0.00687008,0.0231518,0.0129638,0.0267597,0.00652659,0.00347234,0.00742035,0.00441698,0.00951527,0.00777309,0.0207094,0.00863383,0.0143886,0.00492308,0.0239004,0.049825,0.00352814,0.012745,0.00216348,0.011769,0.0129148,0.0096544,0.0112716,0.0052001,0,0,0.00385754,0,0.010536,0.00326673,0.0349009,0.0176566,0.0292338,0.00451966,0.00546955,0.0119722,0.00730546,0.00795815,0.00782985,0.00848835,0.00942212,0.0383338,0.00690456,0.013224,0.0284948,0.00519177,0.00143153,0.00220699,0.00502545,0.00266266
2,0.00469792,0.0066912,0.0368858,0.0167956,0.0176468,0.00767582,0,0,0.0100891,0,0.0172677,0.00709597,0.0229802,0.0135123,0.0268305,0.00652047,0.00314263,0.00801744,0.00461143,0.0102254,0.00811481,0.0207262,0.00884682,0.0148448,0.00507589,0.0239148,0.0502447,0.00392001,0.0127393,0.00218998,0.00914689,0.012783,0.00871618,0.0114548,0.00527923,0,0,0.00476166,0,0.0106358,0.00309937,0.0355384,0.0163616,0.0291485,0.00451847,0.00558631,0.0122253,0.00780586,0.00948567,0.00797418,0.0085239,0.00808368,0.0412744,0.00456224,0.0114519,0.0245498,0.0050213,0.00119512,0.00209522,0.00528824,0.00230015
3,0.00462618,0.00690249,0.0375031,0.0167588,0.0179313,0.00745149,0,0,0.0103605,0,0.0172213,0.00724712,0.0228593,0.0140964,0.026882,0.00650246,0.00285728,0.00863378,0.00482043,0.011134,0.00852428,0.0207693,0.0090235,0.0152804,0.00525171,0.0239991,0.0510513,0.00414815,0.012754,0.00218772,0.00715819,0.0125901,0.00856233,0.0116882,0.00551049,0,0,0.00577513,0,0.0107636,0.00314472,0.0361637,0.0147022,0.0291092,0.00483472,0.00579584,0.0125133,0.00821449,0.0111267,0.00822708,0.00859112,0.00652819,0.0443026,0.00240874,0.0089888,0.0207437,0.00488626,0.00108508,0.00202287,0.00562438,0.00187071
4,0.00421744,0.00772395,0.0380618,0.0168159,0.0181246,0.00726605,0,0,0.0118701,0,0.0171673,0.00799489,0.0228014,0.0146592,0.026938,0.00644179,0.00254871,0.00923283,0.00492462,0.0120032,0.00878686,0.0207532,0.00911194,0.0154474,0.00534996,0.0240838,0.0517303,0.00469215,0.012756,0.00229418,0.00597365,0.0123395,0.009326,0.0118321,0.0048939,0,0,0.00294207,0,0.0104557,0.00193562,0.0368667,0.0130522,0.0292534,0.00524579,0.00622696,0.0118332,0.0087358,0.0127648,0.00873032,0.00890914,0.00537653,0.0474782,0.00242059,0.0065203,0.0169422,0.00499773,0.00101436,0.00142464,0.00692355,0.00267393
5,0.00423991,0.0080815,0.0385647,0.0168296,0.0181892,0.00705232,0,0,0.0120955,0,0.0172207,0.008019,0.0227444,0.0150403,0.0269412,0.00637034,0.00243554,0.00981077,0.0049678,0.0126873,0.00893061,0.0207081,0.0091254,0.0153915,0.00536726,0.0241625,0.0522664,0.00487987,0.0128002,0.00226364,0.00578038,0.0121515,0.0108692,0.0118233,0.00493664,0,0,0.00410905,0,0.0105171,0.00191451,0.0376408,0.0120671,0.0295124,0.00578951,0.00677024,0.0120117,0.00935743,0.0143405,0.00939075,0.00940441,0.005833,0.0506962,0.00502843,0.00554902,0.0133132,0.00474223,0.000791195,0.001272,0.00745769,0.00246586
6,0.00432079,0.00843772,0.0393514,0.0168482,0.0183955,0.00689146,0,0,0.0121067,0,0.0172877,0.00793798,0.0228097,0.0154121,0.0268856,0.00619569,0.00239668,0.0103888,0.00492093,0.0130959,0.009012,0.0207659,0.0090256,0.0153316,0.00534903,0.0242455,0.0530282,0.00499521,0.0128104,0.00224523,0.00660139,0.0119589,0.0128095,0.0117129,0.00502784,0,0,0.00561934,0,0.0106029,0.00230832,0.0383646,0.01213,0.0298777,0.00647645,0.00744814,0.0123626,0.00994211,0.0156504,0.0100564,0.0100248,0.0076656,0.0537814,0.00793362,0.00672622,0.0104156,0.00455784,0.000819833,0.00114313,0.00799029,0.00226213
7,0.0042244,0.00876269,0.0401085,0.0167881,0.018613,0.00673256,0,0,0.0117555,0,0.0173428,0.00753602,0.022963,0.0157495,0.026703,0.00602763,0.00233335,0.0109815,0.00479546,0.0132951,0.00905023,0.0207233,0.0088972,0.0153761,0.00535624,0.0242077,0.0539058,0.00502629,0.0128421,0.00223096,0.00859183,0.0116704,0.0150372,0.01174,0.00524686,0,0,0.00467286,0,0.0106705,0.00197879,0.0389181,0.0130429,0.0302299,0.00705722,0.00817509,0.0124936,0.0103423,0.0166341,0.010555,0.0105792,0.00962807,0.0563839,0.0104164,0.00838009,0.00943878,0.00448584,0.000665668,0.000783983,0.0085647,0.0021314
8,0.00465265,0.0091123,0.0404423,0.0167438,0.0184886,0.00660585,0,0,0.0116062,0,0.0173735,0.00729128,0.0232073,0.0160385,0.0264976,0.00594814,0.00227731,0.0114915,0.00455962,0.0132626,0.00899914,0.0205839,0.00869606,0.0153567,0.00525588,0.0241112,0.054553,0.00504449,0.0128145,0.00219977,0.0103334,0.0115192,0.0170338,0.0118068,0.00527616,0,0,0.00905322,0,0.0108942,0.00396516,0.0392745,0.0145121,0.0306229,0.00754881,0.00896586,0.012752,0.0105963,0.0170419,0.0107656,0.0109418,0.0114115,0.0585164,0.012471,0.0100478,0.00991417,0.00455597,0.0014689,0.000992222,0.00898733,0.00193117
