Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.00843234,0.0149746,0.0311107,0.0137667,0.0158263,0.00543346,0,0,0.0116351,0,0.0218123,0.00760941,0.0260718,0.0190098,0.0211758,0.00771083,0.00585562,0.0143777,0.00612889,0.0131898,0.00838403,0.0184172,0.00986037,0.0148297,0.00585777,0.0228906,0.0401913,0.00798125,0.0142543,0.00357448,0.019387,0.00996059,0.0212831,0.0127657,0.00638072,0,0,0.00993939,0,0.011943,0.00802077,0.0338093,0.0211433,0.0316768,0.00869503,0.00872794,0.0149971,0.0057006,0.0143897,0.007308,0.00664444,0.0112604,0.0450694,0.0095775,0.0123023,0.0281395,0.00772642,0.00627278,0.00346776,0.0165182,0.00497429
0,0.00761789,0.0200529,0.0314512,0.0153904,0.00460753,0.00353907,0,0,0.00981298,0,0.0190688,0.00115475,0.023838,0.0210931,0.0209918,0.00436257,0.00493189,0.0167405,0.00633341,0.0114513,0.00877638,0.0216,0.00613235,0.0145431,0.00326605,0.0244239,0.049951,0.0108131,0.0140069,0.00223592,0.017855,0.00665092,0.0170814,0.0121677,0.0100689,0,0,0.00813435,0,0.0143794,0.0116526,0.0382802,0.0207639,0.0296797,0.00656917,0.00759039,0.0235046,0.00645856,0.0154058,0.00587883,0.00624029,0.0109197,0.0534236,0.00772066,0.0116293,0.0138042,0.00370416,0.00731703,0.00448844,0.0232649,0.00248773
1,0.00760402,0.0200039,0.0305116,0.0153824,0.00442891,0.00377066,0,0,0.00961873,0,0.0190563,0.00105981,0.0239269,0.0207079,0.0209582,0.00447762,0.00533166,0.0165915,0.0060959,0.0108343,0.00842902,0.0213052,0.00587713,0.013695,0.00304912,0.0242299,0.0487123,0.0106981,0.0139433,0.00200351,0.016965,0.0066984,0.0163604,0.0131206,0.0101807,0,0,0.00809663,0,0.0145444,0.0115987,0.038482,0.0219919,0.0291435,0.0068074,0.0074217,0.0233615,0.00644143,0.0137809,0.00541812,0.00574113,0.0104176,0.0512406,0.00627644,0.011735,0.0144004,0.00402705,0.0078202,0.00442305,0.0234786,0.00252821
2,0.00753784,0.019881,0.0298441,0.0152937,0.00453293,0.00380483,0,0,0.0096561,0,0.0189915,0.00136414,0.0242406,0.0204635,0.020677,0.00488031,0.00555497,0.0163725,0.00582544,0.0102447,0.00798881,0.020862,0.00568359,0.0129387,0.00273244,0.0240626,0.0480297,0.0107477,0.0137624,0.0018295,0.0167443,0.00673774,0.0171043,0.0133273,0.0101697,0,0,0.00834893,0,0.0146709,0.0116384,0.0383789,0.0226979,0.0292374,0.00748794,0.00748242,0.0230933,0.00606732,0.0127564,0.00490081,0.00470055,0.0111227,0.0503635,0.00577965,0.0124232,0.0166451,0.00429495,0.00803249,0.00430448,0.0235019,0.00240818
3,0.00739214,0.0197415,0.0288745,0.0151599,0.00485138,0.00370041,0,0,0.00992609,0,0.0190522,0.00192722,0.0246093,0.0200538,0.0202784,0.00531689,0.00573132,0.016119,0.0055678,0.00962043,0.00752115,0.0204088,0.00553206,0.012269,0.00237263,0.0239513,0.0471424,0.0110122,0.0136823,0.0018098,0.0165172,0.00670717,0.0183676,0.0131939,0.0100711,0,0,0.00884373,0,0.0148399,0.0118311,0.0382275,0.022186,0.0296109,0.00873499,0.00770313,0.0230352,0.00558153,0.012631,0.00468888,0.00311218,0.0123745,0.0505797,0.00544909,0.0134093,0.0190612,0.00456924,0.00816918,0.00431037,0.0233261,0.00223452
4,0.00727409,0.0195391,0.0276088,0.0149436,0.00533304,0.00347096,0,0,0.010406,0,0.0191857,0.00263025,0.0250007,0.0194196,0.019809,0.00562505,0.00586933,0.0158475,0.00538618,0.00907589,0.00713678,0.0199835,0.00559443,0.0118213,0.00207039,0.0239092,0.0456374,0.0113865,0.0137345,0.00187749,0.0151687,0.00655958,0.018111,0.0131428,0.00986632,0,0,0.00960758,0,0.0150666,0.0121737,0.0379017,0.0201908,0.0299365,0.0097101,0.00775901,0.0228843,0.00498472,0.0130266,0.00508617,0.0012891,0.0122063,0.0510483,0.00496249,0.0125868,0.0199736,0.0049036,0.00836175,0.00443269,0.022954,0.00213876
5,0.0074269,0.0193801,0.0257158,0.0147446,0.00630685,0.00319951,0,0,0.0107491,0,0.0195014,0.00334969,0.0254181,0.0186854,0.0193475,0.00616278,0.00594874,0.015565,0.00517079,0.00863619,0.00678804,0.0194231,0.00563102,0.0109899,0.00160841,0.0237184,0.0435932,0.0115988,0.01396,0.00204413,0.0124116,0.00620602,0.0158455,0.0130901,0.00998152,0,0,0.00736555,0,0.0150504,0.011904,0.0373988,0.0177944,0.0301569,0.00935026,0.00744841,0.0228801,0.00428814,0.0132286,0.00559433,0.000876435,0.0101094,0.0511704,0.0044166,0.00922525,0.019059,0.00461366,0.00802832,0.00477712,0.0225687,0.0022368
6,0.00773925,0.0189215,0.0229035,0.0145696,0.00744979,0.00292925,0,0,0.0109841,0,0.0196564,0.00393334,0.0257518,0.0181363,0.0189471,0.00671701,0.00596733,0.0152406,0.00494031,0.00826937,0.00654354,0.0187738,0.00549834,0.00959497,0.00127934,0.0234448,0.0405794,0.0116611,0.0140841,0.00215653,0.0101147,0.00606669,0.0130163,0.013179,0.00989247,0,0,0.00775532,0,0.0152583,0.0121821,0.0368363,0.0153379,0.0302584,0.0081075,0.00696205,0.0224308,0.00352832,0.013041,0.00589632,0.00200181,0.00729858,0.0506595,0.00340278,0.00503019,0.0176269,0.00479972,0.00807911,0.00492879,0.0218346,0.00261545
7,0.00771013,0.0184288,0.0189921,0.0144882,0.0088872,0.0028337,0,0,0.0112061,0,0.0195925,0.00413315,0.0258729,0.0181179,0.0185064,0.00715949,0.00588131,0.0148378,0.0047565,0.00789714,0.00638219,0.0181838,0.00517122,0.00772067,0.00140327,0.023253,0.0361518,0.0117363,0.0139959,0.00215367,0.00900134,0.00602241,0.0111516,0.0132909,0.00958592,0,0,0.00817046,0,0.0154022,0.0124043,0.0363926,0.0132497,0.0303314,0.00676282,0.00651695,0.021841,0.0030121,0.0125751,0.00602756,0.00297078,0.00534416,0.0497352,0.00229846,0.00367469,0.017542,0.00485663,0.00822668,0.00495843,0.0211064,0.00273793
8,0.00758394,0.0178871,0.014405,0.0144542,0.0107419,0.00302576,0,0,0.0109369,0,0.0196617,0.00417476,0.025941,0.0179607,0.0181205,0.00785053,0.00565675,0.014253,0.00450014,0.00751806,0.00632013,0.0176571,0.00508263,0.00622476,0.00167835,0.0231185,0.0317408,0.0115243,0.0140201,0.0021463,0.00904495,0.00601369,0.0100106,0.0133925,0.00930797,0,0,0.0074797,0,0.0154161,0.0122642,0.0360315,0.011993,0.0304525,0.00590358,0.00627603,0.0211752,0.00285187,0.0121334,0.00574878,0.00345891,0.00461584,0.048783,0.00137649,0.00500847,0.0188161,0.00450621,0.00823872,0.00498,0.0203901,0.00285316
