Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0262764,0.023676,0.0256476,0.0151335,0.0152493,0.0153044,0,0,0.013091,0,0.0213502,0.00932805,0.0310938,0.0228922,0.0237164,0.0109922,0.0238444,0.0224051,0.0106183,0.0178679,0.0130953,0.0157705,0.0109411,0.0153166,0.00638263,0.0225623,0.0370076,0.0081021,0.0134652,0.0047298,0.0224846,0.0120738,0.027587,0.0159573,0.0234299,0,0,0.0183495,0,0.00841548,0.0114669,0.0369528,0.0225291,0.0395578,0.0123612,0.0226763,0.0221936,0.00917037,0.0128068,0.0108422,0.00938719,0.0158196,0.0370394,0.0146599,0.0149393,0.0341732,0.00890172,0.00805094,0.00548258,0.0213509,0.018091
0,0.0210038,0.0213401,0.0350851,0.0168956,0.0135878,0.00671435,0,0,0.00559218,0,0.0177522,0.00352628,0.026645,0.0157368,0.0234673,0.0082949,0.0135987,0.0214347,0.00503973,0.00594401,0.00560637,0.0174921,0.00374573,0.00749618,0.0046263,0.0227524,0.0462878,0.00360725,0.0120409,0.00242665,0.0194595,0.0109714,0.0219023,0.0154524,0.0212699,0,0,0.0189012,0,0.00894975,0.0117268,0.0406529,0.0337981,0.0406816,0.0167143,0.0279469,0.0163223,0.0131601,0.0196497,0.0124273,0.0114965,0.0150915,0.0377844,0.00948307,0.0177908,0.0231998,0.0062852,0.0080671,0.00257889,0.0182702,0.0136444
1,0.0225755,0.0226098,0.0342131,0.0167225,0.0127401,0.00766026,0,0,0.00544503,0,0.0179264,0.00347986,0.0270987,0.0147609,0.0230819,0.00877435,0.0139225,0.0236374,0.00499406,0.00618603,0.00580887,0.0166838,0.00393131,0.0069026,0.0045414,0.0227054,0.0453801,0.0045466,0.0121317,0.00239715,0.0187824,0.0107016,0.0212722,0.0153467,0.0221975,0,0,0.0193868,0,0.00897106,0.0120751,0.0407518,0.0363611,0.0410324,0.0162735,0.0285541,0.0164776,0.0120877,0.0149865,0.0118357,0.0112411,0.0157861,0.0378663,0.00889231,0.0198178,0.0348472,0.00634281,0.00787736,0.0029568,0.0186895,0.0147365
2,0.0229383,0.023011,0.032684,0.0166749,0.0113533,0.00774893,0,0,0.00558104,0,0.0178627,0.00337947,0.0273092,0.0131238,0.0228577,0.00945523,0.0139103,0.0240198,0.00492621,0.00661678,0.00616725,0.0159765,0.00432806,0.00628034,0.00439167,0.0227833,0.0433953,0.00474786,0.0121278,0.00232694,0.0188012,0.0105784,0.0228464,0.0151676,0.0225759,0,0,0.0195056,0,0.00892676,0.0122847,0.0407216,0.0367841,0.0410018,0.0169089,0.0285459,0.0164516,0.011584,0.0146803,0.0110742,0.0100852,0.0181506,0.0383704,0.00883695,0.0228253,0.0381838,0.00622289,0.00769741,0.00309874,0.0188087,0.0152612
3,0.0231066,0.0231328,0.0306313,0.0166393,0.00990694,0.00795002,0,0,0.00562448,0,0.0180005,0.0032711,0.027625,0.0112888,0.0226274,0.0100373,0.0142289,0.0239257,0.00495584,0.00733792,0.00675414,0.015277,0.00477323,0.00574233,0.00431126,0.0228767,0.0404372,0.00473412,0.0122626,0.00225066,0.0182483,0.010408,0.0232377,0.0153289,0.0229216,0,0,0.0193574,0,0.0089327,0.0125136,0.0406381,0.0359604,0.0408034,0.0175387,0.0284634,0.016496,0.011189,0.0147057,0.0104286,0.00878564,0.0189448,0.0388265,0.00847058,0.0239518,0.0381027,0.00589455,0.00757576,0.00324526,0.0188269,0.0156815
4,0.023452,0.0233226,0.0283732,0.0166272,0.00862441,0.00816751,0,0,0.00532801,0,0.0183484,0.00314793,0.0281699,0.00944975,0.0225411,0.0104941,0.0132949,0.023849,0.00509683,0.00831299,0.00755087,0.0146287,0.00525919,0.00545593,0.00433642,0.0229819,0.0371002,0.00478966,0.0125351,0.00236788,0.0166118,0.0101533,0.0218387,0.0147695,0.0235497,0,0,0.0188098,0,0.00901609,0.0127312,0.0402539,0.0341336,0.0403065,0.0168799,0.0266038,0.017301,0.0106037,0.0144758,0.0099418,0.00763246,0.0178234,0.0388353,0.008258,0.0225304,0.0350142,0.00511342,0.00755189,0.00337782,0.0187269,0.0163355
5,0.0236396,0.0231282,0.0258948,0.0167381,0.00748093,0.00868572,0,0,0.0044696,0,0.0182693,0.00295586,0.0286888,0.00769344,0.0221714,0.0109016,0.0131404,0.0236578,0.00542288,0.00955808,0.00855096,0.0140161,0.0057237,0.00549667,0.00433209,0.0231782,0.0332661,0.00500523,0.0124735,0.00250546,0.0140127,0.0101465,0.0196004,0.0151396,0.0237325,0,0,0.0184985,0,0.00895016,0.0127398,0.0397149,0.031226,0.0397423,0.0157108,0.0253916,0.0174423,0.00982429,0.0138587,0.00967544,0.00667622,0.0160752,0.0382467,0.00849294,0.019975,0.030459,0.0049104,0.00756291,0.00346312,0.0182176,0.0164816
6,0.023651,0.0228961,0.0228384,0.0168862,0.00672384,0.00977457,0,0,0.00382302,0,0.0182464,0.00254479,0.0292213,0.00667593,0.0219722,0.0114408,0.014568,0.0233181,0.00596339,0.0113371,0.0098734,0.0132444,0.00628735,0.00634654,0.00425009,0.0232234,0.0281051,0.00537464,0.0125157,0.00272259,0.0113803,0.0102056,0.0175345,0.0162362,0.0235873,0,0,0.0182335,0,0.00891471,0.0125732,0.0396663,0.0278922,0.0396381,0.0151797,0.0259181,0.0171684,0.00959332,0.0132853,0.00999969,0.00634437,0.0148102,0.0371157,0.00928745,0.0177555,0.0281174,0.00491574,0.00762495,0.00349973,0.017779,0.0162545
7,0.0234587,0.0227139,0.0194476,0.0169885,0.00597281,0.0104662,0,0,0.003194,0,0.0181752,0.00205494,0.0295294,0.00664346,0.0222002,0.012366,0.0160445,0.0230112,0.00633367,0.0132316,0.0112775,0.0124622,0.00734822,0.00841924,0.00429915,0.0232128,0.0224997,0.00590539,0.0125485,0.00294095,0.0100628,0.0103164,0.0160791,0.0171253,0.023279,0,0,0.0180403,0,0.00893546,0.0122766,0.039861,0.0248263,0.0396531,0.0150112,0.0264488,0.0169266,0.0097867,0.0128065,0.0101422,0.00613152,0.0144343,0.0360317,0.0102385,0.0165212,0.0285378,0.00494651,0.00775743,0.00342127,0.0175425,0.015974
8,0.0231503,0.0225076,0.0161474,0.0170193,0.0053041,0.0107803,0,0,0.00296381,0,0.017806,0.00186017,0.0297444,0.00796826,0.0225338,0.0134647,0.0174694,0.0227979,0.00659717,0.0152349,0.0127673,0.0118496,0.00884002,0.011245,0.00450726,0.0231864,0.0167475,0.00638872,0.0122829,0.00286479,0.0102473,0.0104945,0.0150912,0.0177267,0.0228721,0,0,0.0181017,0,0.00897294,0.0120644,0.0399323,0.0224526,0.0396101,0.0147976,0.0268784,0.016727,0.00996931,0.0122294,0.0100037,0.00594399,0.0145044,0.0350823,0.0111322,0.0160661,0.0288423,0.0050931,0.00793795,0.00326146,0.0174304,0.0156707
