Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0161439,0.019529,0.0330671,0.0152869,0.0186052,0.00771034,0,0,0.0105411,0,0.0208556,0.00543099,0.0298546,0.0206021,0.02668,0.0107776,0.00972903,0.020263,0.00924559,0.0140059,0.0103295,0.0194435,0.0126483,0.0169093,0.00814994,0.0207285,0.0415494,0.00763167,0.0141608,0.00418161,0.0178428,0.00796201,0.021341,0.013874,0.0146486,0,0,0.0233295,0,0.0112622,0.0160705,0.03493,0.0154396,0.0395945,0.0121335,0.00998355,0.0198131,0.00672277,0.0119524,0.00821982,0.00820403,0.0124964,0.0438328,0.0108224,0.0117502,0.0281345,0.0170997,0.0084886,0.00785949,0.0182221,0.0107812
0,0.0153859,0.0186183,0.00472653,0.0153091,0.0200647,0.00492708,0,0,0.0100575,0,0.0198017,0.00509671,0.0290878,0.0247908,0.0223405,0.0122076,0.00282107,0.0119183,0.0059869,0.0048285,0.00727414,0.0196518,0.0124078,0.0129385,0.00796555,0.0178347,0.0237075,0.00623754,0.0139393,0.00430303,0.0114195,0.00292505,0.0113205,0.00769288,0.0169094,0,0,0.0126743,0,0.0188504,0.0170975,0.0357705,0.0130944,0.0371075,0.00892853,0.0128983,0.0189177,0.00571498,0.0113959,0.00588417,0.00456353,0.00816901,0.0417851,0.00562636,0.00965428,0.0239204,0.00527253,0.0110134,0.00911262,0.0188796,0.00904068
1,0.0147945,0.017588,0.00890626,0.0156273,0.0207418,0.00456732,0,0,0.00851922,0,0.0193553,0.00375232,0.0286597,0.024559,0.0220635,0.0121676,0.00244737,0.0115087,0.00621306,0.00277057,0.00665778,0.0195286,0.0124572,0.0124496,0.00776808,0.018292,0.020491,0.00575608,0.0135766,0.00395648,0.0118787,0.00297088,0.00990175,0.00702009,0.0161284,0,0,0.0138134,0,0.0185751,0.017045,0.0359519,0.0105957,0.0379748,0.00831704,0.0114022,0.0182501,0.00583032,0.0102821,0.00646769,0.00422044,0.00793863,0.041627,0.00584763,0.00996529,0.0237304,0.00574055,0.0113245,0.00879369,0.0178503,0.00869293
2,0.0142595,0.0167872,0.0148643,0.0158794,0.0214647,0.00412829,0,0,0.007532,0,0.019028,0.00295744,0.0287847,0.0246795,0.021811,0.0120473,0.00307244,0.0110006,0.00682345,0.000609093,0.00626526,0.0196264,0.0127421,0.0128698,0.00770092,0.0186702,0.0204956,0.00567016,0.0133795,0.00382657,0.0130716,0.00306591,0.00898112,0.00663869,0.015399,0,0,0.0152407,0,0.0184443,0.017202,0.035696,0.008323,0.0386079,0.00763617,0.0109008,0.0176886,0.00519691,0.0100038,0.00678784,0.00354062,0.00794987,0.0418168,0.00586775,0.0104923,0.0228685,0.00630113,0.0116197,0.00844191,0.0170073,0.00820482
3,0.0136259,0.0159604,0.0206482,0.0161005,0.0220469,0.00364564,0,0,0.00679711,0,0.0188013,0.00245903,0.0290736,0.024475,0.0216065,0.0119665,0.00356243,0.0105058,0.00758802,0.00184405,0.00605131,0.0200658,0.01314,0.0137635,0.00763027,0.0191337,0.0226929,0.00571723,0.0132193,0.00373136,0.0142396,0.0032014,0.00822692,0.00620625,0.014593,0,0,0.0167646,0,0.0181651,0.0174799,0.0353129,0.00710821,0.0390403,0.00693529,0.0106992,0.0170267,0.00460098,0.0100567,0.00693467,0.00270614,0.0080263,0.0421089,0.00587754,0.0108912,0.0217401,0.00707338,0.0115211,0.00815835,0.0160505,0.00769277
4,0.012898,0.0151778,0.0261382,0.0162059,0.0221899,0.00328619,0,0,0.00652563,0,0.0186207,0.00228405,0.0292704,0.023858,0.021811,0.0115413,0.00421756,0.00988658,0.00839799,0.00474962,0.006167,0.0207819,0.0136323,0.0149901,0.00755072,0.0196905,0.0267749,0.00566007,0.0130903,0.00356115,0.0149098,0.0032921,0.00764897,0.00598572,0.0138766,0,0,0.0183497,0,0.017766,0.0179411,0.0351173,0.00677474,0.0393413,0.00636058,0.0106872,0.0165332,0.00417138,0.00995853,0.00688582,0.00217744,0.00786456,0.0422625,0.00586502,0.0107963,0.0208372,0.00786734,0.0113889,0.00808509,0.0151745,0.00721296
5,0.0121787,0.014279,0.0306629,0.0162951,0.0217169,0.00306808,0,0,0.00631217,0,0.0186688,0.00218968,0.0294797,0.0237358,0.0220704,0.010658,0.00495512,0.00923782,0.00915089,0.00785031,0.0066052,0.021423,0.0140989,0.016219,0.00747029,0.0202138,0.0323121,0.00538825,0.0132015,0.00341926,0.0148045,0.00331886,0.00734383,0.00579673,0.0132167,0,0,0.0202112,0,0.0172727,0.0185665,0.0349016,0.00657036,0.0395999,0.00587946,0.0107029,0.0159452,0.00379007,0.00966458,0.00653211,0.0019643,0.007223,0.0423354,0.0056047,0.0097926,0.0200243,0.00869707,0.0112881,0.00815156,0.0141879,0.0068314
6,0.0116191,0.0134114,0.0341641,0.0162887,0.0209886,0.00293925,0,0,0.00609568,0,0.0189156,0.00222812,0.0297458,0.0248578,0.0223748,0.00995433,0.00584596,0.0086554,0.0097928,0.0108415,0.0073653,0.021896,0.0144578,0.0175313,0.00748555,0.0206681,0.0387688,0.0049621,0.0133825,0.00327078,0.0140221,0.00329598,0.00681194,0.00549025,0.0126743,0,0,0.0221748,0,0.0167089,0.0192835,0.0346513,0.00612575,0.0397838,0.00548159,0.0105993,0.0154511,0.00341569,0.0093515,0.00598384,0.001986,0.00615096,0.0424775,0.00511797,0.00801291,0.0191398,0.00951681,0.0110745,0.00841018,0.0132883,0.00655446
7,0.0111866,0.0127035,0.037548,0.0162269,0.0203848,0.00289181,0,0,0.00602465,0,0.019115,0.00244868,0.0298961,0.0270493,0.0226818,0.00966897,0.00686092,0.00809468,0.0101731,0.0134933,0.00830575,0.0223626,0.0147837,0.018998,0.00767128,0.0210927,0.0460132,0.00442946,0.013481,0.00309072,0.0128647,0.00322859,0.00658021,0.00507152,0.0121771,0,0,0.0243138,0,0.0160658,0.0201145,0.0343389,0.00576024,0.0399637,0.00521025,0.0104576,0.0150079,0.00312231,0.00907422,0.00526377,0.0020599,0.00508094,0.0426467,0.00463309,0.00642502,0.018227,0.0105898,0.0104724,0.00879525,0.0125221,0.00629718
8,0.010868,0.0121149,0.0414378,0.0161417,0.020037,0.00308308,0,0,0.0060298,0,0.0192695,0.00257921,0.0299026,0.0298591,0.022975,0.00939094,0.00788103,0.00760278,0.0103664,0.0159165,0.00935132,0.0227081,0.0154873,0.0206179,0.00802577,0.0214401,0.0530686,0.00382422,0.0135411,0.00281875,0.0117519,0.00314858,0.00697603,0.0044921,0.0116854,0,0,0.0264034,0,0.015318,0.0209701,0.0340459,0.00569133,0.0401627,0.005065,0.0102044,0.0145801,0.00298085,0.00874562,0.00466311,0.00189963,0.00443431,0.0427945,0.00417784,0.00560754,0.0174514,0.0119534,0.0100271,0.00926634,0.0118921,0.00609034
