Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.00698776,0.0125769,0.0313017,0.0149403,0.0151949,0.00535461,0,0,0.0113663,0,0.0201111,0.00678019,0.0261101,0.0175468,0.022602,0.00793655,0.00472606,0.0125065,0.00632279,0.0137179,0.00913899,0.0193491,0.010116,0.015186,0.00512666,0.0228501,0.0420975,0.00579387,0.0135404,0.00326119,0.0182737,0.0117499,0.0210964,0.012731,0.00742494,0,0,0.00935344,0,0.0114515,0.0074332,0.0336972,0.0183775,0.0333214,0.00928312,0.00764309,0.0126087,0.0062636,0.013771,0.00775428,0.00650711,0.0120004,0.0468587,0.0106439,0.0124548,0.0301156,0.00618802,0.00713904,0.00287846,0.0140218,0.00425654
0,0.00575036,0.0106145,0.0330083,0.0165082,0.0162746,0.0063843,0,0,0.0095871,0,0.0175143,0.00541723,0.0221173,0.0168045,0.0279437,0.00971104,0.00148629,0.00900221,0.00468887,0.00640215,0.00451113,0.0194907,0.00717183,0.0109347,0.00734814,0.027901,0.0457237,0.00445511,0.0126161,0.00230011,0.0053347,0.0121213,0.0122591,0.0108241,0.00300179,0,0,0.00386268,0,0.0103366,0.00183041,0.0380721,0.0207451,0.0308235,0.00750377,0.00855426,0.0101581,0.00705423,0.00984116,0.00703005,0.00796971,0.00836275,0.0484387,0.00421195,0.0118529,0.0162494,0.00589616,0.00123765,0.00135195,0.0120838,0.00651419
1,0.00551319,0.0101979,0.04037,0.0168485,0.0165878,0.00521672,0,0,0.0109681,0,0.0174135,0.0070983,0.0225377,0.0176405,0.0261993,0.00570102,0.00209511,0.00879343,0.00553582,0.0116793,0.00823699,0.0205799,0.00737154,0.0148074,0.00512381,0.0240377,0.0542574,0.00386521,0.0125277,0.00244498,0.00698232,0.0123447,0.0141304,0.0114156,0.00256124,0,0,0.00373922,0,0.0103592,0.00221291,0.0384577,0.0209359,0.0309049,0.00805841,0.00878391,0.010682,0.00749443,0.0107225,0.00713403,0.00763366,0.0101014,0.0510446,0.00623206,0.0130824,0.0154937,0.00556735,0.00162699,0.00147041,0.0117006,0.00622795
2,0.0052623,0.0105029,0.0402064,0.0168284,0.0164611,0.00522392,0,0,0.0114421,0,0.0176777,0.00708403,0.0225028,0.017846,0.026331,0.00556703,0.00233934,0.00914082,0.00549041,0.0119372,0.00820162,0.0204186,0.00730886,0.0146501,0.00515493,0.0240293,0.0542668,0.00408582,0.0126939,0.00255042,0.00857941,0.0122222,0.0161716,0.0114795,0.00266121,0,0,0.00402502,0,0.0106463,0.00273808,0.0390213,0.021746,0.0309183,0.00864373,0.00924225,0.0107022,0.00804972,0.0118818,0.00744972,0.00771174,0.0112537,0.053336,0.00801594,0.013599,0.0152703,0.00517229,0.00214421,0.00144314,0.0121145,0.00603287
3,0.00491466,0.0108238,0.0404987,0.0167286,0.0164153,0.00525492,0,0,0.0117402,0,0.0177133,0.00696725,0.0225259,0.0180086,0.0264299,0.00547469,0.00254015,0.00951566,0.00538997,0.012226,0.00823078,0.0204646,0.00721329,0.0145278,0.00511738,0.0239602,0.0546595,0.00443054,0.0127724,0.00240183,0.0101254,0.0121131,0.0184374,0.0114747,0.00268335,0,0,0.0043608,0,0.0110607,0.00330366,0.0394471,0.0234803,0.0309033,0.00896194,0.00967839,0.0107425,0.00835869,0.013048,0.00767784,0.00781341,0.0120944,0.0552134,0.00945186,0.0138165,0.0159124,0.00488952,0.00282379,0.00153887,0.0124381,0.00567528
4,0.00548586,0.0116943,0.0405398,0.0168682,0.0160731,0.00559315,0,0,0.0142161,0,0.0175364,0.00828516,0.0227237,0.0180828,0.026482,0.00552629,0.00272111,0.00986721,0.00512996,0.0121838,0.00810571,0.0203865,0.00692254,0.0142152,0.00490565,0.0237451,0.0548466,0.00545267,0.0127067,0.002561,0.00999401,0.0120037,0.0197008,0.0110549,0.00401006,0,0,0.0053464,0,0.0106212,0.00389328,0.0396394,0.0247923,0.0312258,0.00938763,0.0101267,0.00993917,0.00861704,0.013499,0.00789509,0.00822141,0.0130697,0.0570593,0.0111501,0.014624,0.0160784,0.00589713,0.00398369,0.00137883,0.0137031,0.00689614
5,0.00526554,0.012003,0.0402054,0.0168992,0.0154134,0.0057726,0,0,0.0143,0,0.0178651,0.00843645,0.022856,0.0178809,0.0263815,0.00544547,0.00294453,0.0100833,0.00502756,0.0120938,0.00806846,0.0202551,0.00662494,0.0138843,0.00473056,0.023613,0.0548176,0.00553613,0.0130515,0.00278908,0.0105642,0.0119624,0.0212054,0.0110519,0.00429251,0,0,0.00561298,0,0.0109627,0.00477674,0.0397434,0.0264757,0.0312159,0.00950686,0.0104503,0.0100411,0.00868403,0.0141456,0.00798628,0.00841544,0.013753,0.0580618,0.0120187,0.0152367,0.016761,0.00556458,0.0052102,0.00168934,0.0140443,0.00672991
6,0.00507002,0.0124097,0.0398361,0.0168682,0.0145877,0.00593834,0,0,0.0141972,0,0.0179076,0.00823065,0.0229714,0.0177494,0.0262539,0.0053817,0.00312369,0.0102986,0.00491892,0.0119065,0.00795367,0.0202754,0.0063117,0.0136278,0.00455335,0.0235269,0.0548599,0.00565716,0.0131047,0.00277864,0.0109434,0.0119175,0.0222511,0.0110977,0.0045353,0,0,0.00587623,0,0.0113747,0.00565009,0.0398127,0.0277934,0.0310382,0.00958986,0.0106996,0.010139,0.00864139,0.0144726,0.00800013,0.00856969,0.0143391,0.0584859,0.012397,0.0159576,0.0173278,0.00531563,0.00641287,0.00215958,0.0144648,0.00647702
7,0.00479161,0.012836,0.0394956,0.0167858,0.0137936,0.00607584,0,0,0.0140488,0,0.0176336,0.00774119,0.0231314,0.0176853,0.026025,0.00531028,0.00323635,0.0105421,0.00482501,0.011587,0.00778892,0.0202775,0.00600586,0.0134351,0.0043089,0.0234628,0.0548248,0.00587587,0.0128428,0.0025662,0.0109554,0.0118996,0.0227395,0.0110818,0.00475737,0,0,0.00626549,0,0.0117667,0.00668378,0.0398948,0.0286728,0.030866,0.00961561,0.0109045,0.0104615,0.00854092,0.0145568,0.00792744,0.00858481,0.0147625,0.0583644,0.012325,0.016706,0.0176892,0.00511651,0.00767802,0.00271319,0.0149669,0.00614668
8,0.00459563,0.0132205,0.0391104,0.0167195,0.0129471,0.00617308,0,0,0.0139556,0,0.0175454,0.00746585,0.023292,0.0175944,0.02571,0.00525719,0.00341914,0.010782,0.00476879,0.0112312,0.00755436,0.0201949,0.00558931,0.0132238,0.00396867,0.02346,0.05465,0.00599548,0.012706,0.0024902,0.0105218,0.0118722,0.0225674,0.0110472,0.00493921,0,0,0.00646249,0,0.0122237,0.00751424,0.0400111,0.0291449,0.0308379,0.00956009,0.0109781,0.0107729,0.00840828,0.0143444,0.00776744,0.00845688,0.014844,0.0578316,0.0118917,0.0171793,0.0179841,0.00503629,0.0087509,0.00328399,0.0154572,0.00576032
