Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
84,0.00430615,0.00565365,0.0204369,0.0170616,0.0122113,0.00572084,0,0,0.00764087,0,0.0172086,0.00638964,0.0237553,0.00903113,0.0267967,0.00468272,0.00708034,0.00558783,0.004379,0.00693856,0.00614845,0.0199022,0.00753025,0.0134861,0.00449245,0.0235725,0.0306058,0.00314357,0.0122609,0.00255861,0.0323053,0.0132307,0.0358295,0.00905767,0.00473233,0,0,0.0160058,0,0.0109167,0.00681629,0.0309714,0.0224724,0.0301013,0.0154523,0.00539863,0.00505712,0.00513749,0.00156181,0.0114942,0.00912444,0.018424,0.0218023,0.0197252,0.0177522,0.0479427,0.0113168,0.00117843,0.00196341,0.00616329,0.00398433
85,0.00360649,0.00558671,0.0219334,0.0172677,0.0125159,0.00604061,0,0,0.008266,0,0.0172093,0.00679626,0.0235839,0.00920739,0.0266891,0.00488944,0.0068445,0.00563415,0.00444169,0.007342,0.00641133,0.0199799,0.0075298,0.0135883,0.00439955,0.0235617,0.0321241,0.00340867,0.0123691,0.00262731,0.0313189,0.0131426,0.0342589,0.009416,0.00400593,0,0,0.0161134,0,0.0109808,0.00671195,0.0311119,0.021936,0.0301782,0.0145919,0.0054322,0.00543507,0.00553458,0.00161526,0.0115621,0.00901291,0.0181119,0.0219287,0.0199159,0.0173207,0.048725,0.0114992,0.00108486,0.00193668,0.00614593,0.00312621
86,0.00525521,0.00599886,0.0230404,0.0175427,0.0129791,0.0062375,0,0,0.0115764,0,0.0168624,0.00863403,0.023519,0.00973224,0.026577,0.00498603,0.00647028,0.0068538,0.00445373,0.00753818,0.00650326,0.0200012,0.00746912,0.0134564,0.00448233,0.0236357,0.0335875,0.00496707,0.012044,0.00320468,0.0317163,0.0130657,0.032213,0.00977985,0.00409168,0,0,0.0145547,0,0.0106061,0.00569551,0.0312717,0.0224031,0.0303889,0.0136224,0.00579528,0.00499365,0.00564409,0.00182424,0.0117115,0.0091821,0.0176435,0.0224718,0.0196459,0.0168649,0.0489002,0.0107499,0.00112795,0.0019262,0.00688465,0.00437192
87,0.0049822,0.00599616,0.0241472,0.0176463,0.0132742,0.00642215,0,0,0.0125924,0,0.0169493,0.00920099,0.0235985,0.0100228,0.0265085,0.00497447,0.00609834,0.00727547,0.00456295,0.00820783,0.00670481,0.0199834,0.00746232,0.0133853,0.00447727,0.0236596,0.0350984,0.00561731,0.0120488,0.00329802,0.0313508,0.0129832,0.0303322,0.0100268,0.00336932,0,0,0.0139233,0,0.0105755,0.00531405,0.0317426,0.0229323,0.0305563,0.012543,0.00612366,0.00525302,0.00595592,0.00172906,0.0116789,0.00936408,0.017157,0.0231046,0.0193355,0.0166171,0.0501145,0.0106107,0.0013466,0.00186756,0.00693062,0.00378426
88,0.00476802,0.00604139,0.0251958,0.0177566,0.0136217,0.00649528,0,0,0.0135665,0,0.0172201,0.00969245,0.0236005,0.0103209,0.0264729,0.00500941,0.00567526,0.00772228,0.00468344,0.00864894,0.00685522,0.0200232,0.00747328,0.0133468,0.00443439,0.0236881,0.0364528,0.00624261,0.0121017,0.00332999,0.0305961,0.0129103,0.0284473,0.0102635,0.00266891,0,0,0.0133922,0,0.0105899,0.00494589,0.0321317,0.023367,0.0305934,0.0112988,0.00637522,0.00561035,0.00636568,0.00172661,0.0115505,0.00950977,0.0166713,0.0239873,0.018923,0.0167348,0.0508363,0.010503,0.00153632,0.00182178,0.00696206,0.00320154
89,0.00462037,0.006195,0.0262141,0.0178155,0.0140434,0.00644101,0,0,0.0142156,0,0.0173116,0.0099758,0.0235336,0.0106798,0.026443,0.00504039,0.00522023,0.00840277,0.00478515,0.00890186,0.00698926,0.0200963,0.0074996,0.0133772,0.00444897,0.0237025,0.0376655,0.00672342,0.012195,0.00327412,0.0289176,0.0127768,0.0263983,0.0105561,0.00206484,0,0,0.0130363,0,0.0106516,0.0046088,0.0324302,0.0235724,0.0304367,0.00995584,0.00662536,0.00607409,0.00651117,0.00183827,0.0110939,0.00930868,0.0161728,0.0251216,0.0181276,0.0171059,0.0504951,0.0104509,0.0012885,0.00175181,0.00706679,0.00259102
90,0.00458231,0.00657254,0.0270212,0.0179201,0.014371,0.00637008,0,0,0.0145257,0,0.0172615,0.0100058,0.0233633,0.011007,0.0264467,0.00514646,0.00476533,0.00933661,0.00494222,0.00933794,0.00714679,0.0200459,0.00753489,0.0133764,0.00461012,0.0236636,0.0385714,0.00708425,0.0122962,0.00323156,0.0256423,0.0126824,0.0237865,0.010844,0.0017409,0,0,0.0130862,0,0.0108405,0.00447898,0.0327783,0.0238169,0.0301586,0.00876143,0.00664193,0.00685577,0.00622801,0.00218044,0.0102138,0.00886232,0.0157942,0.0263754,0.0171775,0.0177078,0.0487939,0.0105531,0.000999469,0.00169634,0.00736685,0.00200064
91,0.00537107,0.00737571,0.0272509,0.0180902,0.0146557,0.00603013,0,0,0.0174209,0,0.0169805,0.0114865,0.0232079,0.0116178,0.026493,0.00519349,0.00402627,0.0102925,0.00508111,0.00966146,0.00721356,0.0199686,0.00753098,0.0131931,0.00453512,0.023622,0.0389784,0.00860039,0.0121522,0.00373937,0.0230044,0.0126138,0.0206,0.0113796,0.00164487,0,0,0.0131927,0,0.0105047,0.00422974,0.0331744,0.0238506,0.0300069,0.00735311,0.00708574,0.00695207,0.00615133,0.00297453,0.00956651,0.00870833,0.0150021,0.0283022,0.0155444,0.0181865,0.0448278,0.0104193,0.00143701,0.00159481,0.00867755,0.00322257
92,0.00545009,0.0076606,0.027593,0.0181595,0.0147677,0.00576549,0,0,0.0178142,0,0.0169707,0.0118316,0.022987,0.0120471,0.0265401,0.0052254,0.0034008,0.0110343,0.00527272,0.0102504,0.00741846,0.0198992,0.00756323,0.0131876,0.0043784,0.0236045,0.0394047,0.00869808,0.0121281,0.00375983,0.0187921,0.0125453,0.0174763,0.0117008,0.00124131,0,0,0.0127234,0,0.010609,0.00391879,0.0336242,0.0240576,0.0298219,0.00649489,0.00722948,0.0076004,0.0061454,0.00419262,0.0089777,0.00859874,0.0144272,0.0305815,0.0137718,0.0188943,0.0402119,0.0102693,0.00175033,0.0015646,0.00902457,0.00303997
93,0.00562127,0.00789584,0.0280013,0.0182398,0.0150216,0.00533975,0,0,0.0181627,0,0.0169612,0.0120913,0.0227632,0.0125022,0.0266205,0.00528305,0.00277305,0.0116455,0.00543065,0.0108947,0.0076313,0.0198136,0.00757831,0.0132389,0.00448734,0.0235638,0.0398632,0.00883224,0.0121243,0.00377769,0.0145978,0.0125016,0.0150682,0.0120189,0.000925028,0,0,0.0121272,0,0.010684,0.00359431,0.0340817,0.0239262,0.0297286,0.0061661,0.00734683,0.00810635,0.00632321,0.00569547,0.00862389,0.008481,0.0138699,0.0333554,0.0116452,0.0193371,0.0347448,0.0101196,0.00218286,0.00157159,0.00934946,0.00300636
