Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.036458,0.0259536,0,0,0,0.0257991,0.0158289,0.0128733,0.0179003,0,0,0.0299866,0,0.0217794,0.0178163,0.0412727,0.0159305,0.019127,0.0148429,0.0288831,0.0447025,0.00772226,0.00979586,0.00681081,0.0100357,0.015207,0.0147583,0.00969413,0.0259601,0.0315745,0.0257926,0.0124023,0.00757337,0.0114281,0.0124023,0.0100114,0.0196385,0.0314681,0,0,0.0234045,0,0.0116553,0.01393,0.0547337,0.0102042,0.0232333,0.0162409,0.0276804,0.0316896,0.0105114,0.0372042,0.0190576,0.015375,0.00882198,0.0217827,0.00520172,0.00688837,0.0105063,0.0205602,0.0103505,0.0219067,0.0303621,0.029053,0,0,0
0,0,0,0,0,0,0,0.0180836,0.0169731,0,0,0,0.0193353,0.0154472,0.00917911,0.00733599,0,0,0.0591975,0,0.025416,0.0407437,0.0377076,0.0206455,0.013988,0.0180556,0.0289464,0.0756857,0.00351886,0.00634387,0.0066377,0.00608909,0.0134343,0.0117052,0.00750209,0.0257056,0.0258623,0.0347888,0.014116,0.01151,0.00425297,0.00589462,0.00338946,0.00216662,0.0168811,0,0,0.0412082,0,0.00942665,0.0293284,0.0532514,0.00647424,0.0233783,0.0100253,0.0277276,0.0449863,0.00856966,0.0293997,0.0127297,0.00941032,0.00496437,0.0215167,0.00366586,0.00598054,0.00569981,0.0280385,0.0144178,0.0138477,0.0163872,0.0178736,0,0,0
1,0,0,0,0,0,0,0.0182213,0.0167156,0,0,0,0.0193834,0.0154859,0.00877308,0.00560949,0,0,0.0597644,0,0.025524,0.0411792,0.0375715,0.0202983,0.0144084,0.0175172,0.029163,0.0762593,0.00344747,0.00623922,0.00611646,0.00606562,0.0131217,0.0114619,0.00723493,0.0251456,0.0260852,0.0352595,0.0140952,0.0119193,0.00471274,0.00608811,0.00356385,0.00339683,0.0171908,0,0,0.0410494,0,0.00935531,0.0293355,0.0531864,0.00642369,0.0239028,0.0100504,0.0279445,0.0452985,0.00889581,0.0288961,0.0130693,0.00987875,0.00493343,0.021308,0.00345787,0.00576406,0.00632023,0.0281951,0.0142509,0.0137917,0.0161517,0.0181692,0,0,0
2,0,0,0,0,0,0,0.0184159,0.016047,0,0,0,0.0198007,0.0154148,0.00875581,0.00543543,0,0,0.060928,0,0.0257529,0.0419311,0.0374256,0.0203325,0.0148723,0.0174561,0.0296998,0.0768627,0.00342589,0.00621578,0.00580498,0.00624527,0.0132412,0.0114755,0.00693448,0.0246984,0.0266832,0.0358403,0.0142476,0.0121203,0.00503236,0.00583926,0.003768,0.00472681,0.0174613,0,0,0.042228,0,0.00944941,0.0301099,0.0532379,0.00639355,0.0243408,0.010194,0.0284605,0.0459057,0.0092356,0.0286103,0.0139072,0.0103321,0.00487848,0.0211656,0.00318409,0.00559533,0.00672977,0.0288129,0.014727,0.0140874,0.0155907,0.0185555,0,0,0
3,0,0,0,0,0,0,0.0189301,0.0155038,0,0,0,0.0209913,0.0154956,0.00929318,0.00554034,0,0,0.0618633,0,0.0259483,0.0426181,0.0372196,0.0208311,0.0153837,0.0180178,0.0309625,0.0776052,0.00330764,0.00627536,0.00554757,0.00641965,0.0138603,0.0118786,0.00678674,0.0242774,0.0280366,0.0363043,0.0143101,0.0124319,0.00466198,0.00548242,0.00357941,0.00518696,0.0178676,0,0,0.0444435,0,0.00964991,0.0313633,0.0536847,0.00625627,0.024638,0.0106169,0.0296042,0.0464809,0.00956864,0.0284837,0.0147756,0.0106264,0.00474937,0.0210449,0.0027648,0.00516453,0.00660419,0.0297197,0.0151586,0.0143556,0.0152422,0.0192238,0,0,0
4,0,0,0,0,0,0,0.0191788,0.0150389,0,0,0,0.0214933,0.0156336,0.0094432,0.00607115,0,0,0.0621692,0,0.0259925,0.0428916,0.0371833,0.0208615,0.015898,0.0179929,0.0313973,0.0779235,0.00335287,0.00631249,0.00526239,0.00666278,0.0140048,0.011961,0.00650486,0.0238171,0.0287358,0.0366317,0.0142883,0.0127831,0.00469849,0.00546161,0.00371892,0.00614954,0.0179016,0,0,0.0447963,0,0.00969462,0.0315008,0.0539647,0.00631381,0.0252226,0.0109381,0.0298811,0.0467345,0.00976677,0.0283939,0.0150702,0.0108874,0.00476169,0.0209677,0.00248637,0.00487392,0.00646517,0.0299756,0.0150903,0.0143637,0.0147927,0.0195969,0,0,0
5,0,0,0,0,0,0,0.0194659,0.0146443,0,0,0,0.0220584,0.0157491,0.00958417,0.00649054,0,0,0.0624302,0,0.0260688,0.0430881,0.0372553,0.0208302,0.0163287,0.0178189,0.0318767,0.0782597,0.00339137,0.00625598,0.00489176,0.00693661,0.0140286,0.0120943,0.00621623,0.0233108,0.0293893,0.0369658,0.0142938,0.0131242,0.00482357,0.005418,0.00405637,0.00710945,0.0180141,0,0,0.0451186,0,0.00969042,0.0316505,0.0543205,0.00641495,0.0257109,0.0112933,0.0301451,0.0470065,0.00990328,0.0283665,0.0153981,0.0111118,0.00471779,0.0209061,0.00214703,0.00453313,0.00625918,0.0302738,0.0149062,0.0142602,0.0144659,0.0199572,0,0,0
6,0,0,0,0,0,0,0.0198775,0.0143479,0,0,0,0.0226089,0.0158834,0.00966845,0.00683121,0,0,0.0626587,0,0.0261997,0.0432618,0.037402,0.020754,0.0166553,0.017478,0.0323585,0.0786027,0.00337425,0.00616352,0.00443549,0.00713622,0.0140161,0.0122011,0.00594867,0.0227858,0.030018,0.0373239,0.0143267,0.0133388,0.00504637,0.00542767,0.00453992,0.00801639,0.0183725,0,0,0.0454249,0,0.00968447,0.0317556,0.0546763,0.00646558,0.0260386,0.0116811,0.030412,0.0473167,0.0100154,0.0283394,0.0159317,0.0113149,0.00465833,0.0208543,0.00178722,0.00412496,0.00600095,0.0305839,0.0147414,0.0141059,0.0142458,0.0203886,0,0,0
7,0,0,0,0,0,0,0.0203913,0.0141737,0,0,0,0.0232192,0.0160466,0.00983863,0.00717437,0,0,0.0628194,0,0.0263268,0.0434562,0.0375609,0.0206851,0.0170435,0.0172796,0.0328816,0.0790057,0.00332064,0.00603719,0.00398934,0.007234,0.0140496,0.0122841,0.00566482,0.0222584,0.0308245,0.0376695,0.0143791,0.0134824,0.00529117,0.0054456,0.00500104,0.00866343,0.0188916,0,0,0.045733,0,0.00967279,0.0318149,0.0549276,0.00666673,0.0261708,0.0120609,0.0307502,0.0476254,0.0102274,0.0282481,0.0165005,0.0115901,0.00463332,0.0208224,0.00156154,0.00369545,0.00574023,0.0307558,0.0145154,0.0139031,0.0141233,0.0208628,0,0,0
8,0,0,0,0,0,0,0.020973,0.0140655,0,0,0,0.024251,0.0161976,0.0102834,0.00750722,0,0,0.062984,0,0.0263614,0.0435951,0.0375907,0.0208127,0.017453,0.0172667,0.0335554,0.079496,0.00346707,0.00610905,0.00372575,0.0076298,0.0143675,0.0126308,0.00553873,0.0217327,0.0321399,0.0381039,0.0143982,0.0136315,0.00548294,0.00546048,0.00533705,0.00898391,0.0194639,0,0,0.0459902,0,0.00965984,0.0318326,0.0550226,0.00693972,0.0260455,0.012374,0.0312298,0.0479192,0.010578,0.0280767,0.0171198,0.0120452,0.0046635,0.0208128,0.00152328,0.00332134,0.00546241,0.030894,0.0142254,0.0136301,0.0140843,0.021409,0,0,0
