Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.0383082,0.0249672,0,0,0,0.0277727,0.0149134,0.0174019,0.0187531,0,0,0.0284094,0,0.0219345,0.0164018,0.0425722,0.0174582,0.0192021,0.0152064,0.0296856,0.0408381,0.00759271,0.00970993,0.00775878,0.0114018,0.0161039,0.0157836,0.0130228,0.0274225,0.0308464,0.0239302,0.0129279,0.00656729,0.0112064,0.0113259,0.0100896,0.0192001,0.0330141,0,0,0.020936,0,0.0100088,0.0131685,0.0531396,0.0104082,0.0218802,0.0156247,0.028692,0.0341381,0.00982532,0.03801,0.0183694,0.0150587,0.00895625,0.0213713,0.00537004,0.00724601,0.0107128,0.0191086,0.0100446,0.0199804,0.0293179,0.0303508,0,0,0
0,0,0,0,0,0,0,0.0285661,0.026624,0,0,0,0.0177527,0.0170397,0.0117906,0.0204822,0,0,0.0983003,0,0.017783,0.0604005,0.0356497,0.0137171,0.0176786,0.0170504,0.0254112,0.0719442,0.00826458,0.00812683,0.00506285,0.00992026,0.0194043,0.018359,0.0107774,0.0140347,0.0231598,0.0780155,0.0345793,0.0311803,0.00977361,0.00705405,0.00794043,0.0262678,0.0329355,0,0,0.0639824,0,0.0121169,0.0420835,0.054476,0.00853117,0.0272936,0.0154986,0.0243576,0.0478291,0.00917401,0.0274883,0.020096,0.0145976,0.00858079,0.0216151,0.00338082,0.00677213,0.00886441,0.0504352,0.0261379,0.018802,0.0239617,0.0236631,0,0,0
1,0,0,0,0,0,0,0.019666,0.0282182,0,0,0,0.0199929,0.0144618,0.012603,0.0184605,0,0,0.0538312,0,0.0252037,0.0364908,0.0358325,0.00928782,0.020564,0.0163301,0.0320472,0.0952323,0.00887204,0.00888547,0.00522264,0.01113,0.0204522,0.0195943,0.0130643,0.0124142,0.0250919,0.0459568,0.0139871,0.0110295,0.0102465,0.00544637,0.00839732,0.0243373,0.0215915,0,0,0.0492312,0,0.0112159,0.0344652,0.0542161,0.0081417,0.0312739,0.0163736,0.0314237,0.0497229,0.00971908,0.0280331,0.0204272,0.0151294,0.00922345,0.0219645,0.00436403,0.00668954,0.0083332,0.0378792,0.0252829,0.0182476,0.0264484,0.0199613,0,0,0
2,0,0,0,0,0,0,0.0196573,0.0278425,0,0,0,0.0216347,0.0144696,0.014581,0.0192688,0,0,0.0541632,0,0.0253615,0.0367275,0.0360594,0.00569676,0.021023,0.0157901,0.0325772,0.0957216,0.00918423,0.00902611,0.00529469,0.0118863,0.0212898,0.0205972,0.0151459,0.0110315,0.0258507,0.046453,0.0140683,0.0112322,0.0107004,0.00523658,0.00870299,0.0246222,0.0216314,0,0,0.0494126,0,0.0110631,0.0345356,0.0541185,0.008135,0.0314169,0.0168318,0.0318379,0.0495657,0.00976558,0.0279207,0.020631,0.0153707,0.00944496,0.0221065,0.00476276,0.00665817,0.00851813,0.0379252,0.0243765,0.018161,0.0263565,0.0201042,0,0,0
3,0,0,0,0,0,0,0.0197275,0.027547,0,0,0,0.0243091,0.0144645,0.0171652,0.0208193,0,0,0.0542805,0,0.025467,0.0368312,0.0362606,0.00475346,0.0215346,0.0152479,0.0330396,0.0961124,0.00945827,0.00924348,0.00547916,0.012532,0.0220756,0.0215394,0.0170472,0.00982039,0.0276818,0.0467453,0.0141281,0.0114142,0.0112454,0.00504233,0.00906918,0.0250356,0.0216838,0,0,0.0493976,0,0.0109334,0.0344966,0.054028,0.00825469,0.0316,0.0173123,0.0322035,0.0493443,0.00975645,0.0277809,0.020893,0.0155674,0.00966943,0.0223569,0.00518785,0.00670112,0.00887592,0.0378591,0.0233761,0.0179797,0.0262681,0.0202497,0,0,0
4,0,0,0,0,0,0,0.0198374,0.0272704,0,0,0,0.0276169,0.0144641,0.0200972,0.0221815,0,0,0.0542674,0,0.0255987,0.036871,0.0364054,0.00689264,0.0220938,0.0147117,0.0334214,0.0964545,0.0097085,0.00940407,0.00581759,0.0132078,0.0228281,0.0225018,0.0189185,0.00881753,0.0300751,0.046997,0.0141919,0.0115853,0.0119179,0.0049538,0.0095529,0.0255031,0.0217131,0,0,0.0490163,0,0.0108242,0.0343081,0.0540019,0.00865339,0.031831,0.0177896,0.0324048,0.0491282,0.00972891,0.0277884,0.0210998,0.0158022,0.00994803,0.0227188,0.00565384,0.00692572,0.00941036,0.0375317,0.0223094,0.0176799,0.0261963,0.0203841,0,0,0
5,0,0,0,0,0,0,0.0199736,0.0269461,0,0,0,0.0312593,0.0144646,0.0232797,0.0228022,0,0,0.0541607,0,0.0256944,0.0368604,0.0365052,0.0102323,0.0226592,0.0143732,0.0338636,0.0967613,0.00991943,0.00953581,0.00621066,0.0139888,0.0236231,0.0235198,0.0207938,0.00808207,0.0328569,0.0472175,0.0142401,0.0117075,0.0126201,0.00484881,0.00999195,0.0259089,0.0217418,0,0,0.0485333,0,0.0106908,0.0340817,0.0539798,0.00895646,0.0320988,0.0181518,0.0326427,0.0489388,0.00966053,0.0278157,0.0212395,0.0159462,0.0102576,0.0229725,0.00623628,0.00727972,0.010091,0.037122,0.0212448,0.0172714,0.0261279,0.0205188,0,0,0
6,0,0,0,0,0,0,0.0205765,0.0263897,0,0,0,0.0368945,0.0145869,0.0276414,0.0221815,0,0,0.0540932,0,0.0257463,0.0368667,0.0362711,0.0147696,0.0235748,0.0139816,0.0355574,0.0969617,0.0102808,0.0099628,0.00652614,0.0149406,0.0251003,0.0253098,0.0234497,0.00740597,0.0375319,0.0472909,0.0142507,0.0117822,0.0137484,0.00484657,0.010669,0.0245654,0.0221364,0,0,0.0481504,0,0.010519,0.0338612,0.0547103,0.0100324,0.0315073,0.0178608,0.0338948,0.0489053,0.00964142,0.0279123,0.0213504,0.0155275,0.0101534,0.0231042,0.00703093,0.00777838,0.0116079,0.0366382,0.0200979,0.0168402,0.0258273,0.0209029,0,0,0
7,0,0,0,0,0,0,0.0209425,0.0258941,0,0,0,0.0407611,0.01459,0.0309245,0.022398,0,0,0.0541985,0,0.0258663,0.0368947,0.0364732,0.0184563,0.0241317,0.0136232,0.0361074,0.0970126,0.0105645,0.0101433,0.00702214,0.0156647,0.0258783,0.0262922,0.0251992,0.00741959,0.040662,0.0474275,0.0143451,0.0116819,0.014799,0.00480952,0.0112749,0.0245199,0.022235,0,0,0.0476875,0,0.0104717,0.0336279,0.0548618,0.010684,0.0317914,0.0182616,0.0345109,0.0488565,0.00972509,0.0280448,0.0217584,0.0158832,0.0105915,0.0233133,0.00761291,0.00846998,0.0129074,0.0362545,0.0190143,0.0165855,0.0255567,0.0210283,0,0,0
8,0,0,0,0,0,0,0.0284925,0.0291947,0,0,0,0.0394713,0.0170872,0.0313518,0.0270303,0,0,0.0762801,0,0.024079,0.0476028,0.0365467,0.0197272,0.0201757,0.0130512,0.0250905,0.0858188,0.0106912,0.00963799,0.00726107,0.0153711,0.0250335,0.0254918,0.0250329,0.00727484,0.0388466,0.0714573,0.0246033,0.0164324,0.01489,0.00556832,0.0111789,0.0286252,0.029976,0,0,0.0515274,0,0.00974031,0.0348687,0.055007,0.00998407,0.0264096,0.0187634,0.0231751,0.0388857,0.00850581,0.0268716,0.0214234,0.0158799,0.0107175,0.0231204,0.00677281,0.00814234,0.0124485,0.0407385,0.017917,0.0160521,0.0302884,0.0199051,0,0,0
