Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
128,0,0,0,0,0,0,0.0813254,0.0235497,0,0,0,0.0239821,0.0135006,0.0158796,0.015615,0,0,0.026266,0,0.0210662,0.0107492,0.0340215,0.020092,0.0151706,0.0210133,0.0367191,0.0413381,0.0238581,0.0280183,0.0234605,0.0258944,0.0191814,0.0190919,0.0107953,0.0153186,0.0251751,0.0221345,0.0121376,0.00472831,0.00599693,0.00835434,0.0116907,0.0315604,0.043609,0,0,0.00737454,0,0.0118059,0.00521798,0.0655516,0.0103465,0.0350301,0.0188095,0.0349057,0.0250411,0.0104683,0.0368716,0.0183958,0.0186657,0.00950309,0.0208927,0.00431447,0.00638874,0.00575562,0.0125082,0.00595427,0.00404021,0.0324749,0.0379182,0,0,0
129,0,0,0,0,0,0,0.081042,0.0233524,0,0,0,0.0243408,0.0135152,0.0159034,0.0155359,0,0,0.0260092,0,0.0210885,0.0105907,0.034044,0.0200753,0.0154145,0.0210718,0.0370681,0.0417903,0.0238679,0.0278999,0.0234642,0.0259607,0.0192703,0.0191355,0.0108023,0.0153171,0.0258155,0.0220498,0.0121635,0.00468053,0.00623349,0.00828533,0.011734,0.0313295,0.0434504,0,0,0.00754578,0,0.0118922,0.0053357,0.0654605,0.0102054,0.0351184,0.0189075,0.0352108,0.0250915,0.0106821,0.0370411,0.0185941,0.0186866,0.00958805,0.0211787,0.00432408,0.0064549,0.00622733,0.0124834,0.00592521,0.00401536,0.0322599,0.0377901,0,0,0
130,0,0,0,0,0,0,0.0807481,0.0231421,0,0,0,0.024999,0.0135392,0.015983,0.0154339,0,0,0.0257911,0,0.0211012,0.0104482,0.0341271,0.0205089,0.0155599,0.0209345,0.0374032,0.0422583,0.0239343,0.0277673,0.0234789,0.0256063,0.0190154,0.0188581,0.0103633,0.0154825,0.0268618,0.0220141,0.0121913,0.00469448,0.00638028,0.00822653,0.0116574,0.0311421,0.0433081,0,0,0.00772791,0,0.0119597,0.00543534,0.0653276,0.00992094,0.0352486,0.0189945,0.035526,0.0251504,0.0108907,0.0371317,0.0188579,0.0188105,0.00969987,0.0213116,0.00425741,0.00660864,0.00618836,0.0124913,0.00593769,0.00399016,0.0320269,0.0376761,0,0,0
131,0,0,0,0,0,0,0.0799057,0.0226506,0,0,0,0.025552,0.013854,0.0160858,0.0155139,0,0,0.0272178,0,0.0208597,0.0113288,0.0341049,0.0209514,0.0156109,0.0209128,0.0374624,0.0420961,0.0240558,0.0277343,0.0235588,0.0254359,0.0188241,0.0186516,0.0100178,0.0156807,0.0277227,0.022715,0.0120324,0.00509413,0.00601686,0.00837295,0.0115333,0.03127,0.0426832,0,0,0.00690966,0,0.0121994,0.00463475,0.0651438,0.00943243,0.0354293,0.0189877,0.0356752,0.0246218,0.01101,0.0371449,0.0191151,0.0188677,0.00985108,0.0213208,0.00412528,0.00679528,0.00658988,0.0122809,0.00586223,0.00402067,0.0317164,0.0370977,0,0,0
132,0,0,0,0,0,0,0.0794555,0.0223406,0,0,0,0.0260117,0.0139012,0.0161808,0.0154943,0,0,0.0268667,0,0.0208401,0.0112587,0.0340399,0.0211634,0.0157936,0.0209201,0.0378228,0.0426876,0.0241151,0.0277259,0.0235973,0.0253967,0.0188133,0.0186239,0.00989566,0.0157616,0.0284693,0.022873,0.0120148,0.00514142,0.00629057,0.00831566,0.0114117,0.0311605,0.0424274,0,0,0.00723347,0,0.0122402,0.00488016,0.0650412,0.00899742,0.0355753,0.0189606,0.0360412,0.0248839,0.0112217,0.0372429,0.0195744,0.0188868,0.0100393,0.0213027,0.00405071,0.0070264,0.00675017,0.012312,0.00585717,0.0040059,0.0313426,0.0368645,0,0,0
133,0,0,0,0,0,0,0.0789791,0.0221156,0,0,0,0.0261975,0.0139208,0.0161832,0.0154554,0,0,0.0269183,0,0.0207655,0.0114207,0.0339508,0.0211068,0.0159571,0.0207886,0.0381556,0.043127,0.0241484,0.0276487,0.0235727,0.0254126,0.0189106,0.0187,0.00993696,0.0157399,0.0288962,0.0229076,0.011974,0.00518487,0.00667607,0.00829781,0.0113875,0.0309561,0.042177,0,0,0.00759083,0,0.0122614,0.00511728,0.0649478,0.00894234,0.0356415,0.0188863,0.0363821,0.0251472,0.0115888,0.0373687,0.0200631,0.0188753,0.0101233,0.0214422,0.00398333,0.00723315,0.00718771,0.012359,0.00585548,0.00399675,0.0310497,0.0366017,0,0,0
134,0,0,0,0,0,0,0.0781502,0.021359,0,0,0,0.025992,0.013913,0.016076,0.0153465,0,0,0.0253742,0,0.0208712,0.010519,0.0338252,0.0206978,0.0161659,0.0204029,0.0384555,0.0438425,0.0241585,0.0275425,0.0235157,0.0256597,0.0191763,0.0189119,0.0102482,0.0155653,0.0287267,0.0218123,0.0119953,0.00513247,0.00711932,0.00817072,0.0113579,0.0307777,0.0415375,0,0,0.0076196,0,0.012333,0.00530019,0.0647956,0.00888542,0.0358024,0.0188772,0.0367814,0.0250997,0.0122313,0.0374938,0.0202198,0.0189535,0.0102986,0.0215016,0.00397562,0.00756009,0.00753119,0.0119258,0.00585396,0.00395742,0.0304271,0.0361289,0,0,0
135,0,0,0,0,0,0,0.0772264,0.0204666,0,0,0,0.0257224,0.0139125,0.0160088,0.0152529,0,0,0.0235324,0,0.0210296,0.00942194,0.0337068,0.0200318,0.0164594,0.0204681,0.0387219,0.044699,0.0241559,0.0275016,0.0234464,0.0262393,0.0196325,0.0193356,0.0108487,0.0152631,0.0284272,0.0205382,0.0120576,0.00517422,0.0075491,0.00801119,0.0113207,0.0306441,0.0407865,0,0,0.00750425,0,0.0124355,0.00540121,0.0646424,0.00877071,0.0360415,0.0188757,0.0371865,0.02504,0.0126199,0.0376034,0.0204317,0.0189411,0.0105695,0.0214707,0.00399198,0.00790766,0.00774264,0.0114151,0.00589294,0.00390866,0.0297147,0.035636,0,0,0
136,0,0,0,0,0,0,0.075902,0.0189382,0,0,0,0.0258185,0.0139653,0.0160155,0.0150356,0,0,0.019758,0,0.0212947,0.0074785,0.0337183,0.0196575,0.0169698,0.0204996,0.0394751,0.0465838,0.0241282,0.0274393,0.0234001,0.0264424,0.0198598,0.0195418,0.0111408,0.0150685,0.0286435,0.0186344,0.0121362,0.00549573,0.00798759,0.00776061,0.0114787,0.0302922,0.0396594,0,0,0.00727706,0,0.0125857,0.00551556,0.0644964,0.00883628,0.0364006,0.0189321,0.0379617,0.0251926,0.012937,0.0377911,0.0208303,0.0188952,0.0107532,0.0215232,0.00406497,0.00812483,0.00806412,0.0106244,0.00586425,0.00383267,0.0284398,0.0349501,0,0,0
137,0,0,0,0,0,0,0.0750607,0.0178821,0,0,0,0.0260304,0.0138714,0.0160476,0.0148455,0,0,0.0171087,0,0.0215455,0.00627,0.0337631,0.0194715,0.0173848,0.0204043,0.0401061,0.0477932,0.0240672,0.0273472,0.0233586,0.0264055,0.0199746,0.0196367,0.0112697,0.0149111,0.0290323,0.0176803,0.0122637,0.00558224,0.00844076,0.00768347,0.0115757,0.0299467,0.038943,0,0,0.00739291,0,0.0126339,0.00573829,0.06435,0.00901549,0.036646,0.0189864,0.038626,0.0254245,0.013226,0.0379541,0.02132,0.018868,0.0108778,0.0215194,0.00411848,0.00825991,0.00838345,0.010202,0.00577574,0.0037793,0.0274627,0.0345067,0,0,0
