Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.0379385,0.0278512,0,0,0,0.0264362,0.0158069,0.0140981,0.0166022,0,0,0.039161,0,0.0223,0.0239112,0.0419298,0.0155239,0.0180905,0.0144958,0.0292546,0.0434741,0.00770678,0.00995252,0.00762021,0.0101947,0.0156493,0.0153549,0.0111792,0.0288566,0.0317948,0.0298857,0.0134061,0.00904304,0.0125572,0.0124275,0.00987139,0.0172599,0.0319809,0,0,0.0270929,0,0.00934354,0.0185978,0.0519283,0.0106312,0.0212681,0.0149453,0.0279395,0.0321324,0.00893001,0.0385465,0.0175738,0.0140454,0.00829289,0.0210212,0.00519263,0.0072118,0.012191,0.0213051,0.0118709,0.00957378,0.0314202,0.0303412,0,0,0
0,0,0,0,0,0,0,0.011343,0.0156332,0,0,0,0.0220363,0.0126168,0.0133784,0.0134221,0,0,0.00685792,0,0.0215709,0.00419037,0.0444279,0.0112419,0.0136535,0.00654708,0.010448,0.0280713,0.0100575,0.0124672,0.007804,0.00986406,0.0154766,0.0157277,0.00985593,0.0331523,0.0275248,0.00996747,0.0126043,0.00415259,0.0126878,0.010432,0.00365114,0.0199014,0.0201663,0,0,0.0187684,0,0.00920834,0.0108581,0.0479853,0.00399806,0.0143746,0.00852293,0.0096566,0.031801,0.00637162,0.0415001,0.0116503,0.00697459,0.00541635,0.0192651,0.00472321,0.00527167,0.0138508,0.0185224,0.00180517,0.00232015,0.0159959,0.0164821,0,0,0
1,0,0,0,0,0,0,0.0110544,0.0157999,0,0,0,0.0221328,0.0125845,0.0132508,0.0130026,0,0,0.00703687,0,0.0216358,0.00434897,0.0444173,0.0111408,0.0137442,0.00686947,0.00986917,0.0280551,0.00990111,0.0123368,0.00757558,0.00975968,0.0154866,0.0156578,0.00978788,0.033192,0.027618,0.00978756,0.0126818,0.00400198,0.0126992,0.0104188,0.00393307,0.0197844,0.0200487,0,0,0.0193504,0,0.00917964,0.0111777,0.048023,0.00420517,0.0144466,0.0086601,0.00910212,0.0321007,0.00642779,0.041712,0.0119073,0.00725591,0.0053454,0.0193197,0.00463262,0.00521308,0.0136739,0.0189458,0.00161564,0.00222667,0.0165674,0.0161395,0,0,0
2,0,0,0,0,0,0,0.0109641,0.0158728,0,0,0,0.0221462,0.012567,0.0131893,0.0128249,0,0,0.00713074,0,0.0216567,0.00440355,0.0443952,0.0110115,0.0139471,0.00708311,0.00915015,0.0279783,0.00978221,0.0122615,0.00736811,0.00966927,0.0154582,0.0156611,0.00981807,0.0333045,0.0277659,0.00959227,0.0127246,0.00429852,0.0127525,0.0104013,0.0042143,0.0196869,0.0198132,0,0,0.0197034,0,0.00916623,0.0114005,0.0480653,0.00462181,0.0145563,0.00890213,0.00863999,0.0323751,0.00645677,0.0419737,0.0122694,0.00759385,0.00526727,0.0193444,0.00447422,0.00511245,0.0134066,0.0191735,0.00153733,0.00223893,0.0170275,0.0157293,0,0,0
3,0,0,0,0,0,0,0.0111219,0.0158208,0,0,0,0.0222101,0.0125054,0.0131206,0.0125295,0,0,0.00727668,0,0.0216189,0.00445197,0.0443951,0.0109909,0.0141632,0.00748047,0.00854032,0.0277988,0.00970558,0.0123341,0.00722524,0.00962457,0.0153679,0.0156821,0.00973846,0.0333564,0.0281009,0.00934835,0.0127026,0.00480582,0.0127877,0.0104305,0.00442303,0.0194076,0.0195561,0,0,0.0199246,0,0.00917425,0.0115754,0.0480551,0.00501305,0.014635,0.00908795,0.00822835,0.032529,0.00651513,0.0422516,0.0126049,0.0079201,0.0053142,0.0193805,0.00445825,0.00513417,0.0132862,0.0192634,0.00156558,0.0021893,0.0173524,0.0153579,0,0,0
4,0,0,0,0,0,0,0.0115005,0.0156586,0,0,0,0.0222585,0.0124747,0.0130914,0.0122335,0,0,0.00714225,0,0.0215911,0.00430532,0.0443923,0.0110132,0.0144112,0.00790982,0.00816017,0.0275455,0.00967509,0.0124705,0.0070593,0.00961743,0.015505,0.0157595,0.00969773,0.0333994,0.0284207,0.00901203,0.0126457,0.00435693,0.0128916,0.0104404,0.00462295,0.0191725,0.0195253,0,0,0.0201167,0,0.00917128,0.0117051,0.0480189,0.00531656,0.0147561,0.0092131,0.00788415,0.0325203,0.00658615,0.0425673,0.012869,0.00821097,0.00548816,0.0194238,0.00447321,0.00518791,0.013282,0.0193223,0.00158511,0.00214207,0.0175428,0.0151838,0,0,0
5,0,0,0,0,0,0,0.0118887,0.0154729,0,0,0,0.0223339,0.012496,0.0130491,0.0118548,0,0,0.00710978,0,0.021615,0.00431585,0.0443741,0.0110317,0.0146568,0.00833484,0.00796753,0.027317,0.00964294,0.0126041,0.00689383,0.0095869,0.015642,0.0157578,0.00971181,0.0334385,0.0286862,0.00855897,0.0126314,0.00400663,0.0130274,0.0104426,0.00489358,0.0189086,0.0195295,0,0,0.0202238,0,0.00915718,0.0117593,0.0480135,0.00578858,0.014921,0.00945019,0.00763747,0.0325072,0.00670757,0.0426302,0.0132517,0.0085035,0.00558612,0.019399,0.00439884,0.00515704,0.0133926,0.0192725,0.00170507,0.00221337,0.0176707,0.0150098,0,0,0
6,0,0,0,0,0,0,0.0122828,0.0153254,0,0,0,0.0223947,0.0125513,0.0130066,0.0113668,0,0,0.00717965,0,0.0216712,0.00444536,0.0443381,0.0109872,0.0148729,0.0085108,0.0079374,0.0270937,0.00956564,0.0126111,0.00677204,0.00953185,0.0156767,0.0157239,0.00972973,0.0334598,0.0286426,0.00814473,0.0126359,0.00393361,0.0131355,0.010478,0.00511391,0.0186401,0.0196091,0,0,0.0203802,0,0.00916465,0.0118357,0.0480061,0.00626582,0.0150767,0.009649,0.00752693,0.0325992,0.00681515,0.0427034,0.0135689,0.00873968,0.00566146,0.0193847,0.00433013,0.005125,0.0135121,0.0192586,0.00175899,0.00229885,0.0178539,0.0148825,0,0,0
7,0,0,0,0,0,0,0.0125744,0.0152815,0,0,0,0.0224125,0.012563,0.0128843,0.0107814,0,0,0.00743987,0,0.0217167,0.00464322,0.0442876,0.010849,0.015044,0.00845198,0.00801263,0.0269305,0.00939173,0.0124468,0.00663406,0.00947392,0.0156361,0.0156344,0.00967583,0.0334311,0.0284516,0.00793585,0.0126495,0.0039026,0.0131516,0.0105096,0.00536347,0.0183612,0.0196818,0,0,0.0205534,0,0.00916255,0.0119375,0.0479628,0.00654974,0.0151968,0.00988806,0.00753245,0.0327495,0.00688166,0.0427957,0.0138233,0.00892114,0.0057355,0.0193949,0.00423761,0.00510929,0.0134831,0.0192464,0.00174582,0.00229005,0.0181307,0.0147494,0,0,0
8,0,0,0,0,0,0,0.0129846,0.0151919,0,0,0,0.0224337,0.0125602,0.012647,0.0101662,0,0,0.00777811,0,0.0217148,0.00481102,0.044216,0.0106854,0.0152131,0.00851541,0.0081814,0.0267157,0.00921537,0.0122017,0.00644698,0.00940572,0.0155515,0.0153236,0.00950485,0.0333081,0.0282271,0.00793319,0.0126638,0.00384323,0.0131011,0.0105536,0.00559325,0.018067,0.0196779,0,0,0.0206508,0,0.00915567,0.0119767,0.0479051,0.00664536,0.0153403,0.0100753,0.00764836,0.0328369,0.00704984,0.0428412,0.0140977,0.00909601,0.00586013,0.019418,0.00415446,0.00513991,0.0133647,0.019181,0.00174032,0.00230424,0.0183535,0.0146329,0,0,0
