Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0484776,0.0527342,0.0432467,0,0.0173477,0.0539282,0,0,0.0174181,0,0,0.0512918,0.0391382,0.0384231,0.0153745,0.0132792,0.0317657,0.0367797,0.0306243,0.0457811,0.0672663,0.0554909,0.0652845,0.06471,0.0623733,0.0600144,0.0316416,0.0432833,0.0121685,0.0137228,0.0287431,0,0.0141571,0.0619107,0.0217008,0,0,0.0167947,0,0,0.0402117,0.0471337,0.0320305,0.015959,0.0249765,0.0324463,0.0180932,0.0703574,0.0924808,0.0654175,0.0319774,0.0603693,0.0431794,0.0432986,0.0635015,0.0390262,0.0179625,0.00821949,0.0108372,0.0284654,0.0189091,0,0,0
0,0.0477855,0.0515149,0.0342406,0,0.0173707,0.0498061,0,0,0.0175826,0,0,0.0511539,0.0392116,0.043722,0.0165555,0.0129281,0.0328214,0.0340574,0.0327129,0.0543915,0.0697067,0.0554731,0.0685486,0.0683416,0.067732,0.0648202,0.032309,0.0427834,0.0119643,0.0133292,0.031083,0,0.015237,0.0666203,0.0204544,0,0,0.017172,0,0,0.0405511,0.0473285,0.0182094,0.0121546,0.028509,0.0309366,0.017602,0.0690858,0.0933795,0.0671533,0.0288024,0.0592683,0.0448541,0.0450795,0.0636108,0.0165668,0.0172461,0.00802993,0.011444,0.0267276,0.0194255,0,0,0
1,0.0474828,0.0521479,0.0368684,0,0.013434,0.0506523,0,0,0.0173712,0,0,0.0509457,0.0389787,0.042109,0.0161033,0.0116832,0.032399,0.0337417,0.0335739,0.0550074,0.0699804,0.0562061,0.0690569,0.0690606,0.0681671,0.0650901,0.0268701,0.0429251,0.0119345,0.0131884,0.0310172,0,0.0152895,0.0660103,0.0205556,0,0,0.0172151,0,0,0.0402815,0.0476236,0.0183824,0.0128945,0.0282799,0.0304286,0.0174203,0.0690489,0.0932275,0.0670201,0.0291863,0.0593105,0.0449763,0.0450459,0.0635422,0.016622,0.0173245,0.00795759,0.0111562,0.0272886,0.0191547,0,0,0
2,0.047528,0.0524283,0.0397787,0,0.0126529,0.0512443,0,0,0.0171849,0,0,0.0507459,0.0384401,0.039991,0.0139464,0.0107506,0.0320476,0.0332695,0.0342232,0.0548246,0.0700577,0.0569757,0.0698123,0.0698763,0.0689404,0.0656115,0.0214172,0.0432842,0.011933,0.0130078,0.0312517,0,0.0152463,0.0655305,0.0206655,0,0,0.0172199,0,0,0.040056,0.0483572,0.0184864,0.0138147,0.0279388,0.0304046,0.0172891,0.0688913,0.0930824,0.0670829,0.0298619,0.0594098,0.0450346,0.0449895,0.0634816,0.0163844,0.0175414,0.00796869,0.0107954,0.0274633,0.0189997,0,0,0
3,0.0476888,0.0525812,0.0423978,0,0.0130154,0.05206,0,0,0.0170688,0,0,0.0506053,0.0378685,0.0379815,0.0121855,0.0105175,0.0318407,0.0329214,0.0349465,0.0542711,0.0701032,0.057752,0.0704981,0.0705508,0.0696027,0.0660715,0.0169397,0.0435503,0.0119505,0.0128948,0.0314739,0,0.0151695,0.0648986,0.0207563,0,0,0.0172409,0,0,0.0399078,0.0492057,0.0186202,0.0145451,0.0276563,0.0302347,0.0171508,0.0687163,0.0929505,0.0671871,0.0305287,0.059436,0.0450624,0.0448904,0.0633844,0.0161819,0.017705,0.00802397,0.0104587,0.0275051,0.0189218,0,0,0
4,0.0479902,0.0526532,0.0440946,0,0.0131557,0.0530459,0,0,0.0169422,0,0,0.050496,0.0371695,0.0361602,0.0107374,0.0114297,0.0317601,0.0328628,0.0356903,0.053509,0.0701612,0.0584664,0.0710473,0.0710514,0.0699135,0.0666051,0.0138467,0.0436742,0.0119299,0.0128332,0.0318059,0,0.0150074,0.0640898,0.0208551,0,0,0.0172129,0,0,0.0397647,0.0500953,0.0187978,0.0151655,0.0274561,0.0299741,0.0170677,0.0684981,0.0928675,0.0673416,0.0307194,0.0594099,0.0450629,0.0447659,0.0632558,0.0158868,0.0178584,0.00807517,0.0101752,0.0275403,0.0189062,0,0,0
5,0.0484319,0.0527467,0.0447675,0,0.0131164,0.0538606,0,0,0.0168063,0,0,0.0503842,0.0363398,0.0346099,0.00932233,0.0135294,0.0317567,0.0327736,0.0363335,0.0527479,0.0702782,0.0590807,0.0715466,0.071339,0.0702723,0.0671532,0.0119798,0.0437766,0.011886,0.0127596,0.0320524,0,0.0148393,0.06331,0.0209304,0,0,0.0171623,0,0,0.0396092,0.0510945,0.0190013,0.0158636,0.0273026,0.0297264,0.0169987,0.0682744,0.0927942,0.0674895,0.0308391,0.0593428,0.0450269,0.0446226,0.0631267,0.0156966,0.018016,0.00804896,0.0100259,0.0275823,0.0188967,0,0,0
6,0.0485338,0.0528116,0.0448452,0,0.0134078,0.0543703,0,0,0.0166184,0,0,0.0502557,0.0356214,0.0335433,0.00804741,0.0164108,0.0318059,0.0326254,0.0368224,0.0520002,0.0704511,0.0595721,0.0718437,0.0713728,0.070511,0.0675068,0.0111685,0.0439579,0.0118962,0.0126395,0.0322166,0,0.0146604,0.0627241,0.0209106,0,0,0.0170664,0,0,0.0394837,0.0521018,0.0191874,0.016626,0.0271934,0.0294539,0.0169196,0.0680771,0.0927286,0.0676248,0.0315361,0.0591892,0.0449612,0.0444679,0.062959,0.0155541,0.0180653,0.00802057,0.00992187,0.0275465,0.0189719,0,0,0
7,0.0482899,0.0528298,0.0450261,0,0.0153567,0.0547954,0,0,0.01641,0,0,0.0501679,0.0350135,0.0331406,0.00755402,0.0193967,0.0317772,0.0325425,0.0370935,0.051428,0.0705979,0.0598567,0.0722072,0.071343,0.0704411,0.0676165,0.0109058,0.0441889,0.0119562,0.0125826,0.0323836,0,0.0144261,0.0623722,0.0208088,0,0,0.0170313,0,0,0.0394758,0.0530753,0.019308,0.0173783,0.0271465,0.0292282,0.016848,0.0678461,0.0927183,0.0678451,0.0320608,0.0589917,0.0448648,0.0442581,0.0627365,0.0154125,0.0179836,0.00804976,0.00986512,0.0274905,0.0190787,0,0,0
8,0.0482082,0.0528778,0.0441693,0,0.0166876,0.0550911,0,0,0.0161719,0,0,0.0501313,0.034585,0.0327257,0.00738929,0.0224388,0.0317215,0.0324293,0.0371954,0.050522,0.0706952,0.0599518,0.0725178,0.071168,0.0704688,0.0677796,0.0115132,0.0443823,0.011968,0.0126547,0.0324484,0,0.0141614,0.0621085,0.0206922,0,0,0.0170202,0,0,0.0394597,0.0539599,0.0193958,0.0180172,0.0270746,0.0290428,0.0168314,0.067634,0.0927133,0.0680437,0.0322851,0.05882,0.0447492,0.0440095,0.0624991,0.0153458,0.018021,0.00805705,0.00982369,0.0275232,0.019102,0,0,0
9,0.0483089,0.0529062,0.0429958,0,0.0174938,0.0552267,0,0,0.0160729,0,0,0.0500565,0.0343836,0.0321998,0.00737893,0.0248392,0.0318638,0.0322463,0.0371293,0.0497731,0.0707643,0.0598844,0.0727129,0.0709051,0.0705928,0.0679894,0.0125252,0.044511,0.011857,0.0127074,0.0326513,0,0.0137552,0.0619424,0.0205979,0,0,0.0169747,0,0,0.0394114,0.0545572,0.0195966,0.0185165,0.0268276,0.0288582,0.0168574,0.0673912,0.0927464,0.0682127,0.032285,0.0586968,0.0446247,0.0437502,0.0622577,0.0151971,0.017972,0.00805906,0.00975471,0.027605,0.0190591,0,0,0
10,0.0481711,0.0528835,0.0426244,0,0.0181089,0.0553302,0,0,0.0160321,0,0,0.049987,0.0342997,0.0317774,0.00743631,0.0259114,0.0321497,0.032067,0.0370144,0.04946,0.0708528,0.0598046,0.0728513,0.0707709,0.0707441,0.0682167,0.0129257,0.0446573,0.0117822,0.0127035,0.0328113,0,0.0133029,0.0618025,0.0204866,0,0,0.0169566,0,0,0.0394436,0.0548799,0.019867,0.0188043,0.0266363,0.0286077,0.0168907,0.0671805,0.0927484,0.0683239,0.0321335,0.0585735,0.044513,0.0435805,0.0620347,0.0151367,0.0178475,0.00810506,0.00975126,0.0276763,0.0190275,0,0,0
11,0.0481758,0.0529376,0.0428846,0,0.0183662,0.0554235,0,0,0.0159537,0,0,0.0499658,0.0342125,0.031588,0.00751185,0.0258135,0.0325524,0.0321082,0.036886,0.0495617,0.0708792,0.059791,0.0729725,0.0708997,0.0709335,0.068523,0.0126472,0.0447258,0.0117913,0.0127218,0.0327164,0,0.0129063,0.0617422,0.0203992,0,0,0.0169133,0,0,0.0395557,0.0550503,0.0201523,0.0189539,0.0265814,0.0283021,0.0169274,0.0669919,0.0927149,0.0683508,0.0318569,0.0584182,0.0442883,0.0433639,0.0618263,0.0153181,0.0177907,0.00835122,0.00963548,0.0277603,0.0189605,0,0,0
12,0.0478536,0.0529502,0.0432884,0,0.01773,0.055267,0,0,0.0158167,0,0,0.0499499,0.0341251,0.0316532,0.00766128,0.0250649,0.0329722,0.0321839,0.0367276,0.0499587,0.0708329,0.0597455,0.0730253,0.0712092,0.0710795,0.0686719,0.0122361,0.0447763,0.0117587,0.0127504,0.0326795,0,0.0124012,0.0618768,0.0202692,0,0,0.0169345,0,0,0.0396531,0.055125,0.0205697,0.019152,0.0264587,0.028038,0.0169336,0.0667953,0.0926962,0.0684767,0.0315255,0.0582299,0.0440145,0.0430498,0.0615752,0.0155206,0.0176926,0.00843164,0.0096329,0.0278188,0.0189744,0,0,0
13,0.0475676,0.0529751,0.0437593,0,0.0168927,0.0550164,0,0,0.0157226,0,0,0.0499735,0.0341401,0.0316777,0.00788276,0.02345,0.0333173,0.0322672,0.0364916,0.0506074,0.0707145,0.0594796,0.073043,0.0716389,0.0711648,0.0685672,0.0117984,0.0447932,0.0117679,0.0128118,0.0326145,0,0.0118793,0.0621568,0.0201594,0,0,0.0169249,0,0,0.0397286,0.0551212,0.0211155,0.0192973,0.026326,0.0277682,0.0169415,0.0666013,0.0926922,0.0686282,0.0310849,0.0579682,0.0437241,0.042772,0.0612762,0.0158128,0.0176046,0.00844604,0.00966147,0.027869,0.0189973,0,0,0
