Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0472328,0.0517486,0.0350697,0,0.0204496,0.0536534,0,0,0.0155759,0,0,0.0509422,0.027915,0.0454359,0.00974978,0.0149868,0.0324945,0.0342811,0.0273489,0.0506818,0.0682615,0.0515635,0.0632721,0.0623595,0.061186,0.0591155,0.0429183,0.0453019,0.0124235,0.0130084,0.0429155,0,0.010397,0.0589931,0.0214081,0,0,0.0193751,0,0,0.0413695,0.055192,0.0348766,0.0298705,0.0237765,0.0323791,0.0198714,0.043259,0.0220573,0.0545814,0.0623138,0.0632179,0.0456432,0.0417639,0.0622722,0.0302028,0.0136979,0.00889516,0.0120438,0.0265368,0.0190149,0,0,0
0,0.0478754,0.0505713,0.0283912,0,0.0277768,0.0590992,0,0,0.0203935,0,0,0.053008,0.0293241,0.0563467,0.0132952,0.00829046,0.0273713,0.0375445,0.0282117,0.0405246,0.0663266,0.0525622,0.0503013,0.0487422,0.0507193,0.0484573,0.0624051,0.0402191,0.0118478,0.0153063,0.043806,0,0.00811779,0.0521942,0.0212619,0,0,0.020729,0,0,0.0422436,0.0517062,0.0236159,0.0235423,0.0272143,0.0406085,0.0193419,0.0364113,0.0270581,0.0549941,0.0571731,0.0683422,0.0516813,0.0456998,0.0658846,0.00944147,0.0113621,0.0088606,0.0130366,0.025743,0.0193724,0,0,0
1,0.04742,0.0511993,0.0286476,0,0.0283689,0.0585596,0,0,0.0203528,0,0,0.0530582,0.0285047,0.0573835,0.0135694,0.00838424,0.0275508,0.0371394,0.0282183,0.0409618,0.0664729,0.0522755,0.0499652,0.0483984,0.0503194,0.0481288,0.0643365,0.0400673,0.0117372,0.015606,0.0445494,0,0.00851741,0.0527724,0.0214747,0,0,0.0211099,0,0,0.0423876,0.0514448,0.0232307,0.0236772,0.0270558,0.0405401,0.0194043,0.0366109,0.0265181,0.0550174,0.0573626,0.0683561,0.0517918,0.0459695,0.066071,0.00859422,0.0107921,0.00865039,0.0134586,0.0265177,0.0188161,0,0,0
2,0.0471182,0.0517215,0.0288011,0,0.0292407,0.0579237,0,0,0.0199998,0,0,0.0529512,0.0282921,0.0586517,0.0136584,0.00874058,0.0280775,0.0371447,0.0282773,0.0413521,0.0665215,0.0522836,0.0495444,0.0478125,0.0501026,0.0480646,0.0654846,0.0402753,0.0119072,0.0155611,0.0444237,0,0.00858686,0.0532708,0.0213099,0,0,0.0216546,0,0,0.0427404,0.0511929,0.0228045,0.0235669,0.0262028,0.040341,0.0191467,0.0372307,0.0256635,0.0546014,0.057725,0.0686225,0.0519259,0.046311,0.0665818,0.00832504,0.0100425,0.00832901,0.0142185,0.0270293,0.0185953,0,0,0
3,0.0472201,0.0516655,0.0284724,0,0.0328599,0.0563474,0,0,0.0192148,0,0,0.0539296,0.0288563,0.0609569,0.0131084,0.0106667,0.0294293,0.0374437,0.0288913,0.0426907,0.0675425,0.0528236,0.0491343,0.0465656,0.050349,0.0486849,0.0593514,0.0399282,0.0109048,0.0159339,0.0430924,0,0.00847836,0.0547562,0.0212717,0,0,0.0224794,0,0,0.042259,0.0498132,0.0236907,0.0227116,0.0251999,0.0389019,0.0190974,0.037895,0.0248499,0.0539575,0.0580259,0.0689351,0.0519792,0.0465463,0.0669058,0.00926583,0.0101811,0.00863811,0.0139963,0.0271586,0.0186764,0,0,0
4,0.0473026,0.0515676,0.0287548,0,0.0338083,0.0559274,0,0,0.0191421,0,0,0.0538591,0.0285202,0.0621897,0.0131455,0.0112631,0.0301069,0.0370309,0.0287955,0.0429681,0.067426,0.0525181,0.049236,0.0466608,0.0507986,0.049296,0.0606488,0.040072,0.0109933,0.0158909,0.043343,0,0.00844031,0.0549619,0.0214961,0,0,0.0225956,0,0,0.0422738,0.049833,0.0237636,0.0226228,0.0244029,0.0388435,0.0194515,0.0387647,0.0242753,0.0536003,0.0585687,0.0689213,0.0520358,0.0466447,0.0670169,0.00881441,0.0100675,0.00900952,0.0136703,0.0273528,0.0183228,0,0,0
5,0.0475594,0.0516162,0.0290886,0,0.0340993,0.0551768,0,0,0.0186856,0,0,0.0537906,0.0285424,0.0630003,0.0131279,0.011659,0.0308278,0.0366753,0.0288451,0.0433297,0.0672953,0.0521526,0.0495538,0.0470576,0.0514456,0.0501162,0.0621167,0.0403931,0.0108614,0.0156981,0.0436741,0,0.00867247,0.0556782,0.0216484,0,0,0.0225378,0,0,0.0423306,0.0495539,0.0236091,0.0225516,0.023784,0.0384304,0.0194166,0.0394634,0.0237363,0.053609,0.0590386,0.0687667,0.0521169,0.0467469,0.0670014,0.00835036,0.00996368,0.00884719,0.0136951,0.0276665,0.0180114,0,0,0
6,0.0479785,0.0517995,0.0294339,0,0.0342717,0.0546577,0,0,0.0182477,0,0,0.0536257,0.0284061,0.0637732,0.0130214,0.0119348,0.0316018,0.0362969,0.0288993,0.0439067,0.0671503,0.0517586,0.0499556,0.0474774,0.0521081,0.0511339,0.0634034,0.0407518,0.0106962,0.0154907,0.0439848,0,0.00893675,0.0562688,0.0218464,0,0,0.0225725,0,0,0.0422871,0.0493475,0.0235333,0.02236,0.0234625,0.0379799,0.0194798,0.040035,0.023305,0.053597,0.0594738,0.0686602,0.0522035,0.0468621,0.0669203,0.00801492,0.00997589,0.00880392,0.0135771,0.0279638,0.0176568,0,0,0
7,0.0480498,0.0518391,0.0299717,0,0.034424,0.054311,0,0,0.0177911,0,0,0.053407,0.028192,0.0643397,0.0132755,0.0119973,0.0321634,0.0360014,0.0289766,0.0444603,0.0671466,0.0513579,0.0504925,0.0480206,0.0528428,0.0522832,0.0645687,0.0411432,0.0106764,0.0152843,0.0439881,0,0.0092473,0.0566942,0.0219952,0,0,0.0225242,0,0,0.0422144,0.0491667,0.0235855,0.0218512,0.0230739,0.0375049,0.019671,0.0405796,0.0228553,0.0534417,0.0599126,0.0685499,0.052245,0.0469082,0.0668954,0.00784789,0.0100578,0.00882433,0.0134328,0.0281612,0.0173162,0,0,0
8,0.0479283,0.0519055,0.0304163,0,0.034468,0.0538859,0,0,0.0172681,0,0,0.0531603,0.0279773,0.0648731,0.013421,0.0120167,0.0325238,0.0358104,0.0289833,0.0450641,0.0672511,0.0510229,0.0511328,0.0486927,0.0539142,0.0535088,0.0657782,0.0415945,0.0107533,0.0149967,0.0439873,0,0.00958245,0.0570782,0.0220619,0,0,0.0224055,0,0,0.0420895,0.0489231,0.0234854,0.0216718,0.0227289,0.0370153,0.0198094,0.0410613,0.0224795,0.0533352,0.0603454,0.0684365,0.0522968,0.0468992,0.0669633,0.00777546,0.0101775,0.00891597,0.0132286,0.0282983,0.0170483,0,0,0
