Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0445223,0.0543635,0.0417872,0,0.0150648,0.0559627,0,0,0.0217689,0,0,0.0538732,0.0381688,0.037452,0.0192459,0.0134413,0.0308637,0.0348882,0.0270321,0.0405749,0.0621011,0.0522923,0.0700437,0.0693754,0.0670894,0.0647946,0.0346282,0.0392281,0.0114178,0.0161182,0.0355925,0,0.0145893,0.0572693,0.0284828,0,0,0.017302,0,0,0.0382534,0.0487564,0.0317917,0.0177926,0.0270496,0.0395084,0.0227721,0.0703125,0.0926165,0.064723,0.0309619,0.0597438,0.0435391,0.0429145,0.0624317,0.0299179,0.0196935,0.00821403,0.00952213,0.0291752,0.0152397,0,0,0
0,0.0453149,0.0551075,0.033251,0,0.0138814,0.0520112,0,0,0.0197997,0,0,0.0527359,0.0402941,0.0436769,0.0233712,0.00624325,0.0329853,0.0312125,0.0297352,0.0480533,0.0627515,0.0530764,0.0718703,0.072109,0.0699235,0.0677062,0.0380291,0.0409965,0.0112436,0.0149139,0.0459922,0,0.0196522,0.0627877,0.0265911,0,0,0.0175483,0,0,0.0381372,0.0499688,0.0222861,0.0112803,0.0345295,0.0355678,0.0252636,0.0668925,0.0902778,0.065632,0.0256862,0.0591655,0.0441439,0.0455998,0.0649185,0.00999529,0.0187751,0.00825834,0.0090971,0.0305167,0.0159551,0,0,0
1,0.0450518,0.0555599,0.0359137,0,0.0135428,0.052605,0,0,0.0195013,0,0,0.0526205,0.0397944,0.0418696,0.0224001,0.00525934,0.0323409,0.0307707,0.0303025,0.0482305,0.0628039,0.0535439,0.0725872,0.0728815,0.0704143,0.0681503,0.0319889,0.0411974,0.0113473,0.0148535,0.0448915,0,0.019914,0.0622687,0.0267596,0,0,0.0175189,0,0,0.0379931,0.0501943,0.0222828,0.0117161,0.0347047,0.0352152,0.0251855,0.0669211,0.0900138,0.0653416,0.0257902,0.0591097,0.0441865,0.045611,0.0648786,0.00977372,0.0189614,0.00823924,0.00896262,0.0310057,0.0154973,0,0,0
2,0.0451117,0.0556385,0.0384671,0,0.0131256,0.0531211,0,0,0.0192668,0,0,0.0524691,0.0390234,0.0398281,0.0211791,0.00453788,0.0320183,0.0304448,0.03095,0.0481471,0.0629351,0.0539979,0.0734022,0.0737193,0.0711223,0.0687345,0.0264265,0.0414955,0.0113436,0.0147313,0.0444678,0,0.0200729,0.0617498,0.0269114,0,0,0.0175405,0,0,0.037796,0.0505781,0.0221407,0.0118507,0.0344659,0.0349339,0.0250092,0.0668467,0.0898105,0.0653427,0.0260662,0.0590605,0.0442055,0.0454681,0.0648493,0.00988143,0.0192641,0.00809427,0.00894801,0.0312415,0.0151381,0,0,0
3,0.045323,0.0558301,0.0409227,0,0.01273,0.0535895,0,0,0.0190412,0,0,0.0522727,0.0381716,0.0377863,0.0198581,0.00457688,0.0318549,0.0302084,0.0314569,0.0481054,0.0631547,0.0543386,0.0742127,0.0745322,0.0718257,0.0693751,0.0215405,0.0418274,0.0113095,0.0145957,0.0445334,0,0.0200615,0.0613126,0.0270164,0,0,0.0175587,0,0,0.0376481,0.0508939,0.0218907,0.0119352,0.033899,0.0346152,0.0247851,0.0667438,0.0897101,0.0654606,0.0264407,0.0590136,0.0442788,0.0453972,0.0648671,0.010076,0.0195667,0.00807426,0.00878598,0.0313763,0.0148195,0,0,0
4,0.0455507,0.0559878,0.0430436,0,0.0123499,0.0540227,0,0,0.0188101,0,0,0.052043,0.0372816,0.0357621,0.0184878,0.0056276,0.0317861,0.0299812,0.0318229,0.0478871,0.0633736,0.0545529,0.0749801,0.0752588,0.0724981,0.0699926,0.0175223,0.0421733,0.0111949,0.0144619,0.0449239,0,0.019871,0.0609681,0.0270965,0,0,0.0175391,0,0,0.0374812,0.0510807,0.0216215,0.0120226,0.0332831,0.0342688,0.0246623,0.0666121,0.0896686,0.0655815,0.0268461,0.0589868,0.0444197,0.0453926,0.0649267,0.0103596,0.0198567,0.00813932,0.00849475,0.0315134,0.0145002,0,0,0
5,0.0457352,0.0560452,0.0447362,0,0.0121685,0.0544007,0,0,0.0185838,0,0,0.0518053,0.0365754,0.0340028,0.017155,0.00752074,0.0317736,0.0297303,0.0320453,0.0474674,0.0636114,0.0546776,0.0757192,0.0759139,0.0731874,0.0705471,0.0143851,0.0425059,0.0110284,0.0143332,0.0455775,0,0.0195822,0.0606426,0.027204,0,0,0.0174705,0,0,0.0373227,0.0512119,0.0213316,0.0121395,0.032571,0.0339265,0.0245506,0.0665361,0.0896996,0.06572,0.0273309,0.0590135,0.0445654,0.0453775,0.0648043,0.0108229,0.0200815,0.00821302,0.00819872,0.031666,0.0142215,0,0,0
6,0.045862,0.0560755,0.0459201,0,0.0121893,0.0546898,0,0,0.0183821,0,0,0.0516177,0.0359436,0.0324975,0.0159474,0.00983797,0.0317674,0.0295368,0.032165,0.0470457,0.0639341,0.0547795,0.0764484,0.0764225,0.0737949,0.0710188,0.0120965,0.0427751,0.0109362,0.0142121,0.0464514,0,0.019208,0.060384,0.0273324,0,0,0.0174014,0,0,0.0372195,0.0513882,0.0210309,0.0122927,0.0318181,0.0336388,0.0244184,0.0664846,0.0897539,0.0658694,0.0278748,0.059034,0.044684,0.0453133,0.0646075,0.0114398,0.0202967,0.00822711,0.0080886,0.0318134,0.0139969,0,0,0
7,0.0459364,0.0561693,0.0465187,0,0.012395,0.0549203,0,0,0.0181857,0,0,0.0515234,0.0353486,0.0311988,0.0149076,0.0122043,0.031764,0.0295897,0.0322803,0.0466799,0.0642356,0.0549082,0.0770354,0.0767818,0.0742066,0.0714178,0.0105896,0.0429763,0.0109483,0.0141223,0.0474911,0,0.0187462,0.060106,0.0274307,0,0,0.0173365,0,0,0.0371339,0.0517218,0.0207954,0.0125138,0.0310425,0.0334406,0.0242856,0.066416,0.0898147,0.0660269,0.0282862,0.0590224,0.0447667,0.0451889,0.0643844,0.0122216,0.0204684,0.00823332,0.00802488,0.0319506,0.0138386,0,0,0
8,0.0459778,0.0562609,0.0464906,0,0.012719,0.0551401,0,0,0.0180317,0,0,0.0514715,0.0348386,0.0300613,0.0140598,0.0143927,0.0317582,0.0295716,0.032432,0.0464067,0.0644475,0.0550868,0.077425,0.076847,0.0744274,0.0717001,0.00994765,0.043121,0.0109463,0.0140895,0.0486358,0,0.0182165,0.0598462,0.0274786,0,0,0.0172674,0,0,0.0370898,0.0519799,0.0206435,0.0127987,0.0303143,0.0333256,0.0241606,0.0663084,0.089852,0.066211,0.0286271,0.0589848,0.0448197,0.0450261,0.0641131,0.0131987,0.0205986,0.00823948,0.00798383,0.032024,0.0137309,0,0,0
9,0.045999,0.0563101,0.0460369,0,0.0130643,0.0553656,0,0,0.0179516,0,0,0.0514481,0.03445,0.0292587,0.0134157,0.01616,0.0317481,0.0294894,0.0325732,0.0462146,0.0645528,0.0553613,0.0775461,0.0767575,0.07457,0.0718731,0.010005,0.0431924,0.0109016,0.0141151,0.0498431,0,0.0176547,0.0596041,0.0274395,0,0,0.0171575,0,0,0.0370624,0.0521466,0.0205715,0.0131591,0.0296083,0.0332608,0.024051,0.0661633,0.0898945,0.0664214,0.0289805,0.0589288,0.0447961,0.0448359,0.0637735,0.0143432,0.0206844,0.00825529,0.00795986,0.0320344,0.0136853,0,0,0
