Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0451677,0.0566407,0.041431,0,0.0179883,0.0532378,0,0,0.0152954,0,0,0.0496066,0.03676,0.0388466,0.0137739,0.0143083,0.0327982,0.0351072,0.0292857,0.0456395,0.0664009,0.0532721,0.0642538,0.0634482,0.0613873,0.0587337,0.0308005,0.0463383,0.0127408,0.0118618,0.0307637,0,0.012216,0.0606126,0.0213359,0,0,0.0181919,0,0,0.0406768,0.046777,0.0365767,0.0171709,0.0219537,0.0360408,0.0164238,0.0455436,0.0205789,0.0587257,0.0676043,0.0597558,0.0415295,0.0403498,0.0613001,0.0425779,0.01487,0.00834367,0.0113985,0.0303324,0.0182533,0,0,0
0,0.0484089,0.0577794,0.0471342,0,0.0172667,0.0544432,0,0,0.0133479,0,0,0.0467328,0.0340399,0.0355676,0.00955846,0.0157121,0.033386,0.0329302,0.035146,0.0526952,0.0690589,0.057789,0.0716263,0.071073,0.0702088,0.0669586,0.0090888,0.0501611,0.0122705,0.0100462,0.0408453,0,0.00981121,0.0619299,0.0210901,0,0,0.0165226,0,0,0.0389605,0.0490589,0.0221133,0.0170825,0.0212436,0.0326311,0.0149722,0.0506721,0.015118,0.0585668,0.0727107,0.0606139,0.0452628,0.0438792,0.0633471,0.0105907,0.0171235,0.00846991,0.00915776,0.0318709,0.017508,0,0,0
1,0.048099,0.0584556,0.0455627,0,0.0177437,0.0549231,0,0,0.0133255,0,0,0.0465248,0.0337697,0.0349554,0.00819184,0.0186535,0.0332295,0.0328723,0.0358814,0.0519491,0.0693391,0.0581253,0.0718494,0.0709477,0.0704107,0.0670887,0.0101861,0.0504071,0.0122886,0.00976386,0.0409554,0,0.00950672,0.0617256,0.0212299,0,0,0.0165578,0,0,0.0388182,0.0494227,0.0223593,0.0179647,0.0209033,0.0323425,0.0146999,0.0506953,0.0150452,0.0583103,0.072516,0.0606073,0.0453021,0.0436817,0.0631889,0.0105748,0.0172578,0.00835984,0.00909504,0.032523,0.0172003,0,0,0
2,0.0481236,0.0586682,0.0441517,0,0.0182074,0.0551699,0,0,0.0133426,0,0,0.0464088,0.0336559,0.0344685,0.00741309,0.0208934,0.0332503,0.0329467,0.0362696,0.0514175,0.0694305,0.0583238,0.0720585,0.0708263,0.0706148,0.0672328,0.0112247,0.0505363,0.0124049,0.0096835,0.0410898,0,0.00921988,0.0614814,0.0212293,0,0,0.0165158,0,0,0.0386815,0.0500813,0.0226259,0.0183364,0.0207927,0.032139,0.0145626,0.0508516,0.0148532,0.0581133,0.0725025,0.0604857,0.0451956,0.0435292,0.0629489,0.0106283,0.0174043,0.00837457,0.00888883,0.0326408,0.0171316,0,0,0
3,0.0482175,0.0587265,0.0429859,0,0.0185923,0.055431,0,0,0.013333,0,0,0.0463472,0.0335606,0.034129,0.00711939,0.0224345,0.0332783,0.0331864,0.0364848,0.0508625,0.0694836,0.0583982,0.0721891,0.0706841,0.0707293,0.0673412,0.0120931,0.0505684,0.012555,0.00975228,0.0412086,0,0.00885577,0.0613591,0.0211824,0,0,0.0164814,0,0,0.0385467,0.0507103,0.022991,0.0186529,0.020736,0.0319367,0.0144579,0.0510429,0.0146644,0.0579582,0.0725284,0.0603596,0.0450277,0.043303,0.062625,0.0107475,0.0175047,0.00835087,0.00878252,0.0326151,0.0171345,0,0,0
4,0.0482918,0.0586976,0.0421428,0,0.0188212,0.0555705,0,0,0.0132453,0,0,0.0463374,0.0334051,0.0339486,0.00695811,0.0232731,0.0332743,0.0333564,0.0365766,0.0507318,0.0696003,0.0583719,0.0723017,0.0706081,0.0708031,0.0673821,0.0127757,0.0506211,0.0127207,0.00987742,0.0412507,0,0.00844317,0.0612763,0.0210671,0,0,0.0165018,0,0,0.0384567,0.0512325,0.0235008,0.0190743,0.0207237,0.0318121,0.0143721,0.0513298,0.0144849,0.0578139,0.0725537,0.060211,0.0447987,0.0429999,0.0622257,0.0109467,0.0175307,0.00834329,0.00868262,0.0325387,0.0171697,0,0,0
5,0.0483507,0.0586304,0.0416682,0,0.0188432,0.0555639,0,0,0.012928,0,0,0.0464022,0.0332113,0.0339486,0.00703946,0.023396,0.0332856,0.0333156,0.0364731,0.0510479,0.0697488,0.0582124,0.0724205,0.0707019,0.0709098,0.067343,0.0132354,0.0507395,0.0129437,0.0101309,0.0410652,0,0.00800711,0.0611635,0.020957,0,0,0.0165389,0,0,0.0384842,0.0517264,0.0241226,0.019497,0.0207468,0.0317391,0.0143483,0.0515367,0.0142631,0.0577261,0.0725806,0.059921,0.0444819,0.042641,0.0617829,0.0112756,0.0175165,0.00833391,0.00874109,0.0323938,0.0171899,0,0,0
6,0.048297,0.0585553,0.0412879,0,0.0187534,0.0554099,0,0,0.0127443,0,0,0.0464779,0.0330252,0.0340846,0.00724229,0.0231685,0.0333968,0.0333518,0.0363349,0.0513094,0.0696453,0.0580036,0.072438,0.0707988,0.0709677,0.0673747,0.0136905,0.0508046,0.0130354,0.0103813,0.0407625,0,0.00745261,0.0611725,0.020826,0,0,0.0166072,0,0,0.0384696,0.0521576,0.0248659,0.0199184,0.0208112,0.0315137,0.014331,0.051713,0.013964,0.0576648,0.0725652,0.0594886,0.0441049,0.0421862,0.0613516,0.0117595,0.0174754,0.00839371,0.0086491,0.032245,0.0172988,0,0,0
7,0.0481561,0.0585006,0.0408922,0,0.0183885,0.0551096,0,0,0.0126405,0,0,0.0465703,0.0328951,0.0339551,0.00741636,0.0223727,0.0335854,0.033516,0.0362051,0.0516976,0.0695007,0.0576638,0.0723221,0.0708919,0.0708592,0.0670805,0.0141006,0.0507983,0.0130977,0.0106008,0.040248,0,0.00684348,0.0612961,0.0207427,0,0,0.016625,0,0,0.038328,0.0524311,0.0257168,0.0202904,0.0209018,0.0311534,0.0141491,0.0518316,0.013677,0.0575466,0.0724877,0.0590836,0.0436687,0.041627,0.0608568,0.0123583,0.0174639,0.00836011,0.00853727,0.0321438,0.0174333,0,0,0
8,0.048004,0.0584554,0.0402534,0,0.0177444,0.0547507,0,0,0.0126206,0,0,0.0466829,0.0327504,0.033118,0.0075801,0.020971,0.0338698,0.0337551,0.0360422,0.0521667,0.0694193,0.0570905,0.0719361,0.0708134,0.0705035,0.0666029,0.0146004,0.0507513,0.0131738,0.0107859,0.0396645,0,0.00627931,0.0614858,0.0207039,0,0,0.0166597,0,0,0.0382814,0.0525685,0.0266928,0.0206501,0.0210326,0.0307731,0.0139824,0.0518702,0.0134083,0.0574343,0.0723534,0.0587223,0.0432031,0.041115,0.0602691,0.013049,0.0174774,0.00835351,0.0085132,0.0321028,0.0175891,0,0,0
