Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0466517,0.0510636,0.0380921,0,0.0190616,0.0579117,0,0,0.0178309,0,0,0.0520145,0.029461,0.0442874,0.00998911,0.0153383,0.032876,0.036166,0.0279312,0.0483644,0.0680552,0.0532103,0.0627329,0.0617521,0.0608333,0.0585395,0.0373225,0.0424086,0.0121172,0.0142107,0.0393281,0,0.0138637,0.0546312,0.0212065,0,0,0.0193505,0,0,0.0409586,0.0551306,0.0293529,0.0229563,0.0210396,0.0336426,0.0179234,0.065739,0.0882409,0.0658065,0.0365551,0.0623643,0.0463709,0.0444001,0.0636452,0.0295374,0.0140756,0.00858797,0.0118493,0.0264074,0.0192554,0,0,0
0,0.050704,0.0518531,0.0408257,0,0.0231617,0.0621182,0,0,0.0144788,0,0,0.0505576,0.0329406,0.0520773,0.00821238,0.00418308,0.0279456,0.0342626,0.0216126,0.038535,0.0625883,0.0506929,0.0574464,0.0576065,0.0554116,0.052327,0.0228535,0.0459972,0.0123859,0.0121395,0.0318269,0,0.0111955,0.0495434,0.0245288,0,0,0.0180806,0,0,0.0399838,0.0543227,0.0197114,0.0182916,0.0231535,0.0384415,0.018468,0.0682976,0.0907571,0.0649107,0.0406771,0.066448,0.0526204,0.0465076,0.0642253,0.0198716,0.01598,0.00770703,0.0113527,0.0300665,0.0181246,0,0,0
1,0.05049,0.0526156,0.0372433,0,0.023483,0.0629517,0,0,0.0148961,0,0,0.0510316,0.0322344,0.053027,0.00886117,0.00328564,0.0283538,0.033899,0.0218401,0.0389073,0.0630664,0.0507362,0.0562724,0.0560059,0.0541123,0.0511469,0.0242301,0.0446987,0.011974,0.0127902,0.0297123,0,0.0103669,0.0485191,0.0242991,0,0,0.01846,0,0,0.0405329,0.0539452,0.0211189,0.0183712,0.0232289,0.0382008,0.0183593,0.0695481,0.0902615,0.0634965,0.0404792,0.0660432,0.0515969,0.0458409,0.0639928,0.0234006,0.0147986,0.00749016,0.0123916,0.0305667,0.0180253,0,0,0
2,0.0501294,0.052863,0.0347264,0,0.0239765,0.0632608,0,0,0.01548,0,0,0.051479,0.0322652,0.0535076,0.00969948,0.00267364,0.0287184,0.0338533,0.0224418,0.0392855,0.0636912,0.0511392,0.0548394,0.0543798,0.0527831,0.0498614,0.0268501,0.0435392,0.0118013,0.0132576,0.0296408,0,0.0100495,0.0479147,0.023965,0,0,0.0190768,0,0,0.0409155,0.0535082,0.0215088,0.0177983,0.0234746,0.0382512,0.0184866,0.070109,0.0900111,0.0629302,0.0404869,0.0660839,0.0510072,0.0458399,0.0641257,0.0238889,0.01383,0.00752664,0.013099,0.0304505,0.0185669,0,0,0
3,0.0495638,0.053044,0.0327566,0,0.024636,0.0632141,0,0,0.0166957,0,0,0.0515744,0.0326912,0.0533014,0.0106838,0.00283275,0.0287831,0.0340919,0.0232266,0.0396365,0.0643874,0.0516497,0.0533549,0.0528527,0.0513526,0.0484961,0.0302745,0.0425458,0.0120108,0.0130782,0.0308115,0,0.010229,0.0477171,0.0236662,0,0,0.0207626,0,0,0.0408251,0.0532002,0.0210379,0.0171165,0.0236224,0.0383729,0.0190715,0.0701712,0.0901103,0.0632004,0.0402581,0.0662811,0.0508389,0.0462643,0.0644285,0.0221507,0.013007,0.00799177,0.0127432,0.0302804,0.0191567,0,0,0
4,0.0495274,0.0529542,0.0310927,0,0.0251334,0.0630518,0,0,0.0166145,0,0,0.0518932,0.0333331,0.0521146,0.0114199,0.00368047,0.0286928,0.0337311,0.0241557,0.039971,0.0651733,0.0522231,0.0520704,0.0515041,0.0500569,0.0472758,0.0345196,0.0418854,0.0117806,0.0138229,0.032241,0,0.0108478,0.0477662,0.0232287,0,0,0.0204241,0,0,0.0415173,0.0528494,0.0199792,0.0165788,0.0232413,0.0386161,0.0188012,0.0699008,0.0905651,0.0642097,0.0393734,0.0664422,0.0510698,0.0466609,0.0647874,0.0197138,0.0127019,0.00831458,0.0137636,0.0299496,0.0196156,0,0,0
5,0.0494777,0.0530406,0.0302579,0,0.0251929,0.0629392,0,0,0.0174785,0,0,0.051569,0.0338507,0.0503116,0.0120017,0.00452609,0.0283349,0.0338246,0.0249964,0.0401582,0.0657696,0.0527198,0.0513141,0.0505476,0.0492623,0.0465603,0.0395608,0.0415362,0.0119866,0.013373,0.0333243,0,0.0117086,0.0478444,0.0230113,0,0,0.0216138,0,0,0.0410984,0.0523227,0.018747,0.0163103,0.022462,0.0388472,0.0192265,0.0694341,0.0912142,0.065508,0.0382821,0.066612,0.0516688,0.0473177,0.0652247,0.0177311,0.012443,0.00847516,0.0132204,0.0300184,0.0194552,0,0,0
6,0.0495199,0.0529504,0.0300848,0,0.0251957,0.0628997,0,0,0.0174687,0,0,0.0514985,0.033862,0.0490756,0.0123775,0.00507657,0.0280034,0.0336188,0.025772,0.0402136,0.0661955,0.0531574,0.0509642,0.0500033,0.0490377,0.0462931,0.0447385,0.0415558,0.0118807,0.0134662,0.0340203,0,0.0124341,0.0478704,0.0227932,0,0,0.0216997,0,0,0.0409759,0.0517748,0.0178329,0.0161734,0.0217579,0.0390738,0.0192884,0.0688681,0.0916267,0.0663682,0.0375026,0.0668831,0.0523376,0.0480896,0.0657221,0.0165222,0.0123934,0.00839058,0.0132196,0.030181,0.0196152,0,0,0
7,0.0494161,0.0528423,0.0297238,0,0.0255266,0.0629399,0,0,0.0172399,0,0,0.0514423,0.0334957,0.0490608,0.0127191,0.00538778,0.0277546,0.0333308,0.0264844,0.0400516,0.0662241,0.0535227,0.0508011,0.0496949,0.0488792,0.0460946,0.0479327,0.0418398,0.0117831,0.0135333,0.0344671,0,0.0128829,0.0478726,0.0227297,0,0,0.0216987,0,0,0.0408758,0.0514841,0.0174027,0.0160135,0.0213712,0.0391743,0.019333,0.0681814,0.0913877,0.0664785,0.0373437,0.0672367,0.0528056,0.0485441,0.0662034,0.0159665,0.012482,0.00817627,0.0132768,0.0304869,0.0199261,0,0,0
8,0.0492672,0.0527983,0.0290189,0,0.0259706,0.0629505,0,0,0.0169232,0,0,0.0513207,0.033336,0.0497921,0.0130152,0.00568206,0.0276289,0.0330306,0.0270547,0.0397789,0.0661979,0.0538096,0.0505929,0.0494348,0.0486714,0.0459097,0.0491109,0.0422315,0.0117296,0.0135788,0.0349343,0,0.0129947,0.0478883,0.0227448,0,0,0.0216971,0,0,0.0408586,0.0513518,0.0174585,0.0158804,0.0212317,0.0391324,0.0193984,0.0675035,0.0907216,0.0660714,0.0377349,0.0675465,0.0529538,0.048745,0.0665647,0.0155869,0.0126274,0.00822112,0.0130933,0.0307281,0.0198353,0,0,0
