Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
102,0.0505745,0.0522107,0.0489462,0,0.0146752,0.0579242,0,0,0.0145833,0,0,0.0499047,0.0389708,0.0326045,0.00453132,0.0150267,0.0251196,0.0360878,0.0257313,0.0418591,0.0653957,0.0556751,0.0661187,0.0648036,0.0621434,0.0597865,0.0109088,0.0464806,0.0131588,0.0116017,0.0427501,0,0.0216274,0.0583521,0.0257828,0,0,0.0171817,0,0,0.0373677,0.0530279,0.0228466,0.0186353,0.0198213,0.0357927,0.0166948,0.072706,0.088565,0.0624902,0.0475042,0.0724082,0.0549338,0.0549744,0.0745303,0.00743449,0.0208914,0.00799803,0.00872682,0.0281548,0.0177185,0,0,0
103,0.0504368,0.052195,0.0487504,0,0.0143082,0.058261,0,0,0.0146033,0,0,0.0499034,0.0390252,0.0333623,0.0045515,0.0146652,0.0249337,0.0360766,0.0254753,0.04158,0.0652488,0.0554231,0.0656832,0.0645759,0.0619015,0.059499,0.0114309,0.0464658,0.0131213,0.0116524,0.0426995,0,0.0206401,0.0578276,0.0257049,0,0,0.0171991,0,0,0.0374018,0.0533492,0.0225677,0.0190868,0.0186792,0.0357959,0.0167155,0.0726073,0.0887384,0.0622698,0.047199,0.0722606,0.0547538,0.0544878,0.0740555,0.00742139,0.0209523,0.00803719,0.00873322,0.0281092,0.0179186,0,0,0
104,0.0503003,0.0522511,0.048411,0,0.0140467,0.0586939,0,0,0.014586,0,0,0.0499187,0.0389682,0.0341686,0.0046444,0.0142478,0.0247093,0.0360999,0.0252054,0.0413469,0.065123,0.0551726,0.0651013,0.0643055,0.0616097,0.0590953,0.0119993,0.0464187,0.0130724,0.0117028,0.0422544,0,0.0194136,0.057207,0.0256336,0,0,0.0172579,0,0,0.0374662,0.0536041,0.0223118,0.0192549,0.0172447,0.0357915,0.0167762,0.072699,0.0889181,0.0618453,0.0469123,0.0718974,0.0543825,0.0538007,0.073397,0.00793382,0.0209226,0.00800861,0.00878048,0.0281585,0.0179961,0,0,0
105,0.0502121,0.0523316,0.0479701,0,0.0139183,0.0591615,0,0,0.0145986,0,0,0.0499591,0.0388085,0.0351989,0.00482546,0.0138023,0.02451,0.0361373,0.0249369,0.0412389,0.0650025,0.0548634,0.0647541,0.0639532,0.0612803,0.0586305,0.0127432,0.0463285,0.0130119,0.0117489,0.0415693,0,0.018208,0.0565655,0.0256593,0,0,0.0172986,0,0,0.0375212,0.0537285,0.0217614,0.0193284,0.0161422,0.0358013,0.0168471,0.0729371,0.0891988,0.0614133,0.0467262,0.0713175,0.0537572,0.0528562,0.0725756,0.00883731,0.0207975,0.00790043,0.00886614,0.0282922,0.0179389,0,0,0
106,0.0500816,0.052515,0.0471487,0,0.0138184,0.0597272,0,0,0.0147722,0,0,0.0500095,0.0381576,0.0365609,0.00490246,0.0131911,0.0246301,0.0362311,0.0244154,0.0412945,0.0647785,0.0543271,0.0647073,0.0637008,0.0610146,0.0582382,0.0135507,0.0461639,0.0130242,0.0117889,0.0420289,0,0.0167843,0.0556194,0.0257618,0,0,0.0177903,0,0,0.0374427,0.054131,0.0209503,0.0195915,0.0153679,0.0358214,0.0170795,0.0732998,0.0899532,0.0611937,0.0462876,0.0707409,0.0530266,0.0516504,0.0716057,0.00894821,0.0206271,0.00813609,0.00825008,0.0284718,0.0178309,0,0,0
107,0.0501476,0.052654,0.0460833,0,0.0139911,0.0601412,0,0,0.0148208,0,0,0.0500122,0.0380637,0.0377653,0.00538519,0.012983,0.0245769,0.0360036,0.024253,0.0412582,0.0647447,0.0542012,0.0642727,0.0631805,0.0605089,0.0576879,0.0147192,0.0461516,0.0130182,0.0118453,0.039824,0,0.0171294,0.0551457,0.0259525,0,0,0.0177406,0,0,0.0376474,0.053974,0.0201864,0.019445,0.0156726,0.0359242,0.017213,0.0738733,0.090289,0.0606213,0.0453471,0.0704633,0.0525495,0.0511497,0.0713691,0.0113643,0.0204129,0.00801489,0.00852459,0.028746,0.0175495,0,0,0
108,0.0502088,0.0528034,0.0448978,0,0.0142061,0.060541,0,0,0.014728,0,0,0.0498893,0.0378416,0.0391576,0.0059636,0.0122312,0.0247371,0.0358086,0.0239477,0.0411826,0.0646081,0.0539358,0.0636465,0.0627804,0.0600871,0.0572229,0.016176,0.046306,0.0130358,0.0117663,0.0381442,0,0.0180286,0.0545491,0.0260919,0,0,0.0175793,0,0,0.0378087,0.0539301,0.0192545,0.0190483,0.0161122,0.0361395,0.0173409,0.0743364,0.0908955,0.0604578,0.0438337,0.0705487,0.0526719,0.0510925,0.0711859,0.0128345,0.0202463,0.00793769,0.00881255,0.0290212,0.0172441,0,0,0
109,0.0500947,0.0528195,0.0434889,0,0.01446,0.0604894,0,0,0.014564,0,0,0.0496903,0.037783,0.0406648,0.0065765,0.0112238,0.0247955,0.0354698,0.0236848,0.0411188,0.0644751,0.0535556,0.0629626,0.062473,0.0597659,0.0568329,0.0180911,0.0466407,0.0130863,0.0115949,0.0376342,0,0.018739,0.054476,0.0260417,0,0,0.017427,0,0,0.0379109,0.0538736,0.0179381,0.0187258,0.0162566,0.036461,0.0174932,0.0741564,0.0913176,0.060952,0.042548,0.0708848,0.0533306,0.0515562,0.0710758,0.0131251,0.0201377,0.00788346,0.0090316,0.0292395,0.0168845,0,0,0
110,0.0496566,0.0525845,0.0418415,0,0.0149679,0.0600639,0,0,0.0143141,0,0,0.0494684,0.0377345,0.0424892,0.00729704,0.0101308,0.024814,0.0351333,0.0233958,0.0411583,0.0643288,0.0529782,0.0626819,0.0622923,0.0595368,0.0565304,0.0204757,0.0470997,0.0131734,0.0113966,0.0385466,0,0.0181226,0.0548117,0.0257317,0,0,0.0172758,0,0,0.0380796,0.0537977,0.0167263,0.0186204,0.0159863,0.0366716,0.0176656,0.0729228,0.091342,0.0621632,0.0422355,0.071085,0.0540341,0.0519123,0.0708655,0.0120779,0.0200825,0.00809344,0.00908942,0.0292865,0.0165354,0,0,0
111,0.0490501,0.0522391,0.0397668,0,0.0159044,0.0596504,0,0,0.0141564,0,0,0.0493905,0.0374897,0.0446878,0.0080923,0.00931201,0.0250898,0.0346342,0.0229954,0.0412839,0.0641656,0.0522974,0.0624513,0.0620486,0.059286,0.056271,0.0236117,0.0474047,0.013227,0.0112472,0.0390899,0,0.0163703,0.0548789,0.025208,0,0,0.0170855,0,0,0.0383286,0.0537627,0.0165225,0.0187437,0.0158954,0.0366062,0.0178012,0.0711099,0.0909762,0.063381,0.0426856,0.0707841,0.0542643,0.0515716,0.0700941,0.0112829,0.0198805,0.00810883,0.00939145,0.0291443,0.016358,0,0,0
