Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LBHD,IMU_B
10,0,0,0,0,0.0499761,0.0515231,0,0,0.0438731,0,0.0314994,0.0631065,0,0.0213445,0,0,0.05285,0.0337335,0.0484095,0.0117893,0.00605801,0.033594,0.0403643,0.0240435,0.0395032,0.0626781,0.0481696,0.0543578,0.0515593,0.0510571,0.0497494,0.0155987,0.0372518,0.0131027,0.0125591,0.024624,0,0.0156597,0.0560672,0.0297734,0,0,0.0244066,0,0,0.0448217,0.0419481,0.0254751,0.0032022,0.0194707,0.0432171,0.0276926,0.0288606,0.0297057,0.0529728,0.049352,0.0657151,0.0438106,0.0407492,0.0642287,0.0419368,0.0102911,0.0109478,0.0132351,0.0302532,0.0130493,0,0,0,0,0
11,0,0,0,0,0.0494104,0.0514669,0,0,0.0427665,0,0.0316208,0.0628909,0,0.0214015,0,0,0.0529047,0.0341975,0.0464183,0.0124726,0.00565234,0.0333912,0.040711,0.024835,0.0401887,0.0635143,0.0488948,0.0537188,0.0506605,0.0503743,0.0491806,0.0178815,0.0371872,0.0129205,0.0127452,0.0246261,0,0.0147941,0.056171,0.029703,0,0,0.0249545,0,0,0.0451035,0.0420942,0.0240328,0.00381478,0.0191248,0.043489,0.0282818,0.0288729,0.0291678,0.0529526,0.0496577,0.0661474,0.0441313,0.041294,0.0645719,0.040688,0.0100286,0.0110751,0.01364,0.0304645,0.0132317,0,0,0,0,0
12,0,0,0,0,0.0490077,0.0512836,0,0,0.0427291,0,0.0314205,0.0626806,0,0.0214409,0,0,0.0529749,0.0347662,0.0442739,0.012804,0.0054628,0.0333965,0.0409672,0.0257436,0.0406255,0.0643846,0.0496491,0.053565,0.0502306,0.0505732,0.0493032,0.0224105,0.0371321,0.0126099,0.0130328,0.0243822,0,0.0141939,0.0562092,0.0294481,0,0,0.0250201,0,0,0.0456967,0.0421413,0.022436,0.00429217,0.0189297,0.0440366,0.0284877,0.0288341,0.0291824,0.0533237,0.0501787,0.0664742,0.0445838,0.0419225,0.0649174,0.0400729,0.00990778,0.0112006,0.014651,0.0306851,0.0131868,0,0,0,0,0
13,0,0,0,0,0.0486552,0.0511697,0,0,0.0425018,0,0.0313806,0.0626142,0,0.0215957,0,0,0.0530588,0.0351105,0.0431721,0.0128139,0.00491455,0.0335788,0.0412254,0.0269599,0.0410046,0.0652001,0.0504281,0.0536753,0.0501308,0.0510593,0.0495832,0.0268228,0.037103,0.0125112,0.0132235,0.0240346,0,0.0138807,0.0563537,0.0292377,0,0,0.0255995,0,0,0.0457276,0.0422748,0.0211281,0.00471623,0.0191628,0.0444862,0.029092,0.0290157,0.0293736,0.053803,0.0507538,0.0666081,0.0449864,0.0424482,0.0651752,0.0401492,0.00980831,0.0111952,0.0147391,0.0309338,0.0128068,0,0,0,0,0
14,0,0,0,0,0.048371,0.0510147,0,0,0.0407696,0,0.031659,0.0625776,0,0.0217124,0,0,0.053229,0.0351791,0.0436738,0.0127786,0.00401941,0.0339583,0.0412862,0.0279426,0.0411225,0.0656575,0.0510506,0.0536299,0.0500476,0.0509625,0.0493497,0.0291147,0.0370657,0.0125406,0.013481,0.0236863,0,0.0139405,0.0565116,0.0290204,0,0,0.025791,0,0,0.0459419,0.0420404,0.0206507,0.00512298,0.0198941,0.0447044,0.0293823,0.0292534,0.0293594,0.0540838,0.0511097,0.0665243,0.0451413,0.0427357,0.0653229,0.0407665,0.00981738,0.011435,0.0149675,0.0310191,0.0125275,0,0,0,0,0
15,0,0,0,0,0.0482322,0.0509755,0,0,0.0390828,0,0.0322749,0.0625606,0,0.021836,0,0,0.0533874,0.0350268,0.0447597,0.0127872,0.0030786,0.0344428,0.0412518,0.0285189,0.0410773,0.0658621,0.0514527,0.0534064,0.049839,0.0507298,0.0490749,0.0305484,0.0371699,0.0126406,0.0136757,0.0233351,0,0.0142283,0.0566129,0.0288395,0,0,0.0258927,0,0,0.0461832,0.0413517,0.0209794,0.00545492,0.0206731,0.0446827,0.0295089,0.0293512,0.029211,0.0539862,0.0511986,0.0664109,0.0450143,0.0426933,0.065301,0.0418731,0.00978218,0.0119625,0.0149795,0.0309124,0.0124517,0,0,0,0,0
16,0,0,0,0,0.0482143,0.0510498,0,0,0.0380945,0,0.0329313,0.0625535,0,0.0218695,0,0,0.0535481,0.0347981,0.0459813,0.0128116,0.00252993,0.03486,0.0412057,0.0288333,0.0408974,0.066,0.0516354,0.0532057,0.0495128,0.0509036,0.0492868,0.0326779,0.037216,0.0127946,0.013879,0.0230069,0,0.0143896,0.0566988,0.0287631,0,0,0.025945,0,0,0.0461915,0.0406858,0.0217193,0.00559138,0.0211569,0.0444187,0.0293629,0.0293039,0.0290878,0.0538064,0.0511784,0.066658,0.0447352,0.0424457,0.0651399,0.0432506,0.00970747,0.0120166,0.0150458,0.0306483,0.0125822,0,0,0,0,0
17,0,0,0,0,0.0482427,0.0511444,0,0,0.036974,0,0.0334517,0.0624807,0,0.0217872,0,0,0.0536922,0.0345088,0.0473323,0.0128986,0.00235848,0.0350744,0.0412519,0.0290494,0.0407039,0.0659354,0.0516203,0.0530312,0.0491794,0.0514061,0.0497291,0.035614,0.0371619,0.0129308,0.0141758,0.0228273,0,0.014605,0.0568518,0.0287359,0,0,0.0259681,0,0,0.0460987,0.040176,0.0224369,0.00552777,0.0214557,0.0440037,0.0290296,0.0291538,0.0291454,0.0537423,0.0511898,0.0666877,0.0446106,0.0421561,0.0648946,0.0442613,0.00961958,0.0118915,0.015088,0.030293,0.0128207,0,0,0,0,0
18,0,0,0,0,0.0483032,0.0511424,0,0,0.0355163,0,0.0338957,0.0623989,0,0.021653,0,0,0.0537254,0.0342532,0.0486405,0.0130429,0.00259569,0.0351036,0.0413735,0.0292885,0.0406347,0.0656984,0.0515253,0.0528969,0.0489167,0.0518219,0.0501664,0.0390385,0.0371035,0.0130645,0.0143726,0.0226432,0,0.0148419,0.0570128,0.0287287,0,0,0.0259222,0,0,0.0459699,0.0397884,0.0225926,0.00554932,0.0217274,0.0435873,0.0287222,0.0290973,0.0294684,0.0538092,0.0512878,0.0664877,0.0446755,0.0420672,0.0646943,0.0446392,0.00952921,0.0118005,0.0150139,0.0299178,0.0130463,0,0,0,0,0
19,0,0,0,0,0.0483997,0.0511953,0,0,0.0338391,0,0.0342687,0.0622271,0,0.0213987,0,0,0.053833,0.0340056,0.0497538,0.0132637,0.0029917,0.0349891,0.0413563,0.0292679,0.0406,0.0653958,0.0514386,0.0526741,0.0487153,0.0519245,0.0504527,0.0427792,0.0370484,0.013137,0.0146328,0.0223729,0,0.0150735,0.0572687,0.0287641,0,0,0.0260406,0,0,0.0457219,0.0395235,0.022161,0.0058155,0.0217541,0.0432445,0.0285413,0.0295432,0.0297761,0.0539966,0.0515221,0.0662154,0.044822,0.042167,0.0645309,0.0442017,0.00951607,0.0118618,0.0145476,0.0295932,0.0131607,0,0,0,0,0
20,0,0,0,0,0.0485333,0.0512261,0,0,0.032039,0,0.0346887,0.061854,0,0.0214208,0,0,0.0538142,0.0337499,0.0509082,0.0134729,0.00346804,0.0348901,0.0413219,0.0291784,0.0406231,0.0651765,0.0513233,0.0523921,0.0485109,0.0518151,0.0505121,0.0466677,0.0369694,0.0131272,0.0146457,0.0223484,0,0.015157,0.0575419,0.0287616,0,0,0.0259483,0,0,0.0456382,0.0394091,0.0214901,0.00611302,0.0217406,0.042961,0.0282109,0.0298559,0.0296153,0.0541518,0.0518801,0.0660581,0.0449941,0.0423005,0.0644591,0.0430432,0.00954411,0.0118033,0.0145198,0.0293704,0.013202,0,0,0,0,0
