Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LBHD,IMU_B
31,0,0,0,0,0.0505441,0.0511695,0,0,0.030462,0,0.035985,0.0582627,0,0.0208284,0,0,0.0532958,0.0314412,0.0604045,0.0135688,0.0113141,0.0400001,0.0406434,0.0280729,0.0418918,0.0640505,0.0483211,0.0560165,0.0529311,0.0565901,0.0565498,0.0806312,0.0379444,0.0130171,0.012937,0.0278104,0,0.0147779,0.0626417,0.030041,0,0,0.025631,0,0,0.0445982,0.0391965,0.0176701,0.00810029,0.0212704,0.0397274,0.0270983,0.0327709,0.0282966,0.0553427,0.0555277,0.0652443,0.0450882,0.0438631,0.0655942,0.026803,0.010135,0.0109108,0.0139348,0.0301658,0.01201,0,0,0,0,0
32,0,0,0,0,0.0507571,0.0511109,0,0,0.0311529,0,0.0356938,0.0580063,0,0.020667,0,0,0.0532208,0.0312287,0.0607075,0.0135173,0.0123534,0.0404136,0.0405822,0.0280209,0.0424821,0.0641324,0.0480308,0.057098,0.0538206,0.0575638,0.0576619,0.0820815,0.0380501,0.0130368,0.0128839,0.028564,0,0.0147184,0.0631202,0.030124,0,0,0.0253801,0,0,0.0445132,0.0391518,0.0175998,0.00822807,0.0213263,0.039319,0.0267713,0.0329196,0.0283161,0.0554182,0.0558502,0.0650647,0.0450152,0.044014,0.0657709,0.0253253,0.0102621,0.0108629,0.0137633,0.0301241,0.0119823,0,0,0,0,0
33,0,0,0,0,0.050961,0.0510946,0,0,0.0317793,0,0.0352608,0.0576727,0,0.0204958,0,0,0.0531344,0.031026,0.0607742,0.0134776,0.0131212,0.0407586,0.0406245,0.0280161,0.0431044,0.0642481,0.0478077,0.0579833,0.0548645,0.0585089,0.0587086,0.0832694,0.0381676,0.0130162,0.0128692,0.0294403,0,0.0146588,0.0636072,0.0302374,0,0,0.0251893,0,0,0.0443904,0.0391115,0.017687,0.00834874,0.021312,0.0388838,0.0265298,0.0330606,0.0281232,0.0553763,0.0561374,0.0648958,0.0449574,0.0441008,0.0656906,0.0236765,0.0103879,0.0107788,0.0135842,0.030094,0.0120059,0,0,0,0,0
34,0,0,0,0,0.0511112,0.0510976,0,0,0.0323159,0,0.0347206,0.0573593,0,0.0202606,0,0,0.0531422,0.0308491,0.0606081,0.0134177,0.0137358,0.0410572,0.0406829,0.0278813,0.0438857,0.0644391,0.0476189,0.0590366,0.0560878,0.0594123,0.0596572,0.084107,0.0382838,0.0130328,0.0129745,0.0303426,0,0.0145787,0.0640768,0.0303466,0,0,0.0253598,0,0,0.0440169,0.0390159,0.017746,0.00851558,0.0212767,0.0383896,0.0265663,0.0331138,0.0276916,0.0552267,0.0562791,0.0647548,0.0448873,0.0435611,0.065377,0.0220632,0.0103791,0.0106451,0.012996,0.0300518,0.0120004,0,0,0,0,0
35,0,0,0,0,0.0515182,0.0509301,0,0,0.0274682,0,0.0384851,0.0563499,0,0.0197636,0,0,0.0534141,0.0313154,0.0617289,0.0126625,0.0197353,0.0422302,0.0411726,0.0282635,0.047718,0.0671945,0.0483945,0.0598338,0.0558481,0.0606137,0.0612065,0.0732554,0.0383234,0.01281,0.013033,0.0304893,0,0.0145595,0.0652457,0.0298981,0,0,0.0243927,0,0,0.0438457,0.0384662,0.0179422,0.00841761,0.0209386,0.0373185,0.0251532,0.0333941,0.0272252,0.0548207,0.0564203,0.0647501,0.0446772,0.0431731,0.0648738,0.0217314,0.010969,0.0108826,0.0140608,0.0298343,0.0127268,0,0,0,0,0
36,0,0,0,0,0.0516881,0.0509131,0,0,0.027778,0,0.0375816,0.0562437,0,0.0195426,0,0,0.0533796,0.0312175,0.0607697,0.0123745,0.0205171,0.0425094,0.0412769,0.0283339,0.0491439,0.0675518,0.0483541,0.06108,0.0571731,0.0619584,0.0623641,0.0729779,0.0384055,0.0129951,0.0130109,0.0313278,0,0.0143746,0.0656593,0.0300508,0,0,0.0242534,0,0,0.0436909,0.0384783,0.0180402,0.0085666,0.0206861,0.0367996,0.0250791,0.0336327,0.0271059,0.0545939,0.0566244,0.0645573,0.0444997,0.0430252,0.0651504,0.0206465,0.0111231,0.0111792,0.0135111,0.0298255,0.0127547,0,0,0,0,0
37,0,0,0,0,0.0518815,0.0509412,0,0,0.0279928,0,0.0364713,0.0562749,0,0.0193796,0,0,0.053306,0.0311641,0.0595188,0.0122192,0.0212605,0.0427267,0.0413566,0.0285195,0.0505256,0.0679076,0.0484108,0.0623034,0.0583741,0.0631428,0.0633775,0.0718185,0.0384736,0.0129408,0.0130303,0.0323281,0,0.0139731,0.066004,0.0301985,0,0,0.0241126,0,0,0.04345,0.0385402,0.0181879,0.00870141,0.0205733,0.0363631,0.0249341,0.0337943,0.0270268,0.0544874,0.0569235,0.0642324,0.0442358,0.0428471,0.0670511,0.019434,0.011288,0.0112021,0.0130333,0.0298277,0.0128319,0,0,0,0,0
38,0,0,0,0,0.052086,0.0509887,0,0,0.0280197,0,0.0351435,0.0562892,0,0.0193393,0,0,0.0533086,0.0311411,0.0577586,0.0119948,0.0217433,0.042889,0.0415667,0.0288499,0.0518045,0.0683261,0.0485765,0.0635023,0.0595159,0.0641358,0.0641371,0.069728,0.0385361,0.0128893,0.01307,0.0333588,0,0.0136747,0.0662619,0.0303295,0,0,0.0239916,0,0,0.043113,0.0386238,0.0183401,0.00886838,0.0204398,0.0360198,0.0247116,0.033973,0.0268102,0.0544619,0.0572567,0.0639784,0.044004,0.042667,0.0688493,0.0181192,0.0114457,0.0109477,0.0126185,0.0298528,0.0129548,0,0,0,0,0
39,0,0,0,0,0.052263,0.0510063,0,0,0.0278934,0,0.0336988,0.0563295,0,0.0193489,0,0,0.0533349,0.0311407,0.055617,0.0118466,0.0218596,0.0429906,0.0418027,0.0293371,0.0528977,0.0687142,0.0488362,0.0645111,0.0605973,0.0649377,0.0645931,0.066672,0.038576,0.0128946,0.0131082,0.0342961,0,0.0136407,0.0663649,0.0304633,0,0,0.0239022,0,0,0.0428445,0.038786,0.0183796,0.0089981,0.0201669,0.0357337,0.0245218,0.0342769,0.0264863,0.0542515,0.0574636,0.0638878,0.0438957,0.0425271,0.0689786,0.0169869,0.0115773,0.0108258,0.0121854,0.0298858,0.0131341,0,0,0,0,0
40,0,0,0,0,0.0522895,0.0509747,0,0,0.0298336,0,0.0295196,0.056744,0,0.0197578,0,0,0.0529242,0.030724,0.0526939,0.0124222,0.0177545,0.0422557,0.0418774,0.0289705,0.050899,0.0668709,0.0486866,0.0656714,0.0628052,0.0659827,0.0648811,0.0713613,0.0387403,0.0132808,0.0129688,0.0372402,0,0.013875,0.0662572,0.0310023,0,0,0.0235787,0,0,0.0432076,0.0391621,0.017536,0.00960939,0.0207198,0.0358818,0.0243626,0.0339517,0.0270756,0.0544196,0.0574477,0.063388,0.0437988,0.0421437,0.0684546,0.0138401,0.0114097,0.01027,0.0117398,0.02994,0.0129363,0,0,0,0,0
41,0,0,0,0,0.0524156,0.0510563,0,0,0.0290645,0,0.0285774,0.0569574,0,0.0195487,0,0,0.052962,0.0308307,0.0503232,0.012065,0.0178011,0.042372,0.0420062,0.0294535,0.0518937,0.0671743,0.0492444,0.0662074,0.0635031,0.0663082,0.0650244,0.0653238,0.0387777,0.0134418,0.0129854,0.0382053,0,0.0138736,0.0661542,0.0311043,0,0,0.0235147,0,0,0.0429373,0.0393947,0.0172535,0.00949509,0.0206337,0.0358456,0.0241417,0.033966,0.0267488,0.0542072,0.0574804,0.0631531,0.0432154,0.0415463,0.0682224,0.012962,0.0114805,0.0101025,0.0113724,0.0299083,0.0133321,0,0,0,0,0
42,0,0,0,0,0.0526276,0.0510426,0,0,0.028751,0,0.0276584,0.0571943,0,0.0196156,0,0,0.0529323,0.0311084,0.0471925,0.0116561,0.0181287,0.0423501,0.0422529,0.0299071,0.0528205,0.0675874,0.0501963,0.0667214,0.0640759,0.066617,0.0649775,0.05753,0.0388324,0.0136599,0.0127782,0.037111,0,0.0149069,0.0664179,0.0310882,0,0,0.0222755,0,0,0.0432702,0.040215,0.0161144,0.00925099,0.0217313,0.0355402,0.0230601,0.0341578,0.0256013,0.0545227,0.0579056,0.062562,0.0425457,0.0414574,0.0679985,0.0134616,0.0119451,0.00993016,0.0123395,0.0298965,0.0137642,0,0,0,0,0
43,0,0,0,0,0.0526965,0.0510734,0,0,0.0301427,0,0.0269435,0.0576164,0,0.0193414,0,0,0.0530141,0.0312565,0.0445562,0.0111103,0.018061,0.0421805,0.0423128,0.0305702,0.0533563,0.0678512,0.0510448,0.0671735,0.0646153,0.0669239,0.0650307,0.0495417,0.0390414,0.0142562,0.012627,0.0369479,0,0.0155154,0.0661662,0.0311355,0,0,0.0221515,0,0,0.0430477,0.0408305,0.0156926,0.00889551,0.0222781,0.0355618,0.0229282,0.0344099,0.0249653,0.0544469,0.0582336,0.0624477,0.0424524,0.0415196,0.0683826,0.0135117,0.0120721,0.00979954,0.0120851,0.0298622,0.0139039,0,0,0,0,0
44,0,0,0,0,0.0527685,0.0511203,0,0,0.0330772,0,0.0263739,0.057898,0,0.0190976,0,0,0.0528041,0.0315767,0.0420214,0.0104959,0.0180769,0.0419055,0.0422824,0.0314765,0.0535054,0.0679894,0.0519752,0.0675997,0.0650868,0.0672753,0.0652813,0.0408389,0.0392796,0.0138558,0.0126385,0.0368744,0,0.0144643,0.0660246,0.031162,0,0,0.0224044,0,0,0.0426742,0.0412136,0.0167635,0.00876933,0.0218402,0.0355567,0.0230612,0.0348004,0.0246087,0.0539545,0.0585127,0.0626927,0.0424272,0.0416226,0.0688474,0.0141442,0.0121269,0.00975783,0.0113546,0.0298652,0.0139113,0,0,0,0,0
45,0,0,0,0,0.0528427,0.0511712,0,0,0.0366285,0,0.0258323,0.0588463,0,0.0189155,0,0,0.0526383,0.0313142,0.0396007,0.0098387,0.0190729,0.0415897,0.0422454,0.0323302,0.0533955,0.0682081,0.0530361,0.0679456,0.0653406,0.0675938,0.0655488,0.0325561,0.0394888,0.0135156,0.012671,0.0378491,0,0.0164041,0.0652672,0.0311143,0,0,0.0222639,0,0,0.042601,0.0425725,0.0153809,0.00833483,0.0223755,0.0354955,0.0229018,0.035188,0.0239632,0.0536725,0.0586555,0.0625366,0.0424749,0.0412637,0.0687246,0.0127314,0.0122854,0.009772,0.0112186,0.0298556,0.0139227,0,0,0,0,0
46,0,0,0,0,0.0529811,0.0512347,0,0,0.0407948,0,0.0252152,0.0597915,0,0.0187307,0,0,0.0524898,0.0312225,0.037587,0.009238,0.0208229,0.0413008,0.0421891,0.0332692,0.0526959,0.0682618,0.0540925,0.0682485,0.0654302,0.0677896,0.0657246,0.0250351,0.0397237,0.0133546,0.0127094,0.0385847,0,0.016826,0.0644832,0.031074,0,0,0.0221163,0,0,0.0425243,0.0437588,0.0151636,0.00822707,0.0221929,0.0354271,0.022847,0.0355623,0.0234059,0.0531918,0.0588277,0.0625853,0.0423386,0.0408817,0.0686519,0.0119683,0.0124118,0.00967753,0.011181,0.0298696,0.0138864,0,0,0,0,0
47,0,0,0,0,0.0531397,0.0512853,0,0,0.0444451,0,0.0250551,0.0607685,0,0.0184417,0,0,0.0523861,0.0310389,0.0358596,0.0087892,0.0236016,0.0410023,0.0420034,0.0343027,0.0514451,0.0681973,0.0549547,0.0684871,0.0653242,0.0678607,0.0657994,0.0193093,0.0399175,0.0133319,0.0127163,0.0394895,0,0.0173417,0.0635433,0.031086,0,0,0.0219122,0,0,0.0425152,0.045053,0.0151567,0.00817433,0.0218774,0.0354251,0.0228844,0.0359798,0.0228681,0.0526411,0.0590052,0.0626799,0.0425489,0.0406473,0.0684027,0.0111637,0.0125057,0.00955762,0.0112592,0.0298827,0.0138114,0,0,0,0,0
48,0,0,0,0,0.0527598,0.0512984,0,0,0.043849,0,0.0258114,0.0631224,0,0.0181276,0,0,0.0525949,0.0288275,0.0344878,0.010325,0.0291943,0.0404699,0.0417137,0.0346685,0.0499734,0.0685398,0.0552615,0.0681665,0.0643057,0.0674439,0.0653308,0.0178255,0.039809,0.0132703,0.0130932,0.0494476,0,0.0271422,0.0605417,0.0308119,0,0,0.0225589,0,0,0.0426127,0.0470906,0.00918789,0.00916551,0.0189998,0.0356964,0.023651,0.0364249,0.0262313,0.0521491,0.0588772,0.0657147,0.0456131,0.0402005,0.0714637,0.0235647,0.012089,0.00970614,0.0110386,0.0298147,0.0136186,0,0,0,0,0
49,0,0,0,0,0.0533327,0.0515257,0,0,0.0464147,0,0.0259436,0.0622162,0,0.0177732,0,0,0.0523189,0.0309231,0.0333193,0.0086851,0.0313326,0.0403797,0.0413232,0.036341,0.0480067,0.0680898,0.0557059,0.0685086,0.0642398,0.0672652,0.0652424,0.0141824,0.04027,0.0134986,0.012723,0.0406339,0,0.0165392,0.0620159,0.0311357,0,0,0.0224025,0,0,0.0422491,0.0469663,0.0149824,0.00866143,0.0205598,0.0354221,0.0235293,0.0367294,0.0219905,0.0516963,0.0592531,0.06316,0.0430803,0.0402632,0.0678128,0.0105315,0.0124158,0.00955847,0.0104803,0.0299085,0.0135675,0,0,0,0,0
50,0,0,0,0,0.0533019,0.0516167,0,0,0.0498455,0,0.0231044,0.0624875,0,0.0176797,0,0,0.052206,0.0310624,0.039179,0.00853246,0.0334449,0.0401639,0.0410718,0.037029,0.0468117,0.0680677,0.055458,0.0681969,0.0638752,0.064606,0.062543,0.0163019,0.0404327,0.01345,0.012596,0.0407219,0,0.0159966,0.0615812,0.0309982,0,0,0.022359,0,0,0.0423259,0.0473464,0.0149994,0.00892092,0.0199084,0.0354346,0.0235806,0.036687,0.021715,0.0513617,0.0590823,0.0633549,0.0430803,0.0398316,0.0672089,0.0105965,0.0124415,0.00953128,0.0105675,0.0298729,0.0135312,0,0,0,0,0
51,0,0,0,0,0.0528693,0.0520548,0,0,0.0455829,0,0.0230086,0.062978,0,0.0174598,0,0,0.0531894,0.0312422,0.0374293,0.00697253,0.0248037,0.0395916,0.0411814,0.0367482,0.0451022,0.0673094,0.0551734,0.0694811,0.0658806,0.0675484,0.0654583,0.0161724,0.0398014,0.0122537,0.0126766,0.0383447,0,0.0149762,0.0612017,0.0302948,0,0,0.0224663,0,0,0.042857,0.0475042,0.0157321,0.00960221,0.0178822,0.0341616,0.0233873,0.0368651,0.0203545,0.0501579,0.0584862,0.0641971,0.0433706,0.0398643,0.0673108,0.0120604,0.0120178,0.00926648,0.0110323,0.0304721,0.0132741,0,0,0,0,0
52,0,0,0,0,0.0526837,0.0522546,0,0,0.0462151,0,0.0225048,0.0634454,0,0.0173596,0,0,0.0535405,0.0312298,0.0394173,0.00643233,0.0212249,0.0395571,0.0412418,0.0369623,0.0449999,0.067459,0.0553552,0.0698339,0.0663481,0.0675843,0.06572,0.016959,0.0396183,0.0119339,0.0127249,0.0382363,0,0.0148607,0.0607793,0.030021,0,0,0.0225867,0,0,0.0428751,0.0476213,0.0161956,0.00999105,0.0172538,0.033631,0.0235175,0.0367002,0.0201128,0.0498852,0.0581227,0.0641518,0.0434271,0.039298,0.0669622,0.0122821,0.0119718,0.00910595,0.0109235,0.0306919,0.0131483,0,0,0,0,0
53,0,0,0,0,0.0526177,0.0523189,0,0,0.0454028,0,0.0230947,0.0638109,0,0.0172807,0,0,0.0536598,0.0311055,0.0395082,0.00640751,0.0211933,0.0397688,0.0413062,0.0371877,0.0451351,0.0676071,0.0556031,0.0698526,0.0661151,0.0674451,0.0656044,0.0174983,0.0396156,0.012022,0.012813,0.0375875,0,0.0150848,0.060423,0.0299979,0,0,0.02271,0,0,0.042796,0.0479012,0.0166919,0.0101716,0.0171977,0.0333262,0.0236418,0.0367566,0.0197984,0.049847,0.0580453,0.0638112,0.0434281,0.0388033,0.0665326,0.0129424,0.0120195,0.00896597,0.0107761,0.0307347,0.0130794,0,0,0,0,0
54,0,0,0,0,0.0527166,0.0522269,0,0,0.0435223,0,0.0242585,0.0637573,0,0.0172701,0,0,0.0533864,0.0308224,0.037903,0.00711831,0.0243637,0.0403364,0.041275,0.0373385,0.0455139,0.0676467,0.0555696,0.0695736,0.0654313,0.0671299,0.0655317,0.0177656,0.0398087,0.012245,0.0127858,0.0372038,0,0.01527,0.0602817,0.0300595,0,0,0.022591,0,0,0.042753,0.0481506,0.017488,0.0106076,0.0169911,0.0333486,0.0236866,0.0369901,0.0195562,0.0496046,0.057966,0.0633136,0.0438968,0.0386572,0.0653423,0.0137588,0.0122182,0.00911234,0.0106785,0.0305923,0.0132177,0,0,0,0,0
55,0,0,0,0,0.0528566,0.0520501,0,0,0.041047,0,0.0251909,0.063333,0,0.0173079,0,0,0.0529828,0.0304731,0.035461,0.00835261,0.0290512,0.041102,0.0414192,0.0372887,0.0462371,0.0676024,0.0551217,0.0692494,0.064663,0.0668557,0.0654003,0.0186358,0.0400501,0.012534,0.0128243,0.0366124,0,0.0157664,0.06042,0.0300618,0,0,0.0223466,0,0,0.0425774,0.0484156,0.0185586,0.0111851,0.0170376,0.0335571,0.023628,0.0374423,0.0193475,0.0493881,0.0580227,0.0625821,0.0444083,0.038522,0.0635299,0.014949,0.0124869,0.00921116,0.0105447,0.0302757,0.013506,0,0,0,0,0
56,0,0,0,0,0.0530609,0.0518599,0,0,0.0401882,0,0.0259771,0.0626793,0,0.0175473,0,0,0.0523198,0.0298217,0.0343347,0.0102461,0.0351117,0.0418409,0.0416994,0.0370203,0.0477055,0.0678897,0.0544069,0.0687727,0.0635755,0.0658443,0.0643597,0.0196582,0.040355,0.0132719,0.0128348,0.038617,0,0.0161817,0.0609305,0.0302729,0,0,0.022354,0,0,0.0420204,0.0486181,0.0192675,0.0119889,0.018231,0.0341452,0.023816,0.0375074,0.0203045,0.0501767,0.0582049,0.0613764,0.044371,0.0374329,0.0619713,0.0146807,0.0128409,0.00938374,0.00967783,0.0297969,0.0138124,0,0,0,0,0
57,0,0,0,0,0.0530678,0.0518441,0,0,0.0375464,0,0.0268804,0.0620255,0,0.0177233,0,0,0.0524528,0.0291605,0.0328811,0.0107766,0.0337999,0.0420395,0.042186,0.0358856,0.0486526,0.0677335,0.0533008,0.0687581,0.0639536,0.0668861,0.0650061,0.0217532,0.0401066,0.0132218,0.0130165,0.0373613,0,0.0166702,0.061624,0.0301568,0,0,0.0222081,0,0,0.0419043,0.0487409,0.0207969,0.0128871,0.0183526,0.0338496,0.0235362,0.0379095,0.020066,0.0501456,0.0582781,0.0607346,0.0438754,0.0363864,0.0625312,0.0163792,0.0130001,0.00926633,0.00963502,0.029702,0.014011,0,0,0,0,0
58,0,0,0,0,0.0531493,0.0518329,0,0,0.0371504,0,0.0259742,0.0612197,0,0.0182064,0,0,0.0524558,0.0284021,0.0332988,0.0111226,0.0314814,0.0422426,0.04276,0.0346968,0.0498949,0.0676297,0.0520836,0.0683368,0.064143,0.0670531,0.0652616,0.0233745,0.0399736,0.0132431,0.0129259,0.0355868,0,0.0172716,0.0622886,0.0299546,0,0,0.0212189,0,0,0.0422789,0.0486006,0.0223769,0.0138832,0.0185333,0.0336121,0.0227458,0.0380134,0.0198282,0.0499103,0.0580537,0.0599043,0.0435965,0.0356582,0.0625543,0.0186986,0.0135115,0.00946259,0.0105168,0.0296531,0.0143335,0,0,0,0,0
59,0,0,0,0,0.0531601,0.0519263,0,0,0.03683,0,0.0252755,0.0605597,0,0.0185591,0,0,0.0526436,0.0275808,0.0332638,0.0114244,0.0296349,0.0424018,0.0434941,0.0337747,0.0509316,0.0676617,0.0510656,0.0676837,0.0638667,0.0671518,0.0656454,0.0246141,0.039773,0.013225,0.0131445,0.0336817,0,0.0181115,0.0626537,0.029815,0,0,0.0211804,0,0,0.0421969,0.0484664,0.02402,0.0148851,0.0187501,0.0333049,0.0227676,0.0380068,0.0194625,0.0494785,0.0577443,0.05883,0.0434134,0.0352702,0.062007,0.0215037,0.0137002,0.00960682,0.0102591,0.0297355,0.014499,0,0,0,0,0
60,0,0,0,0,0.0531074,0.0520138,0,0,0.0363323,0,0.0244286,0.0600601,0,0.018992,0,0,0.0528676,0.0269413,0.0326915,0.0117279,0.0281045,0.0426526,0.0442583,0.0334432,0.0517193,0.0680097,0.0504886,0.0672037,0.0635628,0.0673314,0.0657581,0.0252692,0.0394627,0.0132441,0.0133586,0.0319956,0,0.0189574,0.0628108,0.0296059,0,0,0.0212078,0,0,0.0421834,0.0482784,0.0257679,0.0158617,0.0189228,0.0330168,0.0228401,0.0378255,0.0189511,0.0489278,0.0572873,0.0575685,0.0431309,0.0350896,0.0614859,0.0245309,0.0138707,0.00987615,0.00996381,0.0298616,0.0147208,0,0,0,0,0
61,0,0,0,0,0.0524339,0.051905,0,0,0.0453147,0,0.0221005,0.059368,0,0.0194515,0,0,0.0533659,0.0271354,0.0326226,0.0107125,0.0175356,0.0424745,0.0448311,0.0322832,0.0556899,0.0687237,0.049112,0.0670122,0.0641233,0.0670915,0.0657788,0.0166456,0.0388605,0.0131662,0.0139691,0.030088,0,0.0196136,0.0626527,0.0290659,0,0,0.021625,0,0,0.0424386,0.0474152,0.027576,0.0158842,0.0189888,0.0331098,0.0234242,0.0372694,0.0184836,0.0485181,0.0565412,0.0563403,0.0429115,0.0353447,0.0612204,0.0280653,0.0135893,0.0100072,0.0100684,0.029832,0.0149015,0,0,0,0,0
62,0,0,0,0,0.0518966,0.0518915,0,0,0.0455215,0,0.0200353,0.0585893,0,0.0203099,0,0,0.0534785,0.0279294,0.0315,0.0102562,0.0148732,0.043248,0.0456886,0.0322247,0.0562487,0.0692441,0.0492125,0.0672625,0.0646284,0.0666511,0.06563,0.0174385,0.0383226,0.0132871,0.013871,0.0286518,0,0.020115,0.0627254,0.0285755,0,0,0.0216311,0,0,0.0425567,0.0467178,0.0297305,0.0164743,0.0190644,0.033537,0.0237182,0.036693,0.0178669,0.0483072,0.0555698,0.0548952,0.0424937,0.0356732,0.0611019,0.0316189,0.0135687,0.0100045,0.0102288,0.0298576,0.0152037,0,0,0,0,0
63,0,0,0,0,0.051252,0.0515907,0,0,0.0454288,0,0.0190024,0.0582118,0,0.0207386,0,0,0.0540566,0.028482,0.0298265,0.00970043,0.0137781,0.0440777,0.0468006,0.0322323,0.0559682,0.0692235,0.04948,0.067494,0.0650222,0.0659009,0.0650165,0.0184203,0.0376982,0.0131559,0.0145557,0.0276661,0,0.0207565,0.0625111,0.0279226,0,0,0.021515,0,0,0.042976,0.0467811,0.0315525,0.0171025,0.0193946,0.0338056,0.0238175,0.0364977,0.0171546,0.0487313,0.0550017,0.0529682,0.0418243,0.0363778,0.0602737,0.034982,0.0134024,0.0101244,0.0108044,0.0298838,0.0155765,0,0,0,0,0
64,0,0,0,0,0.0505144,0.0512871,0,0,0.0450848,0,0.019319,0.0577228,0,0.0217135,0,0,0.0544897,0.0286476,0.0291476,0.00939853,0.0146313,0.0450272,0.0482689,0.032199,0.0552822,0.0685764,0.0491302,0.0674888,0.0651731,0.0649281,0.0640941,0.0188154,0.037049,0.0131559,0.0149735,0.0268787,0,0.0217544,0.0622163,0.0272616,0,0,0.0222248,0,0,0.0430007,0.0470927,0.033871,0.0179155,0.0197963,0.0342725,0.0244668,0.0364458,0.0163576,0.0488455,0.0545648,0.0508073,0.0411513,0.0376075,0.0592047,0.0381966,0.0129465,0.0101954,0.0103266,0.0299667,0.0159379,0,0,0,0,0
65,0,0,0,0,0.0492594,0.0507172,0,0,0.0434789,0,0.0206195,0.0566684,0,0.0236689,0,0,0.0551161,0.0280806,0.0301951,0.00979432,0.0173641,0.0459398,0.0506467,0.0316045,0.0545041,0.0677509,0.0481339,0.067018,0.0649635,0.0636225,0.0629062,0.0196009,0.0358381,0.0129657,0.015621,0.0292328,0,0.0238275,0.0623158,0.026053,0,0,0.0221429,0,0,0.0438582,0.0465648,0.0386413,0.0195625,0.0246361,0.0343901,0.0240319,0.0343939,0.020289,0.0508726,0.0536901,0.0474852,0.0407232,0.0391691,0.0568756,0.0370792,0.0126501,0.0102621,0.0117052,0.029804,0.0169264,0,0,0,0,0
66,0,0,0,0,0.0491974,0.0505377,0,0,0.0420192,0,0.0224155,0.0559272,0,0.0236414,0,0,0.0556305,0.0276808,0.0321338,0.00960418,0.0193274,0.0455227,0.0512132,0.0304962,0.0534018,0.0668303,0.0471476,0.0661035,0.0642809,0.0623304,0.0618065,0.0208145,0.0355579,0.0130119,0.016298,0.0263211,0,0.0253717,0.0628582,0.0260922,0,0,0.0227078,0,0,0.0438283,0.0477731,0.040768,0.0190519,0.0198211,0.0351599,0.0241088,0.0367001,0.0152799,0.0490775,0.0546141,0.0469572,0.0413898,0.0430499,0.0567652,0.0447437,0.0124949,0.0104346,0.0112839,0.029869,0.017037,0,0,0,0,0
67,0,0,0,0,0.0485567,0.0503441,0,0,0.0411362,0,0.0238637,0.0546651,0,0.0244905,0,0,0.0563136,0.0269382,0.0342891,0.0100054,0.0199044,0.0449924,0.0526011,0.0290799,0.052258,0.0657982,0.0458382,0.06538,0.0636607,0.0617696,0.0613932,0.0228232,0.0348972,0.0131635,0.0169972,0.0259593,0,0.0279195,0.0637305,0.0256813,0,0,0.0229744,0,0,0.0441927,0.047771,0.0451969,0.0192734,0.0195245,0.0353995,0.0240319,0.0369286,0.0152564,0.0494687,0.0549524,0.0457459,0.0424376,0.0467473,0.0554101,0.0477081,0.0121499,0.0107106,0.0117215,0.0296839,0.0177139,0,0,0,0,0
68,0,0,0,0,0.0479743,0.0502574,0,0,0.0410838,0,0.0247043,0.0537157,0,0.0253885,0,0,0.0568555,0.0263471,0.035817,0.010464,0.0193731,0.0444938,0.0537895,0.0280853,0.0510885,0.0648602,0.0449208,0.0650945,0.0633495,0.0619466,0.0615457,0.0245088,0.034312,0.0133573,0.0175254,0.0252571,0,0.0305176,0.0643172,0.0252722,0,0,0.023241,0,0,0.044411,0.0478773,0.0489885,0.0192718,0.019444,0.0356131,0.023983,0.0372173,0.015629,0.0500264,0.0553275,0.0450756,0.0436933,0.050285,0.0544584,0.0502247,0.0117524,0.0107106,0.0122977,0.0294178,0.018439,0,0,0,0,0
69,0,0,0,0,0.0475144,0.0502037,0,0,0.0414828,0,0.0248644,0.0532523,0,0.0262051,0,0,0.0571849,0.0259626,0.0365228,0.0107298,0.0184339,0.0441276,0.0547121,0.0275617,0.0500523,0.0642056,0.0445475,0.0651283,0.0633032,0.0624219,0.0621227,0.0250214,0.0336525,0.0133951,0.0178906,0.023957,0,0.0325929,0.0644977,0.0250015,0,0,0.0235873,0,0,0.0446424,0.0482799,0.0513488,0.0193316,0.0198484,0.0358808,0.0240014,0.0375519,0.0162561,0.0507779,0.0555534,0.0445198,0.0442314,0.0526443,0.053742,0.0529216,0.0113697,0.0107668,0.0128961,0.0292208,0.0190144,0,0,0,0,0
