Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,RTIBA,RTIB
9,0,0,0,0,0.0475251,0.0531925,0,0,0,0.0374767,0,0.0234887,0.058571,0,0,0.0303616,0,0,0.0586621,0.0280941,0.03011,0.0136651,0.0275811,0.0428088,0.0288024,0.0334844,0.0484933,0.0653387,0.0499925,0.0722799,0.068166,0.0699712,0.067872,0.0213382,0.0485243,0.038667,0.0246398,0.0457198,0,0.0109772,0.0603484,0.0243284,0,0,0.0193116,0,0,0.0382016,0.0461542,0.0154601,0.0135198,0.0124812,0.0385862,0.0139106,0.0364552,0.0149926,0.0462423,0.0534649,0.0702801,0.0126082,0.018065,0.00956408,0.00774482,0.0279381,0.0183544,0,0,0,0,0,0
10,0,0,0,0,0.0496616,0.0534781,0,0,0,0.0379294,0,0.0229327,0.0609191,0,0,0.0291182,0,0,0.057878,0.0280772,0.0304358,0.0135766,0.0257678,0.0401892,0.0268334,0.0322691,0.0490912,0.0652098,0.0497292,0.0715334,0.0678996,0.0699458,0.0678415,0.0219012,0.049135,0.0363365,0.0226518,0.050395,0,0.0122526,0.0603402,0.0263044,0,0,0.0190795,0,0,0.0378388,0.047549,0.0259187,0.0123932,0.0165104,0.0396728,0.0148276,0.0410883,0.0176625,0.0517844,0.0603616,0.0611697,0.0142845,0.0188703,0.0100208,0.00762074,0.0288655,0.0165984,0,0,0,0.143942,0,0
11,0,0,0,0,0.0495817,0.0535422,0,0,0,0.0370582,0,0.0221565,0.0601874,0,0,0.0296609,0,0,0.0583454,0.0274328,0.031112,0.0139506,0.0239542,0.0404328,0.0272581,0.0313528,0.050552,0.0655541,0.048757,0.0710692,0.0679036,0.0703909,0.0684868,0.0243287,0.0491196,0.0370644,0.023063,0.0492699,0,0.0129074,0.0606652,0.0260524,0,0,0.0191745,0,0,0.0377329,0.0470712,0.0275111,0.01275,0.0166997,0.0392997,0.0145428,0.0407055,0.0175297,0.0516537,0.0600156,0.061107,0.0143065,0.0189544,0.0100792,0.00751757,0.0289382,0.016935,0,0,0,0.138402,0,0
12,0,0,0,0,0.0475548,0.0532916,0,0,0,0.0351459,0,0.0208641,0.0571849,0,0,0.0318569,0,0,0.0601056,0.0267593,0.0317673,0.0146666,0.0220511,0.042876,0.0299138,0.0310922,0.0522022,0.0662002,0.0476613,0.0712657,0.0684243,0.0710782,0.0692261,0.0283006,0.0486856,0.0399829,0.0255607,0.04319,0,0.0096169,0.0616926,0.0238064,0,0,0.0195793,0,0,0.0378727,0.0453879,0.0196341,0.0147404,0.0130951,0.0375207,0.0132048,0.0354194,0.0162434,0.0477957,0.0537615,0.0686443,0.0153377,0.0183674,0.00974559,0.00736246,0.0284151,0.0191511,0,0,0,0,0,0
13,0,0,0,0,0.0472171,0.0532697,0,0,0,0.0345579,0,0.0194335,0.0570769,0,0,0.0323231,0,0,0.0603887,0.0268447,0.0313815,0.0148704,0.0200161,0.043406,0.0302944,0.0309723,0.0528323,0.0666585,0.0477189,0.0715932,0.0689918,0.0709372,0.0690252,0.0301272,0.0486459,0.0408108,0.0261337,0.0433757,0,0.00876448,0.0617,0.0233643,0,0,0.0196526,0,0,0.0378712,0.0453287,0.0215606,0.0150227,0.0129877,0.0374783,0.01304,0.0347094,0.0169361,0.048545,0.053758,0.0676347,0.0169188,0.018372,0.00975421,0.00726088,0.028574,0.0197602,0,0,0,0,0,0
14,0,0,0,0,0.0472195,0.0532308,0,0,0,0.0348507,0,0.0188438,0.0578295,0,0,0.0321815,0,0,0.0601718,0.0271907,0.0303528,0.0148559,0.0178058,0.0435187,0.0300994,0.0309534,0.0524213,0.0665594,0.0480595,0.0718116,0.0693564,0.0702067,0.0684389,0.0302138,0.0486014,0.0409352,0.0262791,0.0457525,0,0.0101028,0.0608999,0.0232468,0,0,0.0195796,0,0,0.0379418,0.0459778,0.0264355,0.0146332,0.0139962,0.0381094,0.0132606,0.0357376,0.01702,0.0501023,0.0554949,0.0637945,0.0178971,0.0184883,0.00984273,0.00723454,0.0288751,0.0198929,0,0,0,0.0449038,0,0
15,0,0,0,0,0.0464687,0.0529442,0,0,0,0.0350291,0,0.0190343,0.0578197,0,0,0.0325989,0,0,0.0604597,0.0273402,0.0295671,0.014687,0.0164396,0.0443256,0.0307896,0.0310756,0.0514225,0.065765,0.0479561,0.0719041,0.0693927,0.0694871,0.0677369,0.0296302,0.0483784,0.0421146,0.0273652,0.0448842,0,0.0101072,0.06023,0.0224643,0,0,0.0196043,0,0,0.0382519,0.046604,0.0273729,0.0149678,0.0138321,0.0384063,0.0130099,0.0353564,0.0170899,0.050442,0.055178,0.063593,0.0185347,0.0182407,0.00978647,0.0072712,0.0289202,0.0206778,0,0,0,0.0372833,0,0
16,0,0,0,0,0.0453192,0.052587,0,0,0,0.0346373,0,0.0195868,0.0573048,0,0,0.0334651,0,0,0.0610831,0.0272314,0.0295232,0.0143365,0.017295,0.0452542,0.0321758,0.0309885,0.0503063,0.0647313,0.0474212,0.0717673,0.0691206,0.0685957,0.0668121,0.0293809,0.0480504,0.0440166,0.0291807,0.0344595,0,0.0158588,0.0601654,0.0213608,0,0,0.0197892,0,0,0.0386242,0.0466338,0.019828,0.0155399,0.0127985,0.0383886,0.0122653,0.0336126,0.018504,0.0505497,0.0537363,0,0.0298394,0.0177442,0.00963728,0.00733399,0.0287831,0.0218705,0,0,0,0.0426101,0,0
17,0,0,0,0,0.0447312,0.0524552,0,0,0,0.0337948,0,0.0201166,0.0569458,0,0,0.0339788,0,0,0.0614323,0.0267407,0.0303934,0.0141737,0.0194766,0.0453437,0.0331573,0.0303114,0.0494436,0.0639861,0.0466735,0.0711852,0.0684751,0.0675558,0.0659114,0.0303779,0.0479432,0.0455253,0.0303632,0.0378372,0,0.0104719,0.0602639,0.0208748,0,0,0.0199407,0,0,0.0388008,0.0472794,0.0232819,0.0155276,0.013266,0.0387877,0.011729,0.0337821,0.0185213,0.051055,0.053772,0,0.0233811,0.0174551,0.00955526,0.00738697,0.0286511,0.0225205,0,0,0,0.0439565,0,0
18,0,0,0,0,0.0442596,0.0524564,0,0,0,0.0334169,0,0.0206682,0.0564643,0,0,0.0345819,0,0,0.0618608,0.0261186,0.0316193,0.0144316,0.0211066,0.0449493,0.0341432,0.0291154,0.048672,0.0633744,0.0456627,0.0705708,0.0679281,0.0669197,0.0655949,0.0319861,0.0478669,0.0467285,0.0312147,0.0355059,0,0.0110652,0.0604065,0.0204245,0,0,0.0199848,0,0,0.0388801,0.0474776,0.0249475,0.0150611,0.0144268,0.0391664,0.0112661,0.0338708,0.0192517,0.0519709,0.0544259,0,0.0239823,0.0172341,0.00940664,0.0075445,0.0284387,0.0231477,0,0,0,0.043587,0,0
19,0,0,0,0,0.0433617,0.0524249,0,0,0,0.0341975,0,0.0209479,0.0556248,0,0,0.0355719,0,0,0.0625895,0.0255957,0.0325545,0.0149022,0.021042,0.0447613,0.0355884,0.0278849,0.047794,0.0627413,0.0447245,0.0702468,0.0677684,0.0667749,0.0656077,0.032464,0.0478796,0.0482478,0.0324834,0.0318855,0,0.00917989,0.0608209,0.0195092,0,0,0.0202442,0,0,0.0390745,0.0476362,0.0214835,0.0151032,0.019134,0.0391509,0.0107129,0.0325601,0.0221364,0.0536685,0.0544995,0,0.0237722,0.0168092,0.00913527,0.00781962,0.0281579,0.0242554,0,0,0,0,0,0
20,0,0,0,0,0.0434771,0.0524655,0,0,0,0.0355577,0,0.0210264,0.0560519,0,0,0.0353927,0,0,0.0624935,0.0248978,0.032849,0.0151727,0.0196688,0.0438488,0.0354181,0.0270962,0.0470303,0.0625179,0.0445613,0.0697285,0.0674297,0.0665008,0.0653836,0.0314106,0.0479231,0.047872,0.0321532,0.032997,0,0.00964443,0.0602855,0.0197339,0,0,0.0203981,0,0,0.0390538,0.0484369,0.028798,0.0141833,0.0169623,0.0401224,0.0109367,0.0350875,0.0207328,0.0540186,0.0565739,0.0618485,0.0237406,0.0166762,0.008989,0.00799477,0.0280384,0.0240862,0,0,0,0,0,0
