Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_B
170,0,0,0,0,0.0436753,0.0485025,0,0,0.0405924,0,0.0231849,0.0553411,0,0,0.0325968,0,0,0.0584003,0.0248608,0.0362793,0.00993707,0.0121162,0.0418374,0.0682376,0.0290465,0.0523197,0.0667677,0.0468428,0.0646052,0.0623227,0.061681,0.0615974,0.0258038,0.0294925,0.01504,0.0168557,0.0286275,0,0.0376528,0.0620133,0,0,0,0.0211325,0,0,0.0411539,0.0478616,0.0300327,0.0169424,0.0173489,0.0356611,0.0154209,0.0387965,0.0203788,0.0555058,0.0591098,0,0,0.0412924,0.0625911,0.0404561,0.0148387,0.00858365,0.0109462,0.0286442,0.0214735,0,0,0,0
171,0,0,0,0,0.044019,0.0484714,0,0,0.0396178,0,0.0232809,0.0554645,0,0,0.032099,0,0,0.0582371,0.0246757,0.0367591,0.00952281,0.0123999,0.0416492,0.0674509,0.0288222,0.0515165,0.0664916,0.0470542,0.0646563,0.0623479,0.0618085,0.0616616,0.0269743,0.0298551,0.0149241,0.0166105,0.0279593,0,0.0367987,0.0618488,0,0,0,0.0211112,0,0,0.041048,0.0482454,0.0291414,0.0155939,0,0.0366723,0.0155099,0.0400928,0.0213116,0.0564061,0.0605246,0,0,0.0430438,0.0639955,0.0416658,0.014838,0.0084881,0.0110257,0.0281163,0.0208958,0,0,0,0
172,0,0,0,0,0.0432678,0.048417,0,0,0.0385665,0,0.0232553,0.055048,0,0,0.0326842,0,0,0.0584908,0.0241068,0.0372792,0.00951174,0.0133206,0.0419449,0.0684858,0.0281891,0.0507741,0.0658038,0.0466665,0.0649817,0.0626408,0.062301,0.0620624,0.0286618,0.029549,0.0149697,0.0167205,0.02959,0,0.0377156,0.0619788,0,0,0,0.021379,0,0,0.04119,0.0478553,0.0291973,0.016064,0.0163034,0.0366173,0.0153586,0.0397652,0.0207363,0.0561098,0.0603553,0,0,0.0424672,0.0635118,0.0377273,0.0143751,0.00843374,0.0113812,0.0277202,0.0213695,0,0,0,0
173,0,0,0,0,0.0429468,0.0488194,0,0,0.037888,0,0.0230693,0.0550535,0,0,0.0326269,0,0,0.0584867,0.0237974,0.0374089,0.00941114,0.0144242,0.041679,0.0685595,0.0278105,0.0503211,0.0653437,0.0464215,0.0652755,0.0628979,0.0627668,0.0623966,0.0298009,0.0296005,0.0149449,0.0166466,0.0309299,0,0.0387616,0.061926,0,0,0,0.0230706,0,0,0.0396806,0.0478622,0.028738,0.0154947,0.0163153,0.0369324,0.0170713,0.0395927,0.0205735,0.055857,0.0604533,0,0,0.0421284,0.0637473,0.0341375,0.0143567,0.00824882,0.00932143,0.0275567,0.0211107,0,0,0,0
174,0,0,0,0,0.0430419,0.0485998,0,0,0.037708,0,0.0227274,0.0551784,0,0,0.0328209,0,0,0.0582724,0.0236479,0.0370291,0.00925845,0.0155262,0.0416301,0.0687107,0.0274826,0.0499959,0.065053,0.0464567,0.0656317,0.0632552,0.0632187,0.0626613,0.0301244,0.0295039,0.0148319,0.0164711,0.0302255,0,0.0343694,0.0616399,0,0,0,0.0220802,0,0,0.0401565,0.0475457,0.0220619,0.0147,0.0176021,0.036944,0.0159427,0.0380301,0.0215596,0.056373,0.0595556,0,0,0,0.0691631,0.0321836,0.0143627,0.0083948,0.0100331,0.027088,0.0214548,0,0,0,0
175,0,0,0,0,0.0435884,0.0493077,0,0,0.0376975,0,0.0224241,0.0552503,0,0,0.0319585,0,0,0.0578337,0.0235819,0.0364486,0.00898393,0.0162422,0.0415401,0.0680455,0.0272587,0.0497751,0.0649721,0.0465133,0.0659592,0.0635698,0.063427,0.0628033,0.0300277,0.029922,0.0147577,0.0162683,0.0314607,0,0.0345306,0.0614655,0.0202975,0,0,0.0227816,0,0,0.0407793,0.0473903,0.0218804,0.0145418,0.0163608,0.0368223,0.0151749,0.0380054,0.0209259,0.0556703,0.0590612,0,0,0,0.0691823,0.0301605,0.0139998,0.00844617,0.0105058,0.0274155,0.0226809,0,0,0,0
176,0,0,0,0,0.0435333,0.0485728,0,0,0.0375253,0,0.0220962,0.0558763,0,0,0.0323227,0,0,0.0581675,0.0234618,0.0356967,0.00851975,0.0163256,0.040958,0.0678561,0.0271954,0.0495878,0.0651274,0.0467769,0.066082,0.0636306,0.0633219,0.0627786,0.0296741,0.029677,0.0147895,0.0164278,0.0319698,0,0.0343603,0.0608862,0,0,0,0.0218499,0,0,0.0400662,0.0475126,0.0220908,0.0137863,0.0160174,0.0370906,0.0152487,0.038152,0.0207893,0.0556327,0.0591814,0,0,0,0.0690156,0.0294359,0.0150274,0.00833047,0.00990868,0.0269387,0.0213016,0,0,0,0
177,0,0,0,0,0.0437999,0.048616,0,0,0.0373607,0,0.0220376,0.0564264,0,0,0.0321002,0,0,0.0581581,0.0233672,0.0348731,0.00813756,0.0160619,0.0406015,0.0673773,0.0270702,0.0493196,0.0652005,0.0471431,0.0661404,0.0636599,0.0631663,0.0627128,0.0291283,0.029711,0.0146622,0.0164283,0.0313275,0,0.0339112,0.0603097,0,0,0,0.0215676,0,0,0.0398866,0.047347,0.0223522,0.0133324,0.0154154,0.0370612,0.0150681,0.03777,0.0204068,0.0552401,0.0587681,0,0,0,0.0687826,0.0305606,0.0153284,0.00817106,0.00985319,0.0270846,0.0213387,0,0,0,0
178,0,0,0,0,0.0436924,0.0486846,0,0,0.036874,0,0.0219439,0.0572719,0,0,0.032325,0,0,0.0581941,0.022959,0.0341036,0.00785767,0.0159625,0.0403832,0.0673753,0.0268289,0.0490998,0.0653178,0.0475897,0.0660727,0.0635655,0.0630162,0.0625492,0.0288982,0.0294964,0.0147649,0.0165393,0.032276,0,0.0333928,0.0593737,0,0,0,0.0214699,0,0,0.0398797,0.0465116,0.0232026,0.0136474,0.0150092,0.0369927,0.0148465,0.035949,0.0209768,0.0563122,0.0584164,0,0,0,0.0680911,0.0283419,0.015283,0.00797545,0.00995085,0.0273467,0.0219332,0,0,0,0
179,0,0,0,0,0.0440299,0.0487746,0,0,0.0366165,0,0.021843,0.0577456,0,0,0.0322351,0,0,0.0581295,0.0230566,0.0334615,0.00749644,0.0161034,0.0399512,0.0669386,0.0267434,0.0488399,0.065393,0.0479979,0.0660429,0.0634441,0.0628549,0.0623457,0.0286115,0.0295279,0.0148409,0.0165069,0.0314403,0,0.0333198,0.0589455,0,0,0,0.0213627,0,0,0.0396686,0.0461904,0.0237239,0.0131616,0.0147551,0.0373458,0.0147209,0.0353719,0.0207455,0.0557477,0.057673,0,0,0,0.0679518,0.0295996,0.015547,0.00793672,0.0097401,0.0276621,0.0220031,0,0,0,0
180,0,0,0,0,0.0441856,0.0490805,0,0,0.0364926,0,0.02168,0.0581096,0,0,0.0320502,0,0,0.0581548,0.0232484,0.0328697,0.0072913,0.0165557,0.039508,0.0665907,0.026658,0.0485964,0.0654219,0.0482974,0.0660174,0.063445,0.0627817,0.0622043,0.0284682,0.029608,0.0148443,0.0164398,0.0303733,0,0.0336951,0.0586377,0,0,0,0.0226499,0,0,0.0385049,0.0459245,0.024316,0.0126736,0.014445,0.0379033,0.0160393,0.034822,0.0204758,0.0550973,0.0568077,0,0,0,0.0680232,0.0312403,0.0160322,0.00787573,0.00803899,0.0281719,0.0213773,0,0,0,0
181,0,0,0,0,0.0449444,0.0488922,0,0,0.0366143,0,0.0215859,0.0582354,0,0,0.0318508,0,0,0.0579949,0.0237454,0.0323316,0.00716355,0.0168793,0.0391412,0.0659602,0.0267121,0.048439,0.0654607,0.04857,0.0661293,0.0634887,0.0627969,0.0621284,0.028086,0.029718,0.0147025,0.0162163,0.0283272,0,0.0345494,0.058684,0,0,0,0.021516,0,0,0.0389128,0.04587,0.0248035,0.0118218,0.0132806,0.0387316,0.0151919,0.0350248,0.019669,0.053678,0.0560111,0,0,0,0.0683009,0.0350472,0.0162872,0.00794277,0.00866188,0.0282236,0.0209112,0,0,0,0
182,0,0,0,0,0.0462183,0.0490957,0,0,0.0364047,0,0.021805,0.0582891,0,0,0.0310147,0,0,0.0575424,0.0240755,0.0320853,0.00708084,0.0167783,0.0381508,0.0642177,0.0271085,0.0486403,0.0657534,0.0488166,0.0660139,0.0634015,0.0627529,0.0621439,0.028163,0.0302478,0.0145011,0.0157417,0.030631,0,0.0436461,0.0590543,0,0,0,0.0212639,0,0,0.0385383,0.0461344,0.0386477,0.0110027,0.0147268,0.0400299,0.0155717,0.0392134,0.0175075,0.052368,0.058054,0.0582848,0.0331526,0,0.0581112,0.0379376,0.0168243,0.00797525,0.0081863,0.0284791,0.0198408,0,0,0,0
183,0,0,0,0,0.0456336,0.0492855,0,0,0.0369895,0,0.0215719,0.0586567,0,0,0.0315776,0,0,0.0577439,0.0243776,0.0312726,0.00720117,0.0170822,0.0384388,0.0649776,0.0268925,0.0483688,0.0656455,0.0491132,0.0663265,0.0636918,0.0629187,0.0623842,0.0271661,0.0298354,0.0145215,0.01588,0.0255999,0,0.0412462,0.0586073,0,0,0,0.0214517,0,0,0.0385001,0.0451907,0.0311618,0.0109269,0.0125002,0.0404005,0.0154537,0.0359156,0.0182291,0.0523604,0.055753,0,0.0391508,0,0.0639519,0.0394729,0.0166859,0.00794127,0.00819584,0.0287186,0.0207417,0,0,0,0
184,0,0,0,0,0.0465565,0.0494766,0,0,0.0373243,0,0.021673,0.0589274,0,0,0.0308561,0,0,0.0573998,0.0247813,0.0310365,0.00713683,0.016901,0.0376156,0.0635933,0.0272278,0.0484039,0.0658583,0.0494694,0.0662747,0.0635309,0.0628502,0.0623653,0.0265164,0.030328,0.0144605,0.0154788,0.0272225,0,0.0441228,0.058693,0,0,0,0.0213178,0,0,0.0381074,0.0453569,0.0384653,0.00999692,0.0142112,0.0416105,0.0158208,0.0381544,0.0174889,0.0521206,0.0570019,0.0569279,0.0336993,0,0.0593185,0.044276,0.0170488,0.00799365,0.00779034,0.0288242,0.0203334,0,0,0,0
185,0,0,0,0,0.0467357,0.049495,0,0,0.0379567,0,0.0217452,0.0593141,0,0,0.0308028,0,0,0.0573067,0.0251397,0.0308077,0.00709464,0.0168239,0.0374025,0.0632531,0.0272827,0.0481668,0.0658969,0.0498036,0.0663607,0.0632893,0.0627756,0.0623305,0.0254225,0.0303872,0.0144749,0.0153058,0.0258752,0,0.044389,0.0584492,0,0,0,0.0213735,0,0,0.0380499,0.0452049,0.0382968,0.00972283,0.0142215,0.0423793,0.0159696,0.0376877,0.0178174,0.0521321,0.0566097,0.0570104,0.0338639,0,0.0603221,0.0472426,0.017048,0.0080036,0.00767094,0.0288049,0.0201451,0,0,0,0
186,0,0,0,0,0.0469401,0.0495144,0,0,0.0384319,0,0.0219095,0.0598062,0,0,0.0307684,0,0,0.0571754,0.0254724,0.0303828,0.00698634,0.0167233,0.037208,0.0628651,0.0273927,0.0478247,0.0659802,0.0501112,0.0664533,0.0630191,0.0626171,0.0621841,0.0243865,0.0304178,0.0145567,0.0152269,0.0248892,0,0.0449554,0.0581354,0,0,0,0.0215866,0,0,0.0380902,0.0451052,0.0378034,0.00947516,0.0143449,0.0430666,0.0161504,0.0371675,0.0181639,0.0522591,0.0562767,0.0576925,0.0342559,0,0.0608349,0.050058,0.0169005,0.00807732,0.00755339,0.0287858,0.0201498,0,0,0,0
187,0,0,0,0,0.0471716,0.0494655,0,0,0.0388691,0,0.0220576,0.060226,0,0,0.0306873,0,0,0.0570006,0.0258115,0.029779,0.00703648,0.0167031,0.0370588,0.0625806,0.0275063,0.0474762,0.0661329,0.0504221,0.0663836,0.0627713,0.0624061,0.0619658,0.0233431,0.0305162,0.0146185,0.0151704,0.0242308,0,0.0448825,0.0578514,0,0,0,0.0218674,0,0,0.03813,0.0450353,0.0373547,0.00936791,0.0146125,0.0436064,0.0163094,0.0368237,0.0186347,0.052407,0.056012,0.0584008,0.0344848,0,0.0614452,0.052409,0.0168365,0.00812941,0.00742134,0.0286527,0.0194452,0,0,0,0
188,0,0,0,0,0.048666,0.0495785,0,0,0.0413278,0,0.024075,0.0617213,0,0,0.0298508,0,0,0.0565078,0.0259417,0.0310293,0.00907693,0.0182018,0.0375175,0.0617435,0.0303291,0.0515417,0,0.0531148,0.0631004,0.0594132,0.0592543,0.0589369,0.0205307,0.0312708,0.0145884,0.0145726,0.0259575,0,0.0463691,0.0571694,0,0,0,0.0215115,0,0,0.0373356,0.0467398,0.0415456,0.0109578,0.017334,0.0437092,0.0164478,0.0384482,0.0192036,0.0529833,0.0571983,0.055928,0.0312033,0.0347147,0.058784,0.0534215,0.0180245,0.00855785,0.00634935,0.0286592,0.0186414,0,0,0,0
189,0,0,0,0,0.0488281,0.0495454,0,0,0.0418257,0,0.0241787,0.0620904,0,0,0.0295047,0,0,0.056582,0.0261782,0.0307445,0.00923211,0.018317,0.0370095,0.0611634,0.0302872,0.0511619,0,0.0533274,0.0628712,0.0592744,0.0590727,0.0587903,0.019767,0.031389,0.0145581,0.0145651,0.0257459,0,0.0451347,0.0569256,0,0,0,0.021288,0,0,0.0376721,0.0467717,0.0412311,0.0108403,0.0177555,0.0442587,0.0161605,0.0382944,0.0197001,0.0532609,0.0571244,0.0565813,0.0315187,0.034714,0.0594522,0.0549438,0.0180702,0.00857925,0.00677181,0.0284979,0.018775,0,0,0,0
190,0,0,0,0,0.0478318,0.049502,0,0,0.0402796,0,0.0222841,0.0613266,0,0,0.0298254,0,0,0.0568316,0.026297,0.0286149,0.00705612,0.0170514,0.0357565,0.060777,0.0274034,0.0465575,0.0665953,0.0508149,0.0659251,0.0624314,0.0619922,0.0615789,0.0208599,0.030976,0.0145827,0.0147125,0.0254402,0,0.044144,0.0570451,0,0,0,0.0215322,0,0,0.0381926,0.0451303,0.0406415,0.00908886,0.0178553,0.0452625,0.0164198,0.0373452,0.0200443,0.0533608,0.0565645,0.0575467,0.0322212,0.0347929,0.0604988,0.0572788,0.0170377,0.00819076,0.00763844,0.0282592,0.0190714,0,0,0,0
191,0,0,0,0,0.0480491,0.0494349,0,0,0.0408215,0,0.0223137,0.0615766,0,0,0.0295951,0,0,0.0566753,0.0264872,0.0282428,0.0070454,0.0172218,0.0355748,0.0602436,0.0273487,0.0462755,0.0665738,0.0508515,0.0658974,0.0623373,0.0619198,0.0615141,0.0201618,0.0311418,0.0147128,0.0145422,0.0248746,0,0.042668,0.0569017,0,0,0,0.0216932,0,0,0.0380917,0.0452002,0.0393556,0.00902783,0.0182418,0.0454439,0.0165829,0.0372008,0.0205452,0.0536254,0.056568,0.0583098,0.0328309,0.0351798,0.0610699,0.0578116,0.0169719,0.00822608,0.00749416,0.0280495,0.0184753,0,0,0,0
