Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M
36,0,0,0,0,0.0537713,0.0472757,0,0,0.0374645,0,0.0249677,0.058208,0,0,0.0199234,0,0,0.0526659,0.0338956,0.0393408,0.00707401,0.0175403,0.0348276,0.0393993,0.0321127,0.0539573,0.0669908,0.0520746,0.0698119,0.0671447,0.0682402,0.0675182,0.0317039,0.0397257,0.0140592,0.0123026,0.0468109,0,0.0145572,0.0713425,0.0342742,0,0,0.0221968,0,0,0.0440563,0.0398873,0.0157805,0.0152641,0.0260009,0.0253321,0.0254682,0.0355202,0.0240617,0.0543729,0.0588613,0.0649792,0.0449046,0.0435494,0.0670769,0.0124441,0.0134977,0.00968601,0.0143689,0.0342312,0.00752996,0,0,0,0
37,0,0,0,0,0.0540853,0.0472364,0,0,0.0422391,0,0.0244744,0.0593954,0,0,0.0194922,0,0,0.0524927,0.0339744,0.0367566,0.00552401,0.0191984,0.0341743,0.0391097,0.0335362,0.0535206,0.0671413,0.0538238,0.070371,0.0674002,0.0685971,0.0679083,0.0235563,0.0401544,0.0141114,0.0121631,0.0482122,0,0.0142126,0.0703518,0.0345183,0,0,0.0220228,0,0,0.0440158,0.0407624,0.0158421,0.0149694,0.0252077,0.0253449,0.0254913,0.0358378,0.0234231,0.0537468,0.0587313,0.0655386,0.0450627,0.0435727,0.0672076,0.0133943,0.0136672,0.00963308,0.0143415,0.0341164,0.0075743,0,0,0,0
38,0,0,0,0,0.0543791,0.0472361,0,0,0.0455896,0,0.0249215,0.0608308,0,0,0.0190662,0,0,0.0523146,0.0336351,0.0345567,0.00374303,0.0225161,0.0335079,0.038742,0.0351407,0.0520847,0.0671505,0.0553892,0.0707189,0.0672399,0.0687798,0.0680524,0.0178047,0.0406303,0.0140537,0.0119995,0.0501839,0,0.0135461,0.0689208,0.0348256,0,0,0.0218971,0,0,0.0440354,0.0417951,0.0162746,0.0147622,0.024872,0.0254153,0.0255919,0.0362297,0.0227571,0.0528695,0.058465,0.06537,0.0454404,0.0435535,0.0670272,0.0149429,0.0138959,0.00965075,0.0143662,0.0340366,0.00757376,0,0,0,0
39,0,0,0,0,0.054517,0.0472184,0,0,0.0481213,0,0.0258443,0.0622294,0,0,0.0186738,0,0,0.0522122,0.0331288,0.0329514,0.00223484,0.0253052,0.0328813,0.0384141,0.0363176,0.0502567,0.0670157,0.0560444,0.0708869,0.0668068,0.0686395,0.0678307,0.0134996,0.0410434,0.0139694,0.0120075,0.0521975,0,0.0127008,0.0673404,0.0350959,0,0,0.0218706,0,0,0.0441362,0.0427987,0.0167686,0.0144655,0.0237497,0.0254392,0.0257742,0.036295,0.0224023,0.0523016,0.0582541,0.0658585,0.0457371,0.0433741,0.0667887,0.0165477,0.0140438,0.00976033,0.0144759,0.0340187,0.00747314,0,0,0,0
40,0,0,0,0,0.0545365,0.0471357,0,0,0.0500775,0,0.0250462,0.0631551,0,0,0.0182459,0,0,0.0520917,0.0325314,0.034657,0.00145973,0.0277583,0.0325299,0.0381952,0.0370797,0.0483168,0.0668881,0.0556864,0.0706998,0.0660734,0.0671967,0.0663433,0.0127325,0.041412,0.0140046,0.0119956,0.053526,0,0.0117994,0.0659431,0.0354031,0,0,0.0218188,0,0,0.0441931,0.0433899,0.0173312,0.0145279,0.0239804,0.0254752,0.0260034,0.0363171,0.0222104,0.0516696,0.0577829,0.0650562,0.0459979,0.043209,0.0665267,0.0175467,0.0140104,0.00981027,0.0146917,0.0340238,0.00735644,0,0,0,0
41,0,0,0,0,0.0540969,0.0475858,0,0,0.0491496,0,0.0234193,0.0641547,0,0,0.0174826,0,0,0.0531247,0.0324128,0.0351286,0.00142824,0.019829,0.0325374,0.0384108,0.0369298,0.0466437,0.0666414,0.0555246,0.0721282,0.068162,0.0688794,0.06799,0.0126817,0.0409475,0.0129643,0.0122369,0.0478744,0,0.0105001,0.0650997,0.0349147,0,0,0.0221829,0,0,0.0445182,0.0438004,0.0195042,0.0150004,0.0218715,0.024197,0.0258295,0.0370083,0.0197737,0.049826,0.0571134,0.0667473,0.046579,0.0441714,0.0676298,0.0121489,0.0134432,0.0096967,0.0153769,0.0347457,0.00712393,0,0,0,0
42,0,0,0,0,0.0540852,0.0475935,0,0,0.0500475,0,0.0232161,0.0649063,0,0,0.0171975,0,0,0.0531986,0.0322579,0.0353753,0.00236284,0.018512,0.032937,0.0384998,0.0372796,0.0461204,0.0669054,0.0556001,0.0722229,0.0681429,0.0685924,0.0678133,0.01117,0.0409916,0.0127339,0.0123651,0.0481506,0,0.0101411,0.0643653,0.0349137,0,0,0.021982,0,0,0.0445792,0.0439082,0.0202212,0.0149621,0.0200955,0.0238947,0.0257465,0.0365253,0.0199523,0.0499129,0.0566529,0.0683197,0.0465066,0.0438499,0.0670032,0.0123669,0.013516,0.0096429,0.0155561,0.0347881,0.00708264,0,0,0,0
43,0,0,0,0,0.0541903,0.0474143,0,0,0.0487197,0,0.0237635,0.0649556,0,0,0.0170555,0,0,0.053023,0.0323064,0.0327617,0.00251757,0.0229016,0.0336186,0.0387635,0.037896,0.0457829,0.0669558,0.0555062,0.0714879,0.0668593,0.0676675,0.0670267,0.0100589,0.0412435,0.0128654,0.0124818,0.0485977,0,0.00974804,0.0642075,0.0349665,0,0,0.0216888,0,0,0.0444734,0.0437103,0.021413,0.0152069,0.019476,0.0237871,0.0254391,0.0360021,0.0201003,0.0500285,0.0562746,0.0686731,0.0462819,0.0431886,0.06618,0.0124781,0.0136098,0.00959979,0.0155728,0.0345767,0.0072518,0,0,0,0
44,0,0,0,0,0.0544263,0.0467742,0,0,0.0497387,0,0.0259648,0.0645655,0,0,0.0175694,0,0,0.0522466,0.031937,0.0291648,0.00221561,0.0282549,0.0340205,0.0388904,0.0376115,0.0463295,0.0668444,0.0546962,0.0704609,0.0651066,0.0666479,0.0661544,0.00844901,0.0416562,0.0140145,0.0127674,0.0540511,0,0.0104458,0.0640388,0.0354487,0,0,0.0209814,0,0,0.0440204,0.0436919,0.0208889,0.0150273,0.0212847,0.0248208,0.0256262,0.0352934,0.0222605,0.0515917,0.0566129,0.0662719,0.0454496,0.0412018,0.0639603,0.0180287,0.0144379,0.00969558,0.0151057,0.0337895,0.00743428,0,0,0,0
45,0,0,0,0,0.0542408,0.0467363,0,0,0.0463411,0,0.0250799,0.0636478,0,0,0.017672,0,0,0.0524735,0.0317843,0.0287168,0.00274643,0.0276972,0.0342082,0.03954,0.0372698,0.046556,0.0665788,0.0538801,0.0699192,0.064884,0.0667781,0.0660996,0.0111087,0.0414872,0.0140272,0.013142,0.0532516,0,0.0105513,0.0647657,0.0352863,0,0,0.0207994,0,0,0.0437276,0.04363,0.0225798,0.0159615,0.0220998,0.024521,0.0252472,0.0353751,0.0221806,0.0514903,0.0566669,0.0647696,0.0450872,0.0401941,0.0630756,0.0176648,0.0146021,0.00953283,0.0148941,0.0335564,0.00765553,0,0,0,0
46,0,0,0,0,0.0540691,0.0467381,0,0,0.0447692,0,0.0238404,0.0625922,0,0,0.0178725,0,0,0.0526203,0.031274,0.0284763,0.00313478,0.024238,0.0340908,0.0401997,0.0362983,0.0474679,0.066343,0.0527534,0.0693345,0.0648379,0.0672263,0.0663411,0.0133641,0.0412652,0.0139621,0.0135275,0.0519891,0,0.0108731,0.0654793,0.0349442,0,0,0.0206324,0,0,0.0434203,0.0435603,0.0241238,0.0167781,0.0221469,0.0242162,0.0248923,0.0353406,0.0223282,0.0516511,0.0567745,0.0641221,0.044923,0.039414,0.0618609,0.0172457,0.0148177,0.00937728,0.0146466,0.0332809,0.00784003,0,0,0,0
47,0,0,0,0,0.0539134,0.0468782,0,0,0.04424,0,0.0223909,0.0613044,0,0,0.0183489,0,0,0.0526412,0.0304265,0.0286914,0.00310039,0.0198473,0.0339523,0.0408525,0.035053,0.0489537,0.0662802,0.0514598,0.0688078,0.06501,0.0677137,0.0667673,0.015401,0.0410054,0.0138669,0.0137237,0.0501914,0,0.0114022,0.0661496,0.0343648,0,0,0.0205185,0,0,0.0431787,0.0431504,0.0258171,0.0176995,0.0225039,0.0240328,0.0246922,0.0350477,0.0224891,0.0517123,0.0566119,0.0629823,0.0449483,0.0386674,0.0609534,0.0166306,0.015126,0.009336,0.0143836,0.033244,0.00789619,0,0,0,0
48,0,0,0,0,0.053791,0.0470954,0,0,0.0425507,0,0.0209191,0.0602208,0,0,0.0188873,0,0,0.0527272,0.0297513,0.0290626,0.0030469,0.0173126,0.0340332,0.0414929,0.0340045,0.0502343,0.0666212,0.0504591,0.0685629,0.0653692,0.0679368,0.0670616,0.0180099,0.0407263,0.0139678,0.0138056,0.0480276,0,0.0119759,0.0666144,0.033938,0,0,0.0204475,0,0,0.0430569,0.0428687,0.0276622,0.0184332,0.0226291,0.0237326,0.0246934,0.0347444,0.0224645,0.0518226,0.056386,0.0620485,0.0449199,0.037817,0.0604061,0.0165225,0.0153893,0.00939491,0.0142239,0.0334279,0.00782991,0,0,0,0
49,0,0,0,0,0.0535679,0.0472845,0,0,0.0409188,0,0.0192794,0.0594239,0,0,0.0194583,0,0,0.0527848,0.0296134,0.0293345,0.00296781,0.0158032,0.0345483,0.041989,0.0331891,0.0512296,0.0672191,0.0500454,0.0687232,0.0661027,0.0676318,0.0668834,0.0206637,0.0404249,0.0139066,0.0139076,0.0456983,0,0.0124482,0.0667213,0.03349,0,0,0.0204357,0,0,0.0430736,0.0426763,0.0297252,0.0190127,0.022403,0.023439,0.0248846,0.0344407,0.0222097,0.0518427,0.0560312,0.0614607,0.0450506,0.0369728,0.0597423,0.0171259,0.0153676,0.00953139,0.0142054,0.0337206,0.00765761,0,0,0,0
50,0,0,0,0,0.0530907,0.0473786,0,0,0.0398847,0,0.0185983,0.0589872,0,0,0.0200341,0,0,0.0529501,0.0298144,0.0291446,0.00294019,0.0143274,0.035473,0.0424028,0.032877,0.0517521,0.0675325,0.0500972,0.0690774,0.0668032,0.0671747,0.0664309,0.022946,0.0400491,0.0138008,0.0141296,0.0433099,0,0.0130717,0.0663982,0.0329297,0,0,0.0204651,0,0,0.0432611,0.0428154,0.0318859,0.0194832,0.022098,0.0233573,0.025109,0.034158,0.0215721,0.0517614,0.0557075,0.0607605,0.045292,0.0360505,0.0589664,0.0183154,0.0151618,0.00964874,0.0144084,0.0340425,0.00738097,0,0,0,0
51,0,0,0,0,0.0524061,0.0473668,0,0,0.0392737,0,0.0190228,0.0587047,0,0,0.0206422,0,0,0.053185,0.0298012,0.0291519,0.00277512,0.0130205,0.0365,0.0428482,0.0329415,0.0518222,0.0672747,0.0501096,0.0692274,0.06705,0.0667499,0.0659211,0.0243341,0.0395448,0.0137178,0.0144132,0.0411591,0,0.0137553,0.0657986,0.0319784,0,0,0.0205776,0,0,0.043508,0.0433317,0.0340786,0.0198447,0.0216781,0.0236622,0.0252157,0.0338128,0.0208045,0.0517449,0.0554769,0.0600023,0.0455433,0.035061,0.0581077,0.0197891,0.0148582,0.00971649,0.0147233,0.0343099,0.00710592,0,0,0,0
52,0,0,0,0,0.0516586,0.0473163,0,0,0.0383063,0,0.020034,0.0583066,0,0,0.021391,0,0,0.0535038,0.0293703,0.0300479,0.00267887,0.0132866,0.037093,0.0433921,0.0328119,0.0514618,0.0667176,0.0497602,0.0688683,0.066734,0.0659441,0.0651178,0.0252335,0.0388906,0.0136484,0.0147212,0.0392579,0,0.0146085,0.0652685,0.0307879,0,0,0.0208719,0,0,0.0437272,0.0440075,0.0363309,0.0200725,0.0213071,0.0243846,0.0250893,0.0338973,0.020312,0.0519736,0.0554122,0.0591993,0.0457039,0.0340779,0.0571523,0.0218743,0.0144602,0.00972174,0.0150336,0.0344793,0.00704735,0,0,0,0
53,0,0,0,0,0.0509164,0.0473285,0,0,0.0373838,0,0.0212275,0.0576608,0,0,0.0223933,0,0,0.0539299,0.0287663,0.031593,0.00294108,0.0149475,0.0371333,0.0442363,0.0320247,0.0505319,0.0659971,0.048905,0.0680826,0.0660066,0.0649494,0.0642428,0.0262946,0.0380132,0.0135836,0.0150804,0.0372102,0,0.0158259,0.0650063,0.0298737,0,0,0.0213311,0,0,0.0439804,0.0445999,0.0387672,0.0201943,0.0210337,0.0252206,0.0248381,0.0338515,0.0200144,0.052354,0.0556101,0.0580831,0.0456453,0.0330325,0.0560667,0.0249398,0.0140445,0.00973849,0.0153563,0.0345167,0.007313,0,0,0,0
54,0,0,0,0,0.0502664,0.047376,0,0,0.0370278,0,0.0222601,0.0568064,0,0,0.0235253,0,0,0.0544227,0.0281256,0.0331095,0.00355886,0.0164371,0.0368424,0.0452797,0.0309814,0.0493083,0.0652231,0.0478261,0.0672211,0.065183,0.0642585,0.063717,0.0274474,0.0370508,0.013521,0.0154721,0.0348747,0,0.0176776,0.0650114,0.0295308,0,0,0.0217717,0,0,0.044195,0.0451206,0.0412681,0.0204923,0.0203036,0.0259177,0.0246725,0.0344652,0.0196722,0.0526251,0.0560112,0.0562258,0.0452428,0.0317811,0.054799,0.0286138,0.0136742,0.00986496,0.0156607,0.0343716,0.00789379,0,0,0,0
55,0,0,0,0,0.0497594,0.0475431,0,0,0.0375025,0,0.0227975,0.0560777,0,0,0.0245526,0,0,0.0547785,0.0275639,0.0339344,0.00413907,0.0166689,0.0364931,0.0462208,0.0301095,0.0483389,0.0645849,0.0469844,0.066611,0.0646147,0.0639083,0.0635146,0.0277167,0.0361903,0.0135122,0.0157533,0.0326033,0,0.0196125,0.0650203,0.0294721,0,0,0.0221056,0,0,0.0443932,0.0457326,0.043093,0.0207136,0.0197787,0.0264541,0.0245592,0.0349809,0.0196928,0.0528756,0.0565097,0.0545387,0.0448181,0.0307742,0.0537274,0.033091,0.0133091,0.0100118,0.0160185,0.0342413,0.0085486,0,0,0,0
56,0,0,0,0,0.0489465,0.047566,0,0,0.0439332,0,0.0236369,0.0552865,0,0,0.0254229,0,0,0.0552518,0.0275796,0.0352363,0.00533831,0.0189831,0.0357889,0.0468522,0.0281817,0.0501067,0.0644788,0.0456043,0.0656298,0.0638993,0.0628072,0.0630148,0.0214254,0.0353175,0.0134216,0.0162177,0.0310658,0,0.0211587,0.0649683,0.0291976,0,0,0.0226865,0,0,0.0450549,0.0456794,0.0442584,0.01984,0.0193183,0.0271559,0.0250494,0.0353324,0.0201941,0.0530231,0.056822,0.0535195,0.0446047,0.0300788,0.0532038,0.0394332,0.0127751,0.0104529,0.0169668,0.0342271,0.00907453,0,0,0,0
57,0,0,0,0,0.0487095,0.0474869,0,0,0.0457083,0,0.0233211,0.0551485,0,0,0.0260658,0,0,0.0553408,0.0274518,0.0350085,0.00533161,0.0182138,0.0358777,0.0472164,0.0278006,0.0500076,0.0643197,0.0454704,0.0655276,0.0638006,0.0626707,0.0628856,0.0198148,0.0349169,0.0134151,0.0162948,0.030747,0,0.0218862,0.0646961,0.0289978,0,0,0.0229467,0,0,0.0453631,0.0459728,0.0454055,0.0195752,0.0187489,0.0276364,0.0254959,0.0356446,0.0203217,0.0535969,0.0570537,0.0530596,0.0445315,0.0292716,0.0531082,0.0459707,0.0124561,0.0106795,0.0173828,0.0342363,0.00942249,0,0,0,0
58,0,0,0,0,0.0484527,0.0474197,0,0,0.0471608,0,0.0229695,0.055134,0,0,0.0266316,0,0,0.0552686,0.0271853,0.0344617,0.00503573,0.0167567,0.0361904,0.047436,0.0277222,0.0502931,0.0645457,0.0456314,0.0654647,0.0637051,0.0624514,0.0626712,0.0180867,0.0346948,0.0133951,0.0161992,0.0308694,0,0.021899,0.0643624,0.0287544,0,0,0.0233394,0,0,0.045644,0.0460615,0.0463806,0.0193896,0.0182644,0.0279917,0.026274,0.0362731,0.0202542,0.0540532,0.0572852,0.0529724,0.0447299,0.0288109,0.0533239,0.0506091,0.0119827,0.0108301,0.0177714,0.0343153,0.00943515,0,0,0,0
59,0,0,0,0,0.0481009,0.0473925,0,0,0.0485054,0,0.0227221,0.0548764,0,0,0.0268768,0,0,0.055241,0.0271891,0.0339811,0.00484081,0.0151879,0.0366265,0.0474262,0.0277886,0.0507374,0.0648336,0.0458317,0.0654666,0.0637149,0.0621962,0.0624126,0.0167075,0.0345654,0.0133324,0.016177,0.0298577,0,0.0233166,0.0643376,0.0285359,0,0,0.0238595,0,0,0.0459978,0.0456984,0.0473075,0.0194521,0.0186415,0.0281887,0.0270373,0.0371714,0.0194053,0.0535582,0.0574601,0.0525783,0.0445781,0.0291197,0.0533204,0.0515012,0.0115767,0.0109903,0.0181524,0.0343629,0.00916566,0,0,0,0
60,0,0,0,0,0.0477911,0.0473305,0,0,0.0495485,0,0.0224444,0.0546399,0,0,0.0269001,0,0,0.0551952,0.0273243,0.033927,0.00469558,0.0140636,0.0370273,0.0471985,0.0278635,0.0508919,0.0649103,0.0460297,0.0655518,0.0638349,0.0620851,0.0622731,0.0158038,0.0345911,0.0132778,0.0161238,0.0290602,0,0.0241802,0.0643958,0.0283697,0,0,0.0243618,0,0,0.0463379,0.0452271,0.0473627,0.0194907,0.0193592,0.0282937,0.0277262,0.037964,0.0188451,0.0530331,0.0576452,0.0521942,0.0444175,0.0295166,0.0534075,0.0493349,0.0112943,0.011101,0.018412,0.0343146,0.00877919,0,0,0,0
61,0,0,0,0,0.0476072,0.0472436,0,0,0.0502698,0,0.0224357,0.0545478,0,0,0.0267291,0,0,0.0551358,0.0274555,0.0340887,0.00455005,0.0136007,0.0372396,0.0469258,0.0278397,0.0505594,0.0647168,0.0462349,0.0656594,0.063934,0.0621814,0.0623458,0.0153778,0.0347576,0.0132312,0.0160832,0.0290691,0,0.0243659,0.0644188,0.028307,0,0,0.0247398,0,0,0.0465607,0.0448606,0.046659,0.0193503,0.0199077,0.0283793,0.0282124,0.0385012,0.0187324,0.0526361,0.0578566,0.0522705,0.0437793,0.0294019,0.0537926,0.0462217,0.0111088,0.0111609,0.0185319,0.034199,0.00830701,0,0,0,0
62,0,0,0,0,0.0475483,0.0472135,0,0,0.0507703,0,0.0226238,0.0545245,0,0,0.0264775,0,0,0.0551148,0.0274415,0.0338501,0.00443945,0.0136411,0.0372561,0.0466556,0.027766,0.0499354,0.0644033,0.0464122,0.0657092,0.0639447,0.0623917,0.0625407,0.0152036,0.0349,0.0131659,0.0161012,0.0294181,0,0.0241535,0.0644095,0.0283278,0,0,0.0249274,0,0,0.0466617,0.0446433,0.0458941,0.0191452,0.0203944,0.0284108,0.0284468,0.0389204,0.0187541,0.0523198,0.0580127,0.0527963,0.042715,0.029208,0.0541709,0.0438378,0.0109925,0.0111673,0.018563,0.0341207,0.00786394,0,0,0,0
63,0,0,0,0,0.0476167,0.0471402,0,0,0.0511342,0,0.0226001,0.0545258,0,0,0.0262946,0,0,0.0551731,0.0272559,0.0336422,0.00436633,0.0138678,0.0370887,0.046469,0.0275965,0.0494414,0.0641986,0.0465338,0.0657571,0.0639388,0.0626145,0.0627838,0.0149847,0.0349402,0.0131083,0.0161746,0.0293196,0,0.0245615,0.0643741,0.0283889,0,0,0.0249534,0,0,0.0466626,0.0444726,0.0454252,0.0190041,0.0203462,0.0283829,0.028564,0.0391013,0.0180662,0.0520288,0.0580405,0.0531616,0.0413589,0.0291508,0.0543007,0.0427018,0.0109406,0.0111226,0.0185378,0.0340378,0.00761175,0,0,0,0
64,0,0,0,0,0.047776,0.0470715,0,0,0.0515754,0,0.0223592,0.0546531,0,0,0.026289,0,0,0.0552994,0.0269784,0.0333831,0.00425945,0.0139957,0.0367698,0.046286,0.027513,0.0491644,0.0641244,0.0466577,0.0658197,0.0639675,0.0628169,0.0629673,0.0146182,0.034852,0.0131011,0.0162483,0.0284979,0,0.0252973,0.0641838,0.0285009,0,0,0.0249105,0,0,0.0466161,0.0443446,0.0453871,0.0188188,0.0200248,0.0283142,0.0285247,0.0391831,0.0174586,0.0516491,0.0578803,0.052989,0.0396735,0.0290751,0.0542145,0.0428477,0.0108976,0.0110986,0.0185054,0.0338922,0.00754826,0,0,0,0
65,0,0,0,0,0.0480022,0.0470629,0,0,0.052103,0,0.0222378,0.0549853,0,0,0.0263548,0,0,0.0554084,0.0267191,0.0329738,0.00405888,0.0138849,0.0363527,0.0461429,0.0275256,0.0490569,0.0641399,0.0468879,0.0659016,0.0639863,0.0629418,0.0630706,0.0141996,0.0346998,0.013161,0.0162717,0.0273596,0,0.0260212,0.0638065,0.0287128,0,0,0.0248565,0,0,0.046552,0.0441481,0.0456555,0.0185066,0.0192401,0.0282927,0.028316,0.0389564,0.0168268,0.0511777,0.0573578,0.0524037,0.037784,0.0290246,0.0541128,0.0440169,0.0108564,0.0110969,0.0184553,0.0337576,0.00759574,0,0,0,0
66,0,0,0,0,0.0483,0.0470846,0,0,0.0527411,0,0.0221127,0.0555164,0,0,0.0265269,0,0,0.0555017,0.0265478,0.0324548,0.00371924,0.0136009,0.0359097,0.046109,0.0275351,0.0489036,0.0641989,0.0472014,0.0659549,0.0639607,0.0629936,0.0630873,0.0137919,0.0344954,0.0132502,0.0163774,0.0262403,0,0.0266685,0.0632649,0.0289481,0,0,0.0247778,0,0,0.0464793,0.0439036,0.0460812,0.0180411,0.0180429,0.0284669,0.0280401,0.0384564,0.016385,0.0506901,0.0564584,0.0514306,0.0356608,0.0289324,0.0541819,0.045879,0.0108445,0.0110998,0.01837,0.0336778,0.00775096,0,0,0,0
67,0,0,0,0,0.0486808,0.0471046,0,0,0.053404,0,0.0219534,0.056103,0,0,0.0266467,0,0,0.0555598,0.0264127,0.031995,0.00335318,0.0132932,0.0354686,0.0462536,0.0274952,0.0486417,0.0642056,0.0475383,0.0659641,0.0638877,0.0629819,0.0630748,0.013518,0.0342911,0.0132489,0.0165046,0.0250282,0,0.0271035,0.062696,0.0292316,0,0,0.0246643,0,0,0.0463895,0.0436814,0.0463311,0.0174982,0.0176205,0.0288643,0.0278016,0.0377612,0.0161012,0.0501609,0.0555518,0.0507541,0.0335804,0.0291589,0.0545659,0.0482906,0.0107788,0.0110826,0.0182651,0.0336599,0.00794547,0,0,0,0
68,0,0,0,0,0.0491032,0.0471205,0,0,0.0539866,0,0.0217984,0.0567434,0,0,0.0266592,0,0,0.0555087,0.0263231,0.0316046,0.00298323,0.0130733,0.0350223,0.0463155,0.0274103,0.0482644,0.0641936,0.0479275,0.0659394,0.0637599,0.0629155,0.0630621,0.0134243,0.0341811,0.0132384,0.0164384,0.0240952,0,0.0272135,0.0621452,0.0295445,0,0,0.0245171,0,0,0.0463152,0.0434739,0.0466498,0.0168998,0.0180615,0.0294215,0.0275806,0.0370243,0.0160068,0.0496806,0.054793,0.0513126,0.031793,0.0300388,0.0551156,0.0511822,0.0107806,0.0110632,0.0181394,0.0336834,0.00805723,0,0,0,0
69,0,0,0,0,0.0495275,0.047152,0,0,0.0543581,0,0.0217241,0.0573678,0,0,0.0266397,0,0,0.0554068,0.0262577,0.0310339,0.00258496,0.0129398,0.0345555,0.046282,0.0273363,0.0478756,0.0642399,0.0483428,0.0658509,0.0635581,0.062822,0.0629736,0.0134522,0.034198,0.0133478,0.0162296,0.0236411,0,0.0271701,0.0616684,0.0299086,0,0,0.0243168,0,0,0.0463177,0.0431774,0.0471672,0.0163779,0.0184995,0.0300679,0.0273991,0.036245,0.0162431,0.0494243,0.0541447,0.0528103,0.0305759,0.0313274,0.0556135,0.0542734,0.0108585,0.011022,0.0180508,0.0337494,0.00807055,0,0,0,0
70,0,0,0,0,0.0499061,0.04718,0,0,0.0545141,0,0.0216925,0.0578604,0,0,0.0265363,0,0,0.0553206,0.0263092,0.0305926,0.00227001,0.0128433,0.0340946,0.0462316,0.0274385,0.0475567,0.0643215,0.0486912,0.0657788,0.063403,0.0627415,0.0628945,0.0135695,0.0343201,0.0133194,0.0160652,0.0233997,0,0.0270848,0.0613547,0.0303353,0,0,0.0241431,0,0,0.0462958,0.0428131,0.0478623,0.0159266,0.0188867,0.0307954,0.0273122,0.0355176,0.0166576,0.0493285,0.0534834,0.0541436,0.0303531,0.0322211,0.0561662,0.0570675,0.0108827,0.0109706,0.0179888,0.0338331,0.00802915,0,0,0,0
71,0,0,0,0,0.0502,0.0472263,0,0,0.0545476,0,0.0216463,0.0582541,0,0,0.0264342,0,0,0.0552485,0.0265148,0.0300199,0.00210152,0.0127623,0.0337223,0.0462573,0.0276184,0.0473086,0.0644437,0.0490302,0.0657554,0.0633342,0.0626877,0.0628106,0.0137455,0.0344702,0.0133055,0.015916,0.0234304,0,0.0268826,0.0611599,0.0306865,0,0,0.0240142,0,0,0.0462793,0.0426263,0.0482705,0.0154538,0.0192517,0.0315302,0.0272497,0.0349456,0.0170121,0.0493253,0.0530206,0.0549022,0.0304173,0.0330358,0.0569894,0.0595119,0.0109565,0.0109199,0.0179363,0.03392,0.00796268,0,0,0,0
72,0,0,0,0,0.0504524,0.0472241,0,0,0.0543217,0,0.0215064,0.0585936,0,0,0.0263505,0,0,0.0551948,0.0267961,0.029719,0.00210314,0.0127551,0.0334329,0.0463102,0.0277417,0.047096,0.064569,0.0493652,0.0658175,0.0633441,0.0626462,0.0627796,0.014039,0.0346156,0.0133148,0.0157272,0.0236775,0,0.0264779,0.0610105,0.0309142,0,0,0.0239133,0,0,0.0463043,0.0424606,0.0482314,0.015005,0.0197193,0.0322397,0.0272094,0.0345031,0.017327,0.0494206,0.0527938,0.0555915,0.030238,0.033861,0.0578693,0.0616368,0.0109972,0.0109047,0.0178838,0.0339777,0.00788412,0,0,0,0
73,0,0,0,0,0.0506809,0.0472336,0,0,0.053825,0,0.0212997,0.0588744,0,0,0.0262862,0,0,0.0551684,0.0269985,0.0301415,0.00237419,0.0129123,0.0331692,0.0463574,0.0278189,0.046797,0.0646321,0.0496476,0.0659533,0.0633765,0.0627064,0.0628461,0.0144989,0.034715,0.0133051,0.0155897,0.0240733,0,0.0259034,0.0609214,0.0311433,0,0,0.0238276,0,0,0.0463557,0.0422395,0.0476493,0.0145799,0.02016,0.0328751,0.0271749,0.0341299,0.0177174,0.0495375,0.0526587,0.0564765,0.0299276,0.0347522,0.0587659,0.0632298,0.0110261,0.0109108,0.0178848,0.0340399,0.00778993,0,0,0,0
74,0,0,0,0,0.0508054,0.0474548,0,0,0.0489195,0,0.0200385,0.0598512,0,0,0.0268694,0,0,0.0547644,0.0264406,0.030712,0.0035732,0.0118024,0.031571,0.0459106,0.0273246,0.044876,0.0638075,0.0497397,0.0668698,0.064182,0.063895,0.0640466,0.0142325,0.0347528,0.0134419,0.0150339,0.0225947,0,0.0278772,0.0601482,0.0320715,0,0,0.023432,0,0,0.0472299,0.042502,0.0476,0.0148643,0.023939,0.0341464,0.0273595,0.0335877,0.0202174,0.0517028,0.0531919,0.056959,0.0303605,0.0357159,0.060098,0.0567685,0.0109504,0.0106209,0.0177081,0.0344128,0.00662285,0,0,0,0
