Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M
12,0,0,0,0,0.0500213,0.0483777,0,0,0.0319545,0,0.0352341,0.0613335,0,0,0.0319503,0,0,0.0618813,0.0344441,0.0603257,0.0177879,0.00370964,0.0297823,0.0247792,0.0289568,0.0401193,0.0641314,0.0499028,0.053385,0.051019,0.0532291,0.0530566,0.0800949,0.0475117,0.0400247,0.0241091,0.0288415,0,0.0158367,0.0607485,0.0282849,0,0,0.0256658,0,0,0.0465886,0.0372238,0.0200825,0.0144069,0.0228609,0.0393913,0.0256412,0.0316455,0.0311559,0.0575888,0.0549903,0.0643283,0.0442773,0.0419499,0.0659985,0.0278406,0.00966136,0.0113063,0.017934,0.0338514,0.00954296,0,0,0,0
13,0,0,0,0,0.050234,0.0482969,0,0,0.0275731,0,0.0415282,0.059624,0,0,0.0322959,0,0,0.0627675,0.0351911,0.0644405,0.017563,0.0079554,0.0302388,0.0252337,0.0293703,0.0411633,0.0653329,0.0506096,0.0520518,0.0484141,0.0530656,0.0533209,0.070392,0.0480854,0.0383497,0.0233787,0.030135,0,0.015744,0.0626003,0.0279586,0,0,0.0257055,0,0,0.0459217,0.0364037,0.0194164,0.0147648,0.0231375,0.0382673,0.024923,0.0314365,0.031606,0.0579271,0.0550829,0.0646329,0.044635,0.0423151,0.066039,0.0252825,0.0095691,0.0113257,0.0178988,0.0338223,0.00995693,0,0,0,0
14,0,0,0,0,0.0502034,0.0484494,0,0,0.0318638,0,0.0361571,0.060355,0,0,0.0316192,0,0,0.0616849,0.0340593,0.0616804,0.0181123,0.00432835,0.0294465,0.0245018,0.0288705,0.0398415,0.06362,0.0495069,0.0528467,0.050201,0.0523606,0.0521396,0.0827893,0.0477553,0.0393467,0.0236475,0.0312129,0,0.0155047,0.0621344,0.0283577,0,0,0.025374,0,0,0.0463055,0.037423,0.0190425,0.0149934,0.0223323,0.038509,0.0254572,0.0324152,0.0305966,0.0575464,0.055801,0.0647881,0.0444852,0.0424618,0.065986,0.0234144,0.0100704,0.011122,0.0178494,0.0342871,0.00923006,0,0,0,0
15,0,0,0,0,0.0503736,0.0484352,0,0,0.0319189,0,0.0365944,0.0598944,0,0,0.0315799,0,0,0.0617672,0.0339233,0.0621504,0.0181695,0.00466479,0.0296912,0.0242386,0.0287265,0.0395315,0.063294,0.0492678,0.0525956,0.0498531,0.051826,0.0516239,0.0836289,0.0477373,0.0389476,0.0235997,0.032267,0,0.0153261,0.0628009,0.0286645,0,0,0.0252958,0,0,0.0463123,0.0374337,0.0186468,0.0153607,0.0219198,0.0379654,0.0255592,0.0328913,0.0302668,0.0574411,0.0563426,0.0648518,0.0444557,0.0431484,0.0659322,0.0212728,0.0102625,0.0110847,0.0179814,0.0345053,0.00900342,0,0,0,0
16,0,0,0,0,0.0493956,0.0478189,0,0,0.026831,0,0.0428408,0.0574574,0,0,0.0236842,0,0,0.0556649,0.0352543,0.0657623,0.0176553,0.00970251,0.0307902,0.0460699,0.0288508,0.0403627,0.0641853,0.0496771,0.0514764,0.0476496,0.0517015,0.0519276,0.0719471,0.0358038,0.0126859,0.0165508,0.0327351,0,0.0147247,0.0655465,0.0291842,0,0,0.0255519,0,0,0.045863,0.0352199,0.0178682,0.0149212,0.0209172,0.0337387,0.0255521,0.0320391,0.0298437,0.0564114,0.0554065,0.0661696,0.045893,0.0446856,0.0670323,0.0200769,0.0102324,0.0112709,0.0185163,0.0352583,0.00870984,0,0,0,0
17,0,0,0,0,0.049608,0.0479178,0,0,0.0267049,0,0.0429882,0.0570829,0,0,0.0236782,0,0,0.0554109,0.0350677,0.0658913,0.0173712,0.0103212,0.0315318,0.0455441,0.0287124,0.0402909,0.063898,0.0494109,0.0515093,0.04767,0.0516449,0.0518947,0.072093,0.0359367,0.0127043,0.0161588,0.0333529,0,0.0146441,0.0661852,0.0294037,0,0,0.025685,0,0,0.0459083,0.0351345,0.01753,0.0150615,0.0206812,0.0331784,0.0259248,0.0322614,0.0293025,0.0563927,0.0558251,0.0663119,0.046041,0.0448477,0.0670469,0.0189809,0.0103502,0.0113334,0.0186025,0.0355673,0.00830627,0,0,0,0
18,0,0,0,0,0.0498174,0.0480406,0,0,0.0265826,0,0.0428963,0.0568604,0,0,0.0235798,0,0,0.0552484,0.0348667,0.0658339,0.016958,0.0109476,0.0323827,0.0449138,0.0285483,0.0403253,0.0636344,0.0490917,0.0517501,0.0478473,0.0518772,0.0521722,0.0718254,0.0360724,0.0127413,0.0158536,0.0338154,0,0.0145241,0.0666275,0.0298303,0,0,0.025799,0,0,0.0460005,0.035231,0.0173835,0.0151363,0.0205939,0.0326784,0.0263034,0.0325633,0.0291227,0.056587,0.0562033,0.0665784,0.0461528,0.0446783,0.0670181,0.0183132,0.0104648,0.0113767,0.0186485,0.0358463,0.00794276,0,0,0,0
19,0,0,0,0,0.0506542,0.0481325,0,0,0.0257095,0,0.0423508,0.0571323,0,0,0.023074,0,0,0.0548801,0.0349459,0.0661254,0.0144496,0.00571747,0.0337787,0.0445435,0.0299091,0.0391038,0.0630863,0.0495901,0.052974,0.0494772,0.0531057,0.0531878,0.0732859,0.0365586,0.0126658,0.0153615,0.0346297,0,0.0142691,0.0666585,0.0303782,0,0,0.0256088,0,0,0.0454644,0.0358931,0.0174427,0.0148673,0.0204876,0.0318737,0.0260529,0.0328669,0.0291065,0.0567776,0.0563992,0.0665033,0.0462468,0.0439118,0.0668078,0.0173334,0.0106987,0.0112435,0.0182195,0.0359986,0.00783584,0,0,0,0
20,0,0,0,0,0.0506107,0.0481525,0,0,0.0258611,0,0.0419002,0.0568383,0,0,0.0229465,0,0,0.0550364,0.0344049,0.064712,0.0145483,0.00996292,0.0343233,0.0439284,0.0290929,0.0407412,0.0636017,0.0489875,0.0533585,0.0493994,0.053567,0.053783,0.0711902,0.0364412,0.0129049,0.0153172,0.0345086,0,0.0142737,0.0672351,0.0304225,0,0,0.0256181,0,0,0.0457171,0.0361589,0.017222,0.0148672,0.0206887,0.0316742,0.0263926,0.0331797,0.0290986,0.0566198,0.0568373,0.0660112,0.0463053,0.0433808,0.066814,0.0172194,0.0108306,0.0112781,0.0184552,0.0362041,0.00739544,0,0,0,0
21,0,0,0,0,0.0502874,0.0481466,0,0,0.0267837,0,0.0421235,0.056329,0,0,0.0230327,0,0,0.0550749,0.0342073,0.064384,0.0156756,0.0129444,0.0346416,0.0434925,0.0282027,0.0412733,0.0632502,0.0481137,0.0531934,0.0491615,0.0538133,0.0542837,0.0698368,0.0363621,0.0129327,0.015203,0.0342273,0,0.0145232,0.0678764,0.0300819,0,0,0.0259696,0,0,0.0460522,0.0360526,0.0169311,0.0149395,0.0210609,0.0317325,0.0270614,0.0333237,0.0292114,0.0565711,0.057222,0.0656411,0.0464945,0.0434454,0.0669441,0.0171013,0.010854,0.0114412,0.0189765,0.0363277,0.00706689,0,0,0,0
