Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,IMU_B
29,0,0,0,0,0.0532744,0.0521026,0,0,0.0501327,0,0.0234569,0.063286,0,0,0.0199507,0,0,0.0530697,0.0324127,0.0222713,0.00834733,0.0239852,0.0318952,0.0504414,0.0245573,0.0392616,0.0629623,0.0503328,0.0659237,0.0615691,0.0611343,0.060742,0.0124926,0.039309,0.0143612,0.0132306,0.0454272,0,0.0153405,0.0578371,0.029768,0,0,0.0183423,0,0,0.0385667,0.0468934,0.0291864,0.010619,0.0221796,0.0424324,0.0173851,0.0325577,0.0343802,0.056137,0.0555691,0.0665618,0.0433982,0.0658515,0.0136529,0.0190851,0.0101846,0.00726884,0.0321082,0.0180556,0,0,0,0.0412674,0
30,0,0,0,0,0.0534772,0.0520827,0,0,0.0505023,0,0.0235338,0.0628943,0,0,0.0195229,0,0,0.0529152,0.0330424,0.0223196,0.00780682,0.0237106,0.0315981,0.0504697,0.0245716,0.0390696,0.0627557,0.0503836,0.0659938,0.0616447,0.0610556,0.0607143,0.0125082,0.0395476,0.0144449,0.0131069,0.0493854,0,0.0155227,0.0587535,0.0300671,0,0,0.0182717,0,0,0.0383558,0.0469619,0.0275389,0.0100692,0.0207685,0.0422497,0.0173664,0.0332029,0.0344375,0.0560267,0.0559093,0.0673044,0.0441172,0.0664065,0.0106924,0.0192191,0.0100028,0.00743227,0.0321825,0.0179689,0,0,0,0.0419889,0
31,0,0,0,0,0.0537445,0.0520521,0,0,0.0510146,0,0.0236293,0.0623502,0,0,0.0191605,0,0,0.052743,0.0336971,0.0223525,0.00730421,0.0233754,0.0312432,0.050321,0.0246012,0.0388425,0.0625394,0.0503967,0.0661004,0.0617827,0.0611922,0.0607296,0.0127086,0.0398103,0.0144944,0.01299,0.0526172,0,0.0157255,0.0598585,0.0303371,0,0,0.0181666,0,0,0.0382366,0.0469969,0.025941,0.00967082,0.0192734,0.0420426,0.0172989,0.0340322,0.0346245,0.0558289,0.0567104,0.068142,0.0448098,0.0671121,0.00941244,0.019428,0.00992438,0.00754415,0.0322041,0.017939,0,0,0,0.0427438,0
32,0,0,0,0,0.0540895,0.0520703,0,0,0.0512665,0,0.0237254,0.0616988,0,0,0.0188775,0,0,0.0526186,0.034251,0.0223542,0.00690882,0.0229349,0.0310454,0.0501952,0.0245798,0.0386323,0.0623081,0.0502824,0.0662607,0.0619614,0.0611387,0.0608211,0.0128714,0.0400749,0.0145686,0.0129428,0.055441,0,0.0156336,0.0608289,0.030589,0,0,0.0180114,0,0,0.0381745,0.0470414,0.0245913,0.00965988,0.0179485,0.0418197,0.0173704,0.0349809,0.0343109,0.0556935,0.0577077,0.0690382,0.04564,0.0677979,0.00970221,0.0197203,0.00991811,0.00767374,0.0321324,0.0179937,0,0,0,0.043682,0
33,0,0,0,0,0.0543392,0.0522001,0,0,0.0516149,0,0.0237737,0.0609858,0,0,0.0186308,0,0,0.0525764,0.0348057,0.0223414,0.00666398,0.0223793,0.0308255,0.0504546,0.024499,0.0384393,0.0620298,0.0501785,0.0664255,0.0621895,0.0611521,0.0608958,0.0130977,0.0403111,0.0145967,0.0129448,0.0575304,0,0.0156968,0.0617344,0.0308673,0,0,0.0191084,0,0,0.0372705,0.0469736,0.0234044,0.009893,0.0171437,0.0416386,0.0184724,0.0360729,0.0334191,0.0555757,0.0587772,0.0697981,0.0465773,0.0685935,0.0104667,0.020128,0.0100977,0.00582132,0.0322259,0.0178914,0,0,0,0.0447792,0
34,0,0,0,0,0.0548606,0.0518914,0,0,0.0528783,0,0.0236366,0.0601289,0,0,0.0184503,0,0,0.0525016,0.0356961,0.0224717,0.00646845,0.0213989,0.0305106,0.0505562,0.0245877,0.0383414,0.0617363,0.0502494,0.0664814,0.0624728,0.0612524,0.0608535,0.0140077,0.0405642,0.0145306,0.0128974,0.0567497,0,0.0169991,0.0629336,0.0310895,0,0,0.0175261,0,0,0.038017,0.0464471,0.0225831,0.0100587,0.0174738,0.0415233,0.0176487,0.0374235,0.0321173,0.0555002,0.0599422,0.0701701,0.0472905,0.0698057,0.009061,0.0204503,0.00986257,0.00810154,0.0321284,0.0182607,0,0,0,0.0458616,0
35,0,0,0,0,0.0551005,0.0518412,0,0,0.0530297,0,0.0234927,0.059458,0,0,0.0183103,0,0,0.0525159,0.0362956,0.022564,0.00646465,0.0207756,0.0302357,0.0507583,0.0245301,0.0382765,0.0614758,0.0501697,0.066564,0.0627023,0.061147,0.0608732,0.0139735,0.0407243,0.0146643,0.0129176,0.0561967,0,0.0179579,0.0637097,0.0313101,0,0,0.0174148,0,0,0.0378061,0.0466149,0.0224622,0.0104351,0.0182155,0.0415083,0.0177499,0.0385149,0.0307813,0.0554671,0.0608659,0.0702483,0.0478157,0.0705281,0.00805417,0.0208188,0.0100219,0.0081537,0.0321095,0.0184676,0,0,0,0.0467156,0
36,0,0,0,0,0.0551793,0.0518752,0,0,0.0530055,0,0.0232648,0.0588769,0,0,0.0183026,0,0,0.0525414,0.0367239,0.0227763,0.00655893,0.0200766,0.0299689,0.0509008,0.0243687,0.0383339,0.0612722,0.0500496,0.066662,0.0628736,0.0608623,0.0609056,0.013888,0.0407965,0.0147103,0.0129883,0.0566367,0,0.0183271,0.0644317,0.0313801,0,0,0.0174042,0,0,0.0376821,0.0472657,0.0223076,0.0106918,0.0180071,0.0415064,0.017812,0.039216,0.0298664,0.0553692,0.0615854,0.0704063,0.0480891,0.0708839,0.00814044,0.0210233,0.0101824,0.00816155,0.0321003,0.0186976,0,0,0,0.047241,0
37,0,0,0,0,0.0551903,0.0519353,0,0,0.0528312,0,0.0230943,0.0585003,0,0,0.018355,0,0,0.0525888,0.0369526,0.0231323,0.00666702,0.0195328,0.029659,0.0510705,0.0241389,0.038416,0.0611313,0.0498853,0.0666889,0.0629338,0.0608499,0.0608226,0.013407,0.0408209,0.0147198,0.0130868,0.0573348,0,0.0179975,0.0648332,0.0313209,0,0,0.0175907,0,0,0.037573,0.0478162,0.0218609,0.0108745,0.0172942,0.0415787,0.0179355,0.0395904,0.029531,0.0552353,0.0620742,0.0705686,0.0481482,0.0710417,0.00866312,0.0211213,0.0104478,0.00786586,0.0321139,0.0189827,0,0,0,0.0473377,0
38,0,0,0,0,0.0552396,0.0519171,0,0,0.0528972,0,0.0228308,0.0583999,0,0,0.0184326,0,0,0.0525842,0.0369945,0.0237746,0.00674726,0.018788,0.0293513,0.0512561,0.0238737,0.0385436,0.0609834,0.0496865,0.0666383,0.0629585,0.0608358,0.0606431,0.013331,0.0408598,0.0147177,0.013134,0.0569911,0,0.0169615,0.064877,0.0312312,0,0,0.0176061,0,0,0.0375836,0.0478982,0.0215331,0.0108005,0.0171385,0.0418155,0.0178525,0.0395242,0.0296215,0.0551991,0.0620349,0.0705255,0.0480474,0.0710162,0.00838756,0.0212033,0.0104926,0.00792618,0.0320179,0.0191348,0,0,0,0.0472149,0
39,0,0,0,0,0.0551209,0.0518163,0,0,0.0529844,0,0.0225453,0.0586594,0,0,0.0184706,0,0,0.0525878,0.0369035,0.0246101,0.00677652,0.0180499,0.0290819,0.0513625,0.0235841,0.0387201,0.060915,0.0494983,0.0664236,0.0628244,0.0607059,0.0603235,0.0132891,0.0408478,0.0147184,0.0131729,0.0560401,0,0.0154454,0.0644978,0.0311512,0,0,0.0176031,0,0,0.037645,0.0476572,0.0213937,0.0104405,0.0170581,0.0420745,0.0177894,0.038792,0.0303401,0.0551724,0.0612063,0.0705255,0.047905,0.0708375,0.0079558,0.021213,0.0105172,0.00797392,0.0318251,0.0191265,0,0,0,0.0469594,0
40,0,0,0,0,0.0548206,0.0517784,0,0,0.0528779,0,0.0223637,0.0591743,0,0,0.0184924,0,0,0.0525691,0.0367907,0.0255873,0.00672506,0.0173298,0.0289005,0.0513972,0.0233053,0.0389455,0.060941,0.0493778,0.0660788,0.0625982,0.060298,0.0598728,0.0131132,0.040857,0.0147083,0.0131725,0.0543865,0,0.0148698,0.0638228,0.0310764,0,0,0.017545,0,0,0.037826,0.0471376,0.0217535,0.00986311,0.0168184,0.0422306,0.0178465,0.0373777,0.0316317,0.0551293,0.0596616,0.0705005,0.047764,0.0705394,0.00758743,0.0211324,0.0107202,0.00795202,0.0316007,0.0190797,0,0,0,0.0465968,0
41,0,0,0,0,0.0544124,0.0519018,0,0,0.0527476,0,0.0221982,0.0600149,0,0,0.0185398,0,0,0.0525936,0.0363693,0.0269314,0.00691632,0.0164028,0.0288174,0.05134,0.0228428,0.0393709,0.0608898,0.0491116,0.0657583,0.062352,0.0597937,0.0593786,0.0129943,0.0408605,0.0146005,0.0132703,0.05267,0,0.0158841,0.0626994,0.0307005,0,0,0.0186225,0,0,0.0371267,0.0464812,0.0227626,0.00900508,0.0164271,0.0422065,0.0186558,0.0354172,0.0331045,0.0551221,0.0577845,0.0703885,0.0476815,0.0699934,0.0080146,0.0210904,0.0106471,0.00649266,0.0314832,0.018803,0,0,0,0.0459171,0
42,0,0,0,0,0.0542506,0.0517975,0,0,0.0514835,0,0.0224525,0.0608772,0,0,0.0185765,0,0,0.0526096,0.0363224,0.0281339,0.00752961,0.01592,0.0284761,0.0511086,0.0226196,0.0395696,0.0609349,0.0490808,0.0652512,0.0617792,0.0591925,0.0587724,0.0121948,0.0408654,0.0144876,0.0133843,0.0492226,0,0.0166595,0.0617489,0.0304665,0,0,0.0184561,0,0,0.0372615,0.0454558,0.0237191,0.00831763,0.0165808,0.0419554,0.0186052,0.0335452,0.0336867,0.0551145,0.0562246,0.0699501,0.0474043,0.06944,0.00895561,0.0209271,0.0104852,0.0066501,0.0312443,0.0187676,0,0,0,0.0453213,0
43,0,0,0,0,0.0541322,0.0517349,0,0,0.0499313,0,0.0227093,0.0616082,0,0,0.0185791,0,0,0.0526434,0.0361405,0.0296263,0.00803385,0.0153524,0.028056,0.0507862,0.022245,0.0397677,0.0608166,0.0488738,0.0646527,0.0613082,0.0587132,0.0581568,0.0117254,0.0408912,0.0143246,0.0135895,0.0463394,0,0.0170652,0.0608775,0.0303869,0,0,0.0183978,0,0,0.0373905,0.0445161,0.0242125,0.00777878,0.0172701,0.0416759,0.0185814,0.0317985,0.0344285,0.0552229,0.0546793,0.0693405,0.0468402,0.0687908,0.0109763,0.0207405,0.0104206,0.00679964,0.0310308,0.0187489,0,0,0,0.0446065,0
44,0,0,0,0,0.0540944,0.0517842,0,0,0.0483904,0,0.0230701,0.0621661,0,0,0.0185264,0,0,0.0526446,0.0358493,0.0312883,0.00858649,0.0149006,0.0275937,0.0505663,0.0217466,0.0399699,0.0605583,0.0484914,0.0639855,0.0608411,0.0582324,0.0575581,0.0115,0.0409439,0.0142684,0.013581,0.0441611,0,0.0166985,0.0601251,0.0301194,0,0,0.0183442,0,0,0.0375541,0.0436711,0.0237291,0.00754993,0.0182258,0.0414408,0.0186574,0.0304471,0.0351646,0.0555263,0.053417,0.068808,0.0460616,0.0683131,0.0129027,0.0206237,0.0106393,0.00687782,0.0309137,0.018642,0,0,0,0.0439448,0
45,0,0,0,0,0.0541286,0.0520428,0,0,0.0471555,0,0.0235165,0.0625564,0,0,0.0184089,0,0,0.0525599,0.0354137,0.0331692,0.00922976,0.0145457,0.0272285,0.0503062,0.0211863,0.0401872,0.0601871,0.0479374,0.06331,0.0603476,0.0577168,0.0569405,0.0117579,0.0410612,0.0142285,0.0135185,0.0418956,0,0.0140362,0.0594788,0.0300996,0,0,0.0182587,0,0,0.0376703,0.0430473,0.0219431,0.00767636,0.0191912,0.0413611,0.018848,0.0295579,0.0359836,0.0561379,0.0528397,0.068604,0.0455539,0.0680754,0.0144818,0.020559,0.0104874,0.00705571,0.0307865,0.0184589,0,0,0,0.0434979,0
46,0,0,0,0,0.0540471,0.0521685,0,0,0.0461913,0,0.0239151,0.0626964,0,0,0.0182322,0,0,0.0524198,0.0349521,0.0353096,0.00984532,0.0142338,0.0271629,0.0499469,0.0206195,0.0401911,0.0597923,0.0472492,0.0626798,0.0598629,0.0572286,0.0563535,0.0125487,0.0412176,0.0142794,0.0132886,0.0395531,0,0.011733,0.0589462,0.0303143,0,0,0.0181582,0,0,0.0378137,0.0428532,0.0199376,0.00789239,0.02006,0.0415652,0.0190345,0.0291018,0.0368664,0.0568695,0.0529468,0.0688109,0.0456863,0.0679299,0.0161619,0.0205258,0.0101703,0.00726376,0.0306807,0.0182098,0,0,0,0.0435401,0
47,0,0,0,0,0.0537368,0.0521458,0,0,0.044733,0,0.0241486,0.0624749,0,0,0.018107,0,0,0.0523185,0.034637,0.0373837,0.0103091,0.0138216,0.0272717,0.049683,0.0202625,0.0398966,0.0595511,0.0466382,0.0619554,0.0593281,0.0568063,0.0558773,0.013891,0.0413353,0.0142657,0.0132036,0.0378932,0,0.0107066,0.0588504,0.0301238,0,0,0.0180903,0,0,0.038027,0.0431148,0.0182441,0.0082325,0.0209282,0.0420592,0.0191214,0.029233,0.0371391,0.0572296,0.0535558,0.0691396,0.0462882,0.067878,0.0176008,0.0203792,0.00999612,0.00743125,0.0306464,0.0178323,0,0,0,0.043939,0
48,0,0,0,0,0.0531369,0.0522758,0,0,0.0431064,0,0.0243081,0.0618793,0,0,0.0179458,0,0,0.052387,0.0344641,0.0396251,0.0107978,0.0131478,0.0276545,0.049543,0.0200046,0.0396423,0.0593669,0.0459778,0.0611663,0.0589246,0.0565461,0.0556254,0.0158238,0.0413827,0.0141336,0.0133871,0.0371543,0,0.0106148,0.0590716,0.0295255,0,0,0.0188034,0,0,0.037834,0.043306,0.0171495,0.008594,0.0216436,0.0429322,0.0197132,0.0300286,0.0364166,0.0568914,0.0543036,0.069104,0.0468467,0.0677166,0.0184847,0.0201726,0.0101126,0.00635355,0.0306688,0.0172424,0,0,0,0.0443567,0
49,0,0,0,0,0.0526024,0.0520109,0,0,0.0411934,0,0.0248063,0.0613365,0,0,0.0184709,0,0,0.0524255,0.0343572,0.0421042,0.0112467,0.0122823,0.0282971,0.0493218,0.0198353,0.0394941,0.0593373,0.0454432,0.0605687,0.0584594,0.0563686,0.0554357,0.0183182,0.0410597,0.0140928,0.0131818,0.0364211,0,0.0109811,0.0591623,0.0286679,0,0,0.0179045,0,0,0.0389015,0.043206,0.0176422,0.00869866,0.022172,0.0436376,0.018771,0.0309339,0.0352972,0.056128,0.0547091,0.0686299,0.0472715,0.0669262,0.0195798,0.01975,0.00989209,0.00807749,0.0305056,0.0170519,0,0,0,0.0441796,0
50,0,0,0,0,0.0520538,0.0519401,0,0,0.0388461,0,0.025678,0.0614223,0,0,0.0191516,0,0,0.0526602,0.0342123,0.0444316,0.0118891,0.0115825,0.0290426,0.0489669,0.0196416,0.0394326,0.059328,0.0450862,0.0599402,0.0578759,0.056086,0.0550869,0.0213888,0.0404792,0.0140417,0.0132253,0.0345976,0,0.0120835,0.0585217,0.0282133,0,0,0.018237,0,0,0.0391895,0.0425913,0.0194626,0.00824533,0.0226764,0.0439295,0.0187799,0.0308163,0.0344744,0.0554766,0.0540569,0.0676813,0.0471566,0.0654887,0.0223053,0.0191881,0.00971473,0.00810866,0.0305881,0.0168105,0,0,0,0.0431555,0
51,0,0,0,0,0.0516234,0.0519157,0,0,0.0361661,0,0.026554,0.0621503,0,0,0.0199137,0,0,0.0529551,0.0338541,0.0466376,0.0126928,0.0111813,0.0296324,0.0488905,0.0195816,0.0393489,0.0593653,0.0448983,0.0590649,0.0570705,0.0555202,0.0545319,0.0253404,0.0397349,0.0140336,0.0133515,0.032221,0,0.0138138,0.0572765,0.0279014,0,0,0.0186232,0,0,0.0394389,0.0416476,0.0218141,0.00729588,0.0231032,0.0438707,0.018793,0.0294839,0.0341525,0.0551878,0.0523139,0.0664723,0.0463536,0.0639859,0.0265254,0.0185235,0.00956028,0.00817327,0.0308358,0.0168485,0,0,0,0.0417044,0
52,0,0,0,0,0.0512236,0.051809,0,0,0.0334778,0,0.0273426,0.0630231,0,0,0.0202582,0,0,0.0534781,0.0333182,0.0489901,0.0136329,0.0106095,0.0300113,0.0488045,0.0197203,0.0391915,0.0594822,0.0448498,0.0579848,0.0560651,0.0548053,0.0539028,0.0301149,0.0390976,0.0139992,0.0138969,0.0305402,0,0.015447,0.055988,0.0275278,0,0,0.0188473,0,0,0.0397459,0.0408968,0.0240829,0.00653497,0.0232198,0.0437313,0.0184886,0.0281075,0.0340309,0.0552247,0.0504451,0.065526,0.0452058,0.0629713,0.0306321,0.0179661,0.00936813,0.00854463,0.0310328,0.0172061,0,0,0,0.0404944,0
53,0,0,0,0,0.0506875,0.0517172,0,0,0.0316433,0,0.0284241,0.0636245,0,0,0.0208528,0,0,0.0537591,0.0331427,0.0510006,0.0146757,0.00962707,0.0301344,0.049037,0.0199716,0.0387879,0.05969,0.0450064,0.0568919,0.0548977,0.0538695,0.0530614,0.0352946,0.038449,0.013955,0.0140745,0.0301294,0,0.016247,0.0551874,0.0271086,0,0,0.0190371,0,0,0.0400093,0.0405754,0.0256371,0.00623553,0.0231475,0.0435405,0.0182257,0.0275625,0.0337412,0.0552622,0.0493331,0.06522,0.0443106,0.0626402,0.0328995,0.0175227,0.00917643,0.00891397,0.0311936,0.0177144,0,0,0,0.0398816,0
54,0,0,0,0,0.0501617,0.0516504,0,0,0.0303042,0,0.0297266,0.0639168,0,0,0.0213827,0,0,0.0538839,0.033263,0.0524893,0.0157953,0.00821652,0.0301585,0.049331,0.0204974,0.0386301,0.0599442,0.0452312,0.0558335,0.0536462,0.0528977,0.0520922,0.0405782,0.0379605,0.0139752,0.0141158,0.0306772,0,0.0159536,0.0548047,0.0268104,0,0,0.0191822,0,0,0.0401919,0.0404673,0.0261042,0.00633711,0.0230504,0.0435097,0.0180167,0.0277497,0.0330428,0.0550049,0.0492415,0.0654702,0.0439318,0.0627076,0.0328019,0.0170698,0.00898024,0.00927744,0.0312053,0.0182238,0,0,0,0.0398178,0
55,0,0,0,0,0.0496879,0.0516391,0,0,0.0293805,0,0.0308934,0.0640006,0,0,0.0218162,0,0,0.0538832,0.0335206,0.0526546,0.0167424,0.00665393,0.0300339,0.0494727,0.0213483,0.0388151,0.0604725,0.0456522,0.0548145,0.0524469,0.052002,0.0512018,0.0461579,0.0377436,0.0139722,0.0140844,0.0315193,0,0.0150011,0.0547125,0.0265832,0,0,0.0193141,0,0,0.0403717,0.0403318,0.0254903,0.00677527,0.0227537,0.0436545,0.0179541,0.0280169,0.0322345,0.0546632,0.0494431,0.0658613,0.0440056,0.063004,0.0311188,0.0166385,0.00891818,0.00961208,0.0311629,0.0185351,0,0,0,0.0401143,0
56,0,0,0,0,0.049146,0.0518327,0,0,0.0293053,0,0.03172,0.0640555,0,0,0.0223633,0,0,0.0536544,0.0338725,0.0516538,0.0174673,0.00514374,0.029836,0.0498478,0.0223789,0.0391738,0.0611839,0.0461944,0.0540776,0.0515706,0.0516168,0.0508453,0.052626,0.0375355,0.013824,0.0137781,0.0321461,0,0.0139886,0.0546889,0.0263806,0,0,0.0203878,0,0,0.0398882,0.0402449,0.0242858,0.00741133,0.0222494,0.0440696,0.0191871,0.0280589,0.0317534,0.0546065,0.0496922,0.0660578,0.0442637,0.0636334,0.0292619,0.0162916,0.0089421,0.00858851,0.0312621,0.0183411,0,0,0,0.0405334,0
57,0,0,0,0,0.0488816,0.0516263,0,0,0.0301097,0,0.0321674,0.0640231,0,0,0.0222036,0,0,0.0538073,0.0342749,0.0508329,0.0177902,0.00394056,0.029737,0.0499835,0.0236118,0.0394382,0.0619888,0.0468965,0.0538386,0.0511966,0.0517998,0.0510241,0.0592686,0.0374352,0.0136175,0.0141531,0.0321461,0,0.0134305,0.0547435,0.0260318,0,0,0.0198821,0,0,0.0405881,0.0400623,0.0230228,0.00806608,0.0217978,0.0445977,0.0185368,0.0281612,0.031559,0.054751,0.049986,0.0660168,0.0445601,0.0640231,0.0281668,0.0160263,0.0089232,0.00986765,0.0311068,0.0182005,0,0,0,0.040887,0
58,0,0,0,0,0.0484692,0.0514933,0,0,0.0304825,0,0.0325032,0.0640442,0,0,0.022164,0,0,0.0539136,0.0345124,0.0513221,0.0180714,0.00310252,0.0297864,0.0501196,0.0247808,0.0394359,0.0625703,0.0475068,0.0538697,0.0511475,0.0519157,0.0511234,0.0637613,0.0374348,0.0135891,0.0142464,0.0315013,0,0.013438,0.054789,0.0257077,0,0,0.0200914,0,0,0.0406988,0.039668,0.0221952,0.00877168,0.0215992,0.0450797,0.0187833,0.028429,0.0313305,0.0548394,0.0502862,0.0658101,0.0448158,0.0641957,0.0282033,0.0158529,0.00894053,0.0100184,0.0310014,0.0178434,0,0,0,0.0412123,0
59,0,0,0,0,0.0480709,0.051338,0,0,0.0301671,0,0.0329266,0.0640558,0,0,0.0222076,0,0,0.0539862,0.0345108,0.0525335,0.0183167,0.00304245,0.0300066,0.0500576,0.0256889,0.0393485,0.0629862,0.0480097,0.0538415,0.0510266,0.0517549,0.0509617,0.0663611,0.0374764,0.0136703,0.014231,0.030514,0,0.0138452,0.0549236,0.0254808,0,0,0.0202522,0,0,0.0407423,0.0391145,0.0220033,0.00946731,0.0219241,0.0452834,0.0189193,0.0287372,0.0309428,0.0547251,0.0505232,0.0655177,0.0449673,0.0641746,0.0291627,0.0157597,0.0089163,0.010171,0.0308069,0.0176581,0,0,0,0.0413724,0
60,0,0,0,0,0.0478132,0.0512401,0,0,0.0297897,0,0.0334064,0.0640568,0,0,0.022251,0,0,0.0540147,0.0343032,0.0536764,0.0185194,0.00367574,0.0303415,0.0499313,0.0261864,0.039209,0.0632508,0.0483146,0.053754,0.0508513,0.0516862,0.0509338,0.0682941,0.0375836,0.013741,0.0142191,0.0294714,0,0.0142833,0.0550938,0.0254626,0,0,0.0203669,0,0,0.0406996,0.0385614,0.022307,0.0100868,0.0225398,0.0451378,0.0189564,0.028943,0.0306717,0.0544879,0.050637,0.0652708,0.0450147,0.0640915,0.030692,0.0157213,0.00894107,0.0101824,0.0305891,0.0176828,0,0,0,0.0413029,0
61,0,0,0,0,0.0477647,0.0512075,0,0,0.0294692,0,0.0337667,0.0640818,0,0,0.0221872,0,0,0.0539912,0.0339906,0.0547366,0.018635,0.00435001,0.0306834,0.0500487,0.026337,0.039009,0.0632774,0.0484232,0.0537097,0.0506992,0.0519104,0.051219,0.0699632,0.0376638,0.0136896,0.0144355,0.0285778,0,0.0143204,0.0552212,0.0256222,0,0,0.0204377,0,0,0.0405235,0.0380889,0.0227105,0.0105519,0.0235006,0.0447968,0.0189282,0.0290197,0.0307278,0.0544062,0.0507335,0.0654246,0.0449779,0.0640126,0.0323005,0.0157611,0.00902704,0.00999171,0.0303951,0.0177938,0,0,0,0.0411676,0
62,0,0,0,0,0.0479015,0.0511499,0,0,0.0293363,0,0.0340702,0.0640569,0,0,0.0220785,0,0,0.0539078,0.0336612,0.0557972,0.0186635,0.00497191,0.0308881,0.0503175,0.0262071,0.0386989,0.0631086,0.0484113,0.0536631,0.0505935,0.0523797,0.051746,0.0716662,0.037787,0.0137638,0.0144772,0.0279564,0,0.0144161,0.0553565,0.0255906,0,0,0.0199849,0,0,0.0405779,0.0376844,0.0229873,0.010798,0.0241644,0.0443631,0.0183115,0.0290369,0.0310754,0.0546355,0.0508842,0.0655951,0.0449466,0.0639821,0.0334224,0.0160031,0.00904649,0.010404,0.0302377,0.0179702,0,0,0,0.0412147,0
63,0,0,0,0,0.0479443,0.0512649,0,0,0.0294126,0,0.0341577,0.0640398,0,0,0.0219252,0,0,0.053895,0.0333016,0.0565699,0.0187219,0.00560038,0.030877,0.050364,0.0259805,0.0383294,0.0628446,0.0482958,0.0536624,0.050541,0.0528621,0.052331,0.073551,0.0378578,0.0137732,0.0145631,0.027732,0,0.0145329,0.0554572,0.0257177,0,0,0.0206359,0,0,0.0398667,0.0374117,0.0229848,0.0109544,0.0242145,0.0439261,0.0189389,0.0289967,0.0316072,0.0549949,0.0510645,0.0657259,0.0450028,0.0639876,0.0335888,0.0160935,0.0092044,0.00922955,0.030238,0.0179453,0,0,0,0.0413876,0
64,0,0,0,0,0.0482493,0.0510575,0,0,0.0295831,0,0.034353,0.0639181,0,0,0.0218399,0,0,0.0538147,0.0329691,0.0572287,0.0187399,0.00618652,0.0307895,0.0502536,0.0259386,0.038122,0.0626582,0.0482071,0.0536627,0.0504989,0.053149,0.0527037,0.0754184,0.0379575,0.0137493,0.0145566,0.027717,0,0.0146193,0.0556652,0.025579,0,0,0.019513,0,0,0.0403836,0.0372707,0.0227396,0.0111282,0.0238657,0.0435368,0.0176256,0.0290053,0.0320761,0.0551637,0.0513527,0.0657757,0.045127,0.0641342,0.032866,0.0163739,0.00922145,0.0104573,0.0300894,0.0181748,0,0,0,0.0417058,0
65,0,0,0,0,0.0484617,0.0509958,0,0,0.0297523,0,0.0346434,0.0637115,0,0,0.0216616,0,0,0.0538033,0.0325806,0.0579981,0.0188529,0.00668055,0.0305874,0.0501128,0.0259471,0.0381415,0.0625315,0.0480825,0.0535973,0.0504405,0.0531964,0.0528193,0.0768486,0.0379913,0.0137803,0.0145685,0.0282582,0,0.0146011,0.0559933,0.0257359,0,0,0.0195076,0,0,0.0402507,0.0373017,0.0222452,0.0114053,0.0233962,0.0432265,0.017625,0.0291788,0.0321628,0.0552916,0.0517398,0.0657504,0.0452758,0.0648,0.0315954,0.0164526,0.00928313,0.010304,0.0300956,0.0180751,0,0,0,0.0419934,0
66,0,0,0,0,0.0485392,0.0510491,0,0,0.0299752,0,0.0350418,0.063407,0,0,0.0215507,0,0,0.0537963,0.032141,0.0587421,0.0190226,0.0070726,0.0304694,0.0499505,0.0259933,0.0383402,0.0624561,0.0479099,0.0534056,0.0503264,0.0529992,0.0527071,0.0779963,0.0380763,0.0138529,0.0145102,0.0289937,0,0.0143794,0.0564486,0.0260934,0,0,0.0202003,0,0,0.0397825,0.037455,0.0215854,0.0116867,0.0229146,0.0429183,0.0184069,0.0295347,0.0318511,0.0553054,0.0521458,0.0656759,0.0454813,0.0651372,0.030031,0.0163722,0.00933591,0.00935103,0.0302141,0.017798,0,0,0,0.042068,0
67,0,0,0,0,0.048698,0.0509885,0,0,0.0301593,0,0.0354504,0.0630097,0,0,0.0214924,0,0,0.0537572,0.0318717,0.0593676,0.0191523,0.00740191,0.0305577,0.0497359,0.0260406,0.0385794,0.0624406,0.047776,0.0532357,0.0501665,0.0527123,0.0524975,0.079031,0.0381621,0.0139128,0.0143561,0.0295643,0,0.0142633,0.0570731,0.0262121,0,0,0.0201275,0,0,0.0398871,0.0375711,0.0209803,0.0119902,0.0226278,0.0425735,0.018419,0.0299982,0.0313309,0.0552138,0.052574,0.0654731,0.0457,0.0652417,0.0284476,0.0163789,0.00927578,0.00956427,0.0302837,0.0175834,0,0,0,0.0421559,0
