Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI,IMU_B
9,0,0,0,0,0.0501536,0.0520877,0,0,0.0537379,0,0.0204546,0.0613079,0,0,0.0266446,0,0,0.055292,0.0239154,0.0260247,0.0105762,0.0152647,0.0383638,0.0570127,0.0261922,0.0453423,0.0642899,0.0479468,0.066299,0.0633978,0.0631942,0.0627017,0.0114387,0.0340718,0.0129435,0.0159228,0.0245859,0,0.023467,0.0566949,0.0258443,0,0,0.0204444,0,0,0.0403338,0.0468541,0.0452201,0.016233,0.0172548,0.0381302,0.0160956,0.034931,0.0185635,0.0504223,0.0533585,0.0569338,0.0326722,0.0587307,0.0539198,0.0174331,0.00943437,0.00757681,0.032115,0.0192994,0,0,0,0,0
10,0,0,0,0,0.0500693,0.052122,0,0,0.0497309,0,0.0187639,0.0621563,0,0,0.0271355,0,0,0.0550324,0.0238301,0.0264774,0.0111928,0.0145029,0.0373012,0.0563652,0.0256071,0.0429827,0.063109,0.0480015,0.0669852,0.0641503,0.0640592,0.0636709,0.0109161,0.0340882,0.0132249,0.0156156,0.0243509,0,0.025728,0.0557175,0.0264336,0,0,0.0200522,0,0,0.0409016,0.0470059,0.0462791,0.016289,0.0204494,0.0391995,0.0162886,0.034212,0.0205537,0.0518239,0.0535047,0.0569948,0.0325978,0.0592558,0.0501479,0.0169737,0.00852953,0.00717576,0.0322495,0.0184606,0,0,0,0,0
11,0,0,0,0,0.0502875,0.0518474,0,0,0.0552575,0,0.0202638,0.0617596,0,0,0.0265091,0,0,0.055233,0.0246047,0.0256307,0.0106559,0.0160202,0.0381528,0.0566474,0.0261727,0.0442736,0.0640916,0.0485216,0.066083,0.0630912,0.0625842,0.0622768,0.0127418,0.0344109,0.0131352,0.0157559,0.0240085,0,0.0231736,0.0561638,0.0263242,0,0,0.0206411,0,0,0.040054,0.0464658,0.0447636,0.0156849,0.0185198,0.0394211,0.0165459,0.0340191,0.0200647,0.0506738,0.0528133,0.0578955,0.0329475,0.0598373,0.0587193,0.0174197,0.00883558,0.00752622,0.0321736,0.0190289,0,0,0,0,0
12,0,0,0,0,0.050402,0.0521324,0,0,0.0498681,0,0.0189752,0.0630329,0,0,0.0268231,0,0,0.054952,0.0245493,0.0260656,0.0120034,0.0160162,0.0368063,0.055816,0.0257449,0.0420151,0.0632207,0.048785,0.0667931,0.0636928,0.0636587,0.063214,0.0107808,0.0343397,0.0131937,0.01554,0.0257497,0,0.0261294,0.0550944,0.0271375,0,0,0.0192259,0,0,0.0413911,0.047571,0.0487574,0.0161034,0.0231997,0.040948,0.0164495,0.0343995,0.022051,0.0525277,0.0539368,0.0555735,0.0305765,0.0582842,0.0549605,0.0169548,0.00808971,0.00781235,0.0322924,0.0178312,0,0,0,0.0310262,0
13,0,0,0,0,0.050356,0.0524422,0,0,0.0496047,0,0.0190349,0.0632938,0,0,0.0267553,0,0,0.054882,0.025152,0.0257446,0.0123536,0.0166142,0.0368018,0.0560307,0.0257858,0.0413852,0.0632913,0.0491563,0.0668282,0.0635372,0.0636002,0.0631297,0.0108909,0.0344362,0.0132692,0.0154166,0.0252376,0,0.0261307,0.0550388,0.0272254,0,0,0.0193108,0,0,0.0414278,0.047657,0.0487106,0.0160759,0.0239035,0.0416905,0.0166416,0.0340104,0.0231326,0.0529648,0.053898,0.0559536,0.0310074,0.0582055,0.0560599,0.0169258,0.00814663,0.00778116,0.0322625,0.0176943,0,0,0,0.0314232,0
14,0,0,0,0,0.0501473,0.052461,0,0,0.0492825,0,0.0190172,0.0634859,0,0,0.0267202,0,0,0.0549517,0.0257443,0.025569,0.0125722,0.0172329,0.0367357,0.0562363,0.0258129,0.0408512,0.063441,0.0495465,0.0667913,0.0634174,0.0634808,0.0630435,0.0110876,0.034507,0.013333,0.0153981,0.0253565,0,0.0257719,0.0549638,0.027201,0,0,0.0194877,0,0,0.0415464,0.0475225,0.0480826,0.0163288,0.0261773,0.0421839,0.0167861,0.0330601,0.0254641,0.0541574,0.0537081,0.0562522,0.0315652,0.0581731,0.0556391,0.0167404,0.0084505,0.00773451,0.0322844,0.0176932,0,0,0,0.0318115,0
15,0,0,0,0,0.0500907,0.0525036,0,0,0.0490744,0,0.0190416,0.063667,0,0,0.0265629,0,0,0.0549674,0.0263014,0.0253517,0.0126606,0.017881,0.0365519,0.0561627,0.0258135,0.040498,0.0633452,0.0498584,0.0667147,0.0632958,0.0633622,0.0629423,0.0112503,0.0347586,0.0136108,0.0152819,0.0254715,0,0.0254443,0.0548707,0.0273882,0,0,0.0195457,0,0,0.0415936,0.0475721,0.0471675,0.0163266,0.0273641,0.0426633,0.0169894,0.0325922,0.0270641,0.0550516,0.0538329,0.0567864,0.031998,0.0584231,0.0558249,0.0167327,0.0087857,0.0075316,0.0322546,0.0176691,0,0,0,0.0323304,0
16,0,0,0,0,0.0500723,0.0525676,0,0,0.0488343,0,0.0191608,0.0639166,0,0,0.0262506,0,0,0.0549492,0.0267709,0.0249082,0.0125264,0.0185468,0.0362962,0.0560562,0.0257427,0.0402593,0.0630304,0.0500189,0.066672,0.0631991,0.0632739,0.0628425,0.0113454,0.0349753,0.0140912,0.0151222,0.0254376,0,0.0253111,0.0546925,0.0273151,0,0,0.01953,0,0,0.0414687,0.0476329,0.0460692,0.0162075,0.0284378,0.0429719,0.0171662,0.032285,0.0284377,0.055877,0.0541521,0.0574152,0.0326268,0.0585012,0.0556492,0.0167941,0.00898347,0.00730591,0.0322127,0.0176357,0,0,0,0.0326922,0
17,0,0,0,0,0.0501059,0.0523719,0,0,0.0486014,0,0.0192807,0.0642044,0,0,0.0258583,0,0,0.0547765,0.0272596,0.0244901,0.012363,0.0190408,0.0359688,0.0556333,0.0256556,0.0400066,0.0628513,0.0501461,0.066636,0.0630808,0.063286,0.0626516,0.0115248,0.0352016,0.0139297,0.0150703,0.0253362,0,0.0249314,0.0545229,0.0272588,0,0,0.0195214,0,0,0.0412364,0.0476526,0.0449918,0.0160689,0.0296873,0.0431569,0.0171892,0.0319548,0.0299024,0.0567594,0.0542663,0.0581128,0.0334855,0.0590324,0.0546272,0.0169088,0.00899459,0.00705748,0.0322474,0.0176141,0,0,0,0.0328982,0
18,0,0,0,0,0.050414,0.0521466,0,0,0.0529575,0,0.0210288,0.0636964,0,0,0.0246902,0,0,0.0548966,0.027562,0.0235093,0.011295,0.0205143,0.0366477,0.055681,0.0259143,0.0414062,0.0636265,0.0503095,0.0659313,0.0621216,0.0621023,0.06146,0.0134788,0.0358063,0.0138526,0.0150271,0.0259517,0,0.022814,0.0551529,0.026791,0,0,0.0202247,0,0,0.0400151,0.0470687,0.0441827,0.0155819,0.0271781,0.0426539,0.017091,0.0320092,0.0285818,0.0551288,0.0536626,0.0592355,0.0336993,0.0600848,0.0595774,0.0176064,0.00957631,0.00730591,0.0320394,0.0185849,0,0,0,0.033088,0
