Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
48,0,0,0,0,0.0561537,0.0488948,0,0,0,0.0382115,0,0.0252775,0.0583555,0,0,0.0190154,0,0,0.0520219,0.0319263,0.0391682,0.0117972,0.0175177,0.0403041,0.0447531,0.0336706,0.055842,0.0680452,0.0536475,0.0693339,0.0669794,0.0691457,0.0676233,0.033471,0.0402693,0.0130028,0.0120995,0.0393318,0,0.0177899,0.0654192,0.0339863,0,0,0.0217762,0,0,0.0402254,0.0441195,0.0178948,0.0133721,0.0179233,0.0379017,0.0185056,0.0401407,0.0204364,0.0518588,0.0603354,0.0684636,0.0421335,0.0744152,0.0687487,0.0141457,0.0131579,0.00796036,0.010585,0.0307633,0.0141439,0,0,0
49,0,0,0,0,0.0564722,0.0489917,0,0,0,0.0420354,0,0.0245972,0.0593388,0,0,0.0188106,0,0,0.0518911,0.0320581,0.0370727,0.0112585,0.0186175,0.0402737,0.0446224,0.03493,0.0554028,0.0681685,0.0552425,0.0698328,0.0673828,0.0694525,0.0675802,0.0262612,0.0404681,0.0129745,0.0119447,0.0413571,0,0.0171686,0.064502,0.034068,0,0,0.021646,0,0,0.0400715,0.0451339,0.0176067,0.0132474,0.0175474,0.0379896,0.0183419,0.0406226,0.0195946,0.0512412,0.0603866,0.0685707,0.041097,0.072785,0.0685266,0.0139302,0.0134337,0.00787538,0.0104343,0.0309968,0.0142197,0,0,0
50,0,0,0,0,0.0567256,0.0491479,0,0,0,0.0450606,0,0.024756,0.060349,0,0,0.0185095,0,0,0.0518154,0.0319271,0.0353352,0.0107215,0.0214329,0.0400976,0.0445157,0.0358723,0.0541183,0.068261,0.0566603,0.0702906,0.0674003,0.069766,0.0677396,0.0207422,0.0406604,0.0129906,0.0118696,0.0436987,0,0.0163925,0.0633624,0.0342367,0,0,0.0220258,0,0,0.0396858,0.0461359,0.0174278,0.0132895,0.0169541,0.0380122,0.0186923,0.0409286,0.0185368,0.0505147,0.0603486,0.0683618,0.0397804,0.0706927,0.0678933,0.0141848,0.0136049,0.00813125,0.00951359,0.0312701,0.0141611,0,0,0
51,0,0,0,0,0.0569732,0.0492697,0,0,0,0.0464282,0,0.0256024,0.0612959,0,0,0.0185144,0,0,0.0516302,0.0316642,0.033838,0.0101668,0.0261471,0.0398366,0.0446034,0.0364201,0.0519509,0.0683052,0.0576439,0.070563,0.0670723,0.0699228,0.0678242,0.0174312,0.0408511,0.0131127,0.0114537,0.0462481,0,0.0154977,0.0622099,0.0343621,0,0,0.0218871,0,0,0.0396913,0.047081,0.0174211,0.0134537,0.0164337,0.0379278,0.0186466,0.0410357,0.0175349,0.0498165,0.0603073,0.0684919,0.038181,0.0682488,0.067555,0.0149658,0.0138701,0.00849309,0.00927842,0.0315085,0.0142007,0,0,0
52,0,0,0,0,0.0571559,0.0493575,0,0,0,0.0467583,0,0.0258007,0.0619524,0,0,0.0183783,0,0,0.0515731,0.0316514,0.0326213,0.00983865,0.0309757,0.0397206,0.0446701,0.0367805,0.0496588,0.0682078,0.0578199,0.0706472,0.0665662,0.0698145,0.0676503,0.0158168,0.0410124,0.013085,0.0113279,0.0487535,0,0.0145225,0.0614983,0.0343153,0,0,0.0217218,0,0,0.0395243,0.0478238,0.0176355,0.0132359,0.0161641,0.0379478,0.0185631,0.0411581,0.0167746,0.0492852,0.0602669,0.0687811,0.0363042,0.0654828,0.0673536,0.0161666,0.0141487,0.00845518,0.00907534,0.031613,0.0142948,0,0,0
53,0,0,0,0,0.0573485,0.0493248,0,0,0,0.0503374,0,0.0231798,0.062113,0,0,0.0179943,0,0,0.0517003,0.0321247,0.0359775,0.00950324,0.0327143,0.0396925,0.0446286,0.0370761,0.0482796,0.0680187,0.057361,0.0706253,0.0665478,0.0682611,0.0660339,0.016195,0.0410773,0.0131392,0.0115367,0.0506115,0,0.0136709,0.0611211,0.03419,0,0,0.0210659,0,0,0.0396899,0.0480039,0.0179925,0.0131186,0.0160008,0.0379858,0.0179666,0.0410434,0.0163635,0.048771,0.0599718,0.0691449,0.034298,0.0624417,0.0671592,0.0171277,0.0144482,0.00847305,0.00957285,0.031582,0.0145447,0,0,0
54,0,0,0,0,0.0571213,0.0500225,0,0,0,0.0471689,0,0.022702,0.0619173,0,0,0.0172759,0,0,0.0529945,0.0331145,0.034704,0.00732931,0.0269022,0.0393247,0.0454755,0.0372847,0.0468538,0.0675719,0.0569862,0.0716646,0.0681991,0.0702106,0.0679441,0.0172867,0.0405549,0.0117082,0.0118034,0.0471967,0,0.0126456,0.0614487,0.0333035,0,0,0.0213797,0,0,0.0397558,0.0479183,0.0204896,0.0132643,0.0143915,0.0361497,0.0170524,0.0414466,0.0143947,0.0472357,0.0593806,0.0707427,0.0324719,0.0594942,0.0680535,0.0131161,0.0139217,0.00831894,0.010082,0.0325233,0.0148307,0,0,0
55,0,0,0,0,0.0571258,0.0499672,0,0,0,0.04658,0,0.0225306,0.0622209,0,0,0.0175459,0,0,0.0531318,0.0329625,0.0350301,0.00722729,0.0246117,0.0391761,0.0458292,0.0373698,0.0467453,0.0674169,0.0563753,0.0717699,0.0682332,0.0701868,0.0682413,0.0171918,0.0403388,0.0117902,0.0120805,0.0480164,0,0.0121208,0.0609707,0.0332363,0,0,0.0211538,0,0,0.0396282,0.0482798,0.021485,0.013539,0.0140562,0.0359627,0.0170493,0.0415775,0.0140418,0.0468894,0.0592504,0.0707636,0.0307065,0.0560909,0.0672941,0.0135022,0.0142838,0.00823949,0.00980341,0.0325361,0.0150288,0,0,0
56,0,0,0,0,0.0571267,0.0497937,0,0,0,0.0446525,0,0.0236131,0.0623257,0,0,0.0179155,0,0,0.052915,0.0324318,0.0332216,0.0081367,0.0257738,0.039301,0.046155,0.0374698,0.0470922,0.0672537,0.0558942,0.0715544,0.0675358,0.0699477,0.0681563,0.0172042,0.0402962,0.0122041,0.0123263,0.0488291,0,0.0117554,0.0605749,0.0332,0,0,0.0208345,0,0,0.0394997,0.0487754,0.0227089,0.0135421,0.0142769,0.0361894,0.0171031,0.0417868,0.0138176,0.0466601,0.0591967,0.070982,0.0292425,0.0527536,0.0666938,0.0143156,0.0147988,0.00844632,0.00956949,0.0322971,0.015293,0,0,0
57,0,0,0,0,0.0573926,0.0495618,0,0,0,0.043975,0,0.0259331,0.0621744,0,0,0.0183849,0,0,0.0521034,0.0319555,0.0308322,0.00985422,0.0299093,0.0397072,0.0463833,0.0377762,0.0485192,0.0675314,0.0556687,0.0709869,0.0662115,0.0692208,0.0674822,0.0162475,0.0406078,0.0131438,0.0123123,0.0559839,0,0.0108658,0.0606007,0.0334927,0,0,0.0201976,0,0,0.0393106,0.0486672,0.021668,0.0135216,0.0172813,0.0368497,0.0172008,0.0406423,0.0163653,0.0482371,0.0590024,0.0692491,0.0273838,0.0490317,0.0638997,0.020736,0.0154775,0.00852353,0.0092204,0.0318998,0.0154758,0,0,0
