Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,
1284,0.0276699,0,0,0,0,0.0231377,0,0,0,0,0,0,0.0182356,0.0225794,0.0200942,0.022645,0,0,0.0355786,0,0.0495567,0.0307063,0.0317682,0.0251643,0.0161214,0.0121658,0.0143921,0.0102193,0.0068969,0.00485357,0.00633123,0.0456978,0.0118304,0.0135461,0.0141182,0.0296533,0.0150583,0.0261527,0.0320493,0.044983,0.0135662,0.0246473,0.0136318,0.0240749,0.0230518,0,0,0.0324543,0,0.0267696,0.0161129,0.0389319,0.0212708,0,0.0262545,0.0113257,0.0207246,0.0167863,0,0,0.0178306,0.0235001,0.036708,0.0183524,0.0232784,0.0110261,0.0248049,0.0142484,0.0244149,0.0203061,0.0216461,0,0,0,0
1285,0.0239961,0,0,0,0,0.0199924,0,0,0,0,0,0,0.0178364,0.0226027,0.0199347,0.0226136,0,0,0.035547,0,0.0493449,0.0306634,0.0319437,0.0251323,0.015995,0.0121317,0.01393,0.0103843,0.00697146,0.00495706,0.00650766,0.0458325,0.0116805,0.0134126,0.0139348,0.0295287,0.0147413,0.0268096,0.0321076,0.0445597,0.0134419,0,0.013615,0.0242198,0.0201244,0,0,0.031778,0,0.0040227,0.0188647,0.0387843,0.0213321,0,0.0262835,0.0107569,0.0257231,0.0167941,0,0,0.017925,0.0235201,0.0367389,0.0183989,0.0232954,0.0109207,0.0285507,0.00571629,0.0305173,0.017727,0.0188051,0,0,0,0
1286,0.022476,0,0,0,0,0.0197649,0,0,0,0,0,0,0.0140478,0.023048,0.020553,0.0130845,0,0,0.0359597,0,0.0484247,0.0294415,0.0327843,0.0273496,0,0.0105742,0.0123859,0.0143564,0.00584204,0.00701646,0.00577775,0.0437317,0.0117397,0.0133224,0.0147153,0.031612,0.01502,0.0276579,0.0316681,0.043472,0.0155982,0.0249902,0.010807,0.0112231,0.0193522,0,0,0.0330792,0,0.0260777,0.0157771,0.0390774,0.0202768,0,0.0290122,0.00629903,0.0213617,0.0180322,0,0,0.0195834,0.0241732,0.0338746,0.0173244,0.0239334,0.0155702,0.0246344,0.0151447,0.024875,0.0177348,0.0203067,0,0,0,0
1287,0.0221052,0,0,0,0,0.0194266,0,0,0,0,0,0,0.013966,0.0234565,0.020531,0.0131902,0,0,0.0358611,0,0.048285,0.0294117,0.0328486,0.0273651,0,0.0104755,0.0121335,0.0142173,0.00584563,0.0070019,0.00585361,0.0437779,0.0117375,0.0133358,0.0147641,0.0315931,0.0149907,0.0277235,0.0319167,0.042884,0.0155621,0.0252224,0.0108028,0.0112643,0.0187835,0,0,0.0336367,0,0.025711,0.0162314,0.0390231,0.0202802,0,0.0292185,0.00605862,0.0217044,0.0181529,0,0,0.0197413,0.0242699,0.0338777,0.0173139,0.0240259,0.015771,0.0248323,0.0157944,0.0253574,0.0175084,0.0200329,0,0,0,0
1288,0.0213196,0,0,0,0,0.0190361,0,0,0,0,0,0,0.0138885,0.0237817,0.0205042,0.0129823,0,0,0.0361257,0,0.0481651,0.0294984,0.0329243,0.0273602,0,0.0103889,0.0121394,0.0140656,0.00580467,0.00698732,0.00591673,0.043799,0.0116981,0.0133549,0.0147196,0.0315551,0.0150068,0.0278566,0.0320614,0.0422406,0.0155191,0.0255283,0.0108033,0.011218,0.0179602,0,0,0.0341732,0,0.0254559,0.0168667,0.0389233,0.0203254,0,0.0292088,0.00605943,0.0222256,0.0181617,0,0,0.0197777,0.0242988,0.0338533,0.0173027,0.0240473,0.0158286,0.0251153,0.0165239,0.0260195,0.0170952,0.0194603,0,0,0,0
1289,0.0201313,0,0,0,0,0.0186964,0,0,0,0,0,0,0.0138482,0.0240978,0.0205277,0.0127054,0,0,0.0365086,0,0.0479841,0.0296341,0.032991,0.0273551,0,0.0103137,0.012363,0.0138911,0.00578749,0.00694171,0.00588538,0.0438125,0.0116302,0.0133882,0.0146749,0.0314972,0.0150177,0.0280718,0.0321297,0.0415477,0.0155099,0.0258237,0.0107788,0.0110707,0.0168935,0,0,0.0346738,0,0.0251933,0.017715,0.0388256,0.0203862,0,0.0291671,0.00623581,0.0228807,0.0181405,0,0,0.0197739,0.0243078,0.0338236,0.0172871,0.0240626,0.0158927,0.0254599,0.0174613,0.0267859,0.0164873,0.0185883,0,0,0,0
1290,0.0196714,0,0,0,0,0.0185111,0,0,0,0,0,0,0.0137313,0.0243563,0.0204814,0.0128476,0,0,0.0363865,0,0.0478378,0.0297953,0.0330057,0.0273342,0,0.0102956,0.0122876,0.013067,0.00578515,0.00690485,0.00584116,0.0438222,0.0116045,0.0133909,0.0146549,0.0314197,0.0149333,0.0279666,0.0321839,0.0408831,0.0155385,0.0261467,0.0107815,0.0109875,0.016438,0,0,0.0351768,0,0.0247935,0.0185387,0.0387976,0.0204101,0,0.0292505,0.00616987,0.0232527,0.0181318,0,0,0.0197927,0.0243569,0.033835,0.017309,0.0240965,0.0159955,0.0257726,0.0186374,0.027533,0.0163772,0.0181704,0,0,0,0
1291,0.0182227,0,0,0,0,0.0176059,0,0,0,0,0,0,0.0135787,0.0246431,0.0203854,0.0133582,0,0,0.036487,0,0.047656,0.0298924,0.0330176,0.0272908,0,0.0102922,0.0121678,0.0126041,0.00579553,0.00688318,0.00587258,0.0438614,0.0115631,0.0133674,0.0146326,0.0313152,0.0148247,0.0281102,0.0321653,0.040026,0.015544,0.0259327,0.0107899,0.0109198,0.0152677,0,0,0.037268,0,0.0248012,0.0203622,0.038794,0.0204689,0,0.0293105,0.00608,0.0244446,0.018083,0,0,0.0198308,0.0244012,0.033856,0.0173611,0.0241429,0.0160643,0.0271975,0,0.0287105,0.015717,0.017046,0,0,0,0
1292,0.0167511,0,0,0,0,0.0166963,0,0,0,0,0,0,0.0135007,0.0249945,0.0203688,0.0132195,0,0,0.0366152,0,0.0474635,0.0300328,0.0330924,0.0273067,0,0.0103011,0.0123484,0.0120957,0.00582355,0.00690463,0.00587968,0.0438978,0.0115562,0.0133827,0.0146096,0.031253,0.0147446,0.0280527,0.0321327,0.0392253,0.0155333,0.0267646,0.010782,0.0108101,0.014398,0,0,0.0363602,0,0.024067,0.0200546,0.0387421,0.0205369,0,0.029296,0.00620588,0.0243479,0.0181032,0,0,0.0197612,0.0244171,0.0338556,0.0173823,0.0241604,0.01611,0.0265128,0.0210891,0.0286227,0.0149763,0.0159454,0,0,0,0
1293,0.0177125,0,0,0,0,0.0159768,0,0,0,0,0,0,0.0121704,0.0251385,0.0200956,0.0121076,0,0,0.0364812,0,0.0467966,0.0296592,0.035519,0.0279964,0,0.0097285,0.0169001,0.012645,0.00729207,0.00902309,0.00750527,0.045023,0.0107105,0.0124919,0.0141895,0.0310888,0.0151318,0.0264257,0.0314951,0.038829,0.0203533,0.0269954,0.0123382,0.0124983,0.015737,0,0,0.0378046,0,0.0238961,0.0212172,0.0376789,0.02509,0.0186884,0.031199,0.0139783,0.02699,0.018217,0,0,0.020056,0.027742,0.0351357,0.0195195,0.0281948,0.02374,0.0292612,0.0221052,0.0290034,0.0135198,0.0161816,0,0,0,0
