Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,RTHI
1018,0.00543978,0,0,0,0,0.0237568,0,0,0,0,0,0,0.0450859,0.0346196,0.0497652,0.0148511,0,0,0.0715039,0,0.049681,0.0463944,0.0357749,0.0588919,0.0216392,0.0168945,0.0212548,0.0229764,0.0129835,0.0168518,0.0150641,0.0399831,0.0170735,0.0244996,0.026827,0.0250822,0.0539747,0.049138,0.031924,0.0363254,0.00983421,0.0353673,0.0130809,0.0142088,0.0174926,0,0,0.0591809,0,0.0388037,0.0335301,0.0417684,0.0153853,0.0195055,0.00716882,0.00871999,0.0347493,0.0240638,0.0185904,0.0239495,0.0115576,0.0412727,0.0116464,0.0106324,0.0111445,0.0461161,0.0368141,0.0223455,0.0218564,0.012749,0,0,0,0,0.0209368
1019,0.00538285,0,0,0,0,0.0235879,0,0,0,0,0,0,0.0441794,0.0345995,0.0487725,0.0148925,0,0,0.0713084,0,0.0498093,0.0463455,0.0356277,0.0583077,0.0214197,0.0166799,0.0212395,0.0230325,0.0131469,0.0167194,0.0145751,0.0398521,0.0166746,0.0239168,0.0265832,0.0246141,0.0531918,0.048997,0.0319671,0.0364563,0.0101099,0.035412,0.0134439,0.0141324,0.0174867,0,0,0.0591808,0,0.0388244,0.0333992,0.04176,0.0164314,0.0195583,0.00665996,0.00855544,0.0348315,0.0239869,0.0184928,0.0239001,0.0119068,0.041461,0.0120722,0.0111157,0.0111138,0.0460401,0.0367956,0.022378,0.0218386,0.0125109,0,0,0,0,0.0212018
1020,0.00526001,0,0,0,0,0.0236634,0,0,0,0,0,0,0.04337,0.0345693,0.0478228,0.0149675,0,0,0.0711725,0,0.0499146,0.0462968,0.0355353,0.0576793,0.021211,0.016509,0.0211191,0.0230521,0.0133909,0.0165665,0.0142452,0.0398448,0.0163634,0.0233498,0.0264083,0.0241964,0.0524197,0.0488571,0.032037,0.0365322,0.0103964,0.0354742,0.0137982,0.0140259,0.0173577,0,0,0.0591397,0,0.0388558,0.0334194,0.0417341,0.0173039,0.0196449,0.00622223,0.00838779,0.0349264,0.0238678,0.0185438,0.023909,0.0122313,0.0415787,0.0124489,0.0115746,0.0112461,0.0459737,0.0366335,0.022393,0.0218641,0.0125549,0,0,0,0,0.0213495
1021,0.00513453,0,0,0,0,0.0236152,0,0,0,0,0,0,0.0426069,0.0345248,0.0469964,0.0151294,0,0,0.0711577,0,0.0499907,0.0462669,0.0355214,0.0570495,0.0210148,0.0163583,0.021037,0.0230276,0.0136713,0.0164606,0.0139867,0.0398145,0.0160681,0.0228292,0.0262143,0.02382,0.0516096,0.0487965,0.0321094,0.0365506,0.0106915,0.0355249,0.0141406,0.0139867,0.0171277,0,0,0.059098,0,0.0388895,0.0335569,0.0417101,0.018005,0.0197139,0.0059426,0.00827945,0.0350201,0.0238747,0.0186734,0.0238853,0.0125508,0.0417925,0.0127966,0.01205,0.0115251,0.0459308,0.0363821,0.0224078,0.0218925,0.012499,0,0,0,0,0.0213069
1022,0.00502906,0,0,0,0,0.0234745,0,0,0,0,0,0,0.0417856,0.0345017,0.0461073,0.0152517,0,0,0.0711128,0,0.0500491,0.0462653,0.0355076,0.0565173,0.0207617,0.0162202,0.0209847,0.0229635,0.0135807,0.0163307,0.013587,0.0398278,0.0157602,0.0222921,0.0259815,0.0234827,0.0508889,0.0487628,0.0321557,0.0365692,0.0109858,0.035547,0.0144899,0.0139834,0.0168174,0,0,0.0590606,0,0.0388868,0.0336152,0.0417185,0.0186946,0.0197824,0.00588776,0.0082467,0.0351054,0.0239007,0.0187642,0.0238341,0.0128775,0.0419875,0.0131537,0.01255,0.0117683,0.0458607,0.0365106,0.0224884,0.0219183,0.0122284,0,0,0,0,0.021184
1023,0.00494022,0,0,0,0,0.0236243,0,0,0,0,0,0,0.0407637,0.034487,0.0450999,0.0153425,0,0,0.0711482,0,0.05005,0.0463256,0.0354747,0.056018,0.0205898,0.0161746,0.0209988,0.0229115,0.0134194,0.0162656,0.0131922,0.0399268,0.015498,0.0217513,0.0258605,0.0232078,0.0501144,0.0487553,0.0321647,0.0366069,0.0112423,0.03558,0.0148481,0.0140453,0.0166999,0,0,0.0589973,0,0.0388879,0.0335546,0.0417401,0.0193612,0.019879,0.00601227,0.00820903,0.0352309,0.0239113,0.018765,0.023829,0.0132174,0.0421946,0.0135293,0.0130413,0.0120308,0.0458247,0.0369166,0.0225525,0.02197,0.0120886,0,0,0,0,0.0212369
1024,0.00483733,0,0,0,0,0.0238004,0,0,0,0,0,0,0.0399272,0.0344711,0.0442365,0.015505,0,0,0.0712565,0,0.0500017,0.046425,0.0354689,0.0555162,0.020391,0.0162418,0.0209591,0.0230309,0.0132902,0.0162775,0.0128665,0.0399704,0.0152054,0.0212343,0.0257026,0.0228965,0.0495989,0.0488022,0.032152,0.0366641,0.0115141,0.0356028,0.0152126,0.0141014,0.0164666,0,0,0.0589839,0,0.0389001,0.0334674,0.0417735,0.0199522,0.0199596,0.00611591,0.00823857,0.035355,0.0239782,0.0188009,0.0238572,0.0135529,0.0424308,0.0138779,0.0134743,0.012243,0.0457899,0.0369587,0.0225822,0.0219993,0.0119855,0,0,0,0,0.0211339
1025,0.0046947,0,0,0,0,0.0236938,0,0,0,0,0,0,0.0391966,0.0344752,0.0434076,0.0157183,0,0,0.0713849,0,0.0500168,0.0465145,0.0355604,0.0550474,0.02011,0.0163411,0.0208187,0.0231108,0.0131181,0.0163026,0.012543,0.0400025,0.0149366,0.0206801,0.0255117,0.0225507,0.0491787,0.0488999,0.0321903,0.036745,0.0116565,0.0356044,0.0155159,0.0142776,0.0162389,0,0,0.0589265,0,0.0389246,0.0335601,0.041663,0.0204206,0.0199899,0.00627491,0.00813438,0.0353746,0.0240831,0.0188702,0.0238918,0.0138666,0.0426711,0.0141556,0.0138357,0.0121127,0.0457753,0.0368282,0.0225955,0.022027,0.0118195,0,0,0,0,0.0210942
1026,0.00458458,0,0,0,0,0.0234413,0,0,0,0,0,0,0.0386162,0.0344927,0.0426646,0.015924,0,0,0.0715246,0,0.0500829,0.0466276,0.0356004,0.0546728,0.0197579,0.0166142,0.0206433,0.0231191,0.0134174,0.0165193,0.0123955,0.0400017,0.014795,0.0201275,0.025361,0.0221985,0.048784,0.0489978,0.0322557,0.0368201,0.0117895,0.0355886,0.0158086,0.0144542,0.0159336,0,0,0.0587966,0,0.0389661,0.0337223,0.0415823,0.0208551,0.0200255,0.0064373,0.00805799,0.0353046,0.0241132,0.0188911,0.0239103,0.0141653,0.0429035,0.0144406,0.0141822,0.0118804,0.0456617,0.0371639,0.0226172,0.0220747,0.0116569,0,0,0,0,0.0211432
1027,0.00450577,0,0,0,0,0.0233679,0,0,0,0,0,0,0.0381094,0.034522,0.041978,0.0161437,0,0,0.0716922,0,0.0500824,0.0467088,0.0356301,0.0544638,0.0195244,0.0169222,0.0205274,0.0230956,0.0136669,0.0167828,0.0124631,0.0399927,0.0146184,0.0195698,0.0250632,0.0218591,0.0484645,0.0490834,0.0322982,0.0368585,0.0118251,0.0355959,0.0160339,0.0146813,0.0155755,0,0,0.0586522,0,0.0389908,0.0337643,0.0415106,0.0211947,0.0200731,0.00650763,0.00804988,0.0352516,0.0242356,0.0189822,0.0239794,0.0144217,0.0431124,0.0146784,0.0145059,0.0113641,0.0455371,0.037212,0.0227042,0.022125,0.0115485,0,0,0,0,0.0213143
