Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,RTHI
All Timesteps RMSE,0.0229261,0,0,0,0,0.0253963,0,0,0,0,0,0,0.042068,0.0360277,0.0443031,0.0229711,0,0,0.059232,0,0.046907,0.0398657,0.034153,0.0491712,0.0206532,0.0105044,0.0245875,0.0286671,0.014342,0.0144134,0.0118333,0.0381535,0.0157562,0.0205971,0.0250648,0.0199317,0.0479885,0.0462522,0.0290353,0.0323151,0.0182659,0.0280912,0.0163575,0.0249924,0.0260396,0,0,0.0567111,0,0.0371636,0.0332843,0.042214,0.0284359,0.0209125,0.018482,0.0183653,0.0474973,0.027454,0.0225812,0.0252943,0.0182438,0.0373105,0.016205,0.0201296,0.0251153,0.0492401,0.0404287,0.0280758,0.0250603,0.0195437,0,0,0,0,0.0232023
0,0.0640129,0,0,0,0,0.062102,0,0,0,0,0,0,0.0515199,0.019601,0.0467014,0.0105273,0,0,0.0676543,0,0.0555453,0.0323949,0.0313369,0.0417368,0.0304718,0.00808001,0.0250615,0.0689717,0.0163543,0.0155496,0.0119129,0.0335285,0.0161472,0.0224523,0.0246926,0.0195974,0.053664,0.0681166,0.0174093,0.0364234,0.011344,0.0206169,0.0110257,0.0136625,0.0514537,0,0,0.0505829,0,0.0380521,0.0146985,0.0423309,0.0130205,0.0270008,0.00981368,0.0248708,0.0712929,0.0271118,0.0197282,0.022547,0.0127119,0.0412303,0.0113357,0.0114239,0.015083,0.0539892,0.0361456,0.0197891,0.0579951,0.0458911,0,0,0,0,0
1,0.0630363,0,0,0,0,0.0610029,0,0,0,0,0,0,0.0504223,0.0196236,0.0462348,0.010814,0,0,0.0669354,0,0.0556843,0.0322277,0.0313513,0.0416696,0.0301436,0.00823918,0.0242887,0.0686758,0.0165403,0.0159255,0.0118006,0.0332548,0.0162184,0.0223346,0.0247616,0.0197857,0.0527134,0.0678371,0.0177006,0.0365784,0.0114838,0.0205457,0.0111302,0.0138517,0.0508343,0,0,0.0493703,0,0.0373053,0.0142474,0.0423084,0.0128796,0.0269051,0.00956062,0.0241855,0.0702727,0.0271157,0.0197203,0.0224735,0.0127971,0.0412502,0.0113577,0.0114767,0.0151487,0.0531928,0.035429,0.0206193,0.0569914,0.0450278,0,0,0,0,0
2,0.0622309,0,0,0,0,0.0600818,0,0,0,0,0,0,0.05031,0.0195127,0.046154,0.0108897,0,0,0.0666395,0,0.0557944,0.0324007,0.0313288,0.0416669,0.0298779,0.00826065,0.0236408,0.0683638,0.0165575,0.0158999,0.0118499,0.0331792,0.0161802,0.0222679,0.0247208,0.0198171,0.0525971,0.0677636,0.0180362,0.0369935,0.0115177,0.020683,0.0111617,0.0140215,0.0504481,0,0,0.0486704,0,0.0366946,0.0142547,0.0422652,0.0128007,0.0267602,0.00962438,0.0235304,0.0693913,0.0271577,0.0197336,0.0225323,0.0128342,0.041284,0.0113119,0.0114206,0.015193,0.052869,0.0339418,0.0215642,0.0560746,0.0443355,0,0,0,0,0
3,0.0617208,0,0,0,0,0.0594877,0,0,0,0,0,0,0.0502725,0.0192931,0.0461297,0.0108687,0,0,0.0668112,0,0.0558856,0.0329027,0.0312961,0.0416649,0.0297036,0.00833131,0.0231091,0.0685077,0.0165453,0.015883,0.0118673,0.0331674,0.0161787,0.0222489,0.0246993,0.0198344,0.0525687,0.0682385,0.0181938,0.0379005,0.011402,0.0208148,0.0111255,0.0141618,0.0503195,0,0,0.0481056,0,0.0363695,0.0143741,0.042287,0.0128123,0.0267832,0.0096808,0.0229331,0.0686801,0.0271433,0.0197387,0.0224846,0.0128223,0.0412613,0.0112538,0.0114161,0.0152024,0.0527589,0.0324639,0.0223848,0.0554164,0.0438842,0,0,0,0,0
4,0.0616619,0,0,0,0,0.0593557,0,0,0,0,0,0,0.0502784,0.0186495,0.0461522,0.0108826,0,0,0.0683531,0,0.0553016,0.0342855,0.0312638,0.041648,0.0295818,0.00836349,0.0226446,0.0694938,0.0165328,0.015873,0.011872,0.0331519,0.0161921,0.0222608,0.0247043,0.0198575,0.0525671,0.070192,0.0180059,0.0400462,0.0113273,0.0208752,0.0110339,0.0142594,0.0505908,0,0,0.0476684,0,0.0362041,0.0144835,0.0423405,0.0127436,0.026926,0.00974661,0.0223476,0.0682892,0.0271403,0.0196945,0.0223654,0.0127445,0.0412001,0.0111914,0.0113916,0.0151708,0.0525194,0.0312469,0.0229259,0.0551417,0.0437766,0,0,0,0,0
5,0.0614686,0,0,0,0,0.0615706,0,0,0,0,0,0,0.0496095,0.0210352,0.0456662,0.0102614,0,0,0.052098,0,0.0509328,0.0285046,0.0318146,0.0413532,0.0320695,0.00851681,0.0284994,0.0639223,0.0166736,0,0.0120007,0.0337366,0.0165696,0.0224699,0.0249189,0.0199578,0.0519696,0.0550887,0.0159808,0.0294211,0.0115854,0.0208297,0.0114012,0.0144568,0.051398,0,0,0.0477129,0,0.0359911,0.0149232,0.0423102,0.0134804,0.0268288,0.00947053,0.0284521,0.0697141,0.0272782,0.0202939,0.0227197,0.0128894,0.0415021,0.0116558,0.0115558,0.0155468,0.0535269,0.030547,0.0232427,0.05789,0.0424944,0,0,0,0,0
6,0.061253,0,0,0,0,0.0612784,0,0,0,0,0,0,0.050307,0.0212071,0.0458195,0.0103097,0,0,0.0517865,0,0.0509459,0.0285303,0.0317474,0.0412135,0.0319308,0.00841052,0.0283615,0.0638496,0.0164138,0.0159507,0.0117804,0.033732,0.0164387,0.022453,0.024832,0.0198452,0.0525302,0.0547335,0.0159393,0.0290442,0.0115524,0.0206607,0.0113359,0.0144528,0.0512044,0,0,0.0477022,0,0.0358382,0.0147167,0.0423097,0.0133735,0.0266518,0.00941368,0.0283328,0.0691853,0.027282,0.020237,0.0226859,0.012869,0.0414537,0.0115789,0.0115272,0.0155129,0.0532221,0.0304347,0.0232594,0.0576397,0.0422192,0,0,0,0,0
7,0.061287,0,0,0,0,0.0611748,0,0,0,0,0,0,0.0506304,0.0212823,0.0460073,0.0102591,0,0,0.0517211,0,0.0509166,0.0285842,0.0316945,0.0412539,0.0317982,0.00853395,0.0282262,0.0639398,0.0163926,0.0158818,0.0117606,0.0337458,0.0164328,0.0224911,0.0248965,0.0197892,0.0527992,0.0547058,0.0158226,0.0288501,0.0115523,0.0204727,0.0112562,0.0144226,0.0513049,0,0,0.0477639,0,0.0357903,0.0146278,0.0423139,0.0132619,0.0266451,0.00950217,0.0281256,0.0689128,0.0272827,0.0202239,0.0226794,0.0128363,0.0414008,0.0115221,0.0114673,0.0154535,0.0529708,0.030529,0.0232023,0.0575916,0.0421858,0,0,0,0,0
8,0.0674214,0,0,0,0,0.0638337,0,0,0,0,0,0,0.0497353,0.0166665,0.0456746,0.0108284,0,0,0.0805044,0,0.0533125,0.0383634,0.0312192,0.0412091,0.0291514,0.00872537,0.0221413,0.0746112,0.0163988,0.0157995,0.0116813,0.0333622,0.0163552,0.0222486,0.024775,0.0199459,0.0520104,0.0788416,0.0226303,0.0354155,0.0109614,0.0202276,0.010595,0.014256,0.0538466,0,0,0.0469307,0,0.0358005,0.0137803,0.0423265,0.0122662,0.0262128,0.00969206,0.0217764,0.0680512,0.0273056,0.0193809,0.0220566,0.0125485,0.0408406,0.0109269,0.0112712,0.0147492,0.0516897,0.0303565,0.0225654,0.0593737,0.0474284,0,0,0,0,0
9,0.0669606,0,0,0,0,0.063786,0,0,0,0,0,0,0.0500224,0.0174156,0.0459313,0.0109105,0,0,0.0793972,0,0.0536659,0.0371769,0.0312024,0.0412503,0.0290615,0.00863017,0.0223728,0.0726162,0.0163844,0.01576,0.0117199,0.0332977,0.0162803,0.0222349,0.0247596,0.0199542,0.0522626,0.0771347,0.0223634,0.0337755,0.0111276,0.0200195,0.0107013,0.0142138,0.0540453,0,0,0.0472575,0,0.0357625,0.013869,0.0421712,0.0121934,0.0259464,0.00979447,0.0221053,0.0685788,0.0272091,0.0194601,0.0222347,0.0126594,0.0409423,0.0109711,0.0113401,0.0147226,0.0520232,0.031364,0.0224812,0.0592533,0.0470152,0,0,0,0,0
10,0.0669011,0,0,0,0,0.0639652,0,0,0,0,0,0,0.0502585,0.01799,0.0459689,0.0109799,0,0,0.0777267,0,0.0536158,0.0360738,0.031244,0.0412069,0.0291141,0.00861724,0.0228345,0.0716678,0.0163449,0.0157223,0.0116965,0.0332749,0.0162552,0.0222093,0.0247364,0.0199141,0.0524419,0.0756028,0.0219746,0.0325858,0.0111331,0.0196982,0.0107496,0.0142062,0.054268,0,0,0.0472886,0,0.0358001,0.0137749,0.0419903,0.0121985,0.0258733,0.00985825,0.0226059,0.0687225,0.0271268,0.0194891,0.0223274,0.0127062,0.0409873,0.0109582,0.0113873,0.0147018,0.0519482,0.0321447,0.0222127,0.0594832,0.0469055,0,0,0,0,0
11,0.0668023,0,0,0,0,0.0640722,0,0,0,0,0,0,0.0504539,0.0185359,0.0459668,0.0110426,0,0,0.0756075,0,0.0533996,0.0349661,0.0313874,0.0411207,0.0292004,0.00850891,0.0235229,0.0710451,0.0162616,0.0156731,0.0116527,0.0333514,0.0162324,0.0221902,0.0247402,0.019818,0.0526003,0.073916,0.0215583,0.0314837,0.01095,0.0189975,0.0107359,0.0142453,0.0542618,0,0,0.0468661,0,0.0364218,0.0132708,0.0417424,0.0122366,0.0259387,0.00995588,0.0233189,0.0689156,0.0270706,0.0195136,0.0224154,0.0127509,0.0409877,0.0109161,0.0114395,0.0146039,0.0514644,0,0.0214888,0.0597913,0.0467673,0,0,0,0,0
12,0.0637939,0,0,0,0,0.0638951,0,0,0,0,0,0,0.0510655,0.0211178,0.0460999,0.0104918,0,0,0.0526072,0,0.0506485,0.0289857,0.031811,0.0409414,0.0312427,0.00839573,0.0289899,0.0656719,0.0161661,0.0156851,0.011677,0.0336942,0.0162785,0.0223669,0.0248631,0.0196537,0.053124,0.0566123,0.0149219,0.0291387,0.0110519,0.0195348,0.0110186,0.0143009,0.0538584,0,0,0.04767,0,0.0365834,0.0140807,0.041609,0.0128746,0.0261796,0.00968022,0.0288234,0.0694672,0.0271274,0.0201098,0.0227548,0.0128248,0.0412012,0.0112488,0.011463,0.0148484,0.0518292,0.0345421,0.0211662,0.060161,0.0439148,0,0,0,0,0
13,0.0643182,0,0,0,0,0.0645579,0,0,0,0,0,0,0.0509443,0.0209954,0.0459977,0.0103724,0,0,0.0525968,0,0.0505148,0.028992,0.0318271,0.0408782,0.0310486,0.00844383,0.029233,0.065867,0.0161384,0.0156957,0.011682,0.0336479,0.016276,0.0223791,0.0248289,0.0196566,0.0530122,0.0566854,0.0147614,0.0291667,0.0109934,0.0195067,0.0109568,0.0142014,0.0543247,0,0,0.0474166,0,0.0368832,0.0138961,0.0414946,0.0128022,0.0261715,0.00971793,0.0290172,0.0697364,0.0270931,0.0202046,0.0227469,0.0128039,0.0411472,0.0112214,0.0114606,0.0147048,0.0516904,0.0358883,0.0206406,0.0606917,0.0443814,0,0,0,0,0
14,0.0648535,0,0,0,0,0.0651411,0,0,0,0,0,0,0.0508943,0.020838,0.0459654,0.0103451,0,0,0.0526051,0,0.0503352,0.0290371,0.0318351,0.0407925,0.0310758,0.00851898,0.0294143,0.0661471,0.016099,0.0157162,0.0116117,0.0337195,0.0163524,0.0224411,0.0247952,0.0196419,0.0529642,0.0567513,0.0146854,0.0291604,0.0109586,0.0190313,0.0109109,0.0141721,0.0547881,0,0,0.0469569,0,0.0368736,0.0135427,0.0414039,0.0127745,0.0261853,0.00969042,0.0291723,0.0699959,0.0270495,0.0202468,0.0227362,0.0127629,0.0410899,0.0112203,0.0114452,0.0146326,0.0518115,0.0372938,0.0200955,0.0611968,0.0449089,0,0,0,0,0
15,0.0657049,0,0,0,0,0.0655994,0,0,0,0,0,0,0.0506996,0.0204764,0.0458386,0.0102638,0,0,0.0549432,0,0.050673,0.0294441,0.0318087,0.0406713,0.0308421,0.00857755,0.0290115,0.0672996,0.0160342,0.015711,0.0115328,0.0337448,0.0164062,0.0224468,0.0248221,0.0196154,0.0527616,0.0589998,0.0154287,0.0295646,0.0108581,0.0186485,0.0108212,0.0141284,0.0552043,0,0,0.0469067,0,0.0369164,0.0130418,0.0413328,0.0126832,0.0261532,0.00966872,0.0287482,0.0701016,0.0270378,0.0201632,0.022643,0.0127114,0.0410069,0.0111639,0.0114246,0.0145318,0.0516691,0.0386589,0.0193211,0.0616254,0.0456994,0,0,0,0,0
16,0.0660904,0,0,0,0,0.0658903,0,0,0,0,0,0,0.050576,0.0204091,0.0457414,0.0101695,0,0,0.0558684,0,0.0509875,0.0296101,0.0317799,0.0406321,0.0307918,0.00860925,0.0290226,0.0677583,0.01604,0.0156936,0.0115407,0.0337336,0.0164577,0.0224682,0.0248429,0.019607,0.0526493,0.0598043,0.0156365,0.0297307,0.0108513,0.0186067,0.0108116,0.0140984,0.0555192,0,0,0.0468454,0,0.0370869,0.0127558,0.0412374,0.012638,0.0261836,0.00972296,0.0287256,0.0703954,0.0270272,0.020107,0.0226504,0.0127333,0.0410116,0.0111709,0.0114622,0.0144257,0.0516863,0.0394026,0.0189577,0.0619632,0.0460671,0,0,0,0,0
17,0.0662906,0,0,0,0,0.0662409,0,0,0,0,0,0,0.0505259,0.0204785,0.0456793,0.0100728,0,0,0.0556589,0,0.0510194,0.0296805,0.031778,0.0405789,0.030874,0.00864072,0.0294566,0.0678042,0.0161333,0.0156601,0.0115049,0.033771,0.016524,0.0225173,0.0248467,0.0195831,0.0526111,0.0596036,0.0154069,0.0299661,0.0108225,0.0185141,0.0108092,0.0140872,0.0558519,0,0,0.0466084,0,0.0372614,0.012484,0.041137,0.0126159,0.0262337,0.00973376,0.0290899,0.0709289,0.0270174,0.020115,0.022629,0.0127364,0.0410065,0.0111857,0.0114817,0.0144005,0.0518875,0.0403881,0.0185566,0.0623639,0.0461985,0,0,0,0,0
18,0.0664855,0,0,0,0,0.0668341,0,0,0,0,0,0,0.0505573,0.0208052,0.0456438,0.00995606,0,0,0.0534757,0,0.0507923,0.0296181,0.031819,0.0405022,0.0310979,0.00866243,0.0304805,0.0674913,0.0163844,0.0156509,0.0114166,0.033832,0.0165665,0.0225587,0.0248719,0.0195462,0.0526246,0.0576484,0.0147078,0.0297206,0.0107942,0.0183336,0.0108222,0.014109,0.0562225,0,0,0.0469721,0,0.0374216,0.0122673,0.0410305,0.0126712,0.0262861,0.00971628,0.0300165,0.0718939,0.0270315,0.0201949,0.0226151,0.0127269,0.0409986,0.0112246,0.0115313,0.0143732,0.0523829,0.041459,0.0181286,0.0629669,0.0461498,0,0,0,0,0
19,0.0668675,0,0,0,0,0.0671442,0,0,0,0,0,0,0.0504442,0.0206798,0.0456101,0.00988939,0,0,0.0539569,0,0.0507743,0.0297706,0.0318278,0.0404804,0.0308956,0.0086946,0.0305741,0.0677908,0.0165085,0.0156532,0.011382,0.0338398,0.0165698,0.022569,0.0248308,0.019545,0.0525269,0.0581147,0.0149685,0.0298062,0.0107188,0.0182882,0.0108007,0.0140529,0.0564155,0,0,0.0469351,0,0.0375738,0.0118855,0.0409309,0.0126756,0.0262412,0.00972908,0.0300323,0.0721754,0.0270337,0.0201808,0.0226063,0.0127259,0.0409659,0.0112154,0.0115988,0.0142497,0.0524213,0.0420194,0.0177302,0.0632612,0.0463166,0,0,0,0,0
20,0.0670317,0,0,0,0,0.0674269,0,0,0,0,0,0,0.0503406,0.0206877,0.0455716,0.00980877,0,0,0.0535944,0,0.0506743,0.0298272,0.0318416,0.0404425,0.0308947,0.00869411,0.0310003,0.0678564,0.016488,0.0156242,0.0113945,0.0338125,0.0165586,0.0225591,0.0248021,0.0195171,0.0524268,0.0578708,0.014854,0.029814,0.0106631,0.0181991,0.0107879,0.0140296,0.0565216,0,0,0.0469378,0,0.037664,0.0116357,0.0408822,0.0127157,0.0262518,0.00967893,0.0303599,0.0727612,0.0270328,0.0201579,0.0225954,0.0126921,0.0409284,0.0111894,0.0116093,0.0141679,0.0528312,0.0425805,0.0174143,0.0635397,0.0462946,0,0,0,0,0
21,0.0672814,0,0,0,0,0.0676544,0,0,0,0,0,0,0.0502668,0.0206769,0.0454638,0.00987379,0,0,0.0537265,0,0.0506076,0.0299385,0.0317169,0.040296,0.0313324,0.00872867,0.0309898,0.0681129,0.0165182,0.0156362,0.0113483,0.0337609,0.0165864,0.0225955,0.0248094,0.0194776,0.0523394,0.0580829,0.0148669,0.0298746,0.0107244,0.0182616,0.0108133,0.0140801,0.0566318,0,0,0.0465545,0,0.037799,0.011411,0.0408851,0.0127232,0.0264448,0.00964769,0.0303453,0.0731329,0.0270225,0.0201836,0.02259,0.0126617,0.0410051,0.0111907,0.0115787,0.0141672,0.0530156,0.0426706,0.0172224,0.0637577,0.0464494,0,0,0,0,0
22,0.0675919,0,0,0,0,0.0678777,0,0,0,0,0,0,0.0503431,0.0207033,0.0453105,0.0101778,0,0,0.0539961,0,0.0505628,0.0301235,0.0314436,0.0400259,0.0324556,0.0088247,0.03069,0.0684787,0.0166293,0.0157295,0.0113024,0.0337105,0.0167012,0.022744,0.0248594,0.0194196,0.0523921,0.0584366,0.0149094,0.0299573,0.0108763,0.0182466,0.0108894,0.0141465,0.0567786,0,0,0.0462685,0,0.0378831,0.0112494,0.0409979,0.0127246,0.0269054,0.00959788,0.0301656,0.0737499,0.027011,0.020228,0.0225827,0.0126291,0.0411669,0.0111929,0.0115168,0.0143612,0.0533577,0.0427789,0.0171012,0.0639015,0.0467293,0,0,0,0,0
23,0.0675641,0,0,0,0,0.0678334,0,0,0,0,0,0,0.050421,0.0207004,0.0452493,0.0103305,0,0,0.0540795,0,0.0505474,0.0302239,0.0312688,0.0399189,0.0328782,0.00896584,0.0305221,0.0686781,0.0167208,0.015815,0.0113131,0.0337873,0.016835,0.0229201,0.0249517,0.0194357,0.0524832,0.0586067,0.0149709,0.0300467,0.0111626,0.0181666,0.0110965,0.0141285,0.0566196,0,0,0.0467826,0,0.0379335,0.0110265,0.041053,0.0128346,0.0271821,0.00976505,0.0302179,0.0744239,0.0268815,0,0.0228099,0.0127669,0.0413965,0.0113274,0.0115603,0.0147089,0.053779,0.0429812,0.0170328,0.0638774,0.0467868,0,0,0,0,0
24,0.0675203,0,0,0,0,0.0676853,0,0,0,0,0,0,0.050391,0.0206945,0.0452308,0.010276,0,0,0.0541094,0,0.0505513,0.0302846,0.0312564,0.0398374,0.0329063,0.00907119,0.0305402,0.0689331,0.0166927,0.015771,0.0112681,0.0340107,0.0169746,0.0230605,0.0250378,0.0194539,0.0525144,0.0587308,0.0150214,0.0300929,0.0111493,0.0182211,0.0111117,0.0140936,0.0563988,0,0,0.0468968,0,0.038021,0.0108971,0.0410993,0.0128734,0.0272294,0.00977003,0.030269,0.0746846,0.0268621,0,0.0228324,0.0127371,0.0413849,0.0113165,0.0115053,0.0147846,0.0538876,0.0430774,0.0169072,0.0638637,0.046802,0,0,0,0,0
25,0.0674249,0,0,0,0,0.0674568,0,0,0,0,0,0,0.0503779,0.0206881,0.0452843,0.0102828,0,0,0.054103,0,0.0505924,0.0303037,0.0312968,0.0398375,0.0328869,0.00899773,0.0305816,0.0691064,0.0167488,0.0157776,0.0113218,0.0339143,0.0169048,0.0230122,0.0250224,0.0194473,0.0524859,0.058823,0.0150913,0.0301084,0.0110903,0.0181361,0.0110787,0.0141312,0.0561411,0,0,0.0469554,0,0.0380664,0.0107547,0.0411192,0.0128855,0.0272488,0.00982905,0.0303107,0.0749888,0.0268489,0,0.022873,0.0127712,0.0413143,0.011351,0.0115537,0.014807,0.0541127,0.0429983,0.0169036,0.0638195,0.0468048,0,0,0,0,0
26,0.0672398,0,0,0,0,0.0674241,0,0,0,0,0,0,0.0503564,0.0206483,0.0453607,0.0103071,0,0,0.054004,0,0.0506491,0.0302912,0.0313168,0.0399024,0.0328962,0.00886458,0.0307055,0.0691901,0.0168272,0.0157998,0.0114014,0.0337113,0.0167784,0.0228958,0.0250045,0.0194257,0.0524671,0.058796,0.0151572,0.0301304,0.0110935,0.0181844,0.011079,0.0142039,0.0558086,0,0,0.0467345,0,0.0381,0.0105869,0.0411497,0.0128946,0.0272823,0.00982929,0.0304111,0.0750555,0.0268425,0,0.0228759,0.0127779,0.0412881,0.0113586,0.0115663,0.0148217,0.0541642,0.0427072,0.0169051,0.063648,0.0467185,0,0,0,0,0
27,0.0671025,0,0,0,0,0.0674328,0,0,0,0,0,0,0.0503826,0.0206296,0.0453882,0.0102825,0,0,0.053909,0,0.0506944,0.0302602,0.0313025,0.0399224,0.0329262,0.00890213,0.0308153,0.0693861,0.0167902,0.0158059,0.0113372,0.03378,0.0168097,0.0229008,0.0250224,0.0194313,0.0524562,0.0588231,0.0152127,0.0301504,0.0111513,0.0182626,0.0111078,0.014245,0.0555184,0,0,0.0463927,0,0.0381451,0.0103881,0.041198,0.0129055,0.0273239,0.0097964,0.0305392,0.0751194,0.0268353,0,0.0228525,0.0127659,0.0412809,0.0113609,0.0115355,0.0148476,0.0541277,0.0426707,0.0168315,0.0635393,0.0466334,0,0,0,0,0
28,0.0670204,0,0,0,0,0.0674195,0,0,0,0,0,0,0.0504259,0.0206258,0.0453594,0.0102743,0,0,0.053828,0,0.0507463,0.0302339,0.0312971,0.0397927,0.0329455,0.00891555,0.0309106,0.0696738,0.016775,0.0158095,0.0113114,0.0338215,0.0168402,0.0229291,0.025018,0.0194248,0.0524836,0.0589214,0.015261,0.0301505,0.0111893,0.0183096,0.0111146,0.014253,0.0552341,0,0,0.0460732,0,0.038187,0.0101692,0.0412898,0.0129364,0.0273513,0.00976168,0.030653,0.0751773,0.0268518,0,0.0228418,0.012759,0.0412853,0.011362,0.0115162,0.014884,0.0540494,0.0427943,0.0167333,0.0635073,0.0465462,0,0,0,0,0
29,0.0669416,0,0,0,0,0.0673616,0,0,0,0,0,0,0.0504885,0.0206188,0.0453792,0.0103175,0,0,0.0537261,0,0.0507364,0.0302087,0.0312925,0.0395665,0.0330119,0.00894478,0.0309946,0.0699944,0.0168054,0.0157859,0.0113183,0.0338437,0.016885,0.0229747,0.0250016,0.0194135,0.0525536,0.0590247,0.0153023,0.0301237,0.0112319,0.0183471,0.0111371,0.0142644,0.0549369,0,0,0.0457684,0,0.0382211,0.00995918,0.0413339,0.0129922,0.0273742,0.00972067,0.0307429,0.0751493,0.0268767,0,0.0228374,0.0127338,0.0413259,0.011352,0.0114963,0.0149528,0.0539338,0.0428571,0.0166684,0.0634896,0.0464293,0,0,0,0,0
30,0.066851,0,0,0,0,0.0672712,0,0,0,0,0,0,0.0505114,0.0206396,0.045369,0.0103902,0,0,0.0536049,0,0.0507102,0.0301477,0.0312957,0.039687,0.0331062,0.00897188,0.031081,0.0703252,0.0168092,0.0157458,0.0113176,0.0338582,0.0169008,0.0230273,0.0249962,0.0194125,0.0526124,0.0590944,0.0152983,0.0300754,0.011328,0.0183718,0.0112108,0.0142824,0.0546223,0,0,0.0454063,0,0.0382372,0.00973831,0.0413729,0.0130578,0.0273889,0.00965006,0.0308342,0.0750988,0.0269314,0,0.022809,0.0126738,0.0414588,0.0113227,0.0114473,0.0150203,0.0537609,0.0428099,0.0166165,0.0634393,0.0462616,0,0,0,0,0
31,0.0667349,0,0,0,0,0.0672147,0,0,0,0,0,0,0.0505511,0.0206587,0.0453387,0.0104017,0,0,0.0534352,0,0.0506892,0.0301172,0.0313249,0.0398016,0.0330753,0.00896888,0.031226,0.0707316,0.016768,0.0157057,0.0112898,0.0338713,0.0168713,0.0230382,0.0249615,0.019415,0.0526307,0.0591128,0.015307,0.0300651,0.0113706,0.0183636,0.0112417,0.0142676,0.0542512,0,0,0.0450171,0,0.0382562,0.00955882,0.0414388,0.0130882,0.0273733,0.00963688,0.0309475,0.0750898,0.0269605,0,0.0227812,0.0126685,0.0414824,0.0113313,0.0114432,0.0150746,0.0535639,0.0427804,0.0165547,0.0633925,0.0460448,0,0,0,0,0
32,0.0665298,0,0,0,0,0.0671434,0,0,0,0,0,0,0.0505916,0.0206516,0.0454321,0.010153,0,0,0.0531605,0,0.0506506,0.0300767,0.0313755,0.0399177,0.0327225,0.00893001,0.0315418,0.070974,0.0167369,0.0156815,0.0112953,0.033852,0.0168337,0.0230099,0.0249203,0.0194309,0.0526879,0.0590556,0.0153423,0.030077,0.0112901,0.0183194,0.0111925,0.0141562,0.0537868,0,0,0.0444631,0,0.0382699,0.00933288,0.041519,0.0130697,0.027355,0.00961025,0.0311258,0.0750042,0.0269733,0,0.0227635,0.0127071,0.0413627,0.0113899,0.0114901,0.0151023,0.0532617,0.0429519,0.0164657,0.0633373,0.0457193,0,0,0,0,0
33,0.0633343,0,0,0,0,0.0670729,0,0,0,0,0,0,0.0488537,0.0205129,0.0437072,0.0176789,0,0,0.0529794,0,0.0498521,0.0305439,0.0306855,0.0382652,0.0242691,0.00917028,0.0339704,0.0693215,0.0159112,0.0148673,0.0102492,0.033957,0.0167672,0.0225068,0.0245235,0.0187475,0.0509655,0.0583206,0.0151373,0.0303961,0.0120514,0.0177212,0.0134634,0.0203011,0.0484538,0,0,0.0420053,0,0.0360413,0.00717738,0.0399946,0.0150491,0,0.0164902,0.0424033,0.0721552,0.0259622,0,0.0260594,0.0173263,0.0440541,0.0133253,0.0162255,0.016041,0.0515132,0.0445251,0.0137009,0.0643403,0.040967,0,0,0,0,0
34,0.0631994,0,0,0,0,0.0670283,0,0,0,0,0,0,0.0488998,0.0205332,0.0438044,0.0175752,0,0,0.052748,0,0.0498011,0.030404,0.0307433,0.038374,0.0239704,0.00909835,0.0340831,0.0696075,0.0158386,0.0148152,0.0102103,0.0340009,0.0166956,0.0224727,0.0245304,0.0187665,0.0510044,0.0582767,0.0152402,0.0304076,0.0118519,0.0176605,0.013535,0.0202247,0.0481684,0,0,0.0413566,0,0.0360545,0.0071166,0.0399732,0.015163,0,0.0165922,0.0424785,0.0719688,0.0259153,0,0.0261197,0.0173335,0.0440604,0.0132975,0.0161951,0.0162871,0.0511658,0.0449724,0.0135764,0.064386,0.0406696,0,0,0,0,0
35,0.0657187,0,0,0,0,0.0666115,0,0,0,0,0,0,0.0506296,0.0207475,0.04565,0.0089313,0,0,0.0522227,0,0.0505805,0.0295679,0.0313706,0.0401635,0.0320561,0.00885498,0.0324042,0.0716126,0.0166345,0.0155766,0.0112968,0.0337829,0.0166794,0.0229233,0.0249137,0.0195125,0.0527237,0.0586961,0.0156996,0.0300372,0.0111834,0.018144,0.0112799,0.0138992,0.05256,0,0,0.0428298,0,0.0383896,0.00899013,0.0419455,0.0134228,0.0280711,0.00905813,0.0316108,0.0744235,0.0270168,0,0.0226514,0.0125223,0.0412608,0.0114556,0.0112895,0.0158679,0.0522805,0.0443043,0.0161895,0.0630368,0.0446795,0,0,0,0,0
