Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,RASI,,x80
9,0.11455,0,0,0,0,0.15826,0,0,0,0,0,0,0.011954,0.0572126,0.0152726,0.0115653,0,0,0.189894,0,0.0669001,0.110961,0.0199605,0.0280326,0.0470917,0.00752723,0.0505379,0.176599,0.0106702,0.00875295,0.012726,0.0426251,0.0118966,0.0124157,0.0113257,0.0236166,0.0234628,0.15042,0.0167714,0.144137,0.0221386,0.0341111,0.0295017,0.11067,0,0,0.0656183,0,0.0275934,0.0306249,0.0532223,0.0428095,0.0487207,0.0131644,0.0440018,0.164207,0.00644745,0.0338279,0.0100056,0.00716483,0.0206856,0.045429,0.0242767,0.022905,0.0162875,0.103274,0.01043,0.0168171,0.153236,0.071925,0,0,0,0,0,0
10,0.11427,0,0,0,0,0.157856,0,0,0,0,0,0,0.0132341,0.057349,0.0136058,0.0115494,0,0,0.190019,0,0.0668521,0.110941,0.0197355,0.0278911,0.0473244,0.00716234,0.0508348,0.175774,0.0105249,0.00821987,0.0120635,0.0424871,0.0124409,0.0125929,0.0112215,0.023395,0.0252204,0.150257,0.0169515,0.144033,0.021567,0.0340388,0.0289645,0.110532,0,0,0.065528,0,0.0276648,0.0306659,0.0531253,0.043042,0.0488839,0.0127296,0.0436557,0.163934,0.00632475,0.0340503,0.0101383,0.00703411,0.0207722,0.0458387,0.0242264,0.0228194,0.0162041,0.10295,0.0106356,0.0168666,0.152828,0.0717016,0,0,0,0,0,0
11,0.114183,0,0,0,0,0.157965,0,0,0,0,0,0,0.0146532,0.0574385,0.0124734,0.0116098,0,0,0.190191,0,0.0667817,0.110992,0.0196236,0.0283785,0.0475672,0.00709629,0.0518295,0.176077,0.0101923,0.00785682,0.0114168,0.0425183,0.0127457,0.0125746,0.010945,0.0233252,0.0265775,0.150614,0.0170993,0.143956,0.0212418,0.0338927,0.0285154,0.110349,0,0,0.0656495,0,0.0276108,0.0306222,0.0529462,0.0433152,0.0488144,0.0125082,0.0438571,0.164137,0.00612982,0.0342087,0.0102732,0.0067395,0.0210287,0.0463065,0.0242815,0.0229502,0.0165387,0.102931,0.0107756,0.0170209,0.152924,0.0714199,0,0,0,0,0,0
12,0.114045,0,0,0,0,0.157691,0,0,0,0,0,0,0.0158386,0.0575303,0.0116187,0.0116383,0,0,0.19042,0,0.0667249,0.111084,0.0194545,0.0290932,0.0475085,0.00720557,0.0525789,0.175731,0.00986425,0.00776585,0.0108547,0.0424478,0.0128591,0.0124142,0.0107457,0.02323,0.0279031,0.150692,0.017208,0.143864,0.0209239,0.0337281,0.0279436,0.110222,0,0,0.0656214,0,0.0275442,0.0305781,0.0528662,0.0434789,0.0488444,0.012208,0.0437839,0.16398,0.00606169,0.0343935,0.0103972,0.0065929,0.0211965,0.046701,0.0242619,0.0230042,0.0168756,0.102639,0.0108071,0.017182,0.152654,0.0712015,0,0,0,0,0,0
13,0.113946,0,0,0,0,0.157652,0,0,0,0,0,0,0.0171648,0.0576934,0.0106827,0.0118515,0,0,0.190515,0,0.066564,0.111067,0.0193331,0.0296229,0.0473718,0.00738844,0.053657,0.175827,0.00948441,0.00783318,0.010313,0.0423478,0.0127397,0.0122252,0.0105877,0.0230871,0.0291627,0.151023,0.0173749,0.143691,0.0204463,0.0336123,0.0274079,0.110034,0,0,0.0656264,0,0.0275717,0.0305233,0.0529495,0.0437455,0.0487516,0.0121798,0.0440363,0.164005,0.00595305,0.034675,0.010346,0.00646974,0.0215043,0.0470496,0.0242461,0.0232564,0.0172632,0.102421,0.0107965,0.0173757,0.152581,0.0709072,0,0,0,0,0,0
14,0.114012,0,0,0,0,0.157407,0,0,0,0,0,0,0.0183979,0.0578097,0.00967342,0.0121422,0,0,0.190794,0,0.0664606,0.111096,0.0191304,0.030179,0.0469772,0.00745076,0.0545839,0.175642,0.00911319,0.00800181,0.00982597,0.0421991,0.0123493,0.0119029,0.010369,0.0230447,0.0302948,0.151308,0.0174909,0.1436,0.01991,0.0335454,0.0268006,0.109986,0,0,0.0654627,0,0.0276542,0.0305732,0.0531905,0.0441356,0.0487132,0.0121751,0.0442179,0.163789,0.00598467,0.0350823,0.0102732,0.00633994,0.021825,0.0472933,0.0242803,0.0235933,0.0175797,0.102067,0.0107048,0.0174974,0.152179,0.07082,0,0,0,0,0,0
15,0.114026,0,0,0,0,0.1572,0,0,0,0,0,0,0.019793,0.0578979,0.00867375,0.0125251,0,0,0.19111,0,0.0663944,0.11109,0.0189204,0.0306421,0.0464822,0.00737482,0.0556302,0.175787,0.00874136,0.00808189,0.00935481,0.0420811,0.01189,0.011428,0.0100707,0.0231223,0.0313594,0.151755,0.0175601,0.143454,0.019908,0.0334303,0.0262573,0.109865,0,0,0.0652885,0,0.0276451,0.0305058,0.0534071,0.0446121,0.0485842,0.0122605,0.0445617,0.163628,0.00606887,0.0354021,0.0102626,0.0062883,0.0222689,0.0474851,0.0243759,0.0240625,0.018399,0.101688,0.0107063,0.0175964,0.15185,0.0706375,0,0,0,0,0,0
16,0.113704,0,0,0,0,0.15683,0,0,0,0,0,0,0.0213172,0.0580595,0.00767282,0.0124409,0,0,0.191196,0,0.0662877,0.110967,0.0187039,0.0308651,0.0458013,0.00721952,0.0560668,0.175765,0.00837791,0.00810041,0.00883563,0.0418746,0.011402,0.0108832,0.00973403,0.0232971,0.0325601,0.152116,0.017652,0.143279,0.0201663,0.0333419,0.025893,0.109632,0,0,0.0650357,0,0.0276878,0.0303194,0.0535161,0.0451245,0.0483327,0.0124471,0.0446436,0.163447,0.00597005,0.0355329,0.0101498,0.00620759,0.0229464,0.0479014,0.0246829,0.0247338,0.0195729,0.101286,0.0108793,0.0175696,0.151386,0.0701635,0,0,0,0.0196527,0,0
17,0.113066,0,0,0,0,0.156731,0,0,0,0,0,0,0.0227704,0.0582189,0.00684015,0.0130128,0,0,0.191057,0,0.0661052,0.11076,0.0185361,0.0309025,0.0455832,0.00719183,0.0572852,0.176169,0.00808683,0.00807052,0.00837014,0.0417405,0.0111414,0.0106465,0.00946507,0.0234265,0.0339025,0.152717,0.0177682,0.14309,0.0204128,0.0333237,0.0251771,0.109017,0,0,0.064409,0,0.027733,0.030027,0.0537123,0.0449139,0.0479715,0.0125939,0.0452207,0.163169,0.00623919,0.0357846,0.0100172,0.00651128,0.0231674,0.0478665,0.0245315,0.0248978,0.0207163,0.10073,0.0112153,0.0174219,0.151321,0.0693413,0,0,0,0,0,0
18,0.111088,0,0,0,0,0.156255,0,0,0,0,0,0,0.0241974,0.0584894,0.00599438,0.0131892,0,0,0.190028,0,0.0658371,0.110108,0.0183474,0.0305477,0.0451059,0.00717829,0.0577601,0.175969,0.00794193,0.00819041,0.00789748,0.0414648,0.0109812,0.010404,0.0092232,0.0235557,0.0350729,0.153084,0.0177801,0.142944,0.0209016,0.0332952,0.0246877,0.107746,0,0,0.0635419,0,0.0277817,0.02959,0.0538377,0.0450753,0.0474492,0.0129414,0.0455601,0.162594,0.00632461,0.0359066,0.00969174,0.00655761,0.0236619,0.0480174,0.0246312,0.0254045,0.0220917,0.0999567,0.011553,0.0172088,0.151168,0.0673789,0,0,0,0,0,0
