Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,RASI,,x80
136,0.106146,0,0,0,0,0.151887,0,0,0,0,0,0,0.0281395,0.0580734,0.0258958,0.0135876,0,0,0.19312,0,0.0678343,0.113619,0.0205596,0.0288217,0.0351236,0.0193743,0.0408705,0.169794,0.0157121,0.0221402,0.0237978,0.0461552,0.00266785,0.0062981,0.00487308,0.0300956,0.037476,0.153641,0.0169952,0.145233,0.0186516,0.0361719,0.0191761,0.10724,0,0,0.0630589,0,0.028505,0.0277532,0.0538278,0.0206243,0.0472841,0.0033438,0.0437911,0.159172,0.00634107,0.0335818,0.00437238,0.00764333,0.00693232,0.0352816,0.0116156,0.00747797,0.0116903,0.0997626,0.0160409,0.01207,0.148093,0.0679977,0,0,0,0.0186927,0,0
137,0.105976,0,0,0,0,0.151889,0,0,0,0,0,0,0.0269526,0.0581057,0.0254336,0.0128842,0,0,0.193178,0,0.0678216,0.113592,0.0206507,0.0286501,0.0357375,0.0181974,0.0409597,0.169545,0.0153739,0.0213736,0.0232489,0.0463084,0.00327662,0.00706453,0.00525075,0.029605,0.0358236,0.153575,0.0169762,0.14512,0.0184332,0.0360777,0.0193805,0.107162,0,0,0.0630911,0,0.0284738,0.0277631,0.0537283,0.0211483,0.0472327,0.00379301,0.0432925,0.159294,0.00630475,0.0334569,0.00451095,0.00764048,0.00719051,0.0355141,0.0118457,0.00777805,0.0115206,0.0998444,0.0159949,0.0120867,0.148127,0.0678508,0,0,0,0.0181847,0,0
138,0.105801,0,0,0,0,0.151903,0,0,0,0,0,0,0.0257115,0.0581251,0.0249204,0.012265,0,0,0.193309,0,0.0678293,0.113524,0.0207411,0.028447,0.036335,0.0169464,0.0410526,0.169286,0.0150971,0.0206204,0.0225497,0.046491,0.00401137,0.00774652,0.00562485,0.0291451,0.0340294,0.153566,0.0169448,0.145025,0.0181319,0.0360215,0.019566,0.107083,0,0,0.0631121,0,0.0285014,0.0276797,0.0536084,0.0217757,0.0472052,0.00413369,0.0427801,0.159419,0.00624299,0.0333976,0.00555647,0.00756929,0.00746575,0.0358884,0.012096,0.00814333,0.0110254,0.0999228,0.0160618,0.0121144,0.148235,0.0676961,0,0,0,0.0176797,0,0
139,0.10561,0,0,0,0,0.151894,0,0,0,0,0,0,0.0242524,0.0581975,0.0243571,0.0117399,0,0,0.193341,0,0.0677523,0.113344,0.0208143,0.0281409,0.0369278,0.015726,0.0411587,0.169029,0.0147251,0.0199387,0.021909,0.0465325,0.00483055,0.00853125,0.00599737,0.0287013,0.0318463,0.153573,0.0169526,0.144924,0.0176249,0.0359581,0.0196057,0.107009,0,0,0.0630863,0,0.0284901,0.0276409,0.0534828,0.0223762,0.0472194,0.00438003,0.0422835,0.159546,0.00613491,0.0333708,0.00599245,0.00741983,0.00778369,0.036229,0.0123533,0.00853381,0.0100062,0.0999828,0.016163,0.0121873,0.148272,0.0675431,0,0,0,0.0174684,0,0
140,0.105435,0,0,0,0,0.15186,0,0,0,0,0,0,0.0226247,0.0582668,0.0238055,0.0113284,0,0,0.193417,0,0.067646,0.113234,0.0208528,0.027783,0.0375354,0.0145654,0.0412503,0.168744,0.014266,0.0192276,0.0213658,0.0465537,0.00565286,0.00920117,0.00636155,0.0282889,0.0294038,0.153597,0.0169903,0.144834,0.0167065,0.035903,0.0192986,0.10695,0,0,0.0630457,0,0.0285511,0.0275501,0.0533976,0.0228115,0.0472975,0.00463626,0.0418231,0.159662,0.00599905,0.0333077,0.00425022,0.00726403,0.00807753,0.0365804,0.0124605,0.00884717,0.00878045,0.100057,0.0160455,0.0123048,0.148339,0.0674105,0,0,0,0.0172224,0,0
141,0.105222,0,0,0,0,0.151847,0,0,0,0,0,0,0.0209642,0.0583407,0.0232801,0.0109974,0,0,0.193523,0,0.0675922,0.113187,0.0209042,0.0274481,0.0381273,0.0134934,0.0413746,0.16841,0.0140536,0.0183435,0.0208998,0.0466061,0.0064322,0.00985022,0.00670569,0.0279309,0.0269941,0.153632,0.0170086,0.144734,0.0157617,0.0357752,0.019028,0.106835,0,0,0.0629928,0,0.0285125,0.0274577,0.0532684,0.0231578,0.0473771,0.00495749,0.0414697,0.159739,0.00580879,0.0331999,0.0036074,0.00713853,0.00837572,0.0369784,0.0125467,0.00911611,0.00771279,0.100123,0.0159762,0.0124176,0.148399,0.0672662,0,0,0,0.0172059,0,0
142,0.105019,0,0,0,0,0.151822,0,0,0,0,0,0,0.0193154,0.0583669,0.0226295,0.0107855,0,0,0.193708,0,0.0675174,0.113181,0.0210023,0.0271124,0.0387181,0.0125129,0.0415093,0.168126,0.0138357,0.0173802,0.0203934,0.0466424,0.00719177,0.0104931,0.00703963,0.0276094,0.0244458,0.153701,0.0170335,0.144605,0.0150477,0.03567,0.0190345,0.106718,0,0,0.0629624,0,0.0284606,0.0275288,0.0531427,0.0236785,0.0474546,0.005347,0.0411672,0.159847,0.00556759,0.0330863,0.00406749,0.00698784,0.00874141,0.0373707,0.012771,0.00950002,0.00678053,0.100157,0.0159504,0.0125124,0.148527,0.0671423,0,0,0,0.0173062,0,0
143,0.104863,0,0,0,0,0.151815,0,0,0,0,0,0,0.0177084,0.0584624,0.0219036,0.0106796,0,0,0.193655,0,0.0674024,0.113038,0.0210993,0.026557,0.0393142,0.011587,0.0416261,0.167875,0.0135703,0.0164081,0.019854,0.0466631,0.00786905,0.0110753,0.00740155,0.0272922,0.0218581,0.153719,0.0170831,0.144391,0.0145218,0.0355876,0.0192441,0.106644,0,0,0.0629432,0,0.0284968,0.0275297,0.0531015,0.0246423,0.0475823,0.00576415,0.0409005,0.15998,0.00530255,0.0330196,0.00410353,0.00684113,0.00924888,0.0377782,0.0131525,0.0101203,0.00581097,0.100182,0.0159223,0.0126194,0.148598,0.0670745,0,0,0,0.0174131,0,0
144,0.104747,0,0,0,0,0.151853,0,0,0,0,0,0,0.0162427,0.0585416,0.0213534,0.0106388,0,0,0.193587,0,0.0672978,0.112898,0.0211946,0.0257596,0.039946,0.010811,0.041712,0.167636,0.0133261,0.0153903,0.0192881,0.0466646,0.00853003,0.011544,0.00776455,0.0269273,0.0193619,0.153694,0.0171347,0.144239,0.0140264,0.0355291,0.0195699,0.106597,0,0,0.0629847,0,0.0285324,0.0274618,0.0530804,0.0258122,0.0477753,0.00619329,0.0407122,0.160121,0.00508983,0.0329941,0.00336411,0.00673623,0.00983006,0.0381542,0.0135471,0.0108188,0.00497619,0.100187,0.0158751,0.0127831,0.148651,0.0670046,0,0,0,0.0172468,0,0
145,0.104625,0,0,0,0,0.151888,0,0,0,0,0,0,0.014918,0.0586103,0.0208353,0.0106433,0,0,0.193453,0,0.0671911,0.112744,0.0213003,0.0248623,0.0405875,0.0101875,0.0418031,0.167284,0.0130487,0.0143506,0.0186941,0.0466215,0.00923886,0.0118988,0.00812212,0.0264983,0.0169559,0.15362,0.017193,0.144154,0.0133365,0.0354672,0.0196587,0.106416,0,0,0.062945,0,0.0285461,0.027469,0.0530366,0.0266428,0.0479336,0.00659809,0.0405033,0.160334,0.00493273,0.0329121,0.00377021,0.00662694,0.0103046,0.038587,0.0137532,0.0113304,0.00423726,0.100255,0.0158715,0.0129706,0.148769,0.0669323,0,0,0,0.0171687,0,0
146,0.104558,0,0,0,0,0.15195,0,0,0,0,0,0,0.0137728,0.0586829,0.0204321,0.0106855,0,0,0.19331,0,0.0671288,0.112629,0.0213606,0.0239724,0.0412024,0.00963814,0.0418941,0.166948,0.0127719,0.0133305,0.0180452,0.0465208,0.0101442,0.0122555,0.00848699,0.0259687,0.0144643,0.153502,0.0172699,0.144076,0.0126437,0.0353452,0.019912,0.106077,0,0,0.0628872,0,0.0284249,0.0275985,0.0530483,0.0277965,0.0480868,0.00710548,0.0402651,0.16062,0.00474715,0.0328671,0.00568826,0.00643187,0.0108817,0.0390509,0.0140816,0.0119904,0.00378123,0.10035,0.0158515,0.0131648,0.148885,0.0669166,0,0,0,0.0171964,0,0
147,0.104525,0,0,0,0,0.152002,0,0,0,0,0,0,0.0127011,0.0587316,0.0199929,0.0107514,0,0,0.193252,0,0.0671149,0.112598,0.0213789,0.0233309,0.0418587,0.00920834,0.0419645,0.166752,0.0124463,0.0122793,0.0174031,0.0464521,0.0110203,0.0127261,0.008921,0.0253266,0.011864,0.153371,0.0173379,0.143964,0.0121419,0.0352203,0.0202531,0.105939,0,0,0.062848,0,0.0282616,0.0276562,0.0531031,0.0288967,0.0481853,0.00764275,0.0399256,0.160857,0.00456106,0.0328227,0.00686602,0.00627353,0.0114726,0.0394766,0.0144874,0.0126711,0.00373963,0.100378,0.0159414,0.0133763,0.148967,0.0669256,0,0,0,0.0173035,0,0
148,0.104571,0,0,0,0,0.152058,0,0,0,0,0,0,0.0118285,0.0586956,0.0195582,0.0107763,0,0,0.193283,0,0.0669962,0.112579,0.021387,0.0232535,0.0425404,0.0088508,0.0419562,0.16661,0.0121614,0.0112196,0.0168154,0.0463377,0.0117105,0.0130755,0.00939576,0.0247684,0.0101503,0.153243,0.017409,0.143797,0.0116624,0.0351396,0.0207053,0.105994,0,0,0.0628279,0,0.028155,0.0276185,0.0531573,0.0301083,0.0482839,0.00808818,0.0395494,0.161029,0.00436879,0.0328281,0.0070645,0.00613271,0.0120925,0.0399493,0.0150482,0.0134022,0.00387567,0.100387,0.0160654,0.0135894,0.149042,0.0669795,0,0,0,0.0173904,0,0
149,0.104733,0,0,0,0,0.152127,0,0,0,0,0,0,0.011116,0.0586991,0.0192567,0.010713,0,0,0.193211,0,0.0668243,0.112525,0.0214258,0.0238291,0.0431985,0.00857866,0.0420021,0.16653,0.0118614,0.010366,0.0163467,0.0462953,0.0120916,0.0132211,0.00974474,0.0244678,0.0100374,0.153108,0.0174836,0.14365,0.0113245,0.0351019,0.0211723,0.106089,0,0,0.0627704,0,0.0280837,0.0275856,0.0532118,0.0311888,0.0483481,0.00845587,0.0392061,0.161215,0.00422798,0.0328465,0.00723737,0.00604857,0.0126701,0.0404156,0.0157194,0.0140265,0.00449197,0.1004,0.0161317,0.0138184,0.14916,0.067121,0,0,0,0.0175768,0,0
150,0.104927,0,0,0,0,0.152224,0,0,0,0,0,0,0.0109613,0.0586696,0.0193134,0.0104568,0,0,0.193164,0,0.0666782,0.112429,0.0214688,0.0250201,0.0438079,0.00839645,0.0420782,0.166573,0.0116802,0.00977335,0.0159643,0.0463021,0.0121904,0.0133902,0.00998831,0.0244126,0.011056,0.153008,0.0174844,0.143571,0.0109641,0.0350059,0.0213912,0.10618,0,0,0.0627251,0,0.0280938,0.027652,0.0532758,0.032194,0.0484119,0.00875635,0.0388386,0.161426,0.00413206,0.0328167,0.00767433,0.00601324,0.0131642,0.0408765,0.0162217,0.0145332,0.00521959,0.100409,0.0159572,0.0139814,0.149271,0.0672769,0,0,0,0.0177798,0,0
151,0.105166,0,0,0,0,0.152369,0,0,0,0,0,0,0.0109571,0.0585856,0.0193766,0.0103935,0,0,0.19325,0,0.0665836,0.112352,0.0214865,0.0264577,0.0443244,0.00829824,0.0421756,0.166746,0.0117115,0.00932122,0.015645,0.0462964,0.0121515,0.0134153,0.0102207,0.0245555,0.012795,0.152982,0.0174275,0.143462,0.0107342,0.0348928,0.0216678,0.106325,0,0,0.0627143,0,0.0280623,0.0276772,0.0533666,0.0332601,0.0485102,0.00906825,0.0384488,0.161681,0.00405996,0.0327835,0.00816336,0.0060151,0.013668,0.0413411,0.0166327,0.0150172,0.00606135,0.100413,0.0159303,0.0140889,0.149406,0.0674661,0,0,0,0.0180299,0,0
152,0.0965518,0,0,0,0,0.147961,0,0,0,0,0,0,0.0100685,0.0593128,0.0281182,0.0102162,0,0,0.191382,0,0.066301,0.111172,0.021819,0.0437642,0.047,0.00663143,0.0478839,0.160188,0.0160559,0.0174366,0.0198338,0.0437141,0.0117083,0.0133658,0.0146312,0.0298601,0.0248386,0.152225,0.017262,0.143154,0.0110833,0.0323806,0.0221626,0.10046,0,0,0.0733137,0,0.0235569,0.0325128,0.053019,0.0345284,0.0496952,0.00984315,0.0417445,0.166292,0.00335429,0.032546,0.0087375,0.00552095,0.0146721,0.0422536,0.0174082,0.0159126,0.00736391,0.0985794,0.028207,0.0258852,0.147261,0.0614798,0,0,0,0.0200565,0,0
153,0.105947,0,0,0,0,0.152674,0,0,0,0,0,0,0.00995454,0.0583738,0.0182862,0.0105398,0,0,0.193527,0,0.0664176,0.112376,0.0213508,0.0277512,0.0453931,0.00804258,0.0424579,0.167381,0.0115144,0.00856152,0.0149455,0.0458774,0.0122484,0.0134055,0.0112874,0.0242839,0.0172682,0.152964,0.0173443,0.143284,0.0108819,0.0347282,0.0220836,0.106723,0,0,0.0624872,0,0.0275418,0.0274781,0.0535775,0.0355291,0.0486594,0.00986517,0.0376064,0.162277,0.00411846,0.0327559,0.00887235,0.00599387,0.0148049,0.0422985,0.0175525,0.0160918,0.00809729,0.100295,0.0163106,0.0146465,0.149682,0.0681025,0,0,0,0.0183387,0,0
154,0.0972013,0,0,0,0,0.148198,0,0,0,0,0,0,0.020577,0.0593303,0.0314986,0.0104797,0,0,0.191132,0,0.0660384,0.110936,0.0225262,0.0487591,0.0472524,0.00513784,0.0483063,0.160691,0.0166057,0.0189826,0.0207572,0.0444,0.011084,0.013833,0.0157333,0.0345886,0.0437647,0.152043,0.0172355,0.142802,0.0111598,0.0320971,0.0220552,0.100804,0,0,0.0738604,0,0.023585,0.0328066,0.053404,0.0364523,0.0496866,0.0105697,0.0413943,0.166368,0.00374583,0.0326105,0.009344,0.00561483,0.0156244,0.0430445,0.0181736,0.0167192,0.00923606,0.0985778,0.0280626,0.0260982,0.147369,0.0618958,0,0,0,0.0208587,0,0
155,0.106651,0,0,0,0,0.152897,0,0,0,0,0,0,0.0101832,0.0586804,0.0151439,0.0105205,0,0,0.192557,0,0.0660291,0.11166,0.0211285,0.0275501,0.0461704,0.00769895,0.0428856,0.168004,0.0114154,0.00763141,0.0136402,0.045289,0.012829,0.0133478,0.0116551,0.0236158,0.0214564,0.152598,0.017351,0.142822,0.0108769,0.0344238,0.0219965,0.107069,0,0,0.0622868,0,0.0275219,0.0274751,0.0538649,0.0375428,0.0486449,0.0107729,0.0368387,0.162406,0.00471847,0.032794,0.00951246,0.00588829,0.0159689,0.0433317,0.0185078,0.0171501,0.010317,0.0999561,0.0162786,0.0150926,0.149582,0.0685231,0,0,0,0.0187358,0,0
156,0.107097,0,0,0,0,0.152906,0,0,0,0,0,0,0.0117296,0.0587281,0.0137365,0.0104426,0,0,0.192404,0,0.0659198,0.111419,0.0209094,0.027504,0.0463279,0.00791137,0.0431103,0.168216,0.0112821,0.00743778,0.0128393,0.0449701,0.0128682,0.0130119,0.0111571,0.023715,0.0217723,0.152532,0.0173079,0.142691,0.0107731,0.0341654,0.0219127,0.107329,0,0,0.0622594,0,0.0277826,0.027698,0.0539299,0.0384465,0.0487925,0.0110346,0.0364747,0.162194,0.00497485,0.0329139,0.0100254,0.00577761,0.0165524,0.0438993,0.018976,0.017699,0.0110048,0.0996825,0.0161662,0.015134,0.149422,0.0688383,0,0,0,0.0189021,0,0
157,0.107479,0,0,0,0,0.152894,0,0,0,0,0,0,0.0129748,0.0588733,0.0126114,0.0103682,0,0,0.191943,0,0.0657179,0.110974,0.0205645,0.0280629,0.0463079,0.00838509,0.0435815,0.168487,0.0109117,0.00758192,0.0121001,0.0447031,0.0127647,0.0126927,0.0107281,0.023757,0.0223717,0.152411,0.017307,0.142498,0.0112631,0.0340441,0.0220239,0.107511,0,0,0.0622336,0,0.0277765,0.0278097,0.0539912,0.0395597,0.0490175,0.0113286,0.0362546,0.162215,0.00499309,0.0331363,0.0103274,0.00562307,0.0173621,0.0444453,0.0195318,0.018558,0.0120695,0.0993424,0.0163394,0.0153536,0.149334,0.0691118,0,0,0,0.0191836,0,0
158,0.107809,0,0,0,0,0.152878,0,0,0,0,0,0,0.0138741,0.0589257,0.0114585,0.0104298,0,0,0.191696,0,0.0655012,0.110675,0.0200846,0.0287503,0.0460447,0.00861686,0.0441348,0.168856,0.0104249,0.00773506,0.0114751,0.044427,0.0125156,0.0123728,0.0103771,0.0237594,0.0232566,0.152344,0.0173039,0.142383,0.0117699,0.0339004,0.0222016,0.107663,0,0,0.0622217,0,0.0276718,0.0278649,0.0541584,0.0406023,0.0491995,0.0114837,0.0360798,0.162288,0.0049972,0.0334468,0.0105568,0.00553123,0.018222,0.0450274,0.0200582,0.0194397,0.0130014,0.0989436,0.0163942,0.0155973,0.149239,0.0692678,0,0,0,0.0195467,0,0
159,0.108149,0,0,0,0,0.152911,0,0,0,0,0,0,0.0147527,0.0589623,0.0103075,0.010664,0,0,0.191527,0,0.0652005,0.110391,0.0196466,0.0292127,0.0456677,0.00870383,0.0447576,0.169194,0.00983079,0.00762519,0.010975,0.0442127,0.0121023,0.0117631,0.00988762,0.0239133,0.0238078,0.152314,0.0173444,0.142212,0.0125302,0.0337816,0.0224754,0.107851,0,0,0.062209,0,0.0276071,0.0278594,0.0544512,0.0415533,0.0493939,0.01171,0.0360385,0.162338,0.00512939,0.0337886,0.0106534,0.00554535,0.0191584,0.0456123,0.02064,0.0204681,0.0139488,0.098513,0.0162951,0.0157874,0.149122,0.0693205,0,0,0,0.0202446,0,0
160,0.108513,0,0,0,0,0.152938,0,0,0,0,0,0,0.0155684,0.0589868,0.00921819,0.0111491,0,0,0.191362,0,0.0650335,0.110122,0.0192871,0.0295125,0.0452095,0.00858885,0.0453724,0.169581,0.00921546,0.00733963,0.0105902,0.0440051,0.0113657,0.0109717,0.00921789,0.0242871,0.0240279,0.152403,0.0173249,0.142044,0.0135743,0.0336897,0.0228404,0.108069,0,0,0.0621788,0,0.0276208,0.0278673,0.0548104,0.0428445,0.0495794,0.0121094,0.0361499,0.162365,0.00540417,0.0341365,0.0107646,0.00569784,0.0201157,0.0460594,0.0213077,0.0216596,0.0147894,0.0981042,0.0160723,0.0159877,0.148984,0.0693764,0,0,0,0.0209209,0,0
161,0.10889,0,0,0,0,0.152869,0,0,0,0,0,0,0.0165443,0.0590125,0.00797853,0.0117457,0,0,0.191164,0,0.0649172,0.1099,0.0189087,0.0295796,0.0446977,0.00836966,0.0458876,0.170086,0.00866297,0.00716629,0.0101842,0.0437717,0.0105067,0.0103059,0.0085279,0.0246965,0.024419,0.15259,0.0173229,0.141918,0.0145259,0.0335905,0.0230235,0.108296,0,0,0.0621026,0,0.0275679,0.0279178,0.0552071,0.044123,0.0496563,0.0127085,0.0363161,0.162354,0.00576041,0.0344679,0.0108177,0.00597089,0.0209946,0.0463924,0.0218798,0.0228286,0.015844,0.0976942,0.0159741,0.0162129,0.148713,0.0694564,0,0,0,0.0215019,0,0
162,0.109265,0,0,0,0,0.152805,0,0,0,0,0,0,0.0177101,0.0590307,0.00681576,0.012278,0,0,0.191019,0,0.064834,0.109809,0.018482,0.0292106,0.0441837,0.00820072,0.0461591,0.170673,0.00827172,0.00713253,0.00954537,0.0434358,0.00974577,0.00976694,0.00798126,0.0250114,0.0251626,0.152882,0.0173526,0.141803,0.0153712,0.0334475,0.022933,0.108544,0,0,0.0619614,0,0.0274147,0.027998,0.0556315,0.0450509,0.0496313,0.0134538,0.0364409,0.16228,0.00615543,0.0347688,0.0109234,0.00636825,0.0217839,0.0466292,0.0223406,0.0238804,0.0168259,0.0972649,0.015908,0.0164604,0.148323,0.0695286,0,0,0,0.0219418,0,0
163,0.109703,0,0,0,0,0.152803,0,0,0,0,0,0,0.0190997,0.0590335,0.00555545,0.0126727,0,0,0.190846,0,0.0647543,0.109761,0.0181486,0.0278727,0.0436209,0.008115,0.0462498,0.171305,0.00811672,0.00708571,0.00862611,0.0429715,0.00931201,0.00938638,0.0076257,0.0251646,0.0262823,0.15324,0.0173919,0.141719,0.0166064,0.0333387,0.0231388,0.108828,0,0,0.0618129,0,0.0273622,0.0281135,0.0561024,0.0459208,0.0495287,0.0143448,0.0366133,0.162163,0.00652553,0.0350072,0.0110606,0.0067514,0.0226028,0.0467056,0.0228428,0.024923,0.0177003,0.0968333,0.0158377,0.0167045,0.14794,0.0696619,0,0,0,0.0225278,0,0
164,0.11015,0,0,0,0,0.152721,0,0,0,0,0,0,0.0205916,0.0591531,0.00437104,0.0129973,0,0,0.190103,0,0.0645712,0.109483,0.0178342,0.0256629,0.0430352,0.00793396,0.0462256,0.171976,0.00816306,0.00706642,0.00790463,0.0424211,0.00933346,0.00918634,0.00743431,0.0252226,0.0276103,0.153451,0.0174783,0.141579,0.0178657,0.0332379,0.023412,0.109082,0,0,0.0616344,0,0.0273219,0.0282109,0.0565869,0.0465352,0.0493933,0.0153493,0.0368022,0.161993,0.00691373,0.0351873,0.0109802,0.00723724,0.0233505,0.046748,0.0232432,0.0258417,0.0187067,0.0963746,0.0157766,0.0169828,0.147627,0.0698047,0,0,0,0.022896,0,0
165,0.110596,0,0,0,0,0.152601,0,0,0,0,0,0,0.022162,0.0592413,0.00330802,0.0132595,0,0,0.18944,0,0.0644517,0.109198,0.0175282,0.0233006,0.0424379,0.00754514,0.0461145,0.172596,0.00842526,0.00730511,0.0073941,0.0418367,0.00940386,0.00916195,0.0073695,0.0252301,0.0290672,0.15361,0.01753,0.141452,0.0188739,0.0331352,0.0235812,0.109351,0,0,0.0614492,0,0.0272377,0.0283687,0.0570684,0.0467987,0.0492804,0.0162585,0.0369595,0.161773,0.00737229,0.0352917,0.0108475,0.0078158,0.0239858,0.0467051,0.0234741,0.0265678,0.0198133,0.0958855,0.0156935,0.0172885,0.147363,0.0699361,0,0,0,0.0229378,0,0
166,0.111077,0,0,0,0,0.152561,0,0,0,0,0,0,0.0236972,0.0593858,0.00261114,0.0134272,0,0,0.18881,0,0.0643076,0.10882,0.0171518,0.0212592,0.0418012,0.00704671,0.0460094,0.173145,0.00883342,0.00779365,0.00711393,0.0411867,0.0094348,0.0093,0.00748729,0.0252283,0.0304786,0.153704,0.0176082,0.14131,0.0200885,0.0330693,0.0239995,0.109669,0,0,0.0612644,0,0.0272245,0.0285701,0.0574819,0.0468203,0.0491677,0.0170011,0.0370777,0.161532,0.00791623,0.0353838,0.0108849,0.00836548,0.0245968,0.0465534,0.0237214,0.0272537,0.0209673,0.0953744,0.0156107,0.0176118,0.147131,0.0701388,0,0,0,0.0229337,0,0
167,0.111561,0,0,0,0,0.152599,0,0,0,0,0,0,0.0251139,0.0595329,0.00253463,0.0134538,0,0,0.188192,0,0.0641174,0.108428,0.0166967,0.019602,0.0410752,0.00658838,0.0460279,0.173647,0.00925726,0.00844646,0.006873,0.0405589,0.00946155,0.00958664,0.00771953,0.0251904,0.0317917,0.153765,0.0176951,0.141155,0.0211133,0.0330378,0.0243941,0.110012,0,0,0.0610803,0,0.0272246,0.0287664,0.0578602,0.0462509,0.0490391,0.0176437,0.0372367,0.161262,0.00854409,0.035393,0.0109292,0.0089457,0.0251667,0.0463695,0.02386,0.0277794,0.0219852,0.0948596,0.0154732,0.0179325,0.146972,0.0703628,0,0,0,0.0229213,0,0
168,0.112008,0,0,0,0,0.152599,0,0,0,0,0,0,0.0262986,0.0596972,0.00304135,0.0132326,0,0,0.187536,0,0.0639032,0.10799,0.0161387,0.0181058,0.0403764,0.00638402,0.0462267,0.174103,0.00959738,0.00907485,0.00653307,0.0400442,0.009542,0.00999797,0.00799182,0.02514,0.0329162,0.153787,0.0177783,0.140998,0.0219502,0.0329776,0.0247,0.110373,0,0,0.0608812,0,0.0271404,0.0289551,0.0582947,0.0451976,0.0488454,0.0182065,0.0374913,0.160991,0.00927133,0.0353472,0.010912,0.00960511,0.0257178,0.0462644,0.0239548,0.028254,0.0229758,0.0943705,0.0153206,0.0182013,0.146793,0.0706081,0,0,0,0.0229101,0,0
169,0.112466,0,0,0,0,0.152595,0,0,0,0,0,0,0.0270974,0.0598435,0.00381236,0.0128315,0,0,0.186834,0,0.0637146,0.107593,0.0156166,0.0166645,0.0397903,0.00644049,0.046528,0.174512,0.00975564,0.00957581,0.00617441,0.039761,0.00958283,0.0103815,0.00816273,0.0251458,0.0335489,0.153767,0.017845,0.140875,0.0224475,0.0328839,0.0249158,0.110769,0,0,0.06072,0,0.027008,0.0291374,0.0589134,0.0437056,0.0486317,0.0187622,0.0377972,0.160704,0.0101241,0.0352403,0.0108369,0.0103646,0.0263024,0.0462593,0.0241205,0.0287269,0.0239592,0.0939195,0.0152276,0.0184538,0.146614,0.070956,0,0,0,0.0228477,0,0
170,0.112952,0,0,0,0,0.152646,0,0,0,0,0,0,0.0275024,0.0599189,0.00448896,0.0125663,0,0,0.186234,0,0.0635872,0.107203,0.0152124,0.0155307,0.0394301,0.00656863,0.0467565,0.174826,0.00974257,0.00998493,0.00607391,0.03972,0.0095571,0.0105676,0.00819949,0.0252645,0.0336446,0.153692,0.0178657,0.140793,0.0216484,0.0328053,0.0243543,0.111189,0,0,0.0605833,0,0.0268581,0.0292685,0.0596066,0.0410791,0.0484154,0.0187995,0.038027,0.160448,0.0110451,0.0350867,0.0107746,0.0111672,0.026708,0.0464017,0.0242869,0.0288813,0.0243911,0.0935163,0.0151993,0.0187491,0.146487,0.0714153,0,0,0,0.0225756,0,0
171,0.113527,0,0,0,0,0.152755,0,0,0,0,0,0,0.0277713,0.0599778,0.00505257,0.0123619,0,0,0.185705,0,0.0634425,0.106837,0.0149921,0.0146855,0.0391788,0.00660177,0.04689,0.175122,0.00941436,0.0103911,0.00626949,0.0400033,0.00948866,0.0106375,0.00816374,0.0254558,0.0335481,0.15362,0.0179288,0.140668,0.0218541,0.0327473,0.0246368,0.111633,0,0,0.0604274,0,0.026759,0.0293675,0.0601546,0.0393168,0.0482198,0.0189797,0.0382885,0.160224,0.0117381,0.0350737,0.010564,0.0119325,0.0271751,0.0467277,0.0245688,0.0292776,0.0247279,0.0932136,0.0151797,0.0190026,0.146416,0.0719453,0,0,0,0.0219914,0,0
172,0.114138,0,0,0,0,0.152869,0,0,0,0,0,0,0.0279041,0.0600469,0.00557042,0.0122282,0,0,0.185258,0,0.0633007,0.106526,0.0150391,0.0137105,0.0390075,0.00653552,0.0468929,0.175455,0.0089248,0.0107657,0.00658163,0.0405412,0.0093382,0.0106511,0.00803049,0.0257169,0.0332618,0.153557,0.0180147,0.140559,0.023147,0.0327436,0.0257865,0.112043,0,0,0.0603383,0,0.0267231,0.0294777,0.0606099,0.039139,0.048059,0.0192822,0.0385341,0.160025,0.0122642,0.0351504,0.0102016,0.012702,0.0276821,0.0471642,0.0249417,0.0298654,0.0252749,0.0929078,0.0152335,0.0192141,0.146425,0.0724947,0,0,0,0.0214477,0,0
