Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUR_B,RTHII,RTHIA,,x82
9,0.0673368,0,0,0,0,0.0834809,0,0,0,0,0,0.00823844,0.0198601,0.00400906,0.0333257,0,0,0.0850403,0,0.044607,0.0444934,0.0272578,0.00958996,0.055733,0.00968606,0.0701185,0.0921785,0.00403073,0.00366639,0.0035765,0.0408188,0.00544499,0.00367886,0.0040593,0.032954,0.00330729,0.0803804,0.0195184,0.0358626,0.0231922,0.0192776,0.00821091,0.0352474,0.034829,0,0,0.048454,0,0.0334965,0.0169706,0.0470916,0.0268524,0.0429294,0.030216,0.0616045,0.0784019,0.0165184,0.0191492,0.021985,0.0265595,0.0120135,0.024276,0.033511,0.0558764,0.0798629,0.0176981,0.0858322,0.0413789,0,0,0,0,0,0,0,0
10,0.0678349,0,0,0,0,0.0840544,0,0,0,0,0,0.00832985,0.0204832,0.00399654,0.0335587,0,0,0.0856151,0,0.0443431,0.0444331,0.0272629,0.00965012,0.0557957,0.00963099,0.0705079,0.0925996,0.00382762,0.00362985,0.00375538,0.0407908,0.00548663,0.00373674,0.00412063,0.0329755,0.00341,0.080336,0.0199644,0.03516,0.0232482,0.0193631,0.00823037,0.0355262,0.0348114,0,0,0.0493207,0,0.0330599,0.0160778,0.0471307,0.0268546,0.0429557,0.0303106,0.0619864,0.0790057,0.016432,0.0190788,0.0220738,0.0265697,0.0120706,0.0243577,0.0335814,0.0573066,0.0810104,0.017373,0.0864636,0.0418553,0,0,0,0,0,0,0,0
11,0.0680626,0,0,0,0,0.0843415,0,0,0,0,0,0.00844827,0.0217599,0.00410257,0.0336805,0,0,0.0859752,0,0.0436447,0.0445502,0.0272277,0.00970443,0.0557747,0.00961458,0.0706974,0.0931579,0.00409852,0.00364314,0.00378314,0.0407226,0.00553902,0.00383427,0.00417755,0.0330101,0.0035426,0.0807421,0.0208132,0.0353939,0.0232817,0.0193223,0.00819252,0.0357447,0.0347742,0,0,0.0503965,0,0.0327398,0.0149923,0.0472028,0.0268298,0.0430146,0.0303401,0.0622167,0.0800744,0.0163687,0.0189649,0.022122,0.0265957,0.0121289,0.0243954,0.0336165,0.059175,0.0813185,0.0164819,0.0867115,0.0419996,0,0,0,0,0,0,0,0
12,0.0670359,0,0,0,0,0.0761724,0,0,0,0,0,0.00769076,0.0239355,0.00395794,0.0297503,0,0,0.0882533,0,0.0419145,0.0462042,0.0276654,0.00937269,0.0534221,0.00939744,0.062591,0.0922886,0.00421864,0.00370277,0.00406626,0.0407691,0.00530018,0.00363314,0.00402141,0.0331151,0.00262465,0.08259,0.0222164,0.0367153,0.0230611,0.00533868,0.0084731,0.0310224,0.035924,0,0,0.0273028,0,0,0.0265763,0.0466782,0.0267526,0.0403314,0.0298359,0.0551593,0.040692,0.0162244,0.0186687,0.0219928,0.0272885,0.0121623,0.0242236,0.0332486,0.0283567,0.041011,0.0255269,0.0779739,0.0433821,0,0,0,0,0,0,0,0
13,0.067547,0,0,0,0,0.0770321,0,0,0,0,0,0.00856379,0.0212708,0.00382392,0.0300585,0,0,0.0866617,0,0.0435694,0.0444309,0.0277451,0.00975954,0.0538013,0.0098601,0.0627679,0.0923206,0.00356614,0.00340852,0.00371821,0.0410353,0.00567467,0.0039713,0.00421464,0.0328123,0.00420289,0.0813522,0.0204755,0.0352615,0.0227272,0.00547405,0.00862457,0.0312494,0.0359203,0,0,0.0286025,0,0,0.0242477,0.0468458,0.0263963,0.0396284,0.0295014,0.0552552,0.0429179,0.0154816,0.0180386,0.0214938,0.0273403,0.0118179,0.0236795,0.032794,0.0305533,0.0346157,0.0249802,0.0788069,0.0431982,0,0,0,0,0,0,0,0
14,0.067969,0,0,0,0,0.0846668,0,0,0,0,0,0.00880822,0.0219915,0.00401245,0.0341449,0,0,0.0855447,0,0.0447176,0.0429655,0.0270908,0.00983543,0.0559703,0.00932251,0.0715063,0.0928924,0.00465398,0.00375321,0.00358898,0.0405784,0.00566794,0.00405389,0.00439981,0.0330932,0.00399913,0.0800795,0.0222406,0.034131,0.0233965,0.0190983,0.00829798,0.0365559,0.0346308,0,0,0.0513126,0,0.0317209,0.0143947,0.0473427,0.026612,0.0432897,0.0304795,0.0632126,0.077306,0.0162645,0.0190357,0.0221477,0.0265998,0.0121717,0.0243789,0.0337149,0.0591453,0.0760591,0.0128339,0.0873321,0.0412748,0,0,0,0,0,0,0,0
15,0.0672092,0,0,0,0,0.0843729,0,0,0,0,0,0.00894852,0.0209599,0.00407844,0.0342815,0,0,0.0849942,0,0.0454439,0.0419753,0.027025,0.00997773,0.0560474,0.00930219,0.0718293,0.0917485,0.00462992,0.00380612,0.00357881,0.0405204,0.00574606,0.00409807,0.00449575,0.0331196,0.00413014,0.0794662,0.022196,0.033436,0.0234872,0.0190577,0.00827879,0.0368523,0.0341805,0,0,0.0518781,0,0.0311928,0.0138866,0.0474084,0.0266038,0.0434559,0.0306086,0.0635634,0.0769191,0.0163033,0.0191126,0.0222067,0.026557,0.0122059,0.024397,0.0338205,0.0595373,0.0741166,0.0113696,0.0872902,0.0404789,0,0,0,0,0,0,0,0
16,0.0660269,0,0,0,0,0.0837774,0,0,0,0,0,0.00912616,0.0192194,0.00420267,0.0344081,0,0,0.0843368,0,0.0463434,0.0411591,0.0269787,0.010075,0.0561121,0.00927943,0.0721149,0.0904531,0.00457844,0.00382543,0.00354482,0.0404612,0.00580588,0.00415031,0.00456895,0.0331254,0.00434025,0.078769,0.0216468,0.0327304,0.0236227,0.0189529,0.00826038,0.0370704,0.0335979,0,0,0.0521037,0,0.0306326,0.0133238,0.0474624,0.026644,0.0435972,0.0307115,0.063877,0.0765458,0.0163324,0.0191343,0.0222731,0.0265407,0.0122603,0.0244511,0.0339727,0.0600169,0.072411,0.00989547,0.0869068,0.0393611,0,0,0,0,0,0,0,0
17,0.0646232,0,0,0,0,0.0829631,0,0,0,0,0,0.00927979,0.0171868,0.00433322,0.0344662,0,0,0.0836875,0,0.0474786,0.0405196,0.0269304,0.0101461,0.0561149,0.0093172,0.0723069,0.0893699,0.0045439,0.00383808,0.00347482,0.0404201,0.00585605,0.00421964,0.0046518,0.0331655,0.0044927,0.0784597,0.0208625,0.0326375,0.023761,0.0188047,0.00826483,0.0372093,0.0330057,0,0,0.0518886,0,0.0299387,0.0128943,0.047499,0.0267226,0.0436829,0.0307874,0.0640773,0.0753456,0.0164204,0.0191763,0.0223641,0.0265397,0.0123208,0.0245669,0.0341592,0.0601574,0.0695411,0.00871598,0.0862977,0.0380464,0,0,0,0,0,0,0,0
18,0.0631169,0,0,0,0,0.0820544,0,0,0,0,0,0.00934723,0.0166788,0.00442355,0.0343869,0,0,0.0825735,0,0.0473884,0.0405114,0.0268816,0.0101996,0.0560578,0.00926457,0.0723234,0.088699,0.004429,0.00385748,0.00343885,0.0403797,0.00592146,0.00426416,0.0047061,0.0332063,0.00455946,0.0783036,0.0210289,0.0335597,0.0238935,0.0187759,0.00830517,0.0372023,0.0323458,0,0,0.0514021,0,0.0292319,0.0124852,0.0475207,0.026841,0.0437307,0.0309013,0.0640931,0.0735561,0.0165892,0.0193744,0.0225027,0.0265542,0.0123909,0.0247384,0.0343395,0.0598993,0.0664513,0.00793689,0.0855818,0.036647,0,0,0,0,0,0,0,0
