Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,IMUR_B,RTHII,RTHIA,,x82
585,0.024504,0,0,0,0,0.0512755,0,0,0,0,0,0.0105633,0.0427785,0.00443195,0.011264,0,0,0.0299197,0,0.0581656,0.0265618,0.0253963,0.0110094,0.0443898,0.00680418,0.0373674,0.0311875,0.00499903,0.00486492,0.00301856,0.0391711,0.0050504,0.00381831,0.00539469,0.0339531,0.0076259,0.0328281,0.0284301,0.0321821,0.0168561,0.0296312,0.0092891,0.0123593,0.0256979,0,0,0.0329485,0,0.0300532,0.0267821,0.0497735,0.0167196,0.035717,0.00524208,0.0324509,0.0453821,0.00636365,0.0072257,0.00677881,0.037353,0.00666633,0.00680763,0.0113665,0.0365482,0.0517392,0.0207962,0.0526964,0.0120154,0,0,0,0,0.00505073,0.0312361,0,0
586,0.0263761,0,0,0,0,0.0550185,0,0,0,0,0,0.0110044,0.0446066,0.00433733,0.0142659,0,0,0.0294636,0,0.0570583,0.02973,0.0253559,0.0110409,0.0467221,0.00702294,0.0428256,0.0370721,0.00510462,0.00471695,0.00304569,0.0393855,0.00505376,0.00375223,0.00533122,0.0338338,0.00824994,0.0341643,0.0269103,0.0355189,0.0168883,0.0295942,0.00915039,0.0154548,0.0222014,0,0,0.0344395,0,0.0301477,0.0257309,0.0494133,0.0168629,0.0368449,0.00489969,0.0377577,0.046045,0.00663214,0.00717777,0.00673236,0.0372951,0.00675657,0.00692727,0.0117694,0.0381159,0.0523375,0.0206511,0.0574498,0.0102101,0,0,0,0,0.00480642,0.0311875,0,0
587,0.0306077,0,0,0,0,0.0595335,0,0,0,0,0,0.0114208,0.0463498,0.00431665,0.0172674,0,0,0.0318039,0,0.0561037,0.0335639,0.0254506,0.0110671,0.0485806,0.00713266,0.0481648,0.0436224,0.00516108,0.00456218,0.00303897,0.0395244,0.00505168,0.00388467,0.00528237,0.0337701,0.00882429,0.0365178,0.0251456,0.0385162,0.0168804,0.0293281,0.00896916,0.018519,0.019639,0,0,0.0361406,0,0.0299994,0.0246722,0.0493928,0.01699,0.0379218,0.00464338,0.0426467,0.0472434,0.00684063,0.00705036,0.00666037,0.0371459,0.00680705,0.00706051,0.0121493,0.0399018,0.0525081,0.0201173,0.0627407,0.0112098,0,0,0,0,0.00467642,0.0312435,0,0
588,0.0362119,0,0,0,0,0.0644604,0,0,0,0,0,0.0116346,0.0478081,0.00426977,0.0200822,0,0,0.0357097,0,0.0550269,0.0372908,0.0255158,0.0111152,0.0501948,0.00724321,0.0531505,0.0501388,0.00507274,0.00433808,0.00304836,0.0396035,0.00507357,0.00426627,0.00526745,0.0337366,0.00915912,0.0392787,0.0236376,0.0409794,0.0169736,0.0288813,0.00885129,0.0214228,0.0185403,0,0,0.0378086,0,0.0297822,0.023671,0.0495432,0.0172211,0.038979,0.00454274,0.0469185,0.0490487,0.00660945,0.00694766,0.00654205,0.0369649,0.00681222,0.00721286,0.0125883,0.0418552,0.0525239,0.0193843,0.0681583,0.0143752,0,0,0,0,0.00460435,0.031329,0,0
589,0.0423088,0,0,0,0,0.0696791,0,0,0,0,0,0.0114209,0.0490832,0.00420975,0.0226701,0,0,0.0411475,0,0.0541112,0.0411573,0.0254313,0.0111222,0.0516931,0.00759784,0.057702,0.0565471,0.00517901,0.00408812,0.00312833,0.0397186,0.00513807,0.00444248,0.0052593,0.0336987,0.00887715,0.042644,0.0221081,0.0432707,0.0170887,0.0283345,0.00871731,0.0241373,0.0189431,0,0,0.0393204,0,0.0295107,0.0224132,0.0497502,0.0175214,0.04008,0.00452156,0.0507678,0.0512256,0.00646401,0.00679477,0.00646455,0.0367556,0.00683482,0.00739253,0.0130705,0.0437798,0.0526266,0.018304,0.0737096,0.0184778,0,0,0,0,0.0044882,0.03144,0,0
590,0.0483919,0,0,0,0,0.0747037,0,0,0,0,0,0.0115275,0.0501396,0.00417082,0.0249372,0,0,0.0462339,0,0.053243,0.0447763,0.02544,0.0111044,0.0531473,0.00777225,0.0617763,0.0623154,0.00492416,0.00378407,0.00316594,0.0399673,0.00510122,0.00440729,0.00523397,0.0336411,0.0090415,0.0456594,0.0205991,0.0447626,0.0172287,0.027764,0.00875593,0.0264206,0.0204377,0,0,0.0405643,0,0.0292884,0.0213688,0.0500491,0.0179275,0.0410674,0.00456161,0.0543633,0.0536382,0.00638818,0.0065796,0.00647979,0.0365957,0.00692053,0.00764776,0.0135234,0.0455768,0.0528909,0.0169998,0.0789085,0.0227019,0,0,0,0,0.00439255,0.0315776,0,0
591,0.0538592,0,0,0,0,0.0794012,0,0,0,0,0,0.0113298,0.0507703,0.00425698,0.0268865,0,0,0.050153,0,0.0521124,0.0479262,0.0255023,0.0112979,0.0545038,0.00841736,0.065432,0.0673661,0.00444118,0,0.00313169,0.0403228,0.00540973,0.0045798,0.00537292,0.033606,0.00865086,0.0478757,0.0192261,0.0452472,0.0173457,0.0271051,0.00872798,0.0284064,0.0225735,0,0,0.0417963,0,0.0288083,0.020651,0.0504332,0.0183051,0.041962,0.00454944,0.0574714,0.0561765,0.00627826,0.00618728,0.00657407,0.0364677,0.00704489,0.00801882,0.0141213,0.0473223,0.0537431,0.015662,0.083694,0.026648,0,0,0,0,0.00421131,0.0317723,0,0
592,0.0452089,0,0,0,0,0.0700705,0,0,0,0,0,0.0119678,0.0313038,0.00343248,0.0299848,0,0,0.0425615,0,0.0496085,0.0211027,0.0263961,0.0104441,0.0555642,0.00866372,0.0685785,0.0649234,0.003921,0.00381823,0.00404706,0.0413758,0.00465792,0.00377311,0.00460225,0.0330913,0.00974226,0.0455633,0.0187255,0.00975648,0.0308984,0.0253188,0.00611677,0.034823,0.0238246,0,0,0.0422469,0,0.0290277,0.0190021,0.0472199,0.0285977,0.0430221,0.0240018,0.0574873,0.0580322,0.0149471,0.0172306,0.0201026,0.0290179,0.0120328,0.0236559,0.0411343,0.0482603,0.0544573,0.0138633,0.0734484,0.0205211,0,0,0,0,0.0180509,0,0,0
593,0.0513318,0,0,0,0,0.0728599,0,0,0,0,0,0.0129475,0.0219013,0.00440118,0.0287358,0,0,0.0545632,0,0.0468043,0.0313944,0.0246763,0.0113048,0.0551322,0.0072554,0.0701286,0.0760181,0.00472586,0.00588152,0.00276782,0.0397651,0.00513509,0.00460025,0.00534054,0.0336192,0.0110985,0.0585618,0.0153477,0.0272998,0.0176769,0.0232119,0.00829166,0.0313157,0.0274786,0,0,0.0422361,0,0.0298672,0.017198,0.0507481,0.0181816,0.0440457,0.00499876,0.0614382,0.061454,0.00638068,0.00615783,0.0063865,0.0359943,0.0068271,0.00820578,0.0148394,0.0494367,0.05509,0.0124534,0.0758579,0.0259451,0,0,0,0,0.00412786,0.0320916,0,0
594,0.0552605,0,0,0,0,0.0760446,0,0,0,0,0,0.012333,0.0212746,0.00450587,0.0295641,0,0,0.055908,0,0.0458246,0.0336622,0.0245399,0.012133,0.0556821,0.00620069,0.0717334,0.0791857,0.00504921,0.00643711,0.00324253,0.0396057,0.00452472,0.00401802,0.00526644,0.0347144,0.010793,0.0595071,0.0141741,0.0299384,0.0178502,0.0223336,0.00848023,0.0321598,0.029511,0,0,0.0417487,0,0.0300991,0.0181792,0.0506052,0.0183761,0.0445966,0.00504713,0.0629807,0.0637201,0.00638274,0.00625494,0.00637797,0.035971,0.00677886,0.00821947,0.0147937,0.0496619,0.0564175,0.0124274,0.0788534,0.0287149,0,0,0,0,0.00445154,0.0320744,0,0
595,0.0593539,0,0,0,0,0.0792393,0,0,0,0,0,0.012636,0.0211074,0.0100375,0.0322766,0,0,0.0583491,0,0.0451336,0.0354889,0.0259316,0.0182649,0.0570115,0.00441829,0.0737178,0.0825848,0.00626705,0.00522708,0.00625341,0.0400148,0.00518791,0.00541483,0.00841357,0.0396837,0.0134873,0.0615012,0.0132649,0.0318528,0.0308205,0.0215274,0.00605246,0.0373643,0.0310093,0,0,0.0417092,0,0.0302249,0.0189955,0.0469272,0.0282414,0.045832,0.0181485,0.0625268,0.0661952,0.013297,0.0136663,0.016357,0.0296441,0.0108741,0.0207437,0.0375866,0.0500258,0.0584977,0.0124796,0.0818935,0.0310223,0,0,0,0,0.014347,0,0,0
596,0.0597571,0,0,0,0,0.0801477,0,0,0,0,0,0.0125575,0.021044,0.00759526,0.0306201,0,0,0.0588896,0,0.0447757,0.0367744,0.0247971,0.016302,0.0565621,0.00375475,0.0739692,0.0828356,0.00631655,0.00493928,0.00495109,0.0389868,0.00462081,0.004662,0.0071434,0.0382661,0.0128222,0.0610699,0.0129493,0.0334108,0.0177986,0.0208821,0.00840554,0.0332454,0.0317041,0,0,0.0424625,0,0.0299607,0.0197061,0.0505787,0.0185874,0.0451175,0.00507701,0.0647977,0.0676899,0.00644756,0.006256,0.00637201,0.0358627,0.00664034,0.0083823,0.0150666,0.0503912,0.0617395,0.0129622,0.0827438,0.0323607,0,0,0,0,0.00371416,0.0321127,0,0
597,0.0628309,0,0,0,0,0.0823243,0,0,0,0,0,0.0144235,0.0212182,0.0128649,0.0329059,0,0,0.0611422,0,0.0444255,0.0382384,0.0260718,0.0213108,0.0575388,0.00455696,0.0749381,0.0852932,0.00690338,0.00442877,0.00714293,0.0399425,0.00687013,0.00739269,0.0104757,0.0416981,0.016179,0.0629866,0.0125413,0.0348637,0.0306284,0.0204632,0.00607993,0.0379558,0.0327391,0,0,0.0423787,0,0.030402,0.0206995,0.0466483,0.0279175,0.0459081,0.0177164,0.0636334,0.0692482,0.0123244,0.0131681,0.0158878,0.0296566,0.0105688,0.0202408,0.0370692,0.050326,0.0638164,0.0135967,0.0847253,0.0341287,0,0,0,0,0.0144681,0,0,0
598,0.0632297,0,0,0,0,0.0829059,0,0,0,0,0,0.0154267,0.0213261,0.0144369,0.0332026,0,0,0.0620868,0,0.0445851,0.0388627,0.0260542,0.0228823,0.0575489,0.00491506,0.075242,0.0854659,0.00715679,0.00439475,0.0076872,0.0400306,0.00776372,0.00840806,0.0115627,0.0427288,0.0174164,0.0630898,0.0127102,0.0353258,0.0300143,0.0200336,0.00583487,0.038274,0.0326571,0,0,0.0436843,0,0.0301521,0.0204505,0.0462191,0.02715,0.0453611,0.0175084,0.0641586,0.0711633,0.0119262,0.0127558,0.0153867,0.0296497,0.0102403,0.0194778,0.0359814,0.0513667,0.0676504,0.0143909,0.0853249,0.0348307,0,0,0,0,0.0141876,0,0,0
599,0.0629244,0,0,0,0,0.0826767,0,0,0,0,0,0.0126279,0.0213959,0.00891948,0.0310066,0,0,0.062615,0,0.0444205,0.0393,0.0248634,0.0175513,0.056665,0.0036701,0.0743489,0.0851189,0.00657868,0.00473627,0.00549017,0.0392576,0.00511328,0.0052031,0.00787703,0.039165,0.0132532,0.0631142,0.0130814,0.0363591,0.0173207,0.0199744,0.00811576,0.0334862,0.0330036,0,0,0.0435014,0,0.0306489,0.0213501,0.0495237,0.0177345,0.0440369,0.00504229,0.0654525,0.0707633,0.00673059,0.00677508,0.00617307,0.0359337,0.00640354,0.00767049,0.0140779,0.0507835,0.0695192,0.0152048,0.0849502,0.0355032,0,0,0,0,0.00342209,0.0319573,0,0
600,0.0634895,0,0,0,0,0.0828118,0,0,0,0,0,0.0121516,0.0213941,0.00745353,0.0307721,0,0,0.0639692,0,0.0445709,0.0396511,0.0249008,0.0160034,0.0565634,0.00401139,0.0741146,0.085822,0.00662917,0.0049092,0.00490293,0.0393686,0.00446919,0.00439552,0.00691697,0.0380552,0.012272,0.0643,0.0135367,0.0368703,0.0174379,0.0199097,0.00823077,0.0331449,0.0332196,0,0,0.0437437,0,0.031144,0.0212631,0.0497199,0.0180518,0.0440421,0.00504256,0.0651916,0.0710746,0.00662462,0.00668121,0.00624273,0.035947,0.00645925,0.00785687,0.0143105,0.0507967,0.071378,0.0156929,0.0849626,0.0361245,0,0,0,0,0.00338637,0.0319999,0,0
601,0.0634701,0,0,0,0,0.0826671,0,0,0,0,0,0.0119174,0.021392,0.00604138,0.030561,0,0,0.064849,0,0.0450384,0.0396586,0.0249275,0.0144433,0.056522,0.00450701,0.0738653,0.0860881,0.00632775,0.00518944,0.00433215,0.0394592,0.00400665,0.00383398,0.00604886,0.0368828,0.0114619,0.0649465,0.0139908,0.0368557,0.0175585,0.0197574,0.00833614,0.0327893,0.0330913,0,0,0.0445957,0,0.0313113,0.0203778,0.049862,0.0183504,0.0441302,0.00500569,0.0651445,0.0719928,0.00657834,0.006642,0.00635988,0.035968,0.00653729,0.00804316,0.0145321,0.0515602,0.073469,0.015931,0.084766,0.036336,0,0,0,0,0.00333767,0.0320362,0,0
602,0.0634836,0,0,0,0,0.0825824,0,0,0,0,0,0.0118457,0.021348,0.00510992,0.0304772,0,0,0.0656698,0,0.0454759,0.0395319,0.0249453,0.0132791,0.0563915,0.00505383,0.0736533,0.086482,0.00611462,0.00547531,0.00398064,0.0395674,0.00381709,0.00363571,0.00551586,0.0359576,0.0108988,0.0658721,0.0143735,0.0370071,0.0174732,0.0196584,0.00834076,0.0325932,0.0330864,0,0,0.045161,0,0.0315612,0.019723,0.0498345,0.0183489,0.043711,0.00492993,0.0651416,0.0722524,0.00654456,0.00666681,0.00638923,0.0360093,0.00660938,0.00802902,0.0144291,0.0520176,0.0743445,0.0161081,0.0847011,0.0364205,0,0,0,0,0.00331245,0.0321002,0,0
603,0.0635258,0,0,0,0,0.0824516,0,0,0,0,0,0.0118067,0.0210406,0.00459351,0.0304026,0,0,0.0662586,0,0.0458796,0.0392395,0.0249358,0.012518,0.0564089,0.00562471,0.0734666,0.086801,0.00574298,0.00525473,0.00368425,0.0396198,0.0040136,0.00371017,0.00527827,0.0352431,0.0105089,0.0667813,0.0147281,0.0370211,0.017513,0.0194633,0.00837069,0.0323723,0.033173,0,0,0.0455881,0,0.0319237,0.0190333,0.0498864,0.0183922,0.0437379,0.00493226,0.0649497,0.0721447,0.00654066,0.0066516,0.00637712,0.0360174,0.0067452,0.00806969,0.0144509,0.0522962,0.0742951,0.0160614,0.0846313,0.0364166,0,0,0,0,0.00330982,0.0321107,0,0
604,0.0647628,0,0,0,0,0.0830893,0,0,0,0,0,0.0115227,0.0205568,0.00950633,0.0324689,0,0,0.0672409,0,0.0463053,0.0390442,0.0262114,0.0175731,0.0574547,0.00507297,0.0741551,0.0881844,0.00648466,0,0.00564328,0.0403857,0.0044352,0.00441023,0.00765567,0.0387726,0.0119899,0.0684206,0.0149345,0.0366994,0.0304125,0.0191506,0.00588852,0.0367856,0.0333685,0,0,0.0465772,0,0.0321066,0.0176339,0.046381,0.0280339,0.0451824,0.0184254,0.0631124,0.0731679,0.0126219,0.0132168,0.016307,0.0296608,0.0109326,0.0204929,0.0370873,0.0534176,0.0741663,0.0155702,0.0853553,0.0366804,0,0,0,0,0.0149008,0,0,0
605,0.0627922,0,0,0,0,0.0818885,0,0,0,0,0,0.0110345,0.0201268,0.00529839,0.0303514,0,0,0.0661076,0,0.0467416,0.0383999,0.0248898,0.0134359,0.0566854,0.00625679,0.0732993,0.086777,0.00580584,0.00353491,0.00350928,0.0395775,0.00441233,0.00380758,0.00568352,0.035651,0.00956248,0.0673454,0.0153743,0.0362314,0.0176941,0.019055,0.00838153,0.0320104,0.0327232,0,0,0.0474906,0,0.0319887,0.0165103,0.0501172,0.0185508,0.0444689,0.00495541,0.0643964,0.072894,0.00646847,0.00652044,0.00648041,0.0359625,0.00688483,0.00829496,0.0148733,0.0540472,0.0740899,0.0150067,0.0843644,0.0358227,0,0,0,0,0.00319009,0.0320691,0,0
606,0.0621996,0,0,0,0,0.081578,0,0,0,0,0,0.0110354,0.0196256,0.00516475,0.0304051,0,0,0.065757,0,0.0470906,0.0379706,0.0248505,0.0132886,0.0567886,0.00645307,0.0732085,0.0864973,0.00575147,0.00365532,0.00341902,0.0395837,0.00451132,0.00389981,0.00568235,0.0354912,0.00943077,0.067352,0.0156699,0.0358246,0.0176275,0.018903,0.00831131,0.0319499,0.0324489,0,0,0.0483096,0,0.0318204,0.0154942,0.0501542,0.0184693,0.0445471,0.0049399,0.064588,0.0727752,0.00638231,0.00645368,0.00652812,0.0359722,0.00681794,0.00824001,0.0149033,0.054739,0.0732546,0.0142791,0.0842564,0.0352811,0,0,0,0,0.0031607,0.0320812,0,0
607,0.061476,0,0,0,0,0.0811969,0,0,0,0,0,0.0114377,0.0191705,0.00473788,0.0303991,0,0,0.0650671,0,0.0472254,0.0374848,0.0248039,0.012758,0.0568538,0.00641917,0.0733394,0.0862801,0.00565371,0.00376975,0.0033122,0.0395759,0.00461522,0.00407838,0.00555051,0.035053,0.00989596,0.0672801,0.0158466,0.0357903,0.0176316,0.0188308,0.00830489,0.0319229,0.0321518,0,0,0.0488353,0,0.0315949,0.0146855,0.0501733,0.0184689,0.0445514,0.00495104,0.064912,0.0723148,0.00635235,0.00637104,0.00657516,0.0359966,0.00687091,0.00830886,0.0148961,0.0551641,0.0721314,0.0135876,0.0841494,0.0346117,0,0,0,0,0.00312207,0.0320804,0,0
608,0.0605095,0,0,0,0,0.0806089,0,0,0,0,0,0.0122349,0.01865,0.00452445,0.0304223,0,0,0.0640973,0,0.0473675,0.0368296,0.0247738,0.0122978,0.0568381,0.00607614,0.0736707,0.0855655,0.00562456,0.00516627,0.00334043,0.0395409,0.00453721,0.00415372,0.00540333,0.0347876,0.0106993,0.0667845,0.0159956,0.0355501,0.0175814,0.0187784,0.00825203,0.0320081,0.0317498,0,0,0.0494106,0,0.0312278,0.0137739,0.050205,0.0184313,0.0445744,0.0049897,0.0650833,0.0718645,0.00635371,0.00632895,0.00660926,0.0359901,0.00692865,0.00836936,0.0149378,0.0556311,0.0709145,0.0129417,0.0838823,0.033733,0,0,0,0,0.00307131,0.0320716,0,0
609,0.0609445,0,0,0,0,0.0808728,0,0,0,0,0,0.0118676,0.0180724,0.0094804,0.0325448,0,0,0.0638124,0,0.0472543,0.0364655,0.0260412,0.0179181,0.0577934,0.00478753,0.0745474,0.0861861,0.0066329,0,0.00555962,0.0402153,0.00460027,0.00454678,0.00778395,0.0389029,0.0125587,0.0673977,0.0158831,0.035613,0.0306075,0.0186937,0.00580681,0.0366313,0.031523,0,0,0.0496366,0,0.0310032,0.0129234,0.0465168,0.0280829,0.0456057,0.0188757,0.0637501,0.0716621,0.0127875,0.0134961,0.0167087,0.029667,0.0111103,0.020662,0.0374224,0.0559555,0.0690069,0.0122607,0.08441,0.0331533,0,0,0,0,0.0151043,0,0,0
610,0.0583676,0,0,0,0,0.0793264,0,0,0,0,0,0.012635,0.0175594,0.00468131,0.0304739,0,0,0.0615605,0,0.0473471,0.0356125,0.0247462,0.0126439,0.0569002,0.00555656,0.0738981,0.0838278,0.00575797,0.00579003,0.00359274,0.0394285,0.00446123,0.00413138,0.00543649,0.0350918,0.0114704,0.0653353,0.0159896,0.0353616,0.0175186,0.0187781,0.0083016,0.0322153,0.0310198,0,0,0.0498512,0,0.030393,0.0123543,0.0501715,0.0182982,0.0446377,0.00503515,0.0654258,0.0702577,0.00642001,0.00642303,0.00651743,0.0359843,0.00688312,0.0081666,0.0146113,0.0557638,0.0674003,0.0119783,0.0830483,0.0317925,0,0,0,0,0.00312479,0.032053,0,0
611,0.0570068,0,0,0,0,0.0785702,0,0,0,0,0,0.0126838,0.0171429,0.00489303,0.0305017,0,0,0.0597878,0,0.0475253,0.0348917,0.0247943,0.013075,0.0568751,0.00532202,0.0740031,0.0825986,0.00587212,0.00555508,0.00390279,0.0394232,0.00443918,0.00406734,0.0055215,0.035448,0.0117402,0.063985,0.0158587,0.0349801,0.0173419,0.0188208,0.00826309,0.0323309,0.0305072,0,0,0.0501888,0,0.0297781,0.0114605,0.050112,0.0181446,0.044457,0.00502254,0.0656136,0.0695702,0.00644955,0.00646727,0.00645547,0.0360038,0.00687379,0.00811892,0.0144087,0.0559027,0.0661498,0.0118992,0.082421,0.0306247,0,0,0,0,0.00310934,0.0320897,0,0
612,0.055689,0,0,0,0,0.0777408,0,0,0,0,0,0.0127724,0.0167283,0.0050252,0.0304545,0,0,0.0581471,0,0.0476982,0.0341763,0.0248566,0.0133157,0.0568276,0.00519107,0.0740094,0.0812786,0.00605635,0.00537018,0.00399732,0.0394302,0.00433724,0.00404153,0.00558738,0.03563,0.01198,0.0627428,0.0156726,0.0347996,0.0172316,0.0188761,0.00828784,0.0323804,0.0301023,0,0,0.0500726,0,0.0292679,0.0108688,0.0500398,0.0180772,0.0442606,0.00498459,0.0657091,0.0684152,0.00646004,0.00644687,0.00643043,0.03604,0.0068699,0.00806554,0.0141836,0.0555507,0.0645332,0.0117965,0.0816562,0.0294657,0,0,0,0,0.00312012,0.0320974,0,0
613,0.0543517,0,0,0,0,0.0768143,0,0,0,0,0,0.0129244,0.0163345,0.00503389,0.0303201,0,0,0.0565217,0,0.0479775,0.0334029,0.0248787,0.0133147,0.0567819,0.00523251,0.0738683,0.0798092,0.00625335,0.00520267,0.00389691,0.0394469,0.00421528,0.00405675,0.00560336,0.0355709,0.0121563,0.0614008,0.0154052,0.0345798,0.0171323,0.0189067,0.00827588,0.0323571,0.0296607,0,0,0.04986,0,0.028741,0.0103828,0.0500025,0.0180797,0.044138,0.00493575,0.0655796,0.0670823,0.00640456,0.00636491,0.00643593,0.0360611,0.00683641,0.00803529,0.0140186,0.0550156,0.062844,0.0117915,0.0807642,0.0283096,0,0,0,0,0.00310907,0.0320977,0,0
614,0.0532382,0,0,0,0,0.0759161,0,0,0,0,0,0.0130874,0.0160078,0.00485363,0.030125,0,0,0.0551224,0,0.0482781,0.0326481,0.0249248,0.0129274,0.05666,0.00558755,0.0735184,0.0783057,0.00610527,0.00528159,0.0036872,0.0394802,0.00428191,0.00412491,0.00552204,0.0351846,0.0121087,0.0601672,0.0151594,0.0343713,0.0169838,0.0189172,0.00825841,0.0322277,0.0293096,0,0,0.0490127,0,0.0284181,0.0104373,0.04994,0.0179742,0.0439502,0.00489522,0.0652701,0.0651128,0.00633079,0.00635325,0.00644259,0.0360937,0.00680388,0.0080061,0.0138486,0.053813,0.0605354,0.0114261,0.0798753,0.0272252,0,0,0,0,0.00308814,0.0320997,0,0
615,0.0518331,0,0,0,0,0.07492,0,0,0,0,0,0.0133688,0.015691,0.00468733,0.0299295,0,0,0.0540401,0,0.0486501,0.0318941,0.0249299,0.0125197,0.0565122,0.00590423,0.0731534,0.0769179,0.00583065,0.00537092,0.00354962,0.0395145,0.00446892,0.00425642,0.00545354,0.0347475,0.01225,0.0590819,0.0150089,0.0340897,0.0168957,0.0190001,0.00825711,0.0321256,0.0287079,0,0,0.0493495,0,0.0277896,0.00979909,0.049897,0.0177959,0.0438331,0.00490802,0.0649619,0.0641756,0.00631639,0.00636205,0.00636703,0.0360997,0.00677469,0.00792233,0.0136072,0.0536964,0.0597069,0.0121085,0.0789934,0.0260396,0,0,0,0,0.00313098,0.0321054,0,0
616,0.0516149,0,0,0,0,0.0747603,0,0,0,0,0,0.0127831,0.015503,0.00770959,0.0320987,0,0,0.0538905,0,0.0489864,0.0314117,0.0261814,0.0163308,0.0575049,0.00469771,0.0738555,0.0764935,0.00635774,0.00455052,0.00572562,0.040286,0.0039919,0.00392858,0.00675015,0.0378664,0.0134203,0.058946,0.0148465,0.0338903,0.0302113,0.0191011,0.00554924,0.0368524,0.0277835,0,0,0.049361,0,0.0273848,0.00938649,0.0462715,0.0284283,0.0443332,0.0206919,0.0633039,0.0633407,0.0139123,0.0149754,0.0178079,0.0293921,0.0115141,0.0215853,0.0378325,0.053402,0.0587987,0.0126676,0.0789933,0.0247078,0,0,0,0,0.0163736,0,0,0
617,0.0506186,0,0,0,0,0.0738851,0,0,0,0,0,0.0127713,0.0153985,0.00727362,0.0319809,0,0,0.0527276,0,0.0493984,0.0307048,0.0262528,0.0158256,0.0574623,0.00495658,0.0734327,0.0747909,0.00627984,0.00468059,0.00563799,0.0403596,0.00378662,0.00363472,0.00644044,0.0374912,0.0131472,0.0574304,0.0147453,0.0334552,0.0296088,0.0192378,0.00554389,0.0367726,0.0274359,0,0,0.048002,0,0.0273841,0.00982615,0.0463337,0.0284086,0.043963,0.0233153,0.062838,0.0606863,0.0146496,0.0166299,0.0192816,0.0290176,0.0118124,0.0226233,0.0385318,0.0515723,0.0570684,0.0124611,0.0781301,0.0236487,0,0,0,0,0.0175536,0,0,0
618,0.0495239,0,0,0,0,0.0730227,0,0,0,0,0,0.0125874,0.0152686,0.00558474,0.0315626,0,0,0.0522459,0,0.0497617,0.0301177,0.0262664,0.014133,0.0571478,0.00565832,0.0727005,0.0737597,0.00579797,0.00495966,0.00513905,0.0404418,0.00338803,0.00305811,0.00549036,0.0361406,0.0124927,0.0566998,0.0146385,0.0332666,0.0295938,0.0193045,0.00540742,0.0362912,0.0268612,0,0,0.0479669,0,0.0270079,0.00945391,0.046209,0.0283373,0.0439786,0.021635,0.0623824,0.0592935,0.0142486,0.0160365,0.0182652,0.0293251,0.0115663,0.0218805,0.0376218,0.0509701,0.056549,0.0130095,0.0772875,0.0227,0,0,0,0,0.0166936,0,0,0
619,0.0476537,0,0,0,0,0.0715136,0,0,0,0,0,0.0141052,0.0151101,0.00467008,0.0287386,0,0,0.0511387,0,0.0501214,0.0293766,0.0249758,0.0117162,0.0557674,0.00689444,0.0707859,0.0719584,0.0052815,0.00571191,0.00324588,0.0395614,0.00510295,0.00489201,0.00548764,0.0336754,0.0126422,0.0552496,0.0145509,0.0331737,0.0162595,0.0194141,0.00809671,0.030943,0.0270016,0,0,0.0477629,0,0.0267358,0.00924217,0.0497554,0.017423,0.0432519,0.00492037,0.0630254,0.0573924,0.0062458,0.00618692,0.00622377,0.0362082,0.00662333,0.00764908,0.0129048,0.0499956,0.0561614,0.013551,0.0756689,0.0223986,0,0,0,0,0.00393419,0.0322306,0,0
620,0.0476042,0,0,0,0,0.0717341,0,0,0,0,0,0.0127673,0.0150764,0.00500193,0.0312269,0,0,0.0512487,0,0.0504105,0.029083,0.0262756,0.0135252,0.0569811,0.0060903,0.0719839,0.0718372,0.00506394,0.0050156,0.00501937,0.0404809,0.00339206,0.00295787,0.00517,0.0355729,0.0123889,0.0552835,0.014486,0.0330068,0.0291145,0.019609,0.00561274,0.0360461,0.0261244,0,0,0.0474158,0,0.0264451,0.0091918,0.0462539,0.0284274,0.0435634,0.0234232,0.0615763,0.0563526,0.0149381,0.0169155,0.0190708,0.0289943,0.0117323,0.0226158,0.0380373,0.0493238,0.0556931,0.0139536,0.0760269,0.0213956,0,0,0,0,0.018172,0,0,0
