Timestep,,C7,CBL,CBR,CFL,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,x71,x72,x73,IMUR_M,RASI,RWRA,CFR
13,0,0.0147541,0,0,0,0.0214768,0,0,0,0,0,0.00877444,0.0442239,0.0107194,0,0,0,0.0146082,0,0.0580953,0.00377985,0.0309575,0.0259671,0.030769,0.00651669,0.015782,0.0118337,0.00680581,0.00495522,0.00405688,0.0419419,0.0122359,0.0126341,0.0111766,0.0265715,0.00593444,0.00763076,0.0265663,0.00590979,0.00874262,0.045732,0.00415273,0.0207312,0,0,0.0207459,0,0.0372205,0.00924744,0.0477215,0.00620668,0.0295981,0.014046,0.0178109,0.0121142,0.0084582,0.027389,0.0122888,0.0153614,0.00867709,0.0330803,0.00507195,0.00852912,0.0139776,0.0159591,0.0780659,0.0241054,0.0117504,0,0,0,0,0,0,0
14,0,0.0146878,0,0,0,0.0215408,0,0,0,0,0,0.00943345,0.0441279,0.0111279,0,0,0,0.0147533,0,0.0581276,0.00373755,0.0310728,0.0269585,0.0301342,0.00626478,0.0157888,0.0115244,0.00704119,0.00537252,0.00397763,0.0423729,0.0124837,0.0128809,0.0113458,0.0263784,0.00621734,0.00813025,0.0265388,0.00619935,0.0086606,0.0457533,0.0040829,0.0209377,0,0,0.020629,0,0.0370919,0.00909649,0.0479404,0.00579682,0.0293786,0.0136839,0.0178104,0.012283,0.00878028,0.0270394,0.0129291,0.0158414,0.00790026,0.0330946,0.00450012,0.00770955,0.0138405,0.0158315,0.0782825,0.0241207,0.010993,0,0,0,0,0,0,0
15,0,0.0146573,0,0,0,0.0215206,0,0,0,0,0,0.0100229,0.0440467,0.0115541,0,0,0,0.0148436,0,0.0581567,0.00358935,0.0312089,0.0277581,0.0295553,0.00603709,0.0155155,0.0109238,0.00724891,0.00572619,0.00395725,0.0427958,0.0127328,0.0131483,0.011506,0.0262022,0.00652844,0.0085676,0.0265352,0.00630501,0.00892951,0.0457938,0.00419467,0.0210633,0,0,0.0205576,0,0.0369579,0.00894773,0.0482563,0.00575858,0.02941,0.0130492,0.0174587,0.0124784,0.00917571,0.0266744,0.0135626,0.0163838,0.00738951,0.0332401,0.00405256,0.00718691,0.0140532,0.0156927,0.0785023,0.0240559,0.0101938,0,0,0,0,0,0,0
16,0,0.0146583,0,0,0,0.0214674,0,0,0,0,0,0.0105262,0.0439951,0.0120048,0,0,0,0.0148869,0,0.0581676,0.00333247,0.031368,0.0284316,0.0290675,0.00586511,0.0151262,0.0102249,0.00739482,0.00596522,0.0040456,0.0430986,0.0129777,0.0134536,0.0117162,0.026049,0.00678494,0.00892602,0.0265699,0.0060714,0.00941852,0.0458775,0.0044032,0.0211024,0,0,0.0205149,0,0.036887,0.00881702,0.0484448,0.00589717,0.0298044,0.0124682,0.016908,0.0126521,0.00963017,0.0262936,0.0140778,0.016909,0.0070972,0.0334559,0.00358426,0.00689496,0.0144645,0.0155954,0.0787703,0.0239666,0.00943146,0,0,0,0,0,0,0
17,0,0.0146356,0,0,0,0.0214006,0,0,0,0,0,0.0109788,0.0439301,0.0124233,0,0,0,0.01489,0,0.058144,0.00300481,0.0315683,0.0288779,0.028723,0.00577283,0.0148551,0.0097695,0.00751352,0.00618069,0.00422046,0.0433871,0.0131952,0.0137438,0.0118992,0.0259037,0.00702409,0.00925805,0.0266148,0.00579221,0.00984903,0.0459708,0.00456081,0.0210068,0,0,0.0205703,0,0.0368197,0.00870418,0.0484824,0.0059318,0.0304172,0.0120062,0.0165293,0.0127014,0.0100574,0.0259291,0.0144296,0.0173091,0.00692576,0.0336466,0.00330084,0.00667827,0.014853,0.0156587,0.0790313,0.0238894,0.0087624,0,0,0,0,0,0,0
18,0,0.014561,0,0,0,0.0212878,0,0,0,0,0,0.0113957,0.0438636,0.0128008,0,0,0,0.0148585,0,0.0581126,0.00268443,0.0316822,0.0292464,0.0286168,0.00570382,0.0147687,0.00958946,0.0076396,0.00641364,0.0044501,0.0435895,0.013368,0.0140037,0.0120322,0.025785,0.00723865,0.00956731,0.0266645,0.00551384,0.0100514,0.0460428,0.00457726,0.0208669,0,0,0.0206795,0,0.03675,0.00855462,0.0482381,0.00558725,0.0309408,0.0117023,0.0162401,0.0126492,0.0104577,0.0255633,0.0147064,0.0176517,0.00694249,0.0338874,0.00342837,0.0065679,0.0151818,0.0157885,0.0793068,0.023828,0.00826009,0,0,0,0,0,0,0
19,0,0.0144369,0,0,0,0.0211874,0,0,0,0,0,0.0118029,0.0438089,0.0130629,0,0,0,0.0148419,0,0.0581144,0.00238987,0.0317542,0.0294775,0.0283896,0.00562403,0.0146301,0.00957351,0.00783869,0.00669674,0.00463759,0.0436922,0.0134654,0.0141597,0.012096,0.0257427,0.0074364,0.00986266,0.0267181,0.00537747,0.0102587,0.0461077,0.00470236,0.0207715,0,0,0.020755,0,0.0366847,0.00839602,0.0478676,0.00532842,0.0314446,0.0118631,0.0159229,0.0125825,0.0107212,0.0253337,0.0149194,0.0178866,0.00692891,0.0340935,0.0038138,0.00654966,0.0155255,0.0159227,0.0795375,0.0237734,0.00798026,0,0,0,0,0,0,0
20,0,0.014298,0,0,0,0.0211498,0,0,0,0,0,0.0122577,0.0437544,0.0132846,0,0,0,0.0148257,0,0.0581461,0.00213664,0.0317342,0.0296359,0.0280631,0.00548522,0.014588,0.00958264,0.00806589,0.0069993,0.00450109,0.0436783,0.0135651,0.0142151,0.0121063,0.025774,0.00766322,0.0101545,0.0267765,0.00532604,0.0104618,0.0461548,0.00491659,0.0207428,0,0,0.0207813,0,0.0366311,0.00825735,0.0476521,0.00517409,0.0316626,0.0124161,0.0155768,0.012501,0.0108562,0.0252358,0.0150389,0.0180132,0.00695142,0.0342562,0.00395489,0.00658926,0.0158605,0.0160483,0.0797863,0.0237306,0.00788802,0,0,0,0,0,0,0
21,0,0.0140839,0,0,0,0.0211613,0,0,0,0,0,0.0127774,0.0437001,0.013493,0,0,0,0.014843,0,0.0582292,0.00203651,0.0317448,0.0297189,0.0277054,0.00529884,0.0149386,0.00970865,0.0082791,0.00735269,0.00412914,0.0436257,0.0136763,0.014232,0.0120693,0.0258296,0.00797127,0.0104263,0.0268195,0.00544768,0.0105853,0.0461918,0.00509658,0.0206994,0,0,0.0209087,0,0.0365954,0.00820541,0.0475196,0.0050144,0.0318051,0.0131764,0.0155291,0.0123812,0.0109127,0.0252196,0.0150451,0.0180253,0.00705949,0.0343997,0.00386886,0.00671229,0.016015,0.016331,0.0799854,0.0237356,0.00797456,0,0,0,0,0,0,0
22,0,0.013659,0,0,0,0.0212651,0,0,0,0,0,0.0132287,0.0436882,0.0135184,0.0108142,0,0,0.0147959,0,0.0582837,0.00192745,0.0319632,0.0296492,0.0270899,0.0048181,0.0166368,0.0102698,0.00866584,0.00782065,0.0040785,0.0435333,0.0135711,0.0141313,0.0119778,0.0259513,0.00820552,0.0107776,0.0268666,0.00553596,0.0102696,0.046188,0.00515805,0.020285,0,0,0.0213471,0,0.0365591,0.00828951,0.0471027,0.00483407,0.032,0.0138515,0.0169674,0.0120409,0.0108838,0.0253633,0.0149349,0.0179932,0.00738864,0.0346562,0.00390548,0.00691533,0.0158034,0.0169445,0.0801275,0.023965,0.00803628,0,0,0,0,0,0,0
23,0,0.0134388,0,0,0,0.0212425,0,0,0,0,0,0.0138838,0.0436606,0.0137927,0.0107796,0,0,0.0148135,0,0.0583111,0.00198151,0.0319387,0.0297803,0.0270904,0.00465202,0.017064,0.0106549,0.00886373,0.00816679,0.00416095,0.0433768,0.0136834,0.0142773,0.0119586,0.0258922,0.00876117,0.0110662,0.0268551,0.00548771,0.0102283,0.0461835,0.00523479,0.0201224,0,0,0.0215073,0,0.0365127,0.00824878,0.0471296,0.00491219,0.031919,0.0140673,0.0172754,0.0118828,0.01075,0.025494,0.0147383,0.0178306,0.00747547,0.0347553,0.00379238,0.00686286,0.0157772,0.0171903,0.0803493,0.0239948,0.00850928,0,0,0,0,0,0,0
24,0,0.013321,0,0,0,0.021211,0,0,0,0,0,0.0144979,0.0436362,0.0140438,0.010803,0,0,0.0147846,0,0.0583518,0.00210995,0.0318726,0.0299127,0.0271807,0.00455116,0.0175432,0.0110414,0.00910679,0.00852414,0.00426226,0.0431819,0.0137339,0.0143607,0.0119102,0.0259082,0.00934482,0.0114001,0.0268321,0.00542485,0.0103685,0.0461686,0.00546894,0.019931,0,0,0.0217337,0,0.0364846,0.008226,0.0472188,0.00516912,0.0317536,0.0139671,0.0176398,0.011708,0.0105904,0.0256237,0.0145749,0.0177087,0.00746001,0.0348865,0.00371372,0.00684604,0.0157128,0.017466,0.0805383,0.0240044,0.00899152,0,0,0,0,0,0,0
25,0,0.0131606,0,0,0,0.0212996,0,0,0,0,0,0.0152155,0.0436379,0.0141317,0.0118107,0,0,0.0147392,0,0.0583865,0.00225404,0.0318179,0.0299822,0.0270451,0.00432217,0.0194087,0.0117001,0.0094773,0.00905761,0.00437933,0.0429599,0.013602,0.0142891,0.0117649,0.02612,0.0100822,0.0119376,0.0268581,0.00541855,0.0105059,0.0461198,0.00585497,0.0193913,0,0,0.0223337,0,0.0364694,0.00835314,0.0471684,0.00548393,0.0316173,0.0138211,0.0190876,0.0113971,0.0106157,0.0257414,0.0145952,0.0178516,0.00778227,0.0353143,0.00393899,0.00703895,0.0156233,0.018199,0.080628,0.0242465,0.0092885,0,0,0,0,0.00862992,0,0
26,0,0.0131597,0,0,0,0.0212725,0,0,0,0,0,0.0154622,0.0436178,0.0141961,0.0117654,0,0,0.0148298,0,0.0584191,0.0024382,0.0317465,0.0301477,0.0272093,0.00432548,0.0196403,0.0120665,0.00968357,0.00951095,0.0044284,0.0429273,0.0134803,0.0142094,0.011651,0.0263338,0.0105287,0.0123719,0.0268991,0.00545562,0.0106059,0.0460861,0.00597209,0.0191921,0,0,0.0225934,0,0.0364163,0.00836397,0.0470964,0.0055727,0.031522,0.0131855,0.0192681,0.0112129,0.0105232,0.0258687,0.014404,0.0176976,0.00778621,0.0354283,0.00389944,0.00703738,0.0156088,0.0185413,0.0807357,0.024247,0.00966862,0,0,0,0,0.00886498,0,0
27,0,0.0132286,0,0,0,0.0212853,0,0,0,0,0,0.0155797,0.0436314,0.0141725,0.0117024,0,0,0.0150378,0,0.0584554,0.00256232,0.0316916,0.0302223,0.0273537,0.00432181,0.0198145,0.0123775,0.00987523,0.00955355,0.00459449,0.0429843,0.013261,0.0140218,0.011476,0.0266236,0.0108571,0.0128812,0.0270047,0.00542707,0.010752,0.0460635,0.00606139,0.0191457,0,0,0.0229078,0,0.0363826,0.00840547,0.0469916,0.00565565,0.0314354,0.0126949,0.0193304,0.0110992,0.0104458,0.0259585,0.0142277,0.0175576,0.0077365,0.035514,0.00385346,0.00697101,0.015679,0.0189615,0.0808815,0.0242384,0.00999826,0,0,0,0,0.00919122,0,0
28,0,0.013401,0,0,0,0.0213818,0,0,0,0,0,0.0154796,0.0436473,0.0141003,0.0116721,0,0,0.0153061,0,0.0584606,0.00270034,0.0316551,0.0302791,0.0274196,0.00424196,0.0199923,0.0125122,0.0100243,0.00981055,0.00465322,0.0430234,0.0130528,0.0138763,0.0113588,0.0269594,0.0106998,0.0134963,0.0270834,0.00535456,0.0109013,0.0460289,0.00611591,0.0191533,0,0,0.0232884,0,0.0363161,0.00848248,0.0469226,0.00567537,0.0313779,0.0125259,0.0193337,0.0111183,0.0103927,0.0260375,0.0141181,0.017442,0.00765562,0.035564,0.00387048,0.00688294,0.0157613,0.0194238,0.0810207,0.024276,0.0102443,0,0,0,0,0.00957405,0,0
29,0,0.0136067,0,0,0,0.0215465,0,0,0,0,0,0.015119,0.0436369,0.0139686,0.0117261,0,0,0.0156059,0,0.0584762,0.00295239,0.0316152,0.0302816,0.0274052,0.00416055,0.0201955,0.0126274,0.0101058,0.0101005,0.00464908,0.0429691,0.0128088,0.013715,0.0112233,0.0273025,0.0102462,0.0140987,0.02713,0.00527936,0.0109425,0.0459814,0.00608525,0.0192165,0,0,0.0237091,0,0.0362207,0.0085633,0.0469057,0.00547066,0.0313149,0.0127465,0.0193187,0.0112511,0.0103142,0.0260858,0.014063,0.017349,0.00759826,0.0355704,0.00407121,0.00682841,0.0157986,0.0198882,0.0811866,0.0244035,0.0104132,0,0,0,0,0.0100044,0,0
