Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,RASI,x79,,x90
618,0.0693076,0,0,0,0,0.0379504,0,0,0,0,0,0,0.00569229,0.0542841,0.0172948,0.00322999,0,0,0.0901146,0,0.059586,0.05242,0.0328944,0.04368,0.0315878,0.00836385,0.0111702,0.0750803,0.0085292,0.00604572,0.0116726,0.0490624,0.0164389,0.0178738,0.0171446,0.0411708,0.0247766,0.0742998,0.0219119,0.0331959,0.00921214,0.0115499,0.0144703,0.0630867,0,0,0.0338694,0,0,0.0122686,0.0469853,0.0308183,0.0262122,0.0153494,0.00717983,0.0383333,0.0110579,0.0285735,0.00578189,0.0124631,0.0159026,0.0221841,0.0141094,0.0181621,0.00236221,0.0348021,0.0677297,0.0161295,0.0282567,0.0542019,0,0,0.0116835,0,0,0
619,0.0698672,0,0,0,0,0.0388848,0,0,0,0,0,0,0.00581733,0.0545126,0.0175057,0.00339561,0,0,0.0901256,0,0.0596355,0.0523658,0.0334688,0.0427627,0.0311266,0.0081653,0.0116517,0.0751927,0.00907222,0.0066349,0.0125748,0.0494656,0.0164413,0.0178503,0.0171629,0.0411375,0.0238358,0.074504,0.0221972,0.0333042,0.00918891,0.0115969,0.0136183,0.0635386,0,0,0.034012,0,0,0.0122253,0.0468595,0.0285146,0.0259899,0.0148963,0.00684797,0.0381553,0.0111182,0.0284189,0.00623277,0.012554,0.0152042,0.0229852,0.0132637,0.0174554,0.00204041,0.0348224,0.057172,0.011999,0.0290708,0.0547178,0,0,0.0115366,0,0,0
620,0.0160987,0,0,0,0,0.0434704,0,0,0,0,0,0,0.00601202,0.0258753,0.0175894,0.00788731,0,0,0.165499,0,0.0495802,0.104041,0.0338382,0.0414911,0.0273407,0.00819442,0.0201867,0.0570537,0.00937479,0.00684753,0.0133349,0.0496194,0.0165241,0.0179414,0.0172664,0.0412396,0.0239393,0.116172,0.0282919,0.0792923,0.0089845,0.0120585,0.0131613,0.0164801,0,0,0.0331691,0,0,0.0109921,0.0468005,0.0265398,0.0253987,0.0154178,0.00980142,0.0325401,0.010833,0.0285411,0.00684866,0.012584,0.0149179,0.0237505,0.0127085,0.0171587,0.00150543,0.0319206,0.065988,0.0146547,0.0462897,0.0016025,0,0,0.0159557,0,0,0
621,0.0696534,0,0,0,0,0.0382176,0,0,0,0,0,0,0.00542367,0.0544409,0.017765,0.00301057,0,0,0.0903848,0,0.0597716,0.0525505,0.0344036,0.0402691,0.0308411,0.00817776,0.0108027,0.0751789,0.0101807,0.00728208,0.0142589,0.0503089,0.0165365,0.0179323,0.0173728,0.0411354,0.0223208,0.0749753,0.0223942,0.0336593,0.00893142,0.0119912,0.0123891,0.0633718,0,0,0.033948,0,0,0.0115801,0.0465851,0.0244052,0.0261937,0.0152398,0.00655171,0.038197,0.0110218,0.0282418,0.00731805,0.0126603,0.0140417,0.0244933,0.0118652,0.0163368,0.00124361,0.035138,0.0653248,0.0142995,0.0283348,0.0549633,0,0,0.0102069,0,0,0
622,0.0687081,0,0,0,0,0.0368049,0,0,0,0,0,0,0.00511198,0.0543342,0.017816,0.00274989,0,0,0.0903209,0,0.0599014,0.0525426,0.0347118,0.0387767,0.0309065,0.00838184,0.00977476,0.0746217,0.0107712,0.00829531,0.0147344,0.0506906,0.0167384,0.0180887,0.0176714,0.0412134,0.0218301,0.0748924,0.0224482,0.033746,0.00923254,0.0123139,0.0118759,0.0625689,0,0,0.0336,0,0,0.0113894,0.046439,0.0228051,0.0265687,0.0159687,0.00657595,0.0377868,0.0110337,0.0281665,0.00798027,0.0127796,0.0137037,0.0251875,0.011224,0.0159535,0.000697705,0.0349942,0.0652665,0.0138412,0.0271415,0.0545258,0,0,0.00931651,0,0,0
623,0.067488,0,0,0,0,0.0353285,0,0,0,0,0,0,0.00516621,0.0543217,0.0178718,0.00256093,0,0,0.0900778,0,0.0600483,0.0523917,0.0349636,0.0371189,0.03106,0.0086362,0.00844702,0.0738575,0.011214,0.00905596,0.0153797,0.0510798,0.0170565,0.0184439,0.0180667,0.0413392,0.0213411,0.074638,0.0225461,0.0337005,0.00951555,0.0126278,0.0112142,0.061518,0,0,0.0333581,0,0,0.0112867,0.0462552,0.0212254,0.0270326,0.0164958,0.00678215,0.0375142,0.0109584,0.0280839,0.00834831,0.0126721,0.013208,0.0259015,0.0104963,0.015375,0.000700958,0.0348852,0.0653159,0.013325,0.0259999,0.0538522,0,0,0.00836058,0,0,0
624,0.0659248,0,0,0,0,0.0335628,0,0,0,0,0,0,0.00551588,0.0543641,0.0179865,0.00244767,0,0,0.0897632,0,0.0602112,0.052174,0.0351109,0.0354223,0.0313904,0.0090103,0.00665058,0.0729248,0.0114157,0.00968388,0.0162767,0.0514522,0.0174309,0.0189419,0.0184435,0.0415047,0.0208167,0.0742899,0.0226744,0.0334858,0.00963499,0.0129765,0.0103788,0.0602278,0,0,0.0331238,0,0,0.0109522,0.0461812,0.0195568,0.0273951,0.0165304,0.00733511,0.0375419,0.0107686,0.0280437,0.00839232,0.0123606,0.0125106,0.0266465,0.00969228,0.0146021,0.00101436,0.034808,0.0653766,0.013178,0.0248051,0.0529356,0,0,0.00732995,0,0,0
625,0.063454,0,0,0,0,0.0306583,0,0,0,0,0,0,0.00651758,0.0541658,0.0183134,0.00301001,0,0,0.0896471,0,0.0604186,0.0519849,0.0350722,0.0339927,0.0321247,0.00959722,0.00360935,0.0716243,0.0113995,0.0111949,0.0172414,0.0518142,0.0178662,0.0195887,0.0189312,0.0416701,0.0202533,0.0739007,0.022719,0.0331265,0.00922445,0.0136779,0.00956231,0.0584094,0,0,0.0322911,0,0,0.0103603,0.0462715,0.0182002,0.0279026,0.0160236,0.00895102,0.0376378,0.0104801,0.0281466,0.0083404,0.0120405,0.0118154,0.0273084,0.00891034,0.0138422,0.000876558,0.0342632,0.055311,0.00935343,0.0232873,0.0515109,0,0,0.00621906,0,0,0
626,0.0588991,0,0,0,0,0.0267645,0,0,0,0,0,0,0.00677509,0.0538911,0.0189612,0.00469851,0,0,0.0883662,0,0.0605188,0.0511206,0.0347538,0.033251,0.0332662,0.0105049,0.0016568,0.0687187,0.0109549,0.0124432,0.0180265,0.0519382,0.0184651,0.0203809,0.0196354,0.0419606,0.0197232,0.0724191,0.0228364,0.0323931,0.00945569,0.0142838,0.00905203,0.0552247,0,0,0.0315013,0,0,0.00987736,0.0464414,0.0170035,0.0287445,0.0156821,0.0121127,0.039961,0.0102176,0.028153,0.00847633,0.0118332,0.0112996,0.0279162,0.00824244,0.0133061,0.00130904,0.034362,0.0552336,0.00902148,0.0223504,0.048608,0,0,0.00580303,0,0,0
627,0.057164,0,0,0,0,0.0256734,0,0,0,0,0,0,0.00657322,0.0538114,0.0193762,0.00561771,0,0,0.0880078,0,0.0605803,0.0508099,0.0346101,0.0327777,0.0337062,0.0111893,0.00323014,0.0677406,0.0106861,0.0134355,0.0187962,0.0521599,0.0186734,0.0207438,0.0198753,0.0419288,0.0195048,0.0721464,0.0229284,0.0321237,0.00939525,0.0145553,0.00835456,0.0541498,0,0,0.0314296,0,0,0.00980341,0.0465245,0.0156453,0.0290229,0.0149117,0.0133936,0.0413998,0.00982015,0.0282347,0.00850922,0.0115809,0.0106971,0.0285617,0.00747056,0.0126072,0.00141726,0.0345766,0.0551618,0.00884888,0.0227353,0.0474928,0,0,0.00619747,0,0,0
628,0.0558256,0,0,0,0,0.0251915,0,0,0,0,0,0,0.00613532,0.0537436,0.0196247,0.00648161,0,0,0.0876367,0,0.0605562,0.0505264,0.0344557,0.0324571,0.0340154,0.0118348,0.00457486,0.0670344,0.0102926,0.0143824,0.0191743,0.0522867,0.0187227,0.0209244,0.0197533,0.0416986,0.0193071,0.0719988,0.0230428,0.0319676,0.00926156,0.0146569,0.00763469,0.0532466,0,0,0.0315664,0,0,0.00971721,0.046654,0.0144219,0.0291647,0.0141865,0.0142684,0.0425861,0.00945168,0.0284157,0.00852683,0.0113165,0.010126,0.0291491,0.00673381,0.0119125,0.00154941,0.0349254,0.0552998,0.00870726,0.0232625,0.0465336,0,0,0.00672865,0,0,0
629,0.0553158,0,0,0,0,0.0252224,0,0,0,0,0,0,0.00547372,0.0537012,0.0195125,0.00725351,0,0,0.0866373,0,0.0599935,0.0497983,0.0343411,0.0320204,0.034316,0.0123351,0.00540419,0.0668315,0.00988573,0.0150666,0.0193278,0.0524596,0.0186216,0.0207095,0.0192481,0.0413634,0.0194651,0.0718461,0.0232331,0.0315885,0.00926286,0.014643,0.00695111,0.0527286,0,0,0.0317981,0,0,0.00982724,0.0468065,0.0131999,0.029005,0.0137274,0.0147377,0.0428922,0.00917379,0.0285466,0.0084966,0.0110554,0.00958163,0.0297292,0.00603631,0.0112098,0.00160066,0.0351156,0.0552638,0.00857475,0.0234615,0.0458647,0,0,0.0072525,0,0,0
630,0.0575714,0,0,0,0,0.0262842,0,0,0,0,0,0,0.00460532,0.0527023,0.0190366,0.00784295,0,0,0.0831666,0,0.0588337,0.0465531,0.0340066,0.0314932,0.034336,0.0126392,0.00573509,0.0682729,0.00920518,0.0146783,0.0185781,0.0524787,0.0184028,0.0203158,0.0190069,0.0412888,0.0202403,0.0709532,0.0224688,0.027043,0.00979655,0.014446,0.00700225,0.0545264,0,0,0.0324164,0,0,0.0103367,0.0470675,0.0124421,0.0290254,0.0140446,0.0150776,0.0428741,0.00908717,0.0286146,0.00876987,0.0111042,0.0094867,0.0301908,0.0056439,0.0109414,0.00203293,0.03558,0.0550036,0.00858739,0.0239183,0.0473758,0,0,0.00754733,0,0,0
631,0.0199621,0,0,0,0,0.0219066,0,0,0,0,0,0,0.00491385,0.0264517,0.0183346,0.00367106,0,0,0.151643,0,0.0502481,0.0969984,0.0336369,0.0303151,0.0306528,0.0129582,0.00377324,0.0461809,0.00830284,0.01439,0.0176525,0.0522021,0.0177431,0.0196633,0.0182287,0.041061,0.0219708,0.107264,0.0290384,0.0749688,0.00985365,0.0152771,0.00683306,0.016195,0,0,0.0318333,0,0,0.00986184,0.0473611,0.0114521,0.0279401,0.014423,0.00796521,0.0414531,0.00870975,0.0288825,0.00889425,0.011085,0.00948821,0.0308243,0.00508705,0.0105936,0.00234542,0.0336138,0.0555252,0.00849807,0.0218992,0.0132824,0,0,0.00717778,0,0,0
632,0.0561198,0,0,0,0,0.0254505,0,0,0,0,0,0,0.00506492,0.053585,0.0173803,0.00855246,0,0,0.0886615,0,0.060341,0.0509041,0.0334248,0.0288509,0.0340783,0.0129028,0.0053577,0.0683031,0.00749567,0.0142708,0.016347,0.0523528,0.0168304,0.0187127,0.0171128,0.0405757,0.0221868,0.073707,0.0230494,0.0321165,0.00942092,0.0145917,0.00608051,0.0532892,0,0,0.0327193,0,0,0.0102385,0.0477772,0.0107175,0.0288926,0.0129626,0.0149071,0.0436846,0.00857108,0.0291943,0.00837325,0.0105788,0.00857918,0.0309898,0.00462098,0.00971393,0.00196525,0.0355355,0.0609458,0.0107308,0.0246436,0.0462926,0,0,0.00718817,0,0,0
633,0.0570629,0,0,0,0,0.0255917,0,0,0,0,0,0,0.00658444,0.0535653,0.0162012,0.0088467,0,0,0.0895261,0,0.0604485,0.0513523,0.0331977,0.0275003,0.0338379,0.0128664,0.00465106,0.0691795,0.00664393,0.0137166,0.014925,0.0521811,0.0158023,0.0174419,0.0158384,0.0401601,0.0240256,0.0744746,0.022996,0.0321958,0.00914155,0.0147935,0.00544526,0.054239,0,0,0.0325215,0,0,0.0100897,0.0481577,0.00944031,0.0288318,0.0120966,0.0144436,0.0430308,0.00834886,0.029414,0.00792503,0.010243,0.0078462,0.0313956,0.00398576,0.00881929,0.00238638,0.0347602,0.0554772,0.00842535,0.0250058,0.0471164,0,0,0.00709935,0,0,0
634,0.0588329,0,0,0,0,0.0267257,0,0,0,0,0,0,0.00805491,0.0538625,0.0147488,0.00927444,0,0,0.09031,0,0.0604338,0.0517409,0.0330908,0.0264267,0.0334719,0.0127146,0.00364306,0.0704566,0.00631485,0.0130901,0.0135663,0.0520473,0.0145393,0.0158818,0.0144181,0.0396571,0.0259849,0.0755888,0.0230195,0.0323607,0.00794233,0.0145959,0.00437327,0.0552967,0,0,0.0330229,0,0,0.01036,0.0484183,0.00871951,0.0285936,0.0112281,0.0138784,0.0420203,0.00810777,0.0298099,0.00738724,0.00983093,0.00706537,0.0318063,0.00338013,0.00789218,0.00107994,0.0348483,0.0585902,0.00951875,0.0251432,0.0481287,0,0,0.00739029,0,0,0
635,0.0608792,0,0,0,0,0.0280179,0,0,0,0,0,0,0.0102749,0.0540997,0.013135,0.00946549,0,0,0.09128,0,0.0604516,0.0522111,0.0329305,0.0257682,0.0330028,0.0124956,0.00217817,0.0719121,0.00652139,0.0120569,0.0122807,0.0518881,0.0132042,0.0144073,0.0130686,0.0391215,0.0283725,0.0767852,0.0230128,0.0326349,0.00782015,0.0145178,0.00418602,0.0566791,0,0,0.0335806,0,0,0.0107578,0.0485436,0.00820787,0.0282382,0.0112349,0.0131871,0.0406106,0.00813755,0.0300561,0.00738989,0.009816,0.00674667,0.032135,0.00303846,0.00747324,0.00132399,0.0347994,0.0584098,0.00967195,0.025324,0.0494278,0,0,0.00754351,0,0,0
636,0.0662869,0,0,0,0,0.0320365,0,0,0,0,0,0,0.0125502,0.0543718,0.0110931,0.00832561,0,0,0.0932177,0,0.0603389,0.0532968,0.0330925,0.0249848,0.0317149,0.0121279,0.00253772,0.0754737,0.00736592,0.0111606,0.0114826,0.0519794,0.0114686,0.0125296,0.0112204,0.0382621,0.0307795,0.0792256,0.0229095,0.0335472,0.00718049,0.0140175,0.00368264,0.0606717,0,0,0.0348757,0,0,0.0117403,0.04844,0.00751767,0.0271562,0.0108126,0.00993729,0.0378027,0.00809916,0.0303207,0.00727724,0.00977858,0.0063709,0.0325245,0.00261495,0.00689513,0.00177315,0.034883,0.0582421,0.0100073,0.0261177,0.0529996,0,0,0.00745676,0,0,0
637,0.0688998,0,0,0,0,0.0341964,0,0,0,0,0,0,0.0146969,0.0544239,0.0093678,0.00830196,0,0,0.0944204,0,0.0602924,0.0539278,0.0329911,0.0244144,0.0311138,0.0120965,0.00439485,0.0773773,0.00779853,0.0105367,0.0106334,0.0519041,0.0100404,0.0109414,0.00965263,0.0375335,0.0329648,0.080657,0.022818,0.0339898,0.00685179,0.0138555,0.00340435,0.0628474,0,0,0.0355248,0,0,0.0121443,0.0485251,0.0070661,0.0266812,0.0100861,0.00897182,0.0373148,0.00814672,0.0305092,0.00727184,0.00978521,0.00596911,0.0327456,0.00237576,0.00640367,0.0020606,0.03516,0.0582319,0.0100717,0.0270586,0.05478,0,0,0.00771062,0,0,0
638,0.0708335,0,0,0,0,0.0360783,0,0,0,0,0,0,0.0167809,0.0544986,0.00779491,0.00853376,0,0,0.0952633,0,0.0602252,0.0543457,0.0328595,0.0237552,0.030598,0.0122021,0.00558389,0.0788215,0.00782052,0.0103267,0.0100343,0.0518348,0.00878856,0.00954054,0.0081713,0.0368435,0.0350593,0.0817578,0.0227538,0.0343166,0.00660924,0.0136898,0.00325356,0.0644539,0,0,0.0361268,0,0,0.012483,0.0486282,0.00687555,0.0263622,0.00959652,0.00853882,0.0373259,0.00823421,0.0306682,0.00739758,0.00984955,0.00561618,0.0329432,0.00225274,0.00596331,0.00232277,0.035601,0.0583226,0.0100119,0.028013,0.0560605,0,0,0.00789953,0,0,0
639,0.0725479,0,0,0,0,0.038214,0,0,0,0,0,0,0.0190433,0.0546081,0.00644484,0.00863892,0,0,0.0957592,0,0.0600574,0.0545982,0.032772,0.0230075,0.0301593,0.0122421,0.00664474,0.0800151,0.0078432,0.0102304,0.00959982,0.0517114,0.00764837,0.00836041,0.00681231,0.0362438,0.0372784,0.0826454,0.0227398,0.0345496,0.00647665,0.0134711,0.00332131,0.065849,0,0,0.0369364,0,0,0.0129852,0.048658,0.006868,0.0260625,0.00943061,0.00818926,0.0375687,0.00841152,0.0308258,0.00768122,0.010016,0.00538211,0.0331366,0.00212522,0.005714,0.0027452,0.0362643,0.0582946,0.0101077,0.0292035,0.057092,0,0,0.00805077,0,0,0
640,0.0185139,0,0,0,0,0.0397614,0,0,0,0,0,0,0.0216443,0.0203862,0.00553104,0.00643124,0,0,0.165173,0,0.053303,0.105483,0.0324165,0.022075,0.0265109,0.0126943,0.0158854,0.050938,0.00808904,0.0105595,0.00946984,0.0512177,0.00686973,0.00750908,0.00553433,0.0358081,0.040132,0.114842,0.0288432,0.0849383,0.00616696,0.0137068,0.00338378,0.0219009,0,0,0.0371273,0,0,0.0131101,0.048796,0.00625473,0.0255494,0.00958066,0.00492134,0.033915,0.00838918,0.0310991,0.00794836,0.0101422,0.00540731,0.0333573,0.00188763,0.00556642,0.00374465,0.0346581,0.058073,0.0101036,0.0406342,0.0058338,0,0,0.0103793,0,0,0
641,0.0731903,0,0,0,0,0.0384221,0,0,0,0,0,0,0.0224955,0.054557,0.00488358,0.00877243,0,0,0.0964596,0,0.060069,0.0548749,0.0323971,0.0205355,0.0297794,0.0129294,0.00619171,0.0808197,0.00848277,0.0115145,0.00983094,0.0512135,0.00614506,0.00651225,0.00431161,0.0352095,0.0405154,0.0833144,0.022644,0.034437,0.00553299,0.0137072,0.00305246,0.066323,0,0,0.0374212,0,0,0.013395,0.0486927,0.00701251,0.0261652,0.00860494,0.0090893,0.0376304,0.0084304,0.0309689,0.00764547,0.00994441,0.0046998,0.0335155,0.00210596,0.00513426,0.00342292,0.0366514,0.0559058,0.00947799,0.0295058,0.0576176,0,0,0.00802758,0,0,0
642,0.0721187,0,0,0,0,0.0365273,0,0,0,0,0,0,0.0237657,0.0543317,0.00495937,0.00899261,0,0,0.0968392,0,0.0602519,0.0549921,0.0319729,0.0191762,0.0299001,0.0135865,0.00456666,0.0805589,0.00880579,0.0125047,0.0102529,0.0511244,0.00605975,0.00606892,0.00349101,0.0349254,0.0417029,0.0832593,0.0225308,0.0341862,0.00480248,0.0141532,0.00274234,0.0655035,0,0,0.0368742,0,0,0.0129327,0.0487302,0.00696411,0.0265993,0.0080878,0.0105331,0.0377354,0.00834679,0.0309563,0.00747334,0.00980909,0.0044173,0.0338459,0.00207977,0.0047603,0.00362538,0.0364509,0.0562118,0.00921472,0.0285549,0.0571529,0,0,0.00807269,0,0,0
643,0.0708425,0,0,0,0,0.0352205,0,0,0,0,0,0,0.0249586,0.0541367,0.00564428,0.00926439,0,0,0.0966453,0,0.0602384,0.0548574,0.0315425,0.0178639,0.0299817,0.0145451,0.00303183,0.0799417,0.00919443,0.0133288,0.0108474,0.051147,0.00625127,0.00599326,0.00312415,0.0347434,0.0428512,0.0829758,0.0224793,0.033966,0.00424946,0.0144207,0.00284036,0.0643979,0,0,0.03662,0,0,0.0127031,0.0486932,0.00710039,0.0270156,0.00758113,0.0121256,0.0381216,0.00820932,0.0309621,0.00720701,0.00961217,0.00420611,0.0341442,0.00212659,0.00444094,0.0041697,0.0365768,0.0563991,0.00905024,0.0281535,0.0563191,0,0,0.008461,0,0,0
644,0.0687318,0,0,0,0,0.0335166,0,0,0,0,0,0,0.0262173,0.0538567,0.00679095,0.00986014,0,0,0.0961337,0,0.060223,0.0545715,0.0310826,0.0166198,0.0302706,0.0155236,0.00261828,0.0788716,0.00971688,0.014115,0.0115368,0.0510337,0.00665619,0.00619256,0.00315225,0.0346459,0.0439965,0.0824135,0.022382,0.0335932,0.00386493,0.0147874,0.00316523,0.0626773,0,0,0.0363042,0,0,0.0125389,0.0486861,0.00744039,0.0276043,0.00712766,0.0144586,0.0390119,0.00803278,0.0309643,0.00697963,0.00936818,0.00403785,0.0343407,0.00245962,0.00422224,0.00479744,0.0367795,0.056392,0.00894033,0.0278306,0.0549434,0,0,0.00937981,0,0,0
645,0.0650481,0,0,0,0,0.0310305,0,0,0,0,0,0,0.02753,0.0535772,0.00801702,0.0111454,0,0,0.0950694,0,0.0602619,0.0539739,0.0306253,0.0153743,0.0310889,0.0163795,0.00615352,0.0768823,0.0104024,0.0154677,0.0122597,0.0507418,0.00695098,0.00643986,0.00328851,0.0345724,0.0451428,0.08121,0.0222879,0.032931,0.00349638,0.0152886,0.00345892,0.0600283,0,0,0.0357029,0,0,0.0121775,0.0487701,0.00782674,0.0285669,0.00665112,0.0181313,0.0412507,0.00789038,0.030965,0.0071316,0.00910703,0.00390606,0.0344631,0.00279933,0.00413078,0.00530663,0.0370955,0.0564702,0.00876333,0.0278178,0.0526178,0,0,0.011137,0,0,0
646,0.0635918,0,0,0,0,0.0300871,0,0,0,0,0,0,0.0290025,0.0533472,0.0091583,0.0119978,0,0,0.0950066,0,0.0602994,0.0539333,0.0304418,0.0144199,0.0315737,0.0170154,0.00896254,0.0764863,0.0110869,0.0164771,0.0124764,0.0509121,0.00701941,0.0065547,0.00359515,0.0343793,0.0463934,0.0810514,0.0221265,0.0326507,0.00309641,0.0156945,0.00370563,0.0593521,0,0,0.0351462,0,0,0.0118945,0.048808,0.00807049,0.0291094,0.00604196,0.0203078,0.0432685,0.00769199,0.0310382,0.00776193,0.00879083,0.00379486,0.0345795,0.00298887,0.00397072,0.00601458,0.0373502,0.05997,0.00970773,0.0282285,0.0519256,0,0,0.0127277,0,0,0
647,0.0629053,0,0,0,0,0.0300594,0,0,0,0,0,0,0.0302569,0.0533566,0.0107008,0.0124899,0,0,0.094877,0,0.060272,0.0538181,0.0304991,0.0139203,0.0318649,0.0177103,0.0111049,0.0763935,0.0118376,0.0172414,0.0124102,0.0510587,0.00713517,0.00651396,0.00406382,0.0340346,0.0474112,0.0810344,0.0220334,0.0323879,0.00295465,0.0158712,0.00407435,0.0589658,0,0,0.0349905,0,0,0.0119976,0.0487317,0.00851137,0.0294906,0.00595967,0.0217972,0.0444449,0.00743333,0.031006,0.00814428,0.00864791,0.00384821,0.0346534,0.00310305,0.00388794,0.00695387,0.0377247,0.0600577,0.00974157,0.0286739,0.0515578,0,0,0.0139531,0,0,0
648,0.0631192,0,0,0,0,0.0303621,0,0,0,0,0,0,0.0317653,0.053403,0.012024,0.0125409,0,0,0.0949331,0,0.060217,0.053799,0.0306934,0.0140377,0.0320205,0.0179639,0.0121003,0.0767571,0.0123815,0.0171779,0.0124211,0.0514218,0.00714353,0.00665709,0.00446142,0.0337722,0.0488587,0.0812475,0.021937,0.0322701,0.0033644,0.0158013,0.00440708,0.0591131,0,0,0.0352815,0,0,0.0121841,0.0485676,0.00873947,0.0296126,0.00626788,0.0222525,0.0449476,0.00705253,0.0309708,0.00832829,0.00862133,0.00396184,0.0349472,0.00315094,0.00377423,0.00782215,0.0382663,0.0600924,0.00986818,0.0288314,0.051782,0,0,0.0145051,0,0,0
649,0.0640723,0,0,0,0,0.0310468,0,0,0,0,0,0,0.033351,0.0534708,0.0133337,0.0124205,0,0,0.0951625,0,0.0601373,0.0539112,0.0309282,0.0143417,0.0321043,0.0178653,0.0123391,0.0775175,0.0126155,0.016703,0.0127573,0.051981,0.00693786,0.00682746,0.00472913,0.0335664,0.0504215,0.0817031,0.0218306,0.0323138,0.00361742,0.0155945,0.0046686,0.0596753,0,0,0.0358592,0,0,0.0123324,0.0483688,0.00892661,0.0295862,0.00629576,0.0220214,0.0449004,0.00688523,0.0309195,0.00840972,0.00860408,0.00407845,0.0352857,0.00327822,0.0036248,0.00865072,0.038807,0.0601357,0.00996773,0.0288113,0.0524537,0,0,0.0146719,0,0,0
650,0.0204586,0,0,0,0,0.0232495,0,0,0,0,0,0,0.0352369,0.0262334,0.0145373,0.0082591,0,0,0.140299,0,0.0501564,0.0906731,0.0309514,0.0147574,0.0283805,0.0180563,0.00572082,0.0368106,0.0128179,0.0163979,0.0133339,0.0522762,0.00694316,0.00721705,0.00504337,0.0334125,0.0525395,0.0967788,0.0274132,0.0728788,0.00403024,0.0160405,0.00501614,0.0198994,0,0,0.0353263,0,0,0.0119588,0.048158,0.00872228,0.0284521,0.00679433,0.0133647,0.0404752,0.00672143,0.0308526,0.00857247,0.00865951,0.00450399,0.0358342,0.00368155,0.0034398,0.00990607,0.0363176,0.0564489,0.00842704,0.0227815,0.0135859,0,0,0.0108591,0,0,0
651,0.0194712,0,0,0,0,0.0231025,0,0,0,0,0,0,0.0368269,0.0260394,0.0157047,0.00809035,0,0,0.143888,0,0.0508823,0.0919535,0.0312481,0.0149977,0.0282863,0.0175902,0.00541495,0.0407049,0.0129982,0.0157994,0.0138848,0.0529115,0.00680677,0.0076405,0.00531988,0.0330987,0.0541327,0.099679,0.0291769,0.0725112,0.00426767,0.0162459,0.00526705,0.0177238,0,0,0.0350481,0,0,0.0117951,0.048,0.00912647,0.0281808,0.00655839,0.0120847,0.0399508,0.00654097,0.0308898,0.00850472,0.00848064,0.00461431,0.035972,0.00386549,0.00333791,0.0108665,0.0357816,0.0565231,0.00840526,0.0231011,0.0128505,0,0,0.010702,0,0,0
652,0.069987,0,0,0,0,0.0349773,0,0,0,0,0,0,0.0376072,0.0538644,0.0167877,0.011302,0,0,0.0973601,0,0.0598843,0.0551119,0.0317732,0.0154279,0.0319454,0.0174507,0.0106946,0.0825827,0.0131439,0.0154532,0.0144181,0.0534279,0.00679343,0.00790739,0.005729,0.0325384,0.0545892,0.084752,0.0214712,0.0329777,0.00449175,0.0149663,0.00545432,0.0636497,0,0,0.036728,0,0,0.0129524,0.0476462,0.00967428,0.0289626,0.00619951,0.0187602,0.0430302,0.00657218,0.0307066,0.00862068,0.00838702,0.00463705,0.0360831,0.00387344,0.00333611,0.011248,0.039123,0.0557625,0.00901392,0.0293279,0.0563773,0,0,0.0139036,0,0,0
653,0.07414,0,0,0,0,0.038372,0,0,0,0,0,0,0.0388809,0.0541856,0.017503,0.00990337,0,0,0.0986632,0,0.0597558,0.0558196,0.0322101,0.0160539,0.0312601,0.0170538,0.00785745,0.085662,0.0133536,0.0147035,0.0148938,0.0537979,0.00687899,0.00863414,0.00614684,0.0321674,0.0559143,0.0866234,0.0213928,0.033659,0.00530045,0.0144154,0.0057153,0.0667199,0,0,0.0376403,0,0,0.0135151,0.0471467,0.00970681,0.0282204,0.0067169,0.0155214,0.0429507,0.00649844,0.0305195,0.00889136,0.00853321,0.00498599,0.0363946,0.00392411,0.00345383,0.0123818,0.0398075,0.0622019,0.0115482,0.0304659,0.0590156,0,0,0.0123998,0,0,0
654,0.0768619,0,0,0,0,0.0410926,0,0,0,0,0,0,0.0398993,0.0543185,0.0182569,0.00938344,0,0,0.0994095,0,0.0595375,0.0562569,0.0325099,0.0165041,0.031086,0.0164438,0.00659251,0.0878054,0.0133591,0.0140668,0.0153045,0.0538731,0.00691635,0.00939724,0.00647945,0.0317741,0.0569365,0.087962,0.0212696,0.0342069,0.00584564,0.0140772,0.00588267,0.0688187,0,0,0.0385035,0,0,0.0140044,0.0468135,0.00983348,0.0277049,0.00691288,0.0136849,0.0436388,0.00655553,0.0304085,0.00898582,0.00861632,0.00517173,0.03657,0.00406072,0.00358023,0.0132812,0.0405492,0.0620465,0.0116803,0.0318664,0.0606361,0,0,0.0118911,0,0,0
