Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,RASI,x79,,x90
9,0.0597501,0,0,0,0,0.0533223,0,0,0,0,0,0,0.0209171,0.0522335,0.00734144,0.00149557,0,0,0.0780689,0,0.055975,0.0422521,0.0285774,0.00542304,0.0409323,0.00411402,0.0194592,0.0705034,0.00567969,0.00481056,0.0099189,0.0427605,0.00295196,0.00505231,0.00181789,0.0304991,0.0196868,0.063356,0.0208584,0.0261853,0.0298846,0.0405669,0.00905445,0.0524484,0,0,0.0251476,0,0.0380389,0.0155889,0.0527276,0.0258576,0.0275366,0.0220799,0.0105142,0.0532061,0.00367384,0.0337694,0.00812674,0.00372526,0.0166178,0.0304873,0.00937109,0.0188613,0.0452591,0.0287225,0.0233525,0.0178009,0.0470269,0.0386944,0,0,0,0,0,0
10,0.0595214,0,0,0,0,0.0530941,0,0,0,0,0,0,0.0215619,0.0521957,0.00729894,0.00297251,0,0,0.0779397,0,0.0559404,0.0421788,0.0283359,0.00510453,0.0409347,0.00410441,0.0194605,0.0701466,0.00565076,0.0047674,0.00994746,0.0424457,0.00282413,0.00506983,0.00178529,0.0304968,0.0207644,0.063139,0.0208003,0.0262788,0.029161,0.040582,0.00650087,0.0523463,0,0,0.0251728,0,0.0380254,0.0154412,0.0526324,0.0212033,0.0278642,0.0211164,0.0101865,0.0531225,0.00384442,0.0338889,0.00882045,0.003891,0.0146069,0.0326201,0.00795591,0.0161236,0.0440589,0.0285924,0.0231821,0.0176401,0.0468561,0.0385186,0,0,0,0,0,0
11,0.0593118,0,0,0,0,0.0529625,0,0,0,0,0,0,0.0221628,0.0522387,0.00726969,0.00321925,0,0,0.0778146,0,0.0559756,0.042146,0.0281982,0.00481463,0.0410105,0.00409651,0.019434,0.0698041,0.00564222,0.00478282,0.00996356,0.0422032,0.00268832,0.00502126,0.00179369,0.0305179,0.0217337,0.0629481,0.020794,0.026304,0.0283518,0.0406116,0.00470062,0.0522877,0,0,0.025067,0,0.0380739,0.0151033,0.0525425,0.0162292,0.0281315,0.019808,0.00996868,0.0530339,0.00407556,0.0339609,0.00927702,0.00394016,0.0126531,0.0346673,0.00698702,0.0132848,0.0427685,0.0284134,0.0232174,0.0174463,0.0467789,0.0382941,0,0,0,0,0,0
12,0.0592643,0,0,0,0,0.0528607,0,0,0,0,0,0,0.0227371,0.0523126,0.00724349,0.00241109,0,0,0.0777647,0,0.0560968,0.0421517,0.0280976,0.00454419,0.0410747,0.00409053,0.0192556,0.0695375,0.00558938,0.00480544,0.00996661,0.0419338,0.00254983,0.00494575,0.0018087,0.0305921,0.022608,0.0627651,0.0208348,0.0263424,0.0270313,0.0406718,0.00429789,0.0523534,0,0,0.0248314,0,0.0381955,0.0148167,0.0524284,0.0112913,0.0283888,0.0181624,0.00969319,0.052963,0.00451146,0.0340843,0.00970231,0.00410639,0.0113309,0.0367144,0.00658399,0.0112434,0.040773,0.0281698,0.023245,0.0172852,0.0467107,0.0382366,0,0,0,0,0,0
13,0.059176,0,0,0,0,0.0527328,0,0,0,0,0,0,0.0233165,0.052312,0.0072595,0.00211099,0,0,0.0776683,0,0.0561987,0.0421362,0.0280245,0.00437775,0.0411428,0.00418471,0.018924,0.0691344,0.00556788,0.00484462,0.0100679,0.0417059,0.00247934,0.00490054,0.00189118,0.0306372,0.0234553,0.0624691,0.0208363,0.0263954,0.0251407,0.0406817,0.00542143,0.0524638,0,0,0.0248157,0,0.0382136,0.0147924,0.0522668,0.00678068,0.0287562,0.0161685,0.00927045,0.0530791,0.00483487,0.0342926,0.0101992,0.00441306,0.0108868,0.0388198,0.00717011,0.0104656,0.0381129,0.0280918,0.0232032,0.0171911,0.0466225,0.0381647,0,0,0,0,0,0
14,0.0591475,0,0,0,0,0.0527266,0,0,0,0,0,0,0.0238463,0.0522229,0.00727434,0.00217864,0,0,0.0775952,0,0.0562127,0.0421326,0.0279166,0.00436903,0.0412643,0.00435639,0.0186268,0.0687888,0.00564737,0.00485915,0.0101707,0.0415058,0.00250651,0.00491641,0.00204764,0.0306408,0.0242955,0.0621746,0.0207832,0.0264938,0.0231585,0.0406573,0.00791433,0.0526339,0,0,0.0248027,0,0.0382143,0.0147063,0.0521319,0.00343639,0.0290049,0.0140443,0.00888986,0.0532989,0.00513966,0.0345559,0.0106162,0.00459409,0.0113425,0.0408711,0.00907479,0.0109455,0.0353627,0.0281154,0.0231371,0.017097,0.0466338,0.0381115,0,0,0,0,0,0
15,0.059158,0,0,0,0,0.0527779,0,0,0,0,0,0,0.0241954,0.0521689,0.00721998,0.00228592,0,0,0.0774761,0,0.0562316,0.0420739,0.027794,0.00445652,0.0413889,0.00450282,0.0181287,0.0684148,0.00577528,0.00483189,0.0102639,0.0412797,0.0025985,0.00486957,0.00225562,0.0306342,0.0249008,0.0618055,0.0207567,0.0265686,0.0214846,0.0406215,0.0105895,0.0529069,0,0,0.0248972,0,0.0382143,0.0146478,0.0520459,0.00485082,0.0291585,0.0122804,0.00847219,0.0537333,0.00534497,0.0348165,0.0108188,0.00475524,0.0125484,0.0427444,0.0113041,0.0124583,0.0328473,0.0282888,0.0231681,0.0170076,0.0466617,0.0381301,0,0,0,0,0,0
16,0.0593887,0,0,0,0,0.0527927,0,0,0,0,0,0,0.0238745,0.0521916,0.00693585,0.00300136,0,0,0.0771447,0,0.0562976,0.0418518,0.0275936,0.00444898,0.0414671,0.00436221,0.0163913,0.0679367,0.00563244,0.00468453,0.0101922,0.0407379,0.00249973,0.00442709,0.00223785,0.0307878,0.024464,0.0611136,0.0208098,0.0265675,0.0202323,0.040651,0.0129844,0.0535688,0,0,0.0252246,0,0.0383077,0.0147447,0.0519006,0.00813907,0.0295944,0.0116207,0.00772247,0.0545922,0.00529255,0.0349032,0.0107106,0.0049487,0.0143842,0.0443568,0.0135986,0.0146069,0.0312783,0.0288064,0.0232738,0.0170222,0.0465292,0.0384424,0,0,0.00506316,0,0,0
17,0.0593246,0,0,0,0,0.0531627,0,0,0,0,0,0,0.0248446,0.0522122,0.00702006,0.00258425,0,0,0.077354,0,0.0563462,0.0419374,0.0277357,0.00525722,0.0417306,0.00495179,0.0174802,0.0678546,0.00600022,0.00488972,0.0105732,0.0411072,0.00301267,0.00444059,0.00287327,0.0305076,0.0259916,0.0611954,0.0207494,0.0266815,0.0193612,0.0406392,0.015474,0.0536032,0,0,0.0252156,0,0.0383105,0.014438,0.0518296,0.0117865,0.0294859,0.0102861,0.00797461,0.0550963,0.00573886,0.0352363,0.0106387,0.00527376,0.0159488,0.04538,0.0155373,0.0164687,0.0296612,0.0288948,0.0230927,0.0168996,0.0469439,0.0381909,0,0,0,0,0,0
18,0.0598726,0,0,0,0,0.0532716,0,0,0,0,0,0,0.0244988,0.0522147,0.00666932,0.00355831,0,0,0.0769565,0,0.0563661,0.0417476,0.0275575,0.00555996,0.041675,0.00487108,0.0156479,0.0675187,0.00594088,0.0047586,0.0103152,0.0405304,0.00288796,0.0041739,0.00292965,0.0306179,0.0256768,0.060578,0.0207498,0.0267098,0.0192276,0.0406105,0.0171188,0.0544215,0,0,0.0257736,0,0.0383625,0.0143921,0.0517048,0.0142595,0.0297736,0.0103815,0.00726228,0.0562166,0.00571759,0.0353101,0.0105093,0.00550291,0.0177617,0.0466737,0.0173673,0.0184533,0.0293143,0.0297047,0.0231991,0.0168867,0.0469189,0.038658,0,0,0.00401031,0,0,0
