Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,x75
141,0.0214704,0,0,0,0,0.0340836,0,0,0,0,0,0,0.00471744,0.0480698,0.00595028,0.0182669,0,0,0.0257977,0,0.0525944,0.00629255,0.0287415,0.00509065,0.0278811,0.00475749,0.0159731,0.0113115,0.0047221,0.0011122,0.00758719,0.0376906,0.00217046,0.00376353,0.00174046,0.0325175,0.00463449,0.0191199,0.0324266,0.0021106,0.0111291,0.0418137,0.00884242,0.0193941,0.0273266,0,0,0.0363656,0,0.0352046,0.0144284,0.0499569,0.0123936,0.0280854,0.0108802,0.0164031,0.0311629,0.00452385,0.0316247,0.00545573,0.00757484,0.00879357,0.0346097,0.00516035,0.00783365,0.0137811,0.0266604,0.0160584,0.0109388,0.0340188,0.0109641,0,0,0,0,0
142,0.0211836,0,0,0,0,0.0332966,0,0,0,0,0,0,0.0048445,0.0482533,0.00610177,0.0185359,0,0,0.0260152,0,0.052665,0.00634296,0.0287674,0.00535335,0.0280684,0.00478561,0.0162061,0.0107127,0.00465361,0.00118505,0.00774699,0.0377942,0.00207931,0.00375461,0.00179519,0.0324754,0.00458906,0.0190505,0.0326562,0.00236232,0.010939,0.0418912,0.00889039,0.0193778,0.0264945,0,0,0.0353518,0,0.0353894,0.0139378,0.0500321,0.0124796,0.0281134,0.0108017,0.0165849,0.0303396,0.0044596,0.031605,0.00537211,0.00752524,0.00889523,0.0346479,0.0052621,0.00791284,0.0135297,0.0263115,0.0153999,0.0107358,0.0332095,0.0107205,0,0,0,0,0
143,0.0208306,0,0,0,0,0.032469,0,0,0,0,0,0,0.00498615,0.0484487,0.00624643,0.0188092,0,0,0.0263094,0,0.0527268,0.00635228,0.0288134,0.00566728,0.0282771,0.00491492,0.0164682,0.0100821,0.00465272,0.00124619,0.00785681,0.0378871,0.00205018,0.00379878,0.00182694,0.0324259,0.00457079,0.0189909,0.0328822,0.00260964,0.0108325,0.0419688,0.00899735,0.0194095,0.0255936,0,0,0.034242,0,0.0355752,0.0134664,0.0500879,0.0125448,0.0281766,0.0109026,0.0168168,0.029542,0.0043322,0.0316404,0.00538708,0.007499,0.00904295,0.0346706,0.00539791,0.00806269,0.0132151,0.0258857,0.0151476,0.0105347,0.0323441,0.0103893,0,0,0,0,0
144,0.0205048,0,0,0,0,0.0316388,0,0,0,0,0,0,0.0051514,0.0485911,0.00640837,0.0188469,0,0,0.0266261,0,0.0527982,0.00632554,0.0288618,0.00602797,0.0284039,0.00494897,0.016534,0.00947846,0.00467516,0.00131346,0.0079655,0.0379411,0.00202055,0.00387051,0.00184515,0.0323562,0.00453359,0.0190296,0.0330574,0.00286763,0.0108614,0.0420463,0.00913153,0.0193917,0.0247168,0,0,0.0330556,0,0.0357717,0.0129538,0.0500794,0.0126283,0.0282345,0.0110925,0.0169644,0.028883,0.00423231,0.0316955,0.00544211,0.00747626,0.00923801,0.0346643,0.00547976,0.00826394,0.0129147,0.0255309,0.0150797,0.0103445,0.0315644,0.0100824,0,0,0,0,0
145,0.0200095,0,0,0,0,0.0307438,0,0,0,0,0,0,0.00531449,0.04869,0.00654204,0.0187595,0,0,0.0269872,0,0.0528367,0.00638823,0.0288915,0.00636825,0.0285624,0.00496343,0.0167222,0.00882938,0.00468611,0.00144536,0.00805862,0.0379757,0.00198273,0.00393119,0.00189558,0.0322678,0.00445181,0.0190455,0.0331523,0.00282793,0.011022,0.0420945,0.00908024,0.0194774,0.02364,0,0,0.0317952,0,0.0359943,0.012357,0.0500975,0.0127395,0.0283132,0.0112969,0.0171847,0.0281389,0.00410699,0.0317652,0.00560748,0.00744652,0.00943494,0.0346234,0.00550121,0.00847117,0.012747,0.0251934,0.0142254,0.0101849,0.0306236,0.00964247,0,0,0,0,0
146,0.0196105,0,0,0,0,0.0299137,0,0,0,0,0,0,0.00552767,0.0487743,0.00668355,0.0188838,0,0,0.0273639,0,0.0527905,0.00660163,0.028934,0.00671186,0.0286695,0.00495277,0.016855,0.00829715,0.004714,0.0015643,0.00817677,0.0380371,0.00195205,0.0040001,0.00196752,0.0321405,0.00424532,0.0192117,0.0331747,0.00230391,0.0111693,0.0421158,0.00908587,0.0195328,0.0226834,0,0,0.0308985,0,0.0362089,0.0118056,0.0501177,0.0129118,0.0283743,0.0114752,0.0174226,0.0275525,0.00393249,0.0318374,0.00581789,0.00742736,0.00962026,0.0345287,0.00554218,0.00868499,0.0125764,0.0248581,0.0136802,0.0100626,0.029721,0.00927167,0,0,0,0,0
147,0.0192475,0,0,0,0,0.0290279,0,0,0,0,0,0,0.00577081,0.0488266,0.00682506,0.01881,0,0,0.0276744,0,0.0527308,0.00685801,0.0289789,0.00706336,0.0287282,0.00489676,0.0169299,0.0078031,0.00470717,0.00171521,0.00827139,0.0380732,0.00192444,0.00402071,0.00201396,0.0320219,0.00408182,0.0194065,0.033203,0.00216202,0.0112909,0.0421138,0.00926042,0.0195843,0.0217798,0,0,0.0300593,0,0.0363939,0.0113414,0.0501314,0.0131493,0.0284171,0.0116149,0.017591,0.0270623,0.00378764,0.0318646,0.00563587,0.00738771,0.00982891,0.0343901,0.00568579,0.00892306,0.0124001,0.0245535,0.013413,0.00995364,0.0288252,0.00894518,0,0,0,0,0
148,0.0189603,0,0,0,0,0.0281458,0,0,0,0,0,0,0.00599266,0.0488515,0.00692769,0.0187216,0,0,0.0279227,0,0.0526535,0.00713114,0.0290056,0.00736906,0.0287621,0.00485419,0.016943,0.00741187,0.00466569,0.00177121,0.00829724,0.0381079,0.00194062,0.00402443,0.00209604,0.0319557,0.00404919,0.0195866,0.0331968,0.00218284,0.0113946,0.0421016,0.00952053,0.0196238,0.0209118,0,0,0.0291962,0,0.0365745,0.0109548,0.0501369,0.0135088,0.0284672,0.0116997,0.0177098,0.026634,0.00367453,0.0318769,0.00550813,0.00731613,0.0100318,0.0342159,0.00589583,0.00917184,0.0122427,0.0242622,0.0129364,0.00986194,0.0280788,0.00863249,0,0,0,0,0
149,0.0185462,0,0,0,0,0.0275522,0,0,0,0,0,0,0.00618032,0.0488629,0.00699361,0.0186711,0,0,0.0281631,0,0.0526212,0.00740071,0.0290016,0.00759226,0.0287696,0.0047949,0.0170478,0.00719231,0.00461562,0.00174477,0.00829248,0.0381432,0.00194721,0.00402548,0.00219889,0.0319189,0.00411746,0.019749,0.0331917,0.00211437,0.0116547,0.0420718,0.00971115,0.0197497,0.0200312,0,0,0.0282388,0,0.0367561,0.0106418,0.0501442,0.0140279,0.0285049,0.0117129,0.0178801,0.0261832,0.00358671,0.0319597,0.00544468,0.00725245,0.0102133,0.0340845,0.00597388,0.00941161,0.0122176,0.0239426,0.0126549,0.00980546,0.0273965,0.00821262,0,0,0,0,0
150,0.018173,0,0,0,0,0.0269902,0,0,0,0,0,0,0.00639752,0.048885,0.0071098,0.0187237,0,0,0.0285566,0,0.052598,0.00773219,0.0290021,0.00779229,0.0288204,0.00472212,0.0171788,0.00703777,0.00461387,0.00172567,0.00828119,0.0381789,0.00198711,0.00401641,0.00235073,0.0318826,0.00427725,0.0200819,0.03319,0.00205576,0.0120079,0.0420283,0.00999036,0.0198781,0.0192314,0,0,0.0273054,0,0.0369278,0.010405,0.0501283,0.0146056,0.0285567,0.0119001,0.0180553,0.0257455,0.00342782,0.0320705,0.00532128,0.00701176,0.0103355,0.0339705,0.00600454,0.00962435,0.0123086,0.0234792,0.0125959,0.00973299,0.0267424,0.00782966,0,0,0,0,0
151,0.0177792,0,0,0,0,0.0263338,0,0,0,0,0,0,0.00660201,0.0488939,0.00725316,0.0187447,0,0,0.028996,0,0.0525918,0.00800665,0.0290075,0.00800426,0.0288613,0.00475259,0.0173082,0.00682918,0.00466901,0.00173958,0.00827102,0.0382009,0.00200964,0.0040442,0.00243342,0.0318491,0.00437237,0.0204234,0.0331933,0.00207086,0.012157,0.0419636,0.0101543,0.0200203,0.0184438,0,0,0.0264764,0,0.0370857,0.0101996,0.0501412,0.0150714,0.0286129,0.0122003,0.0181858,0.02531,0.00324401,0.0321436,0.00520587,0.00676919,0.0106014,0.0336868,0.00621977,0.00998803,0.0122697,0.0228614,0.0125846,0.00966454,0.0260521,0.00744965,0,0,0,0,0
152,0.0174292,0,0,0,0,0.0259186,0,0,0,0,0,0,0.00674377,0.048888,0.0073715,0.0189345,0,0,0.0294504,0,0.052574,0.00819693,0.0290361,0.00819615,0.0288645,0.00488693,0.0174507,0.00664433,0.00469778,0.00177736,0.00829368,0.0381993,0.00204163,0.00409185,0.00247751,0.0318415,0.00448197,0.0208472,0.0332134,0.002109,0.0123599,0.0419004,0.0103895,0.020259,0.0175567,0,0,0.0257197,0,0.0372785,0.00994369,0.0501725,0.0156361,0.0286084,0.0124721,0.018298,0.0247538,0.00302162,0.0321772,0.0050826,0.00654283,0.0109399,0.0333747,0.00648128,0.0104388,0.0122673,0.022114,0.012328,0.00961363,0.0253736,0.00706208,0,0,0,0,0
153,0.017223,0,0,0,0,0.0250893,0,0,0,0,0,0,0.0068757,0.0488909,0.0074957,0.0191522,0,0,0.0298763,0,0.0525401,0.00830868,0.0290578,0.00837365,0.0288503,0.00497849,0.017504,0.00667202,0.00468529,0.0017654,0.00830833,0.038148,0.00206338,0.00415789,0.00252401,0.0318311,0.00459735,0.0212548,0.0332734,0.00265534,0.0126844,0.0418438,0.010708,0.0204438,0.0168307,0,0,0.0251678,0,0.0374744,0.00971309,0.0502287,0.0163204,0.0285565,0.0127462,0.0183365,0.0242335,0.00282611,0.0322955,0.00495446,0.00633676,0.0112915,0.033043,0.0067126,0.0109384,0.0123723,0.0215948,0.011924,0.00958057,0.0247469,0.00683633,0,0,0,0,0
154,0.017201,0,0,0,0,0.0243763,0,0,0,0,0,0,0.00701479,0.0489107,0.00766686,0.0193678,0,0,0.0304552,0,0.0525292,0.00851299,0.0290652,0.00858102,0.0288137,0.00495598,0.0175374,0.00724578,0.00469365,0.00175076,0.00839473,0.0380727,0.0020458,0.00418867,0.00252782,0.0318091,0.0046277,0.0218212,0.0333748,0.0028829,0.012975,0.0418031,0.0110421,0.0205439,0.0164161,0,0,0.0247281,0,0.0376341,0.00949318,0.0503082,0.0171626,0.0284816,0.0128652,0.0183686,0.0238677,0.00256905,0.0324139,0.00479484,0.00605778,0.0116549,0.0326416,0.00697993,0.0114506,0.0125026,0.0213069,0.011561,0.00958954,0.0243215,0.00678307,0,0,0,0,0
155,0.0170862,0,0,0,0,0.0242184,0,0,0,0,0,0,0.00715854,0.0489536,0.00780495,0.0196335,0,0,0.0311087,0,0.0525216,0.00880009,0.0290617,0.00878724,0.02879,0.00496622,0.0178112,0.00750031,0.00475518,0.00173502,0.00843464,0.0380084,0.00207868,0.00420114,0.00253749,0.031777,0.00462831,0.0223703,0.0334756,0.00261229,0.0131478,0.0417821,0.0112199,0.0207042,0.0160753,0,0,0.0243395,0,0.0377845,0.00926297,0.0503906,0.0180766,0.0283966,0.012931,0.0185661,0.0236149,0.00229886,0.0325136,0.00459761,0.00573411,0.0120098,0.0321425,0.00729426,0.011964,0.0126008,0.0211999,0.0113212,0.0095878,0.0239861,0.00666809,0,0,0,0,0
156,0.0169578,0,0,0,0,0.0241754,0,0,0,0,0,0,0.00731416,0.0490159,0.00790322,0.0199359,0,0,0.031736,0,0.0525028,0.00906894,0.0290433,0.00897555,0.0287861,0.00504219,0.0181692,0.0073627,0.00478714,0.00173253,0.00848579,0.0379208,0.00213724,0.0042427,0.00260415,0.0317474,0.00466907,0.0228801,0.03355,0.0025397,0.0134186,0.0417544,0.0114206,0.0209591,0.0157879,0,0,0.0239475,0,0.0379354,0.00901813,0.0504577,0.019141,0.0283128,0.0130667,0.0188523,0.0233724,0.00206852,0.0326353,0.00446219,0.00532345,0.0124101,0.0316336,0.00768801,0.0125481,0.0128158,0.0210642,0.0111573,0.00957441,0.023692,0.00654783,0,0,0,0,0
157,0.0168442,0,0,0,0,0.0241302,0,0,0,0,0,0,0.00746776,0.0490857,0.00798231,0.0202077,0,0,0.0323422,0,0.05248,0.00927597,0.0290572,0.00915874,0.0287519,0.00503471,0.0185195,0.00735553,0.00479724,0.00181257,0.00853557,0.0378412,0.00216641,0.00423123,0.00262768,0.0317038,0.00470272,0.0233905,0.0336062,0.00254655,0.0137602,0.0417106,0.0117238,0.0212777,0.0155674,0,0,0.0235208,0,0.0380743,0.00885121,0.0505625,0.0203582,0.0282609,0.0131408,0.0191325,0.0231425,0.00183015,0.0327679,0.00435209,0.00470859,0.0128745,0.0311661,0.00820434,0.01324,0.0131951,0.0209004,0.0110054,0.00957212,0.0235008,0.0064506,0,0,0,0,0
158,0.0167763,0,0,0,0,0.0239246,0,0,0,0,0,0,0.00762899,0.0491396,0.00808913,0.0204187,0,0,0.0329515,0,0.0524486,0.00945597,0.0291201,0.00938765,0.0286473,0.00488786,0.0188796,0.0075204,0.00478558,0.0019358,0.00859638,0.0378266,0.00222407,0.00410353,0.0026271,0.0316536,0.00469227,0.0239027,0.0336328,0.00251412,0.0140505,0.0416806,0.0120391,0.0213682,0.0153868,0,0,0.0230663,0,0.0382125,0.0086699,0.0506849,0.0216472,0.0282131,0.0131485,0.0194071,0.0229977,0.00150843,0.0328008,0.00420697,0.00413574,0.0133305,0.0306353,0.00872716,0.013911,0.013575,0.0207452,0.0108008,0.00958019,0.0233564,0.00635377,0,0,0,0,0
159,0.0167146,0,0,0,0,0.0238163,0,0,0,0,0,0,0.00786524,0.049151,0.00830074,0.0207243,0,0,0.0334889,0,0.0523947,0.00961865,0.0291618,0.00969483,0.0287091,0.00479568,0.0192988,0.00765069,0.00477207,0.00211262,0.00869427,0.0378243,0.00224928,0.00393863,0.00261017,0.0316292,0.00476858,0.0243448,0.0336149,0.00250854,0.0143173,0.0416334,0.0123118,0.0214645,0.0152992,0,0,0.0225565,0,0.0383229,0.00847428,0.0507648,0.0229306,0.0281535,0.0132846,0.0197591,0.0228806,0.00121233,0.0328134,0.00404606,0.00370194,0.0137741,0.0300671,0.00924905,0.0145814,0.014007,0.0204839,0.0106055,0.0095792,0.0232681,0.00623483,0,0,0,0,0
160,0.0167612,0,0,0,0,0.0236478,0,0,0,0,0,0,0.00815889,0.0491346,0.008571,0.0209882,0,0,0.0340167,0,0.0523687,0.00981468,0.0291895,0.01,0.0287749,0.00484939,0.0195651,0.0080452,0.00475683,0.00224092,0.00880385,0.0378039,0.00225531,0.00389352,0.00273146,0.0316175,0.00493388,0.0248684,0.033572,0.00241673,0.014791,0.0415748,0.0126158,0.0215377,0.0152816,0,0,0.0220284,0,0.0383621,0.00831767,0.0508913,0.0240986,0.0281102,0.0138417,0.0200415,0.0227418,0.00115314,0.0329675,0.00383272,0.00351277,0.0142385,0.0294208,0.00978919,0.0152832,0.0146506,0.0201922,0.0104813,0.00955344,0.0231468,0.00620201,0,0,0,0,0
161,0.016787,0,0,0,0,0.0234914,0,0,0,0,0,0,0.00842413,0.0491093,0.00878833,0.0211689,0,0,0.0345117,0,0.0523435,0.0100021,0.0292088,0.0103312,0.0287764,0.0049779,0.019697,0.00846886,0.00477792,0.00230967,0.00889826,0.0377766,0.00223805,0.00387893,0.00288101,0.0316116,0.00516289,0.0253989,0.0335251,0.0022938,0.0153937,0.0415391,0.012931,0.0215578,0.0152415,0,0,0.0214183,0,0.0383912,0.0080887,0.0510358,0.0249617,0.0281146,0.0143868,0.0202879,0.0225283,0.00116684,0.033063,0.00353041,0.00333811,0.0146814,0.0285487,0.0103502,0.0159341,0.0154017,0.0199825,0.0104918,0.00957222,0.023,0.00613629,0,0,0,0,0
162,0.0167562,0,0,0,0,0.0234023,0,0,0,0,0,0,0.00862812,0.0490694,0.00896305,0.0212686,0,0,0.0349051,0,0.0522721,0.0101992,0.0292255,0.0106733,0.0287054,0.00501391,0.0197485,0.00855182,0.00482892,0.00235414,0.00888117,0.0377728,0.00219019,0.00389238,0.00284741,0.0316213,0.00534925,0.0258408,0.0334378,0.00222558,0.016133,0.0415251,0.0133027,0.0215366,0.0151666,0,0,0.0208357,0,0.0384451,0.00774457,0.0511611,0.0257494,0.0281567,0.0145932,0.020535,0.0222905,0.00117012,0.0330213,0.00323051,0.00328635,0.0151518,0.0274879,0.0109727,0.0165675,0.0161964,0.0196967,0.0105222,0.00964365,0.0227761,0.00600956,0,0,0,0,0
163,0.0178567,0,0,0,0,0.023796,0,0,0,0,0,0,0.00891819,0.0488843,0.00936597,0.0240896,0,0,0.0355136,0,0.0521136,0.0104184,0.029206,0.0111849,0.0273734,0.00415742,0.021839,0.00948246,0.00531358,0.00216878,0.00863728,0.0372887,0.00147491,0.00392889,0.00207515,0.0319717,0.00622523,0.0267686,0.0331335,0.00196156,0.0291046,0.041581,0.0221371,0.0262889,0.016332,0,0,0.0201291,0,0.0385716,0.00725307,0.0518886,0.023679,0.0263534,0.0207964,0.0207789,0.0225736,0.00721241,0.0281226,0.00743551,0.0100349,0.0226756,0,0.0222754,0.0236059,0.0203393,0.0192012,0.0104548,0.00972652,0.0231555,0.00734834,0,0,0,0,0
164,0.0180413,0,0,0,0,0.023851,0,0,0,0,0,0,0.0090238,0.0488718,0.00942219,0.0238856,0,0,0.0357763,0,0.0520704,0.0105606,0.0292769,0.0114045,0.0274103,0.00421393,0.0217122,0.00979792,0.00519056,0.0021986,0.00865962,0.0373928,0.0015753,0.00382752,0.00209094,0.0319564,0.00643128,0.0270884,0.0330917,0.00187877,0.0303381,0.0415787,0.0225992,0.0258675,0.0164245,0,0,0.0200093,0,0.0386346,0.0071519,0.0520439,0.0244782,0.0263962,0.0205641,0.0211296,0.0225995,0.00708277,0.0284849,0.00699667,0.0097447,0.0221704,0,0.021836,0.0231598,0.0221735,0.0189931,0.0103572,0.00977104,0.0231596,0.00741012,0,0,0,0,0
165,0.0180605,0,0,0,0,0.0238666,0,0,0,0,0,0,0.00915183,0.0489317,0.00948091,0.0235174,0,0,0.0361174,0,0.0520589,0.0107444,0.0293302,0.0116045,0.0274713,0.0042661,0.0214629,0.00989438,0.00508874,0.00223139,0.00871898,0.0375788,0.00170071,0.00367706,0.00217025,0.0319297,0.00656072,0.0273569,0.0330307,0.00184318,0.0315147,0.0415542,0.0229942,0.02529,0.0164334,0,0,0.0198977,0,0.0386977,0.00722171,0.0521744,0.0253083,0.0264649,0.0203123,0.0213688,0.022604,0.0070274,0.0288134,0.00674575,0.00946937,0.0217982,0,0.0215008,0.0228561,0.0242333,0.0188245,0.0102483,0.00979931,0.0231151,0.00738659,0,0,0,0,0
166,0.0168591,0,0,0,0,0.022863,0,0,0,0,0,0,0.0091205,0.0490883,0.00927662,0.0208611,0,0,0.0364625,0,0.0521667,0.0110511,0.0295151,0.0116495,0.0285403,0.00511225,0.0194641,0.00877291,0.00455703,0.0025915,0.00904399,0.038216,0.00247635,0.00367013,0.00285421,0.0316116,0.00585872,0.0271044,0.0331692,0.002023,0.0201987,0.0414764,0.0160601,0.0207121,0.0152393,0,0,0.0203222,0,0.0387545,0.00738704,0.0516044,0.032102,0.0285305,0.014956,0.0214769,0.0222553,0.00165622,0.0333718,0.00239781,0.00280447,0.0173333,0.0247173,0.0139292,0.0196386,0.022594,0.0190129,0.0100187,0.00977989,0.0224458,0.00582148,0,0,0,0,0
167,0.0163349,0,0,0,0,0.0227435,0,0,0,0,0,0,0.0089214,0.0491327,0.00930708,0.0206445,0,0,0.0373029,0,0.0521799,0.0115616,0.0298161,0.0118633,0.0284495,0.0051584,0.0190788,0.00746286,0.00441953,0.00269333,0.00926908,0.0384351,0.00262695,0.00377886,0.00297864,0.0315194,0.00823028,0.0270496,0.0331034,0.00221693,0.0230409,0.0414929,0.0172624,0.0203413,0.0154665,0,0,0.0211543,0,0.0386743,0.00763907,0.0515798,0.033491,0.0290218,0.0150979,0.0213787,0.0228081,0.00207272,0.0336254,0.00232243,0.00228257,0.0182442,0.0238136,0.0148407,0.0208323,0.0254347,0.0193808,0.00987121,0.00980294,0.0224867,0.00554144,0,0,0,0,0
168,0.0168959,0,0,0,0,0.0233007,0,0,0,0,0,0,0.00955447,0.0491256,0.00968335,0.0200352,0,0,0.0374218,0,0.0521361,0.0115006,0.0300078,0.0121604,0.0285652,0.00531544,0.0186857,0.00794033,0.00434528,0.00300922,0.00937829,0.0387359,0.00268422,0.00380104,0.00294743,0.0314781,0.00667598,0.02739,0.0330783,0.00210669,0.0238824,0.0414711,0.0180529,0.0196443,0.0160016,0,0,0.0209445,0,0.038793,0.00769653,0.0517319,0.0359022,0.0291763,0.0150546,0.0213298,0.0231484,0.00233068,0.0341459,0.00252301,0.00239272,0.0190103,0.0229951,0.0156829,0.0218076,0.0274123,0.0190752,0.00959496,0.00982356,0.0229167,0.00600307,0,0,0,0,0
169,0.0171436,0,0,0,0,0.0247163,0,0,0,0,0,0,0.00988766,0.0491515,0.00980466,0.0197284,0,0,0.0381659,0,0.0522302,0.0119784,0.0300737,0.0122382,0.0286529,0.00539997,0.0185335,0.00704781,0.00435123,0.00315855,0.00950644,0.0388584,0.00277674,0.00386122,0.00296563,0.0314313,0.00673413,0.0272938,0.0330518,0.00223942,0.0244674,0.0415546,0.0188249,0.0190401,0.0177494,0,0,0.0219736,0,0.0385537,0.00836184,0.0519885,0.0382055,0.0292199,0.015144,0.0215443,0.025144,0.00268164,0.0345212,0.00302485,0.00290065,0.0199282,0.0224461,0.0166641,0.0229804,0.0293214,0.0194819,0.00962832,0.00992318,0.0244729,0.00639188,0,0,0,0,0
170,0.017867,0,0,0,0,0.0258812,0,0,0,0,0,0,0.0104242,0.0490891,0.010145,0.0210585,0,0,0.0390123,0,0.0521563,0.012404,0.0301782,0.0124792,0.0279709,0.00491556,0.0195025,0.00752391,0.00464038,0.00312361,0.00948162,0.0387667,0.0023692,0.00389127,0.00256892,0.0315714,0.00788381,0.0279068,0.0328697,0.00216168,0.0389517,0.0416232,0.0247624,0.0212575,0.0190328,0,0,0.0220972,0,0.0385604,0.00864338,0.0528954,0.0319426,0.0276905,0.0197268,0.0216518,0.0262386,0.00738273,0.0311474,0.00635592,0.00834533,0.0232713,0,0.0223158,0.0248881,0.0358416,0.0193827,0.00962438,0.0100149,0.0256111,0.0072657,0,0,0,0,0
171,0.0167407,0,0,0,0,0.025821,0,0,0,0,0,0,0.0103467,0.0492606,0.00995992,0.0191739,0,0,0.0395589,0,0.0522673,0.012816,0.0303089,0.0123246,0.0288507,0.00581632,0.0184641,0.00654008,0.00436805,0.00348973,0.00976934,0.0391534,0.00301459,0.00402906,0.00312245,0.0313336,0.00740169,0.0275754,0.033041,0.00249532,0.0268699,0.0415911,0.0193043,0.01783,0.0186331,0,0,0.0225279,0,0.0385315,0.00883415,0.0524035,0.0412176,0.0293531,0.0155586,0.0222019,0.0263391,0.00406561,0.0351307,0.00437517,0.0038618,0.021411,0.0219395,0.0180576,0.0252242,0.0339951,0.0195084,0.00959277,0.0100618,0.0255353,0.00627433,0,0,0,0,0
172,0.0167704,0,0,0,0,0.0260146,0,0,0,0,0,0,0.0105853,0.0493101,0.0100584,0.0188298,0,0,0.0401169,0,0.0522809,0.0131225,0.0304307,0.0123849,0.0290159,0.00601971,0.0183685,0.00657755,0.004411,0.00374354,0.0098692,0.0393434,0.0031167,0.00404488,0.00316943,0.0312861,0.00773259,0.0279381,0.0330452,0.00260576,0.0279558,0.0416255,0.0191255,0.0171187,0.0189446,0,0,0.022681,0,0.038541,0.00889585,0.0524644,0.0424761,0.0295159,0.0158269,0.0224748,0.0266011,0.0043103,0.0353558,0.00495466,0.00438052,0.0219839,0.0220041,0.0184659,0.0262038,0.0361136,0.0194172,0.00959121,0.0101119,0.0258731,0.00626522,0,0,0,0,0
173,0.0167069,0,0,0,0,0.0262272,0,0,0,0,0,0,0.010857,0.0493475,0.0101307,0.0184638,0,0,0.0405489,0,0.0522857,0.01328,0.0305753,0.0124707,0.0291536,0.00612889,0.0182351,0.00661312,0.00443223,0.00397194,0.00999064,0.0395647,0.00323548,0.00422605,0.0032735,0.031216,0.00819832,0.028175,0.0330203,0.00261874,0.0288171,0.041674,0.0195741,0.0163301,0.0192307,0,0,0.0227673,0,0.038577,0.00894268,0.0524132,0.0435593,0.0297236,0.0166995,0.0227456,0.0268441,0.0048394,0.0354743,0.00526824,0.00473467,0.0226795,0.0220113,0.0189108,0.027256,0.037633,0.0192312,0.00948669,0.010142,0.0261325,0.00617145,0,0,0,0,0
174,0.0166263,0,0,0,0,0.0263582,0,0,0,0,0,0,0.0111394,0.0493777,0.0101558,0.0180841,0,0,0.0409132,0,0.0523099,0.0133614,0.0307401,0.0125013,0.0293006,0.00624646,0.0180605,0.00661627,0.00442518,0.00413948,0.0101682,0.0397786,0.00340428,0.0047416,0.00341786,0.0311302,0.00881983,0.0283915,0.0329928,0.00270663,0.0295786,0.0417143,0.0195362,0.0154445,0.019482,0,0,0.0227737,0,0.0385893,0.00900048,0.0522555,0.0444947,0.0299568,0.0175282,0.0229774,0.0270726,0.00522035,0.0355366,0.00550094,0.00504691,0.0232385,0.0219977,0.0191859,0.0281357,0.0389541,0.0191392,0.00932998,0.0101739,0.026314,0.00607239,0,0,0,0,0
175,0.016473,0,0,0,0,0.0265441,0,0,0,0,0,0,0.0113797,0.0493828,0.0101876,0.0178388,0,0,0.0411618,0,0.0523443,0.0135181,0.030913,0.0124974,0.0294062,0.00645518,0.0179269,0.00666894,0.00440836,0.00430714,0.0102567,0.0400216,0.00352604,0.00514256,0.00350652,0.0310513,0.00932293,0.0285309,0.032993,0.00279013,0.0303034,0.0417484,0.0193599,0.0146202,0.0196855,0,0,0.0227917,0,0.0385895,0.00896962,0.0520958,0.0450657,0.0302421,0.0181195,0.0231966,0.0273146,0.00536581,0.0355572,0.00571514,0.00535125,0.0235267,0.0220452,0.0192249,0.0287135,0.0402996,0.0192134,0.00926193,0.0101674,0.0265263,0.00592195,0,0,0,0,0
176,0.0162476,0,0,0,0,0.026585,0,0,0,0,0,0,0.0115434,0.0494167,0.0102047,0.0176989,0,0,0.0413767,0,0.0524001,0.0136776,0.0310732,0.0124409,0.0294905,0.00664836,0.0178178,0.00662785,0.00438681,0.00444508,0.0103634,0.0402095,0.00362235,0.0051508,0.00360977,0.0310005,0.00957001,0.0285809,0.0329932,0.00287148,0.0311185,0.0417797,0.0192201,0.0138976,0.019794,0,0,0.0228274,0,0.0385968,0.00900916,0.0519176,0.0452522,0.0305295,0.0184469,0.023346,0.0274717,0.0056572,0.0355194,0.00583804,0.00561159,0.0237176,0.0222676,0.0193564,0.0291002,0.0415666,0.0193341,0.00925367,0.0101876,0.0266684,0.00574869,0,0,0,0,0
