Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,x75
9,0.0544902,0,0,0,0,0.0770116,0,0,0,0,0,0,0.00891366,0.027053,0.00666471,0.0274661,0,0,0.050464,0,0.0511522,0.0298944,0.0274847,0.00435657,0.055612,0.00510852,0.0692112,0.0710834,0.00423464,0.00466645,0.00405269,0.0397853,0.0026054,0.00449268,0.00102481,0.0335461,0.0133392,0.0495994,0.00685082,0.0201466,0.0133531,0.0209926,0.00769201,0.0300318,0.0273871,0,0,0.0501974,0,0.0317628,0.0191087,0.0494736,0.0144001,0.0415501,0.00708745,0.0605384,0.0790977,0.00646852,0.0293481,0.00461845,0.00786263,0.00486165,0.035035,0.00551665,0.00573807,0.0212035,0.0599105,0.0786137,0.0169204,0.079391,0.0291966,0,0,0,0,0
10,0.0544367,0,0,0,0,0.0769755,0,0,0,0,0,0,0.00869227,0.0262578,0.0065201,0.0275553,0,0,0.0508794,0,0.0511466,0.0311285,0.0275926,0.00436173,0.0555918,0.00508357,0.069428,0.07154,0.00419457,0.00458549,0.00406464,0.0398471,0.00257507,0.00443947,0.000946835,0.0335379,0.0132057,0.0501048,0.00564055,0.0221515,0.0133156,0.0210047,0.00781447,0.0301187,0.0274225,0,0,0.0503854,0,0.0320198,0.0185129,0.0494704,0.0145174,0.041596,0.00706264,0.0608354,0.0783332,0.00740174,0.029363,0.00455848,0.00777094,0.00478949,0.0350175,0.00557285,0.00575441,0.0210965,0.0596461,0.0781293,0.0171184,0.0793593,0.0292973,0,0,0,0,0
11,0.0544515,0,0,0,0,0.0769673,0,0,0,0,0,0,0.00855838,0.0253706,0.00645793,0.0276868,0,0,0.0511832,0,0.0511939,0.0322088,0.0275682,0.00434077,0.055474,0.00508444,0.0696922,0.0722849,0.00422569,0.00463726,0.00412199,0.0398269,0.00260889,0.00443057,0.000942461,0.0335576,0.0130894,0.0508185,0.00481107,0.0240614,0.0133625,0.0209148,0.00801957,0.0302045,0.0274984,0,0,0.0503666,0,0.0318931,0.0177761,0.0495417,0.0146621,0.0416942,0.00696082,0.0611446,0.0773655,0.00764826,0.0294226,0.00441607,0.00763326,0.0046959,0.0350321,0.00566087,0.00576871,0.0210822,0.0592673,0.076952,0.0170251,0.0794579,0.0293583,0,0,0,0,0
12,0.0559123,0,0,0,0,0.0776319,0,0,0,0,0,0,0.00860285,0.023134,0.0064254,0.0276931,0,0,0.0516883,0,0.0511074,0.0353979,0.0273758,0.00431822,0.0555098,0.00505726,0.0699716,0.0756244,0.00435112,0.0048184,0.00421757,0.0396926,0.00268745,0.00449056,0.000933868,0.0335949,0.013135,0.0527514,0.00401136,0.0288313,0.0133323,0.0202034,0.00797475,0.0303184,0.0283849,0,0,0.0499363,0,0.0319611,0.0164484,0.0496469,0.0146307,0.0420996,0.00699466,0.0614349,0.0766494,0.00756792,0.0294888,0.00425706,0.00752252,0.00467399,0.0349457,0.00564888,0.00576065,0.0210693,0.0589562,0.0750734,0.0164098,0.0801343,0.0304331,0,0,0,0,0
13,0.0559537,0,0,0,0,0.0778159,0,0,0,0,0,0,0.00864326,0.0225871,0.00637862,0.0276656,0,0,0.051583,0,0.0513446,0.0357679,0.0273104,0.00428445,0.0557407,0.00503588,0.0702298,0.0767277,0.00438126,0.00495337,0.00422352,0.0396659,0.00272075,0.00452764,0.000911795,0.0336116,0.0131782,0.0533252,0.00425352,0.029836,0.0133028,0.0200589,0.00782158,0.0302994,0.0284773,0,0,0.0497907,0,0.0317017,0.0157457,0.0496676,0.014573,0.0422728,0.00698819,0.0617595,0.0753989,0.00748857,0.0294422,0.00423505,0.00751656,0.00470317,0.0348652,0.00564356,0.00578981,0.0211237,0.0586498,0.0737493,0.01578,0.0804834,0.0303486,0,0,0,0,0
14,0.0558483,0,0,0,0,0.0780367,0,0,0,0,0,0,0.00872102,0.0221087,0.00641463,0.0277008,0,0,0.0512821,0,0.0515291,0.0356075,0.0272653,0.00423377,0.0559743,0.00500323,0.070614,0.0775629,0.00441591,0.00510275,0.00424296,0.0396585,0.00271889,0.00456023,0.000904114,0.0336187,0.0132829,0.0538096,0.00455783,0.030145,0.0133295,0.0199856,0.00780949,0.0303582,0.0284846,0,0,0.0498794,0,0.0314856,0.0151561,0.0497095,0.0146053,0.0424391,0.00693218,0.0621777,0.074267,0.00729978,0.029446,0.00417528,0.0074359,0.00466226,0.0348477,0.00567893,0.00583998,0.0211395,0.0584066,0.0723217,0.0150892,0.0809929,0.0300575,0,0,0,0,0
15,0.0555525,0,0,0,0,0.0780756,0,0,0,0,0,0,0.00883674,0.0217147,0.00648714,0.0276856,0,0,0.0509406,0,0.0517461,0.0349426,0.0272077,0.00425681,0.0561359,0.00496484,0.0708852,0.0777408,0.00448396,0.00520815,0.00425276,0.0396616,0.00272223,0.00462341,0.000896223,0.0336235,0.0134507,0.0542804,0.00478447,0.0299161,0.0133752,0.0198685,0.00771872,0.0303621,0.0283704,0,0,0.0497957,0,0.0309597,0.0146431,0.049764,0.0145228,0.0425528,0.00695798,0.062479,0.072906,0.00708615,0.0295004,0.00416521,0.00740943,0.00462339,0.0348957,0.00564565,0.0058633,0.02125,0.0580212,0.0703023,0.0142755,0.0814375,0.029533,0,0,0,0,0
16,0.0551056,0,0,0,0,0.077957,0,0,0,0,0,0,0.00868484,0.021234,0.0063943,0.0276911,0,0,0.0504302,0,0.0520684,0.0342119,0.0271498,0.00423006,0.0561889,0.00494406,0.0710726,0.0776129,0.00454077,0.0052402,0.00422574,0.0396905,0.00270218,0.00459058,0.000876957,0.0336275,0.0132825,0.0545266,0.00529128,0.0296013,0.0134165,0.0197908,0.00738331,0.0303404,0.028223,0,0,0.0491451,0,0.0302036,0.0142029,0.049831,0.0142255,0.0426554,0.00701732,0.0626978,0.0712193,0.00720099,0.029507,0.0042018,0.00738695,0.0045734,0.0349393,0.00553012,0.00582555,0.0214833,0.0572671,0.0677911,0.0133996,0.0817224,0.0288667,0,0,0,0,0
17,0.0543135,0,0,0,0,0.077888,0,0,0,0,0,0,0.00844357,0.0207576,0.00625167,0.0276001,0,0,0.0497448,0,0.052425,0.0332378,0.0271367,0.00432224,0.0563768,0.00495188,0.071119,0.0769968,0.00454081,0.00527003,0.00418686,0.0397584,0.0026328,0.00448022,0.000832327,0.0336102,0.0129935,0.0545176,0.00581973,0.0289559,0.0133977,0.0197741,0.00723594,0.03027,0.0279772,0,0,0.0484602,0,0.0293832,0.0138142,0.0498797,0.0141216,0.042742,0.00703692,0.0628137,0.0693332,0.00709633,0.0294955,0.00423496,0.00740669,0.00456209,0.0349554,0.00553433,0.00584117,0.0215952,0.0562566,0.066137,0.0127758,0.0817028,0.0280069,0,0,0,0,0
18,0.0531703,0,0,0,0,0.0776243,0,0,0,0,0,0,0.00847216,0.0202415,0.00627204,0.0275273,0,0,0.0488899,0,0.0526927,0.0318405,0.0271196,0.00442541,0.0563284,0.00492741,0.0713236,0.0762217,0.00458883,0.00535137,0.00418492,0.0397589,0.0026054,0.00447109,0.000800922,0.033617,0.0130368,0.0542267,0.00644348,0.0278583,0.0133768,0.0196343,0.00724429,0.0303261,0.0276335,0,0,0.0479707,0,0.02854,0.013587,0.0498952,0.0141119,0.0426803,0.00704369,0.0628321,0.0676932,0.0066137,0.02954,0.00429128,0.00742293,0.0045543,0.0349487,0.00552211,0.00591655,0.0216124,0.05552,0.065135,0.0125607,0.0815197,0.0269188,0,0,0,0,0
