Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,
All Timesteps RMSE,0.0454533,0,0,0,0,0.0362563,0,0,0,0,0,0,0.0388593,0.0386588,0.0425807,0.0256045,0,0,0.0517082,0,0.0465965,0.0324376,0.0347894,0.0485293,0.0205219,0.00926112,0.024524,0.0496219,0.0101251,0.0114503,0.00963213,0.0400416,0.0148746,0.0196725,0.0245743,0.0188208,0.0448657,0.0478744,0.0266353,0.0251514,0.0267092,0.0345069,0.0185438,0.0265316,0.0455898,0,0,0.0868097,0,0.029953,0.0422207,0.0405042,0.0329415,0.024809,0.0294903,0.0180458,0.0627365,0.0246754,0.0328164,0.0249061,0.0218595,0.0280219,0.0378495,0.0199328,0.0299439,0.0386408,0.0682705,0.095305,0.0242527,0.0368587,0.0347062,0,0,0,0
0,0.0565839,0,0,0,0,0.0489918,0,0,0,0,0,0,0.0570724,0.0372503,0.0521593,0.0163971,0,0,0.0587958,0,0.0479712,0.0361457,0.0388088,0.0499454,0.0220274,0.0186375,0.0201903,0.0113397,0.00632102,0.0110607,0.0170493,0.0400828,0.021142,0.0292238,0.0280953,0.0254981,0.0586191,0.0435511,0.0268328,0.0276912,0.00684261,0.0426631,0.0175198,0.0133211,0.0777061,0,0,0.107411,0,0.0272814,0.0571313,0.0410956,0.0245587,0.0240288,0.0128476,0.00437529,0.0784155,0.0172573,0.0222665,0.0167056,0.0211085,0.0116644,0.0317706,0.0108586,0.0151264,0.016318,0.0748251,0.018785,0.0284427,0.0540785,0.047108,0,0,0,0
1,0.0413067,0,0,0,0,0.0371447,0,0,0,0,0,0,0.0559193,0.0358848,0.0525713,0.0166676,0,0,0.0596132,0,0.0491421,0.0380233,0.0376328,0.0502285,0.0226841,0.0191206,0.0124605,0.00806938,0.0065687,0.0116106,0.0160489,0.0385964,0.0211429,0.0291077,0.0280621,0.0260624,0.0579446,0.0418491,0.027954,0.0305566,0.00698354,0.044685,0.0165675,0.0129969,0.0453045,0,0,0.0559637,0,0.0489302,0.0426988,0.0416725,0.0228453,0.0266894,0.0120742,0.00908149,0.0529362,0.0171681,0.0221343,0.0164833,0.020714,0.0107279,0.0317719,0.0101207,0.0138682,0.016122,0.051462,0.022579,0.0244193,0.0325013,0.0394429,0,0,0,0
2,0.0415161,0,0,0,0,0.0375482,0,0,0,0,0,0,0.0535041,0.0357864,0.0514192,0.0170772,0,0,0.0596279,0,0.0492698,0.0380612,0.0374725,0.0504758,0.0223687,0.0183772,0.0125196,0.00808259,0.00645362,0.0112688,0.0147079,0.0380476,0.02,0.0276435,0.0271965,0.0257444,0.0562517,0.0418934,0.0280092,0.0306784,0.00668303,0.0446692,0.0162284,0.0135027,0.0456694,0,0,0.0561544,0,0.048976,0.0427666,0.0415279,0.0223033,0.026754,0.0121158,0.00931645,0.0533019,0.0170239,0.0220397,0.0164227,0.0206725,0.0107212,0.0320032,0.0100091,0.0138118,0.0159932,0.0516206,0.022544,0.0244404,0.0328511,0.0395679,0,0,0,0
3,0.0414796,0,0,0,0,0.0377165,0,0,0,0,0,0,0.0515752,0.0356696,0.0503595,0.017227,0,0,0.0596942,0,0.049362,0.038021,0.0372355,0.051111,0.0219878,0.0176793,0.012309,0.00815773,0.00661048,0.0113634,0.013784,0.0375023,0.0188082,0.0262193,0.0263895,0.0252838,0.0551164,0.0419079,0.0280278,0.0306332,0.00652275,0.0446877,0.0159529,0.013826,0.0457028,0,0,0.0562608,0,0.0489727,0.0428497,0.041439,0.0217438,0.0267964,0.0120136,0.00964831,0.0535326,0.0167295,0.0220674,0.016198,0.0205768,0.0106194,0.0321861,0.00992745,0.0136962,0.0157537,0.0517688,0.0226706,0.0244464,0.0330834,0.0394537,0,0,0,0
4,0.0413804,0,0,0,0,0.0376052,0,0,0,0,0,0,0.0499286,0.0355675,0.0493093,0.0171432,0,0,0.0597043,0,0.0494158,0.0379362,0.0369586,0.0519714,0.0216804,0.017037,0.0120256,0.00833391,0.00698924,0.0118588,0.0131798,0.0371156,0.017751,0.0249168,0.0257656,0.0248381,0.0542779,0.0418928,0.0280582,0.0305958,0.00644449,0.0447177,0.0156797,0.0141334,0.0456208,0,0,0.0563976,0,0.0489377,0.0429655,0.0413826,0.0211203,0.0268386,0.0118578,0.00996887,0.0537259,0.0166591,0.0221422,0.0159977,0.020385,0.0104731,0.0323705,0.00976706,0.0135334,0.0156073,0.0519148,0.0228023,0.0244467,0.0331915,0.0393146,0,0,0,0
5,0.0412748,0,0,0,0,0.0374449,0,0,0,0,0,0,0.0483296,0.03548,0.0483332,0.0171822,0,0,0.0596665,0,0.0494782,0.0378729,0.0366411,0.0529045,0.0214624,0.016497,0.0117728,0.00849814,0.00748538,0.0125392,0.0127816,0.0369432,0.0168268,0.023683,0.0251679,0.0244269,0.0536071,0.0418255,0.0281126,0.0305336,0.00642581,0.0447772,0.0154328,0.0143725,0.0454673,0,0,0.0565207,0,0.0489253,0.0429365,0.041318,0.020669,0.0268657,0.0117863,0.0102141,0.0538463,0.0167158,0.0222741,0.0158616,0.0202278,0.0103475,0.0326239,0.00955624,0.0133985,0.0158013,0.0520112,0.0227434,0.0244238,0.0331556,0.0392094,0,0,0,0
6,0.041159,0,0,0,0,0.0372399,0,0,0,0,0,0,0.0468126,0.0354153,0.0474872,0.0173833,0,0,0.0596672,0,0.0495311,0.0378213,0.0363393,0.0535284,0.0213242,0.0161166,0.0116192,0.00859565,0.00799973,0.0133,0.0124952,0.0369808,0.0160229,0.0225577,0.0246323,0.0240257,0.0530188,0.0417636,0.0281747,0.0306151,0.00633966,0.0448524,0.0152246,0.0145709,0.0453133,0,0,0.0566309,0,0.0489158,0.042829,0.0412041,0.0204018,0.0268892,0.0118334,0.0103779,0.0539135,0.0168321,0.0223498,0.0158281,0.0201249,0.0104197,0.0328661,0.00951989,0.0134233,0.0159157,0.0520739,0.0225617,0.0243739,0.0330731,0.0391244,0,0,0,0
7,0.0410543,0,0,0,0,0.0369299,0,0,0,0,0,0,0.045452,0.0353728,0.0467095,0.0175406,0,0,0.059608,0,0.0495689,0.0377648,0.0361174,0.0535446,0.0211259,0.0158545,0.0114803,0.00867248,0.00840111,0.0139782,0.0122427,0.0371554,0.0153479,0.0216401,0.0243338,0.0236431,0.0525053,0.0416969,0.0282469,0.0305688,0.00633661,0.0449272,0.0150315,0.0147677,0.0451203,0,0,0.056692,0,0.048902,0.0427752,0.0410695,0.0200738,0.0268897,0.011972,0.0104734,0.0539731,0.0168011,0.0223607,0.0157701,0.0201014,0.0104739,0.0330911,0.00952538,0.0134493,0.0160089,0.0521236,0.0225003,0.0242806,0.0330115,0.0390238,0,0,0,0
8,0.0409135,0,0,0,0,0.0367336,0,0,0,0,0,0,0.0444006,0.0353672,0.0458855,0.0177528,0,0,0.0595313,0,0.0496153,0.0376684,0.0360285,0.0531549,0.0209463,0.0157195,0.0113396,0.00878231,0.00863461,0.0144263,0.0119855,0.0374099,0.0147996,0.0208888,0.0241139,0.0232819,0.0520615,0.041626,0.0283529,0.0307417,0.00647707,0.0450123,0.0149384,0.0149969,0.0448733,0,0,0.0567466,0,0.0488959,0.042781,0.0409318,0.019768,0.0269109,0.0121268,0.010576,0.0540062,0.0169255,0.0223749,0.0156761,0.0201218,0.010499,0.0333726,0.00949548,0.0134294,0.0160977,0.0521269,0.0225133,0.0241697,0.0328515,0.0389002,0,0,0,0
