Timestep,C7,CBL,CBR,CFL,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,CFR
All Timesteps RMSE,0.0214659,0,0,0,0.0267546,0,0,0,0,0,0,0.0403909,0.0346906,0.0442222,0.0282523,0,0,0.0655605,0,0.0475246,0.0423506,0.0329018,0.0503314,0.0163132,0.0104705,0.0334701,0.0267534,0.012665,0.0123764,0.0106407,0.0389771,0.0151001,0.0196887,0.024798,0.0199707,0.0481763,0.0513704,0.0260987,0.0324901,0.0298677,0.0321561,0.0267151,0.0302841,0.0204322,0,0,0.0691918,0,0.0369917,0.0350607,0.0427421,0.0370968,0.0212963,0.0209064,0.0234611,0.0459313,0.0195162,0.0259383,0.0191834,0.0220823,0.0170017,0.0334302,0.0143391,0.019681,0.0387404,0.0581194,0.0371966,0.0247944,0.0272378,0.0172558,0,0,0,0
0,0.0690042,0,0,0,0.0643195,0,0,0,0,0,0,0.0524181,0.0206201,0.046976,0.0148624,0,0,0.0636097,0,0.0572638,0.0254751,0.0281047,0.0397796,0.027428,0.0072052,0.0183465,0.0725218,0.0137234,0.0130247,0.00941067,0.031955,0.0141859,0.0197157,0.0226509,0.0186041,0.0559285,0.0640076,0.0159544,0.0290051,0.0360298,0.0187121,0.0311411,0.0164221,0.054302,0,0,0.0638484,0,0.0382964,0.0193011,0.0419048,0.0306815,0.0275356,0.0174432,0.0160989,0.0682923,0.0206068,0.02239,0.0186825,0.0238636,0.00934391,0.0372632,0.0070317,0.00779544,0.0379757,0.0599242,0.0374762,0.0216544,0.0592724,0.0461825,0,0,0,0
1,0.0612139,0,0,0,0.060486,0,0,0,0,0,0,0.0522512,0.0209966,0.0469726,0.0131426,0,0,0.063313,0,0.0580519,0.0246595,0.0277918,0.0391889,0.0288868,0.00726717,0.0226501,0.0732072,0.0146301,0.0136992,0.009686,0.0318736,0.014782,0.0203426,0.0229238,0.0187311,0.055948,0.0640481,0.0162704,0.0294637,0.0354443,0.0181069,0.0305794,0.0146789,0.0429586,0,0,0.0428643,0,0.0404143,0.0117695,0.0424493,0.0299646,0.0289844,0.016417,0.0202684,0.0620482,0.0204942,0.0225168,0.0184825,0.0233655,0.00856562,0.0371897,0.00723436,0.00678697,0.0370337,0.046847,0.0490114,0.0204241,0.057107,0.0389358,0,0,0,0
2,0.0610581,0,0,0,0.0603857,0,0,0,0,0,0,0.0523102,0.020956,0.0472349,0.0131248,0,0,0.0634976,0,0.0581826,0.0247465,0.0277631,0.0391251,0.0289322,0.00729354,0.022667,0.0735237,0.0153078,0.0136916,0.00971785,0.0318585,0.0148182,0.0204515,0.0229446,0.0187297,0.0559543,0.064185,0.0164798,0.0298789,0.0354009,0.0181307,0.0305498,0.0146521,0.0427526,0,0,0.0428682,0,0.040477,0.0118148,0.0425182,0.0298536,0.0292343,0.0163774,0.0201365,0.0619934,0.0204975,0.0225406,0.0184816,0.0233346,0.00848651,0.0371977,0.00725121,0.00666642,0.0369443,0.0468545,0.0491979,0.0204675,0.0570662,0.0388153,0,0,0,0
3,0.0609494,0,0,0,0.0602931,0,0,0,0,0,0,0.0522647,0.0207853,0.0473556,0.0130387,0,0,0.0641205,0,0.0582833,0.0252612,0.0277163,0.0392217,0.0290486,0.00732119,0.0226346,0.0743038,0.0152309,0.0137312,0.00978461,0.03183,0.0148257,0.0204998,0.0229695,0.0187886,0.0558682,0.0649689,0.0168334,0.0309405,0.0353012,0.0181685,0.0304481,0.0145864,0.0425928,0,0,0.0429667,0,0.0406108,0.0118922,0.0426389,0.0296129,0.0297459,0.0162333,0.0200305,0.0620065,0.0205102,0.0225828,0.0184667,0.0232578,0.00832655,0.0371955,0.00727998,0.00643671,0.0367641,0.0469269,0.0493974,0.0205787,0.0569801,0.0387729,0,0,0,0
4,0.0610791,0,0,0,0.060368,0,0,0,0,0,0,0.0520756,0.020428,0.0471895,0.013202,0,0,0.0658755,0,0.0583296,0.0265273,0.0276755,0.0393427,0.0288422,0.00734237,0.0223729,0.0757606,0.0154957,0.013743,0.00980951,0.0318137,0.0148042,0.020473,0.0229604,0.0188445,0.0557052,0.0668507,0.0174576,0.0326781,0.0352767,0.0181635,0.030365,0.0146447,0.0424637,0,0,0.0430652,0,0.0407209,0.0118951,0.0426682,0.0296511,0.0297649,0.0162651,0.0197934,0.0620383,0.0204497,0.0226044,0.018415,0.0232313,0.00834116,0.0371576,0.00724498,0.00648059,0.0367391,0.0469877,0.0496564,0.0204676,0.0570241,0.0389294,0,0,0,0
5,0.063029,0,0,0,0.0635712,0,0,0,0,0,0,0.0525804,0.0205158,0.0468006,0.0111286,0,0,0.049446,0,0.0534301,0.0233942,0.0282435,0.0390746,0.0319166,0.00713,0.0292687,0.0748621,0.0146442,0.0136409,0.00964239,0.0323536,0.014862,0.020561,0.02304,0.018565,0.056179,0.0542574,0.0150945,0.0267274,0.0350548,0.0182108,0.0301671,0.0136435,0.0441554,0,0,0.0433945,0,0.0407668,0.0123483,0.0427479,0.0293389,0.0302437,0.0157157,0.0272932,0.0641738,0.021066,0.0226032,0.0188446,0.0234475,0.0077497,0.0375122,0.0077068,0.00528439,0.0361683,0.0482393,0.0497875,0.02036,0.060665,0.0391821,0,0,0,0
6,0.0630424,0,0,0,0.0634631,0,0,0,0,0,0,0.0523961,0.0207605,0.0466308,0.0110374,0,0,0.0488552,0,0.0536637,0.0228502,0.0282167,0.039097,0.0319092,0.00710095,0.028986,0.0751887,0.0142859,0.0136352,0.00963137,0.0323164,0.0148613,0.0205793,0.0230346,0.0186083,0.055925,0.0535028,0.016094,0.0259992,0.0348471,0.0181365,0.0299756,0.0135834,0.0438734,0,0,0.0433112,0,0.0408315,0.0122844,0.0428317,0.0291896,0.0304829,0.0156154,0.0268801,0.0637688,0.0209278,0.022692,0.0187457,0.0233264,0.00760081,0.0374945,0.00772218,0.00512724,0.0359412,0.0479469,0.0500714,0.0200505,0.0605497,0.039321,0,0,0,0
7,0.0628044,0,0,0,0.0631134,0,0,0,0,0,0,0.0523728,0.020955,0.0466781,0.0111122,0,0,0.0484648,0,0.0538372,0.0223351,0.0282052,0.0390989,0.0317532,0.00709347,0.028497,0.0754704,0.0142444,0.0136161,0.00961414,0.032362,0.014827,0.0206421,0.0230232,0.0186334,0.0559146,0.0529251,0.01734,0.0256438,0.0348308,0.0180483,0.0299349,0.0136475,0.0433896,0,0,0.0434455,0,0.0408225,0.0121816,0.0428296,0.029202,0.0303732,0.0156629,0.0263813,0.0633168,0.0208516,0.0227121,0.0187311,0.0233201,0.00763986,0.0375224,0.00769177,0.00519573,0.0359551,0.0477673,0.0503724,0.0197388,0.0602544,0.0392665,0,0,0,0
8,0.0623386,0,0,0,0.0625987,0,0,0,0,0,0,0.0523702,0.0211723,0.0467505,0.0114559,0,0,0.0479306,0,0.0539463,0.0217952,0.0282329,0.0391349,0.0313124,0.00711296,0.0277346,0.0757214,0.0142314,0.0136265,0.0095876,0.0324941,0.0148205,0.0206468,0.0230129,0.0186512,0.0559268,0.0522187,0.0187269,0.0253807,0.0350343,0.0179013,0.0302045,0.0138614,0.0426221,0,0,0.0437231,0,0.0407086,0.0120103,0.0426928,0.0294327,0.0297453,0.0161119,0.025754,0.0627037,0.0208333,0.0226692,0.0187876,0.0234623,0.00789656,0.0375605,0.00761891,0.00554012,0.0362014,0.0476046,0.0506955,0.019374,0.0598432,0.0389818,0,0,0,0
9,0.0607532,0,0,0,0.0611802,0,0,0,0,0,0,0.0523194,0.0214417,0.0467736,0.0117815,0,0,0.0472315,0,0.0540377,0.0212494,0.0282915,0.0391211,0.0308839,0.0071181,0.0269759,0.074692,0.014247,0.0136399,0.00957449,0.0324395,0.0148229,0.0207092,0.022996,0.018663,0.0558809,0.0509431,0.0201523,0.0254035,0.0352042,0.0178662,0.0303979,0.0140589,0.0412797,0,0,0.0441869,0,0.040688,0.0119615,0.0426287,0.0295391,0.029464,0.0162879,0.0249502,0.0617648,0.0208569,0.0226355,0.0188406,0.0235666,0.00805205,0.0376041,0.00759018,0.0057069,0.0363628,0.0473927,0.0510099,0.0191705,0.05857,0.0379101,0,0,0,0
10,0.0589697,0,0,0,0.0594944,0,0,0,0,0,0,0.0522866,0.0218588,0.0467286,0.0119657,0,0,0.0468563,0,0.0543439,0.0210632,0.0282382,0.0391449,0.0306296,0.00716679,0.0259967,0.0738097,0.0143367,0.0136165,0.00961651,0.0322761,0.0148233,0.0207706,0.0230199,0.0186934,0.0558618,0.0500227,0.0215446,0.0258864,0.0352477,0.0178913,0.0304235,0.0141837,0.0397838,0,0,0.0448453,0,0.0406937,0.0119912,0.042745,0.0294003,0.0298231,0.0162136,0.023698,0.0606494,0.0208445,0.0226271,0.0188592,0.0235356,0.00796345,0.0376142,0.00760432,0.00555534,0.036331,0.0472699,0.0512797,0.0190279,0.0570037,0.0368386,0,0,0,0
11,0.0571308,0,0,0,0.0577259,0,0,0,0,0,0,0.0522705,0.0222875,0.0466426,0.0123852,0,0,0.0468004,0,0.0546421,0.0216088,0.0281461,0.0392022,0.0302131,0.00720737,0.0248195,0.0730424,0.0143797,0.0135778,0.00963856,0.0321607,0.0147922,0.020761,0.0230199,0.0187136,0.0558384,0.0493465,0.0228164,0.0268275,0.0352434,0.017823,0.0303947,0.0144587,0.0381731,0,0,0.0454399,0,0.0405553,0.0120172,0.0427599,0.0293355,0.0298598,0.0162168,0.0223377,0.0592733,0.02079,0.0226079,0.0188431,0.0235031,0.00795426,0.0376079,0.00758399,0.00555292,0.0363175,0.0470505,0.0514288,0.018803,0.0553532,0.0357393,0,0,0,0
12,0.0585389,0,0,0,0.0570972,0,0,0,0,0,0,0.0514892,0.0227476,0.0463237,0.0137774,0,0,0.0472253,0,0.0545744,0.0225646,0.0284111,0.0394435,0.0289179,0.00709447,0.0210748,0.07285,0.0140963,0.0131832,0.00927564,0.0323181,0.0146062,0.0204152,0.0228658,0.0187169,0.0551141,0.0492038,0.0238246,0.027736,0.0352729,0.0184282,0.0304625,0.015823,0.0409046,0,0,0.048106,0,0.0414339,0.0139634,0.0423394,0.0295416,0.0283932,0.0166822,0.0188637,0.0617753,0.0209015,0.0225864,0.0189425,0.0238063,0.00842635,0.0377387,0.00752714,0.00612423,0.0365408,0.0493362,0.0506983,0.0200619,0.0540611,0.0376335,0,0,0,0
13,0.0543646,0,0,0,0.0539988,0,0,0,0,0,0,0.0516918,0.0228808,0.0464874,0.0143425,0,0,0.04707,0,0.0543165,0.0234116,0.0282929,0.0395689,0.0283841,0.00709405,0.0205135,0.0710421,0.0142643,0.0133248,0.00944354,0.0321987,0.0146106,0.0204614,0.0229013,0.0187641,0.0553262,0.0481054,0.0247471,0.0293572,0.035747,0.0181034,0.0308938,0.0161949,0.0365914,0,0,0.0479995,0,0.0406902,0.0133376,0.042217,0.0299767,0.0282062,0.0171904,0.0182171,0.0577141,0.0209657,0.0224204,0.0191062,0.024048,0.00869346,0.0377694,0.00748064,0.00650639,0.0371536,0.0475733,0.0504985,0.0190013,0.0515247,0.0345554,0,0,0,0
14,0.0510529,0,0,0,0.0514998,0,0,0,0,0,0,0.0518469,0.0227469,0.0466166,0.0148925,0,0,0.0468538,0,0.0540833,0.0241469,0.0282392,0.0395726,0.027853,0.0071758,0.0197632,0.0698054,0.014312,0.0133844,0.0095123,0.0320977,0.0146152,0.0204586,0.0229419,0.0187843,0.0554859,0.0471823,0.0255434,0.0305812,0.0359104,0.0179007,0.0310559,0.0165422,0.0330942,0,0,0.0485977,0,0.0398388,0.0129819,0.0420633,0.0301397,0.0280076,0.0174524,0.0172725,0.0545383,0.0209323,0.0223066,0.0191328,0.0241277,0.00888885,0.0377552,0.00742808,0.00684218,0.037459,0.0466087,0.0499045,0.0180798,0.0495094,0.0321662,0,0,0,0
15,0.0469349,0,0,0,0.0480809,0,0,0,0,0,0,0.0522542,0.0223417,0.046487,0.0146441,0,0,0.0460533,0,0.0539189,0.0244217,0.0291868,0.0392983,0.0281438,0.00691984,0.0204421,0.0666991,0.013824,0.0130261,0.00909861,0.0329123,0.0146123,0.0203531,0.0230033,0.0184219,0.0558482,0.0451978,0.0259799,0.0312573,0.0257347,0.0178254,0.0146813,0.0158737,0.0294731,0,0,0.0498545,0,0.0390446,0.0134356,0.0374472,0.018828,0.0268769,0.0151223,0.0161687,0.0515828,0.0242015,0,0.022811,0.0230379,0.0177791,0.0371371,0.0164234,0.0186906,0.0334254,0.0461607,0.0489763,0.0176589,0.0465828,0.0290278,0,0,0,0
16,0.0424327,0,0,0,0.043868,0,0,0,0,0,0,0.0517282,0.0218297,0.0466084,0.0164935,0,0,0.0457499,0,0.0539582,0.0247391,0.028028,0.0397149,0.026428,0.00729591,0.017438,0.0633944,0.0144646,0.0134282,0.0095885,0.0318935,0.0145953,0.0202531,0.0229659,0.0188538,0.0552412,0.043723,0.0262214,0.032173,0.0352848,0.0179923,0.0305251,0.0178582,0.0263193,0,0,0.0513631,0,0.0386356,0.014703,0.0421116,0.0299357,0.0273984,0.0171401,0.0143099,0.0485394,0.0207138,0.0222115,0.0189189,0.0239365,0.00889824,0.0378845,0.00755951,0.00683088,0.0366732,0.0457186,0.0474944,0.0178658,0.0426915,0.0262745,0,0,0,0
17,0.0382378,0,0,0,0.0399308,0,0,0,0,0,0,0.0514207,0.021272,0.0463883,0.0177279,0,0,0.0457155,0,0.0540747,0.0248387,0.0279648,0.0398992,0.0254255,0.0073575,0.0158475,0.0605403,0.0145123,0.0134105,0.00959606,0.0317894,0.0145672,0.0202024,0.0229339,0.0189451,0.0549543,0.0428738,0.026312,0.0329195,0.0352492,0.0181736,0.0305636,0.0190366,0.0233711,0,0,0.0526072,0,0.0380267,0.0157869,0.0426698,0.0297451,0.0271488,0.0170028,0.0122369,0.0455858,0.020534,0.0222651,0.0188098,0.0238837,0.00874401,0.037966,0.00769179,0.00658031,0.0367769,0.0453019,0.0458226,0.0180678,0.0390511,0.0236094,0,0,0,0
18,0.0335015,0,0,0,0.0357089,0,0,0,0,0,0,0.0511031,0.0207556,0.0462125,0.0191121,0,0,0.0456287,0,0.054206,0.0246306,0.0279091,0.0400829,0.0243478,0.00738045,0.0145234,0.0575328,0.0143495,0.0133635,0.0095936,0.0316845,0.0145,0.020035,0.0228864,0.0189988,0.0547762,0.0421022,0.0264285,0.0334694,0.0358668,0.0182768,0.0310648,0.0203605,0.0200444,0,0,0.0536864,0,0.0372956,0.0167468,0.0428105,0.0303997,0.0267266,0.0177863,0.0101091,0.0422124,0.0204438,0.0225198,0.0189032,0.0241736,0.00908114,0.037878,0.00736526,0.00704575,0.0374453,0.0447282,0.0442031,0.0182573,0.0352033,0.0206485,0,0,0,0
19,0.0263758,0,0,0,0.0295498,0,0,0,0,0,0,0.0508834,0.0201132,0.0461665,0.0203149,0,0,0.0451797,0,0.0540306,0.0244537,0.0279598,0.0402167,0.0235899,0.00733912,0.0139494,0.051405,0.0140217,0.01333,0.00956426,0.0316682,0.0144165,0.0198962,0.0228628,0.0190075,0.0546585,0.0398652,0.0263446,0.0339647,0.0363016,0.0183249,0.0314541,0.0216486,0.0157233,0,0,0.0550765,0,0.0365633,0.0180471,0.0426764,0.0308316,0.026137,0.0183132,0.00888379,0.0381275,0.0206022,0.0224608,0.0191266,0.0245476,0.00940919,0.0379805,0.00727829,0.00741511,0.0380081,0.0440309,0.0426379,0.0186376,0.0296802,0.0159881,0,0,0,0
20,0.0190503,0,0,0,0.0234561,0,0,0,0,0,0,0.0505726,0.0195493,0.0461684,0.0216875,0,0,0.0451154,0,0.0537742,0.0247347,0.0281335,0.0403235,0.0227066,0.00730161,0.0137866,0.0449736,0.0140688,0.0132674,0.00949819,0.0316529,0.014326,0.0197853,0.0228166,0.0190372,0.0543819,0.0378679,0.0262517,0.0344736,0.0365269,0.0183893,0.0316675,0.023167,0.0117342,0,0,0.0564121,0,0.0357373,0.0192189,0.0425275,0.0310251,0.0254286,0.0186743,0.00779972,0.0339927,0.0207135,0.0223533,0.0192984,0.0247835,0.0096427,0.0381145,0.00731572,0.00768965,0.0383575,0.0432624,0.04098,0.0190613,0.0243398,0.0114564,0,0,0,0
21,0.0122738,0,0,0,0.018046,0,0,0,0,0,0,0.0501768,0.0190154,0.0461379,0.0232619,0,0,0.045169,0,0.0534477,0.0253061,0.028281,0.0404661,0.0216848,0.00728293,0.0143173,0.0385616,0.0141729,0.0131617,0.00940668,0.031643,0.0142196,0.019612,0.0227418,0.0190687,0.053995,0.036045,0.0261329,0.0348987,0.0371089,0.0185482,0.0321736,0.0249414,0.00893168,0,0,0.0578408,0,0.0349344,0.0204359,0.0424601,0.0315746,0.024679,0.0194858,0.00729877,0.0301986,0.0208165,0.022488,0.0195415,0.0250958,0.0100247,0.038156,0.00721752,0.0081635,0.0389228,0.0426964,0.0392038,0.019621,0.019787,0.00782949,0,0,0,0
22,0.00839188,0,0,0,0.0152043,0,0,0,0,0,0,0.0499739,0.0184952,0.0462611,0.0246558,0,0,0.0452903,0,0.053172,0.0258107,0.0283092,0.0406021,0.0208052,0.00734572,0.0152917,0.0326557,0.0142392,0.0131163,0.0093721,0.0315867,0.01416,0.0195483,0.0227294,0.0191309,0.0538288,0.0344334,0.0260771,0.0355612,0.0376696,0.0185693,0.0326726,0.0264552,0.00911425,0,0,0.0581123,0,0.033643,0.020584,0.0425126,0.0320473,0.0242256,0.0202254,0.00763239,0.0269967,0.0207986,0.0225771,0.0197393,0.0253771,0.0103266,0.038171,0.00716752,0.00850559,0.0394435,0.0417366,0.0374072,0.0194864,0.0174606,0.00654026,0,0,0,0
23,0.00931115,0,0,0,0.0145628,0,0,0,0,0,0,0.0496131,0.0180396,0.0461253,0.0260361,0,0,0.045372,0,0.0528074,0.0263183,0.0284654,0.0406547,0.0199374,0.00729587,0.016797,0.0271529,0.0140664,0.0129227,0.00917356,0.0316439,0.0140523,0.0194397,0.0226877,0.019116,0.0534455,0.033044,0.0260185,0.0362252,0.0379684,0.0186759,0.032971,0.028034,0.0109896,0,0,0.0584135,0,0.0324719,0.0210666,0.0421713,0.0324868,0.023501,0.0207165,0.00890151,0.0247277,0.0206911,0.022417,0.0198681,0.0256421,0.0106689,0.0381299,0.00713581,0.00898173,0.0399383,0.0408927,0.0353901,0.0196378,0.0168577,0.00804253,0,0,0,0
24,0.0134102,0,0,0,0.0161523,0,0,0,0,0,0,0.0491379,0.0175871,0.0459697,0.0273695,0,0,0.0453222,0,0.0523655,0.0268154,0.0286459,0.0406868,0.0190762,0.00723209,0.0186699,0.0219752,0.0137834,0.0126998,0.00896403,0.0317024,0.0139611,0.0193316,0.0225959,0.0190844,0.0530059,0.0318258,0.0259799,0.0366682,0.0382303,0.018864,0.0332459,0.029594,0.0136028,0,0,0.0583716,0,0.0312875,0.0215777,0.0417814,0.0329151,0.022773,0.021083,0.0106553,0.0235698,0.0207554,0.0222446,0.0199408,0.0258479,0.0109802,0.0380291,0.00707205,0.00942796,0.0404673,0.0401295,0.0334069,0.0199913,0.0179703,0.0107155,0,0,0,0
25,0.0179047,0,0,0,0.0187806,0,0,0,0,0,0,0.0485856,0.0172255,0.0460829,0.0286693,0,0,0.0451899,0,0.051881,0.0272232,0.028874,0.0406463,0.0182692,0.00718281,0.0207856,0.0173369,0.0134163,0.0124764,0.00876183,0.0317565,0.0138467,0.0191698,0.0224838,0.0190505,0.0525831,0.0309245,0.0259411,0.037077,0.0384376,0.019128,0.0334364,0.0311562,0.0160528,0,0,0.0581136,0,0.0301985,0.0221128,0.0415026,0.033207,0.0221738,0.0214371,0.0126621,0.0236246,0.0209759,0.0221613,0.0199544,0.0260027,0.0112734,0.0379359,0.00699939,0.0098814,0.0408893,0.0397075,0.0314642,0.0204253,0.020044,0.0133605,0,0,0,0
26,0.0218262,0,0,0,0.0214548,0,0,0,0,0,0,0.0480729,0.017033,0.0464287,0.0299456,0,0,0.0451099,0,0.0513811,0.027513,0.0291266,0.0405623,0.0175144,0.00715599,0.0229823,0.0134227,0.0132116,0.0122501,0.00854931,0.0317876,0.0137193,0.0189852,0.0223993,0.0190054,0.0521744,0.0304205,0.0258687,0.0374073,0.0386246,0.0194688,0.0336022,0.032669,0.017939,0,0,0.0577905,0,0.0292146,0.0226171,0.0413389,0.0334642,0.0216699,0.0217966,0.0147961,0.0246699,0.0210232,0.0221249,0.0199441,0.0261242,0.0115616,0.0378413,0.00692863,0.0103201,0.0413055,0.0395086,0.0296908,0.0210038,0.0223368,0.0155758,0,0,0,0
27,0.024761,0,0,0,0.0236139,0,0,0,0,0,0,0.0475176,0.0169565,0.0463831,0.0310562,0,0,0.0452342,0,0.0509706,0.0278515,0.0292804,0.0405804,0.016822,0.00712454,0.0249553,0.0105787,0.0131769,0.0120749,0.00834433,0.0318456,0.0136233,0.0187237,0.0223577,0.0189524,0.0517296,0.0304487,0.0258357,0.0376773,0.0387821,0.0199818,0.0337226,0.0339412,0.0190894,0,0,0.0575686,0,0.0284901,0.0231676,0.0415564,0.0337075,0.0211467,0.0221176,0.0166106,0.0262146,0.0208927,0.0221828,0.0198638,0.0261394,0.0117689,0.0376963,0.00683968,0.0107316,0.0416244,0.0398214,0.0281436,0.0215829,0.0242839,0.017162,0,0,0,0
28,0.0266042,0,0,0,0.0249936,0,0,0,0,0,0,0.0470483,0.0170149,0.0460518,0.0320411,0,0,0.0456058,0,0.0505746,0.0282792,0.029459,0.0406625,0.0162208,0.00711899,0.0266839,0.00874083,0.0130566,0.0119271,0.00813331,0.0318914,0.0135764,0.0184167,0.0223375,0.0188869,0.0513743,0.0308989,0.025822,0.0378062,0.038991,0.0205051,0.0338666,0.0350351,0.0194174,0,0,0.0572935,0,0.0278803,0.0236492,0.0422686,0.0339848,0.0205805,0.0224913,0.0181225,0.0279537,0.0206747,0.0223153,0.0197583,0.026097,0.0119604,0.0375197,0.00671994,0.0111616,0.0419035,0.0404775,0.0269394,0.0221598,0.0255299,0.0180374,0,0,0,0
29,0.0279341,0,0,0,0.026054,0,0,0,0,0,0,0.046601,0.0173589,0.0454541,0.0327228,0,0,0.0461787,0,0.0502328,0.028739,0.0296492,0.0406974,0.0158054,0.00709098,0.0282348,0.00768581,0.0128785,0.0118042,0.00792392,0.0319215,0.0135552,0.0182211,0.0223143,0.0188187,0.0510561,0.0316059,0.0258799,0.0376811,0.0389313,0.0209464,0.0337584,0.0358575,0.0194445,0,0,0.0573281,0,0.0272781,0.0241614,0.0423407,0.0339725,0.0202855,0.0226498,0.0197678,0.0296847,0.0204831,0.0223641,0.0196109,0.0260032,0.0120795,0.0373801,0.00663595,0.0115038,0.041929,0.0413688,0.0261531,0.0226685,0.0265313,0.0185606,0,0,0,0
30,0.0287035,0,0,0,0.0266565,0,0,0,0,0,0,0.0461794,0.0179015,0.0450292,0.0331631,0,0,0.0467689,0,0.0500153,0.0292609,0.0298356,0.0406862,0.0154672,0.00707003,0.0294433,0.00738604,0.0126866,0.0116827,0.00773144,0.0319899,0.0135048,0.0180794,0.022264,0.018755,0.0507739,0.0324318,0.025991,0.0374744,0.0388536,0.021311,0.0336615,0.0365177,0.0191862,0,0,0.0577203,0,0.0267225,0.0246697,0.0417804,0.0339933,0.0202841,0.0228332,0.0212746,0.0314325,0.0204219,0.0222894,0.0195372,0.0259985,0.0122032,0.0373065,0.00662019,0.0117781,0.0419979,0.0425017,0.0255627,0.0230931,0.0271502,0.018729,0,0,0,0
31,0.0288026,0,0,0,0.0266272,0,0,0,0,0,0,0.0457357,0.018347,0.0447465,0.0334025,0,0,0.0472345,0,0.0498939,0.0296613,0.0298593,0.0406659,0.0150845,0.0070288,0.0300848,0.00773968,0.0125026,0.0115866,0.00758972,0.0320708,0.0134263,0.0179486,0.0222047,0.0186982,0.0504874,0.0332825,0.0260981,0.0371676,0.0389193,0.0216671,0.0337101,0.0369589,0.0185165,0,0,0.0583742,0,0.0262772,0.0251185,0.0413946,0.0341909,0.0202854,0.0231598,0.0219267,0.0331269,0.0204317,0.0222328,0.0195285,0.0260628,0.0123886,0.0372718,0.00661544,0.0120825,0.0421877,0.0438095,0.0250954,0.0233778,0.0271495,0.0185155,0,0,0,0
32,0.0285079,0,0,0,0.0263797,0,0,0,0,0,0,0.0453219,0.0186487,0.0446959,0.0336559,0,0,0.0475723,0,0.0497084,0.0299585,0.0298389,0.0405526,0.0148799,0.0070172,0.0306543,0.00840205,0.0123486,0.0114813,0.00745092,0.0321173,0.013381,0.0178289,0.0221621,0.018636,0.0501081,0.0341277,0.026228,0.0368279,0.0389348,0.0220575,0.0337257,0.0372865,0.0176145,0,0,0.0593258,0,0.0259554,0.0256862,0.0413201,0.0344157,0.0200892,0.0231926,0.0223893,0.0348025,0.0203305,0.022242,0.0194394,0.0260168,0.0125151,0.0371452,0.00658371,0.01235,0.042321,0.0452599,0.0247549,0.0236597,0.0269713,0.0180682,0,0,0,0
33,0.028204,0,0,0,0.0263385,0,0,0,0,0,0,0.0449876,0.0188928,0.0449447,0.0340129,0,0,0.0477734,0,0.0495115,0.0301583,0.0298878,0.0404438,0.0148741,0.00701357,0.0315785,0.00912353,0.0122218,0.0114158,0.00730591,0.0321675,0.0133543,0.0176997,0.0221593,0.0185954,0.0498289,0.0348536,0.0263685,0.0363245,0.0387534,0.0224161,0.0336055,0.0376418,0.0167428,0,0,0.0604945,0,0.0256703,0.0265769,0.0413525,0.0344042,0.0202346,0.0230442,0.0234478,0.0366025,0.0202416,0.0222757,0.0193293,0.0258899,0.0124469,0.0370226,0.00653687,0.0124002,0.0422639,0.0468438,0.0245827,0.023972,0.0270535,0.0175583,0,0,0,0
34,0.0277541,0,0,0,0.026237,0,0,0,0,0,0,0.0447001,0.0192636,0.0449101,0.0343817,0,0,0.0480338,0,0.0495055,0.0303516,0.029976,0.0403314,0.0148974,0.00699144,0.0324982,0.00986613,0.012093,0.0113344,0.00716048,0.0322458,0.0133178,0.0176644,0.0221511,0.0185461,0.049674,0.0355735,0.0265363,0.0360041,0.0386994,0.0227902,0.0335529,0.0379086,0.015823,0,0,0.0617196,0,0.0254664,0.0276669,0.0413389,0.0344455,0.0203211,0.0230415,0.0242926,0.0384071,0.0201685,0.0223085,0.0192643,0.0258273,0.0124799,0.0369426,0.0065018,0.0125145,0.0423001,0.0484992,0.0244124,0.0244082,0.0270958,0.0169703,0,0,0,0
35,0.0265883,0,0,0,0.025616,0,0,0,0,0,0,0.0444261,0.0196646,0.044762,0.034648,0,0,0.0482244,0,0.049493,0.03053,0.0300445,0.0401582,0.0149212,0.00696464,0.0331683,0.0104947,0.0119698,0.0112718,0.00703599,0.0323106,0.0133054,0.01772,0.0221157,0.0184849,0.0494597,0.036249,0.0267598,0.0357702,0.0387871,0.023187,0.0335623,0.0382706,0.0145745,0,0,0.0629068,0,0.0253167,0.0286944,0.0411484,0.034576,0.0202859,0.0231319,0.0247234,0.0401568,0.020093,0.0223173,0.0192489,0.0258184,0.0125791,0.0368752,0.00648319,0.0127119,0.0424151,0.0501715,0.0243086,0.02472,0.026691,0.0158768,0,0,0,0
