Timestep,C7,CBL,CBR,CFL,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,CFR
1830,0.00462741,0,0,0,0.0220228,0,0,0,0,0,0,0.0324941,0.0345592,0.0460801,0.029947,0,0,0.0715421,0,0.0456433,0.0476655,0.0314525,0.0500879,0.0134074,0.0133972,0.0348848,0.0150246,0.0118727,0.0100546,0.00947325,0.0412636,0.0161059,0.0213041,0.0267374,0.0216099,0.0476147,0.0507646,0.0268878,0.0368678,0.019725,0.0331844,0.0228654,0,0.0181607,0,0,0.0734019,0,0.0365042,0.0371809,0.0465959,0.0384068,0.0195204,0.0147168,0.0224168,0.0431845,0.0165663,0.0341036,0.0165219,0.0181832,0.0190188,0.0140364,0.0189703,0.0230205,0.0176286,0.0603847,0.0272965,0.0230619,0.0249449,0.0119911,0,0,0,0
1831,0.00453401,0,0,0,0.0224277,0,0,0,0,0,0,0.0326069,0.0345994,0.0463749,0.0301032,0,0,0.0715633,0,0.04569,0.0476982,0.031377,0.0510337,0.0132954,0.0135798,0.035259,0.0152102,0.0117704,0.010309,0.00933023,0.0412872,0.0159871,0.0212069,0.0266829,0.021858,0.048529,0.0507354,0.0269353,0.0368609,0.0195683,0.0332499,0.0232255,0,0.0183892,0,0,0.0734006,0,0.0365793,0.0373135,0.0465986,0.0389346,0.0198928,0.0144122,0.0221081,0.0434872,0.0167585,0.0335578,0.0160562,0.0190056,0.0187596,0.0143782,0.0185939,0.0226715,0.0168794,0.0605385,0.0274902,0.0229922,0.025266,0.0122704,0,0,0,0
1832,0.00451237,0,0,0,0.0228869,0,0,0,0,0,0,0.0329076,0.0346637,0.0467339,0.0302029,0,0,0.0715613,0,0.0457438,0.0477272,0.0312842,0.0520172,0.013233,0.0137771,0.0356936,0.0154171,0.011597,0.0105262,0.00927961,0.0413443,0.0158226,0.0210957,0.0266073,0.022123,0.0495654,0.0506796,0.0269874,0.0368532,0.0198365,0.0332686,0.0236762,0,0.0186794,0,0,0.0732864,0,0.0366254,0.0374276,0.0465858,0.0386196,0.0202887,0.0142931,0.0217708,0.0437963,0.0170042,0.0327757,0.015756,0.0198345,0.0185019,0.0147584,0.0183511,0.0223705,0.0161222,0.0605358,0.0275113,0.0228837,0.0256328,0.0126639,0,0,0,0
1833,0.0045539,0,0,0,0.0233543,0,0,0,0,0,0,0.0333534,0.0346472,0.0471572,0.0301819,0,0,0.0714909,0,0.0457697,0.0477014,0.0312416,0.0530106,0.0132085,0.0140119,0.0361346,0.0156918,0.0116499,0.0106899,0.00917451,0.0414149,0.0156377,0.0210113,0.026567,0.0223871,0.0506386,0.0506211,0.0269942,0.0368029,0.0195362,0.0332954,0.0236332,0,0.0189583,0,0,0.0732596,0,0.0366609,0.0374011,0.0465204,0.0378102,0.0206964,0.0142877,0.0214622,0.0440714,0.0173229,0.0318781,0.0153732,0.0205437,0.0182495,0.0149923,0.0183344,0.0221132,0.0152382,0.0605475,0.0274869,0.0227725,0.0260098,0.013064,0,0,0,0
1834,0.00466345,0,0,0,0.0238675,0,0,0,0,0,0,0.0338399,0.0346273,0.0475991,0.0299909,0,0,0.0714238,0,0.0457939,0.0476679,0.0312954,0.0540054,0.013255,0.0142214,0.0365148,0.0159639,0.011846,0.0108053,0.0090545,0.0414931,0.0154667,0.0209656,0.0265242,0.0226854,0.0516989,0.0505225,0.0270322,0.0367454,0.019013,0.0333444,0.0225357,0,0.0192579,0,0,0.07321,0,0.036713,0.0371726,0.0464245,0.0370896,0.0210509,0.0140846,0.021153,0.0442962,0.0177202,0.0310177,0.0150505,0.0208433,0.0179047,0.0152444,0.0183254,0.0218181,0.015267,0.0606528,0.0276043,0.0226915,0.026382,0.0134433,0,0,0,0
1835,0.0048182,0,0,0,0.0243422,0,0,0,0,0,0,0.0342721,0.034645,0.0479919,0.0295866,0,0,0.0714155,0,0.0458401,0.0476525,0.0314281,0.0549776,0.01341,0.0143408,0.0367781,0.0162307,0.011763,0.0108388,0.0096118,0.0415496,0.0153521,0.0210408,0.0265317,0.0230254,0.0527175,0.0504414,0.0270984,0.0366694,0.018624,0.0334241,0.0215109,0,0.0195417,0,0,0.0732248,0,0.0367926,0.0369615,0.0462507,0.037125,0.0212574,0.013973,0.020763,0.0444247,0.0180885,0.0302427,0.0148133,0.020736,0.0175641,0.0157567,0.0180675,0.0215085,0.0164845,0.0606192,0.0277689,0.02262,0.0266745,0.0138057,0,0,0,0
1836,0.00504358,0,0,0,0.0248061,0,0,0,0,0,0,0.0348858,0.0346967,0.0484456,0.0289811,0,0,0.0714487,0,0.0459179,0.0476792,0.0316601,0.0558469,0.013606,0.0144214,0.0368435,0.0165357,0.011535,0.0107889,0.010001,0.0415524,0.0153031,0.0211984,0.0265931,0.0233175,0.0536722,0.0504452,0.0271774,0.0365456,0.0183523,0.033521,0.0213893,0,0.0197628,0,0,0.0731187,0,0.0368822,0.0370076,0.0459554,0.0375054,0.0213932,0.0139947,0.0203036,0.044504,0.0184387,0.0294003,0.014613,0.0204376,0.017345,0.0164696,0.0176963,0.0213431,0.0180388,0.0605742,0.0278257,0.0225575,0.0268778,0.0140936,0,0,0,0
1837,0.0054333,0,0,0,0.0250191,0,0,0,0,0,0,0.0354972,0.0347686,0.048754,0.0273298,0,0,0.0714498,0,0.045982,0.0476954,0.0319116,0.0565127,0.0141715,0.014441,0.0356883,0.0167508,0.0111219,0.0107093,0.00982678,0.041581,0.0152874,0.021369,0.0266532,0.0235113,0.0542451,0.0504531,0.0272478,0.0365185,0.0184624,0.0335707,0.0212544,0.0358057,0.0198437,0,0,0.0727704,0,0.0369182,0.0368094,0.0457343,0.0371869,0.0214123,0.0135427,0.0192418,0.0441915,0.018562,0.0285565,0.0143279,0.0199071,0.0169653,0.017076,0.0173164,0.0210717,0.0188191,0.0602378,0.0278843,0.022435,0.026708,0.0141195,0,0,0,0
1838,0.00586629,0,0,0,0.0253939,0,0,0,0,0,0,0.0362363,0.0347661,0.0491267,0.0263762,0,0,0.0714519,0,0.0460632,0.0476304,0.0323796,0.057346,0.0143898,0.0146366,0.0353215,0.0169063,0.0107312,0.0104226,0.00948437,0.0415632,0.0152815,0.0215605,0.0267049,0.0237522,0.054992,0.0505035,0.0273157,0.036414,0.0184513,0.0336352,0.0214775,0.0345805,0.0200602,0,0,0.0726715,0,0.0369669,0.036723,0.0453195,0.0374951,0.0215216,0.0135612,0.0186704,0.0441462,0.0188819,0.0278241,0.0143478,0.0198404,0.0167127,0.0178689,0.0169079,0.021103,0.0195787,0.0600967,0.0280624,0.0223212,0.0267395,0.0142295,0,0,0,0
1839,0.00628116,0,0,0,0.0257465,0,0,0,0,0,0,0.0369893,0.0348043,0.0495525,0.0255231,0,0,0.0715317,0,0.0461764,0.0475551,0.0329333,0.0582574,0.0145532,0.0148364,0.0349602,0.0170123,0.010421,0.00991731,0.00956118,0.0415177,0.0153171,0.0218068,0.0267522,0.0239931,0.0557294,0.0506664,0.0274223,0.036333,0.0190243,0.033667,0.0222253,0.0331819,0.0202479,0,0,0.0724653,0,0.0370099,0.0368757,0.0448886,0.0379059,0.0215706,0.0137367,0.0181629,0.0440666,0.0191286,0.027278,0.0144695,0.0199473,0.0167162,0.0187604,0.0164422,0.0211519,0.0207273,0.0598825,0.0283099,0.0221796,0.0267603,0.0142475,0,0,0,0
