Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,IMUR_M,RFIN,L5FT
9,0.0563775,0,0,0,0,0.0626468,0,0,0,0,0,0.0500889,0.024164,0.0430934,0,0,0.0771548,0,0.0546131,0.0373293,0.0444305,0.0201733,0.0149085,0.0144772,0.0457122,0.0670575,0.0154219,0.0118545,0.0150259,0.0584174,0.0110652,0.0131794,0.00884392,0.0249912,0.0489301,0.0624364,0.0218905,0.0169937,0.0284469,0.016269,0.0196526,0.200449,0.0566889,0,0,0.0749179,0,0.0581631,0.0693657,0.0437424,0.0197984,0.0109706,0.0332907,0.0797198,0.0149304,0.0300176,0.0108687,0.00741584,0.019987,0.0144119,0.0194459,0.0277008,0.038356,0.0557274,0.0870211,0.0273803,0.0580009,0.0396584,0,0,0,0,0,0,0
10,0.0464604,0,0,0,0,0.0192755,0,0,0,0,0,0.0392688,0.0214832,0.0397244,0,0,0.0845495,0,0.0463289,0.0549886,0.0445165,0.017778,0.00444354,0.0166296,0.0332165,0.0579125,0.0158201,0.0115815,0.0165677,0.0588319,0.0111067,0.0116691,0.00804574,0.0246744,0.0393117,0.0675323,0.0315459,0.0402849,0.0293969,0.0172658,0.0205063,0.204584,0.0553651,0,0,0.0693115,0,0.0554982,0.0656438,0.0448512,0.0306366,0.00930217,0.0333361,0.0492872,0.0124581,0.0316395,0.0106348,0.00698135,0.020293,0.0143231,0.0201161,0.0274462,0.0392167,0.0534328,0.0891383,0.0242498,0.0293205,0.0456547,0,0,0,0,0,0,0
11,0.0671045,0,0,0,0,0.0290278,0,0,0,0,0,0.0377756,0.0221951,0.0397025,0,0,0.0913586,0,0.0474347,0.058657,0.0436709,0.018493,0.00430929,0.0159055,0.030705,0.0693923,0.0152008,0.0116057,0.0155763,0.0580594,0.0110454,0.0120962,0.00819059,0.0248725,0.0426605,0.0754965,0.0316428,0.0427568,0.029592,0.0143899,0.018879,0.203275,0.0952046,0,0,0.0684335,0,0.0551544,0.0664314,0.0405569,0.0284564,0.00795874,0.0262516,0.0917068,0.012254,0.0321712,0.0111266,0.00693962,0.0185627,0.0149073,0.0187467,0.0241266,0.0374581,0.0596123,0.0899905,0.0239909,0.0424481,0.0695649,0,0,0,0,0,0,0
12,0.0675187,0,0,0,0,0.0292601,0,0,0,0,0,0.0378002,0.0221654,0.0393498,0,0,0.0916694,0,0.047355,0.0588695,0.0436551,0.0182638,0.00458534,0.0160512,0.0306547,0.0694405,0.0153246,0.0116868,0.0157461,0.0580774,0.0110337,0.0121548,0.00819463,0.0248341,0.0426886,0.0756589,0.0316426,0.0428711,0.029677,0.0142435,0.0180909,0.203694,0.0955602,0,0,0.0680266,0,0.0549657,0.0659289,0.0376017,0.0287567,0.00680444,0.0264278,0.0920483,0.0121424,0.0327397,0.0113967,0.00690697,0.0174576,0.0155572,0.017864,0.0214945,0.0360031,0.0592344,0.0898011,0.023949,0.0426619,0.0699307,0,0,0,0,0,0,0
13,0.0678467,0,0,0,0,0.0294532,0,0,0,0,0,0.0378249,0.0221882,0.0390973,0,0,0.0919845,0,0.0472827,0.0590182,0.0436738,0.0180312,0.00479556,0.0161006,0.0306208,0.0693278,0.015473,0.0118014,0.0159285,0.0580984,0.0109891,0.0123128,0.00820504,0.0248053,0.042973,0.0757865,0.0316273,0.0429872,0.0294122,0.0141251,0.0175442,0.204135,0.0957765,0,0,0.0676963,0,0.0550109,0.0653039,0.0347149,0.0289808,0.00562043,0.0264117,0.0922075,0.0121578,0.0331895,0.0116009,0.00691682,0.0162532,0.0161622,0.016926,0.0190796,0.0343125,0.0589446,0.089622,0.0238301,0.042752,0.0701887,0,0,0,0,0,0,0
14,0.0540715,0,0,0,0,0.0598389,0,0,0,0,0,0.0500898,0.0241296,0.0418253,0,0,0.0729533,0,0.0548796,0.0350704,0.0448234,0.0191086,0.0159718,0.0157083,0.0462387,0.0612834,0.0161414,0.0127221,0.0159796,0.0587196,0.0110762,0.0132257,0.00870667,0.0246952,0.0488127,0.057164,0.0224702,0.0160031,0.0284455,0.0159188,0.0158882,0.202414,0.0547291,0,0,0.071863,0,0.0567827,0.066472,0.0290883,0.0212216,0.00565625,0.0337931,0.0749614,0.0145919,0.0333178,0.0130872,0.00725056,0.0135661,0.0178484,0.0143048,0.0150929,0.0310022,0.052061,0.085887,0.0269734,0.0559848,0.0388631,0,0,0,0,0,0,0
15,0.0537598,0,0,0,0,0.0599055,0,0,0,0,0,0.0500401,0.0241931,0.0420688,0,0,0.0727946,0,0.0549237,0.0350201,0.0448191,0.0189219,0.0162892,0.0157629,0.0466235,0.0605297,0.0160922,0.0128613,0.016106,0.0587146,0.0110572,0.013547,0.00875481,0.0246609,0.049275,0.0570064,0.0224906,0.0160373,0.0270264,0.0158491,0.016139,0.202839,0.0547383,0,0,0.0714419,0,0.0564873,0.0657175,0.0272716,0.0215127,0.00450707,0.0340072,0.0750639,0.0147254,0.0338373,0.013371,0.00750941,0.0128045,0.0187186,0.0133311,0.0130153,0.0277063,0.0516916,0.0857295,0.026937,0.0561629,0.0388642,0,0,0,0,0,0,0
16,0.0534526,0,0,0,0,0.0599592,0,0,0,0,0,0.049974,0.0242785,0.0422039,0,0,0.072681,0,0.0549512,0.0349557,0.0447545,0.0186946,0.0165636,0.0156554,0.0470832,0.0598625,0.0160687,0.0129779,0.0161517,0.0586957,0.0109569,0.0137252,0.00878295,0.0246352,0.0500373,0.0569586,0.0225011,0.0160795,0.0252207,0.015805,0.016678,0.203287,0.0547349,0,0,0.0710679,0,0.0562486,0.0649373,0.0262177,0.0217586,0.003488,0.0342975,0.075098,0.0148601,0.034329,0.0136292,0.00787613,0.0118453,0.0197145,0.0123874,0.0112089,0.0239141,0.0513526,0.0855305,0.0270243,0.0563468,0.038873,0,0,0,0,0,0,0
17,0.0530967,0,0,0,0,0.0599632,0,0,0,0,0,0.0500549,0.0243917,0.0422708,0,0,0.0725667,0,0.055001,0.0348464,0.0446436,0.0184225,0.0168084,0.015444,0.0476034,0.0592728,0.0160228,0.0130694,0.0161455,0.0586284,0.0107606,0.0137008,0.00876057,0.0246158,0.0509786,0.056954,0.022557,0.0160784,0.0231498,0.0157675,0.0173547,0.203711,0.0546635,0,0,0.0708118,0,0.0560946,0.0641492,0.0258705,0.0219686,0.00272937,0.0346106,0.0750364,0.0149724,0.0347427,0.0138795,0.00827185,0.010686,0.0207611,0.0114168,0.00964547,0.0201847,0.051144,0.0852661,0.0271016,0.0564859,0.0388049,0,0,0,0,0,0,0
18,0.0526307,0,0,0,0,0.0598611,0,0,0,0,0,0.0501527,0.0244618,0.0424174,0,0,0.0725185,0,0.0550548,0.0347853,0.0445372,0.0180891,0.0170153,0.0152152,0.0481443,0.0587765,0.015875,0.0131335,0.0160709,0.0585101,0.0105028,0.0136184,0.0087162,0.0246134,0.0519115,0.0570454,0.0226022,0.016081,0.0208959,0.0157475,0.0179899,0.204096,0.0544259,0,0,0.0706789,0,0.0560878,0.0633623,0.0262835,0.0221189,0.00241452,0.0348962,0.0748664,0.0150743,0.0350555,0.0140148,0.00848766,0.00957547,0.0217889,0.0105928,0.00842099,0.0166849,0.0508329,0.0849987,0.027152,0.0564967,0.0386298,0,0,0,0,0,0,0
