Coordinates
version=1
nRows=870
nColumns=38
inDegrees=no

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
60.13	2.88866	1.37289	-1.24299	0.636422	0.289022	0.948514	-0.0639198	0.0160869	-0.128404	0.267656	-0.450351	0	0	-0.18679	-0.10114	-0.122279	0	-0.583696	0	0	-0.34995	0.0936577	0.0404999	0.764371	-0.718641	0.531464	1.1421	0.343233	0	0	1.04034	-0.571603	0.999213	1.01969	0.167809	0	0
60.14	2.8894	1.37279	-1.24239	0.6364	0.289019	0.94848	-0.0631078	0.0161143	-0.128663	0.26966	-0.44977	0	0	-0.186265	-0.101374	-0.121403	0	-0.583648	0	0	-0.351006	0.0930534	0.0392422	0.764817	-0.718004	0.530345	1.14204	0.34406	0	0	1.0422	-0.571898	0.999466	1.01987	0.168962	0	0
60.15	2.88929	1.37294	-1.24115	0.636364	0.289073	0.948446	-0.0619208	0.0162006	-0.128844	0.271758	-0.449371	0	0	-0.185673	-0.101574	-0.120661	0	-0.583566	0	0	-0.351592	0.0924535	0.0379272	0.765364	-0.716882	0.529236	1.14142	0.345612	0	0	1.0436	-0.572143	0.999355	1.01987	0.170542	0	0
60.16	2.88835	1.3734	-1.23951	0.636342	0.289153	0.948439	-0.0603209	0.0162932	-0.12907	0.273924	-0.44905	0	0	-0.184909	-0.1017	-0.120039	0	-0.583398	0	0	-0.351929	0.0919899	0.0368582	0.765793	-0.715515	0.527868	1.14086	0.34784	0	0	1.04439	-0.572382	0.998337	1.01984	0.172455	0	0
60.17	2.88737	1.37385	-1.23815	0.636353	0.289243	0.948456	-0.0589377	0.0163972	-0.129519	0.275702	-0.448723	0	0	-0.184361	-0.101803	-0.119361	0	-0.583115	0	0	-0.352455	0.0913867	0.0360713	0.766042	-0.714107	0.526247	1.1405	0.350551	0	0	1.04494	-0.572549	0.996594	1.01978	0.174718	0	0
60.18	2.88568	1.37378	-1.23648	0.636409	0.289339	0.9485	-0.0582993	0.0168434	-0.130134	0.277068	-0.44841	0	0	-0.184501	-0.102224	-0.119183	0	-0.582698	0	0	-0.35331	0.090907	0.035808	0.766344	-0.712569	0.524647	1.13963	0.353361	0	0	1.04558	-0.572036	0.994861	1.01854	0.177633	0	0
60.19	2.8839	1.37378	-1.23494	0.636456	0.289476	0.948519	-0.0579255	0.0172783	-0.130859	0.277741	-0.448109	0	0	-0.184739	-0.102553	-0.119191	0	-0.58224	0	0	-0.353876	0.0903477	0.0358949	0.766694	-0.711574	0.523773	1.13884	0.355263	0	0	1.04621	-0.571265	0.993674	1.01699	0.180174	0	0
60.2	2.88195	1.37441	-1.23332	0.636503	0.289669	0.948499	-0.0569965	0.01747	-0.131557	0.27827	-0.447642	0	0	-0.184342	-0.102629	-0.119278	0	-0.58163	0	0	-0.353807	0.0896963	0.0360761	0.766798	-0.71097	0.523024	1.1386	0.356978	0	0	1.04648	-0.570719	0.992415	1.01595	0.182499	0	0
60.21	2.87963	1.37542	-1.23147	0.636579	0.28984	0.948448	-0.055397	0.0175436	-0.131872	0.279148	-0.44685	0	0	-0.183404	-0.102611	-0.119373	0	-0.580704	0	0	-0.3534	0.0889576	0.0363366	0.766885	-0.710429	0.522397	1.13859	0.359112	0	0	1.04665	-0.570388	0.991219	1.0153	0.184908	0	0
60.22	2.87699	1.37655	-1.22941	0.636647	0.289962	0.94838	-0.0533138	0.0174807	-0.132031	0.280592	-0.445666	0	0	-0.182204	-0.102562	-0.119356	0	-0.579393	0	0	-0.352893	0.0883794	0.0365537	0.767083	-0.709746	0.521709	1.13869	0.362028	0	0	1.04663	-0.570229	0.989909	1.0147	0.187255	0	0
60.23	2.87347	1.37751	-1.2266	0.636726	0.290049	0.948331	-0.0513121	0.0176431	-0.132126	0.281951	-0.444144	0	0	-0.181074	-0.102764	-0.119447	0	-0.577652	0	0	-0.352517	0.0879819	0.0368345	0.767352	-0.708816	0.520881	1.13857	0.366142	0	0	1.04645	-0.570201	0.988503	1.01401	0.19004	0	0
60.24	2.87178	1.37668	-1.22597	0.636818	0.290069	0.948382	-0.0513861	0.0179987	-0.132464	0.282809	-0.449911	0	0	-0.182061	-0.103251	-0.121049	0	-0.582393	0	0	-0.354095	0.0875987	0.0380406	0.77053	-0.711049	0.526346	1.13898	0.349245	0	0	1.04961	-0.570345	0.993488	1.01339	0.179869	0	0
60.25	2.8679	1.37752	-1.22317	0.636937	0.290176	0.948347	-0.0497913	0.0182385	-0.132588	0.283604	-0.448992	0	0	-0.18127	-0.103611	-0.121394	0	-0.581355	0	0	-0.353962	0.0871613	0.0385119	0.770834	-0.710018	0.525306	1.13902	0.354483	0	0	1.04907	-0.57084	0.991874	1.01344	0.1823	0	0
60.26	2.86718	1.37748	-1.22366	0.637092	0.290256	0.948328	-0.0490959	0.0180846	-0.133178	0.284815	-0.449525	0	0	-0.181634	-0.103687	-0.121934	0	-0.581655	0	0	-0.354938	0.0864239	0.0392636	0.771682	-0.709622	0.524974	1.13944	0.352867	0	0	1.04939	-0.571355	0.991442	1.01354	0.181293	0	0
60.27	2.86794	1.37716	-1.22572	0.637263	0.290342	0.948315	-0.0486004	0.0177729	-0.133833	0.286417	-0.449688	0	0	-0.182402	-0.103539	-0.122505	0	-0.58169	0	0	-0.356139	0.0854643	0.0401511	0.772273	-0.709105	0.524128	1.13971	0.351565	0	0	1.04981	-0.571745	0.991243	1.0135	0.18074	0	0
60.28	2.86892	1.37689	-1.22787	0.637439	0.290435	0.948289	-0.0479216	0.0175053	-0.134329	0.288249	-0.449598	0	0	-0.183049	-0.103352	-0.122652	0	-0.581495	0	0	-0.357261	0.0844738	0.0409102	0.772739	-0.708688	0.523822	1.14026	0.351285	0	0	1.0502	-0.572282	0.991383	1.01355	0.180679	0	0
60.29	2.86942	1.37665	-1.22949	0.637605	0.290506	0.94824	-0.0469318	0.0173642	-0.134313	0.290427	-0.449374	0	0	-0.183502	-0.103217	-0.122422	0	-0.581157	0	0	-0.358363	0.0836006	0.0416276	0.773259	-0.70834	0.523451	1.14071	0.351062	0	0	1.05045	-0.572916	0.991514	1.01375	0.180721	0	0
60.3	2.86943	1.37623	-1.2305	0.637741	0.290515	0.948176	-0.0458762	0.0173625	-0.133927	0.293028	-0.449006	0	0	-0.183868	-0.10324	-0.121849	0	-0.580694	0	0	-0.359649	0.0829532	0.0422975	0.774069	-0.707921	0.523012	1.14068	0.350512	0	0	1.0508	-0.573321	0.991753	1.01361	0.180429	0	0
60.31	2.8678	1.37704	-1.2297	0.637857	0.290537	0.948037	-0.0426486	0.0170482	-0.134024	0.298014	-0.443917	0	0	-0.182683	-0.103209	-0.120498	0	-0.577508	0	0	-0.359901	0.0823432	0.0426729	0.774043	-0.707407	0.521941	1.14161	0.353387	0	0	1.05034	-0.574172	0.990799	1.01459	0.180054	0	0
60.32	2.86597	1.37759	-1.22826	0.637934	0.290552	0.947958	-0.0407096	0.0170392	-0.13378	0.300373	-0.443091	0	0	-0.181632	-0.103438	-0.119067	0	-0.576837	0	0	-0.360509	0.0819856	0.0428172	0.774296	-0.707419	0.521833	1.14255	0.35425	0	0	1.05014	-0.574715	0.990118	1.01528	0.180379	0	0
60.33	2.86518	1.37778	-1.22748	0.638006	0.290499	0.947898	-0.0389653	0.0169308	-0.134262	0.303202	-0.441762	0	0	-0.180647	-0.103683	-0.117538	0	-0.575876	0	0	-0.361531	0.0815947	0.0425892	0.77492	-0.706991	0.521692	1.14266	0.354584	0	0	1.05022	-0.575148	0.989743	1.01557	0.181025	0	0
