Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71
All Timesteps RMSE,0,0,0,0,0.0144047,0.00593146,0,0,0.0341759,0.0229518,0.0184539,0.00631166,0,0,0.0121111,0,0.0220316,0.0072604,0.0427055,0.0239669,0.0156824,0.0220453,0.00679826,0.019792,0.0127349,0.0194091,0.0204139,0.0591418,0.0179214,0.0188719,0.0123975,0.026337,0.0425627,0.0119007,0.0182987,0.00545659,0.0203409,0.0265944,0.01231,0.00454075,0.0142569,0,0,0.00928195,0,0.0148611,0.00821206,0.0610073,0.0141557,0.0140669,0.021135,0.00524309,0.0205425,0.0146525,0.062097,0.0164045,0.0237667,0.0150518,0.0124283,0.0072605,0.0150321,0.0215646,0.0119576,0.0119382,0.00716851,0.00588902,0.0142323,0,0,0,0,0
0,0,0,0,0,0.0197361,0.00818273,0,0,0.00657896,0.0248226,0.0117113,0.00233341,0,0,0.0141942,0,0.0235045,0.0121196,0.0435235,0.0171509,0.0157197,0.0193952,0.00577526,0.018841,0.0160046,0.0224715,0.0134195,0.0592923,0.010916,0.011482,0.00694322,0.0213838,0.0082381,0.00897867,0.0160552,0.00418596,0.00570835,0.0262831,0.0108271,0.00141434,0.0193771,0,0,0.0219645,0,0.0140986,0.00699977,0.0617925,0.0142084,0.0136739,0.00384304,0.00523685,0.0176915,0.00170789,0.062718,0.00471513,0.00503494,0.0061586,0.00417455,0.00779335,0.00897052,0.00589212,0.0175622,0.0121204,0.00391049,0.0059852,0.0205529,0,0,0,0,0
1,0,0,0,0,0.0187393,0.00729861,0,0,0.00740351,0.0255074,0.0119616,0.00287112,0,0,0.0145567,0,0.0237021,0.0124253,0.0432297,0.0173832,0.0156857,0.0199284,0.00542779,0.0180114,0.0162193,0.0226455,0.0144244,0.0600774,0.0106422,0.0108555,0.00649533,0.020873,0.00809216,0.00869404,0.0161866,0.00454475,0.00695065,0.0262807,0.0113383,0.00149174,0.018823,0,0,0.0218131,0,0.0138219,0.00698183,0.0625632,0.0149323,0.0137339,0.00366206,0.00504895,0.0185755,0.00156413,0.0628063,0.00442479,0.00429582,0.00546452,0.00448981,0.00742952,0.00817539,0.00724408,0.0170971,0.0125048,0.00412791,0.00574805,0.0199736,0,0,0,0,0
2,0,0,0,0,0.0177595,0.00646541,0,0,0.00836832,0.026178,0.0122504,0.00294057,0,0,0.0149832,0,0.0239875,0.0128841,0.0428709,0.0176371,0.0157742,0.0206442,0.00516121,0.017159,0.0164829,0.0229586,0.0155448,0.0607627,0.0103005,0.0102249,0.00601615,0.0204664,0.00833195,0.00850417,0.0163424,0.00498387,0.00737656,0.0262286,0.0112115,0.00147416,0.0182648,0,0,0.0214652,0,0.0136333,0.00685724,0.0625832,0.0145571,0.0136386,0.00381995,0.00484252,0.0193987,0.00161095,0.0628473,0.00460194,0.00350484,0.00479663,0.00465454,0.0069696,0.00720162,0.00752932,0.0165221,0.012756,0.00440581,0.00559284,0.0193447,0,0,0,0,0
3,0,0,0,0,0.016794,0.00570526,0,0,0.00936549,0.0267923,0.0126068,0.00303405,0,0,0.0154972,0,0.0242446,0.0133296,0.0425171,0.0177959,0.0158556,0.0215259,0.00496233,0.0163161,0.0167236,0.0233767,0.0162314,0.0614644,0.0100023,0.00958262,0.00551991,0.0201053,0.00879766,0.00855962,0.0164745,0.00543117,0.00820451,0.0261696,0.0111435,0.00157072,0.0176906,0,0,0.0209542,0,0.0133812,0.00659808,0.0626117,0.0142066,0.0135212,0.00399671,0.0046826,0.0200506,0.00130482,0.06289,0.00468393,0.00283106,0.00409553,0.00484068,0.00651698,0.00618194,0.0082897,0.0158355,0.0129566,0.00473437,0.00550692,0.0187239,0,0,0,0,0
4,0,0,0,0,0.015857,0.00509145,0,0,0.0103822,0.0272407,0.012937,0.00329729,0,0,0.0159825,0,0.0244184,0.0136519,0.0421797,0.0178243,0.0159303,0.0225904,0.00477681,0.015449,0.016939,0.0239139,0.017068,0.0621137,0.00982525,0.00909341,0.00506229,0.0197765,0.00939321,0.00874837,0.0166168,0.00578098,0.00884626,0.0262932,0.0110859,0.0017206,0.0170391,0,0,0.0203832,0,0.0128527,0.00632686,0.0630052,0.0140195,0.0135866,0.00448945,0.0044687,0.0205659,0.00136594,0.0630674,0.00507185,0.00203956,0.00350483,0.00502529,0.00612054,0.00526852,0.00871383,0.0151411,0.0130506,0.005034,0.00545101,0.0180828,0,0,0,0,0
5,0,0,0,0,0.0148662,0.00444688,0,0,0.0112973,0.0275959,0.0132966,0.00375413,0,0,0.0160364,0,0.0245138,0.013608,0.0418635,0.0178603,0.0159944,0.0238506,0.00461685,0.014647,0.0172842,0.0246859,0.0181921,0.0626863,0.00976053,0.00873064,0.004694,0.0194621,0.0101369,0.00884205,0.0167367,0.00598326,0.0096269,0.0264897,0.0111267,0.00187166,0.0163448,0,0,0.0197773,0,0.0122446,0.0061307,0.0631886,0.0138816,0.0135958,0.00502775,0.00415572,0.0211894,0.00175662,0.0630395,0.00556425,0.00146621,0.00290332,0.00511097,0.0056039,0.00428006,0.009405,0.0143998,0.0130987,0.00519898,0.0053652,0.0174046,0,0,0,0,0
6,0,0,0,0,0.0137877,0.00377658,0,0,0.0124594,0.0278143,0.0137669,0.00412901,0,0,0.0156587,0,0.0245936,0.0132518,0.0415719,0.0182262,0.0160559,0.0250562,0.00447449,0.0137792,0.0176752,0.0254733,0.0192696,0.0632691,0.00964958,0.00831463,0.00437755,0.0192075,0.0113055,0.00876324,0.0169004,0.00606788,0.00978545,0.0266441,0.0109575,0.00203199,0.0156369,0,0,0.0191641,0,0.0117262,0.00587584,0.0634725,0.0136441,0.0136091,0.00595852,0.00384442,0.021802,0.00195916,0.0631347,0.00631581,0.00134527,0.00262264,0.00518758,0.0049597,0.00333479,0.00956646,0.0136191,0.0131354,0.00537915,0.00521693,0.0166414,0,0,0,0,0
7,0,0,0,0,0.0126783,0.00317234,0,0,0.0137165,0.0279177,0.0141768,0.00451324,0,0,0.0152122,0,0.0246493,0.0128292,0.0413266,0.0184723,0.0160982,0.0262086,0.00432918,0.0127325,0.0180421,0.026189,0.0201718,0.0637732,0.00953258,0.00789302,0.00404725,0.0189981,0.0126046,0.00846144,0.0170646,0.00608809,0.0105164,0.0266985,0.011639,0.00232485,0.0148681,0,0,0.0185403,0,0.01131,0.0056431,0.0647537,0.0145674,0.0138785,0.00694502,0.00358571,0.0222891,0.00243563,0.0634877,0.00717632,0.00196147,0.00243139,0.00593822,0.00472896,0.00293698,0.0103201,0.0127964,0.0131856,0.00567549,0.00506156,0.0157345,0,0,0,0,0
8,0,0,0,0,0.0116524,0.00269911,0,0,0.0148586,0.027971,0.014779,0.00504173,0,0,0.0149,0,0.0246818,0.0124555,0.0409706,0.018728,0.0161934,0.0273745,0.00438472,0.0115717,0.0185095,0.026908,0.0210664,0.0642206,0.00951355,0.00745885,0.00379963,0.0188119,0.0137878,0.00831932,0.0171975,0.00607317,0.0110216,0.0266867,0.0119055,0.00258666,0.014122,0,0,0.0179255,0,0.0109521,0.00546275,0.0650395,0.0148466,0.0139139,0.00776304,0.00351569,0.022767,0.00299908,0.0636109,0.0078579,0.00278928,0.00252057,0.00651783,0.00449183,0.00238523,0.0107477,0.0120487,0.0132384,0.00602533,0.00494966,0.0147678,0,0,0,0,0
