Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71
9,0,0,0,0,0.0075025,0.00256161,0,0,0.0225889,0.0242488,0.0210827,0.00906444,0,0,0.0212728,0,0.0238668,0.0141338,0.0388154,0.0245166,0.016512,0.0388005,0.00734956,0.0128303,0.0244832,0.0333821,0.0337617,0.0680063,0.0143789,0.00852869,0.00750168,0.0192856,0.0214823,0.018328,0.0161981,0.00603732,0.0107413,0.021291,0.0123594,0.00478787,0.00982261,0,0,0.0146778,0,0.0122962,0.006557,0.0639786,0.0169164,0.0130641,0.0151675,0.00596465,0.025948,0.00818367,0.0641811,0.0126483,0.0118553,0.00846056,0.0100534,0.00149467,0.00539236,0.010376,0.00773566,0.0159106,0.00812085,0.00411853,0.00796395,0,0,0,0,0
10,0,0,0,0,0.00758855,0.00267884,0,0,0.0233377,0.0239835,0.0213023,0.0092126,0,0,0.0210537,0,0.0236604,0.0137104,0.0388024,0.0246162,0.016338,0.0385174,0.00714459,0.01343,0.0239746,0.0325824,0.0335686,0.068181,0.0146792,0.00885413,0.00791821,0.0195559,0.0223578,0.0182395,0.0161819,0.00562916,0.0108533,0.0214708,0.012219,0.00482052,0.00957654,0,0,0.0145248,0,0.0124773,0.00699768,0.0638172,0.0166971,0.0131285,0.0157666,0.00583851,0.0256185,0.00867952,0.0641971,0.0129751,0.0126766,0.00826596,0.0105054,0.00107287,0.00612269,0.0104714,0.00713961,0.0161216,0.00862393,0.00386983,0.0078542,0,0,0,0,0
11,0,0,0,0,0.00763521,0.00273431,0,0,0.0240071,0.0236459,0.0214748,0.00953417,0,0,0.020903,0,0.0234024,0.0133485,0.0388093,0.0248633,0.0162053,0.0382665,0.00700194,0.0140718,0.0234658,0.0319261,0.0333186,0.0681876,0.0150093,0.00924773,0.00843121,0.0199342,0.0231894,0.0183196,0.0161439,0.00522216,0.0109873,0.0218396,0.0121504,0.00484083,0.00929271,0,0,0.0143147,0,0.0124918,0.00736209,0.0636609,0.0167137,0.0131346,0.0162694,0.00574601,0.0250753,0.00893671,0.0642169,0.0133167,0.0134905,0.00854682,0.0109207,0.000745985,0.00676492,0.0107537,0.00664346,0.0161032,0.0088585,0.0036157,0.00773777,0,0,0,0,0
12,0,0,0,0,0.0076686,0.00265313,0,0,0.0246513,0.0232965,0.0216747,0.00963015,0,0,0.0208994,0,0.0231272,0.0131101,0.0387858,0.025108,0.0161269,0.0381253,0.00693302,0.0147869,0.0230372,0.0314545,0.0330195,0.068036,0.0153516,0.00959489,0.00891211,0.0204122,0.0239491,0.0185362,0.0161117,0.00489456,0.0111837,0.0225472,0.0121097,0.00482981,0.00889899,0,0,0.0138569,0,0.0121927,0.00754327,0.063477,0.0166956,0.0131047,0.0167903,0.00565489,0.0242205,0.00910842,0.0642778,0.0136801,0.0142426,0.00914025,0.0112856,0.000658441,0.00744318,0.0110571,0.00622608,0.015919,0.00876926,0.0034026,0.0074973,0,0,0,0,0
13,0,0,0,0,0.00766192,0.00264182,0,0,0.0252935,0.02297,0.0219241,0.0094618,0,0,0.0210834,0,0.0228429,0.0129528,0.0387394,0.0253541,0.0160864,0.0379646,0.00690138,0.0157212,0.022651,0.031094,0.0326954,0.0678501,0.0157202,0.01001,0.00930119,0.0209717,0.024622,0.0186548,0.016123,0.00468689,0.0114096,0.023253,0.0121064,0.00480396,0.00866221,0,0,0.0134376,0,0.0120806,0.00761033,0.0632798,0.0166819,0.0130737,0.0172344,0.00556765,0.0235492,0.00939985,0.0643407,0.0140502,0.0149671,0.00995221,0.0116282,0.000838328,0.00806715,0.0112031,0.0058914,0.0156602,0.00854762,0.00319371,0.00724306,0,0,0,0,0
14,0,0,0,0,0.00781372,0.00265013,0,0,0.025862,0.0226816,0.0220556,0.00927998,0,0,0.0213113,0,0.0225373,0.0128409,0.0386548,0.0256054,0.0160759,0.0378047,0.00686843,0.0166866,0.0223382,0.0307945,0.0324736,0.0676376,0.0161408,0.0105209,0.0096754,0.0215442,0.0250853,0.0189001,0.0161624,0.00455258,0.0116353,0.0239223,0.0121139,0.00476641,0.00850571,0,0,0.0130545,0,0.0120867,0.00764966,0.0631228,0.0167506,0.0130564,0.0177201,0.00545098,0.0230612,0.00976829,0.064382,0.014452,0.0157337,0.0109188,0.0120002,0.00104242,0.00864134,0.0112179,0.00560611,0.0154503,0.0083269,0.00300374,0.00727516,0,0,0,0,0
15,0,0,0,0,0.00807092,0.00265383,0,0,0.0264273,0.022443,0.022023,0.00923642,0,0,0.0216215,0,0.0222669,0.0128196,0.0385794,0.0257816,0.0160665,0.0375939,0.00684095,0.0175341,0.0220427,0.0304875,0.0323711,0.067486,0.0165375,0.0110464,0.0100201,0.0220869,0.0254661,0.019258,0.0162018,0.00443002,0.0118164,0.0244301,0.0120969,0.00470468,0.00843997,0,0,0.0126222,0,0.0120846,0.00766671,0.0629567,0.0168324,0.0130514,0.0182621,0.00531006,0.0226379,0.0101269,0.064417,0.0148214,0.0164933,0.0116615,0.0123847,0.00143258,0.00945849,0.0110814,0.00539922,0.0151417,0.00820973,0.00278962,0.0075278,0,0,0,0,0
16,0,0,0,0,0.00816554,0.00263303,0,0,0.0268742,0.0222143,0.0219622,0.00912101,0,0,0.0219689,0,0.0220183,0.0128676,0.0384926,0.0256245,0.0161069,0.0373359,0.00675908,0.0183394,0.0217474,0.0301573,0.0323169,0.0673974,0.0169874,0.0116114,0.0103555,0.0225947,0.0260509,0.0196267,0.0162412,0.00439514,0.0117976,0.0249008,0.0121346,0.00460918,0.00839377,0,0,0.0122557,0,0.0121207,0.00773761,0.0627598,0.0168866,0.0130453,0.0188226,0.00520576,0.0225377,0.0104346,0.0643746,0.0151056,0.0171996,0.0122297,0.0127849,0.00179455,0.0100987,0.0110606,0.00523824,0.0150667,0.00807486,0.00265621,0.0078254,0,0,0,0,0
17,0,0,0,0,0.00839908,0.00274192,0,0,0.0271805,0.0220487,0.0218245,0.008808,0,0,0.0222023,0,0.0218234,0.0128546,0.0383368,0.0254172,0.0162069,0.0371338,0.00647883,0.0192843,0.0215182,0.0298174,0.0323513,0.067383,0.0174873,0.012204,0.010652,0.0230866,0.0264862,0.0199958,0.0163163,0.0043333,0.0119622,0.0253532,0.0122557,0.00457459,0.00847043,0,0,0.0118838,0,0.0120457,0.00788292,0.0625883,0.0170597,0.0130831,0.0192258,0.00511318,0.022676,0.0107487,0.0643001,0.0153438,0.0179031,0.012549,0.0132329,0.00211723,0.0105125,0.0110094,0.0051267,0.0151103,0.00807637,0.00251942,0.00817711,0,0,0,0,0
18,0,0,0,0,0.00854119,0.00278309,0,0,0.0277227,0.0219157,0.0219663,0.00874643,0,0,0.0222947,0,0.0217386,0.0127422,0.0382335,0.0255972,0.0162157,0.0366842,0.00633171,0.0200345,0.0211524,0.0293224,0.0322601,0.0673817,0.0178978,0.0127657,0.0111039,0.0235885,0.0271775,0.0202446,0.0163875,0.00425643,0.0120902,0.0257016,0.0122877,0.00460769,0.00850523,0,0,0.011599,0,0.0119905,0.00815318,0.0623946,0.0170717,0.0131099,0.0195084,0.00504222,0.0230216,0.0111069,0.0642451,0.015521,0.0186644,0.0126583,0.0137423,0.00244669,0.010896,0.01093,0.0051541,0.0153336,0.00821742,0.00246462,0.00833555,0,0,0,0,0
