Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0.0210668,0.00665559,0,0,0.0505624,0.0225985,0.0194369,0.008942,0,0,0.00936966,0,0.0215147,0.00806304,0.0420466,0.0199586,0.0179692,0.0202721,0.00868272,0.0251064,0.012843,0.0177542,0.0207664,0.0574373,0.0162549,0.0173913,0.0122426,0.026967,0.0631243,0.0090687,0.0186486,0.00436785,0.0210725,0.0250614,0.0170828,0.006248,0.0204383,0,0,0.032065,0,0.0160465,0.0207531,0.0612761,0.0268637,0.0136129,0.0216884,0.00610174,0.0455741,0.0151089,0.0596719,0.017547,0.0240594,0.0138535,0.0102091,0.00804965,0.0138893,0.0233897,0.0191172,0.0127663,0.00877062,0.00603526,0.0201064,0,0,0,0,0,0
0,0,0,0,0,0.0108839,0.00657126,0,0,0.0276993,0.0211563,0.0210698,0.00925147,0,0,0.0143627,0,0.0212221,0.00891976,0.0453313,0.0224476,0.0177334,0.0210671,0.00929053,0.0111756,0.0105214,0.0135676,0.0221571,0.049193,0.0153266,0.0133827,0.0121851,0.0260787,0.0311766,0.0131603,0.0195025,0.00315728,0.0418059,0.0180307,0.0171141,0.00203332,0.0120546,0,0,0.100986,0,0.0184222,0.0719398,0.0618685,0.0120907,0.0135279,0.0270482,0.0066018,0.11836,0.0183372,0.0554431,0.0238628,0.0292642,0.0186125,0.0109973,0.00813714,0.0205622,0.0465495,0.0404857,0.0387146,0.0233762,0.0052331,0.0112815,0,0,0,0,0,0
1,0,0,0,0,0.0106654,0.00620862,0,0,0.0274291,0.0212039,0.0211302,0.00932927,0,0,0.01417,0,0.0212576,0.00874021,0.045369,0.0223796,0.0177038,0.0210474,0.00930375,0.010914,0.0105744,0.0136291,0.022079,0.0491438,0.0154579,0.0135332,0.0123881,0.0260395,0.0308252,0.0129454,0.0194111,0.00311912,0.0418768,0.0183574,0.017566,0.00202477,0.0119683,0,0,0.100805,0,0.01814,0.0718632,0.0618545,0.0129486,0.0136283,0.0265637,0.00658916,0.118415,0.0180274,0.0553486,0.0234512,0.0286788,0.0181629,0.0110193,0.00798134,0.0199684,0.0465429,0.0409008,0.0385237,0.0233455,0.00501247,0.0112103,0,0,0,0,0,0
2,0,0,0,0,0.010631,0.00616163,0,0,0.027382,0.0211924,0.0211606,0.00936331,0,0,0.0141435,0,0.0212681,0.00872486,0.0453846,0.0223536,0.017659,0.0210306,0.00932559,0.0108904,0.0106009,0.0136516,0.022204,0.0491272,0.0154952,0.0135646,0.0124267,0.0260382,0.0307746,0.0128481,0.0194124,0.00310547,0.0418654,0.0183821,0.0175806,0.00200394,0.0119442,0,0,0.100767,0,0.0181337,0.0718163,0.0618656,0.0129605,0.0136245,0.0265489,0.00661113,0.118459,0.018037,0.0553665,0.0234632,0.0286769,0.0181645,0.011025,0.0079975,0.0201108,0.046557,0.040891,0.0385596,0.0233038,0.00500473,0.0112113,0,0,0,0,0,0
3,0,0,0,0,0.0105601,0.00611214,0,0,0.0274219,0.021174,0.0212372,0.00939712,0,0,0.0141156,0,0.0212725,0.00870782,0.0453966,0.0224347,0.017584,0.0209909,0.00935326,0.0109122,0.0106187,0.0136614,0.0223933,0.0491133,0.0154497,0.0135252,0.012386,0.0260314,0.0308158,0.0125937,0.0194294,0.00311776,0.0418239,0.0184064,0.0175805,0.00196945,0.0118879,0,0,0.100698,0,0.0181328,0.0717433,0.0618884,0.0129707,0.0136341,0.0265761,0.00661487,0.118505,0.0180413,0.0553773,0.0234874,0.0286658,0.018162,0.0110535,0.00803194,0.0201583,0.0465101,0.0408915,0.0385534,0.0231777,0.00498286,0.011149,0,0,0,0,0,0
4,0,0,0,0,0.0105375,0.00609004,0,0,0.0274147,0.0212027,0.0213303,0.00940612,0,0,0.0140528,0,0.0212611,0.00864155,0.0454133,0.0224704,0.0175438,0.0209961,0.00934151,0.0108901,0.0106358,0.0136496,0.0223044,0.0490998,0.0154572,0.0135358,0.0123931,0.0260194,0.0308286,0.0127023,0.0194094,0.00311129,0.0418992,0.0183999,0.0175881,0.00194668,0.0118723,0,0,0.100631,0,0.0181196,0.0716914,0.0618933,0.0130463,0.0136615,0.0265706,0.00659333,0.118546,0.0180366,0.055365,0.0234713,0.0286401,0.0181299,0.0110497,0.0080547,0.0201142,0.046491,0.0409165,0.0384911,0.0231208,0.00499938,0.0111041,0,0,0,0,0,0
5,0,0,0,0,0.0105173,0.00606172,0,0,0.0274546,0.0212295,0.0212385,0.00941628,0,0,0.0139903,0,0.0212721,0.00860521,0.0454256,0.0224652,0.0175408,0.0210003,0.00932831,0.0108502,0.0106241,0.0136201,0.0223511,0.0490991,0.0154674,0.0135612,0.0124089,0.0260124,0.030857,0.0128544,0.0194067,0.00307682,0.0420026,0.0183905,0.0175593,0.00196202,0.0118718,0,0,0.100622,0,0.0181056,0.0716856,0.0618923,0.0130893,0.01366,0.026566,0.0066091,0.118585,0.0180188,0.055361,0.0234544,0.0286356,0.018119,0.0110571,0.00802101,0.0200809,0.0464489,0.0409507,0.0384547,0.0231545,0.00499227,0.0110913,0,0,0,0,0,0
6,0,0,0,0,0.0104817,0.0060252,0,0,0.0275165,0.0212446,0.0211538,0.00944527,0,0,0.0139401,0,0.0212702,0.00859156,0.0454214,0.0224633,0.0175282,0.0209937,0.00934166,0.0108298,0.0105938,0.0135919,0.0223063,0.0491136,0.0154317,0.0135371,0.0123696,0.0260297,0.0309385,0.0128458,0.0194131,0.00304827,0.0418513,0.0183806,0.0176005,0.00198768,0.0118274,0,0,0.100618,0,0.0180793,0.0716944,0.0618962,0.0131297,0.0136495,0.0265495,0.00661722,0.118648,0.0180146,0.055353,0.023452,0.0286384,0.0181255,0.0110491,0.00800763,0.0200521,0.0464363,0.0409781,0.0384361,0.0232415,0.00495334,0.0110813,0,0,0,0,0,0
7,0,0,0,0,0.010447,0.00599052,0,0,0.027413,0.0212576,0.021159,0.00944801,0,0,0.0138867,0,0.0212643,0.00856066,0.0454296,0.0223535,0.0175019,0.0209982,0.00937148,0.0107889,0.0106043,0.0136335,0.0223644,0.0491078,0.0155036,0.0136124,0.0124648,0.026019,0.0308504,0.0127868,0.0194235,0.00304859,0.0417712,0.018385,0.0176571,0.00200265,0.0117869,0,0,0.100671,0,0.0180732,0.071765,0.0619101,0.013179,0.0136644,0.0265081,0.00660642,0.118712,0.01799,0.0553426,0.023429,0.028606,0.0180988,0.0110203,0.00798925,0.0199565,0.046453,0.0410324,0.038458,0.0233358,0.00489027,0.0110835,0,0,0,0,0,0
8,0,0,0,0,0.0103989,0.00596825,0,0,0.0276104,0.0212748,0.0211603,0.00944064,0,0,0.0138734,0,0.0212534,0.00852373,0.0454095,0.0224499,0.017508,0.0209906,0.00936136,0.0107594,0.0105583,0.013629,0.0221256,0.0490834,0.0153994,0.0135311,0.0123557,0.0260589,0.03108,0.0127818,0.0194274,0.00306482,0.0418686,0.0183992,0.0176763,0.00201425,0.0117504,0,0,0.1007,0,0.0180629,0.0717942,0.0619138,0.013247,0.0136867,0.0264624,0.00656674,0.118737,0.017969,0.0553211,0.0234206,0.028575,0.0180748,0.0110016,0.0079317,0.0198309,0.0464172,0.0410776,0.0384444,0.0233711,0.00485078,0.0110683,0,0,0,0,0,0
9,0,0,0,0,0.0104244,0.00597822,0,0,0.0274413,0.0212857,0.0211593,0.00943988,0,0,0.0138642,0,0.0212517,0.00849816,0.0454134,0.0223442,0.0175117,0.0209986,0.00926955,0.0107334,0.01059,0.0136601,0.0219564,0.0490585,0.0154985,0.0136,0.0124364,0.0260469,0.0308835,0.0128022,0.0193863,0.00309475,0.0420245,0.0184372,0.0176279,0.00206074,0.0117561,0,0,0.10072,0,0.0180573,0.0718333,0.0619029,0.013321,0.0137139,0.0264558,0.00655803,0.118769,0.0179645,0.0553032,0.0234165,0.0285679,0.0180518,0.010983,0.00784262,0.0198553,0.0462651,0.0411056,0.0384314,0.0233813,0.00485667,0.0110785,0,0,0,0,0,0
10,0,0,0,0,0.0104163,0.00598033,0,0,0.0275146,0.0213016,0.0211087,0.00945796,0,0,0.0138771,0,0.0212293,0.00847516,0.0454001,0.0224204,0.0175298,0.0209895,0.00910427,0.0107125,0.0105738,0.0136425,0.0219145,0.049071,0.0153888,0.0135051,0.0123129,0.0260816,0.0309456,0.0128381,0.0193499,0.00309826,0.0420109,0.0185106,0.017617,0.00213371,0.0117657,0,0,0.10073,0,0.0180461,0.0718459,0.0618987,0.0133758,0.0137342,0.0264622,0.0065883,0.118786,0.0179662,0.0553231,0.0234079,0.0285636,0.0180191,0.0109682,0.00775953,0.0198647,0.0461239,0.0411223,0.0384195,0.0233816,0.00485438,0.0110723,0,0,0,0,0,0
11,0,0,0,0,0.0103775,0.00596483,0,0,0.0274157,0.0212825,0.0211176,0.00947446,0,0,0.0138707,0,0.0212279,0.00844728,0.0454244,0.0223645,0.0175525,0.020962,0.00905323,0.0107016,0.0105845,0.013664,0.0218517,0.0490798,0.0154496,0.0135512,0.0123867,0.0260771,0.0308505,0.0128038,0.0193524,0.00306305,0.0419058,0.0185656,0.0175992,0.00218312,0.0117894,0,0,0.100764,0,0.018048,0.0718706,0.0619045,0.0134169,0.0137578,0.0264785,0.00659875,0.118803,0.0179599,0.0553484,0.0234227,0.0285704,0.0179991,0.0109729,0.00777039,0.0198568,0.0460178,0.0411609,0.0384234,0.0233863,0.00484181,0.011051,0,0,0,0,0,0
12,0,0,0,0,0.010337,0.00593326,0,0,0.0274327,0.0212513,0.0211323,0.00947122,0,0,0.0138535,0,0.0212111,0.00845608,0.0454239,0.0223873,0.0175539,0.0209423,0.00904604,0.0106833,0.0105486,0.0136274,0.0218342,0.0490847,0.0154565,0.0135613,0.0124078,0.0260703,0.030894,0.0126779,0.0193616,0.00304228,0.0418644,0.0186123,0.0175936,0.00220246,0.0118049,0,0,0.100771,0,0.018039,0.0718785,0.0619109,0.0134359,0.0137758,0.0265028,0.00657717,0.118799,0.0179784,0.0553487,0.0234306,0.0285981,0.0179969,0.0109786,0.00780574,0.0198542,0.045986,0.0412226,0.0384,0.0233689,0.00484396,0.0110197,0,0,0,0,0,0
13,0,0,0,0,0.0103513,0.00590726,0,0,0.0274702,0.0212437,0.0211912,0.00947249,0,0,0.0137994,0,0.0211888,0.00845887,0.0454208,0.022409,0.0175744,0.0209157,0.00904947,0.0106187,0.0105227,0.0136321,0.0218409,0.0491066,0.0154778,0.0136067,0.0124328,0.0260583,0.0309174,0.0125894,0.0193483,0.0030258,0.0418326,0.0186414,0.0176188,0.00219814,0.0118337,0,0,0.10079,0,0.0180306,0.0718818,0.061897,0.0134565,0.0137764,0.0265118,0.00657386,0.118814,0.0179946,0.0553181,0.0234342,0.0286062,0.0179908,0.0109733,0.00783025,0.0198256,0.0459526,0.0412943,0.0384086,0.0233658,0.00491578,0.0110226,0,0,0,0,0,0
14,0,0,0,0,0.0103656,0.00589184,0,0,0.0274221,0.0212709,0.0212776,0.00949126,0,0,0.0137399,0,0.0211934,0.0084211,0.0454299,0.0223823,0.017574,0.0209046,0.00903686,0.0105438,0.0105531,0.0136531,0.0218131,0.0491213,0.0155175,0.0136605,0.0124426,0.0260526,0.0308739,0.0125702,0.0193328,0.00298449,0.041774,0.0186733,0.0176432,0.00217108,0.0118458,0,0,0.100802,0,0.0180079,0.0718921,0.0619076,0.013483,0.0137706,0.0265073,0.00657957,0.118821,0.0179946,0.055312,0.0234187,0.028583,0.017968,0.0109548,0.00779216,0.0197752,0.0458764,0.041342,0.0384396,0.0233815,0.00496062,0.0110321,0,0,0,0,0,0
15,0,0,0,0,0.0103371,0.00586922,0,0,0.0274567,0.0213144,0.0213804,0.00953299,0,0,0.0136991,0,0.0212205,0.0083749,0.0454182,0.0223678,0.0175676,0.0208857,0.00900677,0.0105181,0.010563,0.0136267,0.0217196,0.0491225,0.0155101,0.0136784,0.012448,0.0260565,0.0309109,0.0125257,0.0193266,0.00296264,0.0417435,0.0187009,0.0176772,0.00215782,0.0118361,0,0,0.100796,0,0.0179769,0.0718856,0.0618984,0.01355,0.0137415,0.026491,0.00657387,0.118829,0.0179871,0.0553212,0.0234111,0.0285758,0.017945,0.0109351,0.00778819,0.0197077,0.0458426,0.0413469,0.038451,0.0233684,0.00495953,0.0109987,0,0,0,0,0,0
16,0,0,0,0,0.0102829,0.00584455,0,0,0.0274692,0.0213476,0.0212917,0.00954331,0,0,0.0136748,0,0.0211985,0.00831133,0.0454155,0.0223557,0.0175493,0.0208857,0.00898088,0.0105044,0.0105599,0.0136454,0.0215997,0.0491187,0.0155116,0.0136908,0.0124748,0.0260646,0.0309345,0.0124804,0.0193018,0.00296521,0.0417423,0.0187458,0.0176871,0.00216866,0.0117951,0,0,0.100758,0,0.0179433,0.0718557,0.0619052,0.0135932,0.0137339,0.026478,0.00656842,0.118825,0.017976,0.0553356,0.0234153,0.0285855,0.0179477,0.010928,0.00782698,0.0197013,0.0458415,0.0413396,0.0383649,0.023317,0.00496127,0.0109468,0,0,0,0,0,0
17,0,0,0,0,0.0102787,0.00584417,0,0,0.0274586,0.0213378,0.0212922,0.00954926,0,0,0.0136457,0,0.0211589,0.00826758,0.0454161,0.0223437,0.0175303,0.0209237,0.00896123,0.0104677,0.0105633,0.0136527,0.0214729,0.0491203,0.0155312,0.0136826,0.0124745,0.0260673,0.0309205,0.0124606,0.0193027,0.00297538,0.0417436,0.0187702,0.0176552,0.00217273,0.0117773,0,0,0.100741,0,0.017903,0.0718365,0.061918,0.0136022,0.0137448,0.0264705,0.0065738,0.11879,0.0179743,0.0553336,0.0234072,0.0285928,0.017937,0.0109291,0.00780353,0.0197144,0.0458044,0.04134,0.0382341,0.0233329,0.0049807,0.0109135,0,0,0,0,0,0
18,0,0,0,0,0.0102588,0.00581163,0,0,0.027516,0.0213101,0.0213943,0.00952931,0,0,0.0136202,0,0.0211008,0.00827008,0.0454088,0.0223554,0.0175176,0.0209404,0.00894101,0.0104522,0.0105551,0.0136636,0.0214641,0.0491193,0.0155223,0.0136612,0.0124502,0.0260721,0.0309892,0.0124393,0.0193093,0.00299572,0.041736,0.0187873,0.0176456,0.0021704,0.0117608,0,0,0.100722,0,0.0178576,0.0718012,0.0619218,0.013619,0.0137513,0.026465,0.00655993,0.118718,0.0179736,0.0553289,0.0234071,0.0285822,0.0179205,0.0109261,0.00773729,0.0197082,0.0457431,0.041356,0.0380871,0.0234283,0.00496834,0.0108721,0,0,0,0,0,0
19,0,0,0,0,0.0102024,0.00576101,0,0,0.0275004,0.0212852,0.0213045,0.00950224,0,0,0.0136247,0,0.0210303,0.00828118,0.0453989,0.0223364,0.0174912,0.0209186,0.00890525,0.0105092,0.0105466,0.013687,0.0213498,0.0491313,0.0155321,0.0136805,0.0124849,0.0260641,0.0310082,0.0122996,0.0192986,0.00299582,0.0416775,0.0187908,0.0176567,0.00216811,0.0117321,0,0,0.100676,0,0.0178042,0.0717593,0.0619171,0.0136504,0.0137425,0.026452,0.00652574,0.118673,0.0179622,0.0553243,0.023401,0.028547,0.0178748,0.0109118,0.00766014,0.0196392,0.0456445,0.0413361,0.0379047,0.0235243,0.00493855,0.0108146,0,0,0,0,0,0
20,0,0,0,0,0.0101032,0.00567034,0,0,0.0274247,0.0213092,0.0212161,0.00940966,0,0,0.013632,0,0.0210472,0.00829256,0.0453923,0.0223157,0.0174705,0.0209134,0.00885882,0.0105463,0.0105726,0.013705,0.0212241,0.0491506,0.015546,0.0136917,0.012504,0.0260681,0.0309571,0.0121171,0.0192989,0.0029899,0.0415913,0.0187876,0.0176493,0.00217497,0.0116542,0,0,0.100618,0,0.0177754,0.0717506,0.0619134,0.0137082,0.0137258,0.0264006,0.00651124,0.118663,0.017941,0.055312,0.0233434,0.0284968,0.0178423,0.0109041,0.00766066,0.0195171,0.0455383,0.0413306,0.0376705,0.0236397,0.00490231,0.0107251,0,0,0,0,0,0
21,0,0,0,0,0.0100326,0.00558827,0,0,0.0273742,0.0213375,0.0211979,0.00936389,0,0,0.0135865,0,0.0210787,0.00824525,0.0453923,0.0223397,0.0174558,0.0209342,0.00883565,0.0104874,0.0106865,0.0137342,0.0212772,0.0491689,0.0155264,0.0136643,0.0124933,0.0260709,0.030916,0.012159,0.0193052,0.0029596,0.0415045,0.0187429,0.0176427,0.00217806,0.0115988,0,0,0.100547,0,0.0177349,0.0717377,0.0619145,0.0137759,0.0137222,0.026354,0.0065065,0.118654,0.0179174,0.055302,0.023273,0.0284569,0.0178386,0.0109145,0.00766697,0.0192951,0.0454176,0.0413584,0.037418,0.0238481,0.00488498,0.0106653,0,0,0,0,0,0
22,0,0,0,0,0.00993627,0.00549113,0,0,0.02709,0.0213691,0.0212385,0.00930656,0,0,0.013566,0,0.0210985,0.00818113,0.0453595,0.0222195,0.0174215,0.0209911,0.00876523,0.0104741,0.0109642,0.0138568,0.0214968,0.0491817,0.0156533,0.0137582,0.0126366,0.0260564,0.0305325,0.0122123,0.0193233,0.00295383,0.0414366,0.0186627,0.0176386,0.00216061,0.0115255,0,0,0.100439,0,0.0176892,0.0716413,0.0619078,0.0138251,0.0137357,0.0263186,0.00647518,0.118662,0.0178871,0.0553085,0.0232386,0.0284154,0.0178046,0.010932,0.00764735,0.0191818,0.0453219,0.0413719,0.0370098,0.024044,0.0048729,0.0105818,0,0,0,0,0,0
23,0,0,0,0,0.00980282,0.00536999,0,0,0.0270108,0.0213932,0.0212028,0.00920528,0,0,0.0136312,0,0.0210891,0.00819594,0.0452783,0.0222463,0.0173399,0.0210455,0.00864708,0.010489,0.0110377,0.0139841,0.0214525,0.0492218,0.0155833,0.0136813,0.0125831,0.0260983,0.0304057,0.0122621,0.0193363,0.00297915,0.041424,0.0185028,0.0176502,0.00213904,0.0114139,0,0,0.100234,0,0.0176128,0.0714228,0.061896,0.01383,0.0137266,0.0262892,0.00639619,0.118711,0.0178653,0.055307,0.0231973,0.0283929,0.0177874,0.0109275,0.0076869,0.0191771,0.0453238,0.0413797,0.0363515,0.0242225,0.00486059,0.0104566,0,0,0,0,0,0
24,0,0,0,0,0.00976783,0.0053118,0,0,0.0270487,0.021396,0.0211713,0.00920637,0,0,0.0137208,0,0.0210857,0.00824669,0.0453119,0.0221242,0.0173177,0.0209828,0.00858837,0.0104284,0.0108151,0.0139119,0.0213112,0.049198,0.0156731,0.0137445,0.0126206,0.026116,0.0304705,0.0123247,0.0193348,0.00302194,0.0413315,0.0183063,0.0176316,0.00216428,0.011356,0,0,0.0999809,0,0.0175416,0.0711565,0.0618977,0.0138187,0.0136814,0.026288,0.00633346,0.118716,0.0178483,0.0552979,0.023174,0.0283855,0.0177578,0.0109146,0.00773754,0.0191308,0.0452547,0.0413679,0.0354899,0.0245063,0.00487326,0.0104134,0,0,0,0,0,0
25,0,0,0,0,0.00989417,0.00531222,0,0,0.0272761,0.0214483,0.0211537,0.00920849,0,0,0.0136556,0,0.021076,0.00820127,0.0453098,0.0221906,0.0172583,0.0209272,0.00850449,0.0100571,0.0106459,0.0138108,0.0212578,0.049188,0.015585,0.0136709,0.0125004,0.0261836,0.0307676,0.0122344,0.0193284,0.00302845,0.0412745,0.0179439,0.0175891,0.00216621,0.0113658,0,0,0.099693,0,0.0175107,0.0708155,0.0619035,0.0137839,0.0136545,0.0262801,0.00624164,0.118787,0.0178639,0.0552944,0.023187,0.0283899,0.0177551,0.0109203,0.00773262,0.019128,0.045191,0.0413625,0.0342997,0.024904,0.0049021,0.0104976,0,0,0,0,0,0
26,0,0,0,0,0.00973958,0.00522607,0,0,0.0272658,0.021429,0.0211772,0.00927462,0,0,0.0136412,0,0.0211103,0.0081877,0.0453172,0.0221577,0.0173186,0.0209172,0.0085701,0.0102511,0.0106358,0.013775,0.0213098,0.0491777,0.0156139,0.0136962,0.0125253,0.0261524,0.0307762,0.0123344,0.0193398,0.00299175,0.041245,0.0185206,0.0175219,0.0021548,0.011379,0,0,0.100084,0,0.0174372,0.0713412,0.0618859,0.0137304,0.0136818,0.0262854,0.00627768,0.118707,0.01789,0.0552927,0.0232104,0.0284211,0.0177833,0.0109368,0.00762047,0.0191754,0.0451315,0.0415332,0.0354888,0.0246008,0.00475675,0.0103913,0,0,0,0,0,0
27,0,0,0,0,0.00971735,0.00516713,0,0,0.0273286,0.0214303,0.0211911,0.00931737,0,0,0.0134895,0,0.0211225,0.00812674,0.0453067,0.0221644,0.0173669,0.0209167,0.00862729,0.0101597,0.0106049,0.0137578,0.021364,0.0492178,0.0155998,0.0136862,0.0125334,0.0261382,0.0308184,0.0122592,0.0193554,0.00294638,0.0412398,0.0189735,0.0174759,0.00213999,0.0114424,0,0,0.10041,0,0.017448,0.071716,0.0618714,0.013682,0.0136899,0.0262988,0.00631482,0.118678,0.0179132,0.0552909,0.0232329,0.0284619,0.0178188,0.0109302,0.00754003,0.0192245,0.0451394,0.0417105,0.0363697,0.0243101,0.00464527,0.0103817,0,0,0,0,0,0
28,0,0,0,0,0.00971297,0.00511054,0,0,0.0273474,0.0214062,0.0211835,0.00936497,0,0,0.0133409,0,0.0211169,0.0081097,0.0453035,0.0221391,0.0173939,0.0209244,0.00867482,0.0100624,0.0105791,0.0137473,0.0213115,0.0492133,0.0156024,0.0136778,0.0125241,0.0261509,0.0308213,0.0121762,0.0193751,0.00293218,0.0411372,0.0193705,0.0174677,0.0021235,0.0115056,0,0,0.100692,0,0.0174839,0.0720721,0.0618841,0.0136287,0.0136986,0.0262845,0.00637372,0.118613,0.0179199,0.0552897,0.0232127,0.0284761,0.0178431,0.010922,0.00755429,0.019249,0.0451734,0.0419217,0.0371363,0.0241688,0.00457066,0.0103798,0,0,0,0,0,0
29,0,0,0,0,0.00974163,0.00506639,0,0,0.0272909,0.0213888,0.0211638,0.0093954,0,0,0.0132832,0,0.0211074,0.00805914,0.0453024,0.0220874,0.0174105,0.0209037,0.00871892,0.00992199,0.0105785,0.0137656,0.0212505,0.0491983,0.0156107,0.0136761,0.0125195,0.0261567,0.0308034,0.012078,0.0193811,0.0029063,0.0408459,0.0196627,0.017485,0.00208209,0.0115819,0,0,0.100927,0,0.0175098,0.0723594,0.0618823,0.0135858,0.013696,0.0262545,0.0064222,0.118572,0.0179094,0.0552943,0.0231662,0.0284711,0.0178348,0.0109271,0.0076469,0.0192582,0.0452024,0.042132,0.0377295,0.0240801,0.00450144,0.0104261,0,0,0,0,0,0
30,0,0,0,0,0.00974415,0.00498231,0,0,0.027303,0.0214124,0.0211836,0.00942515,0,0,0.0132274,0,0.021102,0.00801008,0.0452973,0.0221072,0.0173992,0.0208304,0.00873423,0.00980764,0.0105565,0.01373,0.0212078,0.0492067,0.0155914,0.0137041,0.0125437,0.026129,0.0308384,0.0119771,0.019379,0.00288304,0.0407238,0.0199158,0.017504,0.00203382,0.0116408,0,0,0.101203,0,0.0175321,0.0725862,0.0618766,0.013572,0.0136952,0.0262274,0.00644867,0.118549,0.0178963,0.0553065,0.0231429,0.0284861,0.0178233,0.0109267,0.00772922,0.0192682,0.0452156,0.0423582,0.0382062,0.024026,0.00441594,0.0104472,0,0,0,0,0,0
31,0,0,0,0,0.0097181,0.00489828,0,0,0.0273445,0.0214194,0.0212704,0.009445,0,0,0.01316,0,0.0210919,0.00797631,0.0452794,0.0222132,0.0173962,0.0207441,0.00873333,0.0096855,0.0105212,0.0136801,0.0211738,0.0492422,0.0155606,0.0137335,0.0125701,0.0260464,0.030873,0.011897,0.0193846,0.00287091,0.0407508,0.0201514,0.0174921,0.00199795,0.0116755,0,0,0.101559,0,0.0175381,0.072794,0.0618674,0.0135426,0.0137039,0.0262286,0.00646389,0.118478,0.0178984,0.0553051,0.0231441,0.0284985,0.0178207,0.0109279,0.00775824,0.0192526,0.0452493,0.0425425,0.0385902,0.0240136,0.00433176,0.0104434,0,0,0,0,0,0
32,0,0,0,0,0.0096994,0.00481925,0,0,0.0272937,0.021425,0.0213004,0.00946498,0,0,0.0131024,0,0.0210687,0.00796512,0.0452815,0.0222199,0.0174145,0.0207184,0.00874857,0.0095409,0.0105051,0.0136496,0.0212048,0.0492558,0.0155729,0.0137525,0.0125624,0.0260485,0.0307769,0.0118661,0.0193881,0.0028656,0.0408844,0.020407,0.0175017,0.00196898,0.0116974,0,0,0.101793,0,0.0175326,0.0730061,0.0618592,0.0134865,0.0136998,0.0262297,0.00649147,0.118407,0.01791,0.0553103,0.0231673,0.0285027,0.0177886,0.0109255,0.00772194,0.0192077,0.0452631,0.0426936,0.0389276,0.024025,0.00423134,0.0104674,0,0,0,0,0,0
33,0,0,0,0,0.00968437,0.00473255,0,0,0.0273401,0.0214441,0.0214228,0.00946132,0,0,0.0130637,0,0.0210642,0.00799934,0.0452663,0.0223343,0.0174349,0.0206214,0.0087476,0.00941023,0.0104532,0.0135804,0.0211357,0.0492691,0.0155494,0.013738,0.0125163,0.0260046,0.0307818,0.01185,0.019388,0.00285554,0.0409929,0.02067,0.0174679,0.00195083,0.0117371,0,0,0.101928,0,0.0175646,0.0732368,0.0618468,0.0134168,0.0136897,0.0262269,0.00648918,0.118319,0.0179115,0.0553235,0.0231963,0.0285091,0.0177871,0.0109234,0.00770853,0.0192006,0.0452326,0.042874,0.0392166,0.0240328,0.0041795,0.0104735,0,0,0,0,0,0
34,0,0,0,0,0.00963192,0.00461054,0,0,0.0272858,0.0214584,0.0212886,0.00943403,0,0,0.0130395,0,0.0210639,0.00798836,0.0452586,0.0223565,0.017432,0.020514,0.00873555,0.00931068,0.0103984,0.0134949,0.0210161,0.0492851,0.0155324,0.0137271,0.0124694,0.0259928,0.0307278,0.0117576,0.0194068,0.00286291,0.0407441,0.0209423,0.0174632,0.00194721,0.0117605,0,0,0.101963,0,0.0175841,0.0734574,0.0618275,0.0133926,0.0136638,0.0262057,0.00646158,0.118277,0.0179111,0.0553474,0.0231898,0.0285106,0.0177925,0.010917,0.00772684,0.0192021,0.0451827,0.0431059,0.0394698,0.0241201,0.00409369,0.0104141,0,0,0,0,0,0
35,0,0,0,0,0.00952959,0.00445419,0,0,0.0271652,0.0214847,0.021111,0.00940527,0,0,0.0130025,0,0.021043,0.00795649,0.0452597,0.0222766,0.0174349,0.0204401,0.00872263,0.00920844,0.0104258,0.0134402,0.0209879,0.0493129,0.015531,0.0137161,0.0124285,0.0260362,0.0306125,0.0116596,0.0194114,0.00286312,0.0405588,0.0212335,0.0174476,0.00193955,0.0117851,0,0,0.101942,0,0.0176252,0.0736984,0.0618166,0.0133781,0.0136541,0.0261786,0.0064438,0.118263,0.0179056,0.0553639,0.0231364,0.0284944,0.017788,0.0109092,0.00772825,0.0191996,0.0451106,0.0433689,0.039786,0.0242806,0.00395706,0.0103496,0,0,0,0,0,0
