Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,x72
818,0,0,0,0,0.0267059,0.00521053,0,0,0.0777155,0.0232922,0.0231132,0.0106387,0,0,0.0106587,0,0.0221255,0.010821,0.0416375,0.0172992,0.0196391,0.0182125,0.00957316,0.0304186,0.0147809,0.0179159,0.0229334,0.0564697,0.0162634,0.018129,0.0128742,0.0294157,0.0972054,0.00765131,0.0185546,0.00595676,0.00811301,0.0255571,0.022786,0.00389054,0.0250274,0,0,0.02707,0,0.018627,0.0152957,0.0618796,0.0416097,0.0137198,0.0232644,0.00511246,0.0218975,0.0147212,0.0564413,0.0183463,0.0234979,0.00922775,0.0077891,0.0037686,0.00320872,0.0104423,0.0230345,0.0114123,0.00813106,0.00475309,0.023342,0,0,0,0,0,0
819,0,0,0,0,0.026707,0.0051602,0,0,0.0777676,0.0233341,0.0232248,0.0106623,0,0,0.0105965,0,0.0221142,0.0107662,0.0416421,0.0171577,0.0196539,0.0182078,0.0095443,0.0304557,0.0147854,0.0179115,0.0229659,0.056461,0.0162719,0.0181395,0.0128886,0.0294193,0.0972142,0.00765794,0.0185392,0.00589908,0.00806098,0.0255383,0.0227436,0.00386695,0.0250219,0,0,0.0270092,0,0.0186146,0.0152899,0.0618851,0.0415926,0.0137069,0.0232833,0.00509753,0.0218404,0.0147098,0.0564435,0.0183632,0.0234926,0.00925767,0.00781405,0.00374254,0.00327789,0.0104189,0.0230074,0.011415,0.00808933,0.00477023,0.0233177,0,0,0,0,0,0
820,0,0,0,0,0.0267063,0.00518127,0,0,0.0778277,0.0234358,0.0232509,0.0106538,0,0,0.0105226,0,0.0221228,0.0106855,0.0416423,0.0170504,0.0196585,0.0182032,0.00953994,0.03045,0.014798,0.0179169,0.0229839,0.0564731,0.016301,0.018152,0.0128985,0.0294313,0.0972346,0.00765079,0.0185137,0.00577584,0.00807662,0.0255229,0.0227356,0.0038529,0.0250056,0,0,0.0269958,0,0.0186056,0.0152626,0.0619009,0.0414683,0.0137193,0.0232658,0.0051058,0.0218562,0.01466,0.0564495,0.0182731,0.0234548,0.00926124,0.00781456,0.00374757,0.00323209,0.0104168,0.0229462,0.0114226,0.00805072,0.00474421,0.0232868,0,0,0,0,0,0
821,0,0,0,0,0.0266799,0.00522692,0,0,0.0778735,0.0234882,0.0231616,0.0106581,0,0,0.0104708,0,0.0221293,0.010635,0.0416331,0.0170268,0.0196452,0.0182067,0.00954912,0.0304317,0.0148005,0.0179174,0.0228163,0.0564962,0.0163066,0.0181645,0.012887,0.0294449,0.0972898,0.00765177,0.018503,0.0056653,0.00809189,0.0255146,0.0226982,0.00384112,0.0249755,0,0,0.0269818,0,0.0186137,0.0152387,0.0619142,0.0413545,0.0137224,0.0232785,0.0051078,0.0219125,0.0146485,0.0564394,0.0181244,0.0234737,0.00926869,0.00781075,0.0037236,0.00322403,0.0104538,0.0229538,0.0114404,0.00804424,0.00471929,0.0232773,0,0,0,0,0,0
822,0,0,0,0,0.0266817,0.005229,0,0,0.0778985,0.0234782,0.0231981,0.0106534,0,0,0.0106971,0,0.0221548,0.0107414,0.0416422,0.0170232,0.0196278,0.0182173,0.00952095,0.0303822,0.0148307,0.0179355,0.0223758,0.0564993,0.0162875,0.018157,0.0128816,0.0294594,0.0973158,0.00774178,0.0185095,0.00562561,0.00817998,0.0254895,0.022703,0.00383118,0.0249836,0,0,0.026967,0,0.0186116,0.0152162,0.0618728,0.0413779,0.0137104,0.0232782,0.0050789,0.0219686,0.0146545,0.0563999,0.0181445,0.0234353,0.00920803,0.00778585,0.00371381,0.00322783,0.0104989,0.0229645,0.0113976,0.00803521,0.00473892,0.0233077,0,0,0,0,0,0
823,0,0,0,0,0.026748,0.0052122,0,0,0.0779192,0.0235054,0.0230822,0.0106463,0,0,0.0107399,0,0.022138,0.0108173,0.0416675,0.0170221,0.0196442,0.0182291,0.00949273,0.0303684,0.014866,0.0179596,0.0222045,0.0564937,0.0162555,0.0181512,0.0128501,0.0294508,0.097337,0.00772973,0.0185031,0.00567479,0.00823284,0.0254578,0.0227733,0.00385315,0.0250473,0,0,0.026985,0,0.0186506,0.0152097,0.0618373,0.0414929,0.0137073,0.0232722,0.00502816,0.0219428,0.0146665,0.056413,0.0182622,0.0233795,0.00914818,0.00772599,0.00375032,0.00317009,0.0104436,0.0230032,0.0113749,0.00801184,0.00470185,0.0233397,0,0,0,0,0,0
824,0,0,0,0,0.0268062,0.00514086,0,0,0.0779494,0.023519,0.0230051,0.0106403,0,0,0.0107641,0,0.0221444,0.0108755,0.041678,0.0170284,0.0196537,0.0182483,0.00948472,0.0303542,0.0148831,0.0179767,0.0222235,0.0565035,0.0162344,0.018131,0.0128474,0.0294343,0.0973726,0.00769963,0.0185112,0.00572229,0.00821379,0.0254084,0.0227685,0.00387331,0.0251377,0,0,0.0269904,0,0.0186757,0.0152002,0.0618221,0.041582,0.0137178,0.0232917,0.00500073,0.0219937,0.014678,0.0564145,0.0182225,0.0234109,0.00916578,0.0077122,0.00373619,0.00311898,0.0104463,0.0229433,0.0113489,0.00797321,0.00464169,0.0234001,0,0,0,0,0,0
825,0,0,0,0,0.026841,0.00501301,0,0,0.0779645,0.0235095,0.0230359,0.0106306,0,0,0.0107712,0,0.0221494,0.0108871,0.0416749,0.0170124,0.0196696,0.0182617,0.00946494,0.0303447,0.0148844,0.0179628,0.0222577,0.0564908,0.0162255,0.0181211,0.0128493,0.0294123,0.0973915,0.0077201,0.0185279,0.00577301,0.00820821,0.0253532,0.0227798,0.00390057,0.0252289,0,0,0.0269954,0,0.0187107,0.0152022,0.0617857,0.0417468,0.0137054,0.0233074,0.00499385,0.0221103,0.0146599,0.0564313,0.018328,0.0234164,0.00914335,0.0076931,0.0037326,0.00311288,0.0104533,0.022796,0.0113195,0.00797915,0.00455881,0.0234782,0,0,0,0,0,0
826,0,0,0,0,0.0268829,0.00491655,0,0,0.0779909,0.0234952,0.0231813,0.0106005,0,0,0.0107734,0,0.0221582,0.0108504,0.0416979,0.0169756,0.0196918,0.018252,0.00946986,0.0303417,0.0148814,0.0179373,0.0222426,0.0564689,0.0162192,0.0181512,0.0128564,0.0293938,0.0974735,0.007776,0.0185499,0.00579375,0.00819515,0.0253339,0.0227189,0.00393745,0.0253034,0,0,0.0270118,0,0.0187726,0.0151963,0.0617554,0.04162,0.0136927,0.0233448,0.00499038,0.022267,0.0146556,0.056435,0.018539,0.0234609,0.0091648,0.00773918,0.00368364,0.00312619,0.010512,0.0227711,0.0112796,0.00801473,0.00448756,0.023546,0,0,0,0,0,0
827,0,0,0,0,0.0268797,0.00482365,0,0,0.0780754,0.0235577,0.0231501,0.0105776,0,0,0.0106025,0,0.0221758,0.0107326,0.0417204,0.0169504,0.0197009,0.0182525,0.00947341,0.0303394,0.0148817,0.0179223,0.0222135,0.0564639,0.0162009,0.0181936,0.0128582,0.0293844,0.0975938,0.00770286,0.018559,0.00571865,0.00814454,0.0253688,0.0226873,0.00395918,0.0253782,0,0,0.0270497,0,0.0187961,0.0152105,0.0617226,0.0416141,0.0137103,0.0233747,0.00499026,0.0224245,0.0146545,0.0564235,0.0186728,0.0235125,0.00917683,0.00775786,0.00365905,0.00314445,0.0105259,0.0227693,0.0112983,0.00816396,0.00442027,0.0235714,0,0,0,0,0,0
