Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,RTIBA,RTIBI
475,0,0,0,0,0.0232426,0.00200505,0,0,0.0276476,0.0176419,0.0218992,0.00888217,0,0,0.0115955,0,0.0234584,0.0104535,0.0392197,0.0255911,0.015052,0.0313974,0.00718758,0.0242561,0.0149036,0.0201011,0.0310021,0.0685329,0.020898,0.016615,0.0140148,0.0242665,0.0283866,0.00604242,0.0180796,0.00507192,0.0268048,0.0186078,0.0131303,0.00451162,0.0228706,0,0,0.00905418,0,0.0192902,0.00680046,0.0611784,0.0132783,0.0134869,0.0264768,0.00464688,0.0328001,0.0195638,0.0649846,0.0198773,0.0308832,0.0201473,0.0203977,0.0293177,0.0175891,0.0103392,0.00757011,0.00332043,0.0254735,0,0,0,0,0,0.0170649,0.00694175
476,0,0,0,0,0.0230729,0.00199984,0,0,0.0271494,0.0176498,0.0217632,0.00879182,0,0,0.0117106,0,0.0234141,0.0105313,0.039243,0.0252599,0.0150897,0.0317157,0.00713419,0.024133,0.0151737,0.0204649,0.0310681,0.068554,0.0206928,0.0163942,0.0138249,0.0240132,0.0276447,0.00604671,0.0181011,0.0051137,0.0265933,0.0186345,0.0131631,0.00435155,0.0227564,0,0,0.0087123,0,0.0192505,0.00649906,0.0612342,0.0128929,0.0135117,0.0263043,0.00458086,0.032832,0.0194562,0.0649491,0.0198828,0.0307212,0.0200325,0.0201706,0.0293006,0.017443,0.010179,0.00752704,0.00341109,0.0253259,0,0,0,0,0,0.0169308,0.00685552
477,0,0,0,0,0.022957,0.00199411,0,0,0.0266092,0.0176235,0.0216089,0.00894317,0,0,0.0118327,0,0.0233499,0.0106256,0.0392428,0.0249142,0.0151233,0.0319986,0.00714114,0.0239607,0.015437,0.0207684,0.0312472,0.0685629,0.0205212,0.0161739,0.0136668,0.0237455,0.0268908,0.00600257,0.0181163,0.00519082,0.0264249,0.018703,0.0131528,0.00421919,0.0226399,0,0,0.00838266,0,0.0191822,0.00629907,0.0612536,0.0129455,0.0135355,0.0261375,0.00451908,0.0327402,0.0193608,0.0649322,0.019852,0.0305548,0.0198774,0.0201159,0.0292272,0.017292,0.0100128,0.00744692,0.00347051,0.0251364,0,0,0,0,0,0.0168263,0.0067268
478,0,0,0,0,0.0228809,0.00199639,0,0,0.0260078,0.0175807,0.0215548,0.0091595,0,0,0.0119716,0,0.0232939,0.0107679,0.039238,0.0245466,0.0151255,0.0323066,0.00724556,0.0236761,0.0156711,0.0210671,0.0313784,0.0685158,0.0204202,0.015985,0.0135391,0.0234856,0.0261052,0.00599825,0.0181183,0.00523734,0.0262772,0.01881,0.0131643,0.00419951,0.0225018,0,0,0.00809866,0,0.0190817,0.00611091,0.0612572,0.0131472,0.0135125,0.0259581,0.00449335,0.0325591,0.0192429,0.0649257,0.0197316,0.0302863,0.0194992,0.0200443,0.0291761,0.0171449,0.00986244,0.00732113,0.00345755,0.0248871,0,0,0,0,0,0.0167273,0.00656598
479,0,0,0,0,0.0227347,0.00196957,0,0,0.0254496,0.0175945,0.021439,0.009167,0,0,0.0120256,0,0.0232494,0.0109253,0.039326,0.0242704,0.0151377,0.0326557,0.00724689,0.0233571,0.0159851,0.0214494,0.0314741,0.068548,0.0202655,0.0157158,0.0133986,0.0232151,0.0253467,0.00618708,0.0181274,0.00524038,0.0260218,0.0189268,0.0131562,0.00419077,0.022342,0,0,0.00793303,0,0.018948,0.0059206,0.0612904,0.0127419,0.013446,0.0257113,0.00443263,0.0322626,0.0190454,0.0649193,0.019535,0.0299256,0.018871,0.0197255,0.0291,0.0169388,0.00972044,0.00718623,0.00343343,0.0245961,0,0,0,0,0,0.0166136,0.00638134
480,0,0,0,0,0.0224942,0.00191794,0,0,0.0248997,0.0176447,0.0212609,0.00897831,0,0,0.0121506,0,0.0231858,0.0110262,0.0393481,0.0240209,0.0151962,0.0330485,0.00709303,0.0230184,0.0163906,0.021906,0.0316057,0.0686441,0.020101,0.0154088,0.0132264,0.0229151,0.0245536,0.00622945,0.0181511,0.00522248,0.0255972,0.0189021,0.0132022,0.00409173,0.0220745,0,0,0.0078557,0,0.0189014,0.00574186,0.0613511,0.0124375,0.013402,0.0254113,0.00431967,0.0318382,0.0187883,0.0648984,0.0193197,0.0294817,0.0183497,0.0193117,0.0290682,0.0167309,0.0096318,0.00712976,0.00340236,0.0243102,0,0,0,0,0,0.0164493,0.00615896
481,0,0,0,0,0.0222755,0.00185419,0,0,0.0243362,0.0176742,0.021213,0.00878148,0,0,0.0123064,0,0.0231095,0.0110199,0.0393508,0.0237702,0.0152707,0.033404,0.00688852,0.0227444,0.0167297,0.0223301,0.0317544,0.0687102,0.0199474,0.0150981,0.0129659,0.0225999,0.0236909,0.0061353,0.0181917,0.00518732,0.0250387,0.0189137,0.013261,0.00383358,0.0217289,0,0,0.00775934,0,0.0188538,0.00563836,0.0613878,0.0122908,0.0133765,0.0251341,0.00423402,0.0314955,0.0185034,0.0648286,0.019117,0.0290202,0.0179827,0.0189484,0.0290685,0.0165811,0.00959611,0.00706301,0.00337889,0.0240364,0,0,0,0,0,0.016215,0.00594855
482,0,0,0,0,0.0220191,0.00185016,0,0,0.023787,0.0177147,0.02112,0.00884093,0,0,0.0123949,0,0.0230504,0.0109707,0.0393846,0.0235469,0.0153221,0.0337143,0.00681984,0.0224137,0.0170272,0.0227099,0.0318919,0.0687421,0.0197821,0.0148187,0.0127291,0.0223147,0.0228718,0.00614377,0.018231,0.00514087,0.0248837,0.019119,0.0131977,0.00371872,0.0214507,0,0,0.00756068,0,0.0187345,0.00547441,0.0614599,0.0120559,0.0133323,0.0248191,0.0041626,0.0312869,0.0182432,0.0648477,0.0189371,0.0284895,0.0177954,0.0182834,0.0289774,0.0164062,0.00945371,0.00686537,0.00331166,0.0237694,0,0,0,0,0,0.0160464,0.00577123
483,0,0,0,0,0.0217769,0.00191603,0,0,0.0231993,0.0177467,0.0209429,0.00904663,0,0,0.01256,0,0.0230467,0.0110029,0.0394429,0.0232552,0.0153369,0.0340417,0.00690353,0.0220223,0.0173538,0.0231092,0.0320504,0.0687439,0.0196256,0.0145943,0.012474,0.02208,0.0220336,0.00602558,0.0182455,0.00511041,0.025782,0.0192217,0.0132351,0.00375291,0.0212062,0,0,0.00742857,0,0.0186454,0.00528348,0.0615171,0.0118304,0.0132784,0.0244962,0.00415586,0.0310861,0.0179984,0.0648854,0.0186402,0.0279112,0.0176301,0.0178718,0.0288531,0.0161952,0.00929366,0.00663166,0.00316774,0.0235009,0,0,0,0,0,0.0159613,0.00563257
484,0,0,0,0,0.0214993,0.00192833,0,0,0.0225453,0.0177627,0.0206347,0.0092554,0,0,0.0127135,0,0.0230413,0.011025,0.039468,0.0228756,0.0153574,0.0343262,0.00700039,0.0214723,0.017715,0.0235261,0.0321462,0.0687174,0.0194365,0.0143634,0.0121761,0.0218337,0.0212626,0.00611518,0.0182286,0.00507641,0.0261816,0.0191356,0.013307,0.00393885,0.0209512,0,0,0.00723551,0,0.0186589,0.00504631,0.0616474,0.0118772,0.0133686,0.0242411,0.00436747,0.0308443,0.0176961,0.0647651,0.018401,0.0273182,0.0172653,0.0173938,0.0287139,0.0159447,0.00916209,0.00644375,0.00298239,0.0232031,0,0,0,0,0,0.0157605,0.00542154
485,0,0,0,0,0.0211335,0.00192356,0,0,0.0219393,0.017828,0.0203773,0.00951434,0,0,0.0128169,0,0.0230214,0.0110154,0.0395175,0.0226553,0.0154046,0.0345951,0.00711221,0.0207808,0.0180485,0.0239272,0.0321899,0.0686898,0.0191987,0.0140793,0.0118949,0.0215308,0.0205782,0.00627467,0.0182108,0.005024,0.0260924,0.0191753,0.0133172,0.00425295,0.0206958,0,0,0.00687903,0,0.0186283,0.00476323,0.0617924,0.0121437,0.0136118,0.0240132,0.0047008,0.030601,0.0173293,0.0645819,0.0182483,0.0267061,0.0167928,0.0167785,0.0285502,0.0156217,0.00898597,0.00614704,0.00282733,0.0228397,0,0,0,0,0,0.0154984,0.00513922
486,0,0,0,0,0.0208665,0.00203196,0,0,0.0213189,0.0179262,0.0202439,0.00932364,0,0,0.0126027,0,0.0230131,0.0109134,0.0395288,0.0223229,0.0155126,0.0348856,0.00704628,0.0203743,0.0183658,0.0243019,0.0322105,0.0687163,0.0190474,0.0138506,0.0116386,0.0212401,0.0196103,0.00627536,0.0182506,0.00493715,0.025981,0.0193869,0.0133789,0.00416676,0.0203904,0,0,0.00657916,0,0.01847,0.004596,0.0615941,0.0121305,0.0133493,0.023778,0.00460914,0.0304283,0.0170128,0.0645794,0.017949,0.0262174,0.0163269,0.0162515,0.0284348,0.0154238,0.00880277,0.00582602,0.0026956,0.0223992,0,0,0,0,0,0.0152766,0.00492475
487,0,0,0,0,0.0204683,0.0020993,0,0,0.0205557,0.017938,0.0199037,0.00928608,0,0,0.0125028,0,0.0230432,0.0109084,0.0395781,0.0218824,0.0155234,0.0351639,0.00724179,0.0196668,0.0187391,0.0247244,0.0323305,0.0687435,0.0189445,0.0137091,0.0113104,0.020932,0.0186563,0.00643899,0.0182706,0.00493057,0.0257625,0.0194179,0.0134465,0.00466915,0.0200293,0,0,0.00617982,0,0.0184988,0.00441547,0.0619155,0.0123396,0.0136732,0.0237276,0.00510696,0.0302258,0.0167818,0.0644332,0.0178674,0.0258142,0.0159226,0.0158082,0.0282497,0.0151386,0.00855004,0.00565516,0.00252316,0.0220102,0,0,0,0,0,0.0151402,0.00464097
