Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LTIBP,LILC,BBL,LBHD,LGTR,L5HD,LWRB,LTIBI
257,0,0,0,0,0,0.0319712,0.0385399,0,0,0,0.0310887,0.0251368,0,0.0185565,0,0,0.029587,0.0193876,0.0154809,0.0239402,0.0315748,0.0612073,0.0837269,0.0889139,0.0700855,0.0406121,0.0349408,0.0295861,0.0110428,0.00925968,0.0304966,0,0.0302059,0.0353743,0,0,0.0190766,0,0,0.0330458,0.081785,0.0502481,0.0157098,0.0233359,0.0390882,0.0359603,0.05001,0.0841409,0.0754755,0.0356517,0.061803,0.033042,0.0431796,0.075273,0.0595745,0.0105818,0.011086,0.0169763,0.0179297,0.0250704,0,0,0,0,0.0439438,0.0161838,0,0,0.0895361,0,0.020052,0.03735
258,0,0,0,0,0,0.0320538,0.0383921,0,0,0,0.0314405,0.0250258,0,0.0184539,0,0,0.0296486,0.01908,0.0154101,0.0235877,0.0314308,0.0613072,0.0837158,0.0890366,0.0702428,0.0406289,0.0349402,0.0291777,0.0111253,0.00931011,0.0304849,0,0.0298759,0.0354561,0,0,0.0193574,0,0,0.0329473,0.0813414,0.0496688,0.0159173,0.0236526,0.039223,0.0360282,0.0500826,0.0843826,0.0759436,0.0360007,0.0623698,0.0337197,0.0436781,0.0759157,0.059935,0.0104731,0.0108647,0.0171562,0.0178542,0.0248384,0,0,0,0,0.0439324,0.0162069,0,0,0.0893767,0,0.0200751,0.0372979
259,0,0,0,0,0,0.0321591,0.0383023,0,0,0,0.031788,0.0249616,0,0.018427,0,0,0.0297931,0.0187728,0.0153839,0.0230849,0.0314065,0.0613737,0.0836818,0.0891636,0.0703518,0.040611,0.034921,0.0286891,0.0112283,0.00936158,0.030318,0,0.0295138,0.0355543,0,0,0.0195592,0,0,0.033009,0.0809072,0.0490101,0.0161408,0.0240288,0.0393559,0.036048,0.0501892,0.0847299,0.0763831,0.0363422,0.0629737,0.0343249,0.0442325,0.0764797,0.0602125,0.0103923,0.0106871,0.0173592,0.0177697,0.0246792,0,0,0,0,0.0439091,0.0162783,0,0,0.0892405,0,0.0200675,0.0372046
260,0,0,0,0,0,0.0323416,0.0382766,0,0,0,0.0320741,0.0248988,0,0.0184521,0,0,0.02985,0.0185754,0.0154979,0.0226585,0.031421,0.0614334,0.0836582,0.0892355,0.0704149,0.0405342,0.0348072,0.0281484,0.0112949,0.00930408,0.0300462,0,0.0291274,0.0356357,0,0,0.019792,0,0,0.033067,0.080388,0.0482965,0.0164323,0.0243704,0.0395009,0.0360673,0.0502669,0.0851332,0.0765423,0.036712,0.0635939,0.0348813,0.0447661,0.0769264,0.0599449,0.0103133,0.0105934,0.0174284,0.0176813,0.0246018,0,0,0,0,0.0439939,0.0163777,0,0,0.0892528,0,0.0201641,0.0371912
261,0,0,0,0,0,0.0325553,0.0382727,0,0,0,0.0321362,0.0248677,0,0.0185054,0,0,0.0299236,0.0184558,0.0157416,0.0222466,0.0313957,0.0614957,0.0835954,0.0892605,0.0703597,0.0403821,0.0346376,0.0277168,0.0113422,0.00928851,0.0296018,0,0.028778,0.0357288,0,0,0.019653,0,0,0.0330632,0.0798266,0.0474215,0.0166274,0.0246925,0.0396018,0.0360971,0.0504088,0.0854594,0.0766567,0.0371014,0.0641569,0.0354367,0.0450646,0.0774119,0.0592794,0.0102436,0.0106189,0.0173999,0.017581,0.0244332,0,0,0,0,0.0439107,0.0165182,0,0,0.0892996,0,0.0201596,0.0371015
262,0,0,0,0,0,0.0327603,0.0382133,0,0,0,0.032193,0.0248771,0,0.0185535,0,0,0.0299235,0.0183002,0.015828,0.0218412,0.0313222,0.061523,0.0835043,0.0892834,0.0702,0.0401797,0.0344078,0.027256,0.0113574,0.00927271,0.0294066,0,0.0284304,0.0358594,0,0,0.0195372,0,0,0.0329913,0.0793044,0.0465194,0.016884,0.0250386,0.0397665,0.0360862,0.0505511,0.0857136,0.0768407,0.0372947,0.0643471,0.0359506,0.0454042,0.0779052,0.058658,0.0101642,0.0106191,0.017349,0.0174669,0.0241944,0,0,0,0,0.0437088,0.0167314,0,0,0.0893756,0,0.0201374,0.0369271
263,0,0,0,0,0,0.0329613,0.0381338,0,0,0,0.0322368,0.0248986,0,0.0185563,0,0,0.0299122,0.0181556,0.0158332,0.0213978,0.0312009,0.0615046,0.0834285,0.0893014,0.0700906,0.040018,0.0342023,0.0268932,0.011354,0.00921978,0.029175,0,0.0282298,0.0360679,0,0,0.0192842,0,0,0.0329762,0.0787707,0.0458524,0.0171293,0.0252935,0.0398646,0.0360318,0.050736,0.0859933,0.0768986,0.0374218,0.064766,0.0364758,0.0458961,0.0786058,0.0573605,0.0101338,0.0107558,0.0173061,0.0173905,0.0239441,0,0,0,0,0.0434917,0.0170224,0,0,0.0894885,0,0.0200842,0.0366988
264,0,0,0,0,0,0.0332219,0.038077,0,0,0,0.0323355,0.0247791,0,0.0186429,0,0,0.0298604,0.017985,0.0158446,0.0209671,0.0310092,0.0614461,0.083397,0.0892671,0.0699051,0.0399821,0.0341258,0.0267954,0.0113239,0.00913469,0.0291224,0,0.0277952,0.0363469,0,0,0.0183982,0,0,0.0331212,0.0783107,0.0449127,0.0171167,0.0256005,0.0399325,0.03571,0.0508231,0.086238,0.0767555,0.0372806,0.0654449,0.0370509,0.0463896,0.0793049,0.0553128,0.010237,0.0113219,0.0172212,0.0174231,0.0237814,0,0,0,0,0.0433235,0.0171892,0,0,0.0895845,0,0.0199237,0.0366505
265,0,0,0,0,0,0.0333382,0.038006,0,0,0,0.0324511,0.0248266,0,0.018308,0,0,0.0299987,0.0178415,0.0157677,0.020433,0.0308518,0.0613825,0.0832418,0.0893893,0.0701918,0.0398597,0.0338657,0.0261257,0.0114813,0.00915327,0.0287502,0,0.0274547,0.0365468,0,0,0.019376,0,0,0.0330232,0.0776156,0.0439588,0.0180379,0.0255603,0.0402182,0.0358396,0.0512408,0.0865457,0.0768378,0.0375599,0.0659322,0.0373774,0.0468026,0.0800761,0.0534179,0.0102505,0.0109534,0.0169591,0.0174674,0.0234843,0,0,0,0,0.0431504,0.0177618,0,0,0.0897484,0,0.0200765,0.0364826
266,0,0,0,0,0,0.0335842,0.0379616,0,0,0,0.0326588,0.0248125,0,0.0182703,0,0,0.0300667,0.0176274,0.0157137,0.0200873,0.0307146,0.0612442,0.0831202,0.0894193,0.0702871,0.0398055,0.033726,0.0256958,0.0114946,0.00921569,0.0286849,0,0.0268763,0.0367438,0,0,0.0193304,0,0,0.0331145,0.077017,0.0428944,0.018511,0.0257958,0.0403328,0.03573,0.0514975,0.086668,0.0767971,0.0376786,0.0663723,0.0378316,0.0472299,0.0808073,0.0509599,0.0102795,0.0107498,0.0171365,0.0175158,0.0232315,0,0,0,0,0.0429176,0.0180938,0,0,0.0898285,0,0.0200346,0.0364315
267,0,0,0,0,0,0.0338323,0.0379622,0,0,0,0.0328889,0.0247974,0,0.0182506,0,0,0.0301366,0.0173746,0.0157408,0.0197359,0.0305181,0.0612706,0.0830005,0.089417,0.0703517,0.0396955,0.0336037,0.0253247,0.0115166,0.00926263,0.0288485,0,0.0264339,0.0368834,0,0,0.0192902,0,0,0.0330776,0.0762784,0.0416772,0.0190554,0.0259161,0.0404109,0.0356305,0.051747,0.0867505,0.0768906,0.0378162,0.066774,0.0382198,0.0476587,0.0814302,0.04816,0.0101866,0.0106339,0.0171846,0.0175943,0.0230563,0,0,0,0,0.0427755,0.0184669,0,0,0.0899281,0,0.0199898,0.0362615
268,0,0,0,0,0,0.0340868,0.0379751,0,0,0,0.0331692,0.0247835,0,0.0182052,0,0,0.030075,0.0170815,0.0158234,0.0194552,0.0303244,0.0612904,0.0828981,0.0893981,0.0703586,0.0395811,0.0334618,0.0248771,0.011506,0.00921938,0.0292156,0,0.0261728,0.0370157,0,0,0.0193639,0,0,0.0330588,0.075441,0.0405014,0.0196322,0.025876,0.0404495,0.0355798,0.0519442,0.0869344,0.0769082,0.0380209,0.0671643,0.0386105,0.0480938,0.0820364,0.045214,0.010064,0.0106753,0.0171021,0.0176748,0.0229421,0,0,0,0,0.0427322,0.0188311,0,0,0.0900026,0,0.0199488,0.0361013
269,0,0,0,0,0,0.0343084,0.037941,0,0,0,0.0334784,0.024736,0,0.0181655,0,0,0.0300179,0.016902,0.01603,0.0192936,0.0301611,0.0611883,0.0827476,0.0893484,0.0703271,0.0394893,0.0333204,0.0242587,0.0114647,0.00925991,0.0296372,0,0.0257818,0.0372638,0,0,0.019491,0,0,0.0331128,0.0747859,0.0393508,0.0202308,0.0258075,0.0404201,0.035539,0.052067,0.0873487,0.0769334,0.0383059,0.0676284,0.039052,0.0486343,0.0824236,0.0424416,0.0100241,0.0106852,0.0171495,0.0177341,0.0227222,0,0,0,0,0.0426064,0.0191274,0,0,0.0900442,0,0.0198391,0.0360632
270,0,0,0,0,0,0.0345099,0.0378723,0,0,0,0.0336996,0.0246586,0,0.0180816,0,0,0.029936,0.0168249,0.0161196,0.0190127,0.0299839,0.0610351,0.0825959,0.0892673,0.0702888,0.0394066,0.0331684,0.0236971,0.0114382,0.00933369,0.0301713,0,0.0253394,0.0375529,0,0,0.0195798,0,0,0.0332027,0.0742336,0.0381611,0.0209058,0.0257139,0.0404599,0.0354869,0.0522444,0.0876345,0.0770352,0.0385984,0.0679824,0.0395642,0.0491747,0.0829314,0.0398748,0.010054,0.0107134,0.0171678,0.0177961,0.0223492,0,0,0,0,0.0425636,0.0193379,0,0,0.0901094,0,0.019705,0.0359271
271,0,0,0,0,0,0.0346419,0.0379263,0,0,0,0.0337742,0.0245623,0,0.0179017,0,0,0.0299288,0.0167557,0.0161547,0.0186165,0.029791,0.06095,0.0824833,0.089144,0.0701728,0.0393417,0.0330286,0.0232537,0.0115965,0.00918668,0.0307696,0,0.0250084,0.0376965,0,0,0.0195902,0,0,0.0332361,0.0735208,0.0370221,0.0216973,0.0256253,0.0405127,0.0354422,0.052557,0.0878859,0.077176,0.0389006,0.068441,0.0400373,0.0497565,0.0835523,0.0374278,0.0100731,0.0107618,0.0170903,0.0179563,0.0218033,0,0,0,0,0.0425247,0.0195285,0,0,0.0901908,0,0.019838,0.0357349
272,0,0,0,0,0,0.034675,0.0382615,0,0,0,0.034019,0.0245366,0,0.0159236,0,0,0.0269942,0.0167245,0.0163124,0.0177687,0.0293822,0.0609894,0.0823903,0.0890169,0.0699091,0.0392803,0.0329854,0.0229939,0.0134853,0,0.0313927,0,0.0247727,0.0376852,0,0,0.0196311,0,0,0.0330609,0.0725101,0.0361334,0.022776,0.025473,0.0404075,0.0355354,0.0530924,0.0880577,0.0772771,0.039108,0.0689128,0.0404126,0.0499185,0.0842854,0.035328,0.00978236,0.0107255,0.0169456,0.0183248,0.0213678,0,0,0,0,0.0425155,0.0196703,0,0,0.0902689,0,0.0220621,0.0357688
