Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LTIBP,LILC,BBL,LBHD,LGTR,L5HD,LWRB,LTIBI
233,0,0,0,0,0,0.0341908,0.0391238,0,0,0,0.0304622,0.0227342,0,0.0181701,0,0,0.0299553,0.0168475,0.0182381,0.028765,0.0318448,0.0561892,0.0801576,0.0836689,0.065256,0.0410679,0.0344772,0.027386,0.0117829,0.00913698,0.032985,0,0.0308002,0.0367435,0,0,0.0188219,0,0,0.0337149,0.0825079,0.0590136,0.0262947,0.0247803,0.0383757,0.0341543,0.050884,0.0847648,0.0755823,0.0340279,0.0553211,0.0313864,0.0342038,0.0660064,0.0676558,0.0106808,0.0109926,0.0166455,0.0190063,0.0244447,0,0,0,0,0.0448018,0.019646,0,0,0.0927298,0,0.0193222,0.0370636
234,0,0,0,0,0,0.0341716,0.0390922,0,0,0,0.0304029,0.0223009,0,0.0182327,0,0,0.0300107,0.0167394,0.0184843,0.0285224,0.0319212,0.056572,0.0803841,0.0837377,0.0658068,0.0410129,0.0345598,0.0264443,0.0117731,0.00914759,0.0341119,0,0.0323879,0.0363289,0,0,0.0191425,0,0,0.0334926,0.0834751,0.0601657,0.0258291,0.0248884,0.0382509,0.0342568,0.0507165,0.0844232,0.0752518,0.0338478,0.0552711,0.031811,0.0343014,0.066098,0.0737891,0.0102532,0.0107707,0.0167914,0.0188139,0.0248542,0,0,0,0,0.0442069,0.0190948,0,0,0.0923131,0,0.0194738,0.0369212
235,0,0,0,0,0,0.0336892,0.0390207,0,0,0,0.0292938,0.0222332,0,0.0183506,0,0,0.0299457,0.0170185,0.0189144,0.0285512,0.0318977,0.0574991,0.0808937,0.0844648,0.0666375,0.0414604,0.0352123,0.0267506,0.0116329,0.00915168,0.0349825,0,0.0336194,0.0361192,0,0,0.0191861,0,0,0.0332874,0.084162,0.0611502,0.0252032,0.0249739,0.0381773,0.0344094,0.0506509,0.0841765,0.0750566,0.0337625,0.0554499,0.0317163,0.0347685,0.0666201,0.0783023,0.0100534,0.0106271,0.0169008,0.0187514,0.0254186,0,0,0,0,0.0436233,0.0186436,0,0,0.091445,0,0.0195574,0.0367842
236,0,0,0,0,0,0.0335842,0.0390437,0,0,0,0.0294199,0.022207,0,0.0189187,0,0,0.0290553,0.0175347,0.0186972,0.0277837,0.0307906,0.0586095,0.0824533,0.0858788,0.0673018,0.0419409,0.0358781,0.0263605,0.0108107,0.00959514,0.0302104,0,0.0393405,0.0367204,0,0,0.0179962,0,0,0.0338384,0.0851902,0.0673282,0.0239454,0.021609,0.0393015,0.0348809,0.0503944,0.0831982,0.0762788,0.0357729,0.0549209,0.0314646,0.0350615,0.0662597,0.0741948,0.0103934,0.0102352,0.0165899,0.0189571,0.0247474,0,0,0,0,0.0433718,0.0183629,0,0,0.0901567,0,0.0196389,0.0367093
237,0,0,0,0,0,0.0329647,0.0390293,0,0,0,0.0292522,0.0228064,0,0.0190062,0,0,0.0292332,0.0178976,0.018261,0.0281453,0.0309492,0.0594381,0.0832193,0.0872015,0.0682925,0.0428356,0.03689,0.028499,0.0106153,0.00985494,0.0299124,0,0.0391032,0.0364068,0,0,0.0179187,0,0,0.0338434,0.0853239,0.0674477,0.0229542,0.0213663,0.0393121,0.0354301,0.0502003,0.0829146,0.0762829,0.0357865,0.0551508,0.0306174,0.0354941,0.0667287,0.0734722,0.0105346,0.0105088,0.0165106,0.0188821,0.024978,0,0,0,0,0.0436015,0.0186137,0,0,0.0891891,0,0.0195956,0.0370627
238,0,0,0,0,0,0.032416,0.0390418,0,0,0,0.0282922,0.0237664,0,0.0186625,0,0,0.0299704,0.0174826,0.0176753,0.0289442,0.031725,0.0599592,0.0831487,0.088046,0.0695353,0.0435158,0.037647,0.0333518,0.010975,0.00949902,0.0359752,0,0.0336894,0.0356129,0,0,0.018629,0,0,0.0334005,0.0860571,0.06312,0.0219562,0.0206036,0.0382468,0.0358785,0.0488869,0.080726,0.0741437,0.0350303,0.0566816,0.0281201,0.0369255,0.0689742,0.0826735,0.0105549,0.0111656,0.0170136,0.0187078,0.0256239,0,0,0,0,0.0439455,0.0186647,0,0,0.0889414,0,0.0194421,0.0373502
239,0,0,0,0,0,0.0322483,0.0391339,0,0,0,0.0275095,0.0247191,0,0.0188265,0,0,0.0299329,0.0174624,0.0163784,0.0291866,0.0318935,0.0601835,0.083492,0.0883958,0.069813,0.042923,0.0370962,0.035094,0.0108175,0.00945174,0.0350747,0,0.0336082,0.0353916,0,0,0.0184603,0,0,0.0333323,0.0859875,0.0625481,0.0209478,0.0207057,0.0382632,0.0363112,0.0487094,0.0806283,0.0739074,0.0346847,0.0568048,0.0277815,0.0372799,0.069348,0.0802153,0.0107147,0.0112056,0.0172342,0.0186094,0.0256369,0,0,0,0,0.0434359,0.0187107,0,0,0.0889002,0,0.0195916,0.0367062
240,0,0,0,0,0,0.0321999,0.0391874,0,0,0,0.0271258,0.0250736,0,0.0188686,0,0,0.0299004,0.0174793,0.0158536,0.029361,0.0320518,0.060186,0.0835578,0.0881315,0.0696495,0.0421904,0.0363404,0.0359477,0.0108267,0.00938281,0.0342641,0,0.033605,0.0352968,0,0,0.0178334,0,0,0.0332645,0.0858823,0.0617999,0.0200409,0.020793,0.0381683,0.0364319,0.0485554,0.0803799,0.0736711,0.0342947,0.0567749,0.0275057,0.0374747,0.0695549,0.0774195,0.0108694,0.0114586,0.0174856,0.0185194,0.0256916,0,0,0,0,0.0433278,0.0185319,0,0,0.0892108,0,0.0197284,0.036436
241,0,0,0,0,0,0.0319763,0.0392178,0,0,0,0.0269542,0.025421,0,0.018923,0,0,0.0299025,0.0180209,0.015973,0.0291829,0.0323398,0.0600974,0.0833948,0.0879203,0.0696617,0.0418581,0.0358503,0.0366967,0.0109299,0.00932714,0.0333799,0,0.033718,0.035172,0,0,0.0190913,0,0,0.0327279,0.0857222,0.0610516,0.0199726,0.0206271,0.0382216,0.0366008,0.0485871,0.0803237,0.0737658,0.0344138,0.0565947,0.0272845,0.0375142,0.0696174,0.0746647,0.0106589,0.0109379,0.0172136,0.0184634,0.0256052,0,0,0,0,0.0437268,0.018614,0,0,0.0895803,0,0.0198566,0.0367884
242,0,0,0,0,0,0.031811,0.0391509,0,0,0,0.0270478,0.0256033,0,0.0188868,0,0,0.0298178,0.0187612,0.0161712,0.0289652,0.0325354,0.0599182,0.083259,0.0877584,0.0693678,0.0419788,0.0360155,0.0372198,0.0110359,0.00917196,0.0325576,0,0.0337558,0.0351074,0,0,0.0193299,0,0,0.0327118,0.0855577,0.0602511,0.0198104,0.0205082,0.0381888,0.0363666,0.0485825,0.0802562,0.073847,0.0344985,0.0564734,0.0272531,0.037469,0.069608,0.0719836,0.0106098,0.0107746,0.017328,0.018367,0.0255975,0,0,0,0,0.0439871,0.0185722,0,0,0.089995,0,0.0200227,0.0370355
243,0,0,0,0,0,0.0316125,0.0390886,0,0,0,0.0272274,0.0257457,0,0.0188959,0,0,0.0296634,0.0193351,0.0159659,0.028615,0.0327048,0.0597915,0.0832321,0.0876168,0.0690425,0.041977,0.0361538,0.0371446,0.0110278,0.00905486,0.0318898,0,0.0337847,0.0350466,0,0,0.0195446,0,0,0.0325674,0.0854384,0.059345,0.0196878,0.0204481,0.0381867,0.0361163,0.0485622,0.0801976,0.0739384,0.0346,0.0564621,0.0274205,0.0374482,0.0696517,0.0693393,0.0105995,0.0108014,0.0171695,0.0183118,0.0256892,0,0,0,0,0.0437927,0.0185161,0,0,0.0904504,0,0.0201458,0.0370302
244,0,0,0,0,0,0.0314851,0.0390331,0,0,0,0.0274875,0.0257762,0,0.0189126,0,0,0.0297037,0.0197828,0.0157753,0.0281921,0.032792,0.059832,0.0832832,0.0874925,0.06887,0.0416683,0.0358252,0.0365665,0.0111642,0.00906261,0.0313525,0,0.0337702,0.0349828,0,0,0.0196897,0,0,0.0324407,0.0853773,0.0583612,0.0195019,0.020456,0.0382411,0.0359178,0.0485522,0.0802194,0.0740391,0.0344452,0.056515,0.0276407,0.0374801,0.0697098,0.0667693,0.0105795,0.0108705,0.016978,0.0182506,0.0258099,0,0,0,0,0.0436862,0.01839,0,0,0.090807,0,0.0201542,0.03724
245,0,0,0,0,0,0.0314281,0.0390259,0,0,0,0.0279442,0.0256586,0,0.0188919,0,0,0.0299649,0.0197565,0.0158807,0.0277682,0.0328342,0.05995,0.0833192,0.0875348,0.0688068,0.0413293,0.0353946,0.0357728,0.0111545,0.00919115,0.0308944,0,0.0337085,0.0349061,0,0,0.0196818,0,0,0.032763,0.0853922,0.0575385,0.0191338,0.020554,0.0382963,0.0357396,0.0485133,0.0804361,0.0740715,0.034231,0.0565864,0.0278321,0.0376045,0.0698549,0.0643886,0.0106754,0.0108859,0.0170519,0.0182169,0.0259006,0,0,0,0,0.0437098,0.0181001,0,0,0.0908632,0,0.0200665,0.0374462
246,0,0,0,0,0,0.0313845,0.0390546,0,0,0,0.0284512,0.0255205,0,0.0188709,0,0,0.0301617,0.019565,0.016093,0.0274265,0.0328037,0.0601466,0.0833391,0.087698,0.0689018,0.041151,0.0352368,0.0348879,0.0110223,0.00930278,0.0306164,0,0.0337166,0.0347936,0,0,0.0195076,0,0,0.0328552,0.0854477,0.0567964,0.0186327,0.0207051,0.0383276,0.0356538,0.0484344,0.0808064,0.0739895,0.0341082,0.0565114,0.0280012,0.0377769,0.0700075,0.0622094,0.0107401,0.0108894,0.0170629,0.0182177,0.0259756,0,0,0,0,0.0437049,0.0177548,0,0,0.090646,0,0.0199965,0.037475
