Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,BBL,LTIBP,LWRB,LWRA,LILC,LBHD
50,0,0,0,0,0,0.0318618,0.0397254,0,0,0,0.0316753,0,0.0267463,0,0.0174887,0,0,0.0294767,0.0960731,0.0191982,0.0235686,0.0362777,0.0345643,0.0732113,0.0945366,0.108102,0.0909917,0.0296844,0.0980515,0.100271,0.0586647,0.0135065,0.0478903,0,0.0206978,0.0360088,0,0,0.021129,0,0,0.0333124,0.0756377,0.0238574,0.0206005,0.0213896,0.0432811,0.0372618,0.0706,0.107764,0.0956975,0.0506125,0.0709259,0.0436764,0.0521827,0.0872951,0.0136702,0.00959797,0.0103453,0.0187671,0.0182438,0.0268718,0,0,0,0,0,0.0402424,0.0161881,0.00941957,0.0289318,0
51,0,0,0,0,0,0.0319876,0.0397074,0,0,0,0.0306016,0,0.0270955,0,0.0173415,0,0,0.0294556,0.0956615,0.0190237,0.0227494,0.0361931,0.0345582,0.0729069,0.0943518,0.107934,0.0911986,0.0308653,0.0968918,0.099457,0.055201,0.0133677,0.050337,0,0.0195582,0.0360569,0,0,0.0208908,0,0,0.0333438,0.0755956,0.0241076,0.0203123,0.0208062,0.0436109,0.0372659,0.0702046,0.107885,0.0957808,0.050499,0.070862,0.0439785,0.0518147,0.0871142,0.0151921,0.00949503,0.01042,0.0187083,0.0181486,0.0268244,0,0,0,0,0,0.0392519,0.0162334,0.00953181,0.0287137,0
52,0,0,0,0,0,0.0320817,0.0396736,0,0,0,0.029786,0,0.0273655,0,0.0171427,0,0,0.0293935,0.0954194,0.0189301,0.0221958,0.0359406,0.0346076,0.0724974,0.0936669,0.107673,0.0914534,0.0323673,0.0954656,0.0982988,0.0509199,0.0133714,0.0516681,0,0.0190435,0.036089,0,0,0.0206252,0,0,0.0333698,0.07565,0.0239395,0.0200072,0.0204758,0.0440022,0.0374086,0.0698643,0.107801,0.0958078,0.0506143,0.0708515,0.0443288,0.0518021,0.0869605,0.0160743,0.00973578,0.0104664,0.0186491,0.0180263,0.0268339,0,0,0,0,0,0.0385252,0.0162203,0.00950782,0.0283443,0
53,0,0,0,0,0,0.0321589,0.0396177,0,0,0,0.0295531,0,0.0275953,0,0.0170073,0,0,0.0292854,0.0952933,0.0190877,0.0221085,0.0355555,0.0346997,0.0721504,0.0927327,0.107338,0.0917087,0.0340386,0.0940254,0.0970063,0.0463985,0.0135025,0.0525834,0,0.0187577,0.0361485,0,0,0.0204431,0,0,0.0333462,0.0757906,0.0236585,0.0196229,0.0202506,0.0444416,0.0375962,0.0694703,0.107647,0.0957601,0.0506777,0.0708715,0.0445927,0.0518532,0.0868443,0.0167618,0.00988833,0.0104625,0.0186312,0.0179108,0.0268534,0,0,0,0,0,0.0380621,0.0160583,0.00940671,0.0278182,0
54,0,0,0,0,0,0.0321851,0.0395393,0,0,0,0.0298269,0,0.0276153,0,0.0169423,0,0,0.0291585,0.0952099,0.0196774,0.0226694,0.0350255,0.0347052,0.0718801,0.0916656,0.106966,0.0919514,0.0357932,0.0926732,0.0958752,0.0420245,0.0137225,0.0532999,0,0.0184814,0.0361931,0,0,0.0204209,0,0,0.0332605,0.0759765,0.0232945,0.0191654,0.0201241,0.0448864,0.0377879,0.0691003,0.10737,0.0956306,0.0506617,0.0709042,0.0448502,0.051886,0.0868101,0.0173851,0.0098871,0.0104355,0.0186428,0.0178338,0.0268825,0,0,0,0,0,0.0375458,0.0159558,0.00934977,0.0270962,0
55,0,0,0,0,0,0.0321165,0.0394396,0,0,0,0.0305208,0,0.0275758,0,0.0169208,0,0,0.0290218,0.0951853,0.0205439,0.0240414,0.0343502,0.034393,0.0716906,0.0904682,0.106617,0.0923318,0.0375773,0.0914357,0.095028,0.0383079,0.0139033,0.0540161,0,0.0180945,0.0362435,0,0,0.0205235,0,0,0.033103,0.0761846,0.0229142,0.0187087,0.0200692,0.0452556,0.0379962,0.0687247,0.10697,0.0954329,0.0505949,0.0710085,0.0451751,0.0519357,0.0868524,0.0180176,0.00980424,0.0104478,0.0187401,0.0177999,0.0269542,0,0,0,0,0,0.03705,0.0159087,0.00932574,0.0262164,0
56,0,0,0,0,0,0.0319473,0.0393334,0,0,0,0.0299234,0,0.0282992,0,0.0168392,0,0,0.0289262,0.0952983,0.0220888,0.0262722,0.0335402,0.034089,0.0716906,0.0888112,0.106514,0.0929782,0.0397021,0.0898928,0.0943961,0.0367277,0.0140689,0.054918,0,0.0175982,0.0362716,0,0,0.0206632,0,0,0.0330443,0.0765087,0.0226225,0.0181372,0.0199551,0.0455311,0.0382263,0.0682834,0.106719,0.0952502,0.0505792,0.0711447,0.0454998,0.0519772,0.0869221,0.0188866,0.00976532,0.0103348,0.0189991,0.0177702,0.0270662,0,0,0,0,0,0.0362026,0.0158466,0.00925817,0.0251614,0
57,0,0,0,0,0,0.031665,0.0392421,0,0,0,0.0311366,0,0.0278029,0,0.0167606,0,0,0.0288132,0.0955283,0.0224898,0.0279186,0.0327298,0.033865,0.0717164,0.0873327,0.10629,0.0932648,0.0413076,0.088705,0.0936358,0.0345193,0.0141748,0.0555,0,0.0172974,0.0362441,0,0,0.0207628,0,0,0.033001,0.0766912,0.0222926,0.0179494,0.0198425,0.0457732,0.0385179,0.067845,0.106493,0.0949572,0.0503386,0.0714855,0.0458034,0.0521199,0.087073,0.0192419,0.00982238,0.0103387,0.0191099,0.017659,0.0273545,0,0,0,0,0,0.0359198,0.0157439,0.0092403,0.024515,0
58,0,0,0,0,0,0.0309123,0.0394686,0,0,0,0.0323581,0,0.026972,0,0.0157425,0,0,0.0296629,0.0955788,0.0233895,0.0281371,0.0312462,0.0344238,0.072098,0.0863752,0.106346,0.0935207,0.0423764,0.0876073,0.0925738,0.0340184,0.0150927,0.0511294,0,0.0169612,0.0355469,0,0,0.0213014,0,0,0.0328752,0.077871,0.0235536,0.0170524,0.0179933,0.0446452,0.0388854,0.0663608,0.105208,0.0948155,0.050352,0.0724062,0.0450518,0.0532359,0.0883217,0.0142335,0.00975124,0.0102139,0.0190994,0.0177949,0.0280343,0,0,0,0,0,0.0361746,0.0150286,0.00910374,0.0226712,0
59,0,0,0,0,0,0.0301323,0.0398709,0,0,0,0.0372845,0,0.0233749,0,0.015342,0,0,0.0302944,0.0951246,0.024492,0.0270951,0.0292826,0.0350414,0.0718354,0.0860648,0.105733,0.0927278,0.0409425,0.0892443,0.0924597,0.0367148,0.015448,0.0511974,0,0.0164804,0.035226,0,0,0.0212018,0,0,0.0333916,0.0779387,0.0236047,0.0171331,0.0182383,0.0438195,0.0395673,0.0659041,0.104753,0.0943618,0.049792,0.0725497,0.0451794,0.0533044,0.0883566,0.0138818,0.00977844,0.0096565,0.0185658,0.0181887,0.0282757,0,0,0,0,0,0.0376931,0.0145611,0.00904037,0.0210716,0
