Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x69,x70,x71,x72,RWRB
84,0,0,0,0,0,0,0.02717,0.0466526,0,0,0,0.0354737,0,0.0228772,0,0,0.0688168,0,0,0.0244339,0.0959704,0.0191317,0.0280899,0.0212536,0.0134026,0.0361335,0.0703801,0.0913634,0.10311,0.0839179,0.0296861,0.025129,0.0877632,0.0428202,0.0288602,0.0210518,0.0316701,0.0357346,0.0367973,0,0.0229661,0.0266583,0,0,0.0215342,0,0,0.0372238,0.0650184,0.025675,0.0243953,0.0215702,0.0466931,0.0412221,0.0740791,0.108987,0.0911721,0.0474902,0.0748374,0.0449834,0.0568523,0.0910284,0.0215376,0.011527,0.0122811,0.0255833,0.0254495,0,0,0,0,0.0189071
85,0,0,0,0,0,0,0.0268834,0.0467138,0,0,0,0.0357045,0,0.0219971,0,0,0.0687641,0,0,0.0242923,0.0959426,0.0196856,0.0287583,0.0206937,0.0133128,0.036229,0.0705562,0.0921008,0.103139,0.0837399,0.0298889,0.0253725,0.0877585,0.0436961,0.0288506,0.0211899,0.0318044,0.0357296,0.0370175,0,0.0223182,0.0264804,0,0,0.0217222,0,0,0.0371334,0.0654595,0.0250672,0.0239141,0.0210646,0.0463486,0.0414508,0.073668,0.108984,0.0909717,0.0464881,0.0739917,0.0444535,0.0559522,0.090126,0.022463,0.0116173,0.0123087,0.0256023,0.0257193,0,0,0,0,0.0189562
86,0,0,0,0,0,0,0.0266729,0.0467808,0,0,0,0.0361972,0,0.0207451,0,0,0.0686307,0,0,0.0240749,0.0958407,0.0203437,0.0294382,0.0205094,0.0130049,0.0363212,0.0709298,0.0926459,0.103278,0.0834686,0.030098,0.0257381,0.0877758,0.0446581,0.0282147,0.0214818,0.031965,0.0356592,0.0370633,0,0.0208916,0.0265381,0,0,0.0219571,0,0,0.0370598,0.0656274,0.0231536,0.0237392,0.0204326,0.0459982,0.0417432,0.0736639,0.109445,0.0909971,0.0456889,0.0730169,0.0438209,0.0549798,0.0892653,0.0230688,0.0117737,0.0123438,0.02579,0.0258038,0,0,0,0,0.019058
87,0,0,0,0,0,0,0.0266076,0.0468786,0,0,0,0.0370807,0,0.0193432,0,0,0.0685037,0,0,0.0238239,0.0953493,0.0212819,0.0298892,0.0209553,0.0126925,0.0365567,0.0716503,0.0932494,0.103607,0.0832722,0.03029,0.0261754,0.0878857,0.0457592,0.0269696,0.0219176,0.0321106,0.0356537,0.0366872,0,0.0190009,0.0268366,0,0,0.0222252,0,0,0.0370596,0.0653457,0.0204829,0.0240368,0.019025,0.0461575,0.0421803,0.0743699,0.110629,0.0915715,0.045511,0.0724859,0.0435889,0.0544106,0.0885891,0.0233964,0.0119687,0.0123734,0.0261667,0.0255953,0,0,0,0,0.0192248
88,0,0,0,0,0,0,0.0265545,0.0469648,0,0,0,0.0379059,0,0.0178312,0,0,0.0686639,0,0,0.0235927,0.0940393,0.0225968,0.0295829,0.0218601,0.012487,0.0371866,0.0727664,0.0941474,0.104143,0.0832487,0.0306764,0.0268293,0.0883294,0.0466832,0.0257549,0.022351,0.0324192,0.0357121,0.0371191,0,0.0188532,0.0271695,0,0,0.0225394,0,0,0.0370666,0.0650976,0.0179482,0.0242488,0.01714,0.047157,0.0429729,0.0751073,0.111969,0.0926814,0.0460084,0.073516,0.0448234,0.0549316,0.0887303,0.0236497,0.0121453,0.0123693,0.0264773,0.0250995,0,0,0,0,0.0194905
89,0,0,0,0,0,0,0.0261534,0.0468769,0,0,0,0.0380148,0,0.0162014,0,0,0.0690598,0,0,0.023622,0.0923074,0.0240248,0.0285992,0.0229379,0.0130561,0.0380654,0.0743409,0.0955321,0.104947,0.0833226,0.0315474,0.0278822,0.0885665,0.0471837,0.0252604,0.0226155,0.032836,0.0359279,0.0384353,0,0.0193667,0.0271651,0,0,0.02295,0,0,0.0373111,0.065706,0.0170252,0.0240091,0.01701,0.0485,0.0440003,0.0747706,0.112449,0.0936175,0.0463464,0.0753508,0.0471709,0.0560808,0.0896019,0.023829,0.0123415,0.0123947,0.0263522,0.0246194,0,0,0,0,0.0198506
90,0,0,0,0,0,0,0.0250879,0.0465383,0,0,0,0.0370487,0,0.0149385,0,0,0.0698492,0,0,0.0239803,0.0907493,0.025404,0.0275501,0.0237978,0.0145936,0.0384649,0.0759539,0.0970407,0.105974,0.0836948,0.0324697,0.0290547,0.0885287,0.0473695,0.0261006,0.0224449,0.0329992,0.0362372,0.0382833,0,0.0191114,0.0268648,0,0,0.0234375,0,0,0.0376712,0.0672791,0.019201,0.0231838,0.0198501,0.0491333,0.0448826,0.0731537,0.111512,0.093283,0.0453413,0.0757241,0.0481958,0.0558678,0.0891413,0.025089,0.0127071,0.0124335,0.0257913,0.0247878,0,0,0,0,0.0201062
91,0,0,0,0,0,0,0.0238305,0.0461479,0,0,0,0.0353096,0,0.0142554,0,0,0.070505,0,0,0.0244072,0.0895913,0.0264523,0.0269158,0.0244889,0.016186,0.0383232,0.0771884,0.0982207,0.10704,0.0842933,0.0328144,0.0297648,0.0884045,0.0477182,0.0286665,0.0218972,0.0328164,0.0363921,0.0360881,0,0.0189825,0.0266191,0,0,0.0238678,0,0,0.0377945,0.0690973,0.0230894,0.0219861,0.0227775,0.0488844,0.0454764,0.0711181,0.109574,0.0917192,0.0426855,0.0745263,0.0475073,0.0542867,0.0873993,0.0283971,0.0133203,0.0124654,0.0251722,0.0258436,0,0,0,0,0.0201384
92,0,0,0,0,0,0,0.0228638,0.0459177,0,0,0,0.0334466,0,0.01432,0,0,0.0706367,0,0,0.0247066,0.088989,0.0271033,0.0267523,0.0247241,0.0171218,0.0382489,0.0782376,0.0989916,0.108143,0.0849471,0.0325949,0.029766,0.0885202,0.0483774,0.0327432,0.0211686,0.0324141,0.0363562,0.0338856,0,0.0193446,0.026532,0,0,0.0242213,0,0,0.037749,0.0707398,0.0267443,0.0207092,0.0241052,0.0481265,0.0458102,0.0692996,0.107275,0.0897953,0.0398696,0.0729449,0.0460853,0.0526251,0.0856885,0.0329913,0.0139484,0.0124478,0.0246191,0.027369,0,0,0,0,0.0200181
93,0,0,0,0,0,0,0.0222572,0.0458654,0,0,0,0.0319626,0,0.0150484,0,0,0.0701915,0,0,0.0248097,0.0889205,0.0274918,0.0267945,0.0248851,0.0174717,0.0387025,0.0792534,0.0996129,0.109197,0.0857068,0.0323127,0.0295006,0.088671,0.0490199,0.0375365,0.0204273,0.0320554,0.0362626,0.0332601,0,0.0199269,0.0263874,0,0,0.0244416,0,0,0.037625,0.0719709,0.0293588,0.0195956,0.0244918,0.047385,0.0459415,0.0678113,0.10517,0.088413,0.0384045,0.071928,0.044907,0.0517666,0.0849194,0.0365372,0.0143183,0.0124171,0.0242292,0.0287337,0,0,0,0,0.0198535
