Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x69,x70,x71,x72,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0307376,0.0424812,0,0,0,0.0330851,0,0.0224107,0,0,0.0212259,0,0,0.0292327,0.0907636,0.0242276,0.0155791,0.0188964,0.0272311,0.0359838,0.0655196,0.087457,0.0951692,0.0739945,0.0350988,0.0294349,0.0374009,0.0436818,0.0444667,0.0111543,0.00959568,0.0178986,0.0357963,0,0.0242542,0.0355585,0,0,0.0281779,0,0,0.034801,0.0769775,0.039695,0.0190234,0.0230621,0.0390383,0.0411798,0.0606579,0.0965031,0.0844276,0.0401461,0.0660931,0.0382571,0.046766,0.0796899,0.0403326,0.0205962,0.0219501,0.0261876,0.0225296,0,0,0,0,0.026399
0,0,0,0,0,0,0,0.0265827,0.0451528,0,0,0,0.0288803,0,0.020815,0,0,0.0238069,0,0,0.0296525,0.0872844,0.0322715,0.0243182,0.017513,0.0232897,0.0382864,0.071452,0.0902954,0.0999278,0.0770573,0.031556,0.0257291,0.0340349,0.0423281,0.0531092,0.00996025,0.00986444,0.0186208,0.0372692,0,0.0219079,0.0337325,0,0,0.0519513,0,0,0.0286358,0.0758778,0.0343547,0.0170706,0.0266754,0.0448849,0.0437555,0.0591332,0.0961013,0.0808608,0.0361493,0.0701819,0.0435967,0.0497822,0.0829963,0.0349157,0.0198159,0.0246348,0.0269843,0.024033,0,0,0,0,0
1,0,0,0,0,0,0,0.0269966,0.0453786,0,0,0,0.0289416,0,0.0219915,0,0,0.0236758,0,0,0.0295101,0.0882286,0.0335766,0.0233509,0.0185482,0.0232335,0.0386617,0.0715785,0.0905132,0.100333,0.0773835,0.0318645,0.0255964,0.0346021,0.0431288,0.0568239,0.0101478,0.00975657,0.0186918,0.0360591,0,0.0218812,0.0337869,0,0,0.0485949,0,0,0.0278923,0.0757818,0.0341976,0.0163913,0.0260187,0.0443822,0.0432005,0.0595971,0.0965414,0.0820489,0.0363887,0.0694802,0.0429838,0.0490677,0.0824247,0.0354851,0.01843,0.0237796,0.0270753,0.024016,0,0,0,0,0
2,0,0,0,0,0,0,0.0272669,0.045442,0,0,0,0.0291213,0,0.0223265,0,0,0.0236072,0,0,0.0293859,0.0889468,0.0344479,0.0222105,0.0190085,0.0233521,0.0388017,0.0715011,0.0903937,0.100353,0.0771968,0.0321233,0.0257827,0.0351706,0.0436083,0.0584946,0.0102448,0.00968893,0.018694,0.0346343,0,0.021866,0.0339605,0,0,0.0455553,0,0,0.0273855,0.0754848,0.0338685,0.0162192,0.0262815,0.0443669,0.0426282,0.0606561,0.0978907,0.0833997,0.0368301,0.0691344,0.0428318,0.0486137,0.0818255,0.0367748,0.0172806,0.0233411,0.0270815,0.0240094,0,0,0,0,0
3,0,0,0,0,0,0,0.0274671,0.0453638,0,0,0,0.029349,0,0.0221421,0,0,0.0236121,0,0,0.0292948,0.0893274,0.0348673,0.0209265,0.0193099,0.0235875,0.0388043,0.0712642,0.0902025,0.100163,0.0766977,0.0325456,0.0263374,0.0360687,0.0442351,0.0589506,0.0103852,0.00963976,0.0186859,0.033045,0,0.0219846,0.0342284,0,0,0.0429486,0,0,0.0270705,0.0750474,0.0336972,0.0162947,0.0271688,0.0446872,0.0421165,0.061728,0.099334,0.0845591,0.0371244,0.0690126,0.0428074,0.0483258,0.0813024,0.0394728,0.0163297,0.0229529,0.0271441,0.0239103,0,0,0,0,0
4,0,0,0,0,0,0,0.0276918,0.0452448,0,0,0,0.0296472,0,0.0218052,0,0,0.0236817,0,0,0.0292365,0.0894674,0.0348256,0.0195556,0.0199179,0.0239748,0.0387554,0.0709079,0.0899457,0.100036,0.0761909,0.0333524,0.0271109,0.0371244,0.0453273,0.0590261,0.0106038,0.00959301,0.0186788,0.0314781,0,0.0222558,0.0345215,0,0,0.0405554,0,0,0.0268432,0.0747218,0.034111,0.016369,0.0276967,0.0451423,0.041671,0.0620883,0.0998772,0.0851254,0.0370414,0.0689484,0.0428381,0.0481777,0.0811332,0.0435963,0.0155854,0.0226806,0.0272804,0.0236014,0,0,0,0,0
5,0,0,0,0,0,0,0.0279157,0.0452151,0,0,0,0.0301171,0,0.0212655,0,0,0.0237669,0,0,0.0291325,0.0895113,0.0344964,0.018274,0.0207896,0.024431,0.0387806,0.0704658,0.0895961,0.100191,0.0758127,0.0345183,0.0282932,0.0382842,0.0467085,0.0587396,0.0108639,0.00955729,0.018709,0.0302485,0,0.0227684,0.0347586,0,0,0.0384233,0,0,0.0266929,0.0747062,0.0351776,0.0162923,0.0273673,0.0454263,0.041371,0.0616797,0.0995211,0.0850581,0.0367568,0.0688944,0.0427453,0.0480993,0.0810855,0.04829,0.0150726,0.0224077,0.0274716,0.0230904,0,0,0,0,0
6,0,0,0,0,0,0,0.0281851,0.045152,0,0,0,0.0307151,0,0.0206165,0,0,0.0236821,0,0,0.0289921,0.0895275,0.0340485,0.0170598,0.0214892,0.0249473,0.0386516,0.0700712,0.0892323,0.100271,0.0756132,0.0358295,0.0297152,0.0398246,0.0480798,0.0582177,0.0110961,0.00953677,0.0187373,0.0296014,0,0.0233376,0.0349124,0,0,0.0361273,0,0,0.0266491,0.0750605,0.0364689,0.0159311,0.0270626,0.0453281,0.0411513,0.0609879,0.0988275,0.0846211,0.0364667,0.0688374,0.0425874,0.0479634,0.0809069,0.0528416,0.0147909,0.0222422,0.0276733,0.0225764,0,0,0,0,0
7,0,0,0,0,0,0,0.0284999,0.0449501,0,0,0,0.0313047,0,0.0199896,0,0,0.023444,0,0,0.0289034,0.0896222,0.0336058,0.0160981,0.0219178,0.025445,0.0381988,0.0697378,0.0889269,0.10024,0.0755612,0.0370927,0.0310605,0.0412083,0.0493267,0.0575492,0.0110635,0.00955622,0.0186712,0.0292512,0,0.0240365,0.0349867,0,0,0.0337782,0,0,0.0267386,0.0755581,0.0379331,0.0154361,0.0275893,0.0448162,0.0410232,0.0604167,0.0981322,0.0840369,0.0362795,0.0687138,0.042414,0.0477917,0.0806765,0.0562705,0.0146131,0.022173,0.0278611,0.0222518,0,0,0,0,0
8,0,0,0,0,0,0,0.0288148,0.0451636,0,0,0,0.0318095,0,0.0195563,0,0,0.0229678,0,0,0.0289435,0.0897695,0.0331954,0.0151766,0.0221699,0.0261199,0.0376707,0.0695951,0.0887399,0.100316,0.0758471,0.0380265,0.0320662,0.042013,0.0501423,0.0567086,0.0107482,0.00958782,0.0186179,0.0289901,0,0.0247405,0.0355016,0,0,0.0358296,0,0,0.02935,0.0759944,0.0394265,0.0148387,0.0283948,0.0440382,0.0415095,0.0600387,0.0976313,0.083456,0.0360943,0.0684059,0.0421443,0.047518,0.0803845,0.0582077,0.0131924,0.0129978,0.0281636,0.0217682,0,0,0,0,0.0233273
