Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LBHD
29,0,0,0,0,0,0,0.0403113,0.0447919,0,0,0,0.143783,0,0.0634552,0,0.0143841,0,0,0.0269955,0.107049,0.278877,0.00887304,0.0166318,0.0365775,0.0235202,0.0753256,0.0851938,0.106945,0.0924954,0.041592,0.0405527,0.0684128,0.0867859,0.174713,0.0164074,0.00943773,0.0147013,0.0438641,0,0.0172906,0.0403716,0,0,0.0154114,0,0,0.0348001,0.0773114,0.0321644,0.0153993,0.0148996,0.0381329,0.0297517,0.0610696,0.0960895,0.0869662,0.0437062,0.0686883,0.0375457,0.0503882,0.0829171,0.00683162,0.0135618,0.00958055,0.0156252,0.0252552,0.0180198,0,0,0,0,0
30,0,0,0,0,0,0,0.0387149,0.0454236,0,0,0,0.139794,0,0.0686257,0,0.0141033,0,0,0.0270928,0.1089,0.277846,0.011249,0.0183076,0.0396999,0.0250081,0.0764202,0.0873665,0.107892,0.0934302,0.0423046,0.0421777,0.0670289,0.0882035,0.178335,0.016189,0.00981429,0.0146633,0.051136,0,0.0179231,0.0395241,0,0,0.0144343,0,0,0.0356078,0.0761447,0.0347642,0.0143815,0.0165965,0.0392756,0.0297035,0.0603469,0.0970397,0.0866171,0.0408401,0.0667918,0.0364775,0.0479972,0.0802034,0.011329,0.0130268,0.00934263,0.014838,0.0253321,0.0191378,0,0,0,0,0
31,0,0,0,0,0,0,0.037659,0.0448668,0,0,0,0.130521,0,0.0732153,0,0.0144173,0,0,0.0267579,0.107271,0.276131,0.0124368,0.0164191,0.0410644,0.0261632,0.0775533,0.0884688,0.109072,0.0939186,0.0389202,0.0418486,0.0644032,0.0843645,0.186593,0.0156483,0.00951809,0.0151732,0.0507931,0,0.017772,0.0388312,0,0,0.0146082,0,0,0.0353622,0.0774901,0.0358045,0.014382,0.0159694,0.0406739,0.0300658,0.0597387,0.0961614,0.0866225,0.0404968,0.0663601,0.0361772,0.0472822,0.0793081,0.00966875,0.0129396,0.00979352,0.0153732,0.0245148,0.0201795,0,0,0,0,0
32,0,0,0,0,0,0,0.0367869,0.0445655,0,0,0,0.125033,0,0.0767419,0,0.0146671,0,0,0.0267767,0.111147,0.27226,0.016382,0.017604,0.0421668,0.0264512,0.0772006,0.0868374,0.108027,0.0936712,0.0361459,0.0401302,0.0635707,0.0818766,0.190159,0.0154002,0.00939984,0.0153019,0.0469086,0,0.0173528,0.038242,0,0,0.0142963,0,0,0.0357542,0.0796077,0.034428,0.0151151,0.0138154,0.0422347,0.0296906,0.0601322,0.0954382,0.0877631,0.0428112,0.0666516,0.0360547,0.0477457,0.0796718,0.00772086,0.0128077,0.0102246,0.015109,0.0241011,0.0212565,0,0,0,0,0
33,0,0,0,0,0,0,0.0353065,0.0439811,0,0,0,0.121195,0,0.0798225,0,0.0155755,0,0,0.0269418,0.112834,0.267329,0.0214736,0.0217861,0.0448024,0.0276412,0.0751295,0.0860446,0.106444,0.0909545,0.0330567,0.0374665,0.0627614,0.0799192,0.192174,0.0144918,0.00947924,0.0155699,0.0497788,0,0.0220106,0.037696,0,0,0.0143812,0,0,0.035669,0.0821177,0.0408303,0.0186896,0.0154328,0.0427123,0.0290564,0.0584381,0.095456,0.0889884,0.0428125,0.0640813,0.0340955,0.0446742,0.0765852,0.00889698,0.0132808,0.0111293,0.0150684,0.0234574,0.0232574,0,0,0,0,0
34,0,0,0,0,0,0,0.0352773,0.0434346,0,0,0,0.112441,0,0.0846911,0,0.0160216,0,0,0.0272277,0.114108,0.269757,0.024811,0.0255715,0.0457533,0.0279156,0.0729687,0.085676,0.105712,0.0886614,0.0285462,0.0283481,0.0621385,0.0794034,0.191922,0.0142556,0.00930971,0.0156722,0.0547488,0,0.0208903,0.0384461,0,0,0.0149945,0,0,0.0352008,0.0827593,0.0400197,0.0201003,0.0169668,0.0418955,0.0285313,0.0601567,0.0971144,0.0895572,0.0432125,0.0631565,0.0354526,0.04297,0.0753928,0.0103576,0.014005,0.0117915,0.0152798,0.0234159,0.024157,0,0,0,0,0
35,0,0,0,0,0,0,0.0353923,0.0434076,0,0,0,0.108106,0,0.0879549,0,0.0160661,0,0,0.0272473,0.115355,0.261577,0.0269792,0.0275599,0.0459779,0.0281505,0.072094,0.0858889,0.104938,0.0870135,0.0296503,0.0317225,0.0639047,0.0787922,0.201323,0.0142298,0.00923293,0.0156929,0.0541199,0,0.022637,0.039129,0,0,0.0150494,0,0,0.0351435,0.0853918,0.0416828,0.0222493,0.0176831,0.0414237,0.0284599,0.0595346,0.0963637,0.0891852,0.0433715,0.0622301,0.0350158,0.0420561,0.0746927,0.00849361,0.0140193,0.0117177,0.0152285,0.023818,0.0241776,0,0,0,0,0
36,0,0,0,0,0,0,0.0357622,0.0436905,0,0,0,0.100912,0,0.0887989,0,0.0158319,0,0,0.0270908,0.115823,0.26297,0.0278477,0.0279438,0.0458329,0.0285633,0.0720782,0.0860093,0.104779,0.0867145,0.0302456,0.0329219,0.0637723,0.0779436,0.204961,0.0144337,0.00906933,0.0158034,0.0534539,0,0.0242812,0.0391875,0,0,0.0152776,0,0,0.0348446,0.0878375,0.0427781,0.0233515,0.0188342,0.0410816,0.0285208,0.0587501,0.095258,0.0883526,0.0430102,0.0613846,0.0344108,0.0411987,0.0739198,0.00803298,0.0138692,0.0115129,0.0151994,0.0243339,0.0238059,0,0,0,0,0
37,0,0,0,0,0,0,0.036643,0.0442183,0,0,0,0.0889204,0,0.0880332,0,0.015578,0,0,0.0268796,0.115311,0.269015,0.0268811,0.0290871,0.0449411,0.0282208,0.0724124,0.085596,0.104467,0.086599,0.0305917,0.0332484,0.0622771,0.0762015,0.207874,0.0148294,0.00891767,0.0157873,0.0500182,0,0.025005,0.0390395,0,0,0.015678,0,0,0.0344992,0.091235,0.0420471,0.0223283,0.0170074,0.0413629,0.0286801,0.0573151,0.0924804,0.0869883,0.0435567,0.0617885,0.0327147,0.0422459,0.0748822,0.0137602,0.0137005,0.011329,0.0152205,0.0248301,0.0230021,0,0,0,0,0
38,0,0,0,0,0,0,0.0301619,0.043133,0,0,0,0.0496172,0,0.0593994,0,0.0170662,0,0,0.026423,0.110458,0.283903,0.0313123,0.0392186,0.0449576,0.0305195,0.0639346,0.0717678,0.0928735,0.0766636,0.0424009,0.0416476,0.0476211,0.0532355,0.239674,0.0128111,0.0090688,0.0165836,0.048422,0,0.0261609,0.0346441,0,0,0.01607,0,0,0.0356145,0.0887542,0.0430749,0.0172803,0.021285,0.0466996,0.0343917,0.0566594,0.0927598,0.0850288,0.0392666,0.0618014,0.0326944,0.0424017,0.0748603,0.0184733,0.0111498,0.0113417,0.0163743,0.0220025,0.0272727,0,0,0,0,0
39,0,0,0,0,0,0,0.0291641,0.0430019,0,0,0,0.0504113,0,0.0535154,0,0.0172404,0,0,0.0264349,0.10791,0.283308,0.033569,0.0382718,0.0453116,0.031168,0.0643458,0.072772,0.0929296,0.0773655,0.0428556,0.0410084,0.0455409,0.0501445,0.247001,0.0125727,0.0090732,0.0165579,0.0485323,0,0.0263047,0.0335882,0,0,0.0166409,0,0,0.0356164,0.0889631,0.0431843,0.0175587,0.0213419,0.0475619,0.0350923,0.0567432,0.0926093,0.084756,0.0388554,0.0617668,0.0320618,0.0427927,0.0752179,0.0202637,0.010649,0.0114111,0.0164699,0.0213397,0.027787,0,0,0,0,0
40,0,0,0,0,0,0,0.0269444,0.0424599,0,0,0,0.0533557,0,0.0554593,0,0.0175007,0,0,0.0266494,0.105824,0.285088,0.0354538,0.03416,0.045936,0.0325541,0.0647369,0.0754867,0.0939505,0.0775488,0.041109,0.0366256,0.0451814,0.0495685,0.250594,0.0121579,0.00905353,0.017022,0.0502938,0,0.0256004,0.032104,0,0,0.0171834,0,0,0.0352607,0.0900677,0.044008,0.015879,0.0218892,0.0479404,0.0361665,0.0560796,0.0922582,0.0850897,0.0388385,0.0615176,0.0322556,0.0426108,0.0748196,0.0186953,0.0109034,0.0114869,0.0174336,0.0201189,0.0292307,0,0,0,0,0
41,0,0,0,0,0,0,0.0259207,0.0420885,0,0,0,0.0527106,0,0.0546323,0,0.0179414,0,0,0.0266035,0.104613,0.28589,0.0367857,0.0327886,0.0464441,0.0330946,0.0657018,0.0768835,0.0953774,0.0787932,0.0413343,0.0367121,0.044544,0.0486705,0.25203,0.0117323,0.00918074,0.0170781,0.0495893,0,0.0250256,0.0315023,0,0,0.0171273,0,0,0.0353189,0.0900519,0.0443165,0.0158879,0.0211745,0.0486632,0.0369338,0.056181,0.0922515,0.085339,0.0388534,0.0614961,0.0320586,0.0429469,0.0749895,0.0184647,0.0112224,0.0116678,0.0175458,0.0195645,0.0297887,0,0,0,0,0
42,0,0,0,0,0,0,0.025465,0.0418878,0,0,0,0.0497866,0,0.0549711,0,0.0182346,0,0,0.0266154,0.104131,0.287093,0.0373125,0.0307944,0.0467617,0.0334346,0.0663973,0.0774423,0.0966269,0.0800612,0.0414257,0.0368379,0.0445709,0.0488233,0.251653,0.011417,0.0093166,0.017118,0.0480242,0,0.0245962,0.0312957,0,0,0.0171327,0,0,0.0353819,0.0899289,0.0445648,0.0159559,0.0206412,0.0491163,0.0375313,0.0563825,0.0923112,0.0856954,0.0389183,0.0615037,0.0318263,0.0431894,0.0750937,0.0190864,0.0117755,0.0117872,0.0176835,0.0193613,0.0301811,0,0,0,0,0
43,0,0,0,0,0,0,0.0254609,0.0418568,0,0,0,0.0471337,0,0.0569991,0,0.018358,0,0,0.0266142,0.104668,0.28842,0.0368112,0.0289596,0.0468277,0.0336283,0.0663576,0.0768864,0.0971511,0.0806914,0.0415737,0.0370667,0.0457361,0.0505495,0.249251,0.0112508,0.00938207,0.0170931,0.045728,0,0.0245107,0.0314078,0,0,0.0173754,0,0,0.0353752,0.0897824,0.0448162,0.015727,0.0205928,0.0493185,0.0377835,0.056609,0.0925419,0.0858977,0.0388633,0.0615024,0.0318541,0.043369,0.0751452,0.0213836,0.0121694,0.0119354,0.017623,0.0194551,0.0303018,0,0,0,0,0
44,0,0,0,0,0,0,0.0255705,0.041856,0,0,0,0.0458176,0,0.0586887,0,0.0183372,0,0,0.0266449,0.105555,0.289292,0.0360302,0.0281412,0.0466118,0.0337257,0.065742,0.076104,0.096991,0.0805813,0.0415551,0.0371294,0.0468841,0.0520314,0.247116,0.0112703,0.00934858,0.0171598,0.0426459,0,0.024938,0.0316582,0,0,0.0175831,0,0,0.0353548,0.0896412,0.0451698,0.0153705,0.0207852,0.0493349,0.0378055,0.0569106,0.0928415,0.085982,0.0387707,0.0614931,0.0321006,0.0435175,0.0751925,0.0257513,0.0123139,0.0119443,0.0176276,0.0195786,0.0301763,0,0,0,0,0
45,0,0,0,0,0,0,0.0256257,0.0418337,0,0,0,0.0451347,0,0.0599644,0,0.0182839,0,0,0.0266857,0.106515,0.289782,0.0352809,0.028521,0.0462625,0.0337898,0.0650201,0.0756129,0.0964853,0.079985,0.0411856,0.0369455,0.0474305,0.0526201,0.245672,0.0114187,0.00933284,0.0172101,0.0392051,0,0.0257497,0.031918,0,0,0.0178702,0,0,0.0352494,0.0894256,0.045803,0.0149729,0.0211633,0.0493824,0.0376937,0.0571382,0.0928759,0.086032,0.0385762,0.0616233,0.0325712,0.0435898,0.0752607,0.0318373,0.0122616,0.0119012,0.0175145,0.0196821,0.0300252,0,0,0,0,0
46,0,0,0,0,0,0,0.0264965,0.0419372,0,0,0,0.0460389,0,0.0571829,0,0.0187469,0,0,0.0260505,0.108127,0.288207,0.0346915,0.0319731,0.0456089,0.0329999,0.0645657,0.0744177,0.0957051,0.0795761,0.0424457,0.0404459,0.0470208,0.0522317,0.244329,0.0111352,0.00941283,0.0171228,0.0363958,0,0.0266778,0.0328833,0,0,0.0172913,0,0,0.0358161,0.0876677,0.0462641,0.0165043,0.0216003,0.050488,0.0372965,0.058691,0.0943996,0.0866868,0.0386397,0.0615178,0.0331666,0.0433059,0.075002,0.0371239,0.0117706,0.0117607,0.0164516,0.0201605,0.0290763,0,0,0,0,0
47,0,0,0,0,0,0,0.0264513,0.041848,0,0,0,0.0460267,0,0.0578007,0,0.0188769,0,0,0.0259825,0.108872,0.288291,0.0341844,0.032121,0.0449958,0.032906,0.0641727,0.0741011,0.0954768,0.0791404,0.0418804,0.0400063,0.046821,0.0523214,0.24356,0.0112211,0.00939213,0.017155,0.0339047,0,0.0275842,0.0329313,0,0,0.0173091,0,0,0.0357961,0.0871104,0.0475733,0.0162144,0.0225786,0.0508049,0.0371554,0.0590233,0.0950629,0.0870351,0.0384951,0.0617916,0.0339565,0.0433215,0.0749324,0.0430062,0.0117321,0.0117027,0.0163915,0.0200454,0.029195,0,0,0,0,0
48,0,0,0,0,0,0,0.0263493,0.0418593,0,0,0,0.0459751,0,0.0581912,0,0.0190539,0,0,0.0259721,0.109281,0.288258,0.0335733,0.0319675,0.0443144,0.032798,0.0640412,0.0740407,0.0954933,0.0789868,0.0414773,0.0396895,0.0467394,0.052286,0.243166,0.0112129,0.00942109,0.0171159,0.0320188,0,0.0281924,0.0328742,0,0,0.0171981,0,0,0.0358471,0.0865677,0.0488107,0.0156813,0.0238197,0.0510627,0.0370754,0.0594099,0.09573,0.0873579,0.0383675,0.0620832,0.0348097,0.0433855,0.0749486,0.0482508,0.0116508,0.0116502,0.0163654,0.0195022,0.0293636,0,0,0,0,0
49,0,0,0,0,0,0,0.0262707,0.041881,0,0,0,0.0458679,0,0.058289,0,0.019197,0,0,0.02597,0.109383,0.288119,0.0330069,0.0317262,0.0437004,0.0326797,0.0641028,0.0742055,0.0957106,0.0789692,0.0411803,0.0393979,0.0467143,0.0522586,0.243241,0.0111071,0.0094609,0.0170641,0.0308961,0,0.0284954,0.0328648,0,0,0.0169566,0,0,0.0359807,0.0859638,0.0496703,0.0150125,0.0248605,0.0513136,0.0370662,0.0599641,0.0964113,0.0875508,0.0381852,0.0624538,0.0354241,0.0436085,0.0751278,0.0521681,0.0114945,0.0116553,0.0162927,0.0192012,0.0295127,0,0,0,0,0
50,0,0,0,0,0,0,0.0267093,0.0420604,0,0,0,0.0456117,0,0.0579678,0,0.0191483,0,0,0.025841,0.109308,0.288023,0.0327489,0.0315145,0.0428876,0.0319609,0.0644875,0.0744054,0.0959724,0.0792194,0.0409537,0.0390563,0.0465988,0.0520881,0.244093,0.0110213,0.00947963,0.0169189,0.0302102,0,0.0295528,0.0332067,0,0,0.0164481,0,0,0.0362307,0.0862982,0.0519658,0.0154112,0.02035,0.0518191,0.0369111,0.0595221,0.0951641,0.0869216,0.0384894,0.0629833,0.0346278,0.0445452,0.0761219,0.0598517,0.0113124,0.0116121,0.0161613,0.0193811,0.0291216,0,0,0,0,0
51,0,0,0,0,0,0,0.0261465,0.0419622,0,0,0,0.0454982,0,0.0571428,0,0.0191817,0,0,0.0259239,0.109044,0.287856,0.032333,0.0309252,0.0427262,0.0323965,0.0643255,0.0743566,0.0960322,0.0790963,0.0406955,0.0388887,0.0463978,0.0518185,0.245173,0.0109158,0.00945249,0.0170124,0.0305618,0,0.0283892,0.0328106,0,0,0.0164324,0,0,0.0362606,0.0845977,0.0502167,0.0138618,0.026018,0.0517336,0.0371377,0.0612629,0.097814,0.0877732,0.037742,0.06365,0.0363284,0.0447235,0.076187,0.0554591,0.0112217,0.0117319,0.0163549,0.0190066,0.0297136,0,0,0,0,0
52,0,0,0,0,0,0,0.0261226,0.0420353,0,0,0,0.045401,0,0.0563189,0,0.0191723,0,0,0.025892,0.108824,0.287616,0.0319234,0.0304906,0.0422511,0.0323764,0.0643162,0.0743539,0.0961377,0.0792284,0.0404311,0.0386713,0.0461448,0.0514089,0.246392,0.01089,0.00945274,0.0169938,0.0309469,0,0.0277871,0.0327793,0,0,0.0162711,0,0,0.036289,0.0839179,0.049569,0.013179,0.026217,0.0518866,0.037183,0.0618056,0.0984397,0.0879531,0.0375625,0.0644785,0.0368089,0.0455947,0.0770758,0.0551176,0.0111937,0.0118336,0.0163813,0.0189489,0.0297936,0,0,0,0,0
53,0,0,0,0,0,0,0.0261039,0.0421458,0,0,0,0.0453494,0,0.0553502,0,0.0191339,0,0,0.0258698,0.108719,0.287414,0.0316991,0.0300963,0.0418166,0.0323415,0.0641128,0.0742563,0.0961858,0.0794168,0.0401462,0.0383214,0.0457744,0.0508505,0.247939,0.0109192,0.00943234,0.0169701,0.0314881,0,0.0272985,0.0327557,0,0,0.0162678,0,0,0.036289,0.083149,0.0487037,0.0127563,0.0262179,0.0520749,0.0373001,0.0623139,0.0989839,0.0880527,0.0374697,0.0652753,0.037242,0.0464743,0.0780078,0.0538764,0.0111941,0.0118636,0.0164188,0.0188955,0.0299128,0,0,0,0,0
54,0,0,0,0,0,0,0.0260551,0.0422822,0,0,0,0.0453594,0,0.0542189,0,0.0191093,0,0,0.0258361,0.10868,0.287257,0.0315793,0.0296881,0.0414519,0.0323928,0.0638097,0.0740381,0.0961674,0.0795564,0.0398207,0.0379238,0.0453657,0.0501977,0.249485,0.0109318,0.00938078,0.0169697,0.0322347,0,0.0268897,0.0327657,0,0,0.0164023,0,0,0.036214,0.0823825,0.0476607,0.012432,0.0260453,0.0522586,0.0375073,0.0627456,0.0994309,0.0881103,0.0374281,0.0659347,0.0376626,0.0471742,0.0787943,0.0519524,0.0111685,0.011915,0.0164498,0.0188282,0.0300423,0,0,0,0,0
55,0,0,0,0,0,0,0.0264917,0.0425594,0,0,0,0.0453397,0,0.0531873,0,0.0190012,0,0,0.0256855,0.108754,0.287233,0.0318721,0.0294273,0.0408916,0.0320215,0.0637979,0.0739114,0.0961887,0.0798107,0.039505,0.0375639,0.0449421,0.0494712,0.250947,0.0109248,0.00930502,0.0169116,0.032048,0,0.0272022,0.0331567,0,0,0.0164546,0,0,0.0361973,0.082379,0.0478218,0.0138764,0.020429,0.0528844,0.0375724,0.0620883,0.0977995,0.0874704,0.0381007,0.0665571,0.0371034,0.0483305,0.0801161,0.0554085,0.0111639,0.0118941,0.0164128,0.0190353,0.0296102,0,0,0,0,0
56,0,0,0,0,0,0,0.0264159,0.0427039,0,0,0,0.0453782,0,0.0521146,0,0.0189711,0,0,0.0256513,0.108858,0.287158,0.0320091,0.0291081,0.0407151,0.0322983,0.06363,0.0738039,0.0961447,0.0798873,0.0391777,0.0371758,0.0443863,0.0486879,0.252422,0.0109222,0.00922988,0.016983,0.0325533,0,0.0267426,0.0331727,0,0,0.0167892,0,0,0.0361167,0.081615,0.046634,0.0139429,0.0201261,0.0531983,0.0377944,0.06236,0.0981434,0.0874716,0.0381196,0.0668539,0.0374114,0.0486363,0.0805465,0.0526795,0.0112774,0.0118948,0.0165474,0.0189297,0.0296354,0,0,0,0,0
57,0,0,0,0,0,0,0.0263818,0.0428276,0,0,0,0.0454432,0,0.0510967,0,0.0190077,0,0,0.0256548,0.108994,0.287038,0.0320097,0.028936,0.0405168,0.032579,0.0634715,0.073761,0.0961006,0.079864,0.0388777,0.0368185,0.0439146,0.0479855,0.253686,0.0108984,0.00920299,0.0170157,0.0330651,0,0.0262819,0.0331727,0,0,0.0170685,0,0,0.0360557,0.0809686,0.0452867,0.0139594,0.019844,0.0535395,0.0379945,0.0626492,0.0984205,0.0874538,0.0381864,0.0671095,0.037728,0.0488013,0.0808182,0.0501507,0.0113975,0.011881,0.0166879,0.0188358,0.0296167,0,0,0,0,0
58,0,0,0,0,0,0,0.0263666,0.0429656,0,0,0,0.0455492,0,0.0501622,0,0.0190363,0,0,0.0256773,0.1091,0.28698,0.0319873,0.0289516,0.0403341,0.0328562,0.0633086,0.0737852,0.0959973,0.0797718,0.0385966,0.0365066,0.043499,0.0473829,0.254776,0.0108689,0.00917028,0.0170567,0.033625,0,0.0257562,0.0331821,0,0,0.0172912,0,0,0.036026,0.0803844,0.0440137,0.0140851,0.0195209,0.0539042,0.0381685,0.0629889,0.09871,0.087498,0.038304,0.0673744,0.0380095,0.0490067,0.0811453,0.0476763,0.0114913,0.0118237,0.0168171,0.0187218,0.029598,0,0,0,0,0
59,0,0,0,0,0,0,0.026385,0.0431635,0,0,0,0.0456194,0,0.0493818,0,0.0190476,0,0,0.025684,0.109127,0.286995,0.0319257,0.0290764,0.0401705,0.0331191,0.0632071,0.0738721,0.095887,0.0796412,0.0382496,0.0360798,0.0430945,0.0468536,0.25576,0.0108706,0.00911949,0.0171314,0.0342432,0,0.025125,0.0332019,0,0,0.0174521,0,0,0.0359895,0.0797727,0.0427995,0.0142937,0.0191525,0.0542544,0.0382953,0.0633055,0.0990689,0.0875406,0.0385026,0.0677046,0.0383198,0.0493567,0.08164,0.0452894,0.0115648,0.0118354,0.0168343,0.018606,0.029594,0,0,0,0,0
60,0,0,0,0,0,0,0.0264105,0.043327,0,0,0,0.0455712,0,0.0487475,0,0.0190659,0,0,0.0257082,0.109074,0.287018,0.0318459,0.0291379,0.0399894,0.0332868,0.063128,0.0739522,0.0958247,0.0795368,0.0378785,0.0355702,0.042692,0.0464185,0.256548,0.0108897,0.00907714,0.017216,0.0348775,0,0.0244518,0.0332159,0,0,0.0175849,0,0,0.0359625,0.0791027,0.0415746,0.0145965,0.0188448,0.0545852,0.038369,0.0636255,0.0994908,0.0877553,0.0387761,0.0681538,0.0386989,0.0498741,0.0823109,0.0431892,0.0116203,0.0118846,0.0168301,0.0185232,0.0295927,0,0,0,0,0
61,0,0,0,0,0,0,0.0264155,0.0431843,0,0,0,0.0453467,0,0.0482041,0,0.0191078,0,0,0.0257778,0.108985,0.287044,0.0317678,0.029025,0.0396908,0.0333519,0.0630533,0.0740214,0.0958017,0.0794738,0.0375837,0.0352292,0.0424513,0.0460628,0.257077,0.0109103,0.0090726,0.0172538,0.0355563,0,0.0239716,0.0331936,0,0,0.017718,0,0,0.0359387,0.0783883,0.0404705,0.0150527,0.0186837,0.0549159,0.0384237,0.0639603,0.0998977,0.0881088,0.0391198,0.0687062,0.0391256,0.0505252,0.0830172,0.0416974,0.0116444,0.0119484,0.0168707,0.0184936,0.0296143,0,0,0,0,0
62,0,0,0,0,0,0,0.0263868,0.0427114,0,0,0,0.0449845,0,0.0477023,0,0.0191838,0,0,0.0258917,0.108898,0.287115,0.0316706,0.0288497,0.0394004,0.0333303,0.0629906,0.0741099,0.0958333,0.0794487,0.0373719,0.0349834,0.0423113,0.0458033,0.257439,0.0109169,0.00910622,0.0172699,0.0360326,0,0.0234999,0.0331624,0,0,0.0178275,0,0,0.0359428,0.0776887,0.0394621,0.0156041,0.0186012,0.0552481,0.0384887,0.0643068,0.100279,0.0884012,0.0394912,0.0692613,0.0395257,0.0511165,0.0836819,0.0406006,0.0115942,0.0119842,0.0168976,0.0184911,0.0296327,0,0,0,0,0
63,0,0,0,0,0,0,0.0264221,0.0425617,0,0,0,0.0445473,0,0.0472136,0,0.0192247,0,0,0.0259941,0.10881,0.287258,0.0315409,0.028675,0.039195,0.0332004,0.06298,0.0742782,0.0959426,0.0794875,0.0371622,0.0347649,0.0422281,0.0456924,0.25785,0.0108951,0.00909189,0.0173259,0.0362911,0,0.0230666,0.0331817,0,0,0.0178872,0,0,0.0359668,0.0769716,0.038445,0.0162073,0.0185446,0.0556445,0.0385498,0.0646889,0.10067,0.0886424,0.0398152,0.069792,0.0399422,0.0516276,0.0843606,0.039901,0.0115372,0.0120316,0.0168953,0.0184722,0.0296514,0,0,0,0,0
64,0,0,0,0,0,0,0.0265336,0.0426709,0,0,0,0.0440463,0,0.0469484,0,0.0192564,0,0,0.0261178,0.108728,0.28747,0.0313972,0.0284531,0.0390256,0.0330774,0.062977,0.074456,0.0960917,0.0795873,0.0368365,0.0345124,0.0421454,0.045626,0.258073,0.0108671,0.00912779,0.0173926,0.0363749,0,0.0226585,0.033233,0,0,0.0179371,0,0,0.0360378,0.0762162,0.0375541,0.0168752,0.0185284,0.0560844,0.0385536,0.0650925,0.101073,0.0889063,0.040115,0.070304,0.0403904,0.052163,0.0851508,0.0394348,0.0114617,0.011974,0.0169588,0.0185005,0.0296227,0,0,0,0,0
65,0,0,0,0,0,0,0.0266936,0.0428108,0,0,0,0.0434427,0,0.0467002,0,0.0192607,0,0,0.0262305,0.1087,0.287769,0.0312855,0.0281072,0.0387961,0.0329703,0.0629733,0.074579,0.0962214,0.0796606,0.0364678,0.0342613,0.0420922,0.0455509,0.25824,0.0108783,0.00914377,0.0175795,0.0362705,0,0.0225185,0.0332777,0,0,0.0179912,0,0,0.0360781,0.0754704,0.036886,0.0175695,0.0185597,0.0565547,0.0385369,0.0654987,0.101462,0.0890785,0.0403536,0.0708626,0.0408534,0.0526698,0.0858713,0.039102,0.0113561,0.0119252,0.017024,0.0185515,0.0295416,0,0,0,0,0
66,0,0,0,0,0,0,0.0269208,0.0429278,0,0,0,0.0428166,0,0.0464065,0,0.0192687,0,0,0.0263582,0.108659,0.288157,0.0311975,0.0278806,0.0385858,0.0328292,0.063021,0.074717,0.0963,0.0797375,0.0362917,0.0338919,0.0419693,0.0453699,0.258553,0.0109181,0.0091909,0.0178462,0.036072,0,0.0223354,0.0333358,0,0,0.0179875,0,0,0.0361207,0.0747373,0.0360708,0.0182808,0.0185993,0.0570633,0.0385143,0.0659409,0.101824,0.0892205,0.0405633,0.071406,0.0412493,0.0531174,0.0863173,0.0388211,0.011212,0.0119692,0.016968,0.0185944,0.029422,0,0,0,0,0
67,0,0,0,0,0,0,0.0271582,0.0430309,0,0,0,0.0422201,0,0.0460125,0,0.0193112,0,0,0.0265523,0.108597,0.288551,0.0310902,0.0278348,0.038405,0.0326527,0.0630737,0.074879,0.0962255,0.0798358,0.0360862,0.0336578,0.0417878,0.0451003,0.258942,0.0109595,0.00922009,0.0179508,0.0357713,0,0.0221827,0.0334108,0,0,0.0180224,0,0,0.0361534,0.0740574,0.0351892,0.0189757,0.0186501,0.0575675,0.0384747,0.0663801,0.102187,0.0893318,0.0407287,0.0717413,0.0415703,0.0535002,0.0867545,0.0384556,0.0110743,0.0120569,0.0168936,0.0186041,0.0293218,0,0,0,0,0
68,0,0,0,0,0,0,0.0274163,0.0431388,0,0,0,0.0416473,0,0.0455673,0,0.0193595,0,0,0.026749,0.108572,0.288793,0.0309753,0.02778,0.0382128,0.0323975,0.0631137,0.074988,0.0962144,0.0798994,0.0358119,0.0333767,0.0415817,0.0448159,0.259228,0.0109661,0.00916474,0.0179597,0.0354946,0,0.0221315,0.0335164,0,0,0.0181319,0,0,0.0362148,0.0734094,0.0342673,0.0196135,0.0186531,0.0580565,0.0384689,0.0668353,0.102574,0.0893908,0.0409301,0.0720069,0.0418717,0.053836,0.0872109,0.0380308,0.0108919,0.0120793,0.0169933,0.0186001,0.0292282,0,0,0,0,0
