Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LBHD
9,0,0,0,0,0,0,0.0341977,0.043662,0,0,0,0.0447265,0,0.0508275,0,0.0157446,0,0,0.0265588,0.105284,0.295979,0.0328332,0.0261875,0.0433998,0.0253746,0.0637427,0.0753418,0.0982877,0.0829896,0.0424744,0.0390407,0.0514304,0.0573725,0.246922,0.0138772,0.00935326,0.0157253,0.0355151,0,0.0237387,0.0361335,0,0,0.0180461,0,0,0.0345815,0.0766886,0.0231732,0.0169031,0.0213348,0.0492869,0.0375093,0.0680637,0.103553,0.0922794,0.0494277,0.0724318,0.0430029,0.0538974,0.0896699,0.0190857,0.011534,0.0118086,0.0175903,0.0212603,0.0232217,0,0,0,0,0
10,0,0,0,0,0,0,0.0337652,0.0435888,0,0,0,0.0454746,0,0.0510449,0,0.0157975,0,0,0.0266012,0.105539,0.294609,0.0333411,0.0261271,0.0434716,0.0254348,0.0633373,0.0748142,0.0981046,0.0829577,0.0412202,0.0375287,0.050294,0.0560674,0.247916,0.0137335,0.00935639,0.0157518,0.0355406,0,0.0238571,0.0358901,0,0,0.0181299,0,0,0.0346521,0.0766061,0.0229386,0.0171858,0.0216635,0.0496229,0.0378506,0.067961,0.103454,0.0921186,0.0493745,0.0724496,0.0430653,0.0539299,0.0897209,0.0188066,0.0116575,0.0117935,0.0176779,0.0211855,0.02347,0,0,0,0,0
11,0,0,0,0,0,0,0.0332475,0.0434764,0,0,0,0.0467333,0,0.0505641,0,0.0158714,0,0,0.0266433,0.105671,0.29335,0.033945,0.0261339,0.0434919,0.0255377,0.0629615,0.0745581,0.0979353,0.0829206,0.0400306,0.0360796,0.0489668,0.0543622,0.249489,0.0135394,0.00935302,0.0157209,0.0357042,0,0.02381,0.035578,0,0,0.0182051,0,0,0.0347894,0.076536,0.0225625,0.017474,0.0219968,0.050045,0.0382737,0.0678399,0.103315,0.0919792,0.049351,0.0723977,0.0431123,0.0539957,0.089795,0.0182404,0.0118346,0.0116996,0.0178202,0.0210668,0.0238245,0,0,0,0,0
12,0,0,0,0,0,0,0.0327374,0.0433496,0,0,0,0.048421,0,0.0494674,0,0.0159031,0,0,0.0266504,0.105672,0.292401,0.0345121,0.0261433,0.0433769,0.0256482,0.0627956,0.0744866,0.0978291,0.0829791,0.0389309,0.0347948,0.0476222,0.0525201,0.25128,0.013384,0.0092261,0.0157417,0.0359909,0,0.0237229,0.0353329,0,0,0.0183056,0,0,0.0348796,0.0764558,0.0221105,0.0177748,0.0222537,0.0504829,0.0386451,0.0677359,0.10312,0.0918442,0.0493597,0.0724181,0.0431466,0.0540654,0.0898895,0.0174346,0.0120384,0.0117096,0.0179111,0.0209614,0.0242228,0,0,0,0,0
13,0,0,0,0,0,0,0.0322033,0.0432424,0,0,0,0.0503084,0,0.0478837,0,0.0159362,0,0,0.026632,0.105583,0.291291,0.0352105,0.0263476,0.0431913,0.0257517,0.0626669,0.0744876,0.0977428,0.0831417,0.0379469,0.0336444,0.0462539,0.0507076,0.253584,0.0132703,0.00914379,0.0157847,0.0364012,0,0.0236123,0.0351097,0,0,0.018461,0,0,0.0349928,0.0763873,0.0216537,0.0181022,0.0225325,0.0509914,0.03916,0.0675842,0.102884,0.0916763,0.0494029,0.0724669,0.0431187,0.0541269,0.0900386,0.0165539,0.0122332,0.0117672,0.0180053,0.0208549,0.0246713,0,0,0,0,0
14,0,0,0,0,0,0,0.0317385,0.0431322,0,0,0,0.0525169,0,0.043877,0,0.0160053,0,0,0.0266522,0.104183,0.291514,0.0356961,0.0257473,0.0429025,0.0258302,0.062631,0.0749959,0.097366,0.0832853,0.0378923,0.0337443,0.045008,0.0488099,0.257028,0.0131701,0.00915619,0.0158047,0.0368593,0,0.0235285,0.034925,0,0,0.0186624,0,0,0.0350677,0.0763582,0.0213457,0.0183513,0.0228034,0.051343,0.0395778,0.0674293,0.102663,0.0915655,0.0495634,0.0723782,0.0429744,0.0540526,0.0901073,0.0156603,0.0124074,0.0118639,0.0180593,0.0207508,0.0250312,0,0,0,0,0
15,0,0,0,0,0,0,0.0314939,0.043164,0,0,0,0.0528307,0,0.0383005,0,0.0159516,0,0,0.0269792,0.104796,0.292576,0.035872,0.0276681,0.0421116,0.0257593,0.0622293,0.0725339,0.0964734,0.0834044,0.0388645,0.0376177,0.0438772,0.0475599,0.255597,0.0132247,0.0089348,0.0153396,0.0363101,0,0.0235701,0.0348721,0,0,0.018623,0,0,0.0358219,0.075914,0.0203998,0.0191884,0.0230903,0.0514648,0.0402557,0.0669264,0.101944,0.090654,0.0489071,0.0728904,0.0430975,0.0548139,0.0909754,0.0154386,0.0121948,0.0116847,0.017364,0.0207316,0.0248513,0,0,0,0,0
16,0,0,0,0,0,0,0.0307459,0.0439577,0,0,0,0.0547137,0,0.0341084,0,0.0153087,0,0,0.0276359,0.103709,0.298499,0.0350137,0.0283506,0.0411014,0.025676,0.0621948,0.0723955,0.0961529,0.0835061,0.0396736,0.0388488,0.0431705,0.0474931,0.251301,0.0134337,0.00929632,0.0147639,0.0372217,0,0.0228245,0.0346169,0,0,0.0184082,0,0,0.0363834,0.0760101,0.0206865,0.0190464,0.0231102,0.0508354,0.040607,0.066434,0.101486,0.0902711,0.0486531,0.072895,0.0432013,0.0548639,0.0909297,0.0147688,0.0118725,0.0115733,0.0167533,0.0211819,0.0246724,0,0,0,0,0
17,0,0,0,0,0,0,0.032734,0.0437644,0,0,0,0.0364136,0,0.0337743,0,0.0147666,0,0,0.0280911,0.100378,0.31568,0.029165,0.0264628,0.0395313,0.0255033,0.0657818,0.0748805,0.0997486,0.0863955,0.037578,0.0375407,0.0434067,0.0511586,0.230734,0.0139684,0.00912725,0.0142559,0.0439919,0,0.0198161,0.035235,0,0,0.0178263,0,0,0.0361046,0.0735907,0.0254968,0.0186359,0.0176218,0.047821,0.0384892,0.064963,0.103656,0.0918274,0.047048,0.0721107,0.0441577,0.0539169,0.0890056,0.0114974,0.0116684,0.010825,0.0165295,0.0215657,0.0230831,0,0,0,0,0
18,0,0,0,0,0,0,0.0357743,0.0436087,0,0,0,0.0850753,0,0.039721,0,0.0145804,0,0,0.0278887,0.0965433,0.316999,0.0189874,0.028245,0.0357506,0.0247901,0.0723832,0.0801128,0.105876,0.0923731,0.0397244,0.0386014,0.0506913,0.0634323,0.198837,0.0144003,0.00927369,0.0142371,0.0417347,0,0.0201606,0.0369372,0,0,0.0176067,0,0,0.0355668,0.0723816,0.0253254,0.0207008,0.0168887,0.0433004,0.0362985,0.0647196,0.10311,0.0912158,0.0456281,0.0722774,0.0441263,0.0539953,0.0886478,0.0127694,0.0120532,0.0101259,0.0163397,0.0222509,0.0203733,0,0,0,0,0
