Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71
All Timesteps RMSE,0,0,0,0,0,0,0.0397405,0.0395642,0,0,0,0.0431225,0,0.0193157,0,0,0.0159021,0,0,0.0258775,0.0748189,0.0132619,0.0140337,0.0127648,0.0220081,0.0252785,0.0275734,0.0422389,0.0524657,0.0346071,0.0174908,0.0146049,0.0327474,0.0362611,0.0299206,0.0143575,0.00801893,0.0166478,0.0371707,0,0.0289087,0.0411043,0,0,0.0185365,0,0,0.0309412,0.064606,0.0448041,0.028207,0.0262233,0.0387443,0.0386996,0.0254125,0.0545181,0.055538,0.0280206,0.055288,0.0304016,0.0367342,0.0712695,0.0294401,0.00894022,0.0103506,0.0165906,0.0245738,0.0155124,0,0,0,0
0,0,0,0,0,0,0,0.0397069,0.0416831,0,0,0,0.0288161,0,0.0166925,0,0,0.0174363,0,0,0.0272424,0.06709,0.0151895,0.0122509,0.0104963,0.0213199,0.0261531,0.0314238,0.049819,0.057212,0.0327301,0.0113038,0.009242,0.0286357,0.0320921,0.0266816,0.0130738,0.00829012,0.0172868,0.0346212,0,0.0285023,0.041778,0,0,0.0200694,0,0,0.0325413,0.0581195,0.0426687,0.0337592,0.0310523,0.0464622,0.0409773,0.0247989,0.0539572,0.0496379,0.0250212,0.0579917,0.0341877,0.0388899,0.0731504,0.0357983,0.00877581,0.0109572,0.0176796,0.0266914,0.0158197,0,0,0,0
1,0,0,0,0,0,0,0.0404461,0.0417176,0,0,0,0.0264571,0,0.0174847,0,0,0.0171852,0,0,0.0269202,0.066851,0.0149461,0.0110283,0.00941715,0.0208953,0.0264154,0.0320779,0.0504672,0.0581159,0.0332602,0.0120391,0.00892885,0.028571,0.0326146,0.0331065,0.0131758,0.0082996,0.0172702,0.0341009,0,0.0282404,0.0417295,0,0,0.0197519,0,0,0.03228,0.0584274,0.0426175,0.0329111,0.0302039,0.0456081,0.0407963,0.0250909,0.0540647,0.0507992,0.0253726,0.0575558,0.0335953,0.0386075,0.0732174,0.0361657,0.00861613,0.0109189,0.0171419,0.0274677,0.0159437,0,0,0,0
2,0,0,0,0,0,0,0.0411767,0.0417922,0,0,0,0.0255371,0,0.0189699,0,0,0.0169738,0,0,0.0264958,0.0671189,0.0150238,0.00994366,0.00880878,0.0208995,0.0266916,0.0322249,0.0505382,0.0589174,0.0341557,0.0130432,0.00878623,0.028815,0.0333802,0.0401191,0.0132933,0.0083754,0.0172442,0.0325187,0,0.0278417,0.0417896,0,0,0.019476,0,0,0.0320083,0.0586126,0.0418425,0.0322449,0.029079,0.04514,0.0404421,0.025464,0.0551116,0.0523854,0.0257554,0.057283,0.0337816,0.0381669,0.0730454,0.0373548,0.00828825,0.0108665,0.0171218,0.0279477,0.0162696,0,0,0,0
3,0,0,0,0,0,0,0.041739,0.0418981,0,0,0,0.0258856,0,0.0204955,0,0,0.0167742,0,0,0.0260483,0.0675426,0.0152097,0.00892337,0.00856096,0.0212234,0.0271227,0.03186,0.0500767,0.0595963,0.0352232,0.0144442,0.00904863,0.0293067,0.0341918,0.0460173,0.0133084,0.0084339,0.0172591,0.0306258,0,0.0275798,0.0419068,0,0,0.0193282,0,0,0.031708,0.0585623,0.0409775,0.0318328,0.0282173,0.0449894,0.0400996,0.0260976,0.0565548,0.0538487,0.0259993,0.0571565,0.0343932,0.0377925,0.0726275,0.0394535,0.00798013,0.010809,0.0174487,0.0284025,0.0165865,0,0,0,0
4,0,0,0,0,0,0,0.0420255,0.0419797,0,0,0,0.0266306,0,0.021106,0,0,0.0166391,0,0,0.025666,0.0678678,0.0151322,0.0080796,0.00834783,0.0218887,0.0276139,0.0311236,0.0491988,0.0602234,0.0362953,0.0159506,0.00996459,0.030008,0.035081,0.0488057,0.0132714,0.00848702,0.0172915,0.0292297,0,0.0276375,0.0420557,0,0,0.0192665,0,0,0.0313998,0.0583008,0.0406971,0.0318142,0.0284708,0.0451227,0.0397954,0.0266528,0.0574759,0.0545712,0.0260353,0.0571622,0.034836,0.0376944,0.0722281,0.0421823,0.00800319,0.0107583,0.0175482,0.0288837,0.0165699,0,0,0,0
5,0,0,0,0,0,0,0.0420799,0.042019,0,0,0,0.0273074,0,0.0210156,0,0,0.0166201,0,0,0.0254631,0.0679064,0.0147219,0.00756255,0.00830553,0.0227137,0.0280775,0.0301472,0.0482084,0.0606401,0.0372642,0.0174994,0.0113477,0.0306214,0.035818,0.0493042,0.0132348,0.00855453,0.0173892,0.0282941,0,0.0279756,0.0422482,0,0,0.0192323,0,0,0.0311804,0.058043,0.0412133,0.0320973,0.0296804,0.0453368,0.0395677,0.0266022,0.05755,0.0544568,0.0259266,0.057203,0.0348269,0.0377711,0.0721343,0.0451496,0.00825197,0.0107243,0.0172695,0.0294084,0.0162172,0,0,0,0
6,0,0,0,0,0,0,0.0421246,0.0419989,0,0,0,0.0279691,0,0.02084,0,0,0.0167107,0,0,0.0253783,0.067686,0.0143626,0.00738993,0.00885096,0.023579,0.028304,0.0291707,0.0474672,0.0608684,0.0381173,0.0191201,0.0130185,0.0314277,0.036945,0.0495599,0.0132512,0.00866921,0.0173753,0.0277442,0,0.028454,0.0424639,0,0,0.0191511,0,0,0.031077,0.0579459,0.0421997,0.0324355,0.0309593,0.0453068,0.0393773,0.0260375,0.0570344,0.0540713,0.0256659,0.0571977,0.0345574,0.0378629,0.0722714,0.0476118,0.00835694,0.0106939,0.0168448,0.0297885,0.0157457,0,0,0,0
7,0,0,0,0,0,0,0.0423058,0.0418967,0,0,0,0.028689,0,0.020836,0,0,0.0167761,0,0,0.0253578,0.0675035,0.0142504,0.00743136,0.00999159,0.0244333,0.0282167,0.0286874,0.0469057,0.0609807,0.0387024,0.0208072,0.0148284,0.0325236,0.0385261,0.0502706,0.0133346,0.00866661,0.0174227,0.0273097,0,0.0289369,0.0426939,0,0,0.0190202,0,0,0.0310423,0.0579022,0.0432228,0.032594,0.0316052,0.0447069,0.0392603,0.0254113,0.0567078,0.0539571,0.0254449,0.0571127,0.0342245,0.0378683,0.0723183,0.048691,0.00832141,0.0106504,0.016777,0.03002,0.015389,0,0,0,0
8,0,0,0,0,0,0,0.0425719,0.0417553,0,0,0,0.0294057,0,0.0209448,0,0,0.0166973,0,0,0.0252433,0.0674789,0.014521,0.00754227,0.0115329,0.0252047,0.0279907,0.0284215,0.0464795,0.0609246,0.0389862,0.0224762,0.0166535,0.0336617,0.0399331,0.0515147,0.0134616,0.0085361,0.0175252,0.0269775,0,0.0294992,0.0429421,0,0,0.0188629,0,0,0.0310183,0.0579559,0.0440933,0.0324425,0.0315902,0.0434688,0.0391037,0.0250334,0.0566071,0.0540984,0.0254353,0.0568569,0.0338742,0.0376209,0.0721597,0.04836,0.00835436,0.0105976,0.0170305,0.0301175,0.015287,0,0,0,0
