Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LANK,LTOE
142,0,0,0,0,0,0,0.0302176,0.0393359,0,0,0,0.0848757,0,0,0,0.0194931,0,0,0.0298722,0.0888215,0.270029,0.0183624,0.0336657,0.0208927,0.0360478,0.0760517,0.0945666,0.108863,0.0861121,0.0415051,0.0389952,0.0579593,0.0636812,0.0125291,0.00906151,0.0180152,0.0406061,0,0.0203997,0.0349826,0,0,0.0190369,0,0,0.0347598,0.0758654,0.0326041,0.0126747,0.0289885,0.0449374,0.0401861,0.0613628,0.0991084,0.084451,0.0361126,0.0712338,0.0451174,0.0510418,0.0845071,0.0278371,0.0107801,0.0105506,0.0206603,0.0202332,0.0250575,0,0,0,0,0.0481841,0.231596
143,0,0,0,0,0,0,0.0301532,0.0396137,0,0,0,0.0813074,0,0,0,0.019377,0,0,0.0295037,0.0899507,0.275912,0.0178223,0.0340007,0.0209647,0.0365976,0.0764653,0.0946992,0.108855,0.0863004,0.0417689,0.0387966,0.058594,0.0640428,0.0127091,0.00890178,0.0181014,0.0409461,0,0.0200148,0.0343616,0,0,0.0193651,0,0,0.0345676,0.0763898,0.0331421,0.0119209,0.0281218,0.0447969,0.0406128,0.0607,0.0985873,0.084928,0.0368556,0.0711778,0.0450939,0.050784,0.0843253,0.0275,0.0105395,0.0104876,0.0208462,0.0200094,0.0261287,0,0,0,0,0.0494866,0.234897
144,0,0,0,0,0,0,0.0301203,0.0399665,0,0,0,0.0797359,0,0,0,0.0192757,0,0,0.0290649,0.0908585,0.279476,0.0169794,0.0344804,0.0211248,0.0371767,0.076604,0.0946899,0.108754,0.0864109,0.0423584,0.0387895,0.0593861,0.0648513,0.0127451,0.00891092,0.0179847,0.0398443,0,0.0194813,0.0340227,0,0,0.0202243,0,0,0.0342968,0.0764814,0.032368,0.0113461,0.0273254,0.0448808,0.0409428,0.0612144,0.09977,0.0867114,0.0380519,0.0711063,0.0453678,0.0502987,0.0839349,0.0285117,0.0101524,0.0108722,0.0206996,0.0194594,0.0269152,0,0,0,0,0.0506327,0.235775
145,0,0,0,0,0,0,0.029958,0.0402194,0,0,0,0.0808689,0,0,0,0.0191715,0,0,0.0287043,0.0913711,0.279599,0.0157175,0.0353237,0.0214205,0.0377698,0.0767093,0.0946199,0.108832,0.0866222,0.0431318,0.0392578,0.0603762,0.0659699,0.0128201,0.00878121,0.0180314,0.0375164,0,0.0194321,0.0339498,0,0,0.020327,0,0,0.0341534,0.0763816,0.0305045,0.0109564,0.0265185,0.045336,0.0410891,0.0627953,0.102389,0.0892132,0.0394426,0.0709378,0.0459967,0.0497482,0.0832858,0.0312113,0.0101659,0.0106841,0.0208761,0.0192251,0.027143,0,0,0,0,0.0515274,0.23377
146,0,0,0,0,0,0,0.0295334,0.0402459,0,0,0,0.084763,0,0,0,0.0192449,0,0,0.0283786,0.0915285,0.278543,0.0144604,0.0364293,0.022131,0.038365,0.0766781,0.0945767,0.108908,0.086723,0.0441184,0.0402434,0.0616477,0.0673627,0.0129215,0.00875986,0.0180225,0.0349533,0,0.0200353,0.0339148,0,0,0.020307,0,0,0.0339118,0.0762894,0.0286182,0.010834,0.0263843,0.0462592,0.041152,0.0643877,0.104917,0.0912742,0.0404256,0.0705487,0.0464464,0.049092,0.0823387,0.0349769,0.0103733,0.0105892,0.0209367,0.0192027,0.0269032,0,0,0,0,0.0521191,0.230336
147,0,0,0,0,0,0,0.0289676,0.0402177,0,0,0,0.0894266,0,0,0,0.0194114,0,0,0.0281418,0.0914462,0.277774,0.0133563,0.0376202,0.0230867,0.0388196,0.07668,0.094671,0.109079,0.0868287,0.0453922,0.0415729,0.0630323,0.0690728,0.0130293,0.00885717,0.0179912,0.0328646,0,0.0208792,0.033889,0,0,0.0202258,0,0,0.0338515,0.0764005,0.0281784,0.011013,0.0270487,0.0472363,0.0412177,0.0646453,0.105404,0.0918231,0.0404865,0.0701953,0.0463624,0.0487123,0.0816587,0.0396285,0.0106678,0.0105877,0.0209466,0.0193485,0.0265517,0,0,0,0,0.0526543,0.226788
148,0,0,0,0,0,0,0.0285553,0.0402426,0,0,0,0.09371,0,0,0,0.0195501,0,0,0.028009,0.0912282,0.277266,0.0125272,0.038748,0.0240646,0.0389424,0.0768303,0.0949276,0.109383,0.0869635,0.0468143,0.0430533,0.0645048,0.070824,0.0130798,0.00898773,0.0179445,0.031741,0,0.0215767,0.0339074,0,0,0.0200866,0,0,0.0340494,0.0769231,0.0294193,0.0113157,0.0281446,0.0478226,0.0413133,0.0636066,0.103947,0.091031,0.0399381,0.0702182,0.0459994,0.0488932,0.0816155,0.0443553,0.0109327,0.0106979,0.0209471,0.0195598,0.0265274,0,0,0,0,0.0529054,0.22354
149,0,0,0,0,0,0,0.0284434,0.0402834,0,0,0,0.0970596,0,0,0,0.0196042,0,0,0.0280291,0.0909402,0.277004,0.0118822,0.0397867,0.0250567,0.0386691,0.0770013,0.0951651,0.109667,0.0870649,0.048285,0.0446529,0.0659007,0.0724394,0.0129857,0.00909717,0.0179253,0.0312163,0,0.0222173,0.0340263,0,0,0.0198926,0,0,0.03432,0.0777008,0.0315564,0.0113647,0.0298979,0.0477314,0.0414166,0.0623575,0.102204,0.0898398,0.039198,0.0703173,0.0454131,0.0490022,0.0817389,0.0478253,0.0111504,0.0107937,0.0209878,0.0196566,0.0264519,0,0,0,0,0.0531621,0.220497
150,0,0,0,0,0,0,0.0286357,0.0402999,0,0,0,0.0994409,0,0,0,0.0194719,0,0,0.0281518,0.0909139,0.276857,0.0113297,0.0407157,0.0260491,0.038045,0.0769649,0.0952212,0.109763,0.0869807,0.0497056,0.0463685,0.0671657,0.0738536,0.012873,0.00908073,0.0180502,0.0309041,0,0.0229005,0.0342175,0,0,0.0198007,0,0,0.0344944,0.0784031,0.0337553,0.0111312,0.0311406,0.0470531,0.0414214,0.0616385,0.101221,0.0889022,0.0386118,0.0700682,0.0447457,0.0486933,0.0814684,0.049399,0.011227,0.0108493,0.020952,0.0196171,0.0263148,0,0,0,0,0.0534429,0.217779
151,0,0,0,0,0,0,0.0290137,0.0402892,0,0,0,0.101045,0,0,0,0.0193691,0,0,0.0282439,0.091202,0.276819,0.0107568,0.0415246,0.026756,0.0373525,0.0766286,0.0950269,0.109555,0.0866647,0.0510101,0.0481011,0.068376,0.0751926,0.0126617,0.00905807,0.0180851,0.0305729,0,0.0235956,0.034471,0,0,0.0198001,0,0,0.034532,0.0788928,0.0353548,0.0106073,0.0307187,0.0459113,0.0413307,0.0614618,0.101005,0.0884355,0.0384534,0.0694701,0.0442305,0.0481772,0.0808844,0.0486812,0.0112002,0.0109763,0.0208407,0.0195692,0.026132,0,0,0,0,0.0537765,0.215409
152,0,0,0,0,0,0,0.0294232,0.0402523,0,0,0,0.102247,0,0,0,0.0192395,0,0,0.0282322,0.0916453,0.276883,0.0102083,0.0422314,0.0272018,0.0367776,0.0760452,0.0945811,0.109067,0.0861809,0.0520407,0.0496621,0.0695135,0.0763751,0.0124932,0.00895757,0.0180655,0.0304045,0,0.0239881,0.0347122,0,0,0.0200352,0,0,0.0343785,0.0792243,0.0360981,0.0100094,0.0293219,0.0447523,0.0411207,0.0614707,0.101057,0.0883534,0.0387052,0.06875,0.0437516,0.0476273,0.0802844,0.0468144,0.0110608,0.0111374,0.0206476,0.0195405,0.0259323,0,0,0,0,0.0540059,0.21353
153,0,0,0,0,0,0,0.0297591,0.0402105,0,0,0,0.103219,0,0,0,0.0191189,0,0,0.0281954,0.0921363,0.276831,0.00980849,0.0427156,0.0275999,0.0363602,0.0754457,0.0939913,0.108528,0.0857936,0.0527593,0.0509607,0.0704553,0.0772749,0.0123717,0.00886773,0.0179812,0.0304769,0,0.0240041,0.0348723,0,0,0.0192451,0,0,0.0345125,0.0793703,0.0360299,0.00969907,0.0279625,0.0437519,0.0407634,0.0615349,0.101051,0.0886325,0.0392872,0.0681472,0.0433613,0.0471026,0.0798898,0.044574,0.011102,0.0108288,0.020919,0.0195697,0.0258237,0,0,0,0,0.0540477,0.212292
154,0,0,0,0,0,0,0.0299473,0.0401919,0,0,0,0.104092,0,0,0,0.0190053,0,0,0.0282313,0.0926009,0.276731,0.00976572,0.0430597,0.0277228,0.0361031,0.0749075,0.0933472,0.107984,0.0855083,0.0533026,0.0519152,0.0709153,0.0778002,0.0122784,0.00894934,0.0177658,0.0308075,0,0.0237538,0.0349373,0,0,0.0192242,0,0,0.0344183,0.0793388,0.0352878,0.00977872,0.0268085,0.0430211,0.040403,0.0617138,0.101053,0.0893321,0.0400449,0.067806,0.0431005,0.0469291,0.0797286,0.042251,0.01088,0.0107956,0.0208329,0.0195768,0.0257391,0,0,0,0,0.0539276,0.211591
155,0,0,0,0,0,0,0.0300333,0.0402028,0,0,0,0.104952,0,0,0,0.0189095,0,0,0.0282662,0.0928997,0.276522,0.0100316,0.0432941,0.0278818,0.0359473,0.0744908,0.0927405,0.107523,0.0853071,0.0536852,0.0523772,0.0710933,0.0779842,0.0121933,0.00910705,0.01755,0.0312751,0,0.023333,0.0349727,0,0,0.0193355,0,0,0.0343007,0.0791768,0.0340617,0.0101962,0.0257387,0.042417,0.0400544,0.0620777,0.10131,0.0902831,0.0410287,0.0678104,0.0429694,0.0470657,0.0799041,0.0399586,0.0107686,0.0107122,0.0207338,0.0195477,0.0255924,0,0,0,0,0.053648,0.211363
156,0,0,0,0,0,0,0.0301673,0.0402317,0,0,0,0.105928,0,0,0,0.0188274,0,0,0.0282267,0.0929774,0.276045,0.0104494,0.0434904,0.0281974,0.0358245,0.0740841,0.0922066,0.107218,0.0851598,0.0538342,0.0523616,0.0710889,0.0778908,0.0121685,0.0092036,0.0174163,0.0318199,0,0.0228404,0.0350582,0,0,0.0193978,0,0,0.0340957,0.0788907,0.0326759,0.0108543,0.024798,0.0420904,0.0397578,0.0626247,0.101747,0.091237,0.0421216,0.0681305,0.0429287,0.0473831,0.0804271,0.0377545,0.0107891,0.0106602,0.0205849,0.0195561,0.0253334,0,0,0,0,0.0533348,0.211439
157,0,0,0,0,0,0,0.0304081,0.0402587,0,0,0,0.10701,0,0,0,0.0187238,0,0,0.0281861,0.092937,0.27543,0.0109487,0.0437072,0.0286407,0.0356861,0.0736763,0.0917664,0.107052,0.0849751,0.0537763,0.0520059,0.0708427,0.0776629,0.0122049,0.00922899,0.0173665,0.0323454,0,0.0224131,0.035221,0,0,0.0194023,0,0,0.0338132,0.078574,0.0315356,0.0115591,0.0240527,0.0419517,0.0395194,0.063095,0.102167,0.0920705,0.0430386,0.0685473,0.0429817,0.0478658,0.0810412,0.0358088,0.0108861,0.0106671,0.0203796,0.0196563,0.0250065,0,0,0,0,0.0532853,0.21157
158,0,0,0,0,0,0,0.030736,0.0402796,0,0,0,0.108079,0,0,0,0.0185722,0,0,0.0280985,0.0928465,0.274807,0.0115289,0.0436281,0.0292182,0.035546,0.0733783,0.0914543,0.10691,0.0847781,0.0535644,0.0514844,0.070443,0.0774563,0.0123187,0.00916331,0.0173622,0.0327453,0,0.022159,0.0354343,0,0,0.0194106,0,0,0.0335793,0.0783816,0.030764,0.0122091,0.0236227,0.0418837,0.0393535,0.0634204,0.102379,0.0926289,0.0437894,0.0689053,0.0430738,0.0484148,0.0815854,0.0341594,0.011037,0.0106889,0.020182,0.0198903,0.024623,0,0,0,0,0.0532007,0.211742
159,0,0,0,0,0,0,0.0310569,0.0402811,0,0,0,0.109204,0,0,0,0.0183404,0,0,0.0279057,0.0926878,0.274211,0.0121345,0.0432768,0.0299299,0.0354244,0.0731122,0.0912803,0.106515,0.0845704,0.0531879,0.0509634,0.0703957,0.0773197,0.0125115,0.00898596,0.0174588,0.0330654,0,0.0220898,0.0356388,0,0,0.019511,0,0,0.033379,0.0783699,0.0304111,0.0127165,0.0232898,0.041757,0.0392183,0.0635695,0.102389,0.0928344,0.0443463,0.0690663,0.0430554,0.0488319,0.08198,0.0328854,0.0111855,0.0107405,0.0199761,0.0202143,0.0243134,0,0,0,0,0.0531603,0.2118
160,0,0,0,0,0,0,0.0312586,0.0402613,0,0,0,0.110053,0,0,0,0.0180798,0,0,0.0276916,0.0926644,0.273594,0.0127301,0.0434582,0.030794,0.0353163,0.0725857,0.09087,0.105997,0.0842444,0.0534761,0.0509706,0.0706539,0.0775196,0.0127068,0.00882225,0.0175275,0.0334952,0,0.0220044,0.03577,0,0,0.0200242,0,0,0.0330382,0.0785504,0.0303706,0.0129998,0.0229696,0.0417679,0.0391862,0.0635105,0.102194,0.092719,0.0446197,0.0690759,0.042924,0.0488925,0.0821901,0.0319099,0.0111817,0.010772,0.0197178,0.0205011,0.0241823,0,0,0,0,0.0532624,0.211725
161,0,0,0,0,0,0,0.0316294,0.0402373,0,0,0,0.111249,0,0,0,0.017978,0,0,0.0275648,0.0922351,0.273039,0.0131002,0.0427057,0.0315684,0.0352852,0.072557,0.0909863,0.106093,0.0845993,0.0531217,0.0504738,0.0702791,0.0769208,0.0128475,0.00885124,0.0174461,0.033669,0,0.0221757,0.0358841,0,0,0.0186634,0,0,0.0331897,0.0786144,0.0303032,0.0133375,0.0224538,0.0414157,0.0390087,0.0637049,0.102153,0.0925396,0.0450264,0.0689565,0.0426318,0.0488505,0.082308,0.0306983,0.0114911,0.0104086,0.0201758,0.02078,0.0239561,0,0,0,0,0.0523589,0.212422
162,0,0,0,0,0,0,0.0318978,0.0402448,0,0,0,0.112361,0,0,0,0.0178375,0,0,0.0275595,0.0920307,0.272628,0.0134422,0.0426488,0.0322243,0.0352374,0.0724541,0.0907616,0.105855,0.0846173,0.0531485,0.0505056,0.0704284,0.0769077,0.0129538,0.00885913,0.017371,0.0340334,0,0.0221792,0.0359545,0,0,0.0186423,0,0,0.0329584,0.0786979,0.030304,0.0136238,0.022033,0.0411283,0.0389398,0.0638848,0.102113,0.0923389,0.0451973,0.0688485,0.0424008,0.0488074,0.0823009,0.0295501,0.0114638,0.0103679,0.0200785,0.0208433,0.0238025,0,0,0,0,0.0518065,0.212647
163,0,0,0,0,0,0,0.0321844,0.0403004,0,0,0,0.113274,0,0,0,0.0177293,0,0,0.0275522,0.0918401,0.27245,0.0136787,0.0424455,0.0327321,0.0352009,0.0723278,0.0905235,0.105613,0.0845797,0.053105,0.0506452,0.0707303,0.0769888,0.0130054,0.00885302,0.0172875,0.0345169,0,0.022104,0.0360784,0,0,0.0187065,0,0,0.0327332,0.078707,0.0302034,0.0139684,0.0216414,0.0409184,0.0387979,0.0641324,0.102287,0.0922574,0.0454558,0.0687915,0.0422245,0.0488204,0.0823872,0.0283044,0.0113658,0.0102947,0.0199685,0.0208326,0.0236259,0,0,0,0,0.0514182,0.212933
164,0,0,0,0,0,0,0.032529,0.04038,0,0,0,0.113908,0,0,0,0.0176469,0,0,0.0275329,0.0916683,0.272248,0.0138514,0.0420765,0.0331066,0.0351692,0.0720678,0.0903133,0.10535,0.0844993,0.0531233,0.050902,0.0707667,0.0770581,0.013058,0.00884868,0.017205,0.0350163,0,0.0220478,0.0362416,0,0,0.0187798,0,0,0.0325334,0.0786526,0.0300397,0.014393,0.0212168,0.0407034,0.0385835,0.0644324,0.102629,0.0922836,0.0458482,0.0687747,0.0421131,0.0489762,0.0825773,0.0270344,0.0112418,0.0102683,0.01981,0.0208057,0.0233816,0,0,0,0,0.0509007,0.21316
165,0,0,0,0,0,0,0.0329275,0.0404432,0,0,0,0.114607,0,0,0,0.0175615,0,0,0.0274889,0.0915651,0.272125,0.0139434,0.041629,0.0333307,0.0351275,0.0717276,0.0900489,0.105034,0.0844659,0.0531353,0.0512084,0.0706842,0.0767879,0.0131229,0.00883746,0.0171564,0.0355227,0,0.0219948,0.036441,0,0,0.0187753,0,0,0.0323457,0.0785194,0.0297982,0.0148824,0.0207637,0.0404827,0.0382875,0.0647989,0.102931,0.0924083,0.0463058,0.0686977,0.0420679,0.0492645,0.0827688,0.0257485,0.011112,0.0102369,0.0196569,0.0208287,0.0230163,0,0,0,0,0.0505434,0.213287
166,0,0,0,0,0,0,0.0333555,0.0405093,0,0,0,0.115536,0,0,0,0.0174745,0,0,0.0274558,0.0914478,0.271935,0.0139993,0.0411861,0.0334511,0.0350607,0.0715782,0.0894998,0.104589,0.0845057,0.0531053,0.0515469,0.0706011,0.07648,0.0131418,0.00886489,0.0171323,0.0359595,0,0.0219374,0.03666,0,0,0.0187531,0,0,0.0322443,0.0783005,0.0294328,0.0153988,0.0202992,0.0402477,0.037953,0.0651332,0.103148,0.0926606,0.046756,0.068698,0.0420689,0.0494417,0.0829124,0.0245228,0.0110159,0.0102598,0.0195026,0.0209368,0.0225912,0,0,0,0,0.0502033,0.213201
167,0,0,0,0,0,0,0.0337645,0.0405884,0,0,0,0.116562,0,0,0,0.017417,0,0,0.0274742,0.0912125,0.271744,0.0140536,0.0407804,0.0335497,0.0349544,0.071344,0.0890102,0.104015,0.0845776,0.0530122,0.0517365,0.070528,0.0761802,0.0131442,0.00891981,0.0170393,0.036395,0,0.0218183,0.0368802,0,0,0.018599,0,0,0.032317,0.0780749,0.029019,0.0159274,0.0199522,0.0400593,0.0376586,0.0654035,0.103268,0.0931609,0.047113,0.0687533,0.0421206,0.0494803,0.0830474,0.0234278,0.0110038,0.0102213,0.0194609,0.0211032,0.0221719,0,0,0,0,0.0500343,0.212997
168,0,0,0,0,0,0,0.0333416,0.0404833,0,0,0,0.122587,0,0,0,0.0176497,0,0,0.0274733,0.0915351,0.279141,0.0158484,0.0393723,0.0342787,0.0354792,0.0700075,0.0893284,0.103135,0.0831246,0.0485998,0.0444772,0.0660887,0.0729183,0.0131255,0.00841733,0.0177835,0.0361338,0,0.0217416,0.0365616,0,0,0.0201643,0,0,0.0317129,0.0781213,0.0282784,0.0165252,0.0204009,0.0401902,0.0377627,0.0649781,0.102922,0.0932948,0.0467161,0.0695202,0.0426816,0.0501921,0.0838208,0.0226245,0.0105636,0.0112994,0.0193175,0.020756,0.0226708,0,0,0,0,0.0447333,0.20468
169,0,0,0,0,0,0,0.0347058,0.040805,0,0,0,0.118453,0,0,0,0.0173169,0,0,0.0275435,0.0905043,0.271475,0.0140462,0.0393074,0.0338595,0.0346837,0.0703557,0.0879337,0.104723,0.0848084,0.0525933,0.0511154,0.0705655,0.0753249,0.0131556,0.0088806,0.017005,0.0374832,0,0.0216059,0.0374369,0,0,0.018484,0,0,0.0324078,0.0777791,0.0285774,0.0169274,0.0192853,0.0396276,0.0370413,0.0658651,0.103439,0.0937431,0.0478561,0.0688315,0.0421168,0.0494378,0.0832079,0.0210652,0.0108911,0.0102334,0.0193201,0.0216788,0.0213288,0,0,0,0,0.0506321,0.212644
170,0,0,0,0,0,0,0.0343253,0.0406937,0,0,0,0.123931,0,0,0,0.0175449,0,0,0.0275305,0.0902727,0.278616,0.0153017,0.0368582,0.0344453,0.0352392,0.0691482,0.0888016,0.105025,0.0838265,0.0477866,0.043984,0.0654305,0.0718534,0.0131567,0.00841864,0.0177349,0.0372028,0,0.02147,0.0370508,0,0,0.0188824,0,0,0.0319029,0.0780551,0.0281793,0.0169085,0.0195806,0.0392555,0.0370519,0.0651902,0.102962,0.093292,0.0475024,0.0694811,0.0425427,0.0502004,0.0840328,0.0204502,0.0106754,0.0109194,0.0197357,0.0213182,0.0219726,0,0,0,0,0.045577,0.206095
171,0,0,0,0,0,0,0.035649,0.041046,0,0,0,0.119416,0,0,0,0.0172003,0,0,0.0275943,0.0897738,0.271305,0.0143116,0.0367371,0.0338941,0.0343885,0.070373,0.0868692,0.10548,0.0858493,0.0513593,0.0510828,0.0689416,0.0740414,0.0131734,0.00883489,0.0170256,0.0390758,0,0.0214206,0.0379868,0,0,0.0181578,0,0,0.032495,0.0776344,0.028367,0.0175002,0.0185869,0.0388328,0.0364782,0.0662343,0.103551,0.0937441,0.0484908,0.0686778,0.0419777,0.0493522,0.0832736,0.0186801,0.010824,0.0101855,0.0193669,0.0221741,0.020615,0,0,0,0,0.0516341,0.213346
172,0,0,0,0,0,0,0.0360994,0.0411791,0,0,0,0.119601,0,0,0,0.0171612,0,0,0.0276432,0.089437,0.271299,0.0146112,0.0350733,0.0341398,0.0341791,0.0710795,0.0865081,0.105658,0.0865406,0.0504266,0.0505833,0.0684057,0.0730084,0.0131627,0.00885822,0.016958,0.0398693,0,0.0212628,0.0382652,0,0,0.0182877,0,0,0.0326156,0.0775162,0.0282597,0.0178529,0.0182443,0.0385266,0.0362389,0.0664783,0.103594,0.0937445,0.0486904,0.0686583,0.0418885,0.0493528,0.0833119,0.0176461,0.0107476,0.0102127,0.0193321,0.0223641,0.0202933,0,0,0,0,0.0521163,0.21399
173,0,0,0,0,0,0,0.0356501,0.0410728,0,0,0,0.123618,0,0,0,0.0172892,0,0,0.0277187,0.0883625,0.278013,0.0152764,0.0306507,0.0348827,0.0347009,0.0707918,0.0879993,0.105787,0.0862732,0.0448461,0.0424025,0.0633526,0.0688167,0.0132905,0.0084992,0.0175937,0.0391979,0,0.0209855,0.0378035,0,0,0.0189849,0,0,0.0321849,0.0780702,0.0280278,0.0173583,0.0181304,0.0380746,0.0363639,0.0656938,0.102902,0.0933714,0.0484234,0.0693854,0.0420945,0.0502348,0.0842692,0.0173969,0.0105441,0.010855,0.0198825,0.0219692,0.0209592,0,0,0,0,0.0475269,0.209459
174,0,0,0,0,0,0,0.0360009,0.0410248,0,0,0,0.123277,0,0,0,0.0172685,0,0,0.0277742,0.0877079,0.277927,0.0156679,0.0277997,0.0349836,0.0345579,0.0710164,0.0880077,0.10626,0.0871646,0.0435502,0.0411675,0.0622967,0.0671346,0.013306,0.00852745,0.0175481,0.039602,0,0.020893,0.0380197,0,0,0.0189948,0,0,0.0322056,0.0778924,0.0279258,0.0179516,0.0177544,0.0377964,0.0362576,0.0658246,0.102928,0.0933185,0.0485337,0.069348,0.04203,0.0502732,0.0843804,0.0166785,0.010481,0.0108971,0.0198714,0.0221597,0.0206165,0,0,0,0,0.0478432,0.21098
175,0,0,0,0,0,0,0.0369593,0.0409974,0,0,0,0.117822,0,0,0,0.0171894,0,0,0.0277481,0.0863557,0.270893,0.0161383,0.025011,0.034802,0.0338079,0.0723461,0.0883056,0.107644,0.089019,0.0447021,0.0442017,0.0648539,0.0679057,0.0131487,0.00891548,0.0169116,0.0418871,0,0.020865,0.0388332,0,0,0.0183446,0,0,0.0327293,0.0771559,0.027784,0.0188926,0.0174451,0.0381834,0.0359695,0.0669304,0.103733,0.0937026,0.0492448,0.0684844,0.041812,0.049335,0.083498,0.0151206,0.0106139,0.0102659,0.0193356,0.0228062,0.0194565,0,0,0,0,0.0530878,0.22042
176,0,0,0,0,0,0,0.0385304,0.0408441,0,0,0,0.112009,0,0,0,0.0169796,0,0,0.0277938,0.0942786,0.267153,0.0225311,0.0235452,0.0358413,0.0335583,0.0752481,0.086271,0.110824,0.0939325,0.0390327,0.0435371,0.0641094,0.0672127,0.0133834,0.00887904,0.016868,0.0446039,0,0.0206476,0.0398497,0,0,0.0186869,0,0,0.032549,0.0780791,0.0277725,0.0202266,0.0164003,0.0382361,0.0349213,0.0677162,0.104137,0.0943164,0.0511281,0.0677426,0.0414013,0.0485238,0.0829247,0.0134237,0.0105045,0.0104965,0.0187728,0.0235184,0.0183694,0,0,0,0,0.0697885,0.216031
177,0,0,0,0,0,0,0.0383099,0.0407729,0,0,0,0.109028,0,0,0,0.0171151,0,0,0.027821,0.113641,0.261054,0.0261284,0.0353364,0.0363983,0.0337469,0.0756143,0.0914032,0.113911,0.0973835,0.028083,0.028796,0.0647182,0.079472,0.0133725,0.00884761,0.0169936,0.045266,0,0.0206985,0.0396807,0,0,0.0181888,0,0,0.0327964,0.0782707,0.0276902,0.0220949,0.016277,0.0395949,0.0349985,0.068114,0.104453,0.0947548,0.0521774,0.0673827,0.0411349,0.0482338,0.0828286,0.0128839,0.010566,0.0101832,0.0191653,0.0234651,0.0184702,0,0,0,0,0.0873614,0.200024
178,0,0,0,0,0,0,0.0375995,0.0408852,0,0,0,0.114945,0,0,0,0.0175382,0,0,0.0276839,0.113679,0.262469,0.0220299,0.0303317,0.0353402,0.0340406,0.0747027,0.0892951,0.11109,0.0953094,0.0289297,0.034697,0.0626034,0.0768177,0.0131314,0.00872017,0.0174679,0.042749,0,0.0200741,0.0393505,0,0,0.0178336,0,0,0.0329315,0.0778908,0.0277479,0.021385,0.0158371,0.0388663,0.0353654,0.067168,0.103585,0.0939204,0.0512057,0.0684878,0.0411923,0.049546,0.0842006,0.013223,0.0105276,0.0101981,0.0192544,0.0233338,0.0187079,0,0,0,0,0.0803692,0.197111
179,0,0,0,0,0,0,0.0371032,0.0410619,0,0,0,0.116288,0,0,0,0.0175627,0,0,0.0278836,0.112565,0.266273,0.0185348,0.0244658,0.0340017,0.0338763,0.0739325,0.0874824,0.109402,0.0946699,0.0296915,0.0352297,0.0630993,0.0777317,0.0130455,0.00889998,0.0171075,0.0425374,0,0.0199444,0.039113,0,0,0.0174417,0,0,0.0335758,0.0773228,0.0274192,0.0212164,0.0158821,0.0387324,0.0359732,0.0667827,0.103275,0.093422,0.0505163,0.0689037,0.0414921,0.0499072,0.0844781,0.0131134,0.0107126,0.00966236,0.0191585,0.0234153,0.0187282,0,0,0,0,0.0769595,0.191543
180,0,0,0,0,0,0,0.0366066,0.041231,0,0,0,0.118385,0,0,0,0.0175842,0,0,0.0281172,0.111691,0.269976,0.0150726,0.0186846,0.0326852,0.0337807,0.0732932,0.0858336,0.10824,0.0943635,0.0311079,0.0360835,0.0637386,0.0787671,0.0130258,0.00894591,0.0168982,0.0426904,0,0.019794,0.0388636,0,0,0.0172251,0,0,0.0340467,0.0766633,0.0270256,0.0210174,0.0161661,0.038331,0.0364643,0.066443,0.103056,0.0929219,0.0497567,0.0692222,0.041799,0.0503136,0.0847751,0.0129482,0.0107866,0.00928804,0.0190721,0.0234802,0.0187177,0,0,0,0,0.0735909,0.185907
181,0,0,0,0,0,0,0.0359794,0.041743,0,0,0,0.121168,0,0,0,0.0176954,0,0,0.0283286,0.111173,0.273812,0.0119001,0.0138512,0.0313848,0.0336803,0.0733872,0.0841308,0.107179,0.0943701,0.0330549,0.0369143,0.0644649,0.0803291,0.0130048,0.00905434,0.0167556,0.0431232,0,0.0193038,0.0387633,0,0,0.0168495,0,0,0.0344435,0.0759347,0.0268585,0.0210164,0.0165126,0.037926,0.0366181,0.0661782,0.102835,0.0923555,0.0489617,0.0694862,0.0420785,0.0508033,0.085214,0.0127707,0.0107223,0.00922339,0.0187115,0.0237833,0.0185778,0,0,0,0,0.0703366,0.179759
182,0,0,0,0,0,0,0.0361055,0.0410883,0,0,0,0.1231,0,0,0,0.0178017,0,0,0.0282269,0.107871,0.276238,0.00887045,0.0112065,0.0295668,0.0335692,0.0738379,0.0837536,0.107273,0.0948476,0.03499,0.0378995,0.0651536,0.0814638,0.0127825,0.00888865,0.0168426,0.0422886,0,0.0198353,0.038611,0,0,0.0174487,0,0,0.0344506,0.0759081,0.026205,0.0209609,0.0161238,0.0375639,0.0375283,0.0655877,0.102091,0.0919607,0.0484261,0.0699466,0.0423588,0.0512098,0.085579,0.0125482,0.0113947,0.00894591,0.0196441,0.0234511,0.0187106,0,0,0,0,0.0677355,0.176061
