Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LANK,LTOE
122,0,0,0,0,0,0,0.0355687,0.0397264,0,0,0,0.134069,0,0,0,0.0178984,0,0,0.0302734,0.115337,0.266873,0.0148563,0.0113232,0.0174823,0.0339087,0.0767942,0.0875229,0.110298,0.0956093,0.0248053,0.0289712,0.0585724,0.0713226,0.0136989,0.00902429,0.0175348,0.0340526,0,0.0242687,0.0375867,0,0,0.0169858,0,0,0.0348692,0.0674683,0.0252171,0.0212983,0.0274219,0.0420602,0.0343376,0.0694499,0.101397,0.0883084,0.0494763,0.075614,0.044485,0.0571384,0.0921558,0.0217182,0.00953235,0.00929774,0.0181639,0.0212362,0.0194701,0,0,0,0,0.0733422,0.184024
123,0,0,0,0,0,0,0.0351053,0.0397683,0,0,0,0.134531,0,0,0,0.0179021,0,0,0.0306532,0.115393,0.266543,0.0141004,0.0112704,0.0181809,0.0346184,0.0761421,0.0871357,0.110152,0.0950043,0.0248214,0.0289805,0.0583194,0.0709371,0.0140102,0.00893509,0.0175935,0.0451544,0,0.0186937,0.0371922,0,0,0.0171854,0,0,0.0349567,0.0676613,0.0239859,0.0193732,0.0194204,0.0409369,0.0342504,0.068768,0.104776,0.0908326,0.0491562,0.075421,0.046109,0.0566826,0.0908468,0.011391,0.00941845,0.00924265,0.0183786,0.0211089,0.0201702,0,0,0,0,0.0729031,0.18467
124,0,0,0,0,0,0,0.0361536,0.0397118,0,0,0,0.134119,0,0,0,0.0178933,0,0,0.0301405,0.116099,0.26629,0.0154334,0.0108124,0.0171652,0.0336383,0.0762313,0.0870918,0.110393,0.0952039,0.0247841,0.0289841,0.0586076,0.0709543,0.0133318,0.00918407,0.0177947,0.0309867,0,0.026702,0.0380875,0,0,0.0169603,0,0,0.035066,0.0668957,0.0264512,0.0220907,0.032492,0.0417911,0.0341445,0.0703391,0.100822,0.0879777,0.0504859,0.0760216,0.0441101,0.0574089,0.0931143,0.0232259,0.00958201,0.00935432,0.018522,0.021269,0.0193127,0,0,0,0,0.0730233,0.184276
125,0,0,0,0,0,0,0.035887,0.0398537,0,0,0,0.134264,0,0,0,0.0179548,0,0,0.0303548,0.116318,0.266075,0.0144767,0.0108153,0.0172488,0.0343098,0.0754058,0.0864685,0.109832,0.0943811,0.0249513,0.0288273,0.0585339,0.0709665,0.0133966,0.00923435,0.0178454,0.0421414,0,0.0214267,0.0379167,0,0,0.0169737,0,0,0.0351294,0.0664478,0.0237476,0.0207555,0.022187,0.0412144,0.0338909,0.0697394,0.104313,0.0906536,0.0505371,0.0759501,0.0458179,0.0573558,0.0920824,0.0123812,0.0097501,0.00925925,0.0185452,0.0211931,0.0198132,0,0,0,0,0.0729198,0.184634
126,0,0,0,0,0,0,0.0362282,0.0398712,0,0,0,0.133953,0,0,0,0.0179308,0,0,0.0301891,0.116471,0.26552,0.0144151,0.0110974,0.0175119,0.0343898,0.0749584,0.086099,0.109441,0.0938339,0.0251665,0.0288651,0.0582486,0.0706448,0.0133102,0.00930264,0.0179264,0.0427336,0,0.0217663,0.0380753,0,0,0.0172712,0,0,0.0349711,0.0662159,0.0235507,0.0206176,0.0225522,0.0413022,0.0337102,0.0700508,0.104725,0.0908709,0.05092,0.0761871,0.0458993,0.0576203,0.0924091,0.0118011,0.00995668,0.00958755,0.0185617,0.0211161,0.0199072,0,0,0,0,0.0727577,0.185449
127,0,0,0,0,0,0,0.0377914,0.0392777,0,0,0,0.132639,0,0,0,0.0177734,0,0,0.0302597,0.115939,0.263554,0.0156601,0.0115962,0.017686,0.033658,0.0746594,0.086028,0.109108,0.0931547,0.0256628,0.0290733,0.0590371,0.0707697,0.0129528,0.00893583,0.0174694,0.0331222,0,0.0265348,0.0391322,0,0,0.0179542,0,0,0.0348369,0.0657033,0.0262924,0.0219098,0.0340338,0.0423098,0.033236,0.072198,0.102508,0.0886352,0.0516542,0.0758696,0.0436005,0.0572045,0.0931528,0.0222895,0.0105489,0.00967947,0.0182296,0.0208414,0.0195147,0,0,0,0,0.0739658,0.188003
128,0,0,0,0,0,0,0.0371999,0.0392213,0,0,0,0.129373,0,0,0,0.0180306,0,0,0.029848,0.112715,0.264363,0.0133521,0.0130334,0.0175278,0.0341516,0.073915,0.0850476,0.109054,0.0920876,0.024137,0.02747,0.0562635,0.0651367,0.0130476,0.00928453,0.0180235,0.0438236,0,0.0217191,0.0386823,0,0,0.0188747,0,0,0.0339631,0.0657588,0.0228492,0.0209,0.0230197,0.0421351,0.0333089,0.0715229,0.105861,0.0908779,0.0510572,0.0762995,0.0456739,0.0578661,0.092686,0.0114755,0.0105353,0.0106739,0.018809,0.0206157,0.0202006,0,0,0,0,0.0710691,0.196466
129,0,0,0,0,0,0,0.0391824,0.038563,0,0,0,0.13079,0,0,0,0.0182512,0,0,0.0287642,0.114898,0.261115,0.0172575,0.0133368,0.0179435,0.0328481,0.0734049,0.0854659,0.108019,0.0911859,0.027073,0.0297974,0.0596352,0.0704186,0.0124285,0.00970719,0.0185316,0.0330932,0,0.0266403,0.0401944,0,0,0.01791,0,0,0.0340287,0.065743,0.0257709,0.0210448,0.0342486,0.0433111,0.0325551,0.073144,0.103118,0.0886048,0.0519349,0.0759055,0.0432947,0.0574563,0.0933454,0.0227076,0.0114819,0.00983844,0.0193044,0.020534,0.0195972,0,0,0,0,0.075542,0.191332
130,0,0,0,0,0,0,0.0392092,0.0383291,0,0,0,0.129788,0,0,0,0.0182659,0,0,0.0287674,0.114485,0.25971,0.0173961,0.0148936,0.0183627,0.0332527,0.072973,0.0854366,0.107366,0.0902357,0.0276437,0.0304604,0.0596539,0.0701499,0.0125529,0.00971976,0.0185867,0.0435405,0,0.0216216,0.0402065,0,0,0.0184349,0,0,0.0337348,0.0655139,0.02331,0.0199934,0.0227401,0.0427963,0.0323475,0.0727655,0.106619,0.0909121,0.0511503,0.075349,0.044668,0.0572038,0.0918182,0.0132501,0.0116935,0.00984519,0.0193687,0.0204073,0.0200449,0,0,0,0,0.0763582,0.19301
131,0,0,0,0,0,0,0.038382,0.0395044,0,0,0,0.12627,0,0,0,0.0176927,0,0,0.0282485,0.109602,0.262363,0.0151701,0.0157024,0.0177409,0.0321684,0.0731059,0.0847308,0.107964,0.0902062,0.0262237,0.0295501,0.0553994,0.0624111,0.0129466,0.0102585,0.0184037,0.0343124,0,0.0262212,0.0397216,0,0,0.0185171,0,0,0.0328733,0.0671141,0.0244399,0.0194474,0.032198,0.0439266,0.0323142,0.071785,0.102133,0.087388,0.0499755,0.0766454,0.0445876,0.0585314,0.0938758,0.021071,0.0107267,0.0112878,0.019209,0.0211132,0.019918,0,0,0,0,0.0701644,0.200937
