Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,L5HD,LWRB,LTIBI,LWRA,LILC,LBHD
165,0,0,0,0,0,0,0.0364493,0.0424134,0,0,0,0.052183,0.0180221,0,0.0138763,0,0,0.0268973,0.0832876,0.0146433,0.019982,0.0189776,0.0238538,0.0358922,0.0410654,0.0599247,0.0496554,0.0199446,0.0193164,0.0327885,0.0191367,0.0140126,0.0424743,0,0.0274618,0.0396155,0,0,0.0194669,0,0,0.0311911,0.068983,0.0408144,0.0198883,0.024115,0.040513,0.034433,0.0259804,0.0591625,0.0621797,0.0322469,0.0538983,0.0325185,0.03494,0.0702749,0.0135749,0.00965592,0.0104054,0.0177594,0.0221316,0.0233339,0,0,0,0,0,0.0156868,0.0317834,0.00856048,0.0123243,0
166,0,0,0,0,0,0,0.0355109,0.0430334,0,0,0,0.0508253,0.015256,0,0.0124468,0,0,0.0282806,0.0832385,0.0164705,0.0163399,0.0166345,0.0243318,0.0366479,0.0390088,0.0599573,0.0518263,0.0241611,0.0230644,0.0379831,0.021607,0.0145169,0.0413236,0,0.0268582,0.0387885,0,0,0.0195117,0,0,0.0316503,0.0694496,0.0409908,0.0202724,0.0233515,0.0390503,0.0351926,0.0248303,0.0576866,0.0612474,0.0319018,0.0547023,0.03165,0.0361252,0.0716065,0.0129469,0.00919491,0.00969752,0.0175823,0.0225258,0.023237,0,0,0,0,0,0.0149743,0.0351831,0.00821475,0.0127578,0
167,0,0,0,0,0,0,0.0350773,0.0433603,0,0,0,0.0546304,0.0118133,0,0.0117074,0,0,0.0291609,0.0821908,0.0209447,0.0182974,0.0151642,0.0246472,0.0383827,0.0400311,0.0622923,0.0552938,0.0264808,0.023854,0.0408673,0.0273561,0.0148783,0.0423105,0,0.0266135,0.0383483,0,0,0.0197427,0,0,0.0318169,0.0696012,0.0409282,0.0203309,0.0233072,0.0378694,0.0354603,0.0241538,0.0570624,0.0609693,0.0318105,0.0549557,0.0318113,0.0363828,0.071868,0.0124862,0.00918881,0.00935618,0.0175752,0.0226272,0.0232892,0,0,0,0,0,0.0144852,0.0358916,0.00827938,0.0139003,0
168,0,0,0,0,0,0,0.0353187,0.0431716,0,0,0,0.0587188,0.00932838,0,0.0123,0,0,0.0285062,0.0807089,0.0236811,0.0226595,0.0140423,0.0255931,0.0405112,0.0433513,0.0655819,0.0584182,0.028833,0.0245408,0.0428367,0.0310104,0.0143585,0.041948,0,0.026301,0.0385086,0,0,0.0204,0,0,0.0318776,0.0690861,0.040288,0.0211822,0.023568,0.0352879,0.035437,0.0236142,0.0563573,0.0603843,0.0311057,0.0554656,0.0320637,0.0368892,0.0721434,0.0115416,0.00948594,0.00892418,0.0176862,0.0227697,0.0232985,0,0,0,0,0,0.0158384,0.0360124,0.00815171,0.0165264,0
169,0,0,0,0,0,0,0.0352528,0.0433167,0,0,0,0.0615435,0.00915584,0,0.0121472,0,0,0.0287609,0.0791402,0.0264314,0.0263285,0.0141893,0.0259394,0.042202,0.0459698,0.0683604,0.0610716,0.0309691,0.0250602,0.0439013,0.0339591,0.0143984,0.0425598,0,0.0259287,0.0384119,0,0,0.0206685,0,0,0.0320786,0.068878,0.0399851,0.0215134,0.0236332,0.0341375,0.0355268,0.0231689,0.0559748,0.0599954,0.0312098,0.0556614,0.0322145,0.0370773,0.0722633,0.0110598,0.00948653,0.0086321,0.0177524,0.0230744,0.023122,0,0,0,0,0,0.0158577,0.0360406,0.00811825,0.01798,0
170,0,0,0,0,0,0,0.03531,0.0433827,0,0,0,0.0620159,0.00960537,0,0.0121919,0,0,0.0289024,0.0774608,0.0272503,0.0261863,0.0146997,0.0260014,0.0426875,0.0470825,0.0693217,0.0617829,0.031463,0.0253795,0.0436702,0.0342028,0.0144258,0.0431866,0,0.0256671,0.0383951,0,0,0.0207051,0,0,0.0320594,0.0687492,0.0399867,0.0217801,0.0237133,0.0337395,0.0354987,0.022821,0.0556761,0.059617,0.031312,0.0557066,0.0321539,0.0370696,0.0722724,0.0107185,0.00934802,0.00870938,0.0175905,0.0232887,0.0227948,0,0,0,0,0,0.0158587,0.0360151,0.00817942,0.0180999,0
171,0,0,0,0,0,0,0.0353954,0.0433657,0,0,0,0.0598525,0.0099877,0,0.012488,0,0,0.0287852,0.076121,0.0254229,0.0227461,0.0154217,0.0258773,0.0416964,0.0460379,0.0679841,0.0603567,0.0306252,0.0257686,0.0429013,0.0318906,0.0143828,0.0437101,0,0.0257043,0.0383626,0,0,0.0205552,0,0,0.0321621,0.068732,0.0404568,0.0218955,0.0236172,0.0342408,0.0353627,0.0226234,0.0554725,0.0594894,0.0314549,0.0554782,0.0317054,0.036844,0.0721515,0.010637,0.00921022,0.00899556,0.0174948,0.023245,0.023013,0,0,0,0,0,0.0158938,0.036319,0.00825068,0.0169655,0
172,0,0,0,0,0,0,0.0348801,0.0437373,0,0,0,0.0561834,0.0107365,0,0.011786,0,0,0.0298961,0.0760718,0.0235772,0.018841,0.0168406,0.0253814,0.0397745,0.0434256,0.0653459,0.0582108,0.0292264,0.0264846,0.0422755,0.0299268,0.015095,0.045481,0,0.0260483,0.037693,0,0,0.0200806,0,0,0.032355,0.0690119,0.0415327,0.0213679,0.0235255,0.0361528,0.0353452,0.0226256,0.0558005,0.0598147,0.0321286,0.0547472,0.0310814,0.036271,0.0716677,0.0118381,0.00865405,0.00932147,0.0172837,0.0230644,0.0235327,0,0,0,0,0,0.0145224,0.0367712,0.00838075,0.0145836,0
173,0,0,0,0,0,0,0.0347628,0.0436614,0,0,0,0.0527137,0.0127864,0,0.0123743,0,0,0.0294058,0.0777856,0.0201361,0.0150116,0.0179675,0.0254876,0.0376032,0.0418996,0.0627061,0.0554323,0.0271806,0.0263189,0.0413595,0.0264886,0.0148451,0.0457983,0,0.0265247,0.0375054,0,0,0.0198788,0,0,0.0324702,0.0690682,0.0422936,0.0213904,0.023594,0.037117,0.0350794,0.0225983,0.0559619,0.0597585,0.0322338,0.054178,0.0304385,0.0358015,0.0711465,0.0122055,0.00843286,0.00976701,0.017196,0.0225442,0.0240366,0,0,0,0,0,0.0148195,0.037292,0.00853449,0.013512,0
174,0,0,0,0,0,0,0.0350241,0.0433979,0,0,0,0.0491798,0.0159362,0,0.0128167,0,0,0.0288631,0.0802375,0.0166196,0.0142542,0.019403,0.025082,0.0356904,0.0413698,0.0606225,0.0527281,0.0252771,0.0250924,0.0401723,0.0225627,0.014725,0.0461495,0,0.0266058,0.0377015,0,0,0.0177775,0,0,0.0329184,0.069212,0.0429235,0.0214818,0.0239044,0.0384909,0.0342368,0.0218912,0.0559079,0.0596994,0.0322595,0.0538143,0.0300735,0.0353735,0.0706603,0.0132304,0.00898276,0.0117354,0.0173737,0.0214084,0.0247086,0,0,0,0,0,0.0148009,0.0371927,0.00960107,0.0127274,0
