Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.0291035,0.0403495,0,0,0,0.0330089,0,0.0233275,0,0,0.0200586,0,0,0.0274748,0.0872694,0.0250309,0.0125774,0.0167462,0.0196368,0.0397727,0.0634092,0.085348,0.0928058,0.071487,0.0370701,0.0310856,0.0362646,0.0419803,0.0391494,0.0124809,0.0098177,0.0160321,0.0344348,0,0.0255824,0.0334464,0,0,0.0186093,0,0,0.0343941,0.0742427,0.0364572,0.0236653,0.0223969,0.0352989,0.0379469,0.0586583,0.0940143,0.0829583,0.0410726,0.065251,0.0383154,0.0459002,0.0793478,0.0312573,0.00977312,0.0115546,0.0164892,0.0211518,0.0278084,0,0,0,0
0,0,0,0,0,0,0,0.0310102,0.0405411,0,0,0,0.0294672,0,0.0217893,0,0,0.0195763,0,0,0.0279809,0.0899161,0.0293819,0.0180272,0.0167606,0.0174045,0.0384667,0.0663216,0.0843394,0.0961818,0.0740649,0.0346539,0.0284129,0.0366847,0.0435343,0.0429479,0.0123611,0.0100135,0.0160926,0.0374154,0,0.0233878,0.0351963,0,0,0.019493,0,0,0.0350486,0.0703677,0.0262118,0.0276564,0.0228827,0.0372121,0.0391737,0.0600946,0.0962149,0.0819401,0.0427346,0.0716853,0.0458278,0.0518367,0.0862807,0.0243682,0.00951588,0.011225,0.016797,0.0243002,0.0265093,0,0,0,0
1,0,0,0,0,0,0,0.0313095,0.0404315,0,0,0,0.0300772,0,0.0209627,0,0,0.0195049,0,0,0.0279183,0.089831,0.0288867,0.0176169,0.0170315,0.0173147,0.0384072,0.0658569,0.0840769,0.0957723,0.0734531,0.0352042,0.0290908,0.0375354,0.0443856,0.0426916,0.0124115,0.0100987,0.0158977,0.0368881,0,0.0238162,0.0354378,0,0,0.0192692,0,0,0.0351402,0.0705203,0.0272491,0.0276276,0.0232517,0.0366349,0.0391139,0.0603364,0.0965094,0.08164,0.0423916,0.0714209,0.0452325,0.0515379,0.086076,0.0257209,0.00829073,0.0112182,0.0168567,0.0243128,0.0261672,0,0,0,0
2,0,0,0,0,0,0,0.0315793,0.040357,0,0,0,0.0306747,0,0.0205989,0,0,0.0193865,0,0,0.0278858,0.0900349,0.028245,0.0170465,0.0170881,0.0174462,0.0382092,0.0650917,0.0836612,0.0952815,0.0727845,0.0354455,0.029404,0.0377787,0.0448872,0.0422341,0.0123768,0.0101608,0.0157918,0.0368472,0,0.024125,0.0355954,0,0,0.0191698,0,0,0.0351337,0.0707749,0.0285511,0.027333,0.0233212,0.0360172,0.0389959,0.0602301,0.0966059,0.0813399,0.0421252,0.0712045,0.0448419,0.0513804,0.0859671,0.0261783,0.00865822,0.0112798,0.0166872,0.0243139,0.02584,0,0,0,0
3,0,0,0,0,0,0,0.0318213,0.0403464,0,0,0,0.0311253,0,0.0204978,0,0,0.0192737,0,0,0.0279478,0.0903414,0.0276167,0.0164648,0.01712,0.0176594,0.0380616,0.06429,0.0832023,0.0947809,0.0720726,0.0354748,0.0295258,0.0379088,0.0451116,0.0419575,0.0123571,0.0101898,0.015733,0.0369339,0,0.0243989,0.0356726,0,0,0.0191575,0,0,0.0350303,0.0710162,0.0296396,0.0269665,0.023031,0.0353391,0.0387714,0.0600499,0.0964529,0.0811222,0.0418459,0.0709072,0.0444286,0.0511221,0.0857741,0.0261067,0.00901017,0.0113232,0.0164966,0.0242676,0.0255961,0,0,0,0
4,0,0,0,0,0,0,0.0319966,0.040378,0,0,0,0.0312981,0,0.0204969,0,0,0.019186,0,0,0.0280248,0.0906891,0.0271893,0.0159077,0.0171957,0.0179304,0.0380198,0.0634686,0.0827213,0.0942571,0.0714338,0.0354733,0.0294987,0.0382454,0.0449313,0.0420112,0.0123748,0.0101914,0.0157084,0.0370039,0,0.0245665,0.0356905,0,0,0.0191831,0,0,0.0349146,0.0711902,0.0301612,0.0266418,0.0225609,0.0346956,0.0383843,0.0599969,0.096211,0.0811006,0.0417224,0.0704813,0.0440226,0.0507291,0.0854093,0.0258543,0.00904234,0.0113258,0.0163094,0.0241822,0.0255038,0,0,0,0
5,0,0,0,0,0,0,0.0321064,0.0405016,0,0,0,0.031218,0,0.0207291,0,0,0.0191381,0,0,0.0280688,0.0909964,0.026905,0.015317,0.0171875,0.0182241,0.0381586,0.0626713,0.0822394,0.0936654,0.0708392,0.0354833,0.0294093,0.0383951,0.0447282,0.0423364,0.0123893,0.0102089,0.0157118,0.0370792,0,0.0246302,0.0356963,0,0,0.0192479,0,0,0.0348325,0.0712625,0.0302467,0.0263982,0.0221676,0.0341606,0.0380518,0.0598563,0.096055,0.0813388,0.0417529,0.0700422,0.0436794,0.0503403,0.0849723,0.0255491,0.00896841,0.0112721,0.016355,0.0241366,0.0254786,0,0,0,0
6,0,0,0,0,0,0,0.0321619,0.0406243,0,0,0,0.0309761,0,0.0210561,0,0,0.0191545,0,0,0.0281057,0.091178,0.0267147,0.0146773,0.0171555,0.0185719,0.0383677,0.0618755,0.0818935,0.0930691,0.0703945,0.0355429,0.029347,0.0383908,0.0446946,0.0427502,0.0124112,0.0102617,0.0157099,0.0372072,0,0.0245925,0.0356691,0,0,0.0192802,0,0,0.0347562,0.0711886,0.0300584,0.0261781,0.0219096,0.0337349,0.0378446,0.0599375,0.0960598,0.0818362,0.0419584,0.0696931,0.0434034,0.0500678,0.0846463,0.0252169,0.00895811,0.0112042,0.016386,0.0240812,0.0254793,0,0,0,0
7,0,0,0,0,0,0,0.0321487,0.0406874,0,0,0,0.030857,0,0.0210305,0,0,0.0191932,0,0,0.0281293,0.0912016,0.0263499,0.014017,0.0171263,0.0189528,0.0385566,0.0612233,0.0817615,0.0927004,0.0699208,0.035617,0.0292908,0.0383221,0.0447093,0.0430253,0.0124581,0.0102697,0.0156947,0.0373773,0,0.0244685,0.0356322,0,0,0.0192895,0,0,0.0346874,0.0709865,0.0297301,0.0260787,0.0217115,0.0333855,0.0376544,0.0602817,0.0961525,0.0825146,0.042241,0.0694936,0.0432455,0.0498505,0.0844435,0.0247266,0.00903602,0.0111771,0.016349,0.0240062,0.0254488,0,0,0,0
8,0,0,0,0,0,0,0.0320727,0.0406698,0,0,0,0.0310216,0,0.0209258,0,0,0.0192022,0,0,0.0281291,0.0910962,0.0257319,0.0133605,0.017123,0.0193026,0.0386704,0.0608146,0.0818643,0.0924232,0.069558,0.0356752,0.0293121,0.0382655,0.0446439,0.0430101,0.0124981,0.0102214,0.015637,0.0375641,0,0.0242714,0.035606,0,0,0.0193202,0,0,0.0346452,0.0707777,0.0294221,0.0260173,0.0216558,0.0330652,0.0375367,0.0605567,0.0962839,0.0832224,0.0426742,0.0693451,0.0430952,0.0496884,0.0842789,0.0241455,0.00924815,0.0111856,0.016289,0.0239228,0.0253683,0,0,0,0
9,0,0,0,0,0,0,0.0319737,0.0405947,0,0,0,0.0313061,0,0.0207622,0,0,0.0192249,0,0,0.0281092,0.0909237,0.0250782,0.0126889,0.0170885,0.0196185,0.0386846,0.0605711,0.0821025,0.0922917,0.0693684,0.0358129,0.0295592,0.0382871,0.0445718,0.0426041,0.0125319,0.0102024,0.0155575,0.0377859,0,0.0241518,0.0356153,0,0,0.019355,0,0,0.0346275,0.070649,0.0294349,0.0259167,0.021666,0.0327614,0.0375076,0.060891,0.0963762,0.0837756,0.0431239,0.0691518,0.0428361,0.0495698,0.0841482,0.0235986,0.0095133,0.0112191,0.0162499,0.0238801,0.0252558,0,0,0,0
