Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LILC
61,0,0,0,0,0,0,0.0263869,0.043139,0,0,0,0.0366076,0,0.025151,0,0,0.0161905,0,0,0.0281092,0.102789,0.0215448,0.0220517,0.0517847,0.0305401,0.0579471,0.0783131,0.0853021,0.072215,0.0418837,0.0355738,0.036754,0.043618,0.0314204,0.0150706,0.00923761,0.0149651,0.0290062,0,0.0285907,0.0307925,0,0,0.0175714,0,0,0.0360473,0.089974,0.048672,0.00372606,0.0261382,0.0490449,0.024976,0.0505594,0.0869327,0.0810338,0.0376183,0.0588838,0.0321112,0.0393725,0.0716565,0.0475542,0.0149239,0.0117822,0.0135911,0.0229112,0.0371861,0,0,0,0,0.0427384
62,0,0,0,0,0,0,0.0263246,0.0431639,0,0,0,0.0365771,0,0.0253671,0,0,0.0161157,0,0,0.0281086,0.1027,0.0214082,0.0215802,0.0515624,0.0302804,0.0580108,0.0782794,0.0855992,0.0724049,0.0415522,0.0351881,0.0368683,0.0435151,0.0315507,0.015077,0.00919425,0.0149087,0.029034,0,0.028146,0.0307902,0,0,0.0173375,0,0,0.0360718,0.0897065,0.047728,0.00432073,0.0262863,0.0493659,0.0251548,0.0507333,0.0872056,0.0815026,0.0378601,0.0595295,0.0327903,0.0400595,0.0722987,0.0478047,0.0148608,0.0117931,0.0136874,0.0229453,0.036948,0,0,0,0,0.0425547
63,0,0,0,0,0,0,0.0263625,0.0432376,0,0,0,0.0369054,0,0.0253883,0,0,0.0160496,0,0,0.0281126,0.102493,0.0210152,0.021141,0.0512834,0.0300594,0.0582153,0.0783279,0.0859472,0.0727076,0.0414694,0.0350883,0.0373015,0.043432,0.0314926,0.0150702,0.0091955,0.0148812,0.0291038,0,0.0275718,0.0308176,0,0,0.017117,0,0,0.0360908,0.0893165,0.0468504,0.00522182,0.0265531,0.0498059,0.0253825,0.0510551,0.0875647,0.0820593,0.0381678,0.0604157,0.033455,0.040993,0.0732088,0.0484368,0.0147212,0.0118288,0.0138064,0.0230258,0.0366008,0,0,0,0,0.0423335
64,0,0,0,0,0,0,0.0264744,0.0433681,0,0,0,0.0374296,0,0.0252906,0,0,0.015989,0,0,0.028118,0.102261,0.0204893,0.0207898,0.0509543,0.0298355,0.0585354,0.0784309,0.0862907,0.0730712,0.0415661,0.0352006,0.0375217,0.0435517,0.0312371,0.015071,0.00922353,0.0149349,0.0292574,0,0.0270017,0.0308807,0,0,0.0169772,0,0,0.0360717,0.0888359,0.0460465,0.0062918,0.0268357,0.0502833,0.0255368,0.0513492,0.0880308,0.0825952,0.0384536,0.0614819,0.0341705,0.042093,0.0743086,0.0494993,0.0145099,0.0118313,0.0139259,0.0231585,0.0362466,0,0,0,0,0.0420671
65,0,0,0,0,0,0,0.026615,0.0435577,0,0,0,0.0380041,0,0.0252145,0,0,0.0159543,0,0,0.028123,0.102084,0.0200835,0.0204579,0.0505433,0.0295885,0.0588986,0.0785421,0.0866338,0.0734263,0.0415903,0.0352781,0.037698,0.0437981,0.0308619,0.0150676,0.00924598,0.0150145,0.0294654,0,0.0264702,0.0309704,0,0,0.0169182,0,0,0.0359726,0.0883054,0.0453645,0.0074732,0.0271322,0.0507631,0.0256463,0.0516848,0.0885861,0.0830278,0.0386774,0.0626011,0.0349293,0.0432429,0.0754876,0.0508179,0.0142262,0.0118219,0.0140016,0.0233292,0.0359381,0,0,0,0,0.0417623
66,0,0,0,0,0,0,0.0267715,0.0437821,0,0,0,0.0384135,0,0.0252466,0,0,0.0159381,0,0,0.0281091,0.102012,0.0197642,0.0202,0.0500301,0.0292923,0.0591842,0.0785996,0.0869034,0.0736938,0.0414304,0.0351308,0.0376206,0.0437384,0.0304255,0.0150821,0.00922607,0.014887,0.0296619,0,0.026048,0.0311149,0,0,0.0169391,0,0,0.0358421,0.0877754,0.04472,0.00871116,0.0275521,0.0512326,0.02571,0.0520802,0.0891424,0.083392,0.0388187,0.0636519,0.0357467,0.0443471,0.0766139,0.0525659,0.0139425,0.0117615,0.0140478,0.0235184,0.0356839,0,0,0,0,0.0414
67,0,0,0,0,0,0,0.026892,0.0440408,0,0,0,0.038632,0,0.0253574,0,0,0.0159153,0,0,0.0280768,0.101995,0.019479,0.0200033,0.049439,0.0289808,0.0592032,0.0785848,0.0871111,0.0738494,0.041114,0.0346247,0.0374366,0.0434609,0.0299387,0.0151242,0.00925109,0.0147711,0.0297838,0,0.0257613,0.0312598,0,0,0.0170327,0,0,0.0356877,0.0872506,0.0440908,0.00993069,0.0280839,0.0516651,0.0257225,0.0524997,0.0896949,0.0836802,0.0388742,0.0645903,0.0365741,0.0453194,0.0775976,0.0547392,0.0137266,0.0117066,0.0140353,0.023739,0.0354531,0,0,0,0,0.0409427
68,0,0,0,0,0,0,0.0269822,0.0443309,0,0,0,0.0386599,0,0.0255117,0,0,0.0158295,0,0,0.0280282,0.102051,0.0192062,0.0198708,0.0488309,0.0286893,0.059185,0.0784492,0.087226,0.0739061,0.0406692,0.0339618,0.0370718,0.0430524,0.029503,0.0151828,0.00924675,0.0147342,0.029796,0,0.0255628,0.0313618,0,0,0.0171428,0,0,0.035588,0.0867406,0.043413,0.0111109,0.0286258,0.0520373,0.0256765,0.0529306,0.0902367,0.0838617,0.0389331,0.0654014,0.0373489,0.0460464,0.0784105,0.0568211,0.0136225,0.0117013,0.0140893,0.023947,0.0352562,0,0,0,0,0.0404753
69,0,0,0,0,0,0,0.0270713,0.0446343,0,0,0,0.038645,0,0.0257054,0,0,0.0157359,0,0,0.0280037,0.102113,0.0189083,0.0197746,0.0482597,0.0284078,0.0592351,0.0782983,0.0873346,0.0739404,0.0401761,0.0334605,0.0367671,0.0426582,0.0291924,0.0152181,0.00921123,0.0147251,0.0297707,0,0.0253657,0.0314049,0,0,0.017168,0,0,0.0355544,0.0862228,0.0426561,0.0122147,0.0290886,0.0523511,0.0255826,0.0533223,0.090774,0.084016,0.0390171,0.066052,0.0380249,0.046601,0.0790597,0.0584057,0.0136165,0.0116897,0.0141201,0.024157,0.035108,0,0,0,0,0.0400944
70,0,0,0,0,0,0,0.0271271,0.0449705,0,0,0,0.038505,0,0.0258827,0,0,0.0156884,0,0,0.028013,0.102182,0.0185711,0.0196524,0.0477692,0.0281353,0.0593036,0.0781651,0.0874239,0.0739966,0.0397939,0.0330568,0.0364017,0.0422106,0.0289515,0.0151881,0.00923167,0.0146923,0.0297694,0,0.0252268,0.0313849,0,0,0.0171044,0,0,0.0355471,0.0856721,0.0418893,0.013291,0.029437,0.0526447,0.0255542,0.0536785,0.0913018,0.0841555,0.0390918,0.0666051,0.0386695,0.0471056,0.0795807,0.0592932,0.0136643,0.0116945,0.014128,0.0243776,0.0349772,0,0,0,0,0.0398129
