Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LILC
81,0,0,0,0,0,0,0.0265809,0.0452224,0,0,0,0.038471,0,0.0264659,0,0,0.0155502,0,0,0.0282514,0.102989,0.0170347,0.0188424,0.0435427,0.0260031,0.0603887,0.0781922,0.0887208,0.0754849,0.0371133,0.0300116,0.0344065,0.0405093,0.027228,0.014962,0.00929414,0.0144795,0.029705,0,0.0229181,0.0305829,0,0,0.0163567,0,0,0.0351795,0.0778938,0.0300907,0.0261201,0.0295312,0.0566774,0.0268002,0.0572257,0.0945799,0.0837698,0.0394588,0.0713499,0.0435683,0.0523689,0.0865141,0.035473,0.013166,0.0118195,0.0144465,0.025734,0.0338556,0,0,0,0,0.0398339
82,0,0,0,0,0,0,0.0266243,0.0452598,0,0,0,0.038824,0,0.0264263,0,0,0.0155556,0,0,0.0282732,0.10311,0.0170082,0.0188805,0.0432904,0.0259171,0.0604775,0.0781551,0.0887357,0.0755677,0.0368636,0.0297607,0.0343329,0.0403525,0.0268672,0.0149937,0.00930626,0.0144588,0.0304962,0,0.0227024,0.0305866,0,0,0.0163338,0,0,0.0351007,0.0769064,0.0288754,0.0272496,0.02954,0.05702,0.0268534,0.0574581,0.0947025,0.083932,0.0397854,0.0717945,0.0439601,0.0529274,0.087086,0.0324357,0.0131316,0.0118662,0.0144462,0.0257945,0.0337736,0,0,0,0,0.0399183
83,0,0,0,0,0,0,0.0266676,0.045305,0,0,0,0.0390848,0,0.0263597,0,0,0.015523,0,0,0.028319,0.103244,0.0168763,0.0187921,0.0430376,0.0257966,0.0605177,0.078129,0.0887842,0.0756227,0.0365985,0.0294377,0.0341973,0.0401444,0.0266686,0.0150486,0.00927302,0.0144828,0.0311641,0,0.0225534,0.0305836,0,0,0.0163097,0,0,0.0350663,0.0759093,0.0277087,0.0283506,0.0296348,0.0573451,0.026987,0.0577512,0.0948137,0.0841488,0.0401435,0.0722563,0.0444235,0.0534976,0.0876315,0.0295802,0.013072,0.0118523,0.0144913,0.0258606,0.0336646,0,0,0,0,0.0400604
84,0,0,0,0,0,0,0.0266953,0.0453238,0,0,0,0.0392424,0,0.0262937,0,0,0.0154744,0,0,0.0283393,0.103365,0.016804,0.0186282,0.0427516,0.0256828,0.0605257,0.0780913,0.0888232,0.0756805,0.0363497,0.0290652,0.0341124,0.040012,0.0265186,0.0150699,0.00924649,0.0144993,0.0318821,0,0.0226908,0.0305772,0,0,0.0162881,0,0,0.0349976,0.0749624,0.0266724,0.0294684,0.0297774,0.0576885,0.0271375,0.0581506,0.0949517,0.0842104,0.0405247,0.0726964,0.04494,0.0540498,0.0882306,0.0271134,0.0129619,0.0118413,0.0145426,0.0259216,0.0335462,0,0,0,0,0.0403026
85,0,0,0,0,0,0,0.0267254,0.0453451,0,0,0,0.0394847,0,0.0262401,0,0,0.015428,0,0,0.0283457,0.103492,0.0167639,0.0185759,0.042438,0.0255612,0.0605197,0.0780764,0.088851,0.0757852,0.0360876,0.0287591,0.0340054,0.0399106,0.0262715,0.0150728,0.00924624,0.0144852,0.032666,0,0.0227795,0.0305767,0,0,0.0162612,0,0,0.0349321,0.0740466,0.0254452,0.030655,0.0299565,0.057995,0.0272684,0.0586511,0.0951641,0.0841759,0.0408912,0.0731066,0.0454024,0.0545682,0.0889412,0.0248942,0.0128767,0.0118081,0.0145735,0.025964,0.0334498,0,0,0,0,0.0405767
86,0,0,0,0,0,0,0.0267721,0.0453796,0,0,0,0.0399631,0,0.0261613,0,0,0.0154012,0,0,0.0283789,0.103683,0.0166895,0.0185442,0.0422259,0.0254191,0.0605037,0.0779723,0.0888535,0.0759116,0.0358347,0.0284691,0.0338276,0.0398297,0.0258817,0.0150867,0.00923932,0.0144654,0.0333133,0,0.02272,0.0305883,0,0,0.0162373,0,0,0.0348866,0.0731203,0.0243404,0.0318663,0.030296,0.0582493,0.0273303,0.0591314,0.0953775,0.084033,0.0411999,0.0737473,0.0458146,0.0551198,0.0896886,0.0230921,0.0128452,0.011835,0.0145786,0.026031,0.0334017,0,0,0,0,0.0406298
87,0,0,0,0,0,0,0.026817,0.0454179,0,0,0,0.0403432,0,0.0260467,0,0,0.0153744,0,0,0.0284355,0.103904,0.0166207,0.018497,0.0420184,0.0252785,0.060443,0.0778382,0.0888052,0.0760332,0.0355652,0.0281462,0.0336378,0.0397139,0.0254597,0.0150947,0.00925194,0.0144102,0.0337939,0,0.0228922,0.0306108,0,0,0.0162048,0,0,0.0348524,0.0722433,0.0234824,0.033098,0.0308157,0.0584451,0.027406,0.0596299,0.0955521,0.0838995,0.0414654,0.0744423,0.0461847,0.0556844,0.0902494,0.021669,0.0128372,0.0119353,0.0145559,0.0260484,0.0333657,0,0,0,0,0.0407077
88,0,0,0,0,0,0,0.0268446,0.0454374,0,0,0,0.0408003,0,0.0259419,0,0,0.0153461,0,0,0.0284795,0.104152,0.0165317,0.0185969,0.0417944,0.0251284,0.0603163,0.0777001,0.0887517,0.076139,0.035264,0.0278119,0.0334217,0.0395666,0.0249944,0.0151333,0.00922078,0.0143749,0.0342129,0,0.0232515,0.0306557,0,0,0.0161626,0,0,0.0349084,0.0714702,0.0228144,0.0342941,0.0314328,0.0585653,0.0275288,0.0601491,0.0956742,0.0838811,0.0417306,0.074988,0.0464604,0.0562188,0.0910155,0.0204768,0.0128511,0.0119963,0.0146079,0.0260512,0.0333017,0,0,0,0,0.0408265
89,0,0,0,0,0,0,0.0268652,0.0454791,0,0,0,0.041392,0,0.0258351,0,0,0.015353,0,0,0.0285,0.10444,0.0164163,0.018682,0.0416267,0.0250103,0.0601762,0.0774532,0.0886936,0.0762029,0.035011,0.0275154,0.033263,0.0394664,0.0244939,0.0151862,0.00920963,0.0143282,0.0344836,0,0.0237308,0.0307067,0,0,0.0161243,0,0,0.0350033,0.0707932,0.0223034,0.0352571,0.0320568,0.0586081,0.0276029,0.0606684,0.0957869,0.0837016,0.0419741,0.0753979,0.0466416,0.0566443,0.0916832,0.0193888,0.0128589,0.0120262,0.0146501,0.0261082,0.0332629,0,0,0,0,0.0409757
90,0,0,0,0,0,0,0.0268451,0.0455742,0,0,0,0.0421125,0,0.0257367,0,0,0.0153597,0,0,0.0285596,0.104732,0.0163217,0.0187626,0.041505,0.0248724,0.0600424,0.0771339,0.0886239,0.0762501,0.0348491,0.0272611,0.0331739,0.039439,0.0239849,0.015233,0.00921503,0.0143192,0.0344034,0,0.0244531,0.0307199,0,0,0.0160902,0,0,0.0350668,0.0702628,0.0220949,0.0360472,0.0328203,0.0585587,0.0276316,0.0611575,0.0958251,0.0833987,0.04228,0.0757261,0.046723,0.0568342,0.0920997,0.0186193,0.0129141,0.0120627,0.0145954,0.0261917,0.0332606,0,0,0,0,0.0411359
91,0,0,0,0,0,0,0.0268165,0.0456929,0,0,0,0.0427809,0,0.0256476,0,0,0.0153701,0,0,0.0286236,0.105022,0.0162918,0.0188623,0.0414411,0.0247691,0.0598726,0.0768617,0.0884829,0.0763026,0.0347478,0.0270943,0.0331097,0.03945,0.0234865,0.0153101,0.00925786,0.0142884,0.0340815,0,0.0253368,0.0306893,0,0,0.0160237,0,0,0.0350637,0.0698557,0.0223057,0.0366332,0.0337107,0.0584516,0.027605,0.0616724,0.0958103,0.0830579,0.0426252,0.0759659,0.0466927,0.0569098,0.0923972,0.0184627,0.0130105,0.012164,0.0143484,0.0262978,0.0333634,0,0,0,0,0.0412729
92,0,0,0,0,0,0,0.0268237,0.0457954,0,0,0,0.0431833,0,0.025513,0,0,0.0153628,0,0,0.0286735,0.105301,0.0163243,0.0190097,0.0414488,0.0247669,0.059645,0.0766154,0.0882821,0.0763519,0.0346218,0.0269663,0.0329766,0.0393714,0.023065,0.0153878,0.00932082,0.0142291,0.0335184,0,0.0262643,0.0306704,0,0,0.0159768,0,0,0.0351665,0.0695513,0.0230013,0.0370739,0.0346228,0.0583214,0.0275154,0.0621286,0.0957519,0.0827324,0.0430385,0.0761274,0.0465501,0.057027,0.0926545,0.0187402,0.0131015,0.0121363,0.0143926,0.0264021,0.0335327,0,0,0,0,0.0413521
93,0,0,0,0,0,0,0.0268593,0.0458678,0,0,0,0.0437544,0,0.025337,0,0,0.0153203,0,0,0.0287171,0.105501,0.0162463,0.0192094,0.0414336,0.0247895,0.0593377,0.0762789,0.0879958,0.0763224,0.0344821,0.0268039,0.0328205,0.0392233,0.0225776,0.0154328,0.00931482,0.0142021,0.0328261,0,0.0273061,0.0306857,0,0,0.0159992,0,0,0.0352631,0.0693637,0.0238907,0.037371,0.0355396,0.0582346,0.027394,0.062513,0.0956579,0.0825034,0.0434636,0.0763121,0.0463503,0.0571584,0.092898,0.0191536,0.0131678,0.0120697,0.014497,0.0264881,0.0337274,0,0,0,0,0.04139
94,0,0,0,0,0,0,0.0268919,0.0459252,0,0,0,0.0443717,0,0.0250786,0,0,0.015304,0,0,0.0287621,0.105615,0.016027,0.0194084,0.0413696,0.024806,0.0589902,0.0759151,0.0876554,0.0760214,0.0343145,0.0266065,0.0326374,0.0390773,0.0220187,0.0154499,0.00927484,0.0141949,0.0321599,0,0.0281555,0.0306973,0,0,0.0160459,0,0,0.0353033,0.0692932,0.0245564,0.0375484,0.0364294,0.0581833,0.0272748,0.0627825,0.0955654,0.0824287,0.0438967,0.0765212,0.046139,0.0573135,0.0931602,0.019621,0.0132113,0.0119765,0.0145307,0.0265377,0.0339082,0,0,0,0,0.0415333
95,0,0,0,0,0,0,0.0269085,0.0459565,0,0,0,0.0447585,0,0.0247861,0,0,0.0152987,0,0,0.0288135,0.105675,0.015812,0.0195923,0.0411382,0.0247644,0.0585947,0.0758197,0.0873484,0.0755457,0.03409,0.0263922,0.0324971,0.0390215,0.021478,0.0154971,0.00929623,0.0141937,0.034641,0,0.0255332,0.0307297,0,0,0.0161204,0,0,0.0352378,0.0691096,0.0264799,0.037567,0.0367349,0.0581421,0.0271623,0.0629731,0.0956982,0.0825497,0.0442304,0.0766792,0.0464518,0.0573437,0.0929004,0.0204022,0.0132488,0.01195,0.0145049,0.0265826,0.0340698,0,0,0,0,0.0418481
96,0,0,0,0,0,0,0.0268798,0.0459946,0,0,0,0.0450671,0,0.0244002,0,0,0.0153495,0,0,0.0288132,0.105757,0.0155961,0.0196306,0.0409324,0.0246801,0.0582424,0.0759195,0.0870952,0.0750051,0.0338092,0.0261703,0.032361,0.0389629,0.0209257,0.0155836,0.00933538,0.0141046,0.0356166,0,0.0240839,0.0307772,0,0,0.0162129,0,0,0.0351278,0.0689427,0.0270444,0.0376539,0.0368364,0.0582237,0.0271129,0.0631038,0.0958501,0.0827133,0.0442874,0.0768327,0.0466037,0.0573718,0.0929329,0.0208259,0.0132697,0.0119573,0.0145028,0.026657,0.0342317,0,0,0,0,0.0419829
97,0,0,0,0,0,0,0.0267776,0.0460422,0,0,0,0.0449946,0,0.0239177,0,0,0.0153983,0,0,0.0287913,0.10584,0.0154006,0.0194373,0.0406772,0.0244979,0.0579686,0.0761464,0.0869664,0.074539,0.033526,0.0259564,0.032293,0.0389212,0.0204008,0.0156974,0.00934144,0.013984,0.032144,0,0.0276734,0.0308411,0,0,0.0162675,0,0,0.0350699,0.0688572,0.0241472,0.0378167,0.0368004,0.0583995,0.0271688,0.0631821,0.0959418,0.0827839,0.0440544,0.0769191,0.0461025,0.0577075,0.0936738,0.0198418,0.0132573,0.0120049,0.0145257,0.0267366,0.0343982,0,0,0,0,0.0420372
98,0,0,0,0,0,0,0.0266211,0.0461086,0,0,0,0.0446079,0,0.0233494,0,0,0.0154553,0,0,0.0287811,0.105805,0.0152556,0.018998,0.0403554,0.0242775,0.0577913,0.0766196,0.086966,0.0741133,0.033273,0.0258239,0.0323421,0.0388912,0.0199203,0.0158042,0.00934271,0.0139188,0.0315954,0,0.0280242,0.0308679,0,0,0.0162711,0,0,0.0350925,0.0688488,0.0236386,0.0379077,0.0361921,0.0585749,0.0272999,0.0630817,0.095994,0.0827649,0.0436567,0.0768067,0.0461015,0.0577121,0.0935796,0.0202767,0.0132231,0.0120016,0.0146221,0.0267776,0.0345695,0,0,0,0,0.0424153
99,0,0,0,0,0,0,0.0263882,0.0461969,0,0,0,0.0440381,0,0.0225548,0,0,0.0154765,0,0,0.0288102,0.105653,0.0151444,0.0183959,0.0400296,0.0241322,0.057652,0.0772695,0.0869675,0.0735695,0.0331102,0.0258534,0.0324675,0.0390158,0.0195863,0.0158994,0.0093704,0.0139079,0.0324124,0,0.0272401,0.0308634,0,0,0.0163042,0,0,0.0350766,0.0689469,0.0235157,0.0376303,0.0348538,0.0587309,0.027486,0.0627295,0.0960707,0.0826142,0.0431004,0.0765326,0.0463344,0.0575486,0.0930802,0.0201997,0.0131831,0.0119946,0.0146696,0.0268047,0.0348011,0,0,0,0,0.0429754
100,0,0,0,0,0,0,0.0261372,0.0462888,0,0,0,0.0434917,0,0.0217331,0,0,0.0154851,0,0,0.0288265,0.105549,0.0152068,0.0177291,0.039866,0.0240897,0.0576695,0.0778754,0.0870728,0.073123,0.0330032,0.0259422,0.0326587,0.039327,0.0192569,0.0159366,0.0093982,0.0139248,0.0330873,0,0.0267181,0.0307781,0,0,0.0162626,0,0,0.0350652,0.0694106,0.0239993,0.0371352,0.0338056,0.0587634,0.0277359,0.0622418,0.0959694,0.0822601,0.0421381,0.0759876,0.0463145,0.0571967,0.0923801,0.020644,0.0131037,0.0120296,0.0146676,0.0268265,0.0351255,0,0,0,0,0.0434778
101,0,0,0,0,0,0,0.0259915,0.0463762,0,0,0,0.0430287,0,0.0207312,0,0,0.0154851,0,0,0.0287933,0.105498,0.0154812,0.0171053,0.0396663,0.0239957,0.0578629,0.0784519,0.0871776,0.0727251,0.0329096,0.0260743,0.0330567,0.0396187,0.0189123,0.0159309,0.00942756,0.0139094,0.0342329,0,0.0261577,0.0306962,0,0,0.0161654,0,0,0.0350468,0.0698413,0.0235192,0.0368138,0.0329504,0.0587339,0.0280193,0.0621089,0.0961729,0.0820659,0.0411018,0.0750368,0.0456861,0.0566292,0.0917866,0.0209426,0.0130049,0.0120684,0.0146649,0.0268469,0.0354358,0,0,0,0,0.0441714
102,0,0,0,0,0,0,0.0260329,0.0464404,0,0,0,0.04245,0,0.0195574,0,0,0.0153967,0,0,0.0287111,0.105511,0.0161291,0.016642,0.0393973,0.0238731,0.0583673,0.078937,0.0875317,0.0725293,0.0327375,0.0261555,0.0336033,0.0398572,0.0183667,0.0159718,0.00946449,0.0138508,0.0346535,0,0.0244963,0.0307174,0,0,0.0160733,0,0,0.0350074,0.0695647,0.020368,0.0370637,0.0316861,0.0589941,0.0283352,0.0629062,0.097246,0.0821533,0.040492,0.0739874,0.0447115,0.0560691,0.0912678,0.0212353,0.0129251,0.0120425,0.014742,0.0268163,0.0356331,0,0,0,0,0.0448928
103,0,0,0,0,0,0,0.0261424,0.0463609,0,0,0,0.0415499,0,0.0181425,0,0,0.0152536,0,0,0.0285903,0.105298,0.0169704,0.0165207,0.0387987,0.0240492,0.0591961,0.0795272,0.0880362,0.0723647,0.0326367,0.0263351,0.0338623,0.0402022,0.0182011,0.0161499,0.00944063,0.0138154,0.0344552,0,0.0220529,0.0308404,0,0,0.0160078,0,0,0.0350112,0.0684155,0.0160917,0.0377064,0.0287341,0.0598939,0.0287395,0.0644896,0.0992246,0.0829356,0.0406718,0.0741166,0.0449551,0.056057,0.0908672,0.0210818,0.0128631,0.0120502,0.0149036,0.0265036,0.0356875,0,0,0,0,0.0455604
104,0,0,0,0,0,0,0.0259532,0.0459672,0,0,0,0.0399546,0,0.016875,0,0,0.0151085,0,0,0.0284795,0.104756,0.0178945,0.0169226,0.038259,0.02475,0.0602925,0.0801108,0.0885907,0.0721647,0.0327731,0.0266922,0.0338658,0.0406447,0.0195805,0.0163415,0.00937932,0.0138763,0.034466,0,0.0217995,0.0309615,0,0,0.0159149,0,0,0.0351789,0.0674048,0.0139745,0.0381911,0.0251666,0.0613213,0.0294532,0.0655241,0.10094,0.0842504,0.0415345,0.0759762,0.0472355,0.0572864,0.0916891,0.0207517,0.0128147,0.0121605,0.0152344,0.0257232,0.0356792,0,0,0,0,0.0463826
105,0,0,0,0,0,0,0.0250179,0.0453705,0,0,0,0.0375469,0,0.0163799,0,0,0.0150509,0,0,0.0283761,0.104195,0.0192093,0.0175875,0.0385365,0.0257088,0.0614577,0.0806007,0.0894523,0.0720899,0.0331151,0.0271465,0.0340259,0.0411738,0.0230898,0.0162368,0.00946587,0.0139486,0.0354341,0,0.0234503,0.0310081,0,0,0.0159394,0,0,0.035494,0.0676211,0.0143635,0.0381722,0.0240647,0.0627708,0.0303167,0.0654027,0.101623,0.0851558,0.0420899,0.0773784,0.0490956,0.0583261,0.0925353,0.0216991,0.0126962,0.0121806,0.0156367,0.0246532,0.0358393,0,0,0,0,0.0473987
106,0,0,0,0,0,0,0.0235597,0.0447146,0,0,0,0.0348012,0,0.0167974,0,0,0.0152822,0,0,0.0283932,0.103739,0.0211819,0.0180522,0.0395238,0.0262908,0.0623953,0.0810381,0.0904019,0.0722029,0.0334486,0.0274529,0.0343579,0.0417345,0.028532,0.0157259,0.00964474,0.0140162,0.0348414,0,0.0238741,0.0309405,0,0,0.0160867,0,0,0.0356649,0.0688313,0.0171528,0.0379283,0.0266008,0.0636163,0.0312643,0.0644151,0.101268,0.084914,0.0413444,0.0770231,0.0492158,0.0578065,0.0918492,0.0239735,0.0123369,0.0121701,0.0158366,0.0236255,0.0363984,0,0,0,0,0.0481989
107,0,0,0,0,0,0,0.0223601,0.0441643,0,0,0,0.032311,0,0.0178383,0,0,0.0158008,0,0,0.0286239,0.103271,0.0236759,0.0183239,0.0406571,0.0262958,0.0630865,0.0814879,0.0912591,0.0726038,0.0336759,0.0275488,0.0347206,0.0422848,0.035229,0.0150855,0.00980954,0.0138832,0.0322646,0,0.0231762,0.0309214,0,0,0.0162799,0,0,0.0356507,0.0705638,0.0207628,0.0376375,0.0299768,0.0635856,0.0320401,0.0627572,0.0998996,0.0837119,0.0394201,0.0756494,0.0481248,0.0564048,0.0903486,0.0282829,0.0119635,0.0121039,0.0158044,0.0229092,0.0371393,0,0,0,0,0.048606
108,0,0,0,0,0,0,0.021823,0.0438806,0,0,0,0.0304058,0,0.018948,0,0,0.0162043,0,0,0.0289114,0.103028,0.0262254,0.0189115,0.0417132,0.0262254,0.0635744,0.0816237,0.0920589,0.0732958,0.0338964,0.027642,0.034889,0.0426705,0.0421774,0.0146166,0.009868,0.0140295,0.0299866,0,0.022495,0.0310041,0,0,0.016442,0,0,0.0354332,0.0721915,0.0241329,0.0372379,0.0317889,0.0630652,0.0323732,0.0609871,0.0979607,0.0823077,0.0372866,0.0743952,0.0470172,0.0551485,0.0889345,0.0335455,0.0117627,0.0120311,0.0156182,0.0226342,0.037963,0,0,0,0,0.0488327
109,0,0,0,0,0,0,0.0218112,0.0438379,0,0,0,0.0292522,0,0.0200924,0,0,0.0162268,0,0,0.0289833,0.103363,0.0282326,0.0198925,0.0426568,0.0266046,0.063801,0.0814175,0.0927667,0.0742195,0.0341476,0.0278582,0.0351952,0.0431701,0.0496643,0.014375,0.00976424,0.0142535,0.0296247,0,0.0224345,0.0309972,0,0,0.0165177,0,0,0.035138,0.0734391,0.026352,0.0366476,0.031446,0.0623893,0.0323012,0.0596957,0.0961638,0.0812071,0.0360929,0.0735479,0.0462848,0.0542524,0.0879574,0.0365322,0.0116578,0.0119949,0.0154171,0.0226467,0.0388041,0,0,0,0,0.0491284
110,0,0,0,0,0,0,0.0221197,0.043994,0,0,0,0.029335,0,0.0213414,0,0,0.015991,0,0,0.0287804,0.104233,0.0296065,0.0209892,0.043476,0.0273311,0.0637487,0.0810661,0.0932466,0.0749789,0.0346069,0.0282483,0.0359777,0.044163,0.0574237,0.0143497,0.00958885,0.0144556,0.0304196,0,0.0225919,0.0308278,0,0,0.0165062,0,0,0.0349696,0.0742208,0.0268713,0.0358427,0.0299931,0.0617182,0.0320576,0.0591356,0.0951649,0.0810017,0.0361992,0.0728238,0.0456692,0.053558,0.0873802,0.0360417,0.0116025,0.0120339,0.015357,0.0227727,0.0393624,0,0,0,0,0.0495226
111,0,0,0,0,0,0,0.0226997,0.0442577,0,0,0,0.0303743,0,0.0223332,0,0,0.0157471,0,0,0.0284462,0.10532,0.0313775,0.0222657,0.0442147,0.0279966,0.0636,0.0806771,0.0933669,0.0750844,0.0353791,0.0288635,0.0369583,0.0454178,0.0637174,0.0143667,0.00944499,0.0145524,0.0311924,0,0.0223507,0.0305647,0,0,0.016412,0,0,0.0349336,0.0745062,0.0265112,0.0348245,0.0287064,0.061064,0.0318471,0.0590898,0.0952538,0.0819795,0.0371176,0.0723056,0.0454175,0.0530789,0.0867638,0.0337987,0.011659,0.0120424,0.0154461,0.0228485,0.0395132,0,0,0,0,0.04979
112,0,0,0,0,0,0,0.0235194,0.0445382,0,0,0,0.0315325,0,0.0226208,0,0,0.0156552,0,0,0.0281728,0.106349,0.0334135,0.0238082,0.0448805,0.028425,0.0632873,0.0803112,0.0932285,0.0746537,0.0362711,0.0296463,0.0377193,0.0465584,0.0679187,0.0143115,0.00936606,0.0145467,0.0315875,0,0.0217346,0.0303397,0,0,0.0163185,0,0,0.0349069,0.0741934,0.0259854,0.0339137,0.0281825,0.0605426,0.0316725,0.0595814,0.0965898,0.0835514,0.0383823,0.0722178,0.0455157,0.052897,0.0863493,0.0320664,0.0117507,0.0119992,0.0155509,0.0228016,0.039383,0,0,0,0,0.0497479
113,0,0,0,0,0,0,0.0243155,0.0447171,0,0,0,0.032608,0,0.0225535,0,0,0.0156533,0,0,0.0280306,0.107175,0.0350882,0.0254575,0.0454867,0.0286719,0.0627887,0.0798648,0.0930787,0.0741129,0.0372798,0.0305962,0.0385863,0.0476656,0.0709326,0.0142363,0.00932199,0.0145703,0.0317431,0,0.0213844,0.0302669,0,0,0.0163599,0,0,0.0348508,0.0735879,0.0258653,0.0332857,0.0280995,0.0602244,0.031483,0.0607386,0.0987233,0.0851745,0.039567,0.0725519,0.0458691,0.0531178,0.0866074,0.0322451,0.0117251,0.0119472,0.0156016,0.0226828,0.039145,0,0,0,0,0.0494509
114,0,0,0,0,0,0,0.0248727,0.0447499,0,0,0,0.0336027,0,0.0222616,0,0,0.0156938,0,0,0.027929,0.107854,0.0359846,0.0268147,0.0459963,0.0288473,0.062127,0.0792196,0.092874,0.0736307,0.038339,0.0317348,0.0395651,0.0489185,0.0732592,0.0142372,0.00928374,0.014601,0.0317193,0,0.0215903,0.0303671,0,0,0.0165137,0,0,0.0347733,0.0730672,0.0262548,0.0328889,0.0279786,0.0601362,0.0312464,0.0618047,0.100403,0.0863709,0.0401444,0.0728134,0.0461691,0.0533308,0.0870425,0.0341553,0.0116497,0.0118652,0.0155668,0.0225497,0.0388741,0,0,0,0,0.0490395
115,0,0,0,0,0,0,0.0251401,0.0447013,0,0,0,0.0344044,0,0.0218793,0,0,0.015768,0,0,0.027833,0.108266,0.0362888,0.0279855,0.0463189,0.0291092,0.0614803,0.078563,0.0926556,0.0732418,0.0393781,0.0327741,0.0407226,0.0501369,0.0746078,0.0142872,0.00924116,0.0146446,0.0308578,0,0.0219598,0.0305346,0,0,0.0165917,0,0,0.0347246,0.0731911,0.0268633,0.032446,0.027644,0.0600033,0.0309689,0.0621691,0.100743,0.0867341,0.0402633,0.0725749,0.0461107,0.0529227,0.0866554,0.0368431,0.0116167,0.0118826,0.015455,0.0223612,0.0385635,0,0,0,0,0.0483498
116,0,0,0,0,0,0,0.0252194,0.0447117,0,0,0,0.0349978,0,0.0215222,0,0,0.0158628,0,0,0.027793,0.108388,0.0364006,0.0289563,0.0465728,0.0293891,0.0608512,0.0779189,0.0924062,0.0728746,0.0404097,0.0337958,0.0418797,0.0512673,0.0753178,0.0143404,0.00926064,0.0146894,0.0293663,0,0.022676,0.030675,0,0,0.0166013,0,0,0.0347598,0.0740516,0.0278734,0.0316567,0.0275579,0.059727,0.0307132,0.0618429,0.100081,0.0866048,0.04016,0.0719674,0.0459705,0.0520001,0.0855604,0.0404535,0.0116905,0.01195,0.0153667,0.0222156,0.0382535,0,0,0,0,0.0475079
117,0,0,0,0,0,0,0.0253291,0.044749,0,0,0,0.0354326,0,0.0211988,0,0,0.0159628,0,0,0.0278195,0.108278,0.0364076,0.0297001,0.046836,0.029494,0.0603368,0.0773523,0.092145,0.0726028,0.0413888,0.0348275,0.0430027,0.0523248,0.075417,0.0144069,0.0092956,0.014704,0.0281623,0,0.023668,0.030784,0,0,0.0165558,0,0,0.0348661,0.0752488,0.0292885,0.0307008,0.0282302,0.0593088,0.0304988,0.0614006,0.0993294,0.0862523,0.0399198,0.0714452,0.0457546,0.0511976,0.0847985,0.044908,0.0118212,0.0119408,0.0153235,0.0221709,0.037851,0,0,0,0,0.0467046
118,0,0,0,0,0,0,0.0255809,0.0448187,0,0,0,0.0357695,0,0.0208908,0,0,0.0160138,0,0,0.0278707,0.108144,0.0362286,0.0302772,0.0472333,0.0293764,0.0598955,0.0768971,0.0918953,0.0724536,0.0422591,0.0357554,0.0436863,0.0532393,0.0752869,0.0144694,0.00940008,0.0145938,0.0274492,0,0.0245452,0.0308888,0,0,0.01649,0,0,0.0350147,0.0762795,0.0307273,0.0298076,0.0294997,0.0587381,0.030291,0.0610906,0.0990863,0.0859081,0.039624,0.0710173,0.045453,0.0507941,0.0843497,0.0490669,0.0119358,0.0118544,0.0153448,0.0221852,0.0373667,0,0,0,0,0.0460968
119,0,0,0,0,0,0,0.0259387,0.0448751,0,0,0,0.0360088,0,0.0206124,0,0,0.0159581,0,0,0.027954,0.108152,0.0358858,0.0307167,0.0477192,0.0291406,0.0594568,0.0765685,0.0916368,0.0723531,0.0429958,0.0364243,0.0440886,0.0539492,0.0749381,0.0145141,0.00947203,0.0144999,0.0270088,0,0.0252291,0.0310207,0,0,0.0164492,0,0,0.0351873,0.0770456,0.0319568,0.02892,0.0308339,0.0580149,0.0301675,0.0610685,0.0991403,0.0857393,0.0394898,0.0707695,0.0451225,0.0506342,0.0840658,0.0519549,0.0120123,0.0117744,0.0153784,0.0222402,0.037035,0,0,0,0,0.0457356
120,0,0,0,0,0,0,0.0262983,0.0448952,0,0,0,0.0360976,0,0.020448,0,0,0.0158333,0,0,0.0280366,0.108425,0.0356321,0.0310555,0.0482005,0.0288918,0.0589422,0.0763273,0.0912884,0.0721878,0.0436693,0.036815,0.0442364,0.0543856,0.0746467,0.0145589,0.00950318,0.0144682,0.0266271,0,0.025789,0.0311407,0,0,0.0164577,0,0,0.0353362,0.0775826,0.0327436,0.0279411,0.0317876,0.0571976,0.0300769,0.0609885,0.0992568,0.0857879,0.0396971,0.0705292,0.0448058,0.0503963,0.0838146,0.0533308,0.0120743,0.011768,0.0153475,0.0222905,0.0368186,0,0,0,0,0.0455877
