Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x68,x69,x70,x71,RGTR,RWRB
140,0,0,0,0,0,0,0.0318545,0.0393895,0,0,0,0.0325026,0,0.0262481,0,0,0.0205825,0,0,0.0279826,0.0908461,0.0387232,0.014207,0.0207155,0.0214028,0.0346591,0.0580343,0.079673,0.0885623,0.0673132,0.041392,0.035801,0.0418489,0.0491269,0.0712139,0.0084698,0.00853974,0.0181028,0.0288906,0,0.0270206,0.0351669,0,0,0.0171294,0,0,0.0295837,0.0400986,0.0191826,0.0265814,0.0373857,0.0372887,0.0517124,0.087856,0.0766242,0.0382165,0.0637143,0.037912,0.0432782,0.0767941,0.0400468,0.00881946,0.00891911,0.0222667,0.0235794,0,0,0,0,0.0717427,0.0185968
141,0,0,0,0,0,0,0.032048,0.0393512,0,0,0,0.0324537,0,0.0261938,0,0,0.0206635,0,0,0.0280769,0.0907975,0.038304,0.0141792,0.0205743,0.0219272,0.0346723,0.0578183,0.0797066,0.0883892,0.0672503,0.0416611,0.0360594,0.042127,0.0493428,0.0710399,0.00856777,0.00854205,0.0182597,0.0290203,0,0.0270967,0.0351906,0,0,0.0172623,0,0,0.0296758,0.039936,0.019283,0.0262744,0.0373774,0.0372693,0.0518389,0.0878626,0.0767208,0.0384792,0.0635325,0.0376834,0.0432441,0.0767321,0.0391909,0.00882391,0.00892913,0.0221194,0.0234147,0,0,0,0,0.0717104,0.0186607
142,0,0,0,0,0,0,0.0322099,0.0393269,0,0,0,0.0322272,0,0.0260481,0,0,0.020881,0,0,0.0282654,0.0907626,0.0377329,0.0142881,0.0205051,0.0225237,0.0347665,0.0577198,0.0798819,0.0882842,0.0673484,0.0418933,0.0363075,0.0423903,0.0495197,0.070105,0.00863638,0.00864724,0.0183427,0.0290191,0,0.0273086,0.0352115,0,0,0.017485,0,0,0.0297066,0.0400537,0.0194541,0.0259591,0.0373349,0.0372739,0.0519811,0.0879057,0.0767891,0.0387252,0.0632977,0.0374591,0.0431547,0.0766731,0.038585,0.00874474,0.00902753,0.0218597,0.0233128,0,0,0,0,0.0717437,0.0186037
143,0,0,0,0,0,0,0.0323906,0.0393161,0,0,0,0.0318705,0,0.025723,0,0,0.0211396,0,0,0.0285018,0.0908095,0.0371134,0.0143168,0.0205407,0.0231846,0.0347962,0.0576093,0.080122,0.0880875,0.0673012,0.0421199,0.0365174,0.0426959,0.0497722,0.0687703,0.00871513,0.00868953,0.0184872,0.0290661,0,0.0275139,0.0352814,0,0,0.0173664,0,0,0.0296889,0.0402062,0.0194329,0.0257026,0.0371915,0.0373349,0.0521242,0.0879836,0.0768877,0.0390092,0.063132,0.037244,0.0429661,0.0766215,0.0379489,0.00874331,0.00906408,0.0215343,0.0232731,0,0,0,0,0.0718368,0.0186529
144,0,0,0,0,0,0,0.0325304,0.0393659,0,0,0,0.0314042,0,0.025587,0,0,0.0213844,0,0,0.0287332,0.0908023,0.036335,0.0143863,0.0204435,0.0237734,0.0347739,0.0572997,0.0802626,0.0879027,0.0673056,0.0422296,0.0367182,0.0429218,0.0498716,0.0670526,0.00880346,0.00875097,0.0186332,0.0290683,0,0.0276501,0.0353136,0,0,0.0173692,0,0,0.0297005,0.0402718,0.0194869,0.0254438,0.0370808,0.0373973,0.0522959,0.0880667,0.0770186,0.0392603,0.062999,0.0370122,0.0427306,0.0765511,0.0374498,0.00870251,0.00906548,0.0211054,0.0232496,0,0,0,0,0.0719249,0.018699
145,0,0,0,0,0,0,0.0326381,0.0394117,0,0,0,0.0309988,0,0.0255932,0,0,0.0215081,0,0,0.0289297,0.0907359,0.0354233,0.0145465,0.0202089,0.0242866,0.0346973,0.0569452,0.0803517,0.087725,0.06732,0.0423039,0.0367718,0.0429533,0.0497973,0.0649799,0.00889355,0.00881676,0.0187114,0.0290507,0,0.0277641,0.0353396,0,0,0.0174243,0,0,0.0297454,0.0401911,0.0195598,0.0252272,0.0370429,0.0374803,0.0524709,0.0881837,0.0772175,0.0395035,0.0628843,0.0368396,0.0426072,0.0764764,0.0368912,0.00865665,0.00905922,0.0209048,0.0233523,0,0,0,0,0.0719805,0.0187578
146,0,0,0,0,0,0,0.0327304,0.0394358,0,0,0,0.0305059,0,0.0254406,0,0,0.0215129,0,0,0.0290868,0.0905867,0.0342578,0.014869,0.019753,0.0247358,0.0345878,0.0566213,0.0804298,0.087599,0.0673318,0.0423985,0.0367591,0.0426848,0.0496816,0.0624769,0.00898065,0.00877472,0.0187432,0.0290771,0,0.0279574,0.0354052,0,0,0.0174843,0,0,0.0298033,0.0400121,0.0197882,0.0250457,0.0371004,0.0375452,0.0526363,0.0881941,0.077452,0.039725,0.0627914,0.0367051,0.0425982,0.0764526,0.036337,0.00864282,0.00901755,0.0208834,0.0235329,0,0,0,0,0.0719853,0.0188153
147,0,0,0,0,0,0,0.0326397,0.0393903,0,0,0,0.0297659,0,0.0247114,0,0,0.0215133,0,0,0.0292243,0.089541,0.0326381,0.0156118,0.0204354,0.02523,0.0344967,0.0570142,0.08302,0.0883878,0.0668907,0.0415883,0.0354012,0.0417726,0.0492794,0.0552569,0.00895507,0.00881964,0.0186786,0.0292198,0,0.0278599,0.0353654,0,0,0.0174694,0,0,0.0299224,0.0397033,0.0197143,0.0250178,0.037343,0.0377338,0.0526629,0.0881635,0.0775694,0.0399142,0.0627289,0.0366892,0.0427399,0.0764591,0.0357162,0.00871715,0.00909665,0.0207684,0.0234389,0,0,0,0,0.0720775,0.0188756
148,0,0,0,0,0,0,0.0328089,0.0394092,0,0,0,0.0293754,0,0.0241098,0,0,0.0214071,0,0,0.0293003,0.0895403,0.0316262,0.0156895,0.0197953,0.0254519,0.0343359,0.0565407,0.0829693,0.0882289,0.0667103,0.0414513,0.0354114,0.0419955,0.0491429,0.0520587,0.00895909,0.00886408,0.0187227,0.0292926,0,0.0277747,0.0355229,0,0,0.0173771,0,0,0.0300022,0.0395588,0.0198416,0.0248897,0.0373801,0.0377542,0.0526882,0.0880919,0.0776966,0.0400681,0.0625491,0.0366146,0.0427575,0.0764504,0.0352059,0.00871133,0.00910316,0.0208028,0.0233309,0,0,0,0,0.07208,0.0188836
149,0,0,0,0,0,0,0.0330303,0.0394223,0,0,0,0.0293284,0,0.0237298,0,0,0.0212827,0,0,0.0293484,0.0894931,0.030489,0.0157428,0.0191729,0.0255653,0.0341823,0.0560942,0.0828458,0.0880504,0.0665444,0.041383,0.035424,0.0419721,0.0488717,0.0488111,0.00895363,0.00880299,0.0188085,0.0293527,0,0.027783,0.035681,0,0,0.017249,0,0,0.0300343,0.0394681,0.0199065,0.0248158,0.0373535,0.0377668,0.0526955,0.0880202,0.0779856,0.04023,0.0624865,0.0365475,0.0426858,0.0764621,0.0346088,0.00869882,0.00907956,0.0208336,0.0230571,0,0,0,0,0.0721126,0.018871
