Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
70,0,0,0,0,0,0,0.0361184,0.0444175,0,0,0,0.111617,0,0.0705744,0,0,0.0151713,0,0,0.0267299,0.106509,0.279104,0.0185476,0.0107589,0.0335658,0.0170695,0.0661935,0.0805588,0.0992607,0.0817957,0.0351956,0.0366664,0.0608438,0.0764474,0.192195,0.0188366,0.00937038,0.015876,0.0314447,0,0.0264712,0.0392743,0,0,0.0144906,0,0,0.0368952,0.0860222,0.0456649,0.0158256,0.0240951,0.0526075,0.0309556,0.0611548,0.096301,0.0854344,0.0386262,0.0644381,0.0376059,0.0455344,0.0774575,0.0473035,0.0112587,0.0102119,0.0158068,0.0248549,0.0197421,0,0,0,0
71,0,0,0,0,0,0,0.0361843,0.044306,0,0,0,0.11271,0,0.070166,0,0,0.0150686,0,0,0.0266674,0.106621,0.279177,0.0183475,0.0106035,0.0333454,0.0172362,0.0662804,0.0804227,0.0994053,0.0820798,0.0351792,0.0364604,0.0606166,0.0761344,0.19224,0.0187325,0.00921857,0.0159987,0.0310569,0,0.0263539,0.0393125,0,0,0.0146939,0,0,0.036645,0.085141,0.0452981,0.0157816,0.0244991,0.0530715,0.0309775,0.061577,0.0969887,0.0857235,0.0387269,0.0651688,0.0383219,0.0462123,0.0781764,0.0477916,0.0112312,0.0102782,0.0158496,0.0247628,0.0197353,0,0,0,0
72,0,0,0,0,0,0,0.0362722,0.0442978,0,0,0,0.113949,0,0.0697469,0,0,0.0150007,0,0,0.0266661,0.106736,0.279501,0.0182783,0.0105263,0.0330067,0.0173091,0.0662775,0.0803376,0.0995094,0.0821755,0.0351343,0.0361574,0.0603799,0.0759321,0.191786,0.0186358,0.00923679,0.015972,0.0308685,0,0.0259977,0.0394068,0,0,0.0147113,0,0,0.036585,0.0843177,0.0446939,0.0159479,0.0246884,0.0534988,0.0310042,0.0621519,0.0976251,0.0858974,0.0388381,0.0658145,0.0388903,0.046761,0.0787516,0.0482298,0.0111634,0.0102991,0.0158699,0.0247888,0.019605,0,0,0,0
73,0,0,0,0,0,0,0.0363922,0.044325,0,0,0,0.115309,0,0.0693824,0,0,0.0149377,0,0,0.0266448,0.10691,0.279806,0.0182414,0.0104205,0.03267,0.0173472,0.0662536,0.0802735,0.0995735,0.0822125,0.0351409,0.0359698,0.0605351,0.0759177,0.190941,0.0186071,0.00923843,0.0159287,0.0308092,0,0.0257007,0.0395017,0,0,0.0146487,0,0,0.0365683,0.0835606,0.0441243,0.0160497,0.0247983,0.0538213,0.030965,0.0627369,0.0982045,0.0860392,0.039023,0.0663819,0.0394484,0.0472145,0.0792601,0.0483673,0.0111166,0.0103,0.0158169,0.0248515,0.0194629,0,0,0,0
74,0,0,0,0,0,0,0.0364759,0.044514,0,0,0,0.116813,0,0.0689597,0,0,0.0148951,0,0,0.0266444,0.106917,0.280268,0.0184895,0.0101315,0.0322326,0.017252,0.0662058,0.0803205,0.0996668,0.0822046,0.0350465,0.0355454,0.0605756,0.0760415,0.189731,0.0186518,0.00936733,0.0157314,0.0310364,0,0.0251331,0.0396707,0,0,0.0143989,0,0,0.0367603,0.0828276,0.0433177,0.0163706,0.0246963,0.0541589,0.030892,0.0633104,0.0987272,0.0860481,0.0393188,0.0667938,0.0398578,0.0475361,0.0797609,0.0482591,0.0110938,0.0102164,0.0155867,0.0250342,0.0191797,0,0,0,0
75,0,0,0,0,0,0,0.0365649,0.0445689,0,0,0,0.11842,0,0.0686889,0,0,0.0148818,0,0,0.0266692,0.107188,0.280173,0.0185926,0.00993685,0.0319996,0.0172503,0.0662228,0.0802858,0.099758,0.082295,0.0352037,0.0354552,0.0607909,0.0762997,0.188918,0.0187374,0.0093982,0.0156791,0.0311174,0,0.0249286,0.0397309,0,0,0.0143729,0,0,0.0368012,0.0821097,0.0424623,0.0163563,0.0246065,0.0543026,0.0307213,0.0636288,0.0991245,0.0860752,0.0396341,0.0671348,0.040263,0.047792,0.0801987,0.0471444,0.0110878,0.0101845,0.0156162,0.0250742,0.0191364,0,0,0,0
76,0,0,0,0,0,0,0.0366442,0.0447098,0,0,0,0.119968,0,0.0684776,0,0,0.0148626,0,0,0.0267141,0.107294,0.28011,0.018578,0.00969371,0.0317177,0.017163,0.0662744,0.0802952,0.0998257,0.0823835,0.0352093,0.0352661,0.0608549,0.0764477,0.188064,0.0188519,0.00949444,0.0155591,0.0314483,0,0.024503,0.0398243,0,0,0.0142621,0,0,0.0368873,0.0815066,0.041562,0.0164208,0.0242682,0.0544545,0.0305408,0.0639134,0.0993976,0.0860511,0.0400297,0.067468,0.0405597,0.0481456,0.0806428,0.0457823,0.0110857,0.0102015,0.0155163,0.0251566,0.0189941,0,0,0,0
77,0,0,0,0,0,0,0.0368135,0.0448228,0,0,0,0.121468,0,0.0683781,0,0,0.0148082,0,0,0.0267493,0.107403,0.279988,0.0182864,0.0095636,0.0314507,0.0170557,0.0663362,0.0803128,0.0999113,0.082516,0.0351854,0.0350668,0.0608712,0.0764465,0.187452,0.0189862,0.00950662,0.0154668,0.0317711,0,0.0240787,0.0399227,0,0,0.0142593,0,0,0.0369173,0.0809484,0.0405778,0.0164345,0.0239876,0.0545806,0.0304151,0.0641554,0.0996409,0.0861059,0.0404655,0.0678475,0.04087,0.0485601,0.0811589,0.044114,0.0111044,0.0102935,0.0154414,0.0252013,0.0188592,0,0,0,0
78,0,0,0,0,0,0,0.0370382,0.0449877,0,0,0,0.122867,0,0.0683886,0,0,0.0147285,0,0,0.0268391,0.107475,0.279873,0.0178819,0.00939307,0.0311687,0.0168855,0.0664105,0.0803437,0.100034,0.0826536,0.0350353,0.0346555,0.0607713,0.0762725,0.18694,0.0190818,0.00956318,0.0153686,0.0320581,0,0.0236939,0.0400694,0,0,0.0143006,0,0,0.0370328,0.0804239,0.039655,0.0165245,0.0236701,0.0547241,0.0303498,0.0643955,0.0998154,0.0860694,0.0409307,0.0682081,0.0411127,0.0490618,0.0817725,0.0422398,0.0111316,0.0103561,0.0154255,0.0252895,0.0186445,0,0,0,0
79,0,0,0,0,0,0,0.0373023,0.0451596,0,0,0,0.124139,0,0.0684877,0,0,0.0146086,0,0,0.0269683,0.107663,0.279578,0.0176101,0.0093034,0.0309576,0.0167342,0.0665234,0.0803482,0.100149,0.0828121,0.0348346,0.0342479,0.0606442,0.0760616,0.186422,0.0191483,0.00957279,0.0153436,0.0324363,0,0.0233011,0.0402248,0,0,0.0144185,0,0,0.037195,0.0798606,0.0386563,0.0165766,0.0233057,0.0548806,0.0303275,0.0646072,0.0999223,0.0861055,0.0413658,0.0684898,0.0413651,0.0495456,0.0823387,0.040112,0.0111435,0.0104139,0.0154662,0.0253675,0.0184684,0,0,0,0
